ROWID	_PCLevel|INTEGER	_ClassID|INTEGER	_EventType|INTEGER	_Job|INTEGER	_MailID|INTEGER	_CashMailID|INTEGER
80228	29	0	7	0	0	1710
80229	30	0	7	0	0	1710
80230	31	0	7	0	0	1710
80231	32	0	7	0	0	1710
80232	33	0	7	0	0	1710
80233	34	0	7	0	0	1710
80234	35	0	7	0	0	1710
80235	36	0	7	0	0	1710
80236	37	0	7	0	0	1710
80237	38	0	7	0	0	1710
80238	39	0	7	0	0	1710
80239	40	0	7	0	0	1710
80240	41	0	7	0	0	1710
80241	42	0	7	0	0	1710
80242	43	0	7	0	0	1710
80243	44	0	7	0	0	1710
80244	45	0	7	0	0	1710
80245	46	0	7	0	0	1710
80246	47	0	7	0	0	1710
80247	48	0	7	0	0	1710
80248	49	0	7	0	0	1710
80249	50	0	7	0	0	1710
80250	51	0	7	0	0	1710
80251	52	0	7	0	0	1710
80252	53	0	7	0	0	1710
80253	54	0	7	0	0	1710
80254	55	0	7	0	0	1710
80255	56	0	7	0	0	1710
80256	57	0	7	0	0	1710
80257	58	0	7	0	0	1710
80258	59	0	7	0	0	1710
80259	60	0	7	0	0	1710
80260	61	0	7	0	0	1710
80261	62	0	7	0	0	1710
80262	63	0	7	0	0	1710
80263	64	0	7	0	0	1710
80264	65	0	7	0	0	1710
80265	66	0	7	0	0	1710
80266	67	0	7	0	0	1710
80267	68	0	7	0	0	1710
80268	69	0	7	0	0	1710
80269	70	0	7	0	0	1710
80270	71	0	7	0	0	1710
80271	72	0	7	0	0	1710
80272	73	0	7	0	0	1710
80273	74	0	7	0	0	1710
80274	75	0	7	0	0	1710
80275	76	0	7	0	0	1710
80276	77	0	7	0	0	1710
80277	78	0	7	0	0	1710
80278	79	0	7	0	0	1710
80279	80	0	7	0	0	1710
80280	81	0	7	0	0	1710
80281	82	0	7	0	0	1710
80282	83	0	7	0	0	1710
80283	84	0	7	0	0	1710
80284	85	0	7	0	0	1710
80285	86	0	7	0	0	1710
80286	87	0	7	0	0	1710
80287	88	0	7	0	0	1710
80288	89	0	7	0	0	1710
80289	90	0	7	0	0	1710
80290	91	0	7	0	0	1710
80291	92	0	7	0	0	1710
80292	93	0	7	0	0	1710
80293	94	0	7	0	0	1710
80294	95	0	7	0	0	1710
80400	1	0	8	0	0	1711
80401	2	0	8	0	0	1711
80402	3	0	8	0	0	1711
80403	4	0	8	0	0	1711
80404	5	0	8	0	0	1711
80405	6	0	8	0	0	1711
80406	7	0	8	0	0	1711
80407	8	0	8	0	0	1711
80408	9	0	8	0	0	1711
80409	10	0	8	0	0	1711
80410	11	0	8	0	0	1711
80411	12	0	8	0	0	1711
80412	13	0	8	0	0	1711
80413	14	0	8	0	0	1711
80414	15	0	8	0	0	1711
80415	16	0	8	0	0	1711
80416	17	0	8	0	0	1711
80417	18	0	8	0	0	1711
80418	19	0	8	0	0	1711
80419	20	0	8	0	0	1711
80420	21	0	8	0	0	1711
80421	22	0	8	0	0	1711
80422	23	0	8	0	0	1711
80423	24	0	8	0	0	1711
80424	25	0	8	0	0	1711
80425	26	0	8	0	0	1711
80426	27	0	8	0	0	1711
80427	28	0	8	0	0	1711
80428	29	0	8	0	0	1711
80429	30	0	8	0	0	1711
80430	31	0	8	0	0	1711
80431	32	0	8	0	0	1711
80432	33	0	8	0	0	1711
80433	34	0	8	0	0	1711
80434	35	0	8	0	0	1711
80435	36	0	8	0	0	1711
80436	37	0	8	0	0	1711
80437	38	0	8	0	0	1711
80438	39	0	8	0	0	1711
80439	40	0	8	0	0	1711
80440	41	0	8	0	0	1711
80441	42	0	8	0	0	1711
80442	43	0	8	0	0	1711
80443	44	0	8	0	0	1711
80444	45	0	8	0	0	1711
80445	46	0	8	0	0	1711
80446	47	0	8	0	0	1711
80447	48	0	8	0	0	1711
80448	49	0	8	0	0	1711
80449	50	0	8	0	0	1711
80450	51	0	8	0	0	1711
80451	52	0	8	0	0	1711
80452	53	0	8	0	0	1711
80453	54	0	8	0	0	1711
80454	55	0	8	0	0	1711
80455	56	0	8	0	0	1711
80456	57	0	8	0	0	1711
80457	58	0	8	0	0	1711
80458	59	0	8	0	0	1711
80459	60	0	8	0	0	1711
80460	61	0	8	0	0	2098
80461	62	0	8	0	0	2098
80462	63	0	8	0	0	2098
80463	64	0	8	0	0	2098
80464	65	0	8	0	0	2098
80465	66	0	8	0	0	2098
80466	67	0	8	0	0	2098
80467	68	0	8	0	0	2098
80468	69	0	8	0	0	2098
80469	70	0	8	0	0	2098
80470	71	0	8	0	0	2651
80471	72	0	8	0	0	2651
80472	73	0	8	0	0	2651
80473	74	0	8	0	0	2651
80474	75	0	8	0	0	2651
80475	76	0	8	0	0	2651
80476	77	0	8	0	0	2651
80477	78	0	8	0	0	2651
80478	79	0	8	0	0	2651
80479	80	0	8	0	0	2651
80480	81	0	8	0	0	3167
80481	82	0	8	0	0	3167
80482	83	0	8	0	0	3167
80483	84	0	8	0	0	3167
80484	85	0	8	0	0	3167
80485	86	0	8	0	0	3167
80486	87	0	8	0	0	3167
80487	88	0	8	0	0	3167
80488	89	0	8	0	0	3167
80489	90	0	8	0	0	3167
80490	91	0	8	0	0	3167
80491	92	0	8	0	0	3167
80492	93	0	8	0	0	3167
80493	94	0	8	0	0	3167
80494	95	0	8	0	0	3167
