ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_NameIDParam|TEXT	_DescriptionIDParam|TEXT	_NeedGold|INTEGER	_NeedGuildLevel|INTEGER	_Type|INTEGER	_TypeParam1|INTEGER	_TypeParam2|INTEGER	_Period|INTEGER	_GuildMasterLimit|BOOLEAN	_IsApplicable|BOOLEAN	_PrerequisiteType|INTEGER	_PrerequisiteID|INTEGER	_NeedJobClass|INTEGER	_TooltipItemID|INTEGER	_CheckInven|BOOLEAN	_NeedClearMissionID|INTEGER	_MainCategory|INTEGER	_SubCategoryID|TEXT	_NeedGuildPoint|INTEGER	_RewardLevel|INTEGER	_ListID|INTEGER
53	1000039378	1000040912	3	20,2,150	0	3	3	40	0	0	true	true	1	52	0	536871233	false	0	1	0	550	3	1
54	1000039378	1000040912	4	20,3,150	0	4	3	60	0	0	true	true	1	53	0	536871234	false	0	1	0	700	4	1
55	1000039378	1000040912	5	20,4,150	0	5	3	80	0	0	true	true	1	54	0	536871235	false	0	1	0	850	5	1
56	1000039378	1000040912	6	10,5,150	0	6	3	90	0	0	true	true	1	55	0	536871236	false	0	1	0	1000	6	1
57	1000039378	1000040912	7	10,6,150	0	7	3	100	0	0	true	true	1	56	0	536871237	false	0	1	0	1150	7	1
58	1000039378	1000040912	8	10,7,150	0	8	3	110	0	0	true	true	1	57	0	536871238	false	0	1	0	1300	8	1
59	1000039378	1000040912	9	10,8,150	0	9	3	120	0	0	true	true	1	58	0	536871239	false	0	1	0	1450	9	1
60	1000039378	1000040912	10	10,9,150	0	10	3	130	0	0	true	true	1	59	0	536871240	false	0	1	0	1600	10	1
61	1000039378	1000040912	11	10,10,150	0	11	3	140	0	0	true	true	1	60	0	536871241	false	0	1	0	1750	11	1
62	1000039378	1000040912	12	10,11,150	0	12	3	150	0	0	true	true	1	61	0	536871242	false	0	1	0	1900	12	1
101	1000039379	1000039657			250000	1	2	536871206	1	0	true	true	0	0	0	536871206	true	0	0	3373/140037	0	0	30
102	1000039380	1000039658			1000000	4	2	536871207	2	0	true	true	2	0	0	536871207	false	0	0	3373/140037	0	0	31
201	1000039381	1000039651	1	2	0	3	5	2	0	7	true	true	0	0	0	536871248	false	0	1	0	475	1	5
202	1000039381	1000039651	2	5	0	5	5	5	0	7	true	true	0	0	0	536871249	false	0	1	0	950	2	5
203	1000039381	1000039651	3	7	0	8	5	7	0	7	true	true	0	0	0	536871250	false	0	1	0	1425	3	5
204	1000039381	1000039651	4	10	0	10	5	10	0	7	true	true	0	0	0	536871251	false	0	1	0	1900	4	5
301	1000039382	1000039395	1	10	0	6	6	10	0	7	true	true	0	0	0	536871252	false	0	1	0	950	1	6
302	1000039382	1000039395	2	15	0	9	6	15	0	7	true	true	0	0	0	536871253	false	0	1	0	1900	2	6
303	1000039382	1000039395	3	20	0	12	6	20	0	7	true	true	0	0	0	536871254	false	0	1	0	2850	3	6
304	1000039382	1000039395	4	30	0	15	6	30	0	7	true	true	0	0	0	536872091	false	0	1	0	3800	4	6
601	1000039385	1000039398	1	5	2380000	23	10	5	0	30	true	false	0	0	0	536871262	false	0	1	0	0	1	0
602	1000039385	1000039398	2	8	3070000	27	10	8	0	30	true	false	0	0	0	536871263	false	0	1	0	0	2	0
701	1000039386	1000039399	1	5	2040000	25	11	5	0	30	true	false	0	0	0	536871264	false	0	1	0	0	1	0
702	1000039386	1000039399	2	8	2730000	29	11	8	0	30	true	false	0	0	0	536871265	false	0	1	0	0	2	0
1601	1000161309	1000161315	1	1	0	1	21	1	536881071	7	true	true	0	0	0	536881071	false	0	1	0	1900	1	10
1602	1000161309	1000161315	2	2	0	3	21	2	536881072	7	true	true	0	0	0	536881072	false	0	1	0	3800	2	10
1603	1000161309	1000161315	3	3	0	5	21	3	536881073	7	true	true	0	0	0	536881073	false	0	1	0	5700	3	10
1604	1000161309	1000161315	4	4	0	7	21	4	536881074	7	true	true	0	0	0	536881074	false	0	1	0	7600	4	10
1605	1000161309	1000161315	5	5	0	9	21	5	536881075	7	true	true	0	0	0	536881075	false	0	1	0	9500	5	10
1606	1000161309	1000161315	6	6	0	11	21	6	536881076	7	true	true	0	0	0	536881076	false	0	1	0	11400	6	10
1607	1000161309	1000161315	7	7	0	13	21	7	536881077	7	true	true	0	0	0	536881077	false	0	1	0	13300	7	10
1608	1000161309	1000161315	8	8	0	15	21	8	536881078	7	true	true	0	0	0	536881078	false	0	1	0	15200	8	10
1609	1000161309	1000161315	9	9	0	17	21	9	536881079	7	true	true	0	0	0	536881079	false	0	1	0	17100	9	10
1610	1000161309	1000161315	10	10	0	19	21	10	536881080	7	true	true	0	0	0	536881080	false	0	1	0	19000	10	10
1611	1000161309	1000161315	11	11	0	21	21	11	536881081	7	true	true	0	0	0	536881081	false	0	1	0	20900	11	10
1612	1000161309	1000161315	12	12	0	23	21	12	536881082	7	true	true	0	0	0	536881082	false	0	1	0	22800	12	10
1613	1000161309	1000161315	13	13	0	25	21	13	536881083	7	true	true	0	0	0	536881083	false	0	1	0	24700	13	10
1614	1000161309	1000161315	14	14	0	27	21	14	536881084	7	true	true	0	0	0	536881084	false	0	1	0	26600	14	10
1615	1000161309	1000161315	15	15	0	29	21	15	536881085	7	true	true	0	0	0	536881085	false	0	1	0	28500	15	10
1701	1000161310	1000161316	1	1	0	2	17	1	536881086	7	true	true	0	0	0	536881086	false	0	1	0	1900	1	11
1702	1000161310	1000161316	2	2	0	4	17	2	536881087	7	true	true	0	0	0	536881087	false	0	1	0	3800	2	11
1703	1000161310	1000161316	3	3	0	6	17	3	536881088	7	true	true	0	0	0	536881088	false	0	1	0	5700	3	11
1704	1000161310	1000161316	4	4	0	8	17	4	536881089	7	true	true	0	0	0	536881089	false	0	1	0	7600	4	11
1705	1000161310	1000161316	5	5	0	10	17	5	536881090	7	true	true	0	0	0	536881090	false	0	1	0	9500	5	11
1706	1000161310	1000161316	6	6	0	12	17	6	536881091	7	true	true	0	0	0	536881091	false	0	1	0	11400	6	11
1707	1000161310	1000161316	7	7	0	14	17	7	536881092	7	true	true	0	0	0	536881092	false	0	1	0	13300	7	11
1708	1000161310	1000161316	8	8	0	16	17	8	536881093	7	true	true	0	0	0	536881093	false	0	1	0	15200	8	11
1709	1000161310	1000161316	9	9	0	18	17	9	536881094	7	true	true	0	0	0	536881094	false	0	1	0	17100	9	11
1710	1000161310	1000161316	10	10	0	20	17	10	536881095	7	true	true	0	0	0	536881095	false	0	1	0	19000	10	11
1711	1000161310	1000161316	11	11	0	22	17	11	536881096	7	true	true	0	0	0	536881096	false	0	1	0	20900	11	11
1712	1000161310	1000161316	12	12	0	24	17	12	536881097	7	true	true	0	0	0	536881097	false	0	1	0	22800	12	11
1713	1000161310	1000161316	13	13	0	26	17	13	536881098	7	true	true	0	0	0	536881098	false	0	1	0	24700	13	11
1714	1000161310	1000161316	14	14	0	28	17	14	536881099	7	true	true	0	0	0	536881099	false	0	1	0	26600	14	11
1715	1000161310	1000161316	15	15	0	30	17	15	536881100	7	true	true	0	0	0	536881100	false	0	1	0	28500	15	11
1801	1000161311	1000161317	1	3	0	21	15	3	536881101	7	true	true	0	0	0	536881101	false	0	1	0	22800	1	15
1802	1000161311	1000161317	2	5	0	27	15	5	536881102	7	true	true	0	0	0	536881102	false	0	1	0	38000	2	15
1803	1000161311	1000161317	3	7	0	33	15	7	536881103	7	true	false	0	0	0	536881103	false	0	1	0	126000	3	15
1901	1000161312	1000161318	1	3	0	24	16	3	536881104	7	true	true	0	0	0	536881104	false	0	1	0	22800	1	16
1902	1000161312	1000161318	2	5	0	30	16	5	536881105	7	true	true	0	0	0	536881105	false	0	1	0	38000	2	16
1903	1000161312	1000161318	3	7	0	36	16	7	536881106	7	true	false	0	0	0	536881106	false	0	1	0	126000	3	16
10001	1000004083	1000092094	{1000039261},{2193}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2193}	210000	12	1	536871136	0	30	false	true	0	0	1	536871136	true	0	0	3373/140039	0	0	0
10002	1000004083	1000092095	{1000039261},{2191}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2191}	210000	12	1	536871137	0	30	false	true	0	0	1	536871137	true	0	0	3373/140039	0	0	1
10003	1000004083	1000092094	{1000039261},{2194}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2194}	210000	12	1	536871138	0	30	false	true	0	0	1	536871138	true	0	0	3373/140039	0	0	2
10004	1000004083	1000092095	{1000039261},{2192}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2192}	140000	11	1	536871139	0	30	false	true	0	0	1	536871139	true	0	0	3373/140039	0	0	3
10005	1000004083	1000092095	{1000039261},{1000001963}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001963}	100000	11	1	536871155	0	30	false	true	0	0	1	536871155	true	0	0	3373/140039	0	0	10
10006	1000004083	1000092094	{1000039261},{1000001972}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001972}	70000	10	1	536871156	0	30	false	true	0	0	1	536871156	true	0	0	3373/140039	0	0	11
10007	1000004083	1000092094	{1000039261},{1000001979}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001979}	70000	8	1	536871157	0	30	false	true	0	0	1	536871157	true	0	0	3373/140039	0	0	12
10008	1000004083	1000092095	{1000039261},{40}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{40}	30000	5	1	536871158	0	30	false	true	0	0	1	536871158	true	0	0	3373/140039	0	0	13
10009	1000004083	1000092094	{1000039261},{41}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{41}	30000	7	1	536871159	0	30	false	true	0	0	1	536871159	true	0	0	3373/140039	0	0	14
10010	1000004083	1000091272	{1000039261},{1000039264}	5,5	310000	13	1	536871194	0	30	false	true	2	0	1	536871194	true	0	0	3373/140039	0	0	15
20001	1000004083	1000092094	{1000039261},{1000001883}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001883}	210000	12	1	536871140	0	30	false	true	0	0	2	536871140	true	0	0	3373/140039	0	0	0
20002	1000004083	1000092095	{1000039261},{2196}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2196}	210000	12	1	536871141	0	30	false	true	0	0	2	536871141	true	0	0	3373/140039	0	0	1
20003	1000004083	1000092094	{1000039261},{1000001894}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001894}	210000	12	1	536871142	0	30	false	true	0	0	2	536871142	true	0	0	3373/140039	0	0	2
20004	1000004083	1000092095	{1000039261},{2207}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2207}	140000	11	1	536871143	0	30	false	true	0	0	2	536871143	true	0	0	3373/140039	0	0	3
20005	1000004083	1000092094	{1000039261},{1000001981}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001981}	100000	11	1	536871160	0	30	false	true	0	0	2	536871160	true	0	0	3373/140039	0	0	10
20006	1000004083	1000092094	{1000039261},{1000001984}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001984}	70000	10	1	536871161	0	30	false	true	0	0	2	536871161	true	0	0	3373/140039	0	0	11
20007	1000004083	1000092094	{1000039261},{1000001986}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001986}	70000	8	1	536871162	0	30	false	true	0	0	2	536871162	true	0	0	3373/140039	0	0	12
20008	1000004083	1000092095	{1000039261},{1000001996}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001996}	30000	5	1	536871163	0	30	false	true	0	0	2	536871163	true	0	0	3373/140039	0	0	13
20009	1000004083	1000092094	{1000039261},{1000001997}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001997}	30000	7	1	536871164	0	30	false	true	0	0	2	536871164	true	0	0	3373/140039	0	0	14
20010	1000004083	1000091272	{1000039261},{1000039264}	5,5	310000	13	1	536871195	0	30	false	true	2	0	2	536871195	true	0	0	3373/140039	0	0	15
30001	1000004083	1000092095	{1000039261},{2201}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2201}	210000	12	1	536871144	0	30	false	true	0	0	3	536871144	true	0	0	3373/140039	0	0	0
30002	1000004083	1000092094	{1000039261},{1000001913}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001913}	210000	12	1	536871145	0	30	false	true	0	0	3	536871145	true	0	0	3373/140039	0	0	1
30003	1000004083	1000092095	{1000039261},{2199}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2199}	210000	12	1	536871146	0	30	false	true	0	0	3	536871146	true	0	0	3373/140039	0	0	2
30004	1000004083	1000092094	{1000039261},{1000001910}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001910}	140000	11	1	536871147	0	30	false	true	0	0	3	536871147	true	0	0	3373/140039	0	0	3
30005	1000004083	1000092094	{1000039261},{1000001918}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001918}	100000	11	1	536871165	0	30	false	true	0	0	3	536871165	true	0	0	3373/140039	0	0	10
30006	1000004083	1000092094	{1000039261},{1000001925}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001925}	70000	10	1	536871166	0	30	false	true	0	0	3	536871166	true	0	0	3373/140039	0	0	11
30007	1000004083	1000092094	{1000039261},{1000001932}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001932}	70000	8	1	536871167	0	30	false	true	0	0	3	536871167	true	0	0	3373/140039	0	0	12
30008	1000004083	1000092094	{1000039261},{1000002000}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000002000}	30000	5	1	536871168	0	30	false	true	0	0	3	536871168	true	0	0	3373/140039	0	0	13
30009	1000004083	1000092095	{1000039261},{1000002001}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000002001}	30000	7	1	536871169	0	30	false	true	0	0	3	536871169	true	0	0	3373/140039	0	0	14
30010	1000004083	1000091272	{1000039261},{1000039264}	5,5	310000	13	1	536871196	0	30	false	true	2	0	3	536871196	true	0	0	3373/140039	0	0	15
40001	1000004083	1000092095	{1000039261},{2203}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2203}	210000	12	1	536871148	0	30	false	true	0	0	4	536871148	true	0	0	3373/140039	0	0	0
40002	1000004083	1000092094	{1000039261},{2204}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2204}	210000	12	1	536871149	0	30	false	true	0	0	4	536871149	true	0	0	3373/140039	0	0	1
40003	1000004083	1000092094	{1000039261},{2202}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2202}	210000	12	1	536871150	0	30	false	true	0	0	4	536871150	true	0	0	3373/140039	0	0	2
40004	1000004083	1000092094	{1000039261},{1000001944}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001944}	140000	11	1	536871151	0	30	false	true	0	0	4	536871151	true	0	0	3373/140039	0	0	3
40005	1000004083	1000092094	{1000039261},{1000001988}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001988}	100000	11	1	536871170	0	30	false	true	0	0	4	536871170	true	0	0	3373/140039	0	0	10
40006	1000004083	1000092094	{1000039261},{1000001991}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001991}	70000	10	1	536871171	0	30	false	true	0	0	4	536871171	true	0	0	3373/140039	0	0	11
40007	1000004083	1000092094	{1000039261},{1000001992}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001992}	70000	8	1	536871172	0	30	false	true	0	0	4	536871172	true	0	0	3373/140039	0	0	12
40008	1000004083	1000092095	{1000039261},{1000001998}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001998}	30000	5	1	536871173	0	30	false	true	0	0	4	536871173	true	0	0	3373/140039	0	0	13
40009	1000004083	1000092094	{1000039261},{1000001999}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000001999}	30000	7	1	536871174	0	30	false	true	0	0	4	536871174	true	0	0	3373/140039	0	0	14
40010	1000004083	1000091272	{1000039261},{1000039264}	5,5	310000	13	1	536871197	0	30	false	true	2	0	4	536871197	true	0	0	3373/140039	0	0	15
50001	1000004083	1000092094	{1000039261},{1000032445}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000032445}	210000	12	1	536871152	0	30	false	true	0	0	5	536871152	true	0	0	3373/140039	0	0	0
50002	1000004083	1000092094	{1000039261},{1000033312}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000033312}	210000	12	1	536871153	0	30	false	true	0	0	5	536871153	true	0	0	3373/140039	0	0	1
50003	1000004083	1000092095	{1000039261},{1000033313}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000033313}	140000	11	1	536871154	0	30	false	true	0	0	5	536871154	true	0	0	3373/140039	0	0	2
50004	1000004083	1000092094	{1000039261},{1000033488}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000033488}	100000	11	1	536871175	0	30	false	true	0	0	5	536871175	true	0	0	3373/140039	0	0	10
50005	1000004083	1000092095	{1000039261},{1000033489}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000033489}	70000	10	1	536871176	0	30	false	true	0	0	5	536871176	true	0	0	3373/140039	0	0	11
50006	1000004083	1000092094	{1000039261},{1000033490}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000033490}	70000	8	1	536871177	0	30	false	true	0	0	5	536871177	true	0	0	3373/140039	0	0	12
50007	1000004083	1000092094	{1000039261},{1000033491}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000033491}	30000	5	1	536871178	0	30	false	true	0	0	5	536871178	true	0	0	3373/140039	0	0	13
50008	1000004083	1000092094	{1000039261},{1000033492}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000033492}	30000	7	1	536871179	0	30	false	true	0	0	5	536871179	true	0	0	3373/140039	0	0	14
50009	1000004083	1000091272	{1000039261},{1000039264}	5,5	310000	13	1	536871198	0	30	false	true	2	0	5	536871198	true	0	0	3373/140039	0	0	15
60001	1000004083	1000092094	{1000039261},{8779}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{8779}	210000	12	1	536871659	0	30	false	true	0	0	6	536871659	true	0	0	3373/140039	0	0	0
60002	1000004083	1000092094	{1000039261},{1000041665}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000041665}	210000	12	1	536871660	0	30	false	true	0	0	6	536871660	true	0	0	3373/140039	0	0	1
60003	1000004083	1000092094	{1000039261},{1000041666}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000041666}	140000	11	1	536871661	0	30	false	true	0	0	6	536871661	true	0	0	3373/140039	0	0	2
60004	1000004083	1000092094	{1000039261},{1000041700}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000041700}	100000	11	1	536871662	0	30	false	true	0	0	6	536871662	true	0	0	3373/140039	0	0	10
60005	1000004083	1000092094	{1000039261},{1000041701}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000041701}	70000	10	1	536871663	0	30	false	true	0	0	6	536871663	true	0	0	3373/140039	0	0	11
60006	1000004083	1000092094	{1000039261},{1000041702}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000041702}	70000	8	1	536871664	0	30	false	true	0	0	6	536871664	true	0	0	3373/140039	0	0	12
60007	1000004083	1000092094	{1000039261},{1000041703}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000041703}	30000	5	1	536871665	0	30	false	true	0	0	6	536871665	true	0	0	3373/140039	0	0	13
60008	1000004083	1000092094	{1000039261},{1000041704}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000041704}	30000	7	1	536871666	0	30	false	true	0	0	6	536871666	true	0	0	3373/140039	0	0	14
60009	1000004083	1000091272	{1000039261},{1000039264}	5,5	310000	13	1	536871668	0	30	false	true	2	0	6	536871668	true	0	0	3373/140039	0	0	15
70001	1000004083	1000092094	{1000039261},{2165}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2165}	210000	12	1	536872767	0	30	false	true	0	0	7	536872767	true	0	0	3373/140039	0	0	0
70002	1000004083	1000092094	{1000039261},{2167}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2167}	140000	11	1	536872768	0	30	false	true	0	0	7	536872768	true	0	0	3373/140039	0	0	1
70003	1000004083	1000092094	{1000039261},{2166}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{2166}	210000	12	1	536873856	0	30	false	true	0	0	7	536873856	true	0	0	3373/140039	0	0	2
70004	1000004083	1000092094	{1000039261},{1000057022}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000057022}	100000	11	1	536872769	0	30	false	true	0	0	7	536872769	true	0	0	3373/140039	0	0	10
70005	1000004083	1000092094	{1000039261},{1000057023}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000057023}	70000	10	1	536872770	0	30	false	true	0	0	7	536872770	true	0	0	3373/140039	0	0	11
70006	1000004083	1000092094	{1000039261},{1000057020}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000057020}	70000	8	1	536872771	0	30	false	true	0	0	7	536872771	true	0	0	3373/140039	0	0	12
70007	1000004083	1000092094	{1000039261},{1000057021}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000057021}	30000	5	1	536872772	0	30	false	true	0	0	7	536872772	true	0	0	3373/140039	0	0	13
70008	1000004083	1000092094	{1000039261},{1000057024}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000057024}	30000	7	1	536872773	0	30	false	true	0	0	7	536872773	true	0	0	3373/140039	0	0	14
70009	1000004083	1000091272	{1000039261},{1000039264}	5,5	310000	13	1	536872775	0	30	false	true	2	0	7	536872775	true	0	0	3373/140039	0	0	15
80001	1000004083	1000092094	{1000039261},{1000072229}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000072229}	210000	12	1	536875283	0	30	false	true	0	0	8	536875283	true	0	0	3373/140039	0	0	0
80002	1000004083	1000092094	{1000039261},{1000072230}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000072230}	140000	11	1	536875284	0	30	false	true	0	0	8	536875284	true	0	0	3373/140039	0	0	1
80003	1000004083	1000092094	{1000039261},{1000075078}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000075078}	100000	11	1	536875278	0	30	false	true	0	0	8	536875278	true	0	0	3373/140039	0	0	10
80004	1000004083	1000092094	{1000039261},{1000075081}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000075081}	70000	10	1	536875279	0	30	false	true	0	0	8	536875279	true	0	0	3373/140039	0	0	11
80005	1000004083	1000092094	{1000039261},{1000075077}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000075077}	70000	8	1	536875280	0	30	false	true	0	0	8	536875280	true	0	0	3373/140039	0	0	12
80006	1000004083	1000092094	{1000039261},{1000075079}	6,6,6,6,6,2,3,4.00,5,6.00,2,7,10.00,2,{1000039261},{1000075079}	30000	5	1	536875281	0	30	false	true	0	0	8	536875281	true	0	0	3373/140039	0	0	13
