ROWID	_SubCategoryID|TEXT	_TitleNameID|INTEGER	_SubTitleNameID|INTEGER	_TitleNameIDParam|TEXT	_SubTitleNameIDParam|TEXT	_Icon|INTEGER	_AchieveIcon|INTEGER	_RewardAppellation|INTEGER	_RewardPoint|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_CounterParam|INTEGER	_CounterOperator|INTEGER	_AchieveCheckType|BOOLEAN	_type|INTEGER	_typeParam|INTEGER	_MailID|INTEGER	_StartTime|TEXT	_EndTime|TEXT	_MinLevel|INTEGER	_MaxLevel|INTEGER
700038	1000144780	1000148030	1000160334		{9768},{1000000878},1	3	0	0	0	3	3	413	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700039	1000144780	1000148030	1000160334		{9768},{1000000879},1	3	0	0	0	3	3	424	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700040	1000144780	1000148030	1000160334		{9768},{1000003603},1	3	0	0	0	3	3	432	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700041	1000144780	1000148030	1000160334		{9768},{1000007832},1	3	0	0	0	3	3	444	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700042	1000144780	1000148030	1000160334		{9768},{1000007833},1	3	0	0	0	3	3	453	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700043	1000144780	1000148030	1000160334		{9767},{1000000876},1	3	0	0	0	3	3	463	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700044	1000144780	1000148030	1000160334		{9767},{1000007834},1	3	0	0	0	3	3	474	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700045	1000144780	1000148030	1000160334		{1000000831},{1000025062},1	3	0	0	0	3	3	511	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700046	1000144780	1000148030	1000160334		{1000000831},{1000020627},1	3	0	0	0	3	3	523	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700047	1000144780	1000148030	1000160334		{1000000831},{1000022770},1	3	0	0	0	3	3	542	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700048	1000144780	1000148030	1000160334		{1000000831},{1000022771},1	3	0	0	0	3	3	553	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700049	1000144780	1000148030	1000160334		{1000000831},{1000022772},1	3	0	0	0	3	3	563	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700050	1000144780	1000148030	1000160334		{1000000831},{1000037049},1	3	0	0	0	3	3	572	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700051	1000144780	1000148030	1000160334		{1000000831},{1000036464},1	3	0	0	0	3	3	582	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700052	1000144780	1000148030	1000160334		{1000000831},{1000033853},1	3	0	0	0	3	3	591	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700053	1000144780	1000148030	1000160334		{1000000831},{1000157669},1	3	0	0	0	3	3	601	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700054	1000144780	1000148030	1000160334		{1000000831},{1000041427},1	3	0	0	0	3	3	612	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700055	1000144780	1000148030	1000160334		{1000000831},{1000042627},1	3	0	0	0	3	3	622	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700056	1000144780	1000148030	1000160334		{1000000831},{1000042636},1	3	0	0	0	3	3	632	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700057	1000144780	1000148030	1000160334		{1000000831},{1000036461},1	3	0	0	0	3	3	641	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700058	1000144780	1000148030	1000160334		{1000000831},{1000036462},1	3	0	0	0	3	3	651	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700059	1000144780	1000148030	1000160334		{1000000831},{1000036463},1	3	0	0	0	3	3	662	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700060	1000144780	1000148030	1000160334		{1000000831},{1000039766},1	3	0	0	0	3	3	671	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700061	1000144780	1000148030	1000160334		{1000000831},{1000039767},1	3	0	0	0	3	3	681	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700062	1000144780	1000148030	1000160334		{1000000831},{10098},1	3	0	0	0	3	3	691	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700063	1000144780	1000148030	1000160334		{1000000831},{10097},1	3	0	0	0	3	3	700	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700064	1000144780	1000148030	1000160334		{1000000831},{10103},1	3	0	0	0	3	3	710	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700065	1000144780	1000148030	1000160334		{1000000831},{10105},1	3	0	0	0	3	3	721	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700066	1000144780	1000148030	1000160334		{1000000831},{1000050763},1	3	0	0	0	3	3	731	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700067	1000144780	1000148030	1000160334		{1000000831},{1000051678},1	3	0	0	0	3	3	741	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700068	1000144780	1000148030	1000160334		{1000000831},{1000050765},1	3	0	0	0	3	3	751	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700069	1000144780	1000148030	1000160334		{1000057769},{1000054964},1	3	0	0	0	3	3	761	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700070	1000144780	1000148030	1000160334		{1000057769},{1000091152},1	3	0	0	0	3	3	771	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700071	1000144780	1000148030	1000160334		{1000057769},{1000054966},1	3	0	0	0	3	3	781	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700072	1000144780	1000148030	1000160334		{1000057769},{1000054967},1	3	0	0	0	3	3	792	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700073	1000144780	1000148030	1000160334		{1000057769},{1000054968},1	3	0	0	0	3	3	801	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700074	1000144780	1000148030	1000160334		{1000057769},{1000064133},1	3	0	0	0	3	3	871	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700075	1000144780	1000148030	1000160334		{1000057769},{1000064134},1	3	0	0	0	3	3	882	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700076	1000144780	1000148030	1000160334		{1000057769},{1000064135},1	3	0	0	0	3	3	892	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700077	1000144780	1000148030	1000160334		{1000057769},{1000066980},1	3	0	0	0	3	3	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700078	1000144780	1000148030	1000160334		{1000057769},{1000066981},1	3	0	0	0	3	3	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700079	1000144780	1000148030	1000160334		{1000057769},{1000066982},1	3	0	0	0	3	3	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700080	1000144780	1000148030	1000160334		{1000057769},{1000066983},1	3	0	0	0	3	3	1031	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700081	1000144780	1000148030	1000160334		{1000057769},{1000066984},1	3	0	0	0	3	3	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700082	1000144780	1000148030	1000160334		{1000057769},{1000066985},1	3	0	0	0	3	3	1051	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700083	1000144780	1000148030	1000160334		{1000057769},{1000066986},1	3	0	0	0	3	3	1061	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700084	1000144780	1000148030	1000160334		{1000057769},{1000066987},1	3	0	0	0	3	3	1072	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700085	1000144780	1000148030	1000160334		{1000057769},{1000082494},1	3	0	0	0	3	3	1078	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700086	1000144780	1000148030	1000160334		{1000057769},{1000082495},1	3	0	0	0	3	3	1079	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700087	1000144780	1000148030	1000160334		{1000057769},{1000082496},1	3	0	0	0	3	3	1080	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700088	1000144780	1000148030	1000160334		{1000086265},{1000086266},1	3	0	0	0	3	3	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700089	1000144780	1000148030	1000160334		{1000086265},{1000086267},1	3	0	0	0	3	3	1091	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700090	1000144780	1000148030	1000160334		{1000086265},{1000086268},1	3	0	0	0	3	3	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700091	1000144780	1000148030	1000160334		{1000086265},{1000086269},1	3	0	0	0	3	3	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700092	1000144780	1000148030	1000160334		{1000086265},{1000086270},1	3	0	0	0	3	3	1094	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700093	1000144780	1000148030	1000160334		{10312},{1000105226},1	3	0	0	0	3	3	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700094	1000144780	1000148030	1000160334		{10312},{1000106223},1	3	0	0	0	3	3	1102	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700095	1000144780	1000148030	1000160334		{10312},{1000107073},1	3	0	0	0	3	3	1103	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700096	1000144780	1000148030	1000160334		{1000086265},{1000115187},1	3	0	0	0	3	3	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700097	1000144780	1000148030	1000160334		{1000086265},{1000115188},1	3	0	0	0	3	3	1122	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700098	1000144780	1000148030	1000160334		{1000086265},{1000115189},1	3	0	0	0	3	3	1123	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700099	1000144780	1000148030	1000160334		{1000086265},{1000115190},1	3	0	0	0	3	3	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700100	1000144780	1000148030	1000160334		{1000086265},{1000115191},1	3	0	0	0	3	3	1125	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700101	1000144780	1000148030	1000160334		{10386},{10387},1	3	0	0	0	3	3	1126	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700102	1000144780	1000148030	1000160334		{10386},{10388},1	3	0	0	0	3	3	1128	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700103	1000144780	1000148030	1000160334		{1000144688},{1000137682},1	3	0	0	0	3	3	1129	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700104	1000144780	1000148030	1000160334		{1000144688},{10397},1	3	0	0	0	3	3	1130	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700105	1000144780	1000148030	1000160334		{1000144688},{10398},1	3	0	0	0	3	3	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700106	1000144780	1000148030	1000160334		{1000144688},{10399},1	3	0	0	0	3	3	1132	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5437	0	0	95	95
700107	1000144780	1000148030	1000160334		{1000057769},{10348},1	3	0	0	0	3	3	19002	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700108	1000144780	1000148030	1000160334		{1000057769},{10125},1	3	0	0	0	3	3	19004	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700109	1000144780	1000148030	1000160334		{1000057769},{10126},1	3	0	0	0	3	3	19006	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700110	1000144780	1000148030	1000160334		{10386},{10367},1	3	0	0	0	3	3	19008	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700111	1000144780	1000148030	1000160334		{1000000827},{10078},1	3	0	0	0	3	3	19011	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700112	1000144780	1000148030	1000160334		{1000000831},{10076},1	3	0	0	0	3	3	19012	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700113	1000144780	1000148030	1000160334		{10312},{10335},1	3	0	0	0	3	3	19015	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700114	1000144780	1000148030	1000160334		{9767},{10381},1	3	0	0	0	3	3	19018	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700115	1000144780	1000148030	1000160334		{9767},{9792},1	3	0	0	0	3	3	19019	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700116	1000144780	1000148030	1000160334		{1000000831},{10121},1	3	0	0	0	3	3	19021	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700117	1000144780	1000148030	1000160334		{10312},{10287},1	3	0	0	0	3	3	19024	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	5438	0	0	95	95
700118	1000144780	1000148030	1000148035		7	3	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	false	14	0	5439	0	0	95	95
700119	1000144781	1000148030	1000107824		1	3	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	5408	0	0	95	95
700123	1000144780	1000148030	1000179041			3	0	0	0	100	122	1	0	122	2	0	0	0	0	0	0	0	0	0	0	1	4	true	14	0	6691	0	0	95	95
700124	1000144780	1000148030	1000179042			3	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	6691	0	0	95	95
700125	1000144780	1000148030	1000179043			3	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	6691	0	0	95	95
700126	1000144780	1000148030	1000179044			3	0	0	0	36	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	14	0	6692	0	0	95	95
750010	1000144781	1000148031	1000148036		{10382},1	3	0	0	0	63	20	4995	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	4795	0	0	95	95
750013	1000144781	1000148031	1000148037		{10364},1	3	0	0	0	3	3	14893	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	4798	0	0	95	95
750014	1000144781	1000148031	1000148037		{10408},1	3	0	0	0	3	3	14762	0	3	14764	0	3	14766	0	0	0	0	0	0	0	1	4	true	15	0	4799	0	0	95	95
750016	1000144781	1000148031	1000148037		{10402},1	3	0	0	0	3	3	14534	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	5010	0	0	95	95
750017	1000144781	1000148031	1000148037		{10409},1	3	0	0	0	3	3	14951	0	3	14958	0	0	0	0	0	0	0	0	0	0	1	4	true	15	0	5344	0	0	95	95
750021	1000144781	1000148031	1000148037		{10412},1	3	0	0	0	3	3	14962	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	5636	0	0	95	95
750022	1000144781	1000148031	1000091915		{6328}	3	0	0	0	3	45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	false	15	0	5752	0	0	95	95
750024	1000144781	1000148031	1000148037		{1000157769},1	3	0	0	0	3	3	19657	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	5833	0	0	95	95
750025	1000144781	1000148031	1000148037		{1000106477},1	3	0	0	0	3	3	19656	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	5834	0	0	95	95
750027	1000144781	1000148031	1000148037		{10366},1	3	0	0	0	3	3	19026	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	6109	0	0	95	95
750028	1000144781	1000148031	1000148037		{1000172301},1	3	0	0	0	3	3	19691	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	6258	0	0	95	95
750029	1000144781	1000148031	1000148037		{1000174540},1	3	0	0	0	3	3	19696	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	6363	0	0	95	95
750030	1000144781	1000148031	1000148037		{1000176131},1	3	0	0	0	3	3	19698	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	6607	0	0	95	95
750031	1000144781	1000148031	1000148037		{1000178596},1	3	0	0	0	3	3	19636	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	4796	0	0	95	95
750032	1000144781	1000148031	1000148037		{1000169275},1	3	0	0	0	3	3	14982	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	6875	0	0	95	95
750033	1000144781	1000148031	1000161028		{1000169275},1	3	0	0	0	3	3	14982	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	15	0	6876	0	0	95	95
750034	1000144781	1000148031	1000161028		{1000169275},2	3	0	0	0	3	3	14982	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	false	15	0	6876	0	0	95	95
750035	1000144781	1000148031	1000161028		{1000169275},3	3	0	0	0	3	3	14982	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	false	15	0	6876	0	0	95	95
500001	0	1000029487	1000037282			2	2	0	4	3	4	1	0	45	0	0	43	0	0	67	10	5	0	0	0	1	4	false	3	0	310035	0	0	0	0
500003	0	1000029489	1000037282			2	2	0	8	3	4	3	0	45	0	0	43	0	0	67	10	5	0	0	0	1	4	false	3	0	310037	0	0	0	0
500004	0	1000029490	1000037282			2	2	0	10	3	4	4	0	45	0	0	43	0	0	67	10	5	0	0	0	1	4	false	3	0	310038	0	0	0	0
500005	0	1000029491	1000031700			2	2	0	50	3	45	1	0	45	13	0	0	0	0	0	0	0	0	0	0	1	4	true	3	1	310039	0	0	0	0
500008	0	1000029494	1000031703			2	2	0	3	4	51	66	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	false	3	2	310042	0	0	0	0
500009	0	1000029495	1000031704			2	2	0	3	4	51	64	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	false	3	2	310043	0	0	0	0
500010	0	1000029496	1000042593			2	2	0	3	4	51	65	0	51	63	0	51	72	0	51	83	0	0	0	0	10	4	true	3	2	310044	0	0	0	0
500011	0	1000029497	1000031706			2	2	0	20	3	36	4	0	45	0	0	43	0	0	0	0	0	0	0	0	1	4	false	3	3	310045	0	0	0	0
500012	0	1000029518	1000031708			2	2	0	30	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	3	3	310046	0	0	0	0
500014	0	1000038601	1000091917			2	2	0	2	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	3	3	310048	0	0	0	0
600000	0	1000046503	1000046506			3	0	0	0	57	52	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	1062	0	0	0	0
600012	0	1000046503	1000046506			3	0	0	0	57	52	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	1073	0	0	0	0
600001	0	1000046504	1000046507			3	0	0	0	57	52	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	1072	0	0	0	0
600013	0	1000046504	1000046507			3	0	0	0	57	52	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	1074	0	0	0	0
600014	0	1000046505	1000046508			3	0	0	0	57	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	1076	0	0	0	0
600015	0	1000046505	1000046508			3	0	0	0	57	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	1075	0	0	0	0
600002	0	0	0			3	0	0	0	58	52	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
600003	0	0	0			3	0	0	0	58	52	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
600004	0	0	0			3	0	0	0	58	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
600005	0	0	0			3	0	0	0	58	52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
600006	0	0	0			3	0	0	0	59	52	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
600007	0	0	0			3	0	0	0	59	52	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
600008	0	0	0			3	0	0	0	59	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
600009	0	0	0			3	0	0	0	59	52	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
600010	0	0	0			3	0	0	0	58	52	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
600011	0	0	0			3	0	0	0	59	52	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
600050	0	0	0			3	0	0	0	92	118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	false	4	0	0	0	0	0	0
