ROWID	_StageClearDropid|INTEGER	_MinLevel|INTEGER	_MaxLevel|INTEGER	_Job|INTEGER	_DropID|INTEGER	_ExDifficulty|INTEGER	_ClearGold|INTEGER
1000240	78283760	52	52	2	226498174	0	0
1000241	78283760	53	53	2	226498175	0	0
1000242	78283760	54	54	2	226498176	0	0
1000243	78283760	55	55	2	226498177	0	0
1000244	78283760	56	56	2	226498178	0	0
1000245	78283760	57	57	2	226498179	0	0
1000246	78283760	58	58	2	226498180	0	0
1000247	78283760	59	59	2	226498181	0	0
1000248	78283760	60	60	2	226498182	0	0
1000249	78283760	61	61	2	226498183	0	0
1000250	78283760	62	62	2	226498184	0	0
1000251	78283760	63	63	2	226498185	0	0
1000252	78283760	64	64	2	226498186	0	0
1000253	78283760	65	65	2	226498187	0	0
1000254	78283760	66	66	2	226498188	0	0
1000255	78283760	67	67	2	226498189	0	0
1000256	78283760	68	68	2	226498190	0	0
1000257	78283760	69	69	2	226498191	0	0
1000258	78283760	70	70	2	226498192	0	0
1000259	78283760	71	71	2	226498193	0	0
1000260	78283760	72	72	2	226498194	0	0
1000261	78283760	73	73	2	226498195	0	0
1000262	78283760	74	74	2	226498196	0	0
1000263	78283760	75	75	2	226498197	0	0
1000264	78283760	76	76	2	226498198	0	0
1000265	78283760	77	77	2	226498199	0	0
1000266	78283760	78	78	2	226498200	0	0
1000267	78283760	79	79	2	226498201	0	0
1000268	78283760	80	80	2	226498202	0	0
1000269	78283760	81	81	2	226498203	0	0
1000270	78283760	82	82	2	226498204	0	0
1000271	78283760	83	83	2	226498205	0	0
1000272	78283760	84	84	2	226498206	0	0
1000273	78283760	85	85	2	226498207	0	0
1000274	78283760	86	86	2	226498208	0	0
1000275	78283760	87	87	2	226498209	0	0
1000276	78283760	88	88	2	226498210	0	0
1000277	78283760	89	89	2	226498211	0	0
1000278	78283760	90	90	2	226498212	0	0
1000279	78283760	91	91	2	226498213	0	0
1000280	78283760	92	92	2	226498214	0	0
1000281	78283760	93	93	2	226498215	0	0
1000282	78283760	94	94	2	226498216	0	0
1000283	78283761	1	1	2	226498029	0	0
1000284	78283761	2	2	2	226498030	0	0
1000285	78283761	3	3	2	226498031	0	0
1000286	78283761	4	4	2	226498032	0	0
1000287	78283761	5	5	2	226498033	0	0
1000288	78283761	6	6	2	226498034	0	0
1000289	78283761	7	7	2	226498035	0	0
1000290	78283761	8	8	2	226498036	0	0
1000291	78283761	9	9	2	226498037	0	0
1000292	78283761	10	10	2	226498038	0	0
1000293	78283761	11	11	2	226498039	0	0
1000294	78283761	12	12	2	226498040	0	0
1000295	78283761	13	13	2	226498041	0	0
1000296	78283761	14	14	2	226498042	0	0
1000297	78283761	15	15	2	226498043	0	0
1000298	78283761	16	16	2	226498044	0	0
1000299	78283761	17	17	2	226498045	0	0
1000300	78283761	18	18	2	226498046	0	0
1000301	78283761	19	19	2	226498047	0	0
1000302	78283761	20	20	2	226498048	0	0
1000303	78283761	21	21	2	226498049	0	0
1000304	78283761	22	22	2	226498050	0	0
1000305	78283761	23	23	2	226498051	0	0
1000306	78283761	24	24	2	226498052	0	0
1000307	78283761	25	25	2	226498053	0	0
1000308	78283761	26	26	2	226498054	0	0
1000309	78283761	27	27	2	226498055	0	0
1000310	78283761	28	28	2	226498056	0	0
1000311	78283761	29	29	2	226498057	0	0
1000312	78283761	30	30	2	226498058	0	0
1000313	78283761	31	31	2	226498059	0	0
1000314	78283761	32	32	2	226498060	0	0
1000315	78283761	33	33	2	226498061	0	0
1000316	78283761	34	34	2	226498062	0	0
1000317	78283761	35	35	2	226498063	0	0
1000318	78283761	36	36	2	226498064	0	0
1000319	78283761	37	37	2	226498065	0	0
1000320	78283761	38	38	2	226498066	0	0
1000321	78283761	39	39	2	226498067	0	0
1000322	78283761	40	40	2	226498068	0	0
1000323	78283761	41	41	2	226498069	0	0
1000324	78283761	42	42	2	226498070	0	0
1000325	78283761	43	43	2	226498071	0	0
1000326	78283761	44	44	2	226498072	0	0
1000327	78283761	45	45	2	226498073	0	0
1000328	78283761	46	46	2	226498074	0	0
1000329	78283761	47	47	2	226498075	0	0
1000330	78283761	48	48	2	226498076	0	0
1000331	78283761	49	49	2	226498077	0	0
1000332	78283761	50	50	2	226498078	0	0
1000333	78283761	51	51	2	226498079	0	0
1000334	78283761	52	52	2	226498080	0	0
1000335	78283761	53	53	2	226498081	0	0
1000336	78283761	54	54	2	226498082	0	0
1000337	78283761	55	55	2	226498083	0	0
1000338	78283761	56	56	2	226498084	0	0
1000339	78283761	57	57	2	226498085	0	0
1000340	78283761	58	58	2	226498086	0	0
1000341	78283761	59	59	2	226498087	0	0
1000342	78283761	60	60	2	226498088	0	0
1000343	78283761	61	61	2	226498089	0	0
1000344	78283761	62	62	2	226498090	0	0
1000345	78283761	63	63	2	226498091	0	0
1000346	78283761	64	64	2	226498092	0	0
1000347	78283761	65	65	2	226498093	0	0
1000348	78283761	66	66	2	226498094	0	0
1000349	78283761	67	67	2	226498095	0	0
1000350	78283761	68	68	2	226498096	0	0
1000351	78283761	69	69	2	226498097	0	0
1000352	78283761	70	70	2	226498098	0	0
1000353	78283761	71	71	2	226498099	0	0
1000354	78283761	72	72	2	226498100	0	0
1000355	78283761	73	73	2	226498101	0	0
1000356	78283761	74	74	2	226498102	0	0
1000357	78283761	75	75	2	226498103	0	0
1000358	78283761	76	76	2	226498104	0	0
1000359	78283761	77	77	2	226498105	0	0
1000360	78283761	78	78	2	226498106	0	0
1000361	78283761	79	79	2	226498107	0	0
1000362	78283761	80	80	2	226498108	0	0
1000363	78283761	81	81	2	226498109	0	0
1000364	78283761	82	82	2	226498110	0	0
1000365	78283761	83	83	2	226498111	0	0
1000366	78283761	84	84	2	226498112	0	0
1000367	78283761	85	85	2	226498113	0	0
1000368	78283761	86	86	2	226498114	0	0
1000369	78283761	87	87	2	226498115	0	0
1000370	78283761	88	88	2	226498116	0	0
1000371	78283761	89	89	2	226498117	0	0
1000372	78283761	90	90	2	226498118	0	0
1000373	78283761	91	91	2	226498119	0	0
1000374	78283761	92	92	2	226498120	0	0
1000375	78283761	93	93	2	226498121	0	0
1000376	78283761	94	94	2	226498122	0	0
1000377	78283760	1	1	3	226498311	0	0
1000378	78283760	2	2	3	226498312	0	0
1000379	78283760	3	3	3	226498313	0	0
1000380	78283760	4	4	3	226498314	0	0
1000381	78283760	5	5	3	226498315	0	0
1000382	78283760	6	6	3	226498316	0	0
1000383	78283760	7	7	3	226498317	0	0
1000384	78283760	8	8	3	226498318	0	0
1000385	78283760	9	9	3	226498319	0	0
1000386	78283760	10	10	3	226498320	0	0
1000387	78283760	11	11	3	226498321	0	0
1000388	78283760	12	12	3	226498322	0	0
1000389	78283760	13	13	3	226498323	0	0
1000390	78283760	14	14	3	226498324	0	0
1000391	78283760	15	15	3	226498325	0	0
1000392	78283760	16	16	3	226498326	0	0
1000393	78283760	17	17	3	226498327	0	0
1000394	78283760	18	18	3	226498328	0	0
1000395	78283760	19	19	3	226498329	0	0
1000396	78283760	20	20	3	226498330	0	0
1000397	78283760	21	21	3	226498331	0	0
1000398	78283760	22	22	3	226498332	0	0
1000399	78283760	23	23	3	226498333	0	0
1000400	78283760	24	24	3	226498334	0	0
1000401	78283760	25	25	3	226498335	0	0
1000402	78283760	26	26	3	226498336	0	0
1000403	78283760	27	27	3	226498337	0	0
1000404	78283760	28	28	3	226498338	0	0
1000405	78283760	29	29	3	226498339	0	0
1000406	78283760	30	30	3	226498340	0	0
1000407	78283760	31	31	3	226498341	0	0
1000408	78283760	32	32	3	226498342	0	0
1000409	78283760	33	33	3	226498343	0	0
1000410	78283760	34	34	3	226498344	0	0
1000411	78283760	35	35	3	226498345	0	0
1000412	78283760	36	36	3	226498346	0	0
1000413	78283760	37	37	3	226498347	0	0
1000414	78283760	38	38	3	226498348	0	0
1000415	78283760	39	39	3	226498349	0	0
1000416	78283760	40	40	3	226498350	0	0
1000417	78283760	41	41	3	226498351	0	0
1000418	78283760	42	42	3	226498352	0	0
1000419	78283760	43	43	3	226498353	0	0
1000420	78283760	44	44	3	226498354	0	0
1000421	78283760	45	45	3	226498355	0	0
1000422	78283760	46	46	3	226498356	0	0
1000423	78283760	47	47	3	226498357	0	0
1000424	78283760	48	48	3	226498358	0	0
1000425	78283760	49	49	3	226498359	0	0
1000426	78283760	50	50	3	226498360	0	0
1000427	78283760	51	51	3	226498361	0	0
1000428	78283760	52	52	3	226498362	0	0
1000429	78283760	53	53	3	226498363	0	0
1000430	78283760	54	54	3	226498364	0	0
1000431	78283760	55	55	3	226498365	0	0
1000432	78283760	56	56	3	226498366	0	0
1000433	78283760	57	57	3	226498367	0	0
1000434	78283760	58	58	3	226498368	0	0
1000435	78283760	59	59	3	226498369	0	0
1000436	78283760	60	60	3	226498370	0	0
1000437	78283760	61	61	3	226498371	0	0
1000438	78283760	62	62	3	226498372	0	0
1000439	78283760	63	63	3	226498373	0	0
1000440	78283760	64	64	3	226498374	0	0
1000441	78283760	65	65	3	226498375	0	0
1000442	78283760	66	66	3	226498376	0	0
1000443	78283760	67	67	3	226498377	0	0
1000444	78283760	68	68	3	226498378	0	0
1000445	78283760	69	69	3	226498379	0	0
1000446	78283760	70	70	3	226498380	0	0
1000447	78283760	71	71	3	226498381	0	0
1000448	78283760	72	72	3	226498382	0	0
1000449	78283760	73	73	3	226498383	0	0
1000450	78283760	74	74	3	226498384	0	0
1000451	78283760	75	75	3	226498385	0	0
1000452	78283760	76	76	3	226498386	0	0
1000453	78283760	77	77	3	226498387	0	0
1000454	78283760	78	78	3	226498388	0	0
1000455	78283760	79	79	3	226498389	0	0
1000456	78283760	80	80	3	226498390	0	0
1000457	78283760	81	81	3	226498391	0	0
1000458	78283760	82	82	3	226498392	0	0
1000459	78283760	83	83	3	226498393	0	0
1000460	78283760	84	84	3	226498394	0	0
1000461	78283760	85	85	3	226498395	0	0
1000462	78283760	86	86	3	226498396	0	0
1000463	78283760	87	87	3	226498397	0	0
1000464	78283760	88	88	3	226498398	0	0
1000465	78283760	89	89	3	226498399	0	0
1000466	78283760	90	90	3	226498400	0	0
1000467	78283760	91	91	3	226498401	0	0
1000468	78283760	92	92	3	226498402	0	0
1000469	78283760	93	93	3	226498403	0	0
1000470	78283760	94	94	3	226498404	0	0
1000471	78283761	1	1	3	226498217	0	0
1000472	78283761	2	2	3	226498218	0	0
1000473	78283761	3	3	3	226498219	0	0
1000474	78283761	4	4	3	226498220	0	0
1000475	78283761	5	5	3	226498221	0	0
1000476	78283761	6	6	3	226498222	0	0
1000477	78283761	7	7	3	226498223	0	0
1000478	78283761	8	8	3	226498224	0	0
1000479	78283761	9	9	3	226498225	0	0
1000480	78283761	10	10	3	226498226	0	0
1000481	78283761	11	11	3	226498227	0	0
1000482	78283761	12	12	3	226498228	0	0
1000483	78283761	13	13	3	226498229	0	0
1000484	78283761	14	14	3	226498230	0	0
1000485	78283761	15	15	3	226498231	0	0
1000486	78283761	16	16	3	226498232	0	0
1000487	78283761	17	17	3	226498233	0	0
1000488	78283761	18	18	3	226498234	0	0
1000489	78283761	19	19	3	226498235	0	0
1000490	78283761	20	20	3	226498236	0	0
1000491	78283761	21	21	3	226498237	0	0
1000492	78283761	22	22	3	226498238	0	0
1000493	78283761	23	23	3	226498239	0	0
1000494	78283761	24	24	3	226498240	0	0
1000495	78283761	25	25	3	226498241	0	0
1000496	78283761	26	26	3	226498242	0	0
1000497	78283761	27	27	3	226498243	0	0
1000498	78283761	28	28	3	226498244	0	0
1000499	78283761	29	29	3	226498245	0	0
1000500	78283761	30	30	3	226498246	0	0
1000501	78283761	31	31	3	226498247	0	0
1000502	78283761	32	32	3	226498248	0	0
1000503	78283761	33	33	3	226498249	0	0
1000504	78283761	34	34	3	226498250	0	0
1000505	78283761	35	35	3	226498251	0	0
1000506	78283761	36	36	3	226498252	0	0
1000507	78283761	37	37	3	226498253	0	0
1000508	78283761	38	38	3	226498254	0	0
1000509	78283761	39	39	3	226498255	0	0
1000510	78283761	40	40	3	226498256	0	0
1000511	78283761	41	41	3	226498257	0	0
1000512	78283761	42	42	3	226498258	0	0
1000513	78283761	43	43	3	226498259	0	0
1000514	78283761	44	44	3	226498260	0	0
1000515	78283761	45	45	3	226498261	0	0
1000516	78283761	46	46	3	226498262	0	0
1000517	78283761	47	47	3	226498263	0	0
1000518	78283761	48	48	3	226498264	0	0
1000519	78283761	49	49	3	226498265	0	0
1000520	78283761	50	50	3	226498266	0	0
1000521	78283761	51	51	3	226498267	0	0
1000522	78283761	52	52	3	226498268	0	0
1000523	78283761	53	53	3	226498269	0	0
1000524	78283761	54	54	3	226498270	0	0
1000525	78283761	55	55	3	226498271	0	0
1000526	78283761	56	56	3	226498272	0	0
1000527	78283761	57	57	3	226498273	0	0
1000528	78283761	58	58	3	226498274	0	0
1000529	78283761	59	59	3	226498275	0	0
1000530	78283761	60	60	3	226498276	0	0
1000531	78283761	61	61	3	226498277	0	0
1000532	78283761	62	62	3	226498278	0	0
1000533	78283761	63	63	3	226498279	0	0
1000534	78283761	64	64	3	226498280	0	0
1000535	78283761	65	65	3	226498281	0	0
1000536	78283761	66	66	3	226498282	0	0
1000537	78283761	67	67	3	226498283	0	0
1000538	78283761	68	68	3	226498284	0	0
1000539	78283761	69	69	3	226498285	0	0
1000540	78283761	70	70	3	226498286	0	0
1000541	78283761	71	71	3	226498287	0	0
1000542	78283761	72	72	3	226498288	0	0
1000543	78283761	73	73	3	226498289	0	0
1000544	78283761	74	74	3	226498290	0	0
1000545	78283761	75	75	3	226498291	0	0
1000546	78283761	76	76	3	226498292	0	0
1000547	78283761	77	77	3	226498293	0	0
1000548	78283761	78	78	3	226498294	0	0
1000549	78283761	79	79	3	226498295	0	0
1000550	78283761	80	80	3	226498296	0	0
1000551	78283761	81	81	3	226498297	0	0
1000552	78283761	82	82	3	226498298	0	0
1000553	78283761	83	83	3	226498299	0	0
1000554	78283761	84	84	3	226498300	0	0
1000555	78283761	85	85	3	226498301	0	0
1000556	78283761	86	86	3	226498302	0	0
1000557	78283761	87	87	3	226498303	0	0
1000558	78283761	88	88	3	226498304	0	0
1000559	78283761	89	89	3	226498305	0	0
1000560	78283761	90	90	3	226498306	0	0
1000561	78283761	91	91	3	226498307	0	0
1000562	78283761	92	92	3	226498308	0	0
1000563	78283761	93	93	3	226498309	0	0
1000564	78283761	94	94	3	226498310	0	0
1000565	78283760	1	1	4	226498499	0	0
1000566	78283760	2	2	4	226498500	0	0
1000567	78283760	3	3	4	226498501	0	0
1000568	78283760	4	4	4	226498502	0	0
1000569	78283760	5	5	4	226498503	0	0
1000570	78283760	6	6	4	226498504	0	0
1000571	78283760	7	7	4	226498505	0	0
1000572	78283760	8	8	4	226498506	0	0
1000573	78283760	9	9	4	226498507	0	0
1000574	78283760	10	10	4	226498508	0	0
1000575	78283760	11	11	4	226498509	0	0
1000576	78283760	12	12	4	226498510	0	0
1000577	78283760	13	13	4	226498511	0	0
1000578	78283760	14	14	4	226498512	0	0
1000579	78283760	15	15	4	226498513	0	0
1000580	78283760	16	16	4	226498514	0	0
1000581	78283760	17	17	4	226498515	0	0
1000582	78283760	18	18	4	226498516	0	0
1000583	78283760	19	19	4	226498517	0	0
1000584	78283760	20	20	4	226498518	0	0
1000585	78283760	21	21	4	226498519	0	0
1000586	78283760	22	22	4	226498520	0	0
1000587	78283760	23	23	4	226498521	0	0
1000588	78283760	24	24	4	226498522	0	0
1000589	78283760	25	25	4	226498523	0	0
1000590	78283760	26	26	4	226498524	0	0
1000591	78283760	27	27	4	226498525	0	0
1000592	78283760	28	28	4	226498526	0	0
1000593	78283760	29	29	4	226498527	0	0
1000594	78283760	30	30	4	226498528	0	0
1000595	78283760	31	31	4	226498529	0	0
1000596	78283760	32	32	4	226498530	0	0
1000597	78283760	33	33	4	226498531	0	0
1000598	78283760	34	34	4	226498532	0	0
1000599	78283760	35	35	4	226498533	0	0
1000600	78283760	36	36	4	226498534	0	0
1000601	78283760	37	37	4	226498535	0	0
1000602	78283760	38	38	4	226498536	0	0
1000603	78283760	39	39	4	226498537	0	0
1000604	78283760	40	40	4	226498538	0	0
1000605	78283760	41	41	4	226498539	0	0
1000606	78283760	42	42	4	226498540	0	0
1000607	78283760	43	43	4	226498541	0	0
1000608	78283760	44	44	4	226498542	0	0
1000609	78283760	45	45	4	226498543	0	0
1000610	78283760	46	46	4	226498544	0	0
1000611	78283760	47	47	4	226498545	0	0
1000612	78283760	48	48	4	226498546	0	0
1000613	78283760	49	49	4	226498547	0	0
1000614	78283760	50	50	4	226498548	0	0
1000615	78283760	51	51	4	226498549	0	0
1000616	78283760	52	52	4	226498550	0	0
1000617	78283760	53	53	4	226498551	0	0
1000618	78283760	54	54	4	226498552	0	0
1000619	78283760	55	55	4	226498553	0	0
1000620	78283760	56	56	4	226498554	0	0
1000621	78283760	57	57	4	226498555	0	0
1000622	78283760	58	58	4	226498556	0	0
1000623	78283760	59	59	4	226498557	0	0
1000624	78283760	60	60	4	226498558	0	0
1000625	78283760	61	61	4	226498559	0	0
1000626	78283760	62	62	4	226498560	0	0
1000627	78283760	63	63	4	226498561	0	0
