ROWID	_StaticName|TEXT	_Class|INTEGER	_SkinName|INTEGER	_AniName|INTEGER	_ActName|INTEGER	_CamName|INTEGER	_Press|INTEGER	_SizeParam1|INTEGER	_SizeParam2|INTEGER	_Material|INTEGER	_Weight|DOUBLE	_Height|INTEGER	_RotationAngleSpeed|DOUBLE	_PressLevel|INTEGER	_TwoPassAlpha|BOOLEAN	_RandomFrameSummon|BOOLEAN	_throughpass|BOOLEAN	_ContentsID|TEXT
26	X_KoboldWarriorGray	11	2095	2574	2890	3315	0	35	0	0	1.0	100	720.0	0	true	true	false	
27	X_KoboldWarriorBlue	11	2096	2574	2890	3315	0	35	0	0	1.0	100	720.0	0	true	true	false	
28	X_KoboldWarriorBlack	11	2097	2574	2890	3315	0	35	0	0	1.0	100	720.0	0	true	true	false	
29	X_KoboldWarriorRed	11	2098	2574	2891	3315	0	35	0	0	1.0	100	720.0	0	true	true	false	
30	X_GoblinGreen	11	2099	2575	2892	3316	0	35	0	0	1.0	100	720.0	0	true	true	false	
31	X_GoblinBlue	11	2100	2575	2892	3316	0	35	0	0	1.0	100	720.0	0	true	true	false	
32	X_GoblinWhite	11	2101	2575	2892	3316	0	35	0	0	1.0	100	720.0	0	true	true	false	
33	X_GoblinBlack	12	2102	2575	2892	3316	0	35	0	0	1.0	100	720.0	0	true	true	false	
34	X_GoblinRed	11	2103	2575	2892	3316	0	35	0	0	1.0	100	720.0	0	true	true	false	
35	X_SkeletonGray	11	2104	2576	2893	3317	0	38	0	0	3.0	100	720.0	0	true	true	false	
36	X_SkeletonBlue	11	2104	2576	2893	3317	0	38	0	0	1.0	100	720.0	0	true	true	false	
37	X_SkeletonWhite	11	2104	2576	2893	3317	0	38	0	0	1.0	100	720.0	0	true	true	false	
38	X_SkeletonBlack	11	2104	2576	2893	3317	0	38	0	0	1.0	100	720.0	0	true	true	false	
39	X_SkeletonRed	11	2104	2576	2893	3317	0	38	0	0	1.0	100	720.0	0	true	true	false	
40	X_BatBlack	13	2105	2577	2894	3318	0	20	0	0	1.0	100	720.0	0	true	true	false	
41	X_DarkelfGray	13	2106	2578	2895	3319	0	35	0	0	1.0	100	720.0	0	true	true	false	
42	X_DarkelfBlue	13	2106	2578	2895	3319	0	35	0	0	1.0	100	720.0	0	true	true	false	
43	X_DarkelfBlack	13	2106	2578	2895	3319	0	35	0	0	1.0	100	720.0	0	true	true	false	
44	X_DarkelfRed	13	2107	2578	2895	3319	0	35	0	0	1.0	100	720.0	0	true	true	false	
45	X_OrcGreen	12	2108	2579	2896	3320	0	45	0	0	1.1	100	500.0	1	true	true	false	
46	X_OrcBlue	12	2109	2579	2896	3320	0	45	0	0	1.1	100	720.0	1	true	true	false	
47	X_OrcBlack	12	2110	2579	2896	3320	0	45	0	0	1.1	100	720.0	1	true	true	false	
48	X_OrcRed	12	2111	2579	2896	3320	0	45	0	0	1.1	100	720.0	1	true	true	false	
49	X_LizardmanGreen	12	2112	2580	2897	3321	0	60	0	0	1.0	100	720.0	1	true	true	false	
50	X_LizardmanBlue	12	2113	2580	2897	3321	0	60	0	0	1.0	100	720.0	1	true	true	false	
51	X_LizardmanWhite	12	2114	2580	2897	3321	0	60	0	0	1.0	100	720.0	1	true	true	false	
52	X_LizardmanBlack	12	2115	2580	2897	3321	0	60	0	0	1.0	100	720.0	1	true	true	false	
53	X_LizardmanRed	12	2116	2580	2897	3321	0	60	0	0	1.0	100	720.0	1	true	true	false	
54	X_SpiderYellow	14	2117	2581	2898	3322	0	40	0	0	1.0	100	720.0	0	true	true	false	
55	X_SpiderBlue	14	2118	2581	2898	3322	0	40	0	0	1.0	100	720.0	0	true	true	false	
56	X_SpiderBlack	14	2119	2581	2898	3322	0	40	0	0	1.0	100	720.0	0	true	true	false	
57	X_KoboldArcherYellow	14	2120	2582	2899	3315	0	35	0	0	1.0	100	720.0	0	true	true	false	
58	X_KoboldArcherGreen	14	2120	2582	2899	3315	0	35	0	0	1.0	100	720.0	0	true	true	false	
59	X_KoboldArcherBlue	14	2120	2582	2899	3315	0	35	0	0	1.0	100	720.0	0	true	true	false	
60	X_KoboldArcherRed	14	2120	2582	2899	3315	0	35	0	0	1.0	100	720.0	0	true	true	false	
61	X_TrollBlue	16	2121	2583	2900	3323	0	60	0	0	1.15	100	360.0	1	true	true	false	
62	X_TrollWhite	16	2122	2583	2900	3323	0	60	0	0	1.0	100	360.0	1	true	true	false	
63	X_TrollBlack	16	2123	2583	2900	3323	0	60	0	0	1.0	100	360.0	1	true	true	false	
64	X_TrollRed	16	2124	2583	2900	3323	0	60	0	0	1.0	100	360.0	1	true	true	false	
65	X_GargoyleGray	15	2125	2584	2901	3324	0	60	0	0	1.0	100	720.0	1	true	true	false	
66	X_GargoyleBlue	15	2125	2584	2901	3324	0	60	0	0	1.0	100	720.0	1	true	true	false	
67	X_GargoyleWhite	15	2125	2584	2901	3324	0	60	0	0	1.0	100	720.0	1	true	true	false	
68	X_GargoyleBlack	15	2125	2584	2901	3324	0	60	0	0	1.0	100	720.0	1	true	true	false	
69	X_GargoyleRed	15	2125	2584	2901	3324	0	60	0	0	1.0	100	720.0	1	true	true	false	
70	X_OgreWhite	16	2126	2585	2902	3325	0	100	0	0	5.0	100	200.0	1	true	true	false	
71	X_OgreBlack	16	2126	2585	2902	3325	0	100	0	0	1.0	100	72.0	1	true	true	false	
72	X_OgreRed	16	2126	2585	2902	3325	0	100	0	0	1.0	100	72.0	1	true	true	false	
73	X_GrassGolem	16	2127	2586	2903	0	0	150	0	0	10.0	100	72.0	1	true	true	false	
74	X_StoneGolem	16	2127	2586	2903	0	0	150	0	0	5.0	100	72.0	1	true	true	false	
75	X_IceGolem	16	2127	2586	2903	0	0	150	0	0	5.0	100	72.0	1	true	true	false	
76	X_Firegolem	16	2127	2586	2903	0	0	150	0	0	5.0	100	72.0	1	true	true	false	
77	X_IonGolem	16	2127	2586	2903	0	0	150	0	0	5.0	100	72.0	1	true	true	false	
78	X_BrooWhite	17	2128	2587	2904	3326	0	30	0	0	1.1	100	720.0	0	true	true	false	
79	X_BrooBlack	17	2129	2587	2904	3326	0	30	0	0	1.1	100	720.0	0	true	true	false	
80	X_BrooRed	17	2130	2587	2904	3326	0	30	0	0	1.1	100	720.0	0	true	true	false	
81	X_MimicNormal	18	2131	2588	2905	0	0	40	0	2	1.0	40	720.0	0	true	true	false	
82	X_MimicSilver	18	2131	2588	2905	0	0	40	0	0	1.0	40	720.0	0	true	true	false	
83	X_MimicGold	18	2131	2588	2905	0	0	40	0	0	1.0	40	720.0	0	true	true	false	
84	X_MimicRare	18	2131	2588	2905	0	0	40	0	0	1.0	40	720.0	0	true	true	false	
85	X_Basilisk	70	2132	2589	2906	0	0	5000	0	0	1.0	100	720.0	0	true	true	false	
86	X_Beholder	71	2133	2590	2907	0	0	250	0	0	5.0	300	72.0	0	true	true	false	
87	X_WraithGray	17	2134	2591	2908	3327	0	60	0	0	1.0	100	720.0	0	true	true	false	
88	X_WraithBlue	17	2134	2591	2908	3327	0	60	0	0	1.0	100	720.0	0	true	true	false	
89	X_WraithWhite	17	2134	2591	2908	3327	0	60	0	0	1.0	100	720.0	0	true	true	false	
90	X_WraithBlack	17	2134	2591	2908	3327	0	60	0	0	1.0	100	720.0	0	true	true	false	
91	X_WraithRed	17	2134	2591	2908	3327	0	60	0	0	1.0	100	720.0	0	true	true	false	
92	X_MinotaurosNormal	16	2135	2592	2909	3328	0	100	0	0	5.0	300	360.0	1	true	true	false	
93	X_MinotaurosStrong	16	2136	2592	2909	3328	0	100	0	0	5.0	300	360.0	1	true	true	false	
94	X_MinotaurosHeavy	16	2137	2592	2909	3328	0	100	0	0	5.0	100	360.0	1	true	true	false	
95	X_HarpyBlue	17	2138	2593	2910	3329	0	50	0	0	1.0	300	720.0	1	true	true	false	
96	X_HarpyWhite	17	2138	2593	2910	3329	0	50	0	0	1.0	100	720.0	1	true	true	false	
97	X_HarpyBlack	17	2138	2593	2910	3329	0	50	0	0	1.0	100	720.0	1	true	true	false	
98	X_HarpyRed	17	2139	2593	2910	3329	0	50	0	0	1.0	100	720.0	1	true	true	false	
99	X_Beholder_eye	11	2140	2594	2911	0	0	30	0	0	1.2	100	720.0	0	true	true	false	
100	X_LamiaGreen	12	2141	2595	2912	0	0	80	0	0	1.2	100	720.0	1	true	true	false	
101	X_LamiaGray	12	2141	2595	2912	0	0	80	0	0	1.2	100	720.0	1	true	true	false	
102	X_LamiaBlue	12	2141	2595	2912	0	0	80	0	0	1.0	100	720.0	1	true	true	false	
103	X_LamiaBlack	12	2141	2595	2912	0	0	80	0	0	1.0	100	720.0	1	true	true	false	
104	X_LamiaRed	12	2141	2595	2912	0	0	80	0	0	1.0	100	720.0	1	true	true	false	
105	X_BlackDragon	72	2142	2596	2913	0	0	3000	0	0	5.0	100	720.0	0	true	true	false	
106	X_GoldDragon	73	2143	2597	2914	0	0	3000	0	0	5.0	100	720.0	0	true	true	false	
107	X_Manticore	74	2144	2598	2915	3330	0	200	0	0	10.0	100	120.0	5	true	true	false	
108	X_Cerberos	75	2145	2599	2916	0	0	300	0	0	1.1	100	720.0	0	true	true	false	
109	X_BatBlue	13	2146	2577	2894	3318	0	20	0	0	1.0	100	720.0	0	true	true	false	
110	X_BatGray	13	2147	2577	2894	3318	0	20	0	0	1.0	100	720.0	0	true	true	false	
111	X_MinotaurosWhite	16	2148	2592	2909	3328	0	150	0	0	5.0	100	360.0	1	true	true	false	
112	X_MinotaurosRed	16	2148	2592	2909	3328	0	150	0	0	5.0	100	360.0	1	true	true	false	
113	X_GhoulMummy	10	2149	2573	2889	3314	0	30	0	0	1.0	100	720.0	0	true	true	false	
114	Academic	1	2150	2571	2886	3312	0	35	0	0	1.1	100	720.0	0	true	true	false	
150	Wa_Select	100	17250	17257	17243	3308	0	35	0	0	1.1	100	720.0	0	true	true	false	
151	Ar_Select	100	17246	17253	17239	3309	0	35	0	0	1.1	100	720.0	0	true	true	false	
152	So_Select	100	17249	17256	17242	3310	0	35	0	0	1.1	100	720.0	0	true	true	false	
153	Cl_Select	100	17247	17254	17240	3311	0	35	0	0	1.1	100	720.0	0	true	true	false	
154	Ac_Select	100	17245	17252	17238	3312	0	35	0	0	1.1	100	720.0	0	true	true	false	
155	Ka_Select	100	17248	17255	17241	3312	0	35	0	0	1.1	100	720.0	0	true	true	false	
156	BlackD_Select	100	17251	17258	17244	3367	1	200	200	0	10.0	500	40.0	10	true	false	false	
158	LamiaGray	12	18798	2595	19366	3336	0	80	0	0	1.2	100	720.0	1	true	true	false	
201	Vandar	201	63555	63067	63069	63085	0	35	0	0	1.1	100	720.0	0	true	true	false	
500	Ghost_Warrior	0	2151	2600	2917	15934	0	35	0	0	1.1	100	720.0	0	true	true	false	
501	Ghost_Archer	1	2152	2600	2917	15934	0	35	0	0	1.1	100	720.0	0	true	true	false	
502	Ghost_Soceress	2	2153	2600	2917	15934	0	35	0	0	1.1	100	720.0	0	true	true	false	
503	Ghost_Cleric	3	2154	2600	2917	15934	0	35	0	0	1.1	100	720.0	0	true	true	false	
504	Ghost_Academic	4	2155	2600	2917	15934	0	35	0	0	1.1	100	720.0	0	true	true	false	
505	Ghost_Kali	5	17604	2600	2917	15934	0	35	0	0	1.1	100	720.0	0	true	true	false	
506	Ghost_Assassin	6	25492	2600	2917	15934	0	35	0	0	1.1	100	720.0	0	true	true	false	
507	Ghost_Lencea	7	31054	2600	2917	15934	0	35	0	0	1.1	100	720.0	0	true	true	false	
508	Ghost_Machina	8	37725	2600	2917	15934	0	35	0	0	1.1	100	720.0	0	true	true	false	
600	Ghoul_Player	10	2089	2573	2918	15965	0	35	0	0	1.3	100	720.0	0	true	true	false	
601	Ghoul_Player	10	2090	2573	2918	15966	0	35	0	0	1.3	100	720.0	0	true	true	false	
602	Ghoul_Player	10	2088	2573	2918	15967	0	35	0	0	1.3	100	720.0	0	true	true	false	
603	Ghoul_Player	10	2092	2573	2918	15968	0	35	0	0	1.3	100	720.0	0	true	true	false	
604	Ghoul_Player	10	2091	2573	2918	15969	0	35	0	0	1.3	100	720.0	0	true	true	false	
605	Ghoul_Player	10	2149	2573	2918	15970	0	35	0	0	1.3	100	720.0	0	true	true	false	
700	Ghost_Vandar	201	63070	2600	2917	15934	0	35	0	0	1.1	100	720.0	0	true	true	false	
1000	NPC_Lily	100	2156	2601	2919	0	0	30	0	0	1.0	50	720.0	10	true	true	false	
1001	NPC_Rose	100	2157	2602	2920	0	0	30	0	0	1.0	50	720.0	10	true	true	false	
1002	NPC_Elder_Harold	100	2158	2603	2921	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1003	NPC_BlackSmith_dorin	100	2159	2604	2922	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1004	NPC_Trader_Doris	100	2160	2605	2923	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1005	NPC_Guard_Steave	100	2161	2606	2924	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1006	NPC_archer_diana	100	2162	2607	2925	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1007	NPC_Guard_Timose	100	2163	2608	2926	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1008	NPC_Warrior_Dunken	100	2164	2609	2927	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1009	Npc_Velskud	100	2165	2610	2928	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1010	NPC_Cl_Leonardo	100	2166	2611	2929	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1011	NPC_SoceressCynthia	100	2167	2612	2930	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1012	NPC_Cl_Tomas	100	2168	2613	2931	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1013	NPC_Cl_Cedric	100	2169	2614	2932	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1014	NPC_SoceressTara	100	2170	2615	2933	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1015	NPC_BlackSmith_borin	100	2159	2604	2922	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1016	NPC_Trader_Jenny	100	2171	2616	2934	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1017	NPC_Cl_Fallen	100	2172	2617	2935	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1018	NPC_SoceressYullia_Die01	100	2173	2618	2936	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1019	NPC_SoceressYullia	100	2173	2618	2937	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1020	NPC_cleric_philip	100	2174	2619	2938	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1021	NPC_cleric_dominated	100	2175	2620	2939	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1022	NPC_ranger_fugus	100	2176	2621	2940	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1023	NPC_Master_Decud	100	2177	2622	2941	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1024	NPC_Guilian	100	2178	2623	2942	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1025	NPC_Woman_Trader_May	100	2179	2624	2943	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1026	Npc_Argenta	100	2180	2625	2944	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1027	Npc_Scholar_Baily	100	2181	2626	2945	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1028	Npc_Velskud2	100	2165	2610	2928	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1029	Npc_PilotHank	100	2182	2627	2946	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1030	Npc_Adventure_Wilber	100	2183	2628	2947	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1031	NPC_Warrior_Chandler	100	2184	2629	2948	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1032	Npc_Archer_Adellin	100	2185	2630	2949	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1033	Npc_Cl_master_Germain	100	2186	2631	2950	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1034	Npc_SoceressTiana	100	2187	2632	2951	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1035	Npc_Master_Gunter	100	2188	2633	2952	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1036	Npc_Geraint	100	2189	2634	2953	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1037	NPC_royal_magician_kalaen	100	2190	2635	2954	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1038	Npc_Bishop	100	2191	2636	2955	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1039	Npc_King_Casius	100	551	2637	2956	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1040	NPC_duke_stwart	100	2192	2638	2957	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1041	NPC_general_duglars	100	2193	2639	2958	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1042	NPC_Warrior_Herman	100	2194	2640	2959	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1043	Npc_Archer_Ishilien	100	2195	2641	2960	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1044	Npc_SoceressStella	100	2196	2642	2961	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1045	Npc_Cl_master_Enoc	100	2197	2643	2962	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1046	Npc_Elite_Soilder_Quest	100	2198	2644	2963	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1047	Npc_Elite_Soilder_wounded1	100	2198	2644	2964	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1048	Npc_Woman_Present_Amelia	100	2199	2645	2965	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1049	Npc_Woman_present_Sonya	100	2171	2616	2934	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1050	Npc_Woman_Tiketer_Arnene	100	2200	2646	2966	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1051	Npc_Woman_Tiketer_Sorene	100	2201	2647	2967	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1052	Npc_Scholar_Starshy	100	2202	2648	2968	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1053	Npc_Archer_Barsha	100	2203	2649	2969	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1054	Npc_Archer_Lulien	100	2204	2650	2970	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1055	Npc_Master_Alonzo	100	2205	2651	2971	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1056	Npc_Master_Omar	100	2206	2652	2972	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1057	NPC_Warrior_Jose	100	2207	2653	2973	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1058	NPC_Warrior_Lodrigo	100	2208	2654	2974	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1059	NPC_Engineer_Hubert	100	2209	2655	2975	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1060	NPC_Cleric_Michel	100	2168	2613	2931	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1061	NPC_SoceressYullia_Die02	100	2173	2618	2976	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1062	Npc_Cl_Fallen_Cedric	100	2210	2656	2977	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1063	Npc_Cl_DominatedPrison	100	2174	2619	2938	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1064	Npc_PrairieTown_Man_Prison	100	2211	2657	2978	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1065	Npc_PrairieTown_Man	100	2212	2658	2979	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1066	Npc_Guard_Dalcy	100	2213	2659	2980	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1067	Npc_Warehouse_Lupert	100	2182	2627	2946	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1068	Npc_Guild_Sullivan	100	2181	2626	2945	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1069	Npc_Auction_Price	100	2176	2621	2940	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1070	Npc_Warehouse_Lushel	100	2182	2627	2946	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1071	Npc_Guild_Pierce	100	2181	2626	2945	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1072	Npc_Warehouse_Arnold	100	2181	2626	2945	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1073	Npc_Guild_Kennedy	100	2181	2626	2945	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1074	Npc_Guild_Gorden	100	2181	2626	2945	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1075	Npc_Warehouse_Dunn	100	2182	2627	2946	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1076	Npc_Auction_Daniel	100	2176	2621	2940	0	0	0	0	0	1.0	100	720.0	10	true	true	false	
1077	Npc_Auction_Mason	100	2176	2621	2940	0	0	0	0	0	1.0	100	720.0	10	true	true	false	
1078	Npc_FallenSoceress	100	2214	2660	2981	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1079	Npc_Postbox	100	2215	2661	2982	0	0	0	0	0	1.0	100	720.0	10	true	true	false	
1080	NPC_Lily_Down	100	2156	2601	2983	0	0	30	0	0	1.0	50	720.0	10	true	true	false	
1081	NPC_Cl_Cedric_Down	100	2169	2614	2984	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1082	Npc_Argenta_wounded	100	2180	2625	2985	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1083	Npc_Cl_Guard	100	2172	2617	2986	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1084	Npc_Auction_Manager_Shylock	100	2216	2662	2987	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1085	Npc_Board1	100	195	2663	2988	0	0	0	0	0	1.0	100	720.0	10	true	true	false	
1086	NPC_GoblinGreen	100	2099	2575	2892	3316	0	35	0	0	1.0	100	720.0	10	true	true	false	
1087	Npc_Crew_Kevin	100	2217	2664	2989	0	0	35	0	0	1.0	100	720.0	10	true	true	false	
1088	Npc_Auction_Manager_Duwen	100	2218	2665	2990	0	0	35	0	0	1.0	100	720.0	10	true	true	false	
1089	Npc_Caraban_Aradin	100	2219	2666	2991	0	0	35	0	0	1.0	100	720.0	10	true	true	false	
1090	Npc_Caraban_Atdin	100	2220	2667	2992	0	0	35	0	0	1.0	100	720.0	10	true	true	false	
1091	NPC_Guard_Timose2	100	2163	2608	2993	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1092	Npc_Cow_cart	100	2221	2668	2994	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1093	Npc_Cow_cart_Break	100	2222	2669	2995	0	0	0	0	0	1.0	100	720.0	10	true	true	false	
1094	Npc_Orc_Green	100	2108	2579	2896	0	0	45	0	0	1.1	100	500.0	1	true	true	false	
1095	Npc_ItemBreaker	100	2223	2670	2996	0	0	45	0	0	1.1	100	500.0	1	true	true	false	
1096	Npc_Guard_Man_Training0	100	2213	2671	2997	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1097	Npc_Invisible1	100	416	2672	2998	0	0	30	0	0	1.0	100	720.0	0	true	true	false	
1098	Npc_Sunshine	100	2224	2673	2999	0	0	30	0	0	1.0	100	720.0	0	true	true	false	
1099	Npc_Guard_Man_Training1	100	2225	2674	3000	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1100	Npc_Guard_Man_Training2	100	2226	2675	3001	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1101	Npc_Guard_Man_Training3	100	2227	2676	3002	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1102	Npc_Argenta_down	100	2228	2677	3003	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1103	NPC_SoceressYullia_Die03	100	2173	2618	3004	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1104	Npc_Cow	100	2229	2678	3005	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1105	Npc_Cl_N_Jake	100	2230	2679	3006	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1106	Npc_Cl_N_Saintheaven	100	2231	2680	3007	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1107	NPC_goblin_Grandfa	100	2232	2681	3008	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1108	Npc_DragonSycophant_Cedric_Down	100	2233	2682	3009	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1109	Npc_DragonSycophant_Jake	100	2234	2683	3010	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
1110	Npc_DragonSycophant_Jake_Down	100	2235	2684	3011	0	0	30	0	0	1.0	100	720.0	10	true	true	false	
