ROWID	_DescriptionID|INTEGER	_UseItem01|INTEGER	_UseItem02|INTEGER	_UseItem03|INTEGER	_UseItem04|INTEGER	_UseItem05|INTEGER	_UseItem06|INTEGER	_UseItem07|INTEGER	_UseItem08|INTEGER	_UseItem09|INTEGER	_UseItem10|INTEGER	_UseItem11|INTEGER	_UseItem12|INTEGER	_UseItem13|INTEGER	_UseItem14|INTEGER	_UseItem15|INTEGER	_UseItem16|INTEGER	_UseItem17|INTEGER	_UseItem18|INTEGER	_UseItem19|INTEGER	_UseItem20|INTEGER	_UseItem21|INTEGER	_UseItem22|INTEGER	_UseItem23|INTEGER	_UseItem24|INTEGER	_UseItem25|INTEGER	_UseItem26|INTEGER	_UseItem27|INTEGER	_UseItem28|INTEGER	_UseItem29|INTEGER	_UseItem30|INTEGER	_SubCategory|INTEGER
25	1000048610	3800015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
26	1000048610	3800016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
27	1000048610	3800021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
28	1000048610	3800022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
29	1000048610	2100072	2100073	2100090	2100091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
30	1000048610	2100075	2100077	2100093	2100095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
31	1000048610	2100078	2100080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
32	1000048610	2100081	2100083	2100096	2100098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
33	1000048610	2100084	2100086	2100099	2100101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
34	1000048610	2100087	2100089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
35	1000048610	5810128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
36	1000048610	5810129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
37	1000048610	1000000677	1000000678	1000000679	1000000680	1000000681	1000000682	1000000683	1000000684	1000000685	1000000686	1000000687	1000000688	1000000689	1000000690	1000000691	1000000692	1000000693	1000000694	1000000695	1000000696	0	0	0	0	0	0	0	0	0	0	350
38	1000039878	6718001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
39	1000039878	6718002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
40	1000048610	4071003	4071004	4071005	4071006	4071007	4071008	4071009	4071010	4071011	4071012	4071013	4071014	4071015	4071016	4071017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
41	1000039878	6718003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
42	1000039878	7900119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
43	1000039878	7900120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
44	1000048610	5726001	5726003	5726005	5726007	5726009	5726011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
45	1000048610	5726002	5726004	5726006	5726008	5726010	5726012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
46	1000048610	5726013	5726014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
47	1000048610	999999052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351
48	1000048610	999999053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351
49	1000048610	999999054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351
50	1000048610	999999055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351
51	1000048610	999999056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351
52	1000048610	999999057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351
53	1000048610	999999907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
54	1000048610	999999908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
55	1000048610	7999159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
56	1000048610	7999160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
57	1000048610	7999161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
58	1000048610	7999162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
59	1000048610	7999163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
60	1000048610	999999907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
61	1000048610	999999908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
62	1000048610	999999909	999999910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
63	1000048610	999999911	999999912	999999913	999999914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
64	1000048610	999999915	999999916	999999917	999999918	999999919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
65	1000048610	999999075	999999076	999999077	999999078	999999079	999999080	999999081	999999082	999999083	999999084	999999085	999999086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
66	1000048610	999999016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
67	1000048610	999999017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
68	1000048610	999999087	999999088	999999089	999999090	999999091	999999092	999999093	999999094	999999095	999999096	999999097	999999098	999999099	999999100	999999101	999999102	999999103	999999104	0	0	0	0	0	0	0	0	0	0	0	0	350
69	1000048610	3800029	3800030	3800031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
70	1000048610	3800032	3800033	3800034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
71	1000048610	3800035	3800036	3800037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
72	1000048610	3800038	3800039	3800040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
73	1000048610	3800041	3800042	3800043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
74	1000048610	3800044	3800045	3800046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
75	1000048610	3800047	3800048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
77	1000048610	3800049	3800050	3800051	3800052	3800053	3800054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
78	1000048610	999999105	999999106	999999107	999999108	999999109	999999110	999999111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
79	1000048610	3800055	3800056	3800057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
80	1000048610	3800058	3800059	3800060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
81	1000048610	3800061	3800062	3800063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
82	1000048610	3800064	3800065	3800066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
83	1000048610	3800067	3800068	3800069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
84	1000048610	3800070	3800071	3800072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
85	1000048610	3800073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
86	1000048610	999999920	999999921	999999922	999999923	999999924	999999925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352
87	1000048610	999999018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
88	1000048610	3800074	3800079	3800084	3800089	3800094	3800099	3800104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
89	1000048610	3800075	3800080	3800085	3800090	3800095	3800100	3800105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
90	1000048610	3800076	3800081	3800086	3800091	3800096	3800101	3800106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
91	1000048610	3800077	3800082	3800087	3800092	3800097	3800102	3800107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
92	1000048610	3800078	3800083	3800088	3800093	3800098	3800103	3800108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
93	1000048610	3800109	3800111	3800113	3800115	3800117	3800119	3800121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
94	1000048610	3800110	3800112	3800114	3800116	3800118	3800120	3800122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
95	1000048610	3800123	3800124	3800125	3800126	3800127	3800128	3800129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
96	1000048610	2100313	2100315	2100316	2100318	2100319	2100321	2100322	2100324	2100325	2100327	2100328	2100330	2100331	2100333	2100334	2100336	2100337	2100339	2100340	2100342	2100343	2100345	2100346	2100348	0	0	0	0	0	0	350
97	1000048610	999999168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
98	1000048610	999999169	999999170	999999171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
99	1000048610	3800130	3800131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
100	1000048610	3800132	3800133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
101	1000048610	2100350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
102	1000048610	7990021	7990022	7990023	7990024	7990025	7990026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
104	1000048610	3800135	3800137	3800139	3800141	3800143	3800145	3800147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
105	1000048610	3800166	3800167	3800168	3800169	3800170	3800171	3800172	3800173	3800174	3800175	3800176	3800177	3800178	3800179	3800180	3800181	3800182	3800183	3800184	3800185	3800186	0	0	0	0	0	0	0	0	0	350
106	1000048610	3800148	3800149	3800150	3800151	3800152	3800153	3800154	3800155	3800156	3800157	3800158	3800159	3800160	3800161	3800162	3800163	3800164	3800165	0	0	0	0	0	0	0	0	0	0	0	0	350
107	1000048610	402020000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203
108	1000048610	402020001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203
109	1000048610	402020002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203
110	1000048610	402020003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203
111	1000048610	2100386	2100387	2100388	2100389	2100390	2100391	2100392	2100393	2100394	2100395	2100396	2100397	2100398	2100399	2100400	2100401	2100402	2100403	2100404	2100405	2100406	2100407	2100408	2100409	2100410	2100411	0	0	0	0	350
112	1000048610	3003533	3003535	3003537	3003539	3003541	3003543	3003545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
113	1000048610	3003534	3003536	3003538	3003540	3003542	3003544	3003546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
114	1000048610	999999075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
117	1000048610	999999090	999999091	999999092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
118	1000048610	999999926	999999927	999999928	999999930	999999931	999999932	999999934	999999938	999999939	999999940	999999942	999999943	999999946	999999947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353
119	1000048610	999999929	999999933	999999935	999999936	999999937	999999941	999999944	999999945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354
120	1000048610	999999948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
122	1000048610	2100452	2100453	2100455	2100456	2100458	2100459	2100461	2100462	2100464	2100465	2100467	2100468	2100470	2100471	2100473	2100474	2100476	2100477	2100479	2100480	2100482	2100483	2100485	2100486	0	0	0	0	0	0	350
127	1000048610	7990140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
128	1000048610	7990144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
129	1000048610	7990145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
130	1000048610	7990146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
131	1000048610	999999087	999999088	999999089	999999090	999999091	999999092	999999093	999999094	999999095	999999096	999999097	999999098	999999099	999999100	999999101	999999102	999999103	999999104	999999186	999999187	999999188	0	0	0	0	0	0	0	0	0	350
132	1000048610	999999189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
133	1000048610	999999190	999999191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
134	1000048610	999999192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
135	1000048610	999999193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
136	1000048610	999999194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
137	1000048610	999999195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
138	1000048610	999999196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
139	1000048610	999999197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
140	1000048610	999999198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
141	1000048610	999999199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
142	1000048610	999999200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
143	1000048610	999999201	999999202	999999203	999999204	999999205	999999206	999999207	999999208	999999209	999999210	999999211	999999212	999999213	999999214	999999215	999999216	999999217	999999218	999999219	999999220	999999221	0	0	0	0	0	0	0	0	0	350
144	1000048610	999999020	999999021	999999022	999999023	999999024	999999025	999999026	999999027	999999028	999999029	999999030	999999031	999999032	999999033	999999034	999999035	999999036	999999037	0	0	0	0	0	0	0	0	0	0	0	0	350
146	1000048610	999999222	999999223	999999224	999999225	999999226	999999227	999999228	999999229	999999230	999999231	999999232	999999233	999999234	999999235	999999236	999999237	999999238	999999239	999999240	999999241	999999242	999999301	999999302	999999303	0	0	0	0	0	0	350
149	1000039878	7980486	7980487	7980488	7980489	7980490	7980491	7980492	7980493	7980494	7980495	7980496	7980497	7980498	7980499	7980500	7980501	7980502	7980503	7980504	7980505	0	0	0	0	0	0	0	0	0	0	350
151	1000048610	999999243	999999244	999999245	999999246	999999247	999999248	999999249	999999250	999999251	999999252	999999253	999999254	999999255	999999256	999999257	999999258	999999259	999999260	999999261	999999262	999999263	999999304	999999305	999999306	0	0	0	0	0	0	350
152	1000048610	2902152	2902153	2902154	2902155	2902156	2902157	2902158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
153	1000048610	999999037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
154	1000048610	999999968	999999969	999999970	999999971	999999972	999999973	999999974	999999975	999999976	999999977	999999978	999999979	999999980	999999981	999999982	999999983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
155	1000048610	7980012	7980013	7980014	7980015	7980016	7980017	7980018	7980019	7980020	7980021	7980022	7980023	7980024	7980025	7980026	7980027	7980028	7980029	0	0	0	0	0	0	0	0	0	0	0	0	350
156	1000048610	999999038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
157	1000048610	7980030	7980031	7980032	7980033	7980034	7980035	7980036	7980037	7980038	7980039	7980040	7980041	7980042	7980043	7980044	7980045	7980046	7980047	0	0	0	0	0	0	0	0	0	0	0	0	350
158	1000048610	999999264	999999265	999999266	999999267	999999268	999999269	999999270	999999271	999999272	999999273	999999274	999999275	999999276	999999277	999999278	999999279	999999280	999999281	999999282	999999283	999999284	999999307	999999308	999999309	999999462	999999463	999999464	0	0	0	350
159	1000048610	6910013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
160	1000048610	999999984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
161	1000048610	999999985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
164	1000048610	999999987	999999988	999999989	999999990	999999991	999999992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
165	1000048610	2902323	2902324	2902325	2902326	2902327	2902328	2902329	2902330	2902331	2902332	2902333	2902334	2903066	2903067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
166	1000048610	7980048	7980049	7980050	7980051	7980052	7980053	7980054	7980055	7980056	7980057	7980058	7980059	7980060	7980061	7980062	7980063	7980064	7980065	7980066	7980067	7980068	7980069	0	0	0	0	0	0	0	0	350
167	1000048610	999999993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
172	1000048610	999999994	999999995	999999996	999999997	999999998	999999999	1000000000	1000000001	1000000002	1000000003	1000000004	1000000005	1000000006	1000000007	1000000008	1000000009	1000000010	1000000011	1000000012	1000000013	1000000014	1000000015	1000000016	1000000017	1000000018	990000129	990000130	0	0	0	353
173	1000048610	1000000019	1000000020	1000000021	1000000022	1000000023	1000000024	1000000025	1000000026	1000000027	1000000028	1000000029	1000000030	1000000031	1000000032	1000000033	1000000034	1000000035	1000000036	1000000037	1000000038	1000000039	0	0	0	0	0	0	0	0	0	350
177	1000048610	999999093	999999094	999999095	999999096	999999097	999999098	999999099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
179	1000048610	999999310	999999311	999999312	999999313	999999314	999999315	999999316	999999317	999999318	999999319	999999320	999999321	999999322	999999323	999999324	999999325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
182	1000048610	2902606	2902607	2902608	2902609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
183	1000048610	2100542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
184	1000048610	2100543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
185	1000048610	2100544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
186	1000048610	7980072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
188	1000048610	999999326	999999327	999999328	999999329	999999330	999999331	999999332	999999333	999999334	999999335	999999336	999999337	999999338	999999339	999999340	999999341	999999342	999999343	999999344	999999345	999999346	999999347	999999348	999999349	0	0	0	0	0	0	350
189	1000048610	3800381	3800382	3800383	3800384	3800385	3800386	3800387	3800388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350
