ROWID	_Name|TEXT	_QuestType|INTEGER	_QuestCode|INTEGER	_QuestLv|INTEGER	_QuestTalk|TEXT	_QuestScript|TEXT	_QuestImageTitle|INTEGER	_QSortIndex|INTEGER	_QuestRepeatable|INTEGER	_IsEvent|INTEGER	_QuestMarkHide|BOOLEAN	_QuestHideLv|INTEGER	_Map|INTEGER	_LevelCapReward|INTEGER	_guide|BOOLEAN	_EmergenceSet|BOOLEAN	_DailyPartyMapIndex|INTEGER	_DailyPartyMaplevel|INTEGER	_GuildQuestType|INTEGER	_Authority|INTEGER	_OpenDate|TEXT	_OpenTime|TEXT
33	암중모색	2	1	5	mq01_033_groping_in_the_dark.xml	mq01_033_groping_in_the_dark.lua	13681	3	0	0	false	0	1	0	false	false	0	0	0	0	0	0
34	사라진 기억	2	1	5	mq01_034_gone_memory.xml	mq01_034_gone_memory.lua	13682	4	0	0	false	0	1	0	false	false	0	0	0	0	0	0
35	아주 작은 단서	2	1	8	mq01_035_slightest_clue.xml	mq01_035_slightest_clue.lua	13683	5	0	0	false	0	1	0	false	false	0	0	0	0	0	0
40	실종된 소녀Ⅰ	1	1	1	sq01_040_dummy.xml	sq01_040_dummy.lua	13680	1	0	0	false	0	1	0	true	false	0	0	0	0	0	0
48	전초기지	1	1	1	sq_048_vandar_tutorial.xml	sq_048_vandar_tutorial.lua	13769	0	0	0	false	0	13046	0	true	false	0	0	0	0	0	0
49	전초기지	1	1	1	sq_049_vandar_tutorial.xml	sq_049_vandar_tutorial.lua	13769	0	0	0	false	0	13046	0	true	false	0	0	0	0	0	0
50	모노리스 접경지역	1	1	1	sq_050_vandar_tutorial.xml	sq_050_vandar_tutorial.lua	13769	0	0	0	false	0	13047	0	true	false	0	0	0	0	0	0
51	하운드의 영양식	1	1	1	sq01_051_nourishing_meal.xml	sq01_051_nourishing_meal.lua	13690	0	0	0	true	9	2	1	false	false	0	0	0	0	0	0
52	향수를 찾아라	1	1	3	sq01_052_find_the_perfume.xml	sq01_052_find_the_perfume.lua	13690	0	0	0	true	9	3	1	false	false	0	0	0	0	0	0
53	하운드의 소화제	1	1	5	sq01_053_hound_digester.xml	sq01_053_hound_digester.lua	13690	0	0	0	true	9	3	1	false	false	0	0	0	0	0	0
54	고블린 영감의 하소연 Ⅰ	1	1	2	sq01_054_grandpa_goblin01.xml	sq01_054_grandpa_goblin01.lua	13690	0	0	0	true	9	3	1	false	false	0	0	0	0	0	0
55	고블린 영감의 하소연 Ⅱ	1	1	6	sq01_055_grandpa_goblin02.xml	sq01_055_grandpa_goblin02.lua	13690	0	0	0	true	9	3	1	false	false	0	0	0	0	0	0
56	고블린 영감의 하소연 Ⅲ	1	1	8	sq01_056_grandpa_goblin03.xml	sq01_056_grandpa_goblin03.lua	13690	0	0	0	true	9	2	1	false	false	0	0	0	0	0	0
57	고블린 영감의 하소연 Ⅳ	1	1	8	sq01_057_grandpa_goblin04.xml	sq01_057_grandpa_goblin04.lua	13690	0	0	0	true	9	3	1	false	false	0	0	0	0	0	0
58	고블린 영감의 하소연 Ⅴ	1	1	8	sq01_058_grandpa_goblin05.xml	sq01_058_grandpa_goblin05.lua	13690	0	0	0	true	9	3	1	false	false	0	0	0	0	0	0
59	도린의 유물함Ⅰ	1	1	7	sq01_059_dorins_amazing_box1.xml	sq01_059_dorins_amazing_box1.lua	13690	0	0	0	true	9	1	0	false	false	0	0	0	0	0	0
60	도린의 유물함Ⅱ	1	1	7	sq01_060_dorins_amazing_box2.xml	sq01_060_dorins_amazing_box2.lua	13690	0	0	0	true	9	1	0	false	false	0	0	0	0	0	0
61	부부 버섯의 눈물(파티 퀘스트)	1	1	7	sq01_061_lets_party.xml	sq01_061_lets_party.lua	13690	0	0	0	true	9	2	1	false	false	0	0	0	0	0	0
62	[칭호] 불사Lv1/ 도린의 건강 비결	4	1	8	sq01_062_secret_health_dorin.xml	sq01_062_secret_health_dorin.lua	13690	0	0	0	true	9	3	0	false	false	0	0	0	0	0	0
63	모험자 입문	4	1	8	sq01_063_enter_adventure.xml	sq01_063_enter_adventure.lua	13690	0	0	0	true	9	3	0	false	false	0	0	0	0	0	0
64	건강을 생각하는 도리스	1	1	4	sq01_064_healthy_doris.xml	sq01_064_healthy_doris.lua	13690	0	0	0	true	9	3	1	false	false	0	0	0	0	0	0
65	부실 공사의 흔적	1	1	7	sq01_065_shoddy_statue.xml	sq01_065_shoddy_statue.lua	13690	0	0	0	true	9	1	0	false	false	0	0	0	0	0	0
66	칼리보상테스트	1	1	1	sq01_066_kali_reward_test.xml	sq01_066_kali_reward_test.lua	13690	0	0	0	false	0	1	0	false	false	0	0	0	0	0	0
91	위치를 재탐색합니다	2	1	1	mq05_091_location_tracking.xml	mq05_091_location_tracking.lua	13680	1	0	0	false	0	5	0	true	false	0	0	0	0	0	0
92	도구를 재구성합니다	2	1	2	mq05_092_tools_to_rebuild.xml	mq05_092_tools_to_rebuild.lua	13689	2	0	0	false	0	5	0	true	false	0	0	0	0	0	0
93	현재시간을 검토합니다	2	1	3	mq05_093_review_the_current_time.xml	mq05_093_review_the_current_time.lua	13681	3	0	0	false	0	5	0	false	false	0	0	0	0	0	0
94	오브의 위치를 추적합니다	2	1	4	mq05_094_track_the_location.xml	mq05_094_track_the_location.lua	13682	4	0	0	false	0	5	0	false	false	0	0	0	0	0	0
95	검색의 성과는 뛰어납니다	2	1	5	mq05_095_performance_of_the_search.xml	mq05_095_performance_of_the_search.lua	13683	5	0	0	false	0	5	0	false	false	0	0	0	0	0	0
96	배신자는 내부에 있습니다	2	1	6	mq05_096_traitor_is_on_the_inside.xml	mq05_096_traitor_is_on_the_inside.lua	13684	6	0	0	false	0	5	0	false	false	0	0	0	0	0	0
97	그를 만났습니다	2	1	7	mq05_097_he_has_chosen.xml	mq05_097_he_has_chosen.lua	13685	7	0	0	false	0	5	0	false	false	0	0	0	0	0	0
98	작별 인사를 건냅니다	2	1	8	mq05_098_end_the_search.xml	mq05_098_end_the_search.lua	13686	8	0	0	false	0	5	0	false	false	0	0	0	0	0	0
99	돌발상황은 곤란합니다	2	1	8	mq05_099_deep_trouble.xml	mq05_099_deep_trouble.lua	13687	9	0	0	false	0	5	0	false	false	0	0	0	0	0	0
100	걷는 것은 피곤합니다	2	1	9	mq05_100_walking_is_tired.xml	mq05_100_walking_is_tired.lua	13688	10	0	0	false	0	5	0	false	false	0	0	0	0	0	0
101	빼앗긴 물건Ⅰ	2	1	1	mq05_101_lost_sacred_object1.xml	mq05_101_lost_sacred_object1.lua	13680	1	0	0	false	0	5	0	true	false	0	0	0	0	0	0
102	이단의 증거	2	1	2	mq05_102_evidence_of_pagan.xml	mq05_102_evidence_of_pagan.lua	13681	3	0	0	false	0	5	0	true	false	0	0	0	0	0	0
103	비전의 오브Ⅰ	2	1	3	mq05_103_orb_of_vision1.xml	mq05_103_orb_of_vision1.lua	13682	4	0	0	false	0	5	0	false	false	0	0	0	0	0	0
104	비전의 오브Ⅱ	2	1	3	mq05_104_orb_of_vision2.xml	mq05_104_orb_of_vision2.lua	13683	5	0	0	false	0	5	0	false	false	0	0	0	0	0	0
105	비전의 오브Ⅲ	2	1	3	mq05_105_orb_of_vision3.xml	mq05_105_orb_of_vision3.lua	13684	6	0	0	false	0	5	0	false	false	0	0	0	0	0	0
106	오브를 찾아라	2	1	5	mq05_106_find_the_orb.xml	mq05_106_find_the_orb.lua	13685	7	0	0	false	0	5	0	false	false	0	0	0	0	0	0
107	내부의 적	2	1	5	mq05_107_internal_enemy.xml	mq05_107_internal_enemy.lua	13686	8	0	0	false	0	5	0	false	false	0	0	0	0	0	0
108	�i고 �i기고	2	1	5	mq05_108_chase_and_chased.xml	mq05_108_chase_and_chased.lua	13687	9	0	0	false	0	5	0	false	false	0	0	0	0	0	0
109	배신의 상처	2	1	8	mq05_109_betrayal_of_the_wounds.xml	mq05_109_betrayal_of_the_wounds.lua	13688	10	0	0	false	0	5	0	false	false	0	0	0	0	0	0
110	운명의 소녀(마나리지)	2	1	9	mq05_110_girl_of_destiny.xml	mq05_110_girl_of_destiny.lua	13691	11	0	0	false	0	5	0	false	false	0	0	0	0	0	0
111	돌아온 말썽꾼Ⅰ	2	1	1	mq05_111_comeback1.xml	mq05_111_comeback1.lua	13680	1	0	0	false	0	5	0	true	false	0	0	0	0	0	0
112	수상한 기운	2	1	1	mq05_112_doubt.xml	mq05_112_doubt.lua	13681	3	0	0	false	0	5	0	true	false	0	0	0	0	0	0
113	비전의 오브 Ⅰ	2	1	3	mq05_113_orb_of_vision1.xml	mq05_113_orb_of_vision1.lua	13682	4	0	0	false	0	5	0	false	false	0	0	0	0	0	0
114	비전의 오브 Ⅱ	2	1	3	mq05_114_orb_of_vision2.xml	mq05_114_orb_of_vision2.lua	13683	5	0	0	false	0	5	0	false	false	0	0	0	0	0	0
115	비전의 오브 Ⅲ	2	1	3	mq05_115_orb_of_vision3.xml	mq05_115_orb_of_vision3.lua	13684	6	0	0	false	0	5	0	false	false	0	0	0	0	0	0
116	가만 안두겠어!	2	1	5	mq05_116_arrest.xml	mq05_116_arrest.lua	13685	7	0	0	false	0	5	0	false	false	0	0	0	0	0	0
117	부자가 좋아	2	1	5	mq05_117_love_money.xml	mq05_117_love_money.lua	13686	8	0	0	false	0	5	0	false	false	0	0	0	0	0	0
118	도난당한 오브	2	1	5	mq05_118_snatch_orb.xml	mq05_118_snatch_orb.lua	13687	9	0	0	false	0	5	0	false	false	0	0	0	0	0	0
119	그럴 줄 알았지	2	1	8	mq05_119_prospect.xml	mq05_119_prospect.lua	13688	10	0	0	false	0	5	0	false	false	0	0	0	0	0	0
120	돈 되는 소녀	2	1	9	mq05_120_money_girl.xml	mq05_120_money_girl.lua	13691	11	0	0	false	0	5	0	false	false	0	0	0	0	0	0
121	빼앗긴 물건Ⅱ	2	1	1	mq05_121_lost_sacred_object2.xml	mq05_121_lost_sacred_object2.lua	13689	2	0	0	false	0	5	0	false	false	0	0	0	0	0	0
122	돌아온 말썽꾼Ⅱ	2	1	1	mq05_122_comeback2.xml	mq05_122_comeback2.lua	13689	2	0	0	false	0	5	0	false	false	0	0	0	0	0	0
123	클레릭의 길	2	1	1	mq05_123_prologue_cleric.xml	mq05_123_prologue_cleric.lua	13680	1	0	0	false	0	5	0	true	false	0	0	0	0	0	0
124	천재 소서리스	2	1	1	mq05_124_prologue_sorceress.xml	mq05_124_prologue_sorceress.lua	13680	1	0	0	false	0	5	0	true	false	0	0	0	0	0	0
125	빼앗긴 물건Ⅰ	2	1	1	mq05_125_lost_sacred_object1.xml	mq05_125_lost_sacred_object1.lua	13689	2	0	0	false	0	5	0	true	false	0	0	0	0	0	0
126	빼앗긴 물건Ⅱ	2	1	1	mq05_126_lost_sacred_object2.xml	mq05_126_lost_sacred_object2.lua	13681	3	0	0	false	0	5	0	true	false	0	0	0	0	0	0
127	이단의 증거	2	1	2	mq05_127_evidence_of_pagan.xml	mq05_127_evidence_of_pagan.lua	13682	4	0	0	false	0	5	0	false	false	0	0	0	0	0	0
128	비전의 오브Ⅰ	2	1	3	mq05_128_orb_of_vision1.xml	mq05_128_orb_of_vision1.lua	13683	5	0	0	false	0	5	0	false	false	0	0	0	0	0	0
129	비전의 오브Ⅱ	2	1	3	mq05_129_orb_of_vision2.xml	mq05_129_orb_of_vision2.lua	13684	6	0	0	false	0	5	0	false	false	0	0	0	0	0	0
130	오브를 찾아라	2	1	5	mq05_130_find_the_orb.xml	mq05_130_find_the_orb.lua	13685	7	0	0	false	0	5	0	false	false	0	0	0	0	0	0
131	내부의 적	2	1	5	mq05_131_internal_enemy.xml	mq05_131_internal_enemy.lua	13686	8	0	0	false	0	5	0	false	false	0	0	0	0	0	0
132	쫓고 쫓기고	2	1	5	mq05_132_chase_and_chased.xml	mq05_132_chase_and_chased.lua	13687	9	0	0	false	0	5	0	false	false	0	0	0	0	0	0
133	배신의 상처	2	1	8	mq05_133_betrayal_of_the_wounds.xml	mq05_133_betrayal_of_the_wounds.lua	13688	10	0	0	false	0	5	0	false	false	0	0	0	0	0	0
134	운명의 소녀	2	1	9	mq05_134_girl_of_destiny.xml	mq05_134_girl_of_destiny.lua	13691	11	0	0	false	0	5	0	false	false	0	0	0	0	0	0
135	돌아온 말썽꾼Ⅰ	2	1	1	mq05_135_comeback1.xml	mq05_135_comeback1.lua	13689	2	0	0	false	0	5	0	true	false	0	0	0	0	0	0
136	돌아온 말썽꾼Ⅱ	2	1	1	mq05_136_comeback2.xml	mq05_136_comeback2.lua	13681	3	0	0	false	0	5	0	true	false	0	0	0	0	0	0
137	수상한 기운	2	1	1	mq05_137_doubt.xml	mq05_137_doubt.lua	13682	4	0	0	false	0	5	0	false	false	0	0	0	0	0	0
138	비전의 오브 Ⅰ	2	1	3	mq05_138_orb_of_vision1.xml	mq05_138_orb_of_vision1.lua	13683	5	0	0	false	0	5	0	false	false	0	0	0	0	0	0
139	비전의 오브 Ⅱ	2	1	3	mq05_139_orb_of_vision2.xml	mq05_139_orb_of_vision2.lua	13684	6	0	0	false	0	5	0	false	false	0	0	0	0	0	0
140	가만 안두겠어!	2	1	5	mq05_140_arrest.xml	mq05_140_arrest.lua	13685	7	0	0	false	0	5	0	false	false	0	0	0	0	0	0
141	부자가 좋아	2	1	5	mq05_141_love_money.xml	mq05_141_love_money.lua	13686	8	0	0	false	0	5	0	false	false	0	0	0	0	0	0
142	도난당한 오브	2	1	5	mq05_142_snatch_orb.xml	mq05_142_snatch_orb.lua	13687	9	0	0	false	0	5	0	false	false	0	0	0	0	0	0
143	그럴 줄 알았지	2	1	8	mq05_143_prospect.xml	mq05_143_prospect.lua	13688	10	0	0	false	0	5	0	false	false	0	0	0	0	0	0
144	돈 되는 소녀	2	1	9	mq05_144_money_girl.xml	mq05_144_money_girl.lua	13691	11	0	0	false	0	5	0	false	false	0	0	0	0	0	0
151	먹이 공급	1	1	1	sq05_151_food_supply.xml	sq05_151_food_supply.lua	13692	0	0	0	true	9	6	1	false	false	0	0	0	0	0	0
152	하운드 추적	1	1	5	sq05_152_hound_chaser.xml	sq05_152_hound_chaser.lua	13692	0	0	0	true	9	7	1	false	false	0	0	0	0	0	0
153	구라파인더Ⅰ	1	1	6	sq05_153_gurafinder1.xml	sq05_153_gurafinder1.lua	13692	0	0	0	true	9	6	1	false	false	0	0	0	0	0	0
154	구라파인더Ⅱ	1	1	6	sq05_154_gurafinder2.xml	sq05_154_gurafinder2.lua	13692	0	0	0	true	9	5	0	false	false	0	0	0	0	0	0
155	기억	2	1	9	sq05_155_remember.xml	sq05_155_remember.lua	28469	12	0	0	false	0	5	0	false	false	0	0	0	0	0	0
156	제이크의 행적	2	1	9	sq05_156_path_of_jake.xml	sq05_156_path_of_jake.lua	28470	13	0	0	false	0	6	0	false	false	0	0	0	0	0	0
157	리버스	2	1	9	sq05_157_the_reverse.xml	sq05_157_the_reverse.lua	28471	14	0	0	false	0	7	0	false	false	0	0	0	0	0	0
158	보린의 유물함Ⅰ	1	1	7	sq05_158_borins_amazing_box1.xml	sq05_158_borins_amazing_box1.lua	13692	0	0	0	true	9	5	0	false	false	0	0	0	0	0	0
159	보린의 유물함Ⅱ	1	1	7	sq05_159_borins_amazing_box2.xml	sq05_159_borins_amazing_box2.lua	13692	0	0	0	true	9	5	0	false	false	0	0	0	0	0	0
160	매직마스터 필기시험	1	1	8	sq05_160_magic_test_1.xml	sq05_160_magic_test_1.lua	13692	0	0	0	true	9	5	0	false	false	0	0	0	0	0	0
161	매직마스터 실기시험	1	1	8	sq05_161_magic_test_2.xml	sq05_161_magic_test_2.lua	13692	0	0	0	true	9	6	1	false	false	0	0	0	0	0	0
162	괜찮은 아르바이트	1	1	8	sq05_162_good_arbeit.xml	sq05_162_good_arbeit.lua	13692	0	0	0	true	9	7	1	false	false	0	0	0	0	0	0
163	부부 버섯의 눈물(파티 퀘스트)	1	1	7	sq05_163_lets_party.xml	sq05_163_lets_party.lua	13692	0	0	0	true	9	6	1	false	false	0	0	0	0	0	0
164	[칭호] 불사Lv1/ 보린의 건강 비결	4	1	8	sq05_164_secret_health_borin.xml	sq05_164_secret_health_borin.lua	13692	0	0	0	true	9	7	0	false	false	0	0	0	0	0	0
165	모험자 입문	4	1	8	sq05_165_enter_adventure.xml	sq05_165_enter_adventure.lua	13692	0	0	0	true	9	7	0	false	false	0	0	0	0	0	0
166	비전의 치료법	1	1	3	sq05_166_secret_remedy.xml	sq05_166_secret_remedy.lua	13692	0	0	0	true	9	7	1	false	false	0	0	0	0	0	0
167	푸른 시약	1	1	4	sq05_167_azurely_reagent.xml	sq05_167_azurely_reagent.lua	13692	0	0	0	true	9	7	1	false	false	0	0	0	0	0	0
168	하운드는 보고 있다	1	1	7	sq05_168_hound_watched.xml	sq05_168_hound_watched.lua	13692	0	0	0	true	9	5	0	false	false	0	0	0	0	0	0
169	구라파인더	1	1	6	sq05_169_gurafinder1.xml	sq05_169_gurafinder1.lua	13692	0	0	0	true	9	5	0	false	false	0	0	0	0	0	0
170	보린의 유물함	1	1	7	sq05_170_borins_amazing_box1.xml	sq05_170_borins_amazing_box1.lua	13692	0	0	0	true	9	5	0	false	false	0	0	0	0	0	0
186	파죽지세	2	1	9	mq08_186_sweep_all.xml	mq08_186_sweep_all.lua	13693	21	0	0	false	0	8	0	false	false	0	0	0	0	0	0
187	몇 번이고 허탕	2	1	10	mq08_187_lavor_in_vain.xml	mq08_187_lavor_in_vain.lua	13694	22	0	0	false	0	8	0	false	false	0	0	0	0	0	0
188	빼앗긴 단서	2	1	12	mq08_188_clue_out.xml	mq08_188_clue_out.lua	13695	23	0	0	false	0	8	0	false	false	0	0	0	0	0	0
189	의외의 인물	2	1	12	mq08_189_surprise_people.xml	mq08_189_surprise_people.lua	13696	24	0	0	false	0	8	0	false	false	0	0	0	0	0	0
190	위험한 동반자	2	1	14	mq08_190_unsafe_companion.xml	mq08_190_unsafe_companion.lua	13697	25	0	0	false	0	8	0	false	false	0	0	0	0	0	0
191	일루전	2	1	14	mq08_191_the_illusion.xml	mq08_191_the_illusion.lua	13698	26	0	0	false	0	8	0	false	false	0	0	0	0	0	0
192	이성의 끈	2	1	14	mq08_192_rationality.xml	mq08_192_rationality.lua	13699	27	0	0	false	0	8	0	false	false	0	0	0	0	0	0
193	미리 목격한 내일	2	1	16	mq08_193_fortune_telling.xml	mq08_193_fortune_telling.lua	13700	28	0	0	false	0	8	0	false	false	0	0	0	0	0	0
194	아주 약간의 오차	2	1	16	mq08_194_remotely_error.xml	mq08_194_remotely_error.lua	13701	29	0	0	false	0	8	0	false	false	0	0	0	0	0	0
195	성가신 오차	2	1	18	mq08_195_aggravate_error.xml	mq08_195_aggravate_error.lua	13702	30	0	0	false	0	8	0	false	false	0	0	0	0	0	0
196	본거지	2	1	18	mq08_196_stronghold.xml	mq08_196_stronghold.lua	13703	31	0	0	false	0	8	0	false	false	0	0	0	0	0	0
197	사도라는 이름	2	1	20	mq08_197_name_of_disciple.xml	mq08_197_name_of_disciple.lua	13704	32	0	0	false	0	8	0	false	false	0	0	0	0	0	0
198	알 수 없는 부적	2	1	20	mq08_198_noname_amulet.xml	mq08_198_noname_amulet.lua	13705	33	0	0	false	0	8	0	false	false	0	0	0	0	0	0
199	순백의 오브	2	1	22	mq08_199_purewhite_orb.xml	mq08_199_purewhite_orb.lua	13706	34	0	0	false	0	8	0	false	false	0	0	0	0	0	0
200	이어지는 길	2	1	22	mq08_200_road_to_road.xml	mq08_200_road_to_road.lua	13707	35	0	0	false	0	8	0	false	false	0	0	0	0	0	0
201	비밀의 멜로디	2	1	9	mq08_201_secret_melody.xml	mq08_201_secret_melody.lua	13693	21	0	0	false	0	8	0	false	false	0	0	0	0	0	0
202	소녀를 구출하라	2	1	10	mq08_202_rescue_girl.xml	mq08_202_rescue_girl.lua	13694	22	0	0	false	0	8	0	false	false	0	0	0	0	0	0
203	검은 기사 추적	2	1	12	mq08_203_black_knight_tracking.xml	mq08_203_black_knight_tracking.lua	13695	23	0	0	false	0	8	0	false	false	0	0	0	0	0	0
204	은발의 여검사	2	1	12	mq08_204_swordwoman_with_siverblond.xml	mq08_204_swordwoman_with_siverblond.lua	13696	24	0	0	false	0	8	0	false	false	0	0	0	0	0	0
205	고대인의 유물	2	1	12	mq08_205_ancient_relic.xml	mq08_205_ancient_relic.lua	13697	25	0	0	false	0	8	0	false	false	0	0	0	0	0	0
206	의표를 찔러라	2	1	13	mq08_206_surprise_attack.xml	mq08_206_surprise_attack.lua	13698	26	0	0	false	0	8	0	false	false	0	0	0	0	0	0
207	흩어진 부품들	2	1	13	mq08_207_scattered_components.xml	mq08_207_scattered_components.lua	13699	27	0	0	false	0	8	0	false	false	0	0	0	0	0	0
208	고갈된 에너지	2	1	14	mq08_208_depleting_fuel.xml	mq08_208_depleting_fuel.lua	13700	28	0	0	false	0	8	0	false	false	0	0	0	0	0	0
209	붉은 눈의 다크엘프	2	1	14	mq08_209_red_clothes_darkelf.xml	mq08_209_red_clothes_darkelf.lua	13701	29	0	0	false	0	8	0	false	false	0	0	0	0	0	0
210	제조공장 파괴	2	1	14	mq08_210_destruction_of_manufactory.xml	mq08_210_destruction_of_manufactory.lua	13702	30	0	0	false	0	8	0	false	false	0	0	0	0	0	0
211	붉은 군대	2	1	16	mq08_211_red_army.xml	mq08_211_red_army.lua	13703	31	0	0	false	0	8	0	false	false	0	0	0	0	0	0
212	홉고블린 퇴치	2	1	16	mq08_212_elimination_hobgoblin.xml	mq08_212_elimination_hobgoblin.lua	13704	32	0	0	false	0	8	0	false	false	0	0	0	0	0	0
213	사악한 주술사	2	1	17	mq08_213_priestess_in_red.xml	mq08_213_priestess_in_red.lua	13705	33	0	0	false	0	8	0	false	false	0	0	0	0	0	0
