ROWID	_MonsterBookID|INTEGER	_CardLevel|INTEGER	_CardenchantItem1|INTEGER	_CardenchantValue1|INTEGER	_CardenchantItem2|INTEGER	_CardenchantValue2|INTEGER	_CardenchantItem3|INTEGER	_CardenchantValue3|INTEGER	_CardenchantItem4|INTEGER	_CardenchantValue4|INTEGER	_CardenchantItem5|INTEGER	_CardenchantValue5|INTEGER
107	11	7	268456189	1	536875349	1	0	0	0	0	0	0
108	11	8	268456189	1	536875349	1	0	0	0	0	0	0
109	11	9	268456189	1	536875349	1	0	0	0	0	0	0
110	11	10	268456189	1	536875349	1	0	0	0	0	0	0
111	12	1	268456190	1	536875349	1	0	0	0	0	0	0
112	12	2	268456190	1	536875349	1	0	0	0	0	0	0
113	12	3	268456190	1	536875349	1	0	0	0	0	0	0
114	12	4	268456190	1	536875349	1	0	0	0	0	0	0
115	12	5	268456190	1	536875349	1	0	0	0	0	0	0
116	12	6	268456190	1	536875349	1	0	0	0	0	0	0
117	12	7	268456190	1	536875349	1	0	0	0	0	0	0
118	12	8	268456190	1	536875349	1	0	0	0	0	0	0
119	12	9	268456190	1	536875349	1	0	0	0	0	0	0
120	12	10	268456190	1	536875349	1	0	0	0	0	0	0
121	13	1	268456084	1	536875349	2	0	0	0	0	0	0
122	13	2	268456084	1	536875349	2	0	0	0	0	0	0
123	13	3	268456084	1	536875349	2	0	0	0	0	0	0
124	13	4	268456084	1	536875349	2	0	0	0	0	0	0
125	13	5	268456084	1	536875349	2	0	0	0	0	0	0
126	13	6	268456084	1	536875349	2	0	0	0	0	0	0
127	13	7	268456084	1	536875349	2	0	0	0	0	0	0
128	13	8	268456084	1	536875349	2	0	0	0	0	0	0
129	13	9	268456084	1	536875349	2	0	0	0	0	0	0
130	13	10	268456084	1	536875349	2	0	0	0	0	0	0
131	14	1	268456192	1	536875349	1	0	0	0	0	0	0
132	14	2	268456192	1	536875349	1	0	0	0	0	0	0
133	14	3	268456192	1	536875349	1	0	0	0	0	0	0
134	14	4	268456192	1	536875349	1	0	0	0	0	0	0
135	14	5	268456192	1	536875349	1	0	0	0	0	0	0
136	14	6	268456192	1	536875349	1	0	0	0	0	0	0
137	14	7	268456192	1	536875349	1	0	0	0	0	0	0
138	14	8	268456192	1	536875349	1	0	0	0	0	0	0
139	14	9	268456192	1	536875349	1	0	0	0	0	0	0
140	14	10	268456192	1	536875349	1	0	0	0	0	0	0
141	15	1	268456113	1	536875349	2	0	0	0	0	0	0
142	15	2	268456113	1	536875349	2	0	0	0	0	0	0
143	15	3	268456113	1	536875349	2	0	0	0	0	0	0
144	15	4	268456113	1	536875349	2	0	0	0	0	0	0
145	15	5	268456113	1	536875349	2	0	0	0	0	0	0
146	15	6	268456113	1	536875349	2	0	0	0	0	0	0
147	15	7	268456113	1	536875349	2	0	0	0	0	0	0
148	15	8	268456113	1	536875349	2	0	0	0	0	0	0
149	15	9	268456113	1	536875349	2	0	0	0	0	0	0
150	15	10	268456113	1	536875349	2	0	0	0	0	0	0
151	16	1	268456097	1	536875349	2	536875348	2	0	0	0	0
152	16	2	268456097	1	536875349	2	536875348	2	0	0	0	0
153	16	3	268456097	1	536875349	2	536875348	2	0	0	0	0
154	16	4	268456097	1	536875349	2	536875348	2	0	0	0	0
155	16	5	268456097	1	536875349	2	536875348	2	0	0	0	0
156	16	6	268456097	1	536875349	2	536875348	2	0	0	0	0
157	16	7	268456097	1	536875349	2	536875348	2	0	0	0	0
158	16	8	268456097	1	536875349	2	536875348	2	0	0	0	0
159	16	9	268456097	1	536875349	2	536875348	2	0	0	0	0
160	16	10	268456097	1	536875349	2	536875348	2	0	0	0	0
161	17	1	268456197	1	536875349	2	0	0	0	0	0	0
162	17	2	268456197	1	536875349	2	0	0	0	0	0	0
163	17	3	268456197	1	536875349	2	0	0	0	0	0	0
164	17	4	268456197	1	536875349	2	0	0	0	0	0	0
165	17	5	268456197	1	536875349	2	0	0	0	0	0	0
166	17	6	268456197	1	536875349	2	0	0	0	0	0	0
167	17	7	268456197	1	536875349	2	0	0	0	0	0	0
168	17	8	268456197	1	536875349	2	0	0	0	0	0	0
169	17	9	268456197	1	536875349	2	0	0	0	0	0	0
170	17	10	268456197	1	536875349	2	0	0	0	0	0	0
171	18	1	268456088	1	536875349	2	0	0	0	0	0	0
172	18	2	268456088	1	536875349	2	0	0	0	0	0	0
173	18	3	268456088	1	536875349	2	0	0	0	0	0	0
174	18	4	268456088	1	536875349	2	0	0	0	0	0	0
175	18	5	268456088	1	536875349	2	0	0	0	0	0	0
176	18	6	268456088	1	536875349	2	0	0	0	0	0	0
177	18	7	268456088	1	536875349	2	0	0	0	0	0	0
178	18	8	268456088	1	536875349	2	0	0	0	0	0	0
179	18	9	268456088	1	536875349	2	0	0	0	0	0	0
180	18	10	268456088	1	536875349	2	0	0	0	0	0	0
181	19	1	268456100	1	536875349	2	536875348	2	0	0	0	0
182	19	2	268456100	1	536875349	2	536875348	2	0	0	0	0
183	19	3	268456100	1	536875349	2	536875348	2	0	0	0	0
184	19	4	268456100	1	536875349	2	536875348	2	0	0	0	0
185	19	5	268456100	1	536875349	2	536875348	2	0	0	0	0
186	19	6	268456100	1	536875349	2	536875348	2	0	0	0	0
187	19	7	268456100	1	536875349	2	536875348	2	0	0	0	0
188	19	8	268456100	1	536875349	2	536875348	2	0	0	0	0
189	19	9	268456100	1	536875349	2	536875348	2	0	0	0	0
190	19	10	268456100	1	536875349	2	536875348	2	0	0	0	0
191	20	1	268456101	1	536875349	2	536875348	2	0	0	0	0
192	20	2	268456101	1	536875349	2	536875348	2	0	0	0	0
193	20	3	268456101	1	536875349	2	536875348	2	0	0	0	0
194	20	4	268456101	1	536875349	2	536875348	2	0	0	0	0
195	20	5	268456101	1	536875349	2	536875348	2	0	0	0	0
196	20	6	268456101	1	536875349	2	536875348	2	0	0	0	0
197	20	7	268456101	1	536875349	2	536875348	2	0	0	0	0
198	20	8	268456101	1	536875349	2	536875348	2	0	0	0	0
199	20	9	268456101	1	536875349	2	536875348	2	0	0	0	0
200	20	10	268456101	1	536875349	2	536875348	2	0	0	0	0
201	21	1	268456092	1	536875349	2	0	0	0	0	0	0
202	21	2	268456092	1	536875349	2	0	0	0	0	0	0
203	21	3	268456092	1	536875349	2	0	0	0	0	0	0
204	21	4	268456092	1	536875349	2	0	0	0	0	0	0
205	21	5	268456092	1	536875349	2	0	0	0	0	0	0
206	21	6	268456092	1	536875349	2	0	0	0	0	0	0
207	21	7	268456092	1	536875349	2	0	0	0	0	0	0
208	21	8	268456092	1	536875349	2	0	0	0	0	0	0
209	21	9	268456092	1	536875349	2	0	0	0	0	0	0
210	21	10	268456092	1	536875349	2	0	0	0	0	0	0
211	22	1	268456198	1	536875349	2	0	0	0	0	0	0
212	22	2	268456198	1	536875349	2	0	0	0	0	0	0
213	22	3	268456198	1	536875349	2	0	0	0	0	0	0
214	22	4	268456198	1	536875349	2	0	0	0	0	0	0
215	22	5	268456198	1	536875349	2	0	0	0	0	0	0
216	22	6	268456198	1	536875349	2	0	0	0	0	0	0
217	22	7	268456198	1	536875349	2	0	0	0	0	0	0
218	22	8	268456198	1	536875349	2	0	0	0	0	0	0
219	22	9	268456198	1	536875349	2	0	0	0	0	0	0
220	22	10	268456198	1	536875349	2	0	0	0	0	0	0
221	23	1	268456085	1	536875349	2	536875348	2	0	0	0	0
222	23	2	268456085	1	536875349	2	536875348	2	0	0	0	0
223	23	3	268456085	1	536875349	2	536875348	2	0	0	0	0
224	23	4	268456085	1	536875349	2	536875348	2	0	0	0	0
225	23	5	268456085	1	536875349	2	536875348	2	0	0	0	0
226	23	6	268456085	1	536875349	2	536875348	2	0	0	0	0
227	23	7	268456085	1	536875349	2	536875348	2	0	0	0	0
228	23	8	268456085	1	536875349	2	536875348	2	0	0	0	0
229	23	9	268456085	1	536875349	2	536875348	2	0	0	0	0
230	23	10	268456085	1	536875349	2	536875348	2	0	0	0	0
231	24	1	268456090	1	536875349	3	536875348	2	0	0	0	0
232	24	2	268456090	1	536875349	3	536875348	2	0	0	0	0
233	24	3	268456090	1	536875349	3	536875348	2	0	0	0	0
234	24	4	268456090	1	536875349	3	536875348	2	0	0	0	0
235	24	5	268456090	1	536875349	3	536875348	2	0	0	0	0
236	24	6	268456090	1	536875349	3	536875348	2	0	0	0	0
237	24	7	268456090	1	536875349	3	536875348	2	0	0	0	0
238	24	8	268456090	1	536875349	3	536875348	2	0	0	0	0
239	24	9	268456090	1	536875349	3	536875348	2	0	0	0	0
240	24	10	268456090	1	536875349	3	536875348	2	0	0	0	0
241	25	1	268456199	1	536875349	2	536875348	2	0	0	0	0
242	25	2	268456199	1	536875349	2	536875348	2	0	0	0	0
243	25	3	268456199	1	536875349	2	536875348	2	0	0	0	0
244	25	4	268456199	1	536875349	2	536875348	2	0	0	0	0
245	25	5	268456199	1	536875349	2	536875348	2	0	0	0	0
246	25	6	268456199	1	536875349	2	536875348	2	0	0	0	0
247	25	7	268456199	1	536875349	2	536875348	2	0	0	0	0
248	25	8	268456199	1	536875349	2	536875348	2	0	0	0	0
249	25	9	268456199	1	536875349	2	536875348	2	0	0	0	0
250	25	10	268456199	1	536875349	2	536875348	2	0	0	0	0
251	26	1	268456094	1	536875349	3	536875348	2	0	0	0	0
252	26	2	268456094	1	536875349	3	536875348	2	0	0	0	0
253	26	3	268456094	1	536875349	3	536875348	2	0	0	0	0
254	26	4	268456094	1	536875349	3	536875348	2	0	0	0	0
255	26	5	268456094	1	536875349	3	536875348	2	0	0	0	0
256	26	6	268456094	1	536875349	3	536875348	2	0	0	0	0
257	26	7	268456094	1	536875349	3	536875348	2	0	0	0	0
258	26	8	268456094	1	536875349	3	536875348	2	0	0	0	0
259	26	9	268456094	1	536875349	3	536875348	2	0	0	0	0
260	26	10	268456094	1	536875349	3	536875348	2	0	0	0	0
261	27	1	268456102	1	536875349	3	536875348	2	0	0	0	0
262	27	2	268456102	1	536875349	3	536875348	2	0	0	0	0
263	27	3	268456102	1	536875349	3	536875348	2	0	0	0	0
264	27	4	268456102	1	536875349	3	536875348	2	0	0	0	0
265	27	5	268456102	1	536875349	3	536875348	2	0	0	0	0
266	27	6	268456102	1	536875349	3	536875348	2	0	0	0	0
267	27	7	268456102	1	536875349	3	536875348	2	0	0	0	0
268	27	8	268456102	1	536875349	3	536875348	2	0	0	0	0
269	27	9	268456102	1	536875349	3	536875348	2	0	0	0	0
270	27	10	268456102	1	536875349	3	536875348	2	0	0	0	0
271	28	1	268456103	1	536875349	3	536875348	2	0	0	0	0
272	28	2	268456103	1	536875349	3	536875348	2	0	0	0	0
273	28	3	268456103	1	536875349	3	536875348	2	0	0	0	0
274	28	4	268456103	1	536875349	3	536875348	2	0	0	0	0
275	28	5	268456103	1	536875349	3	536875348	2	0	0	0	0
276	28	6	268456103	1	536875349	3	536875348	2	0	0	0	0
277	28	7	268456103	1	536875349	3	536875348	2	0	0	0	0
278	28	8	268456103	1	536875349	3	536875348	2	0	0	0	0
279	28	9	268456103	1	536875349	3	536875348	2	0	0	0	0
280	28	10	268456103	1	536875349	3	536875348	2	0	0	0	0
281	29	1	268456089	1	536875349	2	536875348	2	0	0	0	0
282	29	2	268456089	1	536875349	2	536875348	2	0	0	0	0
283	29	3	268456089	1	536875349	2	536875348	2	0	0	0	0
284	29	4	268456089	1	536875349	2	536875348	2	0	0	0	0
285	29	5	268456089	1	536875349	2	536875348	2	0	0	0	0
286	29	6	268456089	1	536875349	2	536875348	2	0	0	0	0
287	29	7	268456089	1	536875349	2	536875348	2	0	0	0	0
288	29	8	268456089	1	536875349	2	536875348	2	0	0	0	0
289	29	9	268456089	1	536875349	2	536875348	2	0	0	0	0
290	29	10	268456089	1	536875349	2	536875348	2	0	0	0	0
291	30	1	268456187	1	536875349	3	536875348	2	0	0	0	0
292	30	2	268456187	1	536875349	3	536875348	2	0	0	0	0
293	30	3	268456187	1	536875349	3	536875348	2	0	0	0	0
294	30	4	268456187	1	536875349	3	536875348	2	0	0	0	0
295	30	5	268456187	1	536875349	3	536875348	2	0	0	0	0
296	30	6	268456187	1	536875349	3	536875348	2	0	0	0	0
297	30	7	268456187	1	536875349	3	536875348	2	0	0	0	0
298	30	8	268456187	1	536875349	3	536875348	2	0	0	0	0
299	30	9	268456187	1	536875349	3	536875348	2	0	0	0	0
300	30	10	268456187	1	536875349	3	536875348	2	0	0	0	0
301	55	1	268456463	1	536875349	2	0	0	0	0	0	0
302	55	2	268456463	1	536875349	2	0	0	0	0	0	0
303	55	3	268456463	1	536875349	2	0	0	0	0	0	0
304	55	4	268456463	1	536875349	2	0	0	0	0	0	0
305	55	5	268456463	1	536875349	2	0	0	0	0	0	0
306	55	6	268456463	1	536875349	2	0	0	0	0	0	0
307	55	7	268456463	1	536875349	2	0	0	0	0	0	0
308	55	8	268456463	1	536875349	2	0	0	0	0	0	0
309	55	9	268456463	1	536875349	2	0	0	0	0	0	0
310	55	10	268456463	1	536875349	2	0	0	0	0	0	0
