ROWID	_Activate|INTEGER	_EventTitleName|INTEGER	_EventSubTitileName|INTEGER	_EventTime|INTEGER	_EventType|INTEGER	_EventValue1|INTEGER	_EventValue2|INTEGER	_EventValue3|INTEGER	_MonsterCompoundID1|INTEGER	_MonsterValue1|INTEGER	_MonsterCompoundID2|INTEGER	_MonsterValue2|INTEGER	_MonsterCompoundID3|INTEGER	_MonsterValue3|INTEGER	_MonsterCompoundID4|INTEGER	_MonsterValue4|INTEGER	_MonsterCompoundID5|INTEGER	_MonsterValue5|INTEGER	_MonsterCompoundID6|INTEGER	_MonsterValue6|INTEGER	_MonsterCompoundID7|INTEGER	_MonsterValue7|INTEGER	_MonsterCompoundID8|INTEGER	_MonsterValue8|INTEGER	_MonsterCompoundID9|INTEGER	_MonsterValue9|INTEGER	_MonsterCompoundID10|INTEGER	_MonsterValue10|INTEGER	_DropGroupID|INTEGER	_EmergenceBGM|INTEGER
11	1	1000076355	1000072380	30	9	10	0	0	21401	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
12	1	1000076356	1000072380	30	10	10	0	0	21401	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
101	1	1000078341	1000076628	20	1	602250	702250	0	21411	10	21412	100	21413	50	21441	10	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
102	1	1000078341	1000076630	10	1	602253	702253	0	21414	10	21415	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
103	1	1000078341	1000077583	30	1	602255	702255	0	21416	10	21417	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
104	1	1000078341	1000077584	12	1	602257	702257	0	21418	10	21419	10	21420	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
201	1	1000078342	1000077585	30	2	0	0	0	21421	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
202	1	1000078342	1000078446	30	2	0	0	0	21422	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
203	1	1000078342	1000077586	30	1	602270	702270	0	21423	150	21453	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
301	1	1000078343	1000076636	30	3	0	0	0	21424	40	21452	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
302	1	1000078343	1000076637	30	3	0	0	0	21425	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
303	1	1000078343	1000078447	30	3	0	0	0	21442	10	21443	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
304	1	1000078343	1000077587	10	3	0	0	0	21427	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
401	1	1000078344	1000077588	18	7	21249	0	0	21428	180	21455	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
402	1	1000078344	1000077589	40	7	21249	0	0	21429	10	21455	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
501	1	1000074528	1000076642	10	5	21207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
502	1	1000074528	1000077590	10	5	21214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
601	1	1000074529	1000076644	30	6	805308901	1	0	21432	100	21437	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
602	1	1000078345	1000076644	15	6	805308901	1	0	21432	10	21434	70	21437	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
603	1	1000074529	1000076644	30	6	805308901	1	0	21432	70	21436	100	21437	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
701	1	1000076645	1000078448	20	7	21210	0	0	21451	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
702	1	1000076645	1000078353	15	7	21216	0	0	21439	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
801	1	1000078346	1000078351	30	8	0	0	0	21440	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117187561	32821
