ROWID	_Type|INTEGER	_IconID|INTEGER	_IsCash|BOOLEAN	_Priority|INTEGER	_MarkOnly|BOOLEAN	_MarkView|INTEGER
186	2	1390	false	112	false	1
187	2	1391	false	113	false	1
188	2	1392	false	114	false	1
189	2	1393	false	115	false	1
190	2	1394	false	116	false	1
191	2	1395	false	117	false	1
192	2	1396	false	118	false	1
193	2	1397	false	119	false	1
194	2	1398	false	120	false	1
195	2	1399	false	121	false	1
196	2	1400	false	122	false	1
197	2	1401	false	123	false	1
198	2	1402	false	124	false	1
199	2	1403	false	125	false	1
200	2	1404	false	126	false	1
201	2	1405	false	127	false	1
202	2	1406	false	128	false	1
203	2	1407	false	129	false	1
204	2	1408	false	130	false	1
205	2	1409	false	131	false	1
206	2	1410	false	132	false	1
207	2	1411	false	133	false	1
208	2	1412	false	134	false	1
209	2	1413	false	135	false	1
210	2	1414	false	136	false	1
211	2	1415	false	137	false	1
212	2	1416	false	138	false	1
213	2	1417	false	139	false	1
214	2	1418	false	140	false	1
215	2	1419	false	141	false	1
216	2	1420	false	142	false	1
217	2	1421	false	143	false	1
218	2	1422	false	144	false	1
219	2	1423	false	145	false	1
220	2	1424	false	146	false	1
221	2	1425	false	147	false	1
222	2	1426	false	148	false	1
223	2	1427	false	149	false	1
224	2	1428	false	150	false	1
225	2	1429	false	151	false	1
226	2	1430	false	152	false	1
227	2	1431	false	153	false	1
228	2	1432	false	154	false	1
229	2	1433	false	155	false	1
230	2	1434	false	156	false	1
231	2	1435	false	157	false	1
232	2	1436	false	158	false	1
233	2	1437	false	159	false	1
234	2	1438	false	160	false	1
235	2	1439	false	161	false	1
236	2	1440	false	162	false	1
237	2	1441	false	163	false	1
238	2	1442	false	164	false	1
239	2	1443	false	165	false	1
240	2	1444	false	166	false	1
241	2	1445	false	167	false	1
242	2	1446	false	168	false	1
243	2	1447	false	169	false	1
244	2	1448	false	170	false	1
245	2	1449	false	171	false	1
246	2	1450	false	172	false	1
247	2	1451	false	173	false	1
248	2	1452	false	174	false	1
249	2	1453	false	175	false	1
250	2	1454	false	176	false	1
251	2	1455	false	177	false	1
252	2	1456	false	178	false	1
253	2	1457	false	179	false	1
254	2	1458	false	180	false	1
255	2	1459	false	181	false	1
256	2	1460	false	182	false	1
257	2	1461	false	183	false	1
258	2	1462	false	184	false	1
259	2	1463	false	185	false	1
260	2	1464	false	186	false	1
261	2	1465	false	187	false	1
262	2	1466	false	188	false	1
263	2	1467	false	189	false	1
264	2	1468	false	190	false	1
265	2	1469	false	191	false	1
266	2	1470	false	192	false	1
267	2	1471	false	193	false	1
268	0	9	false	10	true	2
269	0	10	false	11	true	2
