ROWID	_ApplicableValue|INTEGER	_RequireMaxItemLevel|INTEGER	_RequireEnchantLevel|INTEGER	_EnchantLevel|INTEGER	_CanApplySealedItem|BOOLEAN
308365592	125352992	24	7	8	true
308365593	125352992	24	8	9	true
308365594	125352992	24	9	10	true
308365595	125352992	24	10	11	true
308365596	125352992	24	11	12	true
308365329	125352992	24	0	1	true
308365330	125352992	24	0	2	true
308365331	125352992	24	0	3	true
308365332	125352992	24	0	4	true
308365333	125352992	24	0	5	true
308365334	125352992	24	0	6	true
308365335	125352992	24	0	7	true
308365336	125352992	24	0	8	true
308365337	125352992	24	0	9	true
308365338	125352992	24	0	10	true
308365339	125352992	24	0	11	true
308365340	125352992	24	0	12	true
308369682	125451296	24	1	2	true
308369683	125451296	24	2	3	true
308369684	125451296	24	3	4	true
308369685	125451296	24	4	5	true
308369686	125451296	24	5	6	true
308369687	125451296	24	6	7	true
308369688	125451296	24	7	8	true
308369689	125451296	24	8	9	true
308369690	125451296	24	9	10	true
308369691	125451296	24	10	11	true
308369692	125451296	24	11	12	true
308369693	125451296	24	12	13	true
308369694	125451296	24	13	14	true
308369695	125451296	24	14	15	true
308369425	125451296	24	0	1	true
308369426	125451296	24	0	2	true
308369427	125451296	24	0	3	true
308369428	125451296	24	0	4	true
308369429	125451296	24	0	5	true
308369430	125451296	24	0	6	true
308369431	125451296	24	0	7	true
308369432	125451296	24	0	8	true
308369433	125451296	24	0	9	true
308369434	125451296	24	0	10	true
308369435	125451296	24	0	11	true
308369436	125451296	24	0	12	true
308369437	125451296	24	0	13	true
308369438	125451296	24	0	14	true
308369439	125451296	24	0	15	true
308281618	125336577	24	1	2	true
308281619	125336577	24	2	3	true
308281620	125336577	24	3	4	true
308281621	125336577	24	4	5	true
308281622	125336577	24	5	6	true
308281623	125336577	24	6	7	true
308281624	125336577	24	7	8	true
308281625	125336577	24	8	9	true
308281626	125336577	24	9	10	true
308281627	125336577	24	10	11	true
308281628	125336577	24	11	12	true
308281361	125336577	24	0	1	true
308281362	125336577	24	0	2	true
308281363	125336577	24	0	3	true
308281364	125336577	24	0	4	true
308281365	125336577	24	0	5	true
308281366	125336577	24	0	6	true
308281367	125336577	24	0	7	true
308281368	125336577	24	0	8	true
308281369	125336577	24	0	9	true
308281370	125336577	24	0	10	true
308281371	125336577	24	0	11	true
308281372	125336577	24	0	12	true
308285714	125385729	24	1	2	true
308285715	125385729	24	2	3	true
308285716	125385729	24	3	4	true
308285717	125385729	24	4	5	true
308285718	125385729	24	5	6	true
308285719	125385729	24	6	7	true
308285720	125385729	24	7	8	true
308285721	125385729	24	8	9	true
308285722	125385729	24	9	10	true
308285723	125385729	24	10	11	true
308285724	125385729	24	11	12	true
308285725	125385729	24	12	13	true
308285726	125385729	24	13	14	true
308285727	125385729	24	14	15	true
308285457	125385729	24	0	1	true
308285458	125385729	24	0	2	true
308285459	125385729	24	0	3	true
308285460	125385729	24	0	4	true
308285461	125385729	24	0	5	true
308285462	125385729	24	0	6	true
308285463	125385729	24	0	7	true
308285464	125385729	24	0	8	true
308285465	125385729	24	0	9	true
308285466	125385729	24	0	10	true
308285467	125385729	24	0	11	true
308285468	125385729	24	0	12	true
308285469	125385729	24	0	13	true
308285470	125385729	24	0	14	true
308285471	125385729	24	0	15	true
308283666	125352961	24	1	2	true
308283667	125352961	24	2	3	true
308283668	125352961	24	3	4	true
308283669	125352961	24	4	5	true
308283670	125352961	24	5	6	true
308283671	125352961	24	6	7	true
308283672	125352961	24	7	8	true
308283673	125352961	24	8	9	true
308283674	125352961	24	9	10	true
308283675	125352961	24	10	11	true
308283676	125352961	24	11	12	true
308283409	125352961	24	0	1	true
308283410	125352961	24	0	2	true
308283411	125352961	24	0	3	true
308283412	125352961	24	0	4	true
308283413	125352961	24	0	5	true
308283414	125352961	24	0	6	true
308283415	125352961	24	0	7	true
308283416	125352961	24	0	8	true
308283417	125352961	24	0	9	true
308283418	125352961	24	0	10	true
308283419	125352961	24	0	11	true
308283420	125352961	24	0	12	true
308287762	125451265	24	1	2	true
308287763	125451265	24	2	3	true
308287764	125451265	24	3	4	true
308287765	125451265	24	4	5	true
308287766	125451265	24	5	6	true
308287767	125451265	24	6	7	true
308287768	125451265	24	7	8	true
308287769	125451265	24	8	9	true
308287770	125451265	24	9	10	true
308287771	125451265	24	10	11	true
308287772	125451265	24	11	12	true
308287773	125451265	24	12	13	true
308287774	125451265	24	13	14	true
308287775	125451265	24	14	15	true
308287505	125451265	24	0	1	true
308287506	125451265	24	0	2	true
308287507	125451265	24	0	3	true
308287508	125451265	24	0	4	true
308287509	125451265	24	0	5	true
308287510	125451265	24	0	6	true
308287511	125451265	24	0	7	true
308287512	125451265	24	0	8	true
308287513	125451265	24	0	9	true
308287514	125451265	24	0	10	true
308287515	125451265	24	0	11	true
308287516	125451265	24	0	12	true
308287517	125451265	24	0	13	true
308287518	125451265	24	0	14	true
308287519	125451265	24	0	15	true
308347154	125336592	24	1	2	true
308347155	125336592	24	2	3	true
308347156	125336592	24	3	4	true
308347157	125336592	24	4	5	true
308347158	125336592	24	5	6	true
308347159	125336592	24	6	7	true
308347160	125336592	24	7	8	true
308347161	125336592	24	8	9	true
308347162	125336592	24	9	10	true
308347163	125336592	24	10	11	true
308347164	125336592	24	11	12	true
308346897	125336592	24	0	1	true
308346898	125336592	24	0	2	true
308346899	125336592	24	0	3	true
308346900	125336592	24	0	4	true
308346901	125336592	24	0	5	true
308346902	125336592	24	0	6	true
308346903	125336592	24	0	7	true
308346904	125336592	24	0	8	true
308346905	125336592	24	0	9	true
308346906	125336592	24	0	10	true
308346907	125336592	24	0	11	true
308346908	125336592	24	0	12	true
308351250	125385744	24	1	2	true
308351251	125385744	24	2	3	true
308351252	125385744	24	3	4	true
308351253	125385744	24	4	5	true
308351254	125385744	24	5	6	true
308351255	125385744	24	6	7	true
308351256	125385744	24	7	8	true
308351257	125385744	24	8	9	true
308351258	125385744	24	9	10	true
308351259	125385744	24	10	11	true
308351260	125385744	24	11	12	true
308351261	125385744	24	12	13	true
308351262	125385744	24	13	14	true
308351263	125385744	24	14	15	true
308350993	125385744	24	0	1	true
308350994	125385744	24	0	2	true
308350995	125385744	24	0	3	true
308350996	125385744	24	0	4	true
308350997	125385744	24	0	5	true
308350998	125385744	24	0	6	true
308350999	125385744	24	0	7	true
308351000	125385744	24	0	8	true
308351001	125385744	24	0	9	true
308351002	125385744	24	0	10	true
308351003	125385744	24	0	11	true
308351004	125385744	24	0	12	true
308351005	125385744	24	0	13	true
308351006	125385744	24	0	14	true
308351007	125385744	24	0	15	true
308349202	125352976	24	1	2	true
308349203	125352976	24	2	3	true
308349204	125352976	24	3	4	true
308349205	125352976	24	4	5	true
308349206	125352976	24	5	6	true
308349207	125352976	24	6	7	true
308349208	125352976	24	7	8	true
308349209	125352976	24	8	9	true
308349210	125352976	24	9	10	true
308349211	125352976	24	10	11	true
308349212	125352976	24	11	12	true
308348945	125352976	24	0	1	true
308348946	125352976	24	0	2	true
308348947	125352976	24	0	3	true
308348948	125352976	24	0	4	true
308348949	125352976	24	0	5	true
308348950	125352976	24	0	6	true
308348951	125352976	24	0	7	true
308348952	125352976	24	0	8	true
308348953	125352976	24	0	9	true
308348954	125352976	24	0	10	true
308348955	125352976	24	0	11	true
308348956	125352976	24	0	12	true
308353298	125451280	24	1	2	true
308353299	125451280	24	2	3	true
308353300	125451280	24	3	4	true
308353301	125451280	24	4	5	true
308353302	125451280	24	5	6	true
308353303	125451280	24	6	7	true
308353304	125451280	24	7	8	true
308353305	125451280	24	8	9	true
308353306	125451280	24	9	10	true
308353307	125451280	24	10	11	true
308353308	125451280	24	11	12	true
308353309	125451280	24	12	13	true
308353310	125451280	24	13	14	true
308353311	125451280	24	14	15	true
308353041	125451280	24	0	1	true
308353042	125451280	24	0	2	true
308353043	125451280	24	0	3	true
308353044	125451280	24	0	4	true
308353045	125451280	24	0	5	true
308353046	125451280	24	0	6	true
308353047	125451280	24	0	7	true
308353048	125451280	24	0	8	true
308353049	125451280	24	0	9	true
308353050	125451280	24	0	10	true
308353051	125451280	24	0	11	true
308353052	125451280	24	0	12	true
308353053	125451280	24	0	13	true
308353054	125451280	24	0	14	true
308353055	125451280	24	0	15	true
308314514	125336580	32	1	2	true
308314515	125336580	32	2	3	true
308314516	125336580	32	3	4	true
308314517	125336580	32	4	5	true
308314518	125336580	32	5	6	true
308314519	125336580	32	6	7	true
308314520	125336580	32	7	8	true
308314521	125336580	32	8	9	true
308314522	125336580	32	9	10	true
308314523	125336580	32	10	11	true
308314524	125336580	32	11	12	true
308314257	125336580	32	0	1	true
308314258	125336580	32	0	2	true
308314259	125336580	32	0	3	true
308314260	125336580	32	0	4	true
308314261	125336580	32	0	5	true
308314262	125336580	32	0	6	true
308314263	125336580	32	0	7	true
308314264	125336580	32	0	8	true
308314265	125336580	32	0	9	true
308314266	125336580	32	0	10	true
308314267	125336580	32	0	11	true
308314268	125336580	32	0	12	true
308318610	125385732	32	1	2	true
308318611	125385732	32	2	3	true
308318612	125385732	32	3	4	true
308318613	125385732	32	4	5	true
308318614	125385732	32	5	6	true
308318615	125385732	32	6	7	true
308318616	125385732	32	7	8	true
308318617	125385732	32	8	9	true
308318618	125385732	32	9	10	true
308318619	125385732	32	10	11	true
308318620	125385732	32	11	12	true
308318621	125385732	32	12	13	true
308318622	125385732	32	13	14	true
308318623	125385732	32	14	15	true
308318353	125385732	32	0	1	true
308318354	125385732	32	0	2	true
308318355	125385732	32	0	3	true
308318356	125385732	32	0	4	true
308318357	125385732	32	0	5	true
308318358	125385732	32	0	6	true
308318359	125385732	32	0	7	true
308318360	125385732	32	0	8	true
308318361	125385732	32	0	9	true
308318362	125385732	32	0	10	true
308318363	125385732	32	0	11	true
308318364	125385732	32	0	12	true
308318365	125385732	32	0	13	true
308318366	125385732	32	0	14	true
308318367	125385732	32	0	15	true
308316562	125352964	32	1	2	true
308316563	125352964	32	2	3	true
308316564	125352964	32	3	4	true
308316565	125352964	32	4	5	true
308316566	125352964	32	5	6	true
308316567	125352964	32	6	7	true
308316568	125352964	32	7	8	true
308316569	125352964	32	8	9	true
308316570	125352964	32	9	10	true
308316571	125352964	32	10	11	true
308316572	125352964	32	11	12	true
308316305	125352964	32	0	1	true
308316306	125352964	32	0	2	true
308316307	125352964	32	0	3	true
308316308	125352964	32	0	4	true
308316309	125352964	32	0	5	true
308316310	125352964	32	0	6	true
308316311	125352964	32	0	7	true
308316312	125352964	32	0	8	true
308316313	125352964	32	0	9	true
308316314	125352964	32	0	10	true
308316315	125352964	32	0	11	true
308316316	125352964	32	0	12	true
308320658	125451268	32	1	2	true
308320659	125451268	32	2	3	true
308320660	125451268	32	3	4	true
308320661	125451268	32	4	5	true
308320662	125451268	32	5	6	true
308320663	125451268	32	6	7	true
308320664	125451268	32	7	8	true
308320665	125451268	32	8	9	true
308320666	125451268	32	9	10	true
308320667	125451268	32	10	11	true
308320668	125451268	32	11	12	true
308320669	125451268	32	12	13	true
308320670	125451268	32	13	14	true
308320671	125451268	32	14	15	true
308320401	125451268	32	0	1	true
308320402	125451268	32	0	2	true
308320403	125451268	32	0	3	true
308320404	125451268	32	0	4	true
308320405	125451268	32	0	5	true
308320406	125451268	32	0	6	true
308320407	125451268	32	0	7	true
308320408	125451268	32	0	8	true
308320409	125451268	32	0	9	true
308320410	125451268	32	0	10	true
308320411	125451268	32	0	11	true
308320412	125451268	32	0	12	true
308320413	125451268	32	0	13	true
308320414	125451268	32	0	14	true
308320415	125451268	32	0	15	true
308298130	125336578	32	1	2	true
308298131	125336578	32	2	3	true
308298132	125336578	32	3	4	true
308298133	125336578	32	4	5	true
308298134	125336578	32	5	6	true
308298135	125336578	32	6	7	true
308298136	125336578	32	7	8	true
308298137	125336578	32	8	9	true
308298138	125336578	32	9	10	true
308298139	125336578	32	10	11	true
308298140	125336578	32	11	12	true
308297873	125336578	32	0	1	true
308297874	125336578	32	0	2	true
308297875	125336578	32	0	3	true
308297876	125336578	32	0	4	true
308297877	125336578	32	0	5	true
308297878	125336578	32	0	6	true
308297879	125336578	32	0	7	true
308297880	125336578	32	0	8	true
308297881	125336578	32	0	9	true
308297882	125336578	32	0	10	true
308297883	125336578	32	0	11	true
308297884	125336578	32	0	12	true
308302226	125385730	32	1	2	true
308302227	125385730	32	2	3	true
308302228	125385730	32	3	4	true
308302229	125385730	32	4	5	true
308302230	125385730	32	5	6	true
308302231	125385730	32	6	7	true
308302232	125385730	32	7	8	true
308302233	125385730	32	8	9	true
