ROWID	_MinScore|INTEGER	_Class|INTEGER	_EquipType|INTEGER	_DropID|INTEGER
125	300	2	0	142608140
126	350	2	0	142608141
127	50	2	1	401021300
128	60	2	1	401022300
129	70	2	1	401023300
130	80	2	1	401024300
131	90	2	1	401025300
132	100	2	1	401026300
133	110	2	1	142608142
134	120	2	1	142608143
135	130	2	1	142608144
136	140	2	1	142608145
137	150	2	1	142608146
138	170	2	1	142608147
139	180	2	1	142608148
140	190	2	1	142608149
141	200	2	1	142608150
142	230	2	1	142608151
143	240	2	1	142608152
144	250	2	1	142608153
145	290	2	1	142608154
146	300	2	1	142608155
147	350	2	1	142608156
148	50	2	2	401031300
149	60	2	2	401032300
150	70	2	2	401033300
151	80	2	2	401034300
152	90	2	2	401035300
153	100	2	2	401036300
154	110	2	2	142608157
155	120	2	2	142608158
156	130	2	2	142608159
157	140	2	2	142608160
158	150	2	2	142608161
159	170	2	2	142608162
160	180	2	2	142608163
161	190	2	2	142608164
162	200	2	2	142608165
163	230	2	2	142608166
164	240	2	2	142608167
165	250	2	2	142608168
166	290	2	2	142608169
167	300	2	2	142608170
168	350	2	2	142608171
169	50	2	3	401041300
170	60	2	3	401042300
171	70	2	3	401043300
172	80	2	3	401044300
173	90	2	3	401045300
174	100	2	3	401046300
175	110	2	3	142608172
176	120	2	3	142608173
177	130	2	3	142608174
178	140	2	3	142608175
179	150	2	3	142608176
180	170	2	3	142608177
181	180	2	3	142608178
182	190	2	3	142608179
183	200	2	3	142608180
184	230	2	3	142608181
185	240	2	3	142608182
186	250	2	3	142608183
187	290	2	3	142608184
188	300	2	3	142608185
189	350	2	3	142608186
190	50	2	4	401051300
191	60	2	4	401052300
192	70	2	4	401053300
193	80	2	4	401054300
194	90	2	4	401055300
195	100	2	4	401056300
196	110	2	4	142608187
197	120	2	4	142608188
198	130	2	4	142608189
199	140	2	4	142608190
200	150	2	4	142608191
201	170	2	4	142608192
202	180	2	4	142608193
203	190	2	4	142608194
204	200	2	4	142608195
205	230	2	4	142608196
206	240	2	4	142608197
207	250	2	4	142608198
208	290	2	4	142608199
209	300	2	4	142608200
210	350	2	4	142608201
211	50	3	0	401011400
212	60	3	0	401012400
213	70	3	0	401013400
214	80	3	0	401014400
215	90	3	0	401015400
216	100	3	0	401016400
217	110	3	0	142608202
218	120	3	0	142608203
219	130	3	0	142608204
220	140	3	0	142608205
221	150	3	0	142608206
222	170	3	0	142608207
223	180	3	0	142608208
224	190	3	0	142608209
225	200	3	0	142608210
226	230	3	0	142608211
227	240	3	0	142608212
228	250	3	0	142608213
229	290	3	0	142608214
230	300	3	0	142608215
231	350	3	0	142608216
232	50	3	1	401021400
233	60	3	1	401022400
234	70	3	1	401023400
235	80	3	1	401024400
236	90	3	1	401025400
237	100	3	1	401026400
238	110	3	1	142608217
239	120	3	1	142608218
240	130	3	1	142608219
241	140	3	1	142608220
242	150	3	1	142608221
243	170	3	1	142608222
244	180	3	1	142608223
245	190	3	1	142608224
246	200	3	1	142608225
247	230	3	1	142608226
248	240	3	1	142608227
249	250	3	1	142608228
250	290	3	1	142608229
251	300	3	1	142608230
252	350	3	1	142608231
253	50	3	2	401031400
254	60	3	2	401032400
255	70	3	2	401033400
256	80	3	2	401034400
257	90	3	2	401035400
258	100	3	2	401036400
259	110	3	2	142608232
260	120	3	2	142608233
261	130	3	2	142608234
262	140	3	2	142608235
263	150	3	2	142608236
264	170	3	2	142608237
265	180	3	2	142608238
266	190	3	2	142608239
267	200	3	2	142608240
268	230	3	2	142608241
269	240	3	2	142608242
270	250	3	2	142608243
271	290	3	2	142608244
272	300	3	2	142608245
273	350	3	2	142608246
274	50	3	3	401041400
275	60	3	3	401042400
276	70	3	3	401043400
277	80	3	3	401044400
278	90	3	3	401045400
279	100	3	3	401046400
280	110	3	3	142608247
281	120	3	3	142608248
282	130	3	3	142608249
283	140	3	3	142608250
284	150	3	3	142608251
285	170	3	3	142608252
286	180	3	3	142608253
287	190	3	3	142608254
288	200	3	3	142608255
289	230	3	3	142608256
290	240	3	3	142608257
291	250	3	3	142608258
292	290	3	3	142608259
293	300	3	3	142608260
294	350	3	3	142608261
295	50	3	4	401051400
296	60	3	4	401052400
297	70	3	4	401053400
298	80	3	4	401054400
299	90	3	4	401055400
300	100	3	4	401056400
301	110	3	4	142608262
302	120	3	4	142608263
303	130	3	4	142608264
304	140	3	4	142608265
305	150	3	4	142608266
306	170	3	4	142608267
307	180	3	4	142608268
308	190	3	4	142608269
309	200	3	4	142608270
310	230	3	4	142608271
311	240	3	4	142608272
312	250	3	4	142608273
313	290	3	4	142608274
314	300	3	4	142608275
315	350	3	4	142608276
316	50	4	0	401011500
317	60	4	0	401012500
318	70	4	0	401013500
319	80	4	0	401014500
320	90	4	0	401015500
321	100	4	0	401016500
322	110	4	0	142608277
323	120	4	0	142608278
324	130	4	0	142608279
325	140	4	0	142608280
326	150	4	0	142608281
327	170	4	0	142608282
328	180	4	0	142608283
329	190	4	0	142608284
330	200	4	0	142608285
331	230	4	0	142608286
332	240	4	0	142608287
333	250	4	0	142608288
334	290	4	0	142608289
335	300	4	0	142608290
336	350	4	0	142608291
337	50	4	1	401021500
338	60	4	1	401022500
339	70	4	1	401023500
340	80	4	1	401024500
341	90	4	1	401025500
342	100	4	1	401026500
343	110	4	1	142608292
344	120	4	1	142608293
345	130	4	1	142608294
346	140	4	1	142608295
347	150	4	1	142608296
348	170	4	1	142608297
349	180	4	1	142608298
350	190	4	1	142608299
351	200	4	1	142608300
352	230	4	1	142608301
353	240	4	1	142608302
354	250	4	1	142608303
355	290	4	1	142608304
356	300	4	1	142608305
357	350	4	1	142608306
358	50	4	2	401031500
359	60	4	2	401032500
360	70	4	2	401033500
361	80	4	2	401034500
362	90	4	2	401035500
363	100	4	2	401036500
364	110	4	2	142608307
365	120	4	2	142608308
366	130	4	2	142608309
367	140	4	2	142608310
368	150	4	2	142608311
369	170	4	2	142608312
370	180	4	2	142608313
371	190	4	2	142608314
372	200	4	2	142608315
373	230	4	2	142608316
374	240	4	2	142608317
375	250	4	2	142608318
376	290	4	2	142608319
377	300	4	2	142608320
378	350	4	2	142608321
379	50	4	3	401041500
380	60	4	3	401042500
381	70	4	3	401043500
382	80	4	3	401044500
383	90	4	3	401045500
384	100	4	3	401046500
385	110	4	3	142608322
386	120	4	3	142608323
387	130	4	3	142608324
388	140	4	3	142608325
389	150	4	3	142608326
390	170	4	3	142608327
391	180	4	3	142608328
392	190	4	3	142608329
393	200	4	3	142608330
394	230	4	3	142608331
395	240	4	3	142608332
396	250	4	3	142608333
397	290	4	3	142608334
398	300	4	3	142608335
399	350	4	3	142608336
400	50	4	4	401051500
401	60	4	4	401052500
402	70	4	4	401053500
403	80	4	4	401054500
404	90	4	4	401055500
405	100	4	4	401056500
406	110	4	4	142608337
407	120	4	4	142608338
408	130	4	4	142608339
409	140	4	4	142608340
410	150	4	4	142608341
411	170	4	4	142608342
412	180	4	4	142608343
413	190	4	4	142608344
414	200	4	4	142608345
415	230	4	4	142608346
416	240	4	4	142608347
417	250	4	4	142608348
418	290	4	4	142608349
419	300	4	4	142608350
420	350	4	4	142608351
421	50	5	0	401011600
422	60	5	0	401012600
423	70	5	0	401013600
424	80	5	0	401014600
425	90	5	0	401015600
426	100	5	0	401016600
427	110	5	0	142608352
428	120	5	0	142608353
429	130	5	0	142608354
430	140	5	0	142608355
431	150	5	0	142608356
432	170	5	0	142608357
433	180	5	0	142608358
434	190	5	0	142608359
435	200	5	0	142608360
436	230	5	0	142608361
437	240	5	0	142608362
438	250	5	0	142608363
439	290	5	0	142608364
440	300	5	0	142608365
441	350	5	0	142608366
442	50	5	1	401021600
443	60	5	1	401022600
444	70	5	1	401023600
445	80	5	1	401024600
446	90	5	1	401025600
447	100	5	1	401026600
448	110	5	1	142608367
449	120	5	1	142608368
450	130	5	1	142608369
451	140	5	1	142608370
452	150	5	1	142608371
453	170	5	1	142608372
454	180	5	1	142608373
455	190	5	1	142608374
456	200	5	1	142608375
457	230	5	1	142608376
458	240	5	1	142608377
459	250	5	1	142608378
460	290	5	1	142608379
461	300	5	1	142608380
462	350	5	1	142608381
463	50	5	2	401031600
464	60	5	2	401032600
465	70	5	2	401033600
466	80	5	2	401034600
467	90	5	2	401035600
468	100	5	2	401036600
469	110	5	2	142608382
470	120	5	2	142608383
471	130	5	2	142608384
472	140	5	2	142608385
473	150	5	2	142608386
474	170	5	2	142608387
475	180	5	2	142608388
476	190	5	2	142608389
477	200	5	2	142608390
478	230	5	2	142608391
479	240	5	2	142608392
480	250	5	2	142608393
481	290	5	2	142608394
482	300	5	2	142608395
483	350	5	2	142608396
484	50	5	3	401041600
485	60	5	3	401042600
486	70	5	3	401043600
487	80	5	3	401044600
488	90	5	3	401045600
489	100	5	3	401046600
490	110	5	3	142608397
491	120	5	3	142608398
492	130	5	3	142608399
493	140	5	3	142608400
494	150	5	3	142608401
495	170	5	3	142608402
496	180	5	3	142608403
497	190	5	3	142608404
498	200	5	3	142608405
499	230	5	3	142608406
500	240	5	3	142608407
501	250	5	3	142608408
502	290	5	3	142608409
503	300	5	3	142608410
504	350	5	3	142608411
505	50	5	4	401051600
506	60	5	4	401052600
507	70	5	4	401053600
508	80	5	4	401054600
509	90	5	4	401055600
510	100	5	4	401056600
511	110	5	4	142608412
512	120	5	4	142608413
513	130	5	4	142608414
514	140	5	4	142608415
515	150	5	4	142608416
516	170	5	4	142608417
517	180	5	4	142608418
518	190	5	4	142608419
519	200	5	4	142608420
520	230	5	4	142608421
521	240	5	4	142608422
522	250	5	4	142608423
523	290	5	4	142608424
524	300	5	4	142608425
525	350	5	4	142608426
526	50	6	0	142607202
527	60	6	0	142607203
528	70	6	0	142607204
529	80	6	0	142607205
530	90	6	0	142607206
531	100	6	0	142607207
532	110	6	0	142608427
533	120	6	0	142608428
534	130	6	0	142608429
535	140	6	0	142608430
536	150	6	0	142608431
537	170	6	0	142608432
538	180	6	0	142608433
539	190	6	0	142608434
540	200	6	0	142608435
541	230	6	0	142608436
542	240	6	0	142608437
543	250	6	0	142608438
544	290	6	0	142608439
545	300	6	0	142608440
546	350	6	0	142608441
547	50	6	1	142607208
548	60	6	1	142607209
549	70	6	1	142607210
550	80	6	1	142607211
551	90	6	1	142607212
552	100	6	1	142607213
553	110	6	1	142608442
554	120	6	1	142608443
555	130	6	1	142608444
556	140	6	1	142608445
557	150	6	1	142608446
558	170	6	1	142608447
559	180	6	1	142608448
560	190	6	1	142608449
561	200	6	1	142608450
562	230	6	1	142608451
563	240	6	1	142608452
564	250	6	1	142608453
565	290	6	1	142608454
566	300	6	1	142608455
567	350	6	1	142608456
568	50	6	2	142607214
569	60	6	2	142607215
570	70	6	2	142607216
571	80	6	2	142607217
572	90	6	2	142607218
573	100	6	2	142607219
574	110	6	2	142608457
575	120	6	2	142608458
576	130	6	2	142608459
577	140	6	2	142608460
578	150	6	2	142608461
579	170	6	2	142608462
580	180	6	2	142608463
581	190	6	2	142608464
582	200	6	2	142608465
583	230	6	2	142608466
584	240	6	2	142608467
585	250	6	2	142608468
586	290	6	2	142608469
587	300	6	2	142608470
588	350	6	2	142608471
589	50	6	3	142607220
590	60	6	3	142607221
591	70	6	3	142607222
592	80	6	3	142607223
593	90	6	3	142607224
594	100	6	3	142607225
595	110	6	3	142608472
596	120	6	3	142608473
597	130	6	3	142608474
598	140	6	3	142608475
599	150	6	3	142608476
600	170	6	3	142608477
601	180	6	3	142608478
602	190	6	3	142608479
603	200	6	3	142608480
604	230	6	3	142608481
605	240	6	3	142608482
606	250	6	3	142608483
607	290	6	3	142608484
608	300	6	3	142608485
609	350	6	3	142608486
610	50	6	4	142607226
611	60	6	4	142607227
612	70	6	4	142607228
613	80	6	4	142607229
614	90	6	4	142607230
615	100	6	4	142607231
616	110	6	4	142608487
617	120	6	4	142608488
618	130	6	4	142608489
619	140	6	4	142608490
620	150	6	4	142608491
621	170	6	4	142608492
622	180	6	4	142608493
623	190	6	4	142608494
624	200	6	4	142608495
625	230	6	4	142608496
626	240	6	4	142608497
627	250	6	4	142608498
628	290	6	4	142608499
629	300	6	4	142608500
630	350	6	4	142608501
631	50	7	0	142607902
632	60	7	0	142607903
633	70	7	0	142607904
634	80	7	0	142607905
635	90	7	0	142607906
636	100	7	0	142607907
637	110	7	0	142608502
638	120	7	0	142608503
639	130	7	0	142608504
640	140	7	0	142608505
641	150	7	0	142608506
642	170	7	0	142608507
643	180	7	0	142608508
644	190	7	0	142608509
645	200	7	0	142608510
646	230	7	0	142608511
647	240	7	0	142608512
648	250	7	0	142608513
649	290	7	0	142608514
650	300	7	0	142608515
651	350	7	0	142608516
652	50	7	1	142607908
653	60	7	1	142607909
654	70	7	1	142607910
655	80	7	1	142607911
656	90	7	1	142607912
657	100	7	1	142607913
658	110	7	1	142608517
659	120	7	1	142608518
660	130	7	1	142608519
661	140	7	1	142608520
662	150	7	1	142608521
663	170	7	1	142608522
664	180	7	1	142608523
665	190	7	1	142608524
666	200	7	1	142608525
667	230	7	1	142608526
668	240	7	1	142608527
669	250	7	1	142608528
670	290	7	1	142608529
671	300	7	1	142608530
672	350	7	1	142608531
673	50	7	2	142607914
674	60	7	2	142607915
675	70	7	2	142607916
676	80	7	2	142607917
677	90	7	2	142607918
678	100	7	2	142607919
679	110	7	2	142608532
680	120	7	2	142608533
681	130	7	2	142608534
682	140	7	2	142608535
683	150	7	2	142608536
684	170	7	2	142608537
685	180	7	2	142608538
686	190	7	2	142608539
687	200	7	2	142608540
688	230	7	2	142608541
689	240	7	2	142608542
690	250	7	2	142608543
691	290	7	2	142608544
692	300	7	2	142608545
693	350	7	2	142608546
694	50	7	3	142607920
695	60	7	3	142607921
696	70	7	3	142607922
697	80	7	3	142607923
698	90	7	3	142607924
699	100	7	3	142607925
700	110	7	3	142608547
701	120	7	3	142608548
702	130	7	3	142608549
703	140	7	3	142608550
704	150	7	3	142608551
705	170	7	3	142608552
706	180	7	3	142608553
707	190	7	3	142608554
708	200	7	3	142608555
709	230	7	3	142608556
710	240	7	3	142608557
711	250	7	3	142608558
712	290	7	3	142608559
713	300	7	3	142608560
714	350	7	3	142608561
715	50	7	4	142607926
716	60	7	4	142607927
717	70	7	4	142607928
718	80	7	4	142607929
719	90	7	4	142607930
720	100	7	4	142607931
721	110	7	4	142608562
722	120	7	4	142608563
723	130	7	4	142608564
724	140	7	4	142608565
725	150	7	4	142608566
726	170	7	4	142608567
727	180	7	4	142608568
728	190	7	4	142608569
729	200	7	4	142608570
730	230	7	4	142608571
731	240	7	4	142608572
732	250	7	4	142608573
733	290	7	4	142608574
734	300	7	4	142608575
735	350	7	4	142608576
736	50	8	0	142608577
737	60	8	0	142608578
738	70	8	0	142608579
739	80	8	0	142608580
740	90	8	0	142608581
741	100	8	0	142608582
742	110	8	0	142608583
743	120	8	0	142608584
744	130	8	0	142608585
745	140	8	0	142608586
746	150	8	0	142608587
747	170	8	0	142608588
748	180	8	0	142608589
749	190	8	0	142608590
750	200	8	0	142608591
751	230	8	0	142608592
752	240	8	0	142608593
753	250	8	0	142608594
754	290	8	0	142608595
755	300	8	0	142608596
756	350	8	0	142608597
757	50	8	1	142608598
758	60	8	1	142608599
759	70	8	1	142608600
760	80	8	1	142608601
761	90	8	1	142608602
762	100	8	1	142608603
763	110	8	1	142608604
764	120	8	1	142608605
765	130	8	1	142608606
766	140	8	1	142608607
767	150	8	1	142608608
768	170	8	1	142608609
769	180	8	1	142608610
770	190	8	1	142608611
771	200	8	1	142608612
772	230	8	1	142608613
773	240	8	1	142608614
774	250	8	1	142608615
775	290	8	1	142608616
776	300	8	1	142608617
777	350	8	1	142608618
778	50	8	2	142608619
779	60	8	2	142608620
780	70	8	2	142608621
781	80	8	2	142608622
782	90	8	2	142608623
783	100	8	2	142608624
784	110	8	2	142608625
785	120	8	2	142608626
786	130	8	2	142608627
787	140	8	2	142608628
788	150	8	2	142608629
789	170	8	2	142608630
790	180	8	2	142608631
791	190	8	2	142608632
792	200	8	2	142608633
793	230	8	2	142608634
794	240	8	2	142608635
795	250	8	2	142608636
796	290	8	2	142608637
797	300	8	2	142608638
798	350	8	2	142608639
799	50	8	3	142608640
800	60	8	3	142608641
801	70	8	3	142608642
802	80	8	3	142608643
803	90	8	3	142608644
804	100	8	3	142608645
805	110	8	3	142608646
806	120	8	3	142608647
807	130	8	3	142608648
808	140	8	3	142608649
809	150	8	3	142608650
810	170	8	3	142608651
811	180	8	3	142608652
812	190	8	3	142608653
813	200	8	3	142608654
814	230	8	3	142608655
815	240	8	3	142608656
816	250	8	3	142608657
817	290	8	3	142608658
818	300	8	3	142608659
819	350	8	3	142608660
820	50	8	4	142608661
821	60	8	4	142608662
822	70	8	4	142608663
823	80	8	4	142608664
824	90	8	4	142608665
825	100	8	4	142608666
826	110	8	4	142608667
827	120	8	4	142608668
828	130	8	4	142608669
829	140	8	4	142608670
830	150	8	4	142608671
831	170	8	4	142608672
832	180	8	4	142608673
833	190	8	4	142608674
834	200	8	4	142608675
835	230	8	4	142608676
836	240	8	4	142608677
837	250	8	4	142608678
838	290	8	4	142608679
839	300	8	4	142608680
840	350	8	4	142608681
841	50	9	0	142608752
842	60	9	0	142608753
843	70	9	0	142608754
844	80	9	0	142608755
845	90	9	0	142608756
846	100	9	0	142608757
847	110	9	0	142608758
848	120	9	0	142608759
849	130	9	0	142608760
850	140	9	0	142608761
851	150	9	0	142608762
852	170	9	0	142608763
853	180	9	0	142608764
854	190	9	0	142608765
855	200	9	0	142608766
856	230	9	0	142608767
857	240	9	0	142608768
858	250	9	0	142608769
859	290	9	0	142608770
860	300	9	0	142608771
861	350	9	0	142608772
862	50	9	1	142608773
863	60	9	1	142608774
864	70	9	1	142608775
865	80	9	1	142608776
866	90	9	1	142608777
867	100	9	1	142608778
868	110	9	1	142608779
869	120	9	1	142608780
870	130	9	1	142608781
871	140	9	1	142608782
872	150	9	1	142608783
873	170	9	1	142608784
874	180	9	1	142608785
875	190	9	1	142608786
876	200	9	1	142608787
877	230	9	1	142608788
878	240	9	1	142608789
879	250	9	1	142608790
880	290	9	1	142608791
881	300	9	1	142608792
882	350	9	1	142608793
883	50	9	2	142608794
884	60	9	2	142608795
885	70	9	2	142608796
886	80	9	2	142608797
887	90	9	2	142608798
888	100	9	2	142608799
889	110	9	2	142608800
890	120	9	2	142608801
891	130	9	2	142608802
892	140	9	2	142608803
893	150	9	2	142608804
894	170	9	2	142608805
895	180	9	2	142608806
896	190	9	2	142608807
897	200	9	2	142608808
898	230	9	2	142608809
899	240	9	2	142608810
900	250	9	2	142608811
901	290	9	2	142608812
902	300	9	2	142608813
903	350	9	2	142608814
904	50	9	3	142608815
905	60	9	3	142608816
906	70	9	3	142608817
907	80	9	3	142608818
908	90	9	3	142608819
909	100	9	3	142608820
910	110	9	3	142608821
911	120	9	3	142608822
912	130	9	3	142608823
913	140	9	3	142608824
914	150	9	3	142608825
915	170	9	3	142608826
916	180	9	3	142608827
917	190	9	3	142608828
918	200	9	3	142608829
919	230	9	3	142608830
920	240	9	3	142608831
921	250	9	3	142608832
922	290	9	3	142608833
923	300	9	3	142608834
924	350	9	3	142608835
925	50	9	4	142608836
926	60	9	4	142608837
927	70	9	4	142608838
928	80	9	4	142608839
929	90	9	4	142608840
930	100	9	4	142608841
931	110	9	4	142608842
932	120	9	4	142608843
933	130	9	4	142608844
934	140	9	4	142608845
935	150	9	4	142608846
936	170	9	4	142608847
937	180	9	4	142608848
938	190	9	4	142608849
939	200	9	4	142608850
940	230	9	4	142608851
941	240	9	4	142608852
942	250	9	4	142608853
943	290	9	4	142608854
944	300	9	4	142608855
945	350	9	4	142608856
