ROWID	_Type|INTEGER	_ExchangeType|INTEGER	_Rank|INTEGER	_Item1Index|INTEGER	_Item1Prob|INTEGER	_Item1Info|INTEGER	_Item2Index|INTEGER	_Item2Prob|INTEGER	_Item2Info|INTEGER	_Item3Index|INTEGER	_Item3Prob|INTEGER	_Item3Info|INTEGER	_Item4Index|INTEGER	_Item4Prob|INTEGER	_Item4Info|INTEGER	_Item5Index|INTEGER	_Item5Prob|INTEGER	_Item5Info|INTEGER	_Group|INTEGER	_EnchantLevel|INTEGER	_DisjointDrop|INTEGER
55	1	18	5	268488697	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
56	92	32	1	268476327	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0
57	92	32	2	268476880	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0
58	92	32	3	268476328	1000000000	1	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0
101	1	26	5	1073914928	950000000	2	1073914928	50000000	3	0	0	0	0	0	0	0	0	0	3	0	0
102	1	27	5	1073914928	950000000	2	1073914928	50000000	3	0	0	0	0	0	0	0	0	0	3	0	0
103	1	28	5	1073914928	950000000	2	1073914928	50000000	3	0	0	0	0	0	0	0	0	0	3	0	0
301	189	76	2	268499891	969995000	1	268499892	20000000	1	1073926238	10000000	1	1073926290	5000	1	0	0	0	301	0	0
302	189	76	3	268499891	969995000	1	268499892	20000000	1	1073926238	10000000	1	1073926290	5000	1	0	0	0	301	0	0
303	189	76	4	268499891	969995000	1	268499892	20000000	1	1073926238	10000000	1	1073926290	5000	1	0	0	0	301	0	0
304	189	76	2	268499891	969995000	1	268499892	20000000	1	1073926239	10000000	1	1073926290	5000	1	0	0	0	302	0	0
305	189	76	3	268499891	969995000	1	268499892	20000000	1	1073926239	10000000	1	1073926290	5000	1	0	0	0	302	0	0
306	189	76	4	268499891	969995000	1	268499892	20000000	1	1073926239	10000000	1	1073926290	5000	1	0	0	0	302	0	0
