ROWID	_Activate|INTEGER	_TitleNameID|INTEGER	_TitleNameIDParam|TEXT	_AchieveIcon|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_GainCheckType|BOOLEAN	_AchieveCheckType|BOOLEAN	_MailID|INTEGER
43	1	1000053218	{1000000109}	4	19	9	200510	0	9	510	0	0	0	0	0	0	0	0	0	0	false	true	1501
44	1	1000053215	{2371},{1000000859}	4	3	3	154	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
45	1	1000053220	{1000000859},30	4	3	3	154	0	16	30	4	0	0	0	0	0	0	0	0	0	false	false	1501
46	1	1000053214	{1000000038}	4	19	9	200269	0	9	269	0	0	0	0	0	0	0	0	0	0	false	true	1501
47	1	1000053215	{2371},{1000000848}	4	3	3	93	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
48	1	1000053216	{1000000848}	4	3	3	93	0	14	2	5	0	0	0	0	0	0	0	0	0	false	false	1501
49	1	1000053214	{1000000116}	4	19	9	200559	0	9	559	0	0	0	0	0	0	0	0	0	0	false	true	1501
50	1	1000053215	{2371},{1000000860}	4	3	3	164	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
51	1	1000053217	{1000000860},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1501
52	1	1000053218	{1000000026}	4	19	9	200224	0	9	224	0	0	0	0	0	0	0	0	0	0	false	true	1501
53	1	1000053215	{2371},{1000000846}	4	3	3	83	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
54	1	1000053220	{1000000846},30	4	3	3	83	0	16	30	4	0	0	0	0	0	0	0	0	0	false	false	1501
55	1	1000053214	{1000000042}	4	19	9	200289	0	9	289	0	0	0	0	0	0	0	0	0	0	false	true	1501
56	1	1000053215	{2371},{1000000849}	4	3	3	98	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
57	1	1000053216	{1000000849}	4	3	3	98	0	14	2	5	0	0	0	0	0	0	0	0	0	false	false	1501
58	1	1000053214	{1000000074}	4	19	9	200395	0	9	395	0	0	0	0	0	0	0	0	0	0	false	true	1501
59	1	1000053215	{2371},{1000000853}	4	3	3	124	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
60	1	1000053217	{1000000853},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1501
61	1	1000053218	{1000000136}	4	19	9	200712	0	9	712	0	0	0	0	0	0	0	0	0	0	false	true	1501
62	1	1000053215	{2371},{1000000863}	4	3	3	254	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
63	1	1000053220	{1000000863},30	4	3	3	254	0	16	30	4	0	0	0	0	0	0	0	0	0	false	false	1501
64	1	1000053214	{1000000090}	4	19	9	200433	0	9	433	0	0	0	0	0	0	0	0	0	0	false	true	1501
65	1	1000053215	{2371},{1000000855}	4	3	3	134	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
66	1	1000053216	{1000000855}	4	3	3	134	0	14	2	5	0	0	0	0	0	0	0	0	0	false	false	1501
67	1	1000053214	{1000000128}	4	19	9	200664	0	9	664	0	0	0	0	0	0	0	0	0	0	false	true	1501
68	1	1000053215	{2371},{1000000862}	4	3	3	244	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
69	1	1000053217	{1000000862},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1501
70	1	1000053218	{1000000145}	4	19	9	200762	0	9	762	0	0	0	0	0	0	0	0	0	0	false	true	1501
71	1	1000053215	{2371},{1000000864}	4	3	3	264	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
72	1	1000053220	{1000000864},30	4	3	3	264	0	16	30	4	0	0	0	0	0	0	0	0	0	false	false	1501
73	1	1000053214	{1000000081}	4	19	9	200413	0	9	413	0	0	0	0	0	0	0	0	0	0	false	true	1501
74	1	1000053215	{2371},{1000003083}	4	3	3	129	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1501
75	1	1000053216	{1000003083}	4	3	3	129	0	14	2	5	0	0	0	0	0	0	0	0	0	false	false	1501
76	1	1000053221	{1000000868},8	4	3	3	314	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1593
77	1	1000053219	{2371},{1000000868}	4	3	3	314	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1593
78	1	1000053222		4	3	3	314	0	68	2	4	0	0	0	0	0	0	0	0	0	false	false	1593
79	1	1000053221	{1000000872},8	4	3	3	354	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1593
80	1	1000053219	{2371},{1000000872}	4	3	3	354	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1593
81	1	1000053214	{1000007444}	4	19	9	200973	0	9	973	0	0	0	0	0	0	0	0	0	0	false	true	1593
82	1	1000053221	{1000000878},8	4	3	3	413	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
83	1	1000053219	{2371},{1000000878}	4	3	3	413	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
84	1	1000053223	{1000000878}	4	3	3	413	0	23	1	3	21	1	3	0	0	0	0	0	0	false	false	1594
85	1	1000053221	{1000007833},8	4	3	3	453	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
86	1	1000053219	{2371},{1000007833}	4	3	3	453	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
87	1	1000053224	{1000007833}	4	3	3	453	0	19	1	3	0	0	0	0	0	0	0	0	0	false	false	1594
88	1	1000053221	{1000000866},8	4	3	3	284	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1593
89	1	1000053219	{2371},{1000000866}	4	3	3	284	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1593
90	1	1000053278	{1000000866},{1000015558}	4	4	3	284	0	13	347211016	0	0	0	0	0	0	0	0	0	0	false	false	1593
91	1	1000053221	{1000003603},8	4	3	3	432	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1593
92	1	1000053219	{2371},{1000003603}	4	3	3	432	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1593
93	1	1000053226		4	3	42	1	4	43	1	4	0	0	0	0	0	0	0	0	0	false	true	1593
94	1	1000053221	{1000000873},8	4	3	3	364	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1593
95	1	1000053219	{2371},{1000000873}	4	3	3	364	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1593
96	1	1000053227	1	4	24	33	8	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1593
97	1	1000053221	{1000000877},8	4	3	3	404	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
98	1	1000053219	{2371},{1000000877}	4	3	3	404	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
99	1	1000053228		4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1594
100	1	1000053221	{1000000865},8	4	3	3	274	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1593
101	1	1000053219	{2371},{1000000865}	4	3	3	274	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1593
102	1	1000053229		4	3	16	1	3	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1593
103	1	1000053221	{1000000867},8	4	3	3	294	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1593
104	1	1000053219	{2371},{1000000867}	4	3	3	294	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1593
105	1	1000053222		4	3	3	294	0	68	2	4	0	0	0	0	0	0	0	0	0	false	false	1593
106	1	1000053221	{1000000875},8	4	3	3	384	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
107	1	1000053219	{2371},{1000000875}	4	3	3	384	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
108	1	1000053214	{1000008899}	4	19	9	201028	0	9	1028	0	0	0	0	0	0	0	0	0	0	false	true	1594
109	1	1000053221	{1000000879},8	4	3	3	424	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
110	1	1000053219	{2371},{1000000879}	4	3	3	424	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
111	1	1000053223	{1000000879}	4	3	3	424	0	23	1	3	21	1	3	0	0	0	0	0	0	false	false	1594
112	1	1000053221	{1000007832},8	4	3	3	444	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
113	1	1000053219	{2371},{1000007832}	4	3	3	444	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
114	1	1000053224	{1000007832}	4	3	3	444	0	19	1	3	0	0	0	0	0	0	0	0	0	false	false	1594
115	1	1000053221	{1000032215},8	4	3	3	301	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1593
116	1	1000053219	{2371},{1000032215}	4	3	3	301	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1593
117	1	1000053225	{1000032215},{1000015543}	4	4	3	301	0	13	347210632	0	0	0	0	0	0	0	0	0	0	false	false	1593
118	1	1000053221	{1000000870},8	4	3	3	331	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
119	1	1000053219	{2371},{1000000870}	4	3	3	331	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
120	1	1000053226		4	3	42	1	4	43	1	4	0	0	0	0	0	0	0	0	0	false	true	1594
121	1	1000053221	{1000000876},8	4	3	3	463	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
122	1	1000053219	{2371},{1000000876}	4	3	3	463	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
123	1	1000053227	1	4	24	33	8	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1594
124	1	1000053221	{1000003488},8	4	3	3	393	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
125	1	1000053219	{2371},{1000003488}	4	3	3	393	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
126	1	1000053228		4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1594
127	1	1000053221	{1000007830},8	4	3	3	324	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1593
128	1	1000053219	{2371},{1000007830}	4	3	3	324	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1593
129	1	1000053229		4	3	16	1	3	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1593
130	1	1000053221	{1000007831},8	4	3	3	344	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1593
131	1	1000053219	{2371},{1000007831}	4	3	3	344	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1593
132	1	1000053222		4	3	3	344	0	68	2	4	0	0	0	0	0	0	0	0	0	false	false	1593
133	1	1000053221	{1000000874},8	4	3	3	374	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
134	1	1000053219	{2371},{1000000874}	4	3	3	374	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
135	1	1000053214	{1000008884}	4	19	9	201007	0	9	1007	0	0	0	0	0	0	0	0	0	0	false	true	1594
136	1	1000053221	{1000007834},8	4	3	3	474	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1594
137	1	1000053219	{2371},{1000007834}	4	3	3	474	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1594
138	1	1000053223	{1000007834}	4	3	3	474	0	23	1	3	21	1	3	0	0	0	0	0	0	false	false	1594
139	1	1000053221	{1000020627},8	4	3	3	523	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
140	1	1000053219	{2371},{1000020627}	4	3	3	523	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
141	1	1000053224	{1000020627}	4	3	3	523	0	19	1	3	0	0	0	0	0	0	0	0	0	false	false	1595
142	1	1000053221	{1000022771},8	4	3	3	553	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
143	1	1000053219	{2371},{1000022771}	4	3	3	553	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
144	1	1000053230	{340},{1000006777}	4	19	9	201575	0	9	1575	0	0	0	0	0	0	0	0	0	0	false	true	1595
145	1	1000053221	{1000022772},8	4	3	3	563	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
146	1	1000053219	{2371},{1000022772}	4	3	3	563	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
147	1	1000053225	{1000022772},{1000015559}	4	4	13	347211024	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1595
148	1	1000053221	{1000025062},8	4	3	3	511	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
149	1	1000053219	{2371},{1000025062}	4	3	3	511	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
150	1	1000053217	{1000025062},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1595
151	1	1000053221	{1000022770},8	4	3	3	542	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
152	1	1000053219	{2371},{1000022770}	4	3	3	542	0	4	1	4	21	1	3	0	0	0	0	0	0	false	false	1595
153	1	1000053227	1	4	24	33	8	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1595
154	1	1000053221	{1000039766},8	4	3	3	671	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
155	1	1000053219	{2371},{1000039766}	4	3	3	671	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
156	1	1000053228		4	18	3	671	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1595
157	1	1000053221	{1000039767},8	4	3	3	681	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
158	1	1000053219	{2371},{1000039767}	4	3	3	681	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
159	1	1000053229		4	3	16	1	3	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1595
160	1	1000053221	{1000037049},8	4	3	3	572	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
161	1	1000053219	{2371},{1000037049}	4	3	3	572	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
162	1	1000053222		4	3	3	572	0	68	2	4	0	0	0	0	0	0	0	0	0	false	false	1595
163	1	1000053221	{1000036464},8	4	3	3	582	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
164	1	1000053219	{2371},{1000036464}	4	3	3	582	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
165	1	1000053214	{1000036496}	4	19	9	201769	0	9	1769	0	0	0	0	0	0	0	0	0	0	false	true	1595
166	1	1000053221	{1000036461},8	4	3	3	641	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
167	1	1000053219	{2371},{1000036461}	4	3	3	641	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
168	1	1000053223	{1000036461}	4	3	3	641	0	23	1	3	21	1	3	0	0	0	0	0	0	false	false	1595
169	1	1000053221	{1000036462},8	4	3	3	651	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
170	1	1000053219	{2371},{1000036462}	4	3	3	651	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
171	1	1000053224	{1000036462}	4	3	3	651	0	19	1	3	0	0	0	0	0	0	0	0	0	false	false	1595
172	1	1000053221	{1000036463},8	4	3	3	662	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1595
173	1	1000053219	{2371},{1000036463}	4	3	3	662	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1595
174	1	1000053225	{1000036463},{1000015553}	4	4	3	662	0	13	347210888	0	0	0	0	0	0	0	0	0	0	false	false	1595
175	1	1000053221	{1000033853},8	4	3	3	591	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1596
176	1	1000053219	{2371},{1000033853}	4	3	3	591	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1596
177	1	1000053217	{1000033853},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1596
178	1	1000053221	{1000033854},8	4	3	3	601	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1596
179	1	1000053219	{2371},{1000033854}	4	3	3	601	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1596
180	1	1000053217	{1000033854},5	4	19	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1596
181	1	1000053221	{1000041427},8	4	3	3	612	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1596
182	1	1000053219	{2371},{1000041427}	4	3	3	612	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1596
183	1	1000053227	1	4	24	33	8	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1596
184	1	1000053221	{1000042636},8	4	3	3	632	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1596
185	1	1000053219	{2371},{1000042636}	4	3	3	632	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1596
186	1	1000053228		4	18	3	632	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1596
187	1	1000053221	{1000042627},8	4	3	3	622	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1596
188	1	1000053219	{2371},{1000042627}	4	3	3	622	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1596
189	1	1000053229		4	3	16	1	3	0	0	0	0	0	0	0	0	0	0	0	0	false	false	1596
190	1	1000053221	{10098},8	4	3	3	691	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1596
191	1	1000053219	{2371},{10098}	4	3	3	691	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1596
192	1	1000053222		4	3	3	691	0	68	2	4	0	0	0	0	0	0	0	0	0	false	false	1596
193	1	1000053221	{10097},8	4	3	3	700	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1596
194	1	1000053219	{2371},{10097}	4	3	3	700	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1596
195	1	1000053214	{1000049098}	4	19	9	700561	0	9	600561	0	0	0	0	0	0	0	0	0	0	false	true	1596
196	1	1000053221	{10103},8	4	3	3	710	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1596
197	1	1000053219	{2371},{10103}	4	3	3	710	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1596
198	1	1000053223	{10103}	4	3	3	710	0	23	1	3	21	1	3	0	0	0	0	0	0	false	false	1596
199	1	1000053221	{10105},8	4	3	3	721	0	15	480	5	0	0	0	0	0	0	0	0	0	false	false	1596
200	1	1000053219	{2371},{10105}	4	3	3	721	0	4	1	4	0	0	0	0	0	0	0	0	0	false	false	1596
201	1	1000053224	{10105}	4	3	3	721	0	19	1	3	0	0	0	0	0	0	0	0	0	false	false	1596
202	1	1000053245		4	3	3	14085	0	59	3	4	0	0	0	0	0	0	0	0	0	false	false	1501
203	1	1000053246	{1000004085}	4	3	3	14085	0	23	1	3	21	1	3	0	0	0	0	0	0	false	false	1501
204	1	1000053248	{1000053247}	4	19	3	14085	0	9	235509	0	0	0	0	0	0	0	0	0	0	false	false	1501
205	1	1000053249	{1000004085}	4	3	3	14085	0	19	1	3	0	0	0	0	0	0	0	0	0	false	false	1501
206	1	1000053250		4	3	3	14002	0	59	5	4	0	0	0	0	0	0	0	0	0	false	false	1593
207	1	1000053214	{1000032224}	4	19	3	14002	0	9	235086	0	0	0	0	0	0	0	0	0	0	false	false	1593
208	1	1000053251	{1000006770},15	4	3	3	14002	0	15	900	5	0	0	0	0	0	0	0	0	0	false	false	1593
209	1	1000053252	{1000006770},4	4	3	3	14002	0	36	4	4	23	1	3	21	1	3	0	0	0	false	false	1593
210	1	1000053214	{1000032237}	4	19	3	14011	0	9	235117	0	0	0	0	0	0	0	0	0	0	false	false	1594
211	1	1000053251	{1000000148},15	4	3	3	14011	0	15	900	5	0	0	0	0	0	0	0	0	0	false	false	1594
212	1	1000053253		4	3	3	14011	0	68	4	4	0	0	0	0	0	0	0	0	0	false	false	1594
213	1	1000053214	{1000010739}	4	19	3	14031	0	9	235313	0	0	0	0	0	0	0	0	0	0	false	false	1594
214	1	1000053214	{1000010741}	4	19	3	14032	0	9	235319	0	0	0	0	0	0	0	0	0	0	false	false	1594
215	1	1000053251	{1000009851},15	4	3	3	14032	0	15	900	5	0	0	0	0	0	0	0	0	0	false	false	1594
216	1	1000053254		4	3	3	14042	0	59	5	4	0	0	0	0	0	0	0	0	0	false	false	1595
217	1	1000053255	{1000023862}	4	3	3	14042	0	36	3	5	0	0	0	0	0	0	0	0	0	false	false	1595
218	1	1000053251	{1000023862},15	4	3	3	14042	0	15	900	5	0	0	0	0	0	0	0	0	0	false	false	1595
219	1	1000053256		4	63	3	14096	0	20	1928	0	0	0	0	0	0	0	0	0	0	false	false	1595
220	1	1000053214	{1000039497}	4	19	3	14096	0	9	236101	0	0	0	0	0	0	0	0	0	0	false	false	1595
221	1	1000053214	{1000040191}	4	19	3	14096	0	9	236132	0	0	0	0	0	0	0	0	0	0	false	false	1595
222	1	1000053258		4	3	3	14096	0	59	4	4	0	0	0	0	0	0	0	0	0	false	false	1595
223	1	1000053259		4	63	3	14151	0	20	2133	0	0	0	0	0	0	0	0	0	0	false	false	1596
224	1	1000053260		4	63	3	14151	0	20	2131	0	0	0	0	0	0	0	0	0	0	false	false	1596
225	1	1000053261		4	63	3	14151	0	20	2132	0	0	0	0	0	0	0	0	0	0	false	false	1596
226	1	1000053214	{1000047300}	4	19	9	502019	0	9	502020	0	9	502039	0	9	502040	0	0	0	0	false	true	1596
227	1	1000053262	{1000042658},{1000043119}	4	4	13	268440998	0	13	268440997	0	13	268440996	0	0	0	0	0	0	0	false	true	1596
228	1	1000053263		4	63	3	14100	0	20	2156	0	0	0	0	0	0	0	0	0	0	false	false	1596
229	1	1000053264		4	63	3	14100	0	20	2155	0	0	0	0	0	0	0	0	0	0	false	false	1596
