ROWID	_LadderType|INTEGER	MapTableID|INTEGER	MapNameUIstring|INTEGER	GameModeType|INTEGER	GameModeTpye_UIStingPvP|INTEGER	GameModeTpye_UIStingCOOP|INTEGER	GameModeTableID_1|INTEGER	GameModeTableID_2|INTEGER	GameModeTableID_3|INTEGER	GameModeTableID_4|INTEGER	GameModeTableID_5|INTEGER	GameModeTableID_6|INTEGER	GameModeTableID_7|INTEGER	GameModeTableID_8|INTEGER	GameModeTableID_9|INTEGER	GameModeTableID_10|INTEGER	NumOfPlayersOption1|INTEGER	NumOfPlayersOption2|INTEGER	NumOfPlayersOption3|INTEGER	NumOfPlayersOption4|INTEGER	NumOfPlayersOption5|INTEGER	DefaultNumOfPlayers|INTEGER	Allow_Breakin_PlayingGame|BOOLEAN	ItemUsageType|INTEGER	AllowItemDrop|BOOLEAN	IsGuildBattleGround|BOOLEAN	ReleaseShow|BOOLEAN	MapImage|TEXT
10038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10040	0	10040	1000039804	0	121123	121123	32	36	0	0	0	0	0	0	0	0	2	4	8	12	16	8	false	0	false	false	true	AllKillMode.dds
10041	0	10041	1000068991	0	120022	120023	11	0	0	0	0	0	0	0	0	0	2	4	6	0	0	4	true	0	false	false	true	DWC_Arena.dds
10042	0	10042	1000068992	0	120022	120023	11	0	0	0	0	0	0	0	0	0	2	4	6	0	0	4	true	0	false	false	true	Temple_AI.dds
10044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10051	0	10051	1000023353	0	120022	120023	91	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	false	0	false	false	true	Racemode.dds
10052	0	10052	1000049971	0	1000049971	1000049971	94	95	96	0	0	0	0	0	0	0	4	8	16	32	0	16	true	0	true	false	true	AllKillMode.dds
10053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	16	false	0	false	false	false	
10100	0	10100	1000051007	0	0	0	100	0	0	0	0	0	0	0	0	0	1	2	4	8	16	4	true	0	true	false	true	AllKillMode.dds
11002	0	11002	1000021681	0	120022	120023	61	124	0	0	0	0	0	0	0	0	32	0	0	0	0	32	true	0	true	true	true	GuildWar_Field_01_Lobby.dds
11100	0	11100	1000021681	0	120022	120023	50	0	0	0	0	0	0	0	0	0	4	6	8	10	0	10	true	0	true	true	false	GuildWar_Field_01_Lobby.dds
16001	0	16001	120148	0	120106	0	81	0	0	0	0	0	0	0	0	0	2	4	6	8	10	10	true	0	true	false	true	PvP_Conquest_Lobby.dds
20001	100	10040	1000039804	0	121123	121123	108	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	false	0	false	false	false	AllKillMode.dds
20002	101	10040	1000039804	0	121123	121123	109	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	false	0	false	false	false	AllKillMode.dds
10150	0	10150	1000055537	0	1000055537	1000055537	110	111	112	0	0	0	0	0	0	0	4	8	16	0	0	16	false	0	true	false	false	AllKillMode.dds
17001	0	10031	120331	0	120331	120331	123	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	true	0	true	false	false	AllKillMode.dds
17002	0	10032	120331	0	120331	120331	123	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	true	0	true	false	false	AllKillMode.dds
10006	0	10006	880006	0	120022	120023	2	11	21	41	81	202	211	221	241	0	4	8	10	12	16	8	true	0	true	false	true	Round&Round.dds
10007	0	10007	880007	0	120022	120023	2	11	21	41	81	202	211	221	241	0	4	8	10	12	16	8	true	0	true	false	true	FogValley.dds
10008	0	10008	880008	0	120022	120023	2	11	21	41	81	202	211	221	241	0	4	8	10	12	16	8	true	0	true	false	true	CircleFight.dds
10009	0	10009	880009	0	120022	120023	2	11	21	41	81	202	211	221	241	0	4	8	10	12	16	8	true	0	true	false	true	GrayRuinPvP.dds
10010	0	10010	1000006270	0	120022	120023	2	11	21	41	81	202	211	221	241	0	4	8	10	12	16	8	true	0	true	false	true	RuinLowerPvP.dds
10011	0	10011	1000017702	0	120022	120023	2	11	21	41	81	202	211	221	241	0	4	8	10	12	16	8	true	0	true	false	true	BlackMonarchPvP.dds
10013	0	10013	1000062491	0	120022	120023	2	11	21	41	81	202	211	221	241	0	4	8	10	12	16	8	true	0	true	false	true	PvP_BurningCataract.dds
