ROWID	_Fatigueratio|INTEGER	_MasterGainExp|DOUBLE	_MasterGainItem|INTEGER	_MasterGainItemNum|INTEGER	_AddGainExp|DOUBLE	_Cbase|DOUBLE	_Cdefense|DOUBLE	_Ccritical|DOUBLE	_Cfinaldamage|DOUBLE	_TalismanCost|INTEGER	_InvenGoldMax|INTEGER	_StorageGoldMax|INTEGER	_CcriticalDamage|DOUBLE	_CcriticalResistPvP|DOUBLE	_CcriticalResistPvE|DOUBLE	_PVPAttackPower|DOUBLE	_PVPDefencePower|DOUBLE
49	0	427.78125	0	0	1.0	950.0	14250.0	19000.0	1246.0	10	0	0	47832.0	19000.0	19000.0	10313.0	10313.0
50	0	534.72656	0	0	1.0	1000.0	15000.0	20000.0	1290.0	10	0	0	50350.0	20000.0	20000.0	10828.0	10828.0
51	0	534.72656	0	0	1.0	1050.0	15750.0	21500.0	1346.0	10	0	0	55650.0	21500.0	21105.0	11369.0	11369.0
52	0	534.72656	0	0	1.0	1100.0	16912.0	23000.0	1402.0	10	0	0	59757.0	23000.0	22775.0	11937.0	11937.0
53	0	534.72656	0	0	1.0	1155.0	18277.0	24600.0	1458.0	10	0	0	64580.0	24600.0	24735.0	12533.0	12533.0
54	0	534.72656	0	0	1.0	1210.0	19695.0	26200.0	1514.0	10	0	0	69589.0	26200.0	26785.0	13159.0	13159.0
55	0	534.72656	0	0	1.0	1265.0	21157.0	27900.0	1570.0	10	0	0	74756.0	27900.0	28774.0	13816.0	13816.0
56	0	534.72656	0	0	1.0	1320.0	22672.0	29600.0	1626.0	10	0	0	80109.0	29600.0	31136.0	14506.0	14506.0
57	0	534.72656	0	0	1.0	1380.0	24427.0	31400.0	1682.0	10	0	0	86310.0	31400.0	33547.0	15231.0	15231.0
58	0	534.72656	0	0	1.0	1440.0	26355.0	33200.0	1738.0	10	0	0	93121.0	33200.0	36545.0	15992.0	15992.0
59	0	534.72656	0	0	1.0	1500.0	28125.0	35200.0	1794.0	10	0	0	99375.0	35200.0	39000.0	16791.0	16791.0
60	0	668.4082	0	0	1.0	1560.0	29250.0	37200.0	1850.0	10	0	0	103350.0	37200.0	40560.0	17630.0	17630.0
61	0	668.4082	0	0	1.0	1630.0	30868.0	40200.0	1962.0	10	0	0	107987.0	40200.0	42706.0	18511.0	18511.0
62	0	668.4082	0	0	1.0	1720.0	33056.0	43200.0	2074.0	10	0	0	113950.0	43200.0	45580.0	19436.0	19436.0
63	0	668.4082	0	0	1.0	1830.0	35685.0	46200.0	2187.0	10	0	0	121237.0	46200.0	48952.0	20407.0	20407.0
64	0	668.4082	0	0	1.0	1960.0	38771.0	49200.0	2299.0	10	0	0	129850.0	49200.0	52920.0	21427.0	21427.0
65	0	668.4082	0	0	1.0	2110.0	42331.0	52400.0	2412.0	10	0	0	139787.0	52400.0	57497.0	22498.0	22498.0
66	0	668.4082	0	0	1.0	2280.0	46383.0	55600.0	2524.0	10	0	0	151050.0	55600.0	62700.0	23622.0	23622.0
67	0	668.4082	0	0	1.0	2470.0	50943.0	58800.0	2636.0	10	0	0	163637.0	58800.0	68542.0	24803.0	24803.0
68	0	668.4082	0	0	1.0	2685.0	56137.0	62000.0	2749.0	10	0	0	177894.0	62000.0	75185.0	26043.0	26043.0
69	0	668.4082	0	0	1.0	2925.0	61977.0	65400.0	2861.0	10	0	0	193794.0	65400.0	82636.0	27345.0	27345.0
70	0	835.51025	0	0	1.0	3190.0	68186.0	68800.0	2974.0	10	0	0	211337.0	68800.0	90915.0	28712.0	28712.0
71	0	835.51025	0	0	1.0	3455.0	72523.0	74745.0	3128.0	10	0	0	228555.0	74745.0	97347.0	30147.0	30147.0
72	0	835.51025	0	0	1.0	3720.0	76637.0	80619.0	3283.0	10	0	0	245520.0	80619.0	103564.0	31654.0	31654.0
73	0	835.51025	0	0	1.0	3985.0	80534.0	86438.0	3437.0	10	0	0	262220.0	86438.0	109570.0	33236.0	33236.0
74	0	835.51025	0	0	1.0	4250.0	84201.0	92373.0	3592.0	10	0	0	278587.0	92373.0	115345.0	34897.0	34897.0
75	0	835.51025	0	0	1.0	4550.0	88328.0	98284.0	3747.0	10	0	0	296902.0	98284.0	121832.0	36641.0	36641.0
76	0	835.51025	0	0	1.0	4850.0	92188.0	104245.0	3901.0	10	0	0	320100.0	104245.0	128040.0	38473.0	38473.0
77	0	835.51025	0	0	1.0	5150.0	95006.0	110176.0	4056.0	10	0	0	343263.0	110176.0	132876.0	40396.0	40396.0
78	0	835.51025	0	0	1.0	5450.0	99837.0	116008.0	4210.0	10	0	0	374976.0	116008.0	140616.0	42415.0	42415.0
79	0	835.51025	0	0	1.0	5750.0	104590.0	121899.0	4365.0	10	0	0	407979.0	121899.0	148356.0	44535.0	44535.0
80	0	1044.3878	0	0	1.0	6050.0	106722.0	127685.0	4520.0	10	0	0	431970.0	127685.0	152460.0	46761.0	46761.0
81	0	1044.3878	0	0	1.0	6350.0	112014.0	138684.0	4704.0	10	0	0	453390.0	138684.0	160020.0	49099.0	49099.0
82	0	1044.3878	0	0	1.0	6650.0	117306.0	149565.0	4889.0	10	0	0	474810.0	149565.0	167580.0	51553.0	51553.0
83	0	1044.3878	0	0	1.0	6950.0	122598.0	160545.0	5074.0	10	0	0	496230.0	160545.0	175140.0	54130.0	54130.0
84	0	1044.3878	0	0	1.0	7250.0	127890.0	171433.0	5258.0	10	0	0	517650.0	171433.0	182700.0	56836.0	56836.0
85	0	1044.3878	0	0	1.0	7600.0	134064.0	182263.0	5443.0	10	0	0	542640.0	182263.0	191520.0	59677.0	59677.0
86	0	1044.3878	0	0	1.0	7950.0	140238.0	192994.0	5628.0	10	0	0	567630.0	192994.0	200340.0	62660.0	62660.0
87	0	1044.3878	0	0	1.0	8300.0	146412.0	203931.0	5812.0	10	0	0	592620.0	203931.0	209160.0	65793.0	65793.0
88	0	1044.3878	0	0	1.0	8650.0	152586.0	214891.0	5997.0	10	0	0	617610.0	214891.0	217980.0	69082.0	69082.0
89	0	1044.3878	0	0	1.0	9000.0	158760.0	225855.0	6182.0	10	0	0	642600.0	225855.0	226800.0	72536.0	72536.0
90	0	1305.4847	0	0	1.0	9400.0	165816.0	236880.0	6367.0	10	0	0	671160.0	236880.0	236880.0	76162.0	76162.0
91	0	1305.4847	0	0	1.0	9800.0	187278.0	277830.0	7022.0	10	0	0	769692.0	277830.0	246960.0	79970.0	79970.0
92	0	1305.4847	0	0	1.0	10200.0	209916.0	321300.0	7678.0	10	0	0	801108.0	321300.0	257040.0	83968.0	83968.0
93	0	1305.4847	0	0	1.0	10600.0	233730.0	367290.0	8333.0	10	0	0	832524.0	367290.0	267120.0	88166.0	88166.0
94	0	1305.4847	0	0	1.0	11000.0	258720.0	794640.0	11689.0	10	0	0	1021020.0	794640.0	277200.0	92574.0	92574.0
95	0	1305.4847	0	0	1.0	11450.0	286135.0	937755.0	14944.0	10	0	0	1348924.0	937755.0	288540.0	97202.0	97202.0
96	0	1305.4847	0	0	1.0	11900.0	314874.0	1599360.0	17461.0	10	0	0	1486905.0	1599360.0	299880.0	102062.0	102062.0
97	0	1305.4847	0	0	1.0	12350.0	344935.0	1867320.0	19977.0	10	0	0	1631311.0	1867320.0	311220.0	107165.0	107165.0
98	0	1305.4847	0	0	1.0	12800.0	376320.0	2150400.0	22494.0	10	0	0	1782144.0	2150400.0	322560.0	112523.0	112523.0
99	0	1305.4847	0	0	1.0	13250.0	409027.0	2448600.0	25010.0	10	0	0	1986705.0	2448600.0	333900.0	118149.0	118149.0
100	0	1436.0332	0	0	1.0	13700.0	443058.0	2704380.0	27527.0	10	0	0	2249814.0	2704380.0	345240.0	124056.0	124056.0
