ROWID	_ClearTableID|INTEGER	_FromLevel|INTEGER	_ToLevel|INTEGER	_FromRound|INTEGER	_ToRound|INTEGER	_ClearRewardExp|INTEGER	_ShowBoxNum|INTEGER	_SelectBoxNum|INTEGER	_BronzeTreasureBoxRatioDL|FLOAT	_SilverTreasureBoxRatioDL|FLOAT	_GoldTreasureBoxRatioDL|FLOAT	_PlatinumTreasureBoxRatioDL|FLOAT	_BronzeItemTableID|INTEGER	_SilverItemTableID|INTEGER	_GoldItemTableID|INTEGER	_PlatinumItemTableID|INTEGER	_ReturnWorldID|INTEGER	_ReturnWorldStartPos|INTEGER	_RewardGP|INTEGER
1044	30001	21	21	8	8	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1045	30001	21	21	9	9	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1046	30001	21	21	10	10	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1047	30001	21	21	11	11	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1048	30001	21	21	12	12	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1049	30001	21	21	13	13	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1050	30001	21	21	14	14	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1051	30001	21	21	15	15	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1052	30001	21	21	16	16	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1053	30001	21	21	17	17	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1054	30001	21	21	18	18	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1055	30001	21	21	19	19	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1056	30001	21	21	20	20	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1057	30001	21	21	21	21	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1058	30001	21	21	22	22	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1059	30001	21	21	23	23	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1060	30001	21	21	24	24	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1061	30001	21	21	25	25	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1062	30001	21	21	26	26	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1063	30001	21	21	27	27	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1064	30001	21	21	28	28	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1065	30001	21	21	29	29	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1066	30001	21	21	30	30	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1067	30001	21	21	31	31	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1068	30001	21	21	32	32	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1069	30001	21	21	33	33	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1070	30001	21	21	34	34	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1071	30001	21	21	35	35	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1072	30001	21	21	36	36	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	125
1073	30001	22	22	1	1	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1074	30001	22	22	2	2	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1075	30001	22	22	3	3	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1076	30001	22	22	4	4	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1077	30001	22	22	5	5	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1078	30001	22	22	6	6	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1079	30001	22	22	7	7	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1080	30001	22	22	8	8	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1081	30001	22	22	9	9	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1082	30001	22	22	10	10	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1083	30001	22	22	11	11	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1084	30001	22	22	12	12	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1085	30001	22	22	13	13	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1086	30001	22	22	14	14	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1087	30001	22	22	15	15	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1088	30001	22	22	16	16	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1089	30001	22	22	17	17	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1090	30001	22	22	18	18	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1091	30001	22	22	19	19	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1092	30001	22	22	20	20	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1093	30001	22	22	21	21	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1094	30001	22	22	22	22	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1095	30001	22	22	23	23	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1096	30001	22	22	24	24	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1097	30001	22	22	25	25	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1098	30001	22	22	26	26	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1099	30001	22	22	27	27	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1100	30001	22	22	28	28	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1101	30001	22	22	29	29	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1102	30001	22	22	30	30	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1103	30001	22	22	31	31	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1104	30001	22	22	32	32	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1105	30001	22	22	33	33	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1106	30001	22	22	34	34	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1107	30001	22	22	35	35	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1108	30001	22	22	36	36	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	125
1109	30001	23	23	1	1	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1110	30001	23	23	2	2	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1111	30001	23	23	3	3	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1112	30001	23	23	4	4	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1113	30001	23	23	5	5	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1114	30001	23	23	6	6	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1115	30001	23	23	7	7	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1116	30001	23	23	8	8	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1117	30001	23	23	9	9	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1118	30001	23	23	10	10	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1119	30001	23	23	11	11	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1120	30001	23	23	12	12	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1121	30001	23	23	13	13	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1122	30001	23	23	14	14	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1123	30001	23	23	15	15	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1124	30001	23	23	16	16	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1125	30001	23	23	17	17	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1126	30001	23	23	18	18	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1127	30001	23	23	19	19	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1128	30001	23	23	20	20	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1129	30001	23	23	21	21	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1130	30001	23	23	22	22	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1131	30001	23	23	23	23	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1132	30001	23	23	24	24	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1133	30001	23	23	25	25	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1134	30001	23	23	26	26	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1135	30001	23	23	27	27	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1136	30001	23	23	28	28	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1137	30001	23	23	29	29	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1138	30001	23	23	30	30	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1139	30001	23	23	31	31	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1140	30001	23	23	32	32	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1141	30001	23	23	33	33	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1142	30001	23	23	34	34	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1143	30001	23	23	35	35	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1144	30001	23	23	36	36	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	125
1145	30001	24	24	1	1	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1146	30001	24	24	2	2	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1147	30001	24	24	3	3	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1148	30001	24	24	4	4	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1149	30001	24	24	5	5	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1150	30001	24	24	6	6	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1151	30001	24	24	7	7	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1152	30001	24	24	8	8	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1153	30001	24	24	9	9	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1154	30001	24	24	10	10	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1155	30001	24	24	11	11	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1156	30001	24	24	12	12	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1157	30001	24	24	13	13	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1158	30001	24	24	14	14	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1159	30001	24	24	15	15	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1160	30001	24	24	16	16	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1161	30001	24	24	17	17	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1162	30001	24	24	18	18	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1163	30001	24	24	19	19	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1164	30001	24	24	20	20	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1165	30001	24	24	21	21	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1166	30001	24	24	22	22	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1167	30001	24	24	23	23	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1168	30001	24	24	24	24	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1169	30001	24	24	25	25	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1170	30001	24	24	26	26	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1171	30001	24	24	27	27	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1172	30001	24	24	28	28	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1173	30001	24	24	29	29	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1174	30001	24	24	30	30	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1175	30001	24	24	31	31	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1176	30001	24	24	32	32	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1177	30001	24	24	33	33	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1178	30001	24	24	34	34	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1179	30001	24	24	35	35	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1180	30001	24	24	36	36	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	125
1181	30001	25	25	1	1	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1182	30001	25	25	2	2	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1183	30001	25	25	3	3	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1184	30001	25	25	4	4	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1185	30001	25	25	5	5	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1186	30001	25	25	6	6	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1187	30001	25	25	7	7	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1188	30001	25	25	8	8	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1189	30001	25	25	9	9	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1190	30001	25	25	10	10	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1191	30001	25	25	11	11	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1192	30001	25	25	12	12	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1193	30001	25	25	13	13	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1194	30001	25	25	14	14	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1195	30001	25	25	15	15	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1196	30001	25	25	16	16	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1197	30001	25	25	17	17	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1198	30001	25	25	18	18	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1199	30001	25	25	19	19	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1200	30001	25	25	20	20	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1201	30001	25	25	21	21	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1202	30001	25	25	22	22	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1203	30001	25	25	23	23	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1204	30001	25	25	24	24	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1205	30001	25	25	25	25	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1206	30001	25	25	26	26	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1207	30001	25	25	27	27	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1208	30001	25	25	28	28	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1209	30001	25	25	29	29	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1210	30001	25	25	30	30	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1211	30001	25	25	31	31	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1212	30001	25	25	32	32	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1213	30001	25	25	33	33	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1214	30001	25	25	34	34	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1215	30001	25	25	35	35	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1216	30001	25	25	36	36	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	125
1217	30001	26	26	1	1	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1218	30001	26	26	2	2	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1219	30001	26	26	3	3	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1220	30001	26	26	4	4	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1221	30001	26	26	5	5	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1222	30001	26	26	6	6	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1223	30001	26	26	7	7	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1224	30001	26	26	8	8	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1225	30001	26	26	9	9	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1226	30001	26	26	10	10	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1227	30001	26	26	11	11	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1228	30001	26	26	12	12	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1229	30001	26	26	13	13	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1230	30001	26	26	14	14	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1231	30001	26	26	15	15	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1232	30001	26	26	16	16	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1233	30001	26	26	17	17	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1234	30001	26	26	18	18	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1235	30001	26	26	19	19	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1236	30001	26	26	20	20	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1237	30001	26	26	21	21	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1238	30001	26	26	22	22	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1239	30001	26	26	23	23	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1240	30001	26	26	24	24	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1241	30001	26	26	25	25	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1242	30001	26	26	26	26	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1243	30001	26	26	27	27	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1244	30001	26	26	28	28	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1245	30001	26	26	29	29	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1246	30001	26	26	30	30	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1247	30001	26	26	31	31	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1248	30001	26	26	32	32	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1249	30001	26	26	33	33	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1250	30001	26	26	34	34	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1251	30001	26	26	35	35	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1252	30001	26	26	36	36	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	125
1253	30001	27	27	1	1	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1254	30001	27	27	2	2	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1255	30001	27	27	3	3	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
1256	30001	27	27	4	4	0	1	1	1.0	0.0	0.0	0.0	350500001	0	0	0	23	1	0
