ROWID	_PlayerLevel|INTEGER	_DeadExperienceWeight|DOUBLE	_CompleteExperienceWeight|DOUBLE	_DeadDurabilityWeight|DOUBLE	_HPWeight|DOUBLE	_AttackPMinWeight|DOUBLE	_AttackPMaxWeight|DOUBLE	_AttackMMinWeight|DOUBLE	_AttackMMaxWeight|DOUBLE	_DefensePWeight|DOUBLE	_DefenseMWeight|DOUBLE	_StiffWeight|DOUBLE	_CriticalWeight|DOUBLE	_StunWeight|DOUBLE	_StiffResistanceWeight|DOUBLE	_CriticalResistanceWeight|DOUBLE	_StunResistanceWeight|DOUBLE	_SuperAmmorWeight|DOUBLE	_Element_Str_Weight|DOUBLE	_Fire_Def_Weight|DOUBLE	_Ice_Def_Weight|DOUBLE	_Light_Def_Weight|DOUBLE	_Dark_Def_Weight|DOUBLE	_MoveSpeedWeight|DOUBLE	_DownDelayWeight|DOUBLE	_DurabilityWeight|DOUBLE
43	43	1.0	1.0	1.0	302.54	313.0	313.0	313.0	313.0	13.6	13.6	0.053857353	0.056534935	0.05170306	0.055332545	0.050253276	0.05290213	0.23793247	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
44	44	1.0	1.0	1.0	324.654	331.07144	331.07144	331.07144	331.07144	14.4	14.4	0.05676856	0.05942358	0.054497816	0.058323495	0.052820962	0.055761702	0.24125578	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
45	45	1.0	1.0	1.0	360.843	349.14285	349.14285	349.14285	349.14285	15.3	15.3	0.06016497	0.06272489	0.05775837	0.061812934	0.05575546	0.05909787	0.24476972	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
46	46	1.0	1.0	1.0	409.742	367.7143	367.7143	367.7143	367.7143	16.2	16.2	0.06356138	0.0660262	0.06101892	0.06530237	0.058689956	0.062434044	0.24848525	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
47	47	1.0	1.0	1.0	464.777	386.2857	386.2857	386.2857	386.2857	17.1	17.1	0.06671519	0.06932751	0.06404658	0.06854257	0.061624452	0.06553192	0.25241393	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
48	48	1.0	1.0	1.0	526.659	404.89285	404.89285	404.89285	404.89285	18.0	18.0	0.070111595	0.07262882	0.06730713	0.072032005	0.06455895	0.068868086	0.25656796	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
49	49	1.0	1.0	1.0	596.179	423.5	423.5	423.5	423.5	19.0	19.0	0.073993206	0.07634279	0.07103348	0.07601994	0.06786026	0.07268085	0.2609603	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
50	50	1.0	1.0	1.0	674.201	443.1607	443.1607	443.1607	443.1607	20.0	20.0	0.07763222	0.08005677	0.07452693	0.07975862	0.071161576	0.07625532	0.26560462	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
51	51	1.0	1.0	1.0	746.75	462.82144	462.82144	462.82144	462.82144	21.0	21.0	0.08199903	0.08459607	0.078719065	0.08424505	0.075196505	0.08054468	0.27051532	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
52	52	1.0	1.0	1.0	826.62	500.89285	500.89285	500.89285	500.89285	22.553333	22.553333	0.08612324	0.08913537	0.08267831	0.08848222	0.07923144	0.08459575	0.27570775	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
53	53	1.0	1.0	1.0	914.492	538.9643	538.9643	538.9643	538.9643	24.373333	24.373333	0.09073266	0.09408733	0.087103345	0.093217894	0.083633184	0.089123406	0.28119805	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
54	54	1.0	1.0	1.0	1011.099	578.2143	578.2143	578.2143	578.2143	26.26	26.26	0.09558467	0.0990393	0.09176128	0.09820281	0.088034935	0.09388936	0.2870033	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
55	55	1.0	1.0	1.0	1117.235	617.4643	617.4643	617.4643	617.4643	28.213333	28.213333	0.10019408	0.10399126	0.09618632	0.10293847	0.09243668	0.09841702	0.29314157	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
56	56	1.0	1.0	1.0	1233.756	659.1964	659.1964	659.1964	659.1964	30.233334	30.233334	0.104803495	0.10894323	0.10061135	0.107674144	0.09683843	0.10294468	0.29963195	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
57	57	1.0	1.0	1.0	1361.582	700.9286	700.9286	700.9286	700.9286	32.573334	32.573334	0.109898105	0.11430786	0.10550218	0.112908304	0.10160699	0.10794894	0.30649468	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
58	58	1.0	1.0	1.0	1501.699	745.5714	745.5714	745.5714	745.5714	35.14	35.14	0.11499272	0.12008515	0.11039301	0.11814246	0.10674236	0.11295319	0.31375107	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
59	59	1.0	1.0	1.0	1678.479	790.2143	790.2143	790.2143	790.2143	37.5	37.5	0.12008733	0.12544978	0.11528384	0.12337662	0.11151092	0.11795745	0.32142374	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
60	60	1.0	1.0	1.0	1873.755	835.3571	835.3571	835.3571	835.3571	39.0	39.0	0.12518196	0.1308144	0.12017467	0.12861079	0.116279475	0.1229617	0.32953653	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
61	61	1.0	1.0	1.0	2089.216	871.695	871.695	871.695	871.695	40.753334	40.753334	0.13124697	0.13700436	0.1259971	0.13484192	0.12178166	0.12891915	0.33811474	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
62	62	1.0	1.0	1.0	2326.671	915.775	915.775	915.775	915.775	43.0	43.0	0.13876759	0.14525764	0.13321689	0.14256854	0.1291179	0.13630639	0.34718502	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
63	63	1.0	1.0	1.0	2588.048	958.7757	958.7757	958.7757	958.7757	45.753334	45.753334	0.14822902	0.15516157	0.14229986	0.15228912	0.1379214	0.1456	0.3567756	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
64	64	1.0	1.0	1.0	2875.4	1016.1943	1016.1943	1016.1943	1016.1943	49.0	49.0	0.15914604	0.16712882	0.1527802	0.16350518	0.14855896	0.1563234	0.3669164	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
65	65	1.0	1.0	1.0	3190.912	1072.2107	1072.2107	1072.2107	1072.2107	52.753334	52.753334	0.17200388	0.18074672	0.16512373	0.17671521	0.16066375	0.1689532	0.37763888	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
66	66	1.0	1.0	1.0	3495.761	1149.2843	1149.2843	1149.2843	1149.2843	57.0	57.0	0.18631732	0.19601528	0.17886463	0.1914207	0.1742358	0.18301277	0.38897648	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
67	67	1.0	1.0	1.0	3826.76	1224.4779	1224.4779	1224.4779	1224.4779	61.753334	61.753334	0.20257157	0.21334717	0.1944687	0.20812017	0.18964192	0.19897872	0.40096444	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
68	68	1.0	1.0	1.0	4089.496	1324.6357	1324.6357	1324.6357	1324.6357	67.13333	67.13333	0.22052401	0.23315503	0.21170306	0.22656435	0.20724891	0.21661277	0.4136401	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
69	69	1.0	1.0	1.0	4366.574	1422.33	1422.33	1422.33	1422.33	73.13333	73.13333	0.24114507	0.25461355	0.23149927	0.24775022	0.22632314	0.23686808	0.42704293	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
70	70	1.0	1.0	1.0	4658.283	1526.5768	1526.5768	1526.5768	1526.5768	79.753334	79.753334	0.26370695	0.2789607	0.25315866	0.27093008	0.24796507	0.25902978	0.4412146	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
71	71	1.0	1.0	1.0	4964.834	1646.4536	1646.4536	1646.4536	1646.4536	84.08667	84.08667	0.2860262	0.3028952	0.27458516	0.29386067	0.26924017	0.2809532	0.45619923	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
72	72	1.0	1.0	1.0	5286.345	1815.9108	1815.9108	1815.9108	1815.9108	88.09333	88.09333	0.30858806	0.3268297	0.29624453	0.31704053	0.29051527	0.3031149	0.47204345	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
73	73	1.0	1.0	1.0	5622.831	1985.3678	1985.3678	1985.3678	1985.3678	91.78	91.78	0.33090732	0.35117686	0.31767103	0.33997113	0.3121572	0.32503828	0.4887966	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
74	74	1.0	1.0	1.0	6011.979	2154.2463	2154.2463	2154.2463	2154.2463	95.14667	95.14667	0.35371178	0.37511134	0.3395633	0.36340025	0.33343232	0.3474383	0.5065108	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
75	75	1.0	1.0	1.0	6421.363	2323.125	2323.125	2323.125	2323.125	98.973335	98.973335	0.37918487	0.40234715	0.36401746	0.38957104	0.35764194	0.37245956	0.52524114	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
76	76	1.0	1.0	1.0	6851.017	2498.5125	2498.5125	2498.5125	2498.5125	102.433334	102.433334	0.40465793	0.42958298	0.3884716	0.41574183	0.38185152	0.39748085	0.545046	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
77	77	1.0	1.0	1.0	7300.771	2673.9	2673.9	2673.9	2673.9	105.566666	105.566666	0.43013102	0.4568188	0.41292575	0.44191262	0.40606114	0.42250213	0.5659869	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
78	78	1.0	1.0	1.0	7770.209	2849.368	2849.368	2849.368	2849.368	110.933334	110.933334	0.45560408	0.4840546	0.43737993	0.46808344	0.43027073	0.44752342	0.5881291	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
79	79	1.0	1.0	1.0	8258.616	3024.8357	3024.8357	3024.8357	3024.8357	116.21333	116.21333	0.48107713	0.5112904	0.46183407	0.49425423	0.45448035	0.47254467	0.6115415	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
80	80	1.0	1.0	1.0	8764.934	3200.2554	3200.2554	3200.2554	3200.2554	118.58	118.58	0.5065502	0.5385262	0.48628822	0.520425	0.47868997	0.49756595	0.636297	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
81	81	1.0	1.0	1.0	9287.683	3375.675	3375.675	3375.675	3375.675	124.46	124.46	0.5320233	0.565762	0.51074237	0.5465958	0.5028996	0.52258724	0.66247255	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
82	82	1.0	1.0	1.0	9824.901	3575.6357	3575.6357	3575.6357	3575.6357	130.34	130.34	0.55749637	0.5929978	0.5351965	0.5727666	0.52710915	0.5476085	0.69014966	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
83	83	1.0	1.0	1.0	10374.049	3775.5964	3775.5964	3775.5964	3775.5964	136.22	136.22	0.5829694	0.6202336	0.55965066	0.59893745	0.55131876	0.5726298	0.71941453	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
84	84	1.0	1.0	1.0	10931.928	3975.6055	3975.6055	3975.6055	3975.6055	142.1	142.1	0.6084425	0.64746946	0.5841048	0.62510824	0.5755284	0.59765106	0.75035816	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
85	85	1.0	1.0	1.0	11494.559	4175.6143	4175.6143	4175.6143	4175.6143	148.96	148.96	0.63803977	0.6792445	0.6125182	0.6555162	0.60377294	0.6267234	0.7830769	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
86	86	1.0	1.0	1.0	12057.072	4384.639	4384.639	4384.639	4384.639	155.82	155.82	0.66787964	0.71101964	0.6411645	0.68617344	0.6320175	0.65603405	0.8176725	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
87	87	1.0	1.0	1.0	12613.55	4593.664	4593.664	4593.664	4593.664	162.68	162.68	0.6974769	0.74279475	0.6695779	0.7165814	0.660262	0.6851064	0.8542527	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
88	88	1.0	1.0	1.0	13156.884	4802.721	4802.721	4802.721	4802.721	169.54	169.54	0.72731686	0.77456987	0.6982242	0.74723864	0.68850654	0.71441704	0.89293134	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
89	89	1.0	1.0	1.0	13678.585	5011.779	5011.779	5011.779	5011.779	176.4	176.4	0.75691414	0.806345	0.72663754	0.7776466	0.7167511	0.7434894	0.93382883	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
90	90	1.0	1.0	1.0	14168.576	5154.096	5154.096	5154.096	5154.096	184.24	184.24	0.79087824	0.8426594	0.7592431	0.812541	0.7490306	0.77685106	0.97707236	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
91	91	1.0	1.0	1.0	14614.971	5296.414	5296.414	5296.414	5296.414	192.08	192.08	0.82484233	0.8789738	0.7918486	0.8474354	0.78131	0.8102128	1.0227966	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
92	92	1.0	1.0	1.0	15003.801	5438.732	5438.732	5438.732	5438.732	199.92	199.92	0.85880643	0.9152882	0.8244541	0.88232976	0.8135895	0.84357446	1.0711437	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
93	93	1.0	1.0	1.0	15318.723	6304.532	6304.532	6304.532	6304.532	207.76	207.76	0.8927705	0.95160264	0.85705966	0.91722417	0.845869	0.8769362	1.1222644	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
94	94	1.0	1.0	1.0	15540.687	6643.5264	6643.5264	6643.5264	6643.5264	215.6	215.6	0.92673457	0.987917	0.8896652	0.9521186	0.8781485	0.9102979	1.1763176	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
95	95	1.0	1.0	1.0	18142.164	7758.356	7758.356	7758.356	7758.356	224.42	224.42	1.0	1.0	1.0	1.0	1.0	1.0	1.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
96	96	1.0	1.0	1.0	20137.803	8534.191	8534.191	8534.191	8534.191	233.24	233.24	1.0	1.0	1.0	1.0	1.0	1.0	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
97	97	1.0	1.0	1.0	22352.96	9387.61	9387.61	9387.61	9387.61	242.06	242.06	1.0	1.0	1.0	1.0	1.0	1.0	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
98	98	1.0	1.0	1.0	24811.785	10326.371	10326.371	10326.371	10326.371	250.88	250.88	1.0	1.0	1.0	1.0	1.0	1.0	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
99	99	1.0	1.0	1.0	27541.08	11359.008	11359.008	11359.008	11359.008	259.7	259.7	1.0	1.0	1.0	1.0	1.0	1.0	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
100	100	1.0	0.0	1.0	30570.6	12494.908	12494.908	12494.908	12494.908	268.52	268.52	1.0	1.0	1.0	1.0	1.0	1.0	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
