ROWID	_LvlMin|INTEGER	_LvlMax|INTEGER	_AbyssLvlMin|INTEGER	_AbyssLvlMax|INTEGER	_AbyssQuestID|INTEGER	_PartyOneNumMin|INTEGER	_PartyOneNumMax|INTEGER	_MaxUsableCoin|INTEGER	_CanEasyLevel|INTEGER	_CanNormalLevel|INTEGER	_CanHardLevel|INTEGER	_CanVeryHardLevel|INTEGER	_CanNightmareLevel|INTEGER	_HardOpenRank|INTEGER	_VeryHardOpenRank|INTEGER	_RecommendEasyLevel|INTEGER	_RecommendNormalLevel|INTEGER	_RecommendHardLevel|INTEGER	_RecommendVeryHardLevel|INTEGER	_RecommendNightmareLevel|INTEGER	_RecommendEasyPartyCount|INTEGER	_RecommendNormalPartyCount|INTEGER	_RecommendHardPartyCount|INTEGER	_RecommendVeryHardPartyCount|INTEGER	_RecommendNightmarePartyCount|INTEGER	_NeedItemID|INTEGER	_NeedItemCount|INTEGER	_JewelIndex1|INTEGER	_JewelIndex2|INTEGER	_JewelIndex3|INTEGER	_JewelIndex4|INTEGER	_JewelIndex5|INTEGER	_JewelIndex6|INTEGER	_JewelIndex7|INTEGER	_JewelIndex8|INTEGER	_JewelIndex9|INTEGER	_JewelIndex10|INTEGER	_Vehicle|BOOLEAN	_NeedMission|INTEGER	_ShareCountMap|INTEGER	_ListSort|INTEGER	_StageOutDurability|BOOLEAN	_StageDieDurability|BOOLEAN	_Weight_Easy|INTEGER	_Weight_Normal|INTEGER	_Weight_Hard|INTEGER	_Weight_VeryHard|INTEGER	_Weight_Nightmare|INTEGER	_HellMapID|INTEGER	_SlayerMapID|INTEGER	_NeedIgnoreItemID|INTEGER	_NeedIgnoreItemCount|INTEGER	_ClearMissionID|INTEGER	_Emergenceprobability|INTEGER	_EmergenceCount|INTEGER	_MaxSpecialCoin|INTEGER	_NestLevelUi|BOOLEAN	_CanChaosLevel|INTEGER	_CanHellLevel|INTEGER	_ChaosOpenRank|INTEGER	_HellOpenRank|INTEGER	_RecommendChaosLevel|INTEGER	_RecommendHellLevel|INTEGER	_RecommendChaosPartyCount|INTEGER	_RecommendHellPartyCount|INTEGER	_Weight_Chaos|INTEGER	_Weight_Hell|INTEGER	_Mercenary|BOOLEAN	_UseCoin|BOOLEAN	_StageGradeToolTip|INTEGER	_HeroExp_Easy|INTEGER	_HeroExp_Normal|INTEGER	_HeroExp_Hard|INTEGER	_HeroExp_VeryHard|INTEGER	_HeroExp_Nightmare|INTEGER	_HeroExp_Chaos|INTEGER	_HeroExp_Hell|INTEGER	_DPSLogSave|BOOLEAN	_EnterType|INTEGER	_EnteredNumMark|BOOLEAN	_PartyRebirth|BOOLEAN	_Max_Fatigue|BOOLEAN	_PartyNeedIgnoreItemID|INTEGER	_PartyNeedIgnoreItemOnly|BOOLEAN	_FTGBoostType|INTEGER	_NewBalanceFlag|INTEGER	_LevelWeightlimit|INTEGER	_PlayerCountWeightlimit|INTEGER	_ExDifficultyLvlMin|INTEGER	_ExDifficultyLvlMax|INTEGER	_ExDifficultyTypeMin|INTEGER	_ExDifficultyTypeMax|INTEGER	_PlayerCountWeightIcon|INTEGER	_DifficultyGuideEffectIcon|INTEGER	_ExDifficultyGuideEffectIcon|INTEGER	_ExDifficultyStatusPenaltytIcon|INTEGER	_EnterFatigueFlag|BOOLEAN	_LabyrinthEnterID|INTEGER
12	9	-1	9	-1	-1	-1	4	-1	3	2	3	3	1	5	5	10	10	10	10	15	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11011	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	3	3	5	5	10	10	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	false	0	false	0	0	95	4	95	95	1	5	0	0	0	18	false	0
13	1	-1	9	-1	-1	-1	4	-1	1	0	1	1	1	5	5	9	0	10	10	15	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11012	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	10	10	4	4	0	0	true	true	1001923	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
14	1	-1	9	-1	-1	-1	4	-1	1	0	1	1	1	5	5	10	0	11	11	15	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11013	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	11	11	4	4	0	0	true	true	1001921	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
15	1	-1	9	-1	-1	-1	4	-1	1	0	1	1	1	5	5	12	0	13	13	15	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11014	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	13	13	4	4	0	0	true	true	1001922	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
16	1	-1	9	-1	-1	-1	4	-1	1	0	1	1	1	5	5	14	0	15	15	15	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11015	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	15	15	4	4	0	0	true	true	1001921	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
17	1	-1	9	-1	-1	-1	4	-1	1	0	1	1	1	5	5	12	0	13	13	15	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11016	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	13	13	4	4	0	0	true	true	1001922	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
18	1	-1	9	-1	-1	-1	4	-1	1	0	1	1	1	5	5	14	0	15	15	15	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11017	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	15	15	4	4	0	0	true	true	1001917	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	3	0	1	-1	18	true	0
19	1	-1	16	-1	-1	-1	4	-1	1	0	1	1	1	5	5	16	0	17	17	23	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11018	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	17	17	4	4	0	0	true	true	1001921	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	9	0	1	-1	18	true	0
20	1	-1	16	-1	-1	-1	4	-1	1	0	1	1	1	5	5	16	0	17	17	23	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11019	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	17	17	4	4	0	0	true	true	1001918	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	9	0	1	-1	18	true	0
21	1	-1	16	-1	-1	-1	4	-1	1	0	1	1	1	5	5	18	0	19	19	23	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11020	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	19	19	4	4	0	0	true	true	1001923	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	9	0	1	-1	18	true	0
22	1	-1	16	-1	-1	-1	4	-1	1	0	1	1	1	5	5	18	0	19	19	23	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11021	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	19	19	4	4	0	0	true	true	1001922	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	9	0	1	-1	18	true	0
23	1	-1	16	-1	-1	-1	4	-1	1	0	1	1	1	5	5	20	0	21	21	23	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11022	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	21	21	4	4	0	0	true	true	1001918	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	9	0	1	-1	18	true	0
24	1	-1	16	-1	-1	-1	4	-1	1	0	1	1	1	5	5	20	0	21	21	23	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11023	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	21	21	4	4	0	0	true	true	1001923	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	9	0	1	-1	18	true	0
25	1	-1	16	-1	-1	-1	4	-1	1	0	1	1	1	5	5	22	0	23	23	23	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11024	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	23	23	4	4	0	0	true	true	1001921	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	9	0	1	-1	18	true	0
26	1	-1	16	-1	-1	-1	4	-1	1	0	1	1	1	5	5	22	0	23	23	23	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11025	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	23	23	4	4	0	0	true	true	1001922	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	9	0	1	-1	18	true	0
27	1	-1	31	-1	-1	-1	4	-1	1	0	1	1	1	5	5	24	0	25	25	31	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11026	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	25	25	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
28	1	-1	31	-1	-1	-1	4	-1	1	0	1	1	1	5	5	26	0	27	27	31	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11027	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	27	27	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
29	1	-1	31	-1	-1	-1	4	-1	1	0	1	1	1	5	5	28	0	29	29	31	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11028	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	29	29	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
30	1	-1	31	-1	-1	-1	4	-1	1	0	1	1	1	5	5	26	0	27	27	31	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11029	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	27	27	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
31	1	-1	31	-1	-1	-1	4	-1	1	0	1	1	1	5	5	24	0	25	25	31	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11030	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	25	25	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
32	1	-1	31	-1	-1	-1	4	-1	1	0	1	1	1	5	5	28	0	29	29	31	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11031	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	29	29	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
33	1	-1	39	-1	-1	-1	4	-1	1	0	1	1	1	5	5	32	0	33	33	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11032	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	33	33	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
34	1	-1	31	-1	-1	-1	4	-1	1	0	1	1	1	5	5	30	0	31	31	31	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11033	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	31	31	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
35	1	-1	31	-1	-1	-1	4	-1	1	0	1	1	1	5	5	30	0	31	31	31	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11034	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	31	31	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
36	1	-1	31	-1	-1	-1	4	-1	1	0	1	1	1	5	5	30	0	31	31	31	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11035	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	31	31	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
37	32	-1	39	-1	-1	-1	4	-1	3	2	3	2	3	5	5	32	32	33	33	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11036	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	2	2	5	5	33	33	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	false	0	false	0	0	95	4	95	95	1	5	0	0	0	18	false	0
38	1	-1	39	-1	-1	-1	4	-1	1	0	1	1	1	5	5	34	0	35	35	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11037	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	35	35	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
39	1	-1	39	-1	-1	-1	4	-1	1	0	1	1	1	5	5	38	0	39	39	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11038	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	39	39	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
40	1	-1	39	-1	-1	-1	4	-1	1	0	1	1	1	5	5	34	0	35	35	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11039	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	35	35	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
41	1	-1	39	-1	-1	-1	4	-1	1	0	1	1	1	5	5	36	0	37	37	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11040	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	37	37	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
42	1	-1	39	-1	-1	-1	4	-1	1	0	1	1	1	5	5	36	0	37	37	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11041	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	37	37	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
43	1	-1	31	-1	-1	-1	4	-1	1	0	1	1	1	5	5	28	0	29	29	31	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11042	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	29	29	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
44	1	-1	39	-1	-1	-1	4	-1	1	0	1	1	1	5	5	38	0	39	39	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11043	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	39	39	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
45	1	-1	39	-1	-1	-1	4	-1	1	0	1	1	1	5	5	38	0	39	39	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11044	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	39	39	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
46	1	-1	39	-1	-1	-1	4	-1	1	0	1	1	1	5	5	34	0	35	35	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11045	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	35	35	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
47	1	-1	39	-1	-1	-1	4	-1	1	0	1	1	1	5	5	36	0	37	37	39	1	1	2	4	4	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	11046	true	true	0	1000	0	1001	0	0	0	0	0	0	0	0	0	false	1	1	5	5	37	37	4	4	0	0	true	true	0	0	0	0	0	0	0	0	false	0	false	false	true	0	false	1	1	-1	1	1	95	0	22	0	1	-1	18	true	0
48	1	-1	1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	false	0	false	false	false	0	false	0	0	95	4	95	95	1	5	0	0	0	18	false	0
49	1	-1	1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	false	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	false	0	false	false	false	0	false	0	0	95	4	95	95	1	5	0	0	0	18	false	0
