ROWID	_MainCategory|INTEGER	_SubCategoryID|TEXT	_TitleNameID|INTEGER	_Gain1Type|INTEGER	_Gain1Param|INTEGER	_Activate|INTEGER
107	2	1372	1000074026	12	14101	1
108	2	1372	1000074147	28	14101	1
109	2	1372	1000074027	27	14300	1
110	2	1372	1000074028	12	14300	1
111	2	1372	1000074148	28	14300	1
112	2	1372	1000074029	27	14320	0
113	2	1372	1000074030	12	14320	0
114	2	1372	1000074149	28	14320	0
115	2	1372	1000074031	27	14400	1
116	2	1372	1000074032	12	14400	1
117	2	1372	1000074150	28	14400	1
118	2	1372	1000074033	27	14402	0
119	2	1372	1000074034	12	14402	0
120	2	1372	1000074151	28	14402	0
121	2	1372	1000075156	27	14410	1
122	2	1372	1000075157	12	14410	1
123	2	1372	1000075158	28	14410	1
124	3	10133	1000074037	27	14071	1
125	3	10133	1000074038	12	14071	1
126	3	10133	1000074153	28	14071	1
127	3	10133	1000074039	27	14077	1
128	3	10133	1000074040	12	14077	1
129	3	10133	1000074154	28	14077	1
130	3	10133	1000074041	27	14081	1
131	3	10133	1000074042	12	14081	1
132	3	10133	1000074155	28	14081	1
133	3	10133	1000074043	27	14090	1
134	3	10133	1000074044	12	14090	1
135	3	10133	1000074156	28	14090	1
136	3	10133	1000074045	27	14200	1
137	3	10133	1000074046	12	14200	1
138	3	10133	1000074157	28	14200	1
139	3	10133	1000074047	27	14217	1
140	3	10133	1000074048	12	14217	1
141	3	10133	1000074158	28	14217	1
142	3	10133	1000074049	27	14501	1
143	3	10133	1000074050	12	14501	1
144	3	10133	1000074159	28	14501	1
145	4	1301	1000072942	21	0	1
146	4	1301	1000072943	22	0	1
147	4	1301	1000072944	23	0	1
148	4	1301	1000072945	24	0	1
149	4	1301	1000072946	25	0	1
150	5	2431	1000074051	27	14210	1
151	5	2431	1000074052	12	14210	1
152	5	2431	1000074229	28	14210	1
153	5	2431	1000074053	27	14211	1
154	5	2431	1000074054	12	14211	1
155	5	2431	1000074230	28	14211	1
156	5	2431	1000074055	27	14212	1
157	5	2431	1000074056	12	14212	1
158	5	2431	1000074231	28	14212	1
159	5	2431	1000074057	27	14213	1
160	5	2431	1000074058	12	14213	1
161	5	2431	1000074232	28	14213	1
162	5	2431	1000074059	27	14511	1
163	5	2431	1000074060	12	14511	1
164	5	2431	1000074233	28	14511	1
165	5	2431	1000074061	27	14513	1
166	5	2431	1000074062	12	14513	1
167	5	2431	1000074234	28	14513	1
168	5	2431	1000074063	27	14514	1
169	5	2431	1000074064	12	14514	1
170	5	2431	1000074235	28	14514	1
171	5	2431	1000074236	27	13631	1
172	5	2431	1000073894	12	13631	1
173	5	2431	1000074237	28	13631	1
174	0	35	1000077871	26	155	1
175	2	1372	1000079530	27	14413	1
176	2	1372	1000079531	12	14413	1
177	2	1372	1000079532	28	14413	1
178	2	1372	1000079544	27	16350	1
179	2	1372	1000079545	12	16350	1
180	2	1372	1000079546	28	16350	1
181	1	2419	1000079542	14	8	1
182	1	2419	1000079543	15	8	1
183	5	2431	1000082728	27	12702	1
184	5	2431	1000082729	12	12702	1
185	5	2431	1000082730	28	12702	1
