ROWID	_Activate|INTEGER	_qchapter|INTEGER	_class|INTEGER	_level|INTEGER	_PreQuestCondition|INTEGER	_skipQuest|TEXT	_skipAfterQuest|INTEGER	_MemoryDescriptionIndex|INTEGER	_MemoryDescriptionIndex1|INTEGER	_MemoryDescriptionIndex2|INTEGER	_MemoryDescriptionIndex3|INTEGER	_MemoryDescriptionIndex4|INTEGER	_MemoryDescriptionIndex5|INTEGER	_ChapterStringIndex|INTEGER	_MemoryImage|TEXT
90	1	12	2	95	9281	9264,9265,9266,9267,9268,9269,9270,9271,9272,9273,9274,9275,9276,9277,9278,9279,9280,9281	9390	0	0	0	0	0	0	0	
91	1	12	3	95	9298	9282,9283,9284,9285,9286,9287,9288,9289,9290,9291,9292,9293,9294,9295,9296,9297,9298	9390	0	0	0	0	0	0	0	
92	1	12	4	95	9298	9282,9283,9284,9285,9286,9287,9288,9289,9290,9291,9292,9293,9294,9295,9296,9297,9298	9390	0	0	0	0	0	0	0	
93	1	12	5	95	9298	9282,9283,9284,9285,9286,9287,9288,9289,9290,9291,9292,9293,9294,9295,9296,9297,9298	9390	0	0	0	0	0	0	0	
94	1	12	6	95	9298	9282,9283,9284,9285,9286,9287,9288,9289,9290,9291,9292,9293,9294,9295,9296,9297,9298	9390	0	0	0	0	0	0	0	
95	1	12	7	95	9298	9282,9283,9284,9285,9286,9287,9288,9289,9290,9291,9292,9293,9294,9295,9296,9297,9298	9390	0	0	0	0	0	0	0	
96	1	12	8	95	9298	9282,9283,9284,9285,9286,9287,9288,9289,9290,9291,9292,9293,9294,9295,9296,9297,9298	9390	0	0	0	0	0	0	0	
97	1	13	1	95	9396	9390,9391,9392,9393,9394,9395,9396,9736,9737	9410	0	0	0	0	0	0	0	
98	1	13	2	95	9397	9390,9391,9392,9393,9394,9395,9397,9736,9737	9410	0	0	0	0	0	0	0	
99	1	13	3	95	9398	9390,9391,9392,9393,9394,9395,9398,9736,9737	9410	0	0	0	0	0	0	0	
100	1	13	4	95	9399	9390,9391,9392,9393,9394,9395,9399,9736,9737	9410	0	0	0	0	0	0	0	
101	1	13	5	95	9400	9390,9391,9392,9393,9394,9395,9400,9736,9737	9410	0	0	0	0	0	0	0	
102	1	13	6	95	9401	9390,9391,9392,9393,9394,9395,9401,9736,9737	9410	0	0	0	0	0	0	0	
103	1	13	7	95	9402	9390,9391,9392,9393,9394,9395,9402,9736,9737	9410	0	0	0	0	0	0	0	
104	1	13	8	95	9401	9390,9391,9392,9393,9394,9395,9401,9736,9737	9410	0	0	0	0	0	0	0	
105	1	14	1	95	9430	9410,9459,9411,9412,9413,9414,9415,9416,9417,9418,9419,9420,9421,9422,9423,9424,9425,9426,9427,9428,9429,9430	9431	0	0	0	0	0	0	0	
106	1	14	2	95	9430	9410,9459,9411,9412,9413,9414,9415,9416,9417,9418,9419,9420,9421,9422,9423,9424,9425,9426,9427,9428,9429,9430	9431	0	0	0	0	0	0	0	
107	1	14	3	95	9430	9410,9459,9411,9412,9413,9414,9415,9416,9417,9418,9419,9420,9421,9422,9423,9424,9425,9426,9427,9428,9429,9430	9431	0	0	0	0	0	0	0	
108	1	14	4	95	9430	9410,9459,9411,9412,9413,9414,9415,9416,9417,9418,9419,9420,9421,9422,9423,9424,9425,9426,9427,9428,9429,9430	9431	0	0	0	0	0	0	0	
109	1	14	5	95	9430	9410,9459,9411,9412,9413,9414,9415,9416,9417,9418,9419,9420,9421,9422,9423,9424,9425,9426,9427,9428,9429,9430	9431	0	0	0	0	0	0	0	
110	1	14	6	95	9430	9410,9459,9411,9412,9413,9414,9415,9416,9417,9418,9419,9420,9421,9422,9423,9424,9425,9426,9427,9428,9429,9430	9431	0	0	0	0	0	0	0	
111	1	14	7	95	9430	9410,9459,9411,9412,9413,9414,9415,9416,9417,9418,9419,9420,9421,9422,9423,9424,9425,9426,9427,9428,9429,9430	9431	0	0	0	0	0	0	0	
112	1	14	8	95	9430	9410,9459,9411,9412,9413,9414,9415,9416,9417,9418,9419,9420,9421,9422,9423,9424,9425,9426,9427,9428,9429,9430	9431	0	0	0	0	0	0	0	
113	1	15	1	95	9458	9431,9432,9433,9434,9435,9437,9438,9439,9440,9441,9442,9443,9444,9445,9446,9448,9451,9453,9454,9455,9456,9457,9458	9560	0	0	0	0	0	0	0	
114	1	15	2	95	9458	9431,9432,9433,9434,9435,9437,9438,9439,9440,9441,9442,9443,9444,9445,9446,9449,9451,9453,9454,9455,9456,9457,9458	9560	0	0	0	0	0	0	0	
115	1	15	3	95	9458	9431,9432,9433,9434,9435,9437,9438,9439,9440,9441,9442,9443,9444,9445,9446,9449,9451,9453,9454,9455,9456,9457,9458	9560	0	0	0	0	0	0	0	
116	1	15	4	95	9458	9431,9432,9433,9434,9435,9437,9438,9439,9440,9441,9442,9443,9444,9445,9446,9449,9451,9453,9454,9455,9456,9457,9458	9560	0	0	0	0	0	0	0	
117	1	15	5	95	9458	9431,9432,9433,9434,9435,9437,9438,9439,9440,9441,9442,9443,9444,9445,9446,9449,9451,9453,9454,9455,9456,9457,9458	9560	0	0	0	0	0	0	0	
118	1	15	6	95	9458	9431,9432,9433,9434,9435,9437,9438,9439,9440,9441,9442,9443,9444,9445,9447,9450,9451,9453,9454,9455,9456,9457,9458	9560	0	0	0	0	0	0	0	
119	1	15	7	95	9458	9431,9432,9433,9434,9436,9437,9438,9439,9440,9441,9442,9443,9444,9445,9446,9449,9451,9452,9454,9455,9456,9457,9458	9560	0	0	0	0	0	0	0	
120	1	15	8	95	9458	9431,9432,9433,9434,9435,9437,9438,9439,9440,9441,9442,9443,9444,9445,9446,9449,9451,9453,9454,9455,9456,9457,9458	9560	0	0	0	0	0	0	0	
121	1	16	1	95	9569	9560,9561,9562,9563,9564,9565,9566,9567,9568,9569	9700	0	0	0	0	0	0	0	
122	1	16	2	95	9569	9560,9561,9562,9563,9564,9565,9566,9567,9568,9569	9700	0	0	0	0	0	0	0	
123	1	16	3	95	9569	9560,9561,9562,9563,9564,9565,9566,9567,9568,9569	9700	0	0	0	0	0	0	0	
124	1	16	4	95	9569	9560,9561,9562,9563,9564,9565,9566,9567,9568,9569	9700	0	0	0	0	0	0	0	
125	1	16	5	95	9569	9560,9561,9562,9563,9564,9565,9566,9567,9568,9569	9700	0	0	0	0	0	0	0	
126	1	16	6	95	9569	9560,9561,9562,9563,9564,9565,9566,9567,9568,9569	9700	0	0	0	0	0	0	0	
127	1	16	7	95	9570	9560,9561,9562,9563,9564,9565,9566,9567,9568,9570	9700	0	0	0	0	0	0	0	
128	1	16	8	95	9569	9560,9561,9562,9563,9564,9565,9566,9567,9568,9569	9700	0	0	0	0	0	0	0	
129	1	1	9	95	9576	9571,9572,9573,9574,9575,9576	9577	0	0	0	0	0	0	0	
130	1	2	9	95	9582	9577,9578,9579,9580,9581,9582	9583	0	0	0	0	0	0	0	
131	1	3	9	95	9589	9583,9584,9585,9586,9587,9588,9589	9590	0	0	0	0	0	0	0	
132	1	4	9	95	409	9590,9591,9592,9593,9594,9595,9596,9597,9598,407,408,409	9599	0	0	0	0	0	0	0	
133	1	5	9	95	9614	9599,9600,9601,9602,9603,9604,9605,9606,9607,9608,9609,9610,9611,9612,9613,9614,9727,9728,9729	9615	0	0	0	0	0	0	0	
134	1	6	9	95	9628	9615,9616,9617,9618,9619,9620,9621,9622,9623,9624,9625,9626,9627,9628	9629	0	0	0	0	0	0	0	
135	1	7	9	95	9637	9629,9630,9631,9632,9633,9634,9635,9636,9637	9638	0	0	0	0	0	0	0	
136	1	8	9	95	9643	9638,9639,9640,9641,9642,9643,9730,9731,9732	9644	0	0	0	0	0	0	0	
137	1	9	9	95	9656	9644,9645,9646,9647,9648,9649,9650,9651,9652,9653,9654,9655,9656	9225	0	0	0	0	0	0	0	
138	1	10	9	95	9229	9225,9226,9227,9228,9229	9246	0	0	0	0	0	0	0	
139	1	11	9	95	9258	9246,9247,9248,9256,9257,9258,9733,9734,9735	9282	0	0	0	0	0	0	0	
140	1	12	9	95	9298	9282,9283,9284,9285,9286,9287,9288,9289,9290,9291,9292,9293,9294,9295,9296,9297,9298	9390	0	0	0	0	0	0	0	
141	1	13	9	95	9401	9390,9391,9392,9393,9394,9395,9401,9736,9737	9410	0	0	0	0	0	0	0	
142	1	14	9	95	9430	9410,9459,9411,9412,9413,9414,9415,9416,9417,9418,9419,9420,9421,9422,9423,9424,9425,9426,9427,9428,9429,9430	9431	0	0	0	0	0	0	0	
143	1	15	9	95	9458	9431,9432,9433,9434,9435,9437,9438,9439,9440,9441,9442,9443,9444,9445,9446,9449,9451,9453,9454,9455,9456,9457,9458	9560	0	0	0	0	0	0	0	
144	1	16	9	95	9569	9560,9561,9562,9563,9564,9565,9566,9567,9568,9569	9700	0	0	0	0	0	0	0	
145	1	17	1	95	9726	9700,9701,9702,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9714,9715,9716,9717,9718,9719,9720,9721,9722,9723,9724,9725,9726	9738	0	1000101967	1000101968	1000101969	0	0	1000091906	QN_NPC_rubinat.dds
146	1	17	2	95	9726	9700,9701,9702,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9714,9715,9716,9717,9718,9719,9720,9721,9722,9723,9724,9725,9726	9738	0	1000101967	1000101968	1000101969	0	0	1000091906	QN_NPC_rubinat.dds
147	1	17	3	95	9726	9700,9701,9702,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9714,9715,9716,9717,9718,9719,9720,9721,9722,9723,9724,9725,9726	9738	0	1000101967	1000101968	1000101969	0	0	1000091906	QN_NPC_rubinat.dds
148	1	17	4	95	9726	9700,9701,9702,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9714,9715,9716,9717,9718,9719,9720,9721,9722,9723,9724,9725,9726	9738	0	1000101967	1000101968	1000101969	0	0	1000091906	QN_NPC_rubinat.dds
149	1	17	5	95	9726	9700,9701,9702,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9714,9715,9716,9717,9718,9719,9720,9721,9722,9723,9724,9725,9726	9738	0	1000101967	1000101968	1000101969	0	0	1000091906	QN_NPC_rubinat.dds
150	1	17	6	95	9726	9700,9701,9702,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9714,9715,9716,9717,9718,9719,9720,9721,9722,9723,9724,9725,9726	9738	0	1000101967	1000101968	1000101969	0	0	1000091906	QN_NPC_rubinat.dds
151	1	17	7	95	9726	9700,9701,9702,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9714,9715,9716,9717,9718,9719,9720,9721,9722,9723,9724,9725,9726	9738	0	1000101967	1000101968	1000101969	0	0	1000091906	QN_NPC_rubinat.dds
152	1	17	8	95	9726	9700,9701,9702,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9714,9715,9716,9717,9718,9719,9720,9721,9722,9723,9724,9725,9726	9738	0	1000101967	1000101968	1000101969	0	0	1000091906	QN_NPC_rubinat.dds
153	1	17	9	95	9726	9700,9701,9702,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9714,9715,9716,9717,9718,9719,9720,9721,9722,9723,9724,9725,9726	9738	0	1000101967	1000101968	1000101969	0	0	1000091906	QN_NPC_rubinat.dds
154	1	18	1	95	9834	9738,9739,9740,9741,9742,9743,9744,9745,9832,9833,9834	9746	0	1000101970	1000101971	1000101972	0	0	1000100169	QN_Child_Grele.dds
155	1	18	2	95	9834	9738,9739,9740,9741,9742,9743,9744,9745,9832,9833,9834	9746	0	1000101970	1000101971	1000101972	0	0	1000100169	QN_Child_Grele.dds
156	1	18	3	95	9834	9738,9739,9740,9741,9742,9743,9744,9745,9832,9833,9834	9746	0	1000101970	1000101971	1000101972	0	0	1000100169	QN_Child_Grele.dds
157	1	18	4	95	9834	9738,9739,9740,9741,9742,9743,9744,9745,9832,9833,9834	9746	0	1000101970	1000101971	1000101972	0	0	1000100169	QN_Child_Grele.dds
158	1	18	5	95	9834	9738,9739,9740,9741,9742,9743,9744,9745,9832,9833,9834	9746	0	1000101970	1000101971	1000101972	0	0	1000100169	QN_Child_Grele.dds
159	1	18	6	95	9834	9738,9739,9740,9741,9742,9743,9744,9745,9832,9833,9834	9746	0	1000101970	1000101971	1000101972	0	0	1000100169	QN_Child_Grele.dds
160	1	18	7	95	9834	9738,9739,9740,9741,9742,9743,9744,9745,9832,9833,9834	9746	0	1000101970	1000101971	1000101972	0	0	1000100169	QN_Child_Grele.dds
161	1	18	8	95	9834	9738,9739,9740,9741,9742,9743,9744,9745,9832,9833,9834	9746	0	1000101970	1000101971	1000101972	0	0	1000100169	QN_Child_Grele.dds
162	1	18	9	95	9834	9738,9739,9740,9741,9742,9743,9744,9745,9832,9833,9834	9746	0	1000101970	1000101971	1000101972	0	0	1000100169	QN_Child_Grele.dds
163	1	19	1	95	9770	9746,9747,9748,9749,9750,9751,9752,9753,9754,9755,9756,9757,9758,9759,9760,9761,9762,9763,9764,9765,9766,9767,9768,9769,9770	9771	0	1000106804	1000106805	0	0	0	1000106806	QN_Nophee.dds
164	1	19	2	95	9770	9746,9747,9748,9749,9750,9751,9752,9753,9754,9755,9756,9757,9758,9759,9760,9761,9762,9763,9764,9765,9766,9767,9768,9769,9770	9771	0	1000106804	1000106805	0	0	0	1000106806	QN_Nophee.dds
165	1	19	3	95	9770	9746,9747,9748,9749,9750,9751,9752,9753,9754,9755,9756,9757,9758,9759,9760,9761,9762,9763,9764,9765,9766,9767,9768,9769,9770	9771	0	1000106804	1000106805	0	0	0	1000106806	QN_Nophee.dds
166	1	19	4	95	9770	9746,9747,9748,9749,9750,9751,9752,9753,9754,9755,9756,9757,9758,9759,9760,9761,9762,9763,9764,9765,9766,9767,9768,9769,9770	9771	0	1000106804	1000106805	0	0	0	1000106806	QN_Nophee.dds
167	1	19	5	95	9770	9746,9747,9748,9749,9750,9751,9752,9753,9754,9755,9756,9757,9758,9759,9760,9761,9762,9763,9764,9765,9766,9767,9768,9769,9770	9771	0	1000106804	1000106805	0	0	0	1000106806	QN_Nophee.dds
168	1	19	6	95	9770	9746,9747,9748,9749,9750,9751,9752,9753,9754,9755,9756,9757,9758,9759,9760,9761,9762,9763,9764,9765,9766,9767,9768,9769,9770	9771	0	1000106804	1000106805	0	0	0	1000106806	QN_Nophee.dds
169	1	19	7	95	9770	9746,9747,9748,9749,9750,9751,9752,9753,9754,9755,9756,9757,9758,9759,9760,9761,9762,9763,9764,9765,9766,9767,9768,9769,9770	9771	0	1000106804	1000106805	0	0	0	1000106806	QN_Nophee.dds
170	1	19	8	95	9770	9746,9747,9748,9749,9750,9751,9752,9753,9754,9755,9756,9757,9758,9759,9760,9761,9762,9763,9764,9765,9766,9767,9768,9769,9770	9771	0	1000106804	1000106805	0	0	0	1000106806	QN_Nophee.dds
171	1	19	9	95	9770	9746,9747,9748,9749,9750,9751,9752,9753,9754,9755,9756,9757,9758,9759,9760,9761,9762,9763,9764,9765,9766,9767,9768,9769,9770	9771	0	1000106804	1000106805	0	0	0	1000106806	QN_Nophee.dds
181	1	20	1	95	9835	9771,9772,9773,9774,9775,9776,9777,9778,9835	9779	0	1000110863	1000110864	1000144792	0	0	1000110379	QN_Child_Mammon.dds
182	1	20	2	95	9835	9771,9772,9773,9774,9775,9776,9777,9778,9835	9779	0	1000110863	1000110864	1000144792	0	0	1000110379	QN_Child_Mammon.dds
183	1	20	3	95	9835	9771,9772,9773,9774,9775,9776,9777,9778,9835	9779	0	1000110863	1000110864	1000144792	0	0	1000110379	QN_Child_Mammon.dds
184	1	20	4	95	9835	9771,9772,9773,9774,9775,9776,9777,9778,9835	9779	0	1000110863	1000110864	1000144792	0	0	1000110379	QN_Child_Mammon.dds
185	1	20	5	95	9835	9771,9772,9773,9774,9775,9776,9777,9778,9835	9779	0	1000110863	1000110864	1000144792	0	0	1000110379	QN_Child_Mammon.dds
186	1	20	6	95	9835	9771,9772,9773,9774,9775,9776,9777,9778,9835	9779	0	1000110863	1000110864	1000144792	0	0	1000110379	QN_Child_Mammon.dds
187	1	20	7	95	9835	9771,9772,9773,9774,9775,9776,9777,9778,9835	9779	0	1000110863	1000110864	1000144792	0	0	1000110379	QN_Child_Mammon.dds
188	1	20	8	95	9835	9771,9772,9773,9774,9775,9776,9777,9778,9835	9779	0	1000110863	1000110864	1000144792	0	0	1000110379	QN_Child_Mammon.dds
189	1	20	9	95	9835	9771,9772,9773,9774,9775,9776,9777,9778,9835	9779	0	1000110863	1000110864	1000144792	0	0	1000110379	QN_Child_Mammon.dds
190	1	21	1	95	9804	9779,9780,9781,9782,9783,9784,9785,9786,9787,9788,9789,9790,9791,9792,9793,9794,9795,9796,9797,9798,9799,9800,9801,9802,9803,9804	9805	0	1000118631	1000118632	1000118633	0	0	1000118634	QN_Hirendel.dds
191	1	21	2	95	9804	9779,9780,9781,9782,9783,9784,9785,9786,9787,9788,9789,9790,9791,9792,9793,9794,9795,9796,9797,9798,9799,9800,9801,9802,9803,9804	9805	0	1000118631	1000118632	1000118633	0	0	1000118634	QN_Hirendel.dds
