ROWID	_ItemGainText|TEXT
805309845	#s{1000055957}\n#y{9881}\n{1000121932}\n{1000159681}
805309085	#s{1000055957}\n#y{1000121932}\n{1000159681}
268476738	#s{1000055957}\n#y{1000164166}
268446960	#s{1000055957}\n#y{1000059948}\n{1000079433}\n{1000079434}
268465204	#s{1000055957}\n#y{1000085187}
268465205	#s{1000055957}\n#y{1000085187}
268465206	#s{1000055957}\n#y{1000085187}
268465207	#s{1000055957}\n#y{1000085187}
268465208	#s{1000055957}\n#y{1000085187}
268465209	#s{1000055957}\n#y{1000085187}
268465210	#s{1000055957}\n#y{1000085187}
268465211	#s{1000055957}\n#y{1000085187}
268465212	#s{1000055957}\n#y{1000085187}
268465213	#s{1000055957}\n#y{1000085187}
268465214	#s{1000055957}\n#y{1000085187}
268465215	#s{1000055957}\n#y{1000085187}
268456680	#s{1000055957}\n#y{1000085187}
268456681	#s{1000055957}\n#y{1000085187}
268456682	#s{1000055957}\n#y{1000085187}
268466478	#s{1000104698}\n#y{1000104699}
268466479	#s{1000104698}\n#y{1000104699}
268466869	#s{1000104698}\n#y{1000104699}
268466886	#s{1000104698}\n#y{1000104699}
268476087	#s{1000104698}\n#y{1000104699}
268476595	#s{1000104698}\n#y{1000104699}
268476596	#s{1000104698}\n#y{1000104699}
268476597	#s{1000104698}\n#y{1000104699}
805309732	#s{1000055957}\n#y{1000089893}\n{10279}\n{10153}\n{1000091621}
268457336	#s{1000055957}\n#y{8928}
268457337	#s{1000055957}\n#y{8928}
536875829	#s{1000091620}\n#y
536875830	#s{1000091620}\n#y
536875831	#s{1000091620}\n#y
536875832	#s{1000091620}\n#y
536875833	#s{1000091620}\n#y
536875834	#s{1000091620}\n#y
536875835	#s{1000091620}\n#y
536875836	#s{1000091620}\n#y
536875837	#s{1000091620}\n#y
536875838	#s{1000091620}\n#y
536875839	#s{1000091620}\n#y
536875840	#s{1000091620}\n#y
536875841	#s{1000091620}\n#y
536875842	#s{1000091620}\n#y
536875843	#s{1000091620}\n#y
536875844	#s{1000091620}\n#y
536875845	#s{1000091620}\n#y
536875846	#s{1000091620}\n#y
536875847	#s{1000091620}\n#y
536875848	#s{1000091620}\n#y
536875849	#s{1000091620}\n#y
536875850	#s{1000091620}\n#y
536875851	#s{1000091620}\n#y
536875852	#s{1000091620}\n#y
536875853	#s{1000091620}\n#y
536875854	#s{1000091620}\n#y
536875855	#s{1000091620}\n#y
805310085	#s{1000055957}\n#y{1000056893}
805310086	#s{1000055957}\n#y{1000056893}
805310087	#s{1000055957}\n#y{1000056893}
805310093	#s{1000055957}\n#y{1000056893}
805310094	#s{1000055957}\n#y{1000056893}
536880132	#s{1000055957}\n#y{1000164404}
805308875	#s{1000055957}\n#y{1000121932}\n{1000159681}
268476737	#s{1000055957}\n#y{1000164166}\n{1000127665}
268470208	#s\n#y
268470209	#s\n#y
268470211	#s\n#y
268470207	#s\n#y
268476898	#s{1000055957}\n#y{10364}\n{1000125894}
268476899	#s{1000055957}\n#y{10364}\n{1000125895}
268476900	#s{1000055957}\n#y{10364}\n{1000125896}
268476901	#s{1000055957}\n#y{10364}\n{1000125897}
536878983	#s{1000055957}\n#y{1019935}
536878985	#s{1000055957}\n#y{1000136164}\n{1000102791}
536879001	#s{1000055957}\n#y{1019935}\n{1000160167}
1073908198	#s{1000055957}\n#y{1000062028}
1073908253	#s{1000055957}\n#y{1000062028}
1073908254	#s{1000055957}\n#y{1000062028}
268481453	#s{1000055957}\n#y{1000147759}\n{9881}
268481454	#s{1000055957}\n#y{1000147759}\n{9881}
268481455	#s{1000055957}\n#y{1000147759}\n{9881}
268481456	#s{1000055957}\n#y{1000147759}\n{9881}
268481457	#s{1000055957}\n#y{1000147759}\n{9881}
268481458	#s{1000055957}\n#y{1000147759}\n{9881}
268481459	#s{1000055957}\n#y{1000147759}\n{9881}
268481460	#s{1000055957}\n#y{1000147759}\n{9881}
268481461	#s{1000055957}\n#y{1000147759}\n{9881}
268481462	#s{1000055957}\n#y{1000147759}\n{9881}
268481464	#s{1000055957}\n#y{1000147759}\n{9881}
268481465	#s{1000055957}\n#y{1000147759}\n{9881}
268481471	#s{1000055957}\n#y{1000147759}\n{9881}
268481472	#s{1000055957}\n#y{1000147759}\n{9881}
268481473	#s{1000055957}\n#y{1000147759}\n{9881}
268481474	#s{1000055957}\n#y{1000147759}\n{9881}
268481475	#s{1000055957}\n#y{1000147759}\n{9881}
268481476	#s{1000055957}\n#y{1000147759}\n{9881}
268481477	#s{1000055957}\n#y{1000147759}\n{9881}
268481478	#s{1000055957}\n#y{1000147759}\n{9881}
268481479	#s{1000055957}\n#y{1000147759}\n{9881}
268481480	#s{1000055957}\n#y{1000147759}\n{9881}
268481482	#s{1000055957}\n#y{1000147759}\n{9881}
268481483	#s{1000055957}\n#y{1000147759}\n{9881}
536879769	#s{1000055957}\n#y{1000149128}\n{1000148912}
268476598	#s{1000055957}\n#y{1000148912}
268483044	#s{1000055957}\n#y{1000148923}\n{1000148011}\n{1000122929}\n{1000149064}\n{1000137650}\n{1000102791}
268483863	#s{1000055957}\n#y{1000148923}
268483864	#s{1000055957}\n#y{1000148923}\n{1000157425}
268481541	#s{1000055957}\n#y{1000121567}\n{9881}
268483704	#s{1000055957}\n#y{10409}
268483764	#s{1000055957}\n#y{1000121567}\n{9881}
268483768	#s{1000055957}\n#y{1000121567}\n{9881}
268483982	#s{1000055957}\n#y{9881}
268483985	#s{1000055957}\n#y{9881}
268481515	#s{1000055957}\n#y{1000121567}\n{9881}
268483692	#s{1000055957}\n#y{10409}
268483716	#s{1000055957}\n#y{1000121567}\n{9881}
268483765	#s{1000055957}\n#y{1000121567}\n{9881}
536879736	#s{1000055957}\n#y{1000121932}
1073879322	#s{1000055957}\n#y{1000137650}
536877972	#s{1000055957}\n#y{1000137650}
536880288	#s{1000055957}\n#y{1000148927}
536880114	#s{1000055957}\n#y{1000131060}
536880301	#s{1000055957}\n#y{1000131059}
536880302	#s{1000055957}\n#y{1000131058}
268477957	#s{1000055957}\n#y{1000131059}
268477959	#s{1000055957}\n#y{1000131059}
268477960	#s{1000055957}\n#y{1000131059}
268477930	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477947	#s{1000055957}\n#y{1000131059}
268478612	#s{1000055957}\n#y{1000131059}
268478624	#s{1000055957}\n#y{1000131059}
268483972	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483973	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483974	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483975	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483976	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483977	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483978	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483980	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483981	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483983	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483984	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268483979	#s{1000055957}\n#y{1000131059}\n{1000148912}\n{1000155952}
268477923	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477924	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477925	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477926	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477927	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477928	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477929	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477931	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477932	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477936	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477937	#s{1000055957}\n#y{1000131059}\n{1000148912}
268477940	#s{1000055957}\n#y{1000131059}
268477941	#s{1000055957}\n#y{1000131059}
268477942	#s{1000055957}\n#y{1000131059}
268477943	#s{1000055957}\n#y{1000131059}
268477944	#s{1000055957}\n#y{1000131059}
268477945	#s{1000055957}\n#y{1000131059}
268477946	#s{1000055957}\n#y{1000131059}
268477948	#s{1000055957}\n#y{1000131059}
268477949	#s{1000055957}\n#y{1000131059}
268477953	#s{1000055957}\n#y{1000131059}
268477954	#s{1000055957}\n#y{1000131059}
268478605	#s{1000055957}\n#y{1000131059}
268478606	#s{1000055957}\n#y{1000131059}
268478607	#s{1000055957}\n#y{1000131059}
268478608	#s{1000055957}\n#y{1000131059}
268478609	#s{1000055957}\n#y{1000131059}
268478610	#s{1000055957}\n#y{1000131059}
268478611	#s{1000055957}\n#y{1000131059}
268478613	#s{1000055957}\n#y{1000131059}
268478614	#s{1000055957}\n#y{1000131059}
268478615	#s{1000055957}\n#y{1000131059}
268478616	#s{1000055957}\n#y{1000131059}
268478617	#s{1000055957}\n#y{1000131059}
268478618	#s{1000055957}\n#y{1000131059}
268478619	#s{1000055957}\n#y{1000131059}
268478620	#s{1000055957}\n#y{1000131059}
268478621	#s{1000055957}\n#y{1000131059}
268478622	#s{1000055957}\n#y{1000131059}
268478623	#s{1000055957}\n#y{1000131059}
268478625	#s{1000055957}\n#y{1000131059}
268478626	#s{1000055957}\n#y{1000131059}
268478627	#s{1000055957}\n#y{1000131059}
268478628	#s{1000055957}\n#y{1000131059}
1073911705	#s{1000055957}\n#y{1015903}
1073911706	#s{1000055957}\n#y{1015903}
268484441	#s{1000055957}\n#y{1000148913}\n{1000148912}\n{1000127295}
268484488	#s{1000055957}\n#y{1000149064}
268484682	#s{1000055957}\n#y{1000062975}
268484672	#s{1000055957}\n#y{1000062975}
536880662	
536880663	
536880664	
536880670	#s{1000055957}\n#y{1000062028}
1073912188	#s{1000055957}\n#y{1000062028}\n{1000051873}
268484024	#s{1000055957}\n#y{1000062028}\n{10328}
268484025	#s{1000055957}\n#y{1000062028}\n{10328}
268484026	#s{1000055957}\n#y{1000062028}\n{10328}
268484027	#s{1000055957}\n#y{1000062028}\n{10328}
268484028	#s{1000055957}\n#y{1000062028}\n{10328}
268484029	#s{1000055957}\n#y{1000062028}\n{10328}
268484030	#s{1000055957}\n#y{1000062028}\n{10328}
268484031	#s{1000055957}\n#y{1000062028}\n{1000153784}
268484032	#s{1000055957}\n#y{1000062028}\n{10328}
268484033	#s{1000055957}\n#y{1000062028}\n{10328}
268484034	#s{1000055957}\n#y{1000062028}\n{10328}
268484035	#s{1000055957}\n#y{1000062028}\n{10328}
268484914	#s{1000055957}\n#y{1000161824}
268484915	#s{1000055957}\n#y{10382}\n{1000156545}
268484916	#s{1000055957}\n#y{10382}\n{1000161824}\n{1000154731}\n{1000122929}
268484917	#s{1000055957}\n#y{1000178596}\n{1000161824}\n{1000122929}
268485489	#s{1000055957}\n#y{1000157769}
536880853	#s{1000055957}\n#y{1000159400}\n{1000102791}
536880886	#s{1000055957}\n#y{1000102791}
536880904	#s{1000055957}\n#y{1000159217}\n{1000161668}\n{140018}
536880952	#s{1000055957}\n#y{1000102791}
268487883	#s{1000055957}\n#y{1000051376}
536881050	#s{1000055957}\n#y{1000102791}
268488006	#s{1000081418}\n#y{10382}\n{1000168342}\n{1000161735}\n{10392}\n{1000178596}
268488007	#s{1000081418}\n#y{10382}\n{1000168342}\n{1000161735}\n{10392}\n{1000178596}
268488008	#s{1000081418}\n#y{10382}\n{1000168342}\n{1000161735}\n{10392}\n{1000178596}
268489006	#s{1000055957}\n#y{1000148922}\n{1000137650}\n{1000122929}
268488974	#s{1000055957}\n#y{1000161735}\n{1000144517}\n{1000122929}
268488975	#s{1000055957}\n#y{1000164268}\n{1000083795}
268488993	#s{1000055957}\n#y{1000131606}
268488977	#s{1000055957}\n#y{1000083795}
268488978	#s{1000055957}\n#y{1000164264}
268489106	#s{1000055957}\n#y{1000062028}
268489107	#s{1000055957}\n#y{1000062028}
268489108	#s{1000055957}\n#y{1000062028}
268489109	#s{1000055957}\n#y{1000062028}
268489110	#s{1000055957}\n#y{1000062028}
268489111	#s{1000055957}\n#y{1000164279}
268489112	#s{1000055957}\n#y{1000164280}
268489113	#s{1000055957}\n#y{1000091073}
268489114	#s{1000055957}\n#y{1000164368}
268489115	#s{1000055957}\n#y{1000164369}
268489969	#s{1000055957}\n#y{1000062028}
268489970	#s{1000055957}\n#y{1000062028}
268489971	#s{1000055957}\n#y{1000062028}
268489972	#s{1000055957}\n#y{1000062028}
268489973	#s{1000055957}\n#y{1000062028}
268489974	#s{1000055957}\n#y{1000166236}
268489975	#s{1000055957}\n#y{1000127037}
268490032	#s{1000055957}\n#y{1000152309}
268490033	#s{1000055957}\n#y{7110}\n{1372}
268489679	#s{1000055957}\n#y{1000166237}
536881433	#s{1000055957}\n#y{1000165228}
536881434	#s{1000055957}\n#y{1000164404}
268490382	#s{1000055957}\n#y{1000166964}\n{1000166965}
268490367	#s{1000055957}\n#y{1000166979}\n{1000166965}
268490368	#s{1000055957}\n#y{1000166980}
268490370	#s{1000055957}\n#y{1000148922}\n{1000003216}\n{1000122929}
536881503	#s{1000055957}\n#y{1000178850}
536881504	#s{1000055957}\n#y{1000167219}
536881515	#s{1000055957}\n#y{1000167220}
536881890	#s{1000055957}\n#y{1000130218}
268490536	#s{1000055957}\n#y{1000159803}
536881945	#s{1000055957}\n#y{1000062028}
536881946	#s{1000055957}\n#y{10328}
536881947	#s{1000055957}\n#y{10382}\n{1000051873}
536881948	#s{1000055957}\n#y{10328}
536882084	#s{1000055957}\n#y{10328}
536881949	#s{1000055957}\n#y{1000170226}
536881950	#s{1000055957}\n#y{1000062028}
536881957	#s{1000055957}\n#y{1000051873}
536882018	#s{1000055957}\n#y{10328}
268490512	#s{1000081418}\n#y{1000062028}
536882026	#s{1000055957}\n#y{1000168433}
536882025	#s{1000055957}\n#y{1000171032}
536882027	#s{1000055957}\n#y{1000168433}
268490733	#s{1000055957}\n#y{1000168433}
268490734	#s{1000055957}\n#y{1000168433}
268490735	#s{1000055957}\n#y{1000168433}
268490815	#s{1000055957}\n#y{1000168433}
268490784	#s{1000055957}\n#y{1000168433}
268490718	#s{1000055957}\n#y{1000062028}
268490719	#s{1000055957}\n#y{1000062028}
268490720	#s{1000055957}\n#y{1000062028}
268490721	#s{1000055957}\n#y{1000062028}
268490722	#s{1000055957}\n#y{1000168433}
268490730	#s{1000055957}\n#y{1000168433}
268490731	#s{1000055957}\n#y{1000168433}
268490732	#s{1000055957}\n#y{1000168433}
268491640	#s{1000055957}\n#y{1000062028}
268491656	#s{1000055957}\n#y{1000172301}
268491657	#s{1000055957}\n#y{1000172301}
536882234	#s{1000055957}\n#y{1014320}\n{1000155841}
536880779	#s{1000055957}\n#y{10409}\n{1000155841}\n{1000122929}
268492320	#s{1000055957}\n#y{1000166979}\n{1000174544}
268492321	#s{1000055957}\n#y{1000166979}\n{1000174544}
268494216	#s{1000055957}\n#y{1000062028}
268494218	#s{1000055957}\n#y{1000174540}
268494217	#s{1000055957}\n#y{1000174540}
268494206	#s{1000055957}\n#y{1000159803}
268494245	#s{1000055957}\n#y{1000062028}
268494246	#s{1000055957}\n#y{1000176131}
268494247	#s{1000055957}\n#y{1000176131}
268495312	#s{1000055957}\n#y{1000062028}
268495313	#s{1000055957}\n#y{1000062028}
268495314	#s{1000055957}\n#y{1000062028}
268495240	#s{1000055957}\n#y{1000062028}
268495241	#s{1000055957}\n#y{1000062028}
268495242	#s{1000055957}\n#y{1000062028}
268495243	#s{1000055957}\n#y{1000062028}
268495244	#s{1000055957}\n#y{1000062028}
268495245	#s{1000055957}\n#y{1000062028}
268496201	#s{1000055957}\n#y{10382}
268496202	#s{1000055957}\n#y{10382}
268496286	#s{1000055957}\n#y{1000179034}
268494248	#s{1000055957}\n#y{1000062028}
268494249	#s{1000055957}\n#y{1000062028}
268495669	#s{1000055957}\n#y{1000062028}
268495670	#s{1000055957}\n#y{1000062028}
268495672	#s{1000055957}\n#y{1000062028}
268495673	#s{1000055957}\n#y{1000062028}
268495674	#s{1000055957}\n#y{1000062028}
268495675	#s{1000055957}\n#y{1000062028}
536882875	#s{1000055957}\n#y{1000062028}
536882876	#s{1000055957}\n#y{1000062028}
536882877	#s{1000055957}\n#y{1000062028}
536882878	#s{1000055957}\n#y{1000062028}
536882978	#s{1000055957}\n#y{1000168433}
268490750	#s{1000055957}\n#y{1000168433}
268490751	#s{1000055957}\n#y{1000168433}
268490752	#s{1000055957}\n#y{1000168433}
268490753	#s{1000055957}\n#y{1000168433}
536882889	#s{1000055957}\n#y{1000062028}
268498360	#s{1000055957}\n#y{1000148913}
268498362	#s{1000055957}\n#y{1000181471}\n{1000160260}
268498363	#s{1000055957}\n#y{1000148922}
268498367	#s{1000055957}\n#y{1000181144}
268498375	#s{1000055957}\n#y{1000062028}
268499897	#s{1000055957}\n#y{1000062028}
268499898	#s{1000055957}\n#y{1000062028}
268498361	#s{1000055957}\n#y{10364}\n{10402}\n{10412}\n{1000129313}\n{10409}\n{1000168433}\n{1014901}\n{10392}\n{1000178596}\n{1000106477}
268440392	#s\n#h{1000061707}
268440393	#s\n#h{1000061707}
268440394	#s\n#h{1000061707}
268440395	#s\n#h{1000061707}
268440396	#s\n#h{1000061707}
268440397	#s\n#h{1000061707}
268440398	#s\n#h{1000061707}
268440399	#s\n#h{1000061707}
268440400	#s\n#h{1000061707}
268440401	#s\n#h{1000061707}
