ROWID	_PCLevelStart|INTEGER	_PCLevelEnd|INTEGER	_ClassID|INTEGER	_Job|INTEGER	_ItemID|INTEGER	_Grade|INTEGER	_ItemOption|INTEGER	_Type|INTEGER
401009	40	49	2	0	268463779	3	20010	0
401010	40	49	2	0	268463792	3	20010	0
401011	40	49	2	0	268463797	3	20010	0
401012	50	59	2	0	268463804	3	20010	0
401013	50	59	2	0	268463808	3	20010	0
401014	50	59	2	0	268463821	3	20010	0
401015	50	59	2	0	268463826	3	20010	0
401016	60	69	2	0	268463833	3	20010	0
401017	60	69	2	0	268463837	3	20010	0
401018	60	69	2	0	268463850	3	20010	0
401019	60	69	2	0	268463855	3	20010	0
401020	70	79	2	0	268463862	3	20010	0
401021	70	79	2	0	268463866	3	20010	0
401022	70	79	2	0	268463879	3	20010	0
401023	70	79	2	0	268463884	3	20010	0
401024	80	89	2	0	268463891	3	20010	0
401025	80	89	2	0	268463895	3	20010	0
401026	80	89	2	0	268463908	3	20010	0
401027	80	89	2	0	268463913	3	20010	0
401028	90	92	2	0	268466419	3	20010	0
401029	90	92	2	0	268466423	3	20010	0
401030	90	92	2	0	268466436	3	20010	0
401031	90	92	2	0	268466441	3	20010	0
401032	93	95	2	0	268469463	3	20010	0
401033	93	95	2	0	268469467	3	20010	0
401034	93	95	2	0	268469480	3	20010	0
401035	93	95	2	0	268469485	3	20010	0
402000	24	31	3	0	268463722	3	20010	0
402001	24	31	3	0	268463728	3	20010	0
402002	24	31	3	0	268463730	3	20010	0
402003	24	31	3	0	268463726	3	20010	0
402004	32	39	3	0	268463751	3	20010	0
402005	32	39	3	0	268463757	3	20010	0
402006	32	39	3	0	268463759	3	20010	0
402007	32	39	3	0	268463755	3	20010	0
402008	40	49	3	0	268463780	3	20010	0
402009	40	49	3	0	268463786	3	20010	0
402010	40	49	3	0	268463788	3	20010	0
402011	40	49	3	0	268463784	3	20010	0
402012	50	59	3	0	268463809	3	20010	0
402013	50	59	3	0	268463815	3	20010	0
402014	50	59	3	0	268463817	3	20010	0
402015	50	59	3	0	268463813	3	20010	0
402016	60	69	3	0	268463838	3	20010	0
402017	60	69	3	0	268463844	3	20010	0
402018	60	69	3	0	268463846	3	20010	0
402019	60	69	3	0	268463842	3	20010	0
402020	70	79	3	0	268463867	3	20010	0
402021	70	79	3	0	268463873	3	20010	0
402022	70	79	3	0	268463875	3	20010	0
402023	70	79	3	0	268463871	3	20010	0
402024	80	89	3	0	268463896	3	20010	0
402025	80	89	3	0	268463902	3	20010	0
402026	80	89	3	0	268463904	3	20010	0
402027	80	89	3	0	268463900	3	20010	0
402028	90	92	3	0	268466424	3	20010	0
402029	90	92	3	0	268466430	3	20010	0
402030	90	92	3	0	268466432	3	20010	0
402031	90	92	3	0	268466428	3	20010	0
402032	93	95	3	0	268469468	3	20010	0
402033	93	95	3	0	268469474	3	20010	0
402034	93	95	3	0	268469476	3	20010	0
402035	93	95	3	0	268469472	3	20010	0
403000	24	31	4	0	268463719	3	20010	0
403001	24	31	4	0	268463727	3	20010	0
403002	24	31	4	0	268463738	3	20010	0
403003	24	31	4	0	268463725	3	20010	0
403004	32	39	4	0	268463748	3	20010	0
403005	32	39	4	0	268463756	3	20010	0
403006	32	39	4	0	268463767	3	20010	0
403007	32	39	4	0	268463754	3	20010	0
403008	40	49	4	0	268463777	3	20010	0
403009	40	49	4	0	268463785	3	20010	0
403010	40	49	4	0	268463796	3	20010	0
403011	40	49	4	0	268463783	3	20010	0
403012	50	59	4	0	268463806	3	20010	0
403013	50	59	4	0	268463814	3	20010	0
403014	50	59	4	0	268463825	3	20010	0
403015	50	59	4	0	268463812	3	20010	0
403016	60	69	4	0	268463835	3	20010	0
403017	60	69	4	0	268463843	3	20010	0
403018	60	69	4	0	268463854	3	20010	0
403019	60	69	4	0	268463841	3	20010	0
403020	70	79	4	0	268463864	3	20010	0
403021	70	79	4	0	268463872	3	20010	0
403022	70	79	4	0	268463883	3	20010	0
403023	70	79	4	0	268463870	3	20010	0
403024	80	89	4	0	268463893	3	20010	0
403025	80	89	4	0	268463901	3	20010	0
403026	80	89	4	0	268463912	3	20010	0
403027	80	89	4	0	268463899	3	20010	0
403028	90	92	4	0	268466421	3	20010	0
403029	90	92	4	0	268466429	3	20010	0
403030	90	92	4	0	268466440	3	20010	0
403031	90	92	4	0	268466427	3	20010	0
403032	93	95	4	0	268469465	3	20010	0
403033	93	95	4	0	268469473	3	20010	0
403034	93	95	4	0	268469484	3	20010	0
403035	93	95	4	0	268469471	3	20010	0
404000	24	31	5	0	268463732	3	20010	0
404001	24	31	5	0	268463733	3	20010	0
404002	24	31	5	0	268463736	3	20010	0
404003	32	39	5	0	268463761	3	20010	0
404004	32	39	5	0	268463762	3	20010	0
404005	32	39	5	0	268463765	3	20010	0
404006	40	49	5	0	268463790	3	20010	0
404007	40	49	5	0	268463791	3	20010	0
404008	40	49	5	0	268463794	3	20010	0
404009	50	59	5	0	268463819	3	20010	0
404010	50	59	5	0	268463820	3	20010	0
404011	50	59	5	0	268463823	3	20010	0
404012	60	69	5	0	268463848	3	20010	0
404013	60	69	5	0	268463849	3	20010	0
404014	60	69	5	0	268463852	3	20010	0
404015	70	79	5	0	268463877	3	20010	0
404016	70	79	5	0	268463878	3	20010	0
404017	70	79	5	0	268463881	3	20010	0
404018	80	89	5	0	268463906	3	20010	0
404019	80	89	5	0	268463907	3	20010	0
404020	80	89	5	0	268463910	3	20010	0
404021	90	92	5	0	268466434	3	20010	0
404022	90	92	5	0	268466435	3	20010	0
404023	90	92	5	0	268466438	3	20010	0
404024	93	95	5	0	268469478	3	20010	0
404025	93	95	5	0	268469479	3	20010	0
404026	93	95	5	0	268469482	3	20010	0
405000	24	31	6	0	268463737	3	20010	0
405001	24	31	6	0	268463729	3	20010	0
405002	24	31	6	0	268463731	3	20010	0
405003	32	39	6	0	268463766	3	20010	0
405004	32	39	6	0	268463758	3	20010	0
405005	32	39	6	0	268463760	3	20010	0
405006	40	49	6	0	268463795	3	20010	0
405007	40	49	6	0	268463787	3	20010	0
405008	40	49	6	0	268463789	3	20010	0
405009	50	59	6	0	268463824	3	20010	0
405010	50	59	6	0	268463816	3	20010	0
405011	50	59	6	0	268463818	3	20010	0
405012	60	69	6	0	268463853	3	20010	0
405013	60	69	6	0	268463845	3	20010	0
405014	60	69	6	0	268463847	3	20010	0
405015	70	79	6	0	268463882	3	20010	0
405016	70	79	6	0	268463874	3	20010	0
405017	70	79	6	0	268463876	3	20010	0
405018	80	89	6	0	268463911	3	20010	0
405019	80	89	6	0	268463903	3	20010	0
405020	80	89	6	0	268463905	3	20010	0
405021	90	92	6	0	268466439	3	20010	0
405022	90	92	6	0	268466431	3	20010	0
405023	90	92	6	0	268466433	3	20010	0
405024	93	95	6	0	268469483	3	20010	0
405025	93	95	6	0	268469475	3	20010	0
405026	93	95	6	0	268469477	3	20010	0
407000	24	31	7	0	268463714	3	20010	0
407001	24	31	7	0	268463724	3	20010	0
407002	24	31	7	0	268463735	3	20010	0
407003	32	39	7	0	268463743	3	20010	0
407004	32	39	7	0	268463753	3	20010	0
407005	32	39	7	0	268463764	3	20010	0
407006	40	49	7	0	268463772	3	20010	0
407007	40	49	7	0	268463782	3	20010	0
407008	40	49	7	0	268463793	3	20010	0
407009	50	59	7	0	268463801	3	20010	0
407010	50	59	7	0	268463811	3	20010	0
407011	50	59	7	0	268463822	3	20010	0
407012	60	69	7	0	268463830	3	20010	0
407013	60	69	7	0	268463840	3	20010	0
407014	60	69	7	0	268463851	3	20010	0
407015	70	79	7	0	268463859	3	20010	0
407016	70	79	7	0	268463869	3	20010	0
407017	70	79	7	0	268463880	3	20010	0
407018	80	89	7	0	268463888	3	20010	0
407019	80	89	7	0	268463898	3	20010	0
407020	80	89	7	0	268463909	3	20010	0
407021	90	92	7	0	268466416	3	20010	0
407022	90	92	7	0	268466426	3	20010	0
407023	90	92	7	0	268466437	3	20010	0
407024	93	95	7	0	268469460	3	20010	0
407025	93	95	7	0	268469470	3	20010	0
407026	93	95	7	0	268469481	3	20010	0
408000	24	31	8	0	268463723	3	20010	0
408001	24	31	8	0	268477658	3	20010	0
408002	24	31	8	0	268463720	3	20010	0
408003	32	39	8	0	268463752	3	20010	0
408004	32	39	8	0	268477659	3	20010	0
408005	32	39	8	0	268463749	3	20010	0
408006	40	49	8	0	268463781	3	20010	0
408007	40	49	8	0	268477660	3	20010	0
408008	40	49	8	0	268463778	3	20010	0
408009	50	59	8	0	268463810	3	20010	0
408010	50	59	8	0	268477661	3	20010	0
408011	50	59	8	0	268463807	3	20010	0
408012	60	69	8	0	268463839	3	20010	0
408013	60	69	8	0	268477662	3	20010	0
408014	60	69	8	0	268463836	3	20010	0
408015	70	79	8	0	268463868	3	20010	0
408016	70	79	8	0	268477663	3	20010	0
408017	70	79	8	0	268463865	3	20010	0
408018	80	89	8	0	268463897	3	20010	0
408019	80	89	8	0	268477664	3	20010	0
408020	80	89	8	0	268463894	3	20010	0
408021	90	92	8	0	268466425	3	20010	0
408022	90	92	8	0	268477666	3	20010	0
408023	90	92	8	0	268466422	3	20010	0
408024	93	95	8	0	268469469	3	20010	0
408025	93	95	8	0	268477667	3	20010	0
408026	93	95	8	0	268469466	3	20010	0
409000	24	31	9	0	268463740	3	20010	0
409001	24	31	9	0	268481157	3	20010	0
409002	24	31	9	0	268463741	3	20010	0
409003	32	39	9	0	268463769	3	20010	0
409004	32	39	9	0	268481158	3	20010	0
409005	32	39	9	0	268463770	3	20010	0
409006	40	49	9	0	268463798	3	20010	0
409007	40	49	9	0	268481159	3	20010	0
409008	40	49	9	0	268463799	3	20010	0
409009	50	59	9	0	268463827	3	20010	0
409010	50	59	9	0	268481160	3	20010	0
409011	50	59	9	0	268463828	3	20010	0
409012	60	69	9	0	268463856	3	20010	0
409013	60	69	9	0	268481161	3	20010	0
409014	60	69	9	0	268463857	3	20010	0
409015	70	79	9	0	268463885	3	20010	0
409016	70	79	9	0	268481162	3	20010	0
409017	70	79	9	0	268463886	3	20010	0
409018	80	89	9	0	268463914	3	20010	0
409019	80	89	9	0	268481163	3	20010	0
409020	80	89	9	0	268463915	3	20010	0
409021	90	92	9	0	268466442	3	20010	0
409022	90	92	9	0	268481165	3	20010	0
409023	90	92	9	0	268466443	3	20010	0
409024	93	95	9	0	268469486	3	20010	0
409025	93	95	9	0	268481171	3	20010	0
409026	93	95	9	0	268469487	3	20010	0
406000	1	95	0	0	1073888684	3	0	0
406001	1	95	0	0	1073783217	3	0	0
406004	1	23	0	0	268466835	3	0	0
406005	1	95	0	0	805310321	3	0	0
406006	1	95	0	0	536876138	3	0	0
500000	24	31	1	0	536872202	3	20010	1
500001	24	31	1	0	536872203	3	20010	1
500002	24	31	1	0	536872205	3	20010	1
500003	24	31	1	0	536872214	3	20010	1
500004	32	39	1	0	536872224	3	20010	1
500005	32	39	1	0	536872225	3	20010	1
500006	32	39	1	0	536872227	3	20010	1
500007	32	39	1	0	536872236	3	20010	1
500008	40	49	1	0	536872246	3	20010	1
500009	40	49	1	0	536872247	3	20010	1
500010	40	49	1	0	536872249	3	20010	1
500011	40	49	1	0	536872258	3	20010	1
500012	50	59	1	0	536872268	3	20010	1
500013	50	59	1	0	536872269	3	20010	1
500014	50	59	1	0	536872271	3	20010	1
500015	50	59	1	0	536872280	3	20010	1
500016	60	60	1	0	536872290	3	20010	1
500017	60	60	1	0	536872291	3	20010	1
500018	60	60	1	0	536872293	3	20010	1
500019	60	60	1	0	536872302	3	20010	1
501000	24	31	2	0	536872204	3	20010	1
501001	24	31	2	0	536872207	3	20010	1
501002	24	31	2	0	536872212	3	20010	1
501003	24	31	2	0	536872220	3	20010	1
501004	32	39	2	0	536872226	3	20010	1
501005	32	39	2	0	536872229	3	20010	1
501006	32	39	2	0	536872234	3	20010	1
501007	32	39	2	0	536872242	3	20010	1
501008	40	49	2	0	536872248	3	20010	1
501009	40	49	2	0	536872251	3	20010	1
501010	40	49	2	0	536872256	3	20010	1
501011	40	49	2	0	536872264	3	20010	1
501012	50	59	2	0	536872270	3	20010	1
501013	50	59	2	0	536872273	3	20010	1
501014	50	59	2	0	536872278	3	20010	1
501015	50	59	2	0	536872286	3	20010	1
501016	60	60	2	0	536872292	3	20010	1
501017	60	60	2	0	536872295	3	20010	1
501018	60	60	2	0	536872300	3	20010	1
501019	60	60	2	0	536872308	3	20010	1
502000	24	31	3	0	536872208	3	20010	1
502001	24	31	3	0	536872217	3	20010	1
502002	24	31	3	0	536872218	3	20010	1
502003	24	31	3	0	536872216	3	20010	1
502004	32	39	3	0	536872230	3	20010	1
502005	32	39	3	0	536872239	3	20010	1
502006	32	39	3	0	536872240	3	20010	1
502007	32	39	3	0	536872238	3	20010	1
502008	40	49	3	0	536872252	3	20010	1
502009	40	49	3	0	536872261	3	20010	1
502010	40	49	3	0	536872262	3	20010	1
502011	40	49	3	0	536872260	3	20010	1
502012	50	59	3	0	536872274	3	20010	1
502013	50	59	3	0	536872283	3	20010	1
502014	50	59	3	0	536872284	3	20010	1
502015	50	59	3	0	536872282	3	20010	1
502016	60	60	3	0	536872296	3	20010	1
502017	60	60	3	0	536872305	3	20010	1
502018	60	60	3	0	536872306	3	20010	1
502019	60	60	3	0	536872304	3	20010	1
503000	24	31	4	0	536872206	3	20010	1
503001	24	31	4	0	536872209	3	20010	1
503002	24	31	4	0	536872213	3	20010	1
503003	24	31	4	0	536872215	3	20010	1
503004	32	39	4	0	536872228	3	20010	1
503005	32	39	4	0	536872231	3	20010	1
503006	32	39	4	0	536872235	3	20010	1
503007	32	39	4	0	536872237	3	20010	1
503008	40	49	4	0	536872250	3	20010	1
503009	40	49	4	0	536872253	3	20010	1
503010	40	49	4	0	536872257	3	20010	1
503011	40	49	4	0	536872259	3	20010	1
503012	50	59	4	0	536872272	3	20010	1
503013	50	59	4	0	536872275	3	20010	1
503014	50	59	4	0	536872279	3	20010	1
503015	50	59	4	0	536872281	3	20010	1
503016	60	60	4	0	536872294	3	20010	1
503017	60	60	4	0	536872297	3	20010	1
503018	60	60	4	0	536872301	3	20010	1
503019	60	60	4	0	536872303	3	20010	1
504000	24	31	5	0	536872210	3	20010	1
504001	24	31	5	0	536872211	3	20010	1
504002	24	31	5	0	536872219	3	20010	1
504003	32	39	5	0	536872232	3	20010	1
504004	32	39	5	0	536872233	3	20010	1
504005	32	39	5	0	536872241	3	20010	1
504006	40	49	5	0	536872254	3	20010	1
504007	40	49	5	0	536872255	3	20010	1
504008	40	49	5	0	536872263	3	20010	1
504009	50	59	5	0	536872276	3	20010	1
504010	50	59	5	0	536872277	3	20010	1
504011	50	59	5	0	536872285	3	20010	1
504012	60	60	5	0	536872298	3	20010	1
504013	60	60	5	0	536872299	3	20010	1
504014	60	60	5	0	536872307	3	20010	1
505000	24	31	6	0	536872221	3	20010	1
505001	24	31	6	0	536872222	3	20010	1
505002	24	31	6	0	536872223	3	20010	1
505003	32	39	6	0	536872243	3	20010	1
505004	32	39	6	0	536872244	3	20010	1
505005	32	39	6	0	536872245	3	20010	1
505006	40	49	6	0	536872265	3	20010	1
505007	40	49	6	0	536872266	3	20010	1
505008	40	49	6	0	536872267	3	20010	1
505009	50	59	6	0	536872287	3	20010	1
505010	50	59	6	0	536872288	3	20010	1
505011	50	59	6	0	536872289	3	20010	1
505012	60	60	6	0	536872309	3	20010	1
505013	60	60	6	0	536872310	3	20010	1
505014	60	60	6	0	536872311	3	20010	1
506000	1	60	0	0	1073779478	3	0	1
600000	24	31	1	0	268463715	2	20010	0
600001	24	31	1	0	268463716	2	20010	0
600002	24	31	1	0	268463718	2	20010	0
600003	24	31	1	0	268463713	2	20010	0
600004	32	39	1	0	268463744	2	20010	0
600005	32	39	1	0	268463745	2	20010	0
600006	32	39	1	0	268463747	2	20010	0
600007	32	39	1	0	268463742	2	20010	0
600008	40	49	1	0	268463773	2	20010	0
600009	40	49	1	0	268463774	2	20010	0
600010	40	49	1	0	268463776	2	20010	0
600011	40	49	1	0	268463771	2	20010	0
600012	50	59	1	0	268463802	2	20010	0
600013	50	59	1	0	268463803	2	20010	0
600014	50	59	1	0	268463805	2	20010	0
600015	50	59	1	0	268463800	2	20010	0
600016	60	69	1	0	268463831	2	20010	0
600017	60	69	1	0	268463832	2	20010	0
600018	60	69	1	0	268463834	2	20010	0
600019	60	69	1	0	268463829	2	20010	0
600020	70	79	1	0	268463860	2	20010	0
600021	70	79	1	0	268463861	2	20010	0
600022	70	79	1	0	268463863	2	20010	0
600023	70	79	1	0	268463858	2	20010	0
600024	80	89	1	0	268463889	2	20010	0
600025	80	89	1	0	268463890	2	20010	0
600026	80	89	1	0	268463892	2	20010	0
600027	80	89	1	0	268463887	2	20010	0
600028	90	92	1	0	268466417	2	20010	0
600029	90	92	1	0	268466418	2	20010	0
600030	90	92	1	0	268466420	2	20010	0
600031	90	92	1	0	268466415	2	20010	0
600032	93	95	1	0	268469461	2	20010	0
600033	93	95	1	0	268469462	2	20010	0
600034	93	95	1	0	268469464	2	20010	0
600035	93	95	1	0	268469459	2	20010	0
601000	24	31	2	0	268463717	2	20010	0
601001	24	31	2	0	268463721	2	20010	0
601002	24	31	2	0	268463734	2	20010	0
601003	24	31	2	0	268463739	2	20010	0
601004	32	39	2	0	268463746	2	20010	0
601005	32	39	2	0	268463750	2	20010	0
601006	32	39	2	0	268463763	2	20010	0
601007	32	39	2	0	268463768	2	20010	0
601008	40	49	2	0	268463775	2	20010	0
601009	40	49	2	0	268463779	2	20010	0
601010	40	49	2	0	268463792	2	20010	0
601011	40	49	2	0	268463797	2	20010	0
601012	50	59	2	0	268463804	2	20010	0
601013	50	59	2	0	268463808	2	20010	0
601014	50	59	2	0	268463821	2	20010	0
601015	50	59	2	0	268463826	2	20010	0
601016	60	69	2	0	268463833	2	20010	0
601017	60	69	2	0	268463837	2	20010	0
601018	60	69	2	0	268463850	2	20010	0
601019	60	69	2	0	268463855	2	20010	0
601020	70	79	2	0	268463862	2	20010	0
601021	70	79	2	0	268463866	2	20010	0
601022	70	79	2	0	268463879	2	20010	0
601023	70	79	2	0	268463884	2	20010	0
601024	80	89	2	0	268463891	2	20010	0
601025	80	89	2	0	268463895	2	20010	0
601026	80	89	2	0	268463908	2	20010	0
601027	80	89	2	0	268463913	2	20010	0
601028	90	92	2	0	268466419	2	20010	0
601029	90	92	2	0	268466423	2	20010	0
601030	90	92	2	0	268466436	2	20010	0
601031	90	92	2	0	268466441	2	20010	0
601032	93	95	2	0	268469463	2	20010	0
601033	93	95	2	0	268469467	2	20010	0
601034	93	95	2	0	268469480	2	20010	0
601035	93	95	2	0	268469485	2	20010	0
602000	24	31	3	0	268463722	2	20010	0
602001	24	31	3	0	268463728	2	20010	0
602002	24	31	3	0	268463730	2	20010	0
602003	24	31	3	0	268463726	2	20010	0
602004	32	39	3	0	268463751	2	20010	0
602005	32	39	3	0	268463757	2	20010	0
602006	32	39	3	0	268463759	2	20010	0
602007	32	39	3	0	268463755	2	20010	0
602008	40	49	3	0	268463780	2	20010	0
602009	40	49	3	0	268463786	2	20010	0
602010	40	49	3	0	268463788	2	20010	0
602011	40	49	3	0	268463784	2	20010	0
602012	50	59	3	0	268463809	2	20010	0
602013	50	59	3	0	268463815	2	20010	0
602014	50	59	3	0	268463817	2	20010	0
602015	50	59	3	0	268463813	2	20010	0
602016	60	69	3	0	268463838	2	20010	0
602017	60	69	3	0	268463844	2	20010	0
602018	60	69	3	0	268463846	2	20010	0
602019	60	69	3	0	268463842	2	20010	0
602020	70	79	3	0	268463867	2	20010	0
602021	70	79	3	0	268463873	2	20010	0
602022	70	79	3	0	268463875	2	20010	0
602023	70	79	3	0	268463871	2	20010	0
602024	80	89	3	0	268463896	2	20010	0
602025	80	89	3	0	268463902	2	20010	0
602026	80	89	3	0	268463904	2	20010	0
602027	80	89	3	0	268463900	2	20010	0
602028	90	92	3	0	268466424	2	20010	0
602029	90	92	3	0	268466430	2	20010	0
602030	90	92	3	0	268466432	2	20010	0
602031	90	92	3	0	268466428	2	20010	0
602032	93	95	3	0	268469468	2	20010	0
602033	93	95	3	0	268469474	2	20010	0
602034	93	95	3	0	268469476	2	20010	0
602035	93	95	3	0	268469472	2	20010	0
603000	24	31	4	0	268463719	2	20010	0
603001	24	31	4	0	268463727	2	20010	0
603002	24	31	4	0	268463738	2	20010	0
603003	24	31	4	0	268463725	2	20010	0
603004	32	39	4	0	268463748	2	20010	0
603005	32	39	4	0	268463756	2	20010	0
603006	32	39	4	0	268463767	2	20010	0
603007	32	39	4	0	268463754	2	20010	0
603008	40	49	4	0	268463777	2	20010	0
603009	40	49	4	0	268463785	2	20010	0
603010	40	49	4	0	268463796	2	20010	0
603011	40	49	4	0	268463783	2	20010	0
603012	50	59	4	0	268463806	2	20010	0
603013	50	59	4	0	268463814	2	20010	0
603014	50	59	4	0	268463825	2	20010	0
603015	50	59	4	0	268463812	2	20010	0
603016	60	69	4	0	268463835	2	20010	0
603017	60	69	4	0	268463843	2	20010	0
603018	60	69	4	0	268463854	2	20010	0
603019	60	69	4	0	268463841	2	20010	0
603020	70	79	4	0	268463864	2	20010	0
603021	70	79	4	0	268463872	2	20010	0
603022	70	79	4	0	268463883	2	20010	0
603023	70	79	4	0	268463870	2	20010	0
603024	80	89	4	0	268463893	2	20010	0
603025	80	89	4	0	268463901	2	20010	0
603026	80	89	4	0	268463912	2	20010	0
603027	80	89	4	0	268463899	2	20010	0
603028	90	92	4	0	268466421	2	20010	0
603029	90	92	4	0	268466429	2	20010	0
603030	90	92	4	0	268466440	2	20010	0
603031	90	92	4	0	268466427	2	20010	0
603032	93	95	4	0	268469465	2	20010	0
603033	93	95	4	0	268469473	2	20010	0
603034	93	95	4	0	268469484	2	20010	0
603035	93	95	4	0	268469471	2	20010	0
604000	24	31	5	0	268463732	2	20010	0
604001	24	31	5	0	268463733	2	20010	0
604002	24	31	5	0	268463736	2	20010	0
604003	32	39	5	0	268463761	2	20010	0
604004	32	39	5	0	268463762	2	20010	0
604005	32	39	5	0	268463765	2	20010	0
604006	40	49	5	0	268463790	2	20010	0
604007	40	49	5	0	268463791	2	20010	0
604008	40	49	5	0	268463794	2	20010	0
604009	50	59	5	0	268463819	2	20010	0
604010	50	59	5	0	268463820	2	20010	0
604011	50	59	5	0	268463823	2	20010	0
604012	60	69	5	0	268463848	2	20010	0
604013	60	69	5	0	268463849	2	20010	0
604014	60	69	5	0	268463852	2	20010	0
604015	70	79	5	0	268463877	2	20010	0
604016	70	79	5	0	268463878	2	20010	0
604017	70	79	5	0	268463881	2	20010	0
604018	80	89	5	0	268463906	2	20010	0
604019	80	89	5	0	268463907	2	20010	0
604020	80	89	5	0	268463910	2	20010	0
604021	90	92	5	0	268466434	2	20010	0
604022	90	92	5	0	268466435	2	20010	0
604023	90	92	5	0	268466438	2	20010	0
604024	93	95	5	0	268469478	2	20010	0
604025	93	95	5	0	268469479	2	20010	0
604026	93	95	5	0	268469482	2	20010	0
605000	24	31	6	0	268463737	2	20010	0
605001	24	31	6	0	268463729	2	20010	0
605002	24	31	6	0	268463731	2	20010	0
605003	32	39	6	0	268463766	2	20010	0
605004	32	39	6	0	268463758	2	20010	0
605005	32	39	6	0	268463760	2	20010	0
605006	40	49	6	0	268463795	2	20010	0
605007	40	49	6	0	268463787	2	20010	0
605008	40	49	6	0	268463789	2	20010	0
605009	50	59	6	0	268463824	2	20010	0
605010	50	59	6	0	268463816	2	20010	0
605011	50	59	6	0	268463818	2	20010	0
605012	60	69	6	0	268463853	2	20010	0
605013	60	69	6	0	268463845	2	20010	0
605014	60	69	6	0	268463847	2	20010	0
605015	70	79	6	0	268463882	2	20010	0
605016	70	79	6	0	268463874	2	20010	0
605017	70	79	6	0	268463876	2	20010	0
605018	80	89	6	0	268463911	2	20010	0
605019	80	89	6	0	268463903	2	20010	0
605020	80	89	6	0	268463905	2	20010	0
605021	90	92	6	0	268466439	2	20010	0
605022	90	92	6	0	268466431	2	20010	0
605023	90	92	6	0	268466433	2	20010	0
605024	93	95	6	0	268469483	2	20010	0
605025	93	95	6	0	268469475	2	20010	0
605026	93	95	6	0	268469477	2	20010	0
607000	24	31	7	0	268463714	2	20010	0
607001	24	31	7	0	268463724	2	20010	0
607002	24	31	7	0	268463735	2	20010	0
607003	32	39	7	0	268463743	2	20010	0
607004	32	39	7	0	268463753	2	20010	0
607005	32	39	7	0	268463764	2	20010	0
607006	40	49	7	0	268463772	2	20010	0
607007	40	49	7	0	268463782	2	20010	0
607008	40	49	7	0	268463793	2	20010	0
607009	50	59	7	0	268463801	2	20010	0
607010	50	59	7	0	268463811	2	20010	0
607011	50	59	7	0	268463822	2	20010	0
607012	60	69	7	0	268463830	2	20010	0
607013	60	69	7	0	268463840	2	20010	0
607014	60	69	7	0	268463851	2	20010	0
607015	70	79	7	0	268463859	2	20010	0
607016	70	79	7	0	268463869	2	20010	0
607017	70	79	7	0	268463880	2	20010	0
607018	80	89	7	0	268463888	2	20010	0
607019	80	89	7	0	268463898	2	20010	0
607020	80	89	7	0	268463909	2	20010	0
607021	90	92	7	0	268466416	2	20010	0
607022	90	92	7	0	268466426	2	20010	0
607023	90	92	7	0	268466437	2	20010	0
607024	93	95	7	0	268469460	2	20010	0
607025	93	95	7	0	268469470	2	20010	0
607026	93	95	7	0	268469481	2	20010	0
608000	24	31	8	0	268463723	2	20010	0
608001	24	31	8	0	268477658	2	20010	0
608002	24	31	8	0	268463720	2	20010	0
608003	32	39	8	0	268463752	2	20010	0
608004	32	39	8	0	268477659	2	20010	0
608005	32	39	8	0	268463749	2	20010	0
608006	40	49	8	0	268463781	2	20010	0
