ROWID	_NameID|INTEGER	_LevelLimit|INTEGER	_DescriptionID|INTEGER	_State1|INTEGER	_StateValue1|TEXT	_State2|INTEGER	_StateValue2|TEXT	_State3|INTEGER	_StateValue3|TEXT	_State4|INTEGER	_StateValue4|TEXT	_State5|INTEGER	_StateValue5|TEXT	_State6|INTEGER	_StateValue6|TEXT	_State7|INTEGER	_StateValue7|TEXT	_State8|INTEGER	_StateValue8|TEXT	_State9|INTEGER	_StateValue9|TEXT	_State10|INTEGER	_StateValue10|TEXT	_Color|INTEGER	_Type|INTEGER	_ColorValue|TEXT	_SkillLinkItemID|INTEGER	_TextInColor|TEXT	_TextOutColor|TEXT	_fixstate|INTEGER
66	1000006171	1	0	3	1	9	9	23	0.02	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
67	9145	1	0	3	10	13	68	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
68	1000010876	1	0	1	3	12	31	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
69	1000006173	1	0	0	21	1	6	3	12	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
70	1000006174	1	0	0	4	12	10	14	10	3	2	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
71	1000006175	1	0	20	0.04	-1	0	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
72	1000006176	1	0	18	-0.01	22	-0.01	19	0.02	23	0.02	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
73	1000006177	1	0	0	7	1	19	2	8	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
74	1000006178	1	0	0	6	12	31	8	-17	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
75	1000000700	1	0	4	20	5	20	6	20	7	20	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
76	1000006179	1	0	3	10	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
77	9127	1	0	2	8	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
78	9129	1	0	13	7	15	7	11	3	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
79	9131	1	0	9	18	2	1	3	1	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
80	1000007106	1	0	0	20	1	20	2	20	3	20	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
81	1000006462	1	1000006467	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
82	1000006182	1	0	8	81	3	14	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
83	1000006183	1	0	1	9	2	2	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
84	1000006184	1	0	4	25	5	25	6	25	7	25	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
85	1000006185	1	0	0	9	1	2	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
86	1000006186	1	0	12	82	13	39	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
87	1000006187	1	0	16	0.02	20	0.02	17	-0.01	21	-0.01	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
88	1000006188	1	0	2	22	3	15	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
89	1000006189	1	0	3	11	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
90	1000006190	1	0	2	15	3	22	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
91	1000006191	1	0	15	28	13	28	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
92	1000006192	1	0	4	30	5	30	6	10	7	10	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
93	1000006193	1	0	4	-3	5	-3	6	14	7	14	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
94	1000006194	1	0	23	0.05	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
95	1000006195	1	0	18	0.04	19	-0.01	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
96	1000006196	1	0	13	96	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
97	1000006197	1	0	20	-0.01	21	0.04	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
98	1000006198	1	0	17	0.05	-1	0	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
99	1000006199	1	0	0	2	1	8	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
100	1000006200	1	0	0	21	15	35	13	35	11	35	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
101	1000006201	1	0	0	4	1	4	2	4	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
102	1000006165	1	0	0	25	1	25	2	25	3	25	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
103	1000007101	1	0	4	25	5	25	6	25	7	25	8	90	9	90	-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
104	1000006204	1	1000050771	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			94
105	1000006205	1	0	0	10	3	15	12	40	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			83
106	1000006206	1	0	0	15	3	20	12	60	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			87
107	1000006207	1	0	0	20	3	25	12	80	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			86
108	1000006208	1	0	4	15	5	15	6	15	7	15	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			83
109	1000006209	1	0	4	20	5	20	6	20	7	20	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			87
110	1000006210	1	0	4	25	5	25	6	25	7	25	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			82
111	1000005528	1	0	0	7	1	7	2	7	3	7	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			83
112	1000006211	1	0	0	10	1	10	2	10	3	10	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			86
113	1000006212	1	0	0	15	1	15	2	15	3	15	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			87
114	1000006213	1	0	0	20	1	20	2	20	3	20	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			87
115	1000006214	1	0	0	25	1	25	2	25	3	25	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			87
116	1000001846	1	0	0	30	1	30	2	30	3	30	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			82
117	1000006215	1	0	0	35	1	35	2	35	3	35	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			84
118	1000006216	1	0	0	40	1	40	2	40	3	40	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			84
119	1000006217	1	0	0	45	1	45	2	45	3	45	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			84
120	1000006218	1	0	0	50	1	50	2	50	3	50	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			84
121	1000006219	1	1000006252	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
122	1000006220	1	1000006868	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
123	1000006221	1	1000006254	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
124	1000006222	1	1000006255	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
125	1000005518	1	0	0	1	3	3	-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
126	1000004107	1	0	18	0.02	19	-0.01	-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
127	1000006223	1	0	1	2	2	2	-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
128	1000005522	1	0	0	-1	1	4	2	4	3	-1	-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
129	1000006224	1	0	4	3	5	3	6	3	7	3	-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
130	1000006225	1	0	4	4	5	4	6	4	7	4	8	-8	9	-8	-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
131	1000006226	1	0	4	12	5	12	6	12	7	12	8	-16	9	-16	3	-4	-1		-1		-1		0	11	0xFFFFFFFF	0			0
132	1000006227	1	0	4	16	5	16	6	16	7	16	8	-25	9	-25	3	-7	-1		-1		-1		0	11	0xFFFFFFFF	0			0
133	1000006228	1	0	3	-2	2	7	-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
134	1000006229	1	0	3	2	8	7	9	7	-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
135	1000006230	1	0	8	48	9	-8	-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
136	1000006231	1	0	4	7	5	7	6	-1	7	-1	-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
137	1000006232	1	0	8	-8	9	48	-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
138	1000006233	1	0	22	0.02	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
139	1000006234	1	0	10	20	11	20	-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
140	1000006423	1	0	1	8	3	7	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
141	1000006424	1	0	12	25	13	40	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
142	1000006425	1	0	8	4	9	4	2	2	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
143	1000006426	1	0	17	0.004	21	0.004	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
144	1000006427	1	0	12	14	14	14	10	-8	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
145	1000006428	1	0	13	10	15	10	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
146	1000006429	1	0	18	0.01	22	0.01	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
147	1000006430	1	0	2	-4	3	5	11	27	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
148	9159	1	0	19	0.01	23	0.01	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
149	1000006431	1	0	0	5	1	5	2	-4	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
150	1000006432	1	0	2	4	15	8	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			101
151	1000006433	1	0	0	11	1	-2	13	-11	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
152	1000006434	1	0	8	-10	16	0.01	21	0.01	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
153	1000006435	1	0	13	12	15	12	11	12	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
154	1000006436	1	0	0	6	2	6	3	-6	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
155	9163	1	0	0	8	1	-4	2	-4	3	8	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
156	1000000665	1	0	1	8	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
157	1000006437	1	0	2	8	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
158	1000006438	1	0	1	8	13	-3	15	-3	11	-3	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
159	1000006439	1	0	2	10	3	-2	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
160	1000006172	1	0	1	3	3	3	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
161	1000006440	1	0	13	18	15	18	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
162	1000006441	1	0	8	-9	9	54	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			102
163	1000006442	1	0	8	46	9	-7	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
164	1000006443	1	0	22	0.01	23	0.01	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			102
165	1000006444	1	0	0	-2	2	-2	3	12	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
166	1000006181	1	0	4	10	5	10	6	10	7	10	8	-24	9	-24	-1		-1		-1		-1		0	0	0xFFFFFFFF	0			102
167	1000006445	1	0	0	4	4	2	5	2	8	10	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
168	1000006446	1	0	6	3	7	3	12	20	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
169	1000006447	1	0	3	-4	12	62	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
170	1000006448	1	0	0	3	3	3	9	18	2	-3	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
171	1000006449	1	0	8	13	9	13	3	3	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
172	1000006450	1	0	1	7	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
173	1000006451	1	0	13	8	15	8	11	26	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
174	1000006452	1	0	14	36	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
175	1000006453	1	0	3	8	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
176	1000006454	1	0	10	36	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
177	1000006455	1	0	3	-8	2	17	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
178	1000006456	1	0	0	6	1	6	13	-7	15	-7	11	-7	-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
179	1000006457	1	0	2	9	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
180	1000006458	1	0	20	0.02	-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
181	1000006459	1	0	4	10	5	10	12	46	3	-9	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
182	1000006463	1	1000050772	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
183	1000006464	1	1000006469	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
184	1000006465	1	1000006869	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
185	1000007039	1	1000007047	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			120
186	1000007040	1	1000050773	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			95
187	1000007041	1	0	0	6	4	5	5	5	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
188	1000007042	1	0	0	8	4	7	5	7	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			103
189	1000007043	1	1000007049	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
190	1000007044	1	1000007050	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			104
191	1000007045	1	1000007051	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	11	0xFFFFFFFF	0			0
192	1000008204	1	0	4	22	5	22	6	22	7	22	25	-127	-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
193	1000008205	1	1000050774	20	0.05	21	-0.02	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
194	1000008206	1	0	8	57	9	57	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
195	1000008207	1	1000008209	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
196	1000008208	1	0	25	203	-1		1	7	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
197	1000008602	1	0	3	8	0	8	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
198	1000036590	1	0	2	15	8	50	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
199	1000008716	1	0	0	7	1	7	2	7	3	7	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
200	1000008717	1	0	0	9	2	7	3	8	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
201	1000008718	1	0	4	19	5	19	1	7	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
202	1000008719	1	0	4	24	5	24	6	24	7	24	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
203	1000008976	1	0	12	34	14	34	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
204	1000008977	1	0	1	7	11	29	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
205	1000008978	1	0	18	0.03	0	8	3	-5	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
206	1000008979	1	0	16	0.03	0	5	-1		-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
207	1000008980	1	0	4	12	5	12	13	-5	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
208	1000008981	1	0	8	-24	6	12	7	12	1	7	-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
209	1000008982	1	0	0	6	8	41	15	36	-1		-1		-1		-1		-1		-1		-1		0	0	0xFFFFFFFF	0			0
