ROWID	_NpcID|INTEGER	_MapID|INTEGER	_HideType1|INTEGER	_Gain1Param1|INTEGER	_Gain1Param2|INTEGER	_Gain1Operator|INTEGER	_Gain1classtype|TEXT	_Gain1CheckType|BOOLEAN	_HideType2|INTEGER	_Gain2Param1|INTEGER	_Gain2Param2|INTEGER	_Gain2Operator|INTEGER	_Gain2classtype|TEXT	_Gain2CheckType|BOOLEAN	_HideType3|INTEGER	_Gain3Param1|INTEGER	_Gain3Param2|INTEGER	_Gain3Operator|INTEGER	_Gain3classtype|TEXT	_Gain3CheckType|BOOLEAN	_HideType4|INTEGER	_Gain4Param1|INTEGER	_Gain4Param2|INTEGER	_Gain4Operator|INTEGER	_Gain4classtype|TEXT	_Gain4CheckType|BOOLEAN	_HideType5|INTEGER	_Gain5Param1|INTEGER	_Gain5Param2|INTEGER	_Gain5Operator|INTEGER	_Gain5classtype|TEXT	_Gain5CheckType|BOOLEAN	_HideType6|INTEGER	_Gain6Param1|INTEGER	_Gain6Param2|INTEGER	_Gain6Operator|INTEGER	_Gain6classtype|TEXT	_Gain6CheckType|BOOLEAN	_HideType7|INTEGER	_Gain7Param1|INTEGER	_Gain7Param2|INTEGER	_Gain7Operator|INTEGER	_Gain7classtype|TEXT	_Gain7CheckType|BOOLEAN
11	1766	11	1	70	0	4	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
12	1279	11	1	60	0	4	1:2:3:4:5:6:7:8:9:10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
13	2475	11	1	95	0	4	1:2:3:4:5:6:7:8:9:10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
14	2552	11	2	3675	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
15	2678	187	4	9836	1	0	1:2:3:4:5:6:7:8:9	true	4	9836	3	0	1:2:3:4:5:6:7:8:9	true	2	9836	0	0	1:2:3:4:5:6:7:8:9	true	3	9831	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
16	2705	187	4	9836	1	0	1:2:3:4:5:6:7:8:9	true	4	9836	3	0	1:2:3:4:5:6:7:8:9	true	2	9836	0	0	1:2:3:4:5:6:7:8:9	true	3	9831	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
17	2711	187	3	9843	0	0	1:2:3:4:5:6:7:8:9	true	4	9844	1	0	1:2:3:4:5:6:7:8:9	true	4	9844	3	0	1:2:3:4:5:6:7:8:9	true	2	9844	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
18	2714	187	3	9845	0	0	1:2:3:4:5:6:7:8:9	true	4	9846	3	0	1:2:3:4:5:6:7:8:9	true	2	9846	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
19	2723	187	3	9848	0	0	1:2:3:4:5:6:7:8:9	true	4	9849	1	0	1:2:3:4:5:6:7:8:9	true	4	9849	2	0	1:2:3:4:5:6:7:8:9	true	4	9849	4	0	1:2:3:4:5:6:7:8:9	true	4	9849	5	0	1:2:3:4:5:6:7:8:9	true	2	9849	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false
20	2725	187	3	9848	0	0	1:2:3:4:5:6:7:8:9	true	4	9849	1	0	1:2:3:4:5:6:7:8:9	true	4	9849	4	0	1:2:3:4:5:6:7:8:9	true	4	9849	5	0	1:2:3:4:5:6:7:8:9	true	2	9849	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false
21	2704	187	3	9848	0	0	1:2:3:4:5:6:7:8:9	true	4	9849	1	0	1:2:3:4:5:6:7:8:9	true	4	9849	4	0	1:2:3:4:5:6:7:8:9	true	4	9849	5	0	1:2:3:4:5:6:7:8:9	true	2	9849	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false
22	2732	187	3	3710	0	0	1:2:3:4:5:6:7:8:9:10	true	2	3715	0	0	1:2:3:4:5:6:7:8:9:10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
23	2655	187	4	9839	2	0	1:2:3:4:5:6:7:8:9:10	true	4	9839	3	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
24	2745	187	3	9845	0	0	1:2:3:4:5:6:7:8:9	true	4	9846	2	0	1:2:3:4:5:6:7:8:9	true	4	9846	3	0	1:2:3:4:5:6:7:8:9	true	2	9846	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
25	2746	187	3	9845	0	0	1:2:3:4:5:6:7:8:9	true	4	9846	2	0	1:2:3:4:5:6:7:8:9	true	4	9846	3	0	1:2:3:4:5:6:7:8:9	true	2	9846	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
26	2750	187	2	3721	0	0	1:2:3:4:5:6:7:8:9	true	2	3726	0	0	1:2:3:4:5:6:7:8:9	false	4	3721	1	0	1:2:3:4:5:6:7:8:9	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
27	2751	187	2	3721	0	0	1:2:3:4:5:6:7:8:9	true	2	3727	0	0	1:2:3:4:5:6:7:8:9	false	4	3721	1	0	1:2:3:4:5:6:7:8:9	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
28	2752	187	2	3721	0	0	1:2:3:4:5:6:7:8:9	true	2	3728	0	0	1:2:3:4:5:6:7:8:9	false	4	3721	1	0	1:2:3:4:5:6:7:8:9	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
29	2772	187	3	3754	0	0	1:2:3:4:5:6:7:8:9	true	2	3756	0	0	1:2:3:4:5:6:7:8:9	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
30	2775	187	3	3756	0	0	1:2:3:4:5:6:7:8:9	true	3	9898	0	0	10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
32	2869	187	3	3816	0	0	10	true	2	9898	0	0	10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
33	2880	187	3	50	0	0	1:2:3:4:5:6:7:8:9:10	true	4	9866	2	3	10	true	2	9866	0	0	0	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
34	2902	187	3	9883	0	0	1:2:3:4:5:6:7:8:9:10	false	4	9884	4	4	10	true	3	9892	0	0	10	false	2	9893	0	0	0	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
35	2872	187	3	9883	0	0	10	true	4	9884	5	4	10	true	4	9892	3	0	10	true	4	9893	3	4	10	true	4	9914	8	0	10	true	4	9915	4	4	10	true	0	0	0	0	0	false
36	2932	187	3	4788	0	0	1:2:3:4:5:6:7:8:9:10	true	2	3820	0	0	1:2:3:4:5:6:7:8:9:10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
37	2881	187	3	50	0	0	1:2:3:4:5:6:7:8:9:10	true	4	9866	6	4	10	true	4	9866	7	3	10	true	2	9866	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
38	3005	187	3	9885	0	0	10	true	4	9886	1	3	10	false	2	9890	0	0	10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
39	2983	187	3	9899	0	0	1:2:3:4:5:6:7:8:9:10	true	2	9900	0	0	1:2:3:4:5:6:7:8:9:10	true	1	10	0	3	10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
40	2984	187	3	9900	0	0	1:2:3:4:5:6:7:8:9:10	true	2	9902	0	0	0	true	1	10	0	3	10	true	4	9901	4	4	0	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
41	3001	187	1	10	0	4	1:2:3:4:5:6:7:8:9	true	1	10	0	3	10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
42	3067	187	3	9907	0	0	1:2:3:4:5:6:7:8:9:10	true	4	9917	2	3	1:2:3:4:5:6:7:8:9:10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
43	3036	187	3	9907	0	0	1:2:3:4:5:6:7:8:9:10	true	4	9917	2	3	1:2:3:4:5:6:7:8:9:10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
44	3078	1	3	3894	0	0	1:2:3:4:5:6:7:8:9:10	true	2	3891	2	0	1:2:3:4:5:6:7:8:9	true	2	3893	0	0	10	true	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false	0	0	0	0	0	false
