ROWID	_ItemID|INTEGER	_TabID|INTEGER	_TabNameID|INTEGER	_GroupID|INTEGER	_PrintID|TEXT	_PrintJob|TEXT	_GetLevel|TEXT	_GainID|TEXT	_DescriptionID|INTEGER	_DescriptionIDParam|TEXT
46	268463261	1	1000024096	200	1	8;72;73;74;98;99	1	0;0;0;0;0;0;0;0;0;0	0	
47	268463278	1	1000024096	200	1	9;77;78;79	1	0;0;0;0;0;0;0;0;0;0	0	
48	268463254	1	1000024096	200	2	1;12;25;26	1	0;0;0;0;0;0;0;0;0;0	0	
49	268463259	1	1000024096	200	2	2;15;31;32	1	0;0;0;0;0;0;0;0;0;0	0	
50	268463265	1	1000024096	200	2	4;22;43;44	1	0;0;0;0;0;0;0;0;0;0	0	
51	268463266	1	1000024096	200	2	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
52	268463275	1	1000024096	200	2	6;54;57;55;56;58;59	1	0;0;0;0;0;0;0;0;0;0	0	
53	268463271	1	1000024096	200	2	5;46;48;47;86;87	1	0;0;0;0;0;0;0;0;0;0	0	
54	268463262	1	1000024096	200	2	7;62;67;63;64;68;69;90;91	1	0;0;0;0;0;0;0;0;0;0	0	
55	268463256	1	1000024096	200	3	1;12;26;25	1	0;0;0;0;0;0;0;0;0;0	0	
56	268463272	1	1000024096	200	3	2;14;29;30;80;81	1	0;0;0;0;0;0;0;0;0;0	0	
57	268463276	1	1000024096	200	3	4;20;41;42	1	0;0;0;0;0;0;0;0;0;0	0	
58	268463268	1	1000024096	200	3	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
59	268463251	1	1000024096	200	4	1;11;12;23;24;25;26;75;76	1	0;0;0;0;0;0;0;0;0;0	0	
60	268463258	1	1000024096	200	4	8;72;73;74;92;93;94;98;99	1	0;0;0;0;0;0;0;0;0;0	0	
61	268463263	1	1000024096	200	4	4;20;22;41;42;43;44;82;83	1	0;0;0;0;0;0;0;0;0;0	0	
62	268463260	1	1000024096	200	4	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
63	268463269	1	1000024096	200	4	6;54;57;55;56;58;59;88;89	1	0;0;0;0;0;0;0;0;0;0	0	
64	268463273	1	1000024096	200	4	7;62;67;63;64;68;69;90;91	1	0;0;0;0;0;0;0;0;0;0	0	
65	268463274	1	1000024096	200	4	5;46;49;48;47;50;51;86;87	1	0;0;0;0;0;0;0;0;0;0	0	
66	268463277	1	1000024096	200	4	2;14;29;30;80;81;15;31;32	1	0;0;0;0;0;0;0;0;0;0	0	
67	268463279	1	1000024096	200	4	9;77;78;79;95;96;97	1	0;0;0;0;0;0;0;0;0;0	0	
68	268463338	1	1000024096	200	5	0	1	0;0;0;0;0;0;0;0;0;0	0	
69	268463339	1	1000024096	200	6	0	1	0;0;0;0;0;0;0;0;0;0	0	
70	268463340	1	1000024096	200	7	0	1	0;0;0;0;0;0;0;0;0;0	0	
71	268463341	1	1000024096	200	8	0	1	0;0;0;0;0;0;0;0;0;0	0	
72	268463342	1	1000024096	200	9	0	1	0;0;0;0;0;0;0;0;0;0	0	
73	268463925	1	1000024096	300	1	1;11;23;24;75;76	2	0;0;0;0;0;0;0;0;0;0	0	
74	268463927	1	1000024096	300	1	2;14;29;30	2	0;0;0;0;0;0;0;0;0;0	0	
75	268463929	1	1000024096	300	1	4;20;41;42;82;83	2	0;0;0;0;0;0;0;0;0;0	0	
76	268463936	1	1000024096	300	1	3;17;18;35;36;38;37;84;85	2	0;0;0;0;0;0;0;0;0;0	0	
77	268463939	1	1000024096	300	1	6;54;57;55;56;58;59;88;89	2	0;0;0;0;0;0;0;0;0;0	0	
78	268463942	1	1000024096	300	1	5;49;50;51	2	0;0;0;0;0;0;0;0;0;0	0	
79	268463924	1	1000024096	300	1	7;62;67;63;64;68;69;90;91	2	0;0;0;0;0;0;0;0;0;0	0	
80	268463933	1	1000024096	300	1	8;72;73;74;98;99	2	0;0;0;0;0;0;0;0;0;0	0	
81	268463950	1	1000024096	300	1	9;77;78;79	2	0;0;0;0;0;0;0;0;0;0	0	
82	268488602	1	1000024096	300	1	201;100;102;103	2	0;0;0;0;0;0;0;0;0;0	0	
83	268463926	1	1000024096	300	2	1;12;25;26	2	0;0;0;0;0;0;0;0;0;0	0	
84	268463931	1	1000024096	300	2	2;15;31;32	2	0;0;0;0;0;0;0;0;0;0	0	
85	268463937	1	1000024096	300	2	4;22;43;44	2	0;0;0;0;0;0;0;0;0;0	0	
86	268463938	1	1000024096	300	2	3;17;18;35;36;38;37;84;85	2	0;0;0;0;0;0;0;0;0;0	0	
87	268463947	1	1000024096	300	2	6;54;57;55;56;58;59	2	0;0;0;0;0;0;0;0;0;0	0	
88	268463943	1	1000024096	300	2	5;46;48;47;86;87	2	0;0;0;0;0;0;0;0;0;0	0	
89	268463934	1	1000024096	300	2	7;62;67;63;64;68;69;90;91	2	0;0;0;0;0;0;0;0;0;0	0	
90	268480923	1	1000024096	300	2	92;93;94;8	2	0;0;0;0;0;0;0;0;0;0	0	
91	268481156	1	1000024096	300	2	95;96;97;9	2	0;0;0;0;0;0;0;0;0;0	0	
92	268463928	1	1000024096	300	3	1;12;26;25	2	0;0;0;0;0;0;0;0;0;0	0	
93	268463944	1	1000024096	300	3	2;14;29;30;80;81	2	0;0;0;0;0;0;0;0;0;0	0	
94	268463948	1	1000024096	300	3	4;20;41;42	2	0;0;0;0;0;0;0;0;0;0	0	
95	268463940	1	1000024096	300	3	3;17;18;35;36;38;37;84;85	2	0;0;0;0;0;0;0;0;0;0	0	
96	268463923	1	1000024096	300	4	1;11;12;23;24;25;26;75;76	2	0;0;0;0;0;0;0;0;0;0	0	
97	268463930	1	1000024096	300	4	8;72;73;74;92;93;94;98;99	2	0;0;0;0;0;0;0;0;0;0	0	
98	268463935	1	1000024096	300	4	4;20;22;41;42;43;44;82;83	2	0;0;0;0;0;0;0;0;0;0	0	
99	268463932	1	1000024096	300	4	3;17;18;35;36;38;37;84;85	2	0;0;0;0;0;0;0;0;0;0	0	
100	268463941	1	1000024096	300	4	6;54;57;55;56;58;59;88;89	2	0;0;0;0;0;0;0;0;0;0	0	
101	268463945	1	1000024096	300	4	7;62;67;63;64;68;69;90;91	2	0;0;0;0;0;0;0;0;0;0	0	
102	268463946	1	1000024096	300	4	5;46;49;48;47;50;51;86;87	2	0;0;0;0;0;0;0;0;0;0	0	
103	268463949	1	1000024096	300	4	2;14;29;30;80;81;15;31;32	2	0;0;0;0;0;0;0;0;0;0	0	
104	268463951	1	1000024096	300	4	9;77;78;79;95;96;97	2	0;0;0;0;0;0;0;0;0;0	0	
105	268488601	1	1000024096	300	4	201;100;102;103	2	0;0;0;0;0;0;0;0;0;0	0	
106	268463952	1	1000024096	300	5	0	2	0;0;0;0;0;0;0;0;0;0	0	
107	268463953	1	1000024096	300	6	0	2	0;0;0;0;0;0;0;0;0;0	0	
108	268463954	1	1000024096	300	7	0	2	0;0;0;0;0;0;0;0;0;0	0	
109	268463955	1	1000024096	300	8	0	2	0;0;0;0;0;0;0;0;0;0	0	
110	268463956	1	1000024096	300	9	0	2	0;0;0;0;0;0;0;0;0;0	0	
111	268463962	1	1000024096	400	1	1;11;23;24;75;76	2	0;0;0;0;0;0;0;0;0;0	0	
112	268463964	1	1000024096	400	1	2;14;29;30	2	0;0;0;0;0;0;0;0;0;0	0	
113	268463966	1	1000024096	400	1	4;20;41;42;82;83	2	0;0;0;0;0;0;0;0;0;0	0	
114	268463973	1	1000024096	400	1	3;17;18;35;36;38;37;84;85	2	0;0;0;0;0;0;0;0;0;0	0	
115	268463976	1	1000024096	400	1	6;54;57;55;56;58;59;88;89	2	0;0;0;0;0;0;0;0;0;0	0	
116	268463979	1	1000024096	400	1	5;49;50;51	2	0;0;0;0;0;0;0;0;0;0	0	
117	268463961	1	1000024096	400	1	7;62;67;63;64;68;69;90;91	2	0;0;0;0;0;0;0;0;0;0	0	
118	268463970	1	1000024096	400	1	8;72;73;74;98;99	2	0;0;0;0;0;0;0;0;0;0	0	
119	268463987	1	1000024096	400	1	9;77;78;79	2	0;0;0;0;0;0;0;0;0;0	0	
120	268463963	1	1000024096	400	2	1;12;25;26	2	0;0;0;0;0;0;0;0;0;0	0	
121	268463968	1	1000024096	400	2	2;15;31;32	2	0;0;0;0;0;0;0;0;0;0	0	
122	268463974	1	1000024096	400	2	4;22;43;44	2	0;0;0;0;0;0;0;0;0;0	0	
123	268463975	1	1000024096	400	2	3;17;18;35;36;38;37;84;85	2	0;0;0;0;0;0;0;0;0;0	0	
124	268463984	1	1000024096	400	2	6;54;57;55;56;58;59	2	0;0;0;0;0;0;0;0;0;0	0	
125	268463980	1	1000024096	400	2	5;46;48;47;86;87	2	0;0;0;0;0;0;0;0;0;0	0	
126	268463971	1	1000024096	400	2	7;62;67;63;64;68;69;90;91	2	0;0;0;0;0;0;0;0;0;0	0	
127	268463965	1	1000024096	400	3	1;12;26;25	2	0;0;0;0;0;0;0;0;0;0	0	
128	268463981	1	1000024096	400	3	2;14;29;30;80;81	2	0;0;0;0;0;0;0;0;0;0	0	
129	268463985	1	1000024096	400	3	4;20;41;42	2	0;0;0;0;0;0;0;0;0;0	0	
130	268463977	1	1000024096	400	3	3;17;18;35;36;38;37;84;85	2	0;0;0;0;0;0;0;0;0;0	0	
131	268463960	1	1000024096	400	4	1;11;12;23;24;25;26;75;76	2	0;0;0;0;0;0;0;0;0;0	0	
132	268463967	1	1000024096	400	4	8;72;73;74;92;93;94;98;99	2	0;0;0;0;0;0;0;0;0;0	0	
133	268463972	1	1000024096	400	4	4;20;22;41;42;43;44;82;83	2	0;0;0;0;0;0;0;0;0;0	0	
134	268463969	1	1000024096	400	4	3;17;18;35;36;38;37;84;85	2	0;0;0;0;0;0;0;0;0;0	0	
135	268463978	1	1000024096	400	4	6;54;57;55;56;58;59;88;89	2	0;0;0;0;0;0;0;0;0;0	0	
136	268463982	1	1000024096	400	4	7;62;67;63;64;68;69;90;91	2	0;0;0;0;0;0;0;0;0;0	0	
137	268463983	1	1000024096	400	4	5;46;49;48;47;50;51;86;87	2	0;0;0;0;0;0;0;0;0;0	0	
138	268463986	1	1000024096	400	4	2;14;29;30;80;81;15;31;32	2	0;0;0;0;0;0;0;0;0;0	0	
139	268463988	1	1000024096	400	4	9;77;78;79;95;96;97	2	0;0;0;0;0;0;0;0;0;0	0	
140	268463282	1	1000024096	500	1	1;11;23;24;75;76	3	0;0;0;0;0;0;0;0;0;0	0	
141	268463284	1	1000024096	500	1	2;14;29;30	3	0;0;0;0;0;0;0;0;0;0	0	
142	268463286	1	1000024096	500	1	4;20;41;42;82;83	3	0;0;0;0;0;0;0;0;0;0	0	
143	268463293	1	1000024096	500	1	3;17;18;35;36;38;37;84;85	3	0;0;0;0;0;0;0;0;0;0	0	
144	268463296	1	1000024096	500	1	6;54;57;55;56;58;59;88;89	3	0;0;0;0;0;0;0;0;0;0	0	
145	268463299	1	1000024096	500	1	5;49;50;51	3	0;0;0;0;0;0;0;0;0;0	0	
146	268463281	1	1000024096	500	1	7;62;67;63;64;68;69;90;91	3	0;0;0;0;0;0;0;0;0;0	0	
147	268463290	1	1000024096	500	1	8;72;73;74;98;99	3	0;0;0;0;0;0;0;0;0;0	0	
148	268463307	1	1000024096	500	1	9;77;78;79	3	0;0;0;0;0;0;0;0;0;0	0	
149	268463283	1	1000024096	500	2	1;12;25;26	3	0;0;0;0;0;0;0;0;0;0	0	
150	268463288	1	1000024096	500	2	2;15;31;32	3	0;0;0;0;0;0;0;0;0;0	0	
151	268463294	1	1000024096	500	2	4;22;43;44	3	0;0;0;0;0;0;0;0;0;0	0	
152	268463295	1	1000024096	500	2	3;17;18;35;36;38;37;84;85	3	0;0;0;0;0;0;0;0;0;0	0	
153	268463304	1	1000024096	500	2	6;54;57;55;56;58;59	3	0;0;0;0;0;0;0;0;0;0	0	
154	268463300	1	1000024096	500	2	5;46;48;47;86;87	3	0;0;0;0;0;0;0;0;0;0	0	
155	268463291	1	1000024096	500	2	7;62;67;63;64;68;69;90;91	3	0;0;0;0;0;0;0;0;0;0	0	
156	268463285	1	1000024096	500	3	1;12;26;25	3	0;0;0;0;0;0;0;0;0;0	0	
157	268463301	1	1000024096	500	3	2;14;29;30;80;81	3	0;0;0;0;0;0;0;0;0;0	0	
158	268463305	1	1000024096	500	3	4;20;41;42	3	0;0;0;0;0;0;0;0;0;0	0	
159	268463297	1	1000024096	500	3	3;17;18;35;36;38;37;84;85	3	0;0;0;0;0;0;0;0;0;0	0	
160	268463280	1	1000024096	500	4	1;11;12;23;24;25;26;75;76	3	0;0;0;0;0;0;0;0;0;0	0	
161	268463287	1	1000024096	500	4	8;72;73;74;92;93;94;98;99	3	0;0;0;0;0;0;0;0;0;0	0	
162	268463292	1	1000024096	500	4	4;20;22;41;42;43;44;82;83	3	0;0;0;0;0;0;0;0;0;0	0	
163	268463289	1	1000024096	500	4	3;17;18;35;36;38;37;84;85	3	0;0;0;0;0;0;0;0;0;0	0	
164	268463298	1	1000024096	500	4	6;54;57;55;56;58;59;88;89	3	0;0;0;0;0;0;0;0;0;0	0	
165	268463302	1	1000024096	500	4	7;62;67;63;64;68;69;90;91	3	0;0;0;0;0;0;0;0;0;0	0	
166	268463303	1	1000024096	500	4	5;46;49;48;47;50;51;86;87	3	0;0;0;0;0;0;0;0;0;0	0	
167	268463306	1	1000024096	500	4	2;14;29;30;80;81;15;31;32	3	0;0;0;0;0;0;0;0;0;0	0	
168	268463308	1	1000024096	500	4	9;77;78;79;95;96;97	3	0;0;0;0;0;0;0;0;0;0	0	
169	268463343	1	1000024096	500	5	0	3	0;0;0;0;0;0;0;0;0;0	0	
170	268463344	1	1000024096	500	6	0	3	0;0;0;0;0;0;0;0;0;0	0	
171	268463345	1	1000024096	500	7	0	3	0;0;0;0;0;0;0;0;0;0	0	
172	268463346	1	1000024096	500	8	0	3	0;0;0;0;0;0;0;0;0;0	0	
173	268463347	1	1000024096	500	9	0	3	0;0;0;0;0;0;0;0;0;0	0	
174	268460707	1	1000024096	600	1	1;11;23;24;75;76	1	0;0;0;0;0;0;0;0;0;0	0	
175	268460709	1	1000024096	600	1	2;14;29;30	1	0;0;0;0;0;0;0;0;0;0	0	
176	268460711	1	1000024096	600	1	4;20;41;42;82;83	1	0;0;0;0;0;0;0;0;0;0	0	
177	268460718	1	1000024096	600	1	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
178	268460721	1	1000024096	600	1	6;54;57;55;56;58;59;88;89	1	0;0;0;0;0;0;0;0;0;0	0	
179	268460724	1	1000024096	600	1	5;49;50;51	1	0;0;0;0;0;0;0;0;0;0	0	
180	268460706	1	1000024096	600	1	7;62;67;63;64;68;69;90;91	1	0;0;0;0;0;0;0;0;0;0	0	
181	268460715	1	1000024096	600	1	8;72;73;74;98;99	1	0;0;0;0;0;0;0;0;0;0	0	
182	268460732	1	1000024096	600	1	9;77;78;79	1	0;0;0;0;0;0;0;0;0;0	0	
183	268488606	1	1000024096	600	1	201;100;102;103	1	0;0;0;0;0;0;0;0;0;0	0	
184	268460708	1	1000024096	600	2	1;12;25;26	1	0;0;0;0;0;0;0;0;0;0	0	
185	268460713	1	1000024096	600	2	2;15;31;32	1	0;0;0;0;0;0;0;0;0;0	0	
186	268460719	1	1000024096	600	2	4;22;43;44	1	0;0;0;0;0;0;0;0;0;0	0	
187	268460720	1	1000024096	600	2	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
188	268460729	1	1000024096	600	2	6;54;57;55;56;58;59	1	0;0;0;0;0;0;0;0;0;0	0	
189	268460725	1	1000024096	600	2	5;46;48;47;86;87	1	0;0;0;0;0;0;0;0;0;0	0	
190	268460716	1	1000024096	600	2	7;62;67;63;64;68;69;90;91	1	0;0;0;0;0;0;0;0;0;0	0	
191	268480926	1	1000024096	600	2	92;93;94;8	1	0;0;0;0;0;0;0;0;0;0	0	
192	268481146	1	1000024096	600	2	95;96;97;9	1	0;0;0;0;0;0;0;0;0;0	0	
193	268460710	1	1000024096	600	3	1;12;26;25	1	0;0;0;0;0;0;0;0;0;0	0	
194	268460726	1	1000024096	600	3	2;14;29;30;80;81	1	0;0;0;0;0;0;0;0;0;0	0	
195	268460730	1	1000024096	600	3	4;20;41;42	1	0;0;0;0;0;0;0;0;0;0	0	
196	268460722	1	1000024096	600	3	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
197	268460705	1	1000024096	600	4	1;11;12;23;24;25;26;75;76	1	0;0;0;0;0;0;0;0;0;0	0	
198	268460712	1	1000024096	600	4	8;72;73;74;92;93;94;98;99	1	0;0;0;0;0;0;0;0;0;0	0	
199	268460717	1	1000024096	600	4	4;20;22;41;42;43;44;82;83	1	0;0;0;0;0;0;0;0;0;0	0	
200	268460714	1	1000024096	600	4	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
201	268460723	1	1000024096	600	4	6;54;57;55;56;58;59;88;89	1	0;0;0;0;0;0;0;0;0;0	0	
202	268460727	1	1000024096	600	4	7;62;67;63;64;68;69;90;91	1	0;0;0;0;0;0;0;0;0;0	0	
203	268460728	1	1000024096	600	4	5;46;49;48;47;50;51;86;87	1	0;0;0;0;0;0;0;0;0;0	0	
204	268460731	1	1000024096	600	4	2;14;29;30;80;81;15;31;32	1	0;0;0;0;0;0;0;0;0;0	0	
205	268460733	1	1000024096	600	4	9;77;78;79;95;96;97	1	0;0;0;0;0;0;0;0;0;0	0	
206	268488605	1	1000024096	600	4	201;100;102;103	1	0;0;0;0;0;0;0;0;0;0	0	
207	268461212	1	1000024096	600	5	0	1	0;0;0;0;0;0;0;0;0;0	0	
208	268461213	1	1000024096	600	6	0	1	0;0;0;0;0;0;0;0;0;0	0	
209	268461214	1	1000024096	600	7	0	1	0;0;0;0;0;0;0;0;0;0	0	
210	268460820	1	1000024096	600	8	0	1	0;0;0;0;0;0;0;0;0;0	0	
211	268461215	1	1000024096	600	9	0	1	0;0;0;0;0;0;0;0;0;0	0	
212	268466561	1	1000024096	700	1	1;11;23;24;75;76	1	1000110186;0;0;0;0;0;0;0;0;0	0	
213	268466563	1	1000024096	700	1	2;14;29;30	1	1000110186;0;0;0;0;0;0;0;0;0	0	
214	268466565	1	1000024096	700	1	4;20;41;42;82;83	1	1000110186;0;0;0;0;0;0;0;0;0	0	
215	268466572	1	1000024096	700	1	3;17;18;35;36;38;37;84;85	1	1000110186;0;0;0;0;0;0;0;0;0	0	
216	268466575	1	1000024096	700	1	6;54;57;55;56;58;59;88;89	1	1000110186;0;0;0;0;0;0;0;0;0	0	
217	268466578	1	1000024096	700	1	5;49;50;51	1	1000110186;0;0;0;0;0;0;0;0;0	0	
218	268466560	1	1000024096	700	1	7;62;67;63;64;68;69;90;91	1	1000110186;0;0;0;0;0;0;0;0;0	0	
219	268466569	1	1000024096	700	1	8;72;73;74;98;99	1	1000110186;0;0;0;0;0;0;0;0;0	0	
220	268466586	1	1000024096	700	1	9;77;78;79	1	1000110186;0;0;0;0;0;0;0;0;0	0	
221	268466562	1	1000024096	700	2	1;12;25;26	1	1000110186;0;0;0;0;0;0;0;0;0	0	
222	268466567	1	1000024096	700	2	2;15;31;32	1	1000110186;0;0;0;0;0;0;0;0;0	0	
223	268466573	1	1000024096	700	2	4;22;43;44	1	1000110186;0;0;0;0;0;0;0;0;0	0	
224	268466574	1	1000024096	700	2	3;17;18;35;36;38;37;84;85	1	1000110186;0;0;0;0;0;0;0;0;0	0	
225	268466583	1	1000024096	700	2	6;54;57;55;56;58;59	1	1000110186;0;0;0;0;0;0;0;0;0	0	
226	268466579	1	1000024096	700	2	5;46;48;47;86;87	1	1000110186;0;0;0;0;0;0;0;0;0	0	
227	268466570	1	1000024096	700	2	7;62;67;63;64;68;69;90;91	1	1000110186;0;0;0;0;0;0;0;0;0	0	
228	268466564	1	1000024096	700	3	1;12;26;25	1	1000110186;0;0;0;0;0;0;0;0;0	0	
229	268466580	1	1000024096	700	3	2;14;29;30;80;81	1	1000110186;0;0;0;0;0;0;0;0;0	0	
230	268466584	1	1000024096	700	3	4;20;41;42	1	1000110186;0;0;0;0;0;0;0;0;0	0	
231	268466576	1	1000024096	700	3	3;17;18;35;36;38;37;84;85	1	1000110186;0;0;0;0;0;0;0;0;0	0	
232	268466559	1	1000024096	700	4	1;11;12;23;24;25;26;75;76	1	1000110186;0;0;0;0;0;0;0;0;0	0	
233	268466566	1	1000024096	700	4	8;72;73;74;92;93;94;98;99	1	1000110186;0;0;0;0;0;0;0;0;0	0	
234	268466571	1	1000024096	700	4	4;20;22;41;42;43;44;82;83	1	1000110186;0;0;0;0;0;0;0;0;0	0	
235	268466568	1	1000024096	700	4	3;17;18;35;36;38;37;84;85	1	1000110186;0;0;0;0;0;0;0;0;0	0	
236	268466577	1	1000024096	700	4	6;54;57;55;56;58;59;88;89	1	1000110186;0;0;0;0;0;0;0;0;0	0	
237	268466581	1	1000024096	700	4	7;62;67;63;64;68;69;90;91	1	1000110186;0;0;0;0;0;0;0;0;0	0	
238	268466582	1	1000024096	700	4	5;46;49;48;47;50;51;86;87	1	1000110186;0;0;0;0;0;0;0;0;0	0	
239	268466585	1	1000024096	700	4	2;14;29;30;80;81;15;31;32	1	1000110186;0;0;0;0;0;0;0;0;0	0	
240	268466587	1	1000024096	700	4	9;77;78;79;95;96;97	1	1000110186;0;0;0;0;0;0;0;0;0	0	
241	268466646	1	1000024096	700	5	0	1	1000110186;0;0;0;0;0;0;0;0;0	0	
242	268466647	1	1000024096	700	6	0	1	1000110186;0;0;0;0;0;0;0;0;0	0	
243	268466648	1	1000024096	700	7	0	1	1000110186;0;0;0;0;0;0;0;0;0	0	
244	268466649	1	1000024096	700	8	0	1	1000110186;0;0;0;0;0;0;0;0;0	0	
245	268466650	1	1000024096	700	9	0	1	1000110186;0;0;0;0;0;0;0;0;0	0	
246	268466590	1	1000024096	800	1	1;11;23;24;75;76	1	0;0;0;0;0;0;0;0;0;0	0	
247	268466592	1	1000024096	800	1	2;14;29;30	1	0;0;0;0;0;0;0;0;0;0	0	
248	268466594	1	1000024096	800	1	4;20;41;42;82;83	1	0;0;0;0;0;0;0;0;0;0	0	
249	268466601	1	1000024096	800	1	3;17;18;35;36;38;37;84;85	1	0;0;0;0;0;0;0;0;0;0	0	
250	268466604	1	1000024096	800	1	6;54;57;55;56;58;59;88;89	1	0;0;0;0;0;0;0;0;0;0	0	
251	268466607	1	1000024096	800	1	5;49;50;51	1	0;0;0;0;0;0;0;0;0;0	0	
