ROWID	_TargetItemID|INTEGER	_LimitEquipValue|INTEGER
327	268476501	2
328	268476502	2
329	268476177	2
330	268476503	2
331	268476504	2
332	268476505	2
333	268476506	2
334	268476507	2
335	268476508	2
336	268476509	2
337	268476510	2
338	268476511	2
339	268476512	2
340	268476513	2
341	268476514	2
342	268476515	2
343	268476516	2
344	268476517	2
345	268476518	2
346	268476519	2
347	268476520	2
348	268476521	2
349	268476522	2
350	268476523	2
351	268476524	2
352	268476525	2
353	268476526	2
354	268476527	2
355	268476528	2
356	268476534	2
357	268476535	2
358	268476536	2
359	268476537	2
360	268476538	2
361	268476602	4
362	268476603	4
363	268476604	4
364	268476605	4
365	268476606	4
366	268476539	4
367	268476540	4
368	268476541	4
369	268476542	4
370	268476543	4
371	268476544	4
372	268476545	4
373	268476546	4
374	268476547	4
375	268476548	4
376	268476549	4
377	268476550	4
378	268476551	4
379	268476552	4
380	268476553	4
381	268476554	4
382	268476555	4
383	268476556	4
384	268476557	4
385	268476558	4
386	268476559	4
387	268476560	4
388	268476561	4
389	268476562	4
390	268476563	4
391	268476564	4
392	268476565	4
393	268476566	4
394	268476567	4
395	268476568	4
396	268476569	4
397	268476570	4
398	268476571	4
399	268476572	4
400	268476609	4
401	268476885	4
402	268476886	4
403	268476887	4
404	268476888	2
405	268476889	2
406	268476890	2
407	268476891	2
408	268476923	2
409	268476924	2
410	268476925	2
411	268476926	2
412	268476927	2
413	268476928	2
414	268476929	2
415	268476930	2
416	268476943	2
417	268476944	2
418	268476945	2
419	268476946	2
420	268476894	4
421	268476895	4
422	268476896	4
423	268476897	4
424	268476935	4
425	268476936	4
426	268476937	4
427	268476938	4
428	268476939	4
429	268476940	4
430	268476941	4
431	268476942	4
432	268476947	4
433	268476948	4
434	268476949	4
435	268476950	4
436	268476913	2
437	268476914	2
438	268476915	2
439	268476916	2
440	268476909	4
441	268476910	4
442	268476911	4
443	268476912	4
444	268477002	4
445	268477003	4
446	268477004	4
447	268477005	4
448	268477006	4
449	268477007	4
450	268466302	4
451	268468267	4
452	268469654	4
453	268468264	4
454	268468265	4
455	268469655	4
456	268477038	4
457	268477218	4
458	268477219	4
459	268477220	4
460	268477221	4
461	268477222	4
462	268477223	4
463	268477224	4
464	268477225	4
465	268477226	4
466	268477227	4
467	268477228	4
468	268477229	4
469	268477230	4
470	268477231	4
471	268477232	4
472	268477233	4
473	268477234	4
474	268477235	4
475	268477236	4
476	268477237	4
477	268477397	4
478	268477398	4
479	268477399	4
480	268477400	4
481	268477401	4
482	268477402	4
483	268477403	4
484	268477404	4
485	268477405	4
486	268477406	4
487	268477407	4
488	268477408	4
489	268477409	4
490	268477410	4
491	268477411	4
492	268477412	4
493	268477413	4
494	268477414	4
495	268477415	4
496	268477416	4
497	268477417	4
498	268477418	4
499	268477419	4
500	268477420	4
501	268477421	4
502	268477422	4
503	268477423	4
504	268477424	4
505	268477425	4
506	268477387	4
507	268477388	4
508	268477389	4
509	268477390	4
510	268477391	4
511	268477426	4
512	268477427	4
513	268477428	4
514	268477429	4
515	268477430	4
516	268477431	4
517	268477432	4
518	268477433	4
519	268477434	4
520	268477435	4
521	268477436	4
522	268477437	4
523	268477438	4
524	268477439	4
525	268477440	4
526	268477441	4
527	268477442	4
528	268477443	4
529	268477444	4
530	268477445	4
531	268477446	4
532	268477447	4
533	268477448	4
534	268477449	4
535	268477450	4
536	268477451	4
537	268477452	4
538	268477453	4
539	268477454	4
540	268477392	4
541	268477393	4
542	268477394	4
543	268477395	4
544	268477396	4
545	268477280	4
546	268477281	4
547	268477282	4
548	268477283	4
549	268477494	4
550	268477495	4
551	268477496	4
552	268477497	4
553	268477498	4
554	268477499	4
555	268477500	4
556	268477501	4
557	268477502	4
558	268477503	4
559	268477504	4
560	268477505	4
561	268477506	4
562	268477507	4
563	268477508	4
564	268477509	4
565	268477510	4
566	268477511	4
567	268477512	4
568	268477513	4
569	268477514	4
570	268477515	4
571	268477516	4
572	268477517	4
573	268477518	4
574	268477519	4
575	268477520	4
576	268477521	4
577	268477522	4
578	268477523	4
579	268477524	4
580	268477525	4
581	268477526	4
582	268477527	4
583	268477528	4
584	268477529	4
585	268477530	4
586	268477531	4
587	268477532	4
588	268477533	4
589	268477534	4
590	268477535	4
591	268477536	4
592	268477537	4
593	268477538	4
594	268477539	4
595	268477540	4
596	268477541	4
597	268477542	4
598	268477543	4
599	268477544	4
600	268477545	4
601	268477546	4
602	268477547	4
603	268477548	4
604	268477549	4
605	268477550	4
606	268477551	4
607	268477552	4
608	268477553	4
609	268477554	4
610	268477555	4
611	268477556	4
612	268477557	4
613	268477571	4
614	268477572	4
615	268477573	4
616	268477635	1
617	268477636	2
618	268477637	2
619	268477638	4
620	268477639	4
621	268477640	4
622	268477641	4
623	268477642	4
624	268477643	4
625	268477644	4
626	268477645	4
627	268477646	4
628	268477647	4
629	268477648	4
630	268477649	4
631	268477650	4
632	268477651	4
633	268477652	4
634	268477653	4
635	268477893	4
636	268477894	4
637	268477895	4
638	268477896	4
639	268477897	4
640	268477898	4
641	268477899	4
642	268477900	4
643	268477901	4
644	268477902	4
645	268477903	4
646	268477904	4
647	268477905	4
648	268477906	4
649	268477907	4
650	268477908	4
651	268477909	4
652	268477910	4
653	268477911	4
654	268477912	4
655	268477913	4
656	268477914	4
657	268477915	4
658	268477916	4
659	268477917	4
660	268477918	4
661	268477919	4
662	268477920	4
663	268477921	4
664	268477961	4
665	268477962	4
666	268477963	4
667	268477964	4
668	268477965	4
669	268477922	4
670	268478943	4
671	268478944	4
672	268478945	4
673	268478946	4
674	268478947	4
675	268478948	4
676	268478949	4
677	268478950	4
678	268478951	4
679	268478952	4
680	268478953	4
681	268478954	4
682	268478955	4
683	268478956	4
684	268478957	4
685	268478958	4
686	268478959	4
687	268478960	4
688	268478961	4
689	268478962	4
690	268478963	4
691	268478964	4
692	268478965	4
693	268478966	4
694	268478967	4
695	268478968	4
696	268478969	4
697	268478970	4
698	268478971	4
699	268478972	4
700	268478973	4
701	268478974	4
702	268478975	4
703	268478976	4
704	268478977	4
705	268478978	4
706	268478979	4
707	268478980	4
708	268478981	4
709	268478982	4
710	268478983	4
711	268478984	4
712	268478985	4
713	268478986	4
714	268478987	4
715	268478988	4
716	268478989	4
717	268478990	4
718	268478991	4
719	268478992	4
720	268478993	4
721	268478994	4
722	268478995	4
723	268478996	4
724	268478997	4
725	268478998	4
726	268478999	4
727	268479000	4
728	268479001	4
729	268479002	4
730	268479003	4
731	268479004	4
732	268479005	4
733	268479006	4
734	268479007	4
735	268479008	4
736	268479009	4
737	268479010	4
738	268479011	4
739	268479012	4
740	268479013	4
741	268479014	4
742	268479015	4
743	268479016	4
744	268479017	4
745	268479018	4
746	268479019	4
747	268479020	4
748	268479021	4
749	268479022	4
750	268479023	4
751	268479024	4
752	268479025	4
753	268479026	4
754	268479027	4
755	268479028	4
756	268479029	4
757	268479030	4
758	268479031	4
759	268479032	4
760	268479033	4
761	268479034	4
762	268479035	4
763	268479036	4
764	268479037	4
765	268479038	4
766	268479039	4
767	268479040	4
768	268479041	4
769	268479042	4
770	268479043	4
771	268479044	4
772	268479045	4
773	268479046	4
774	268479047	4
775	268479048	4
776	268479049	4
777	268479050	4
778	268479051	4
779	268479052	4
780	268479053	4
781	268479054	4
782	268479055	4
783	268479056	4
784	268479057	4
785	268479058	4
786	268479059	4
787	268479060	4
788	268479061	4
789	268479062	4
790	268479063	4
791	268479064	4
792	268479065	4
793	268479066	4
794	268479067	4
795	268479068	4
796	268479069	4
797	268479070	4
798	268479071	4
799	268479072	4
800	268479073	4
801	268479074	4
802	268479075	4
803	268479076	4
804	268479077	4
805	268479078	4
806	268479079	4
807	268479080	4
808	268479081	4
809	268479082	4
810	268479083	4
811	268479084	4
812	268479085	4
813	268479086	4
814	268479087	4
815	268479088	4
816	268479089	4
817	268479090	4
818	268479091	4
819	268479092	4
820	268479093	4
821	268479094	4
822	268479095	4
823	268479096	4
824	268479097	4
825	268479098	4
826	268479099	4
827	268479100	4
828	268479101	4
829	268479102	4
830	268479103	4
831	268479104	4
832	268479105	4
833	268479106	4
834	268479107	4
835	268479108	4
836	268479109	4
837	268479110	4
838	268479111	4
839	268479112	4
840	268479113	4
841	268479114	4
842	268479115	4
843	268479116	4
844	268479117	4
845	268479118	4
846	268479119	4
847	268479120	4
848	268479121	4
849	268479122	4
850	268479123	4
851	268479124	4
852	268479125	4
853	268479126	4
854	268479127	4
855	268479128	4
856	268479129	4
857	268479130	4
858	268479131	4
859	268479132	4
860	268479133	4
861	268479134	4
862	268479135	4
863	268479136	4
864	268479137	4
865	268479138	4
866	268479139	4
867	268479140	4
868	268479141	4
869	268479142	4
870	268479143	4
871	268479144	4
872	268479145	4
873	268479146	4
874	268479147	4
875	268479148	4
876	268479149	4
877	268479150	4
878	268479151	4
879	268479152	4
880	268479153	4
881	268479154	4
882	268479155	4
883	268479156	4
884	268479157	4
885	268479158	4
886	268479159	4
887	268479160	4
888	268479161	4
889	268479162	4
890	268479163	4
891	268479164	4
892	268479165	4
893	268479166	4
894	268479167	4
895	268479168	4
896	268479169	4
897	268479170	4
898	268479171	4
899	268479172	4
900	268479173	4
901	268479174	4
902	268479175	4
903	268479176	4
904	268479177	4
905	268479178	4
906	268479179	4
907	268479180	4
908	268479181	4
909	268479182	4
910	268479183	4
911	268479184	4
912	268479185	4
913	268479186	4
914	268479187	4
915	268479188	4
916	268479189	4
917	268479190	4
918	268479191	4
919	268479192	4
920	268479193	4
921	268479194	4
922	268479195	4
923	268479196	4
924	268479197	4
925	268479198	4
926	268479199	4
927	268479200	4
928	268479201	4
929	268479202	4
930	268479203	4
931	268479204	4
932	268479205	4
933	268479206	4
934	268479207	4
935	268479208	4
936	268479209	4
937	268479210	4
938	268479211	4
939	268479212	4
940	268479213	4
941	268479214	4
942	268479215	4
943	268479216	4
944	268479217	4
945	268479218	4
946	268479219	4
947	268479220	4
948	268479221	4
949	268479222	4
950	268479223	4
951	268479224	4
952	268479225	4
953	268479226	4
954	268479227	4
955	268479228	4
956	268479229	4
957	268479230	4
958	268479231	4
959	268479232	4
960	268479233	4
961	268479234	4
962	268479235	4
963	268479236	4
964	268479237	4
965	268479238	4
966	268479239	4
967	268479240	4
968	268479241	4
969	268479242	4
970	268479243	4
971	268479244	4
972	268479245	4
973	268479246	4
974	268479247	4
975	268479248	4
976	268479249	4
977	268479250	4
978	268479251	4
979	268479252	4
980	268479253	4
981	268479254	4
982	268479255	4
983	268479256	4
984	268479257	4
985	268479258	4
986	268479259	4
987	268479260	4
988	268479261	4
989	268479262	4
990	268479263	4
991	268479264	4
992	268479265	4
993	268479266	4
994	268479267	4
995	268479268	4
996	268479269	4
997	268479270	4
998	268479271	4
999	268479272	4
1000	268479273	4
1001	268479274	4
1002	268479275	4
1003	268479276	4
1004	268479277	4
1005	268479278	4
1006	268479279	4
1007	268479280	4
1008	268479281	4
1009	268479282	4
1010	268479283	4
1011	268479284	4
1012	268479285	4
1013	268479286	4
1014	268479287	4
1015	268479288	4
1016	268479289	4
1017	268479290	4
1018	268479291	4
1019	268479292	4
1020	268479293	4
1021	268479294	4
1022	268479295	4
1023	268479296	4
1024	268479297	4
1025	268479298	4
1026	268479299	4
1027	268479300	4
1028	268479301	4
1029	268479302	4
1030	268479303	4
1031	268479304	4
1032	268479305	4
1033	268479306	4
1034	268479307	4
1035	268479308	4
1036	268479309	4
1037	268479310	4
1038	268479311	4
1039	268479312	4
1040	268479313	4
1041	268479314	4
1042	268479315	4
1043	268479316	4
1044	268479317	4
1045	268479318	4
1046	268479319	4
1047	268479320	4
1048	268479321	4
1049	268479322	4
1050	268479323	4
1051	268479324	4
1052	268479325	4
1053	268479326	4
1054	268479327	4
1055	268479328	4
1056	268479329	4
1057	268479330	4
1058	268479331	4
1059	268479332	4
1060	268479333	4
1061	268479334	4
1062	268479335	4
1063	268479336	4
1064	268479337	4
1065	268479338	4
1066	268479339	4
1067	268479340	4
1068	268479341	4
1069	268479342	4
1070	268479343	4
1071	268479344	4
1072	268479345	4
1073	268479346	4
1074	268479347	4
1075	268479348	4
1076	268479349	4
1077	268479350	4
1078	268479351	4
1079	268479352	4
1080	268479353	4
1081	268479354	4
1082	268479355	4
1083	268479356	4
1084	268479357	4
1085	268479358	4
1086	268479359	4
1087	268479360	4
1088	268479361	4
1089	268479362	4
1090	268479363	4
1091	268479364	4
1092	268479365	4
1093	268479366	4
1094	268479367	4
1095	268479368	4
1096	268479369	4
1097	268479370	4
1098	268479371	4
1099	268479372	4
1100	268479373	4
1101	268479374	4
1102	268479375	4
1103	268479376	4
1104	268479377	4
1105	268479378	4
1106	268479379	4
1107	268479380	4
1108	268479381	4
1109	268479382	4
1110	268479383	4
1111	268479384	4
1112	268479385	4
1113	268479386	4
1114	268479387	4
1115	268479388	4
1116	268479389	4
1117	268479390	4
1118	268479391	4
1119	268479392	4
1120	268479393	4
1121	268479394	4
1122	268479395	4
1123	268479396	4
1124	268479397	4
1125	268479398	4
1126	268479399	4
1127	268479400	4
1128	268479401	4
1129	268479402	4
1130	268479403	4
1131	268479404	4
1132	268479405	4
1133	268479406	4
1134	268479407	4
1135	268479408	4
1136	268479409	4
1137	268479410	4
1138	268479411	4
1139	268479412	4
1140	268479768	4
1141	268479769	4
1142	268479770	4
1143	268479771	4
1144	268479772	4
1145	268479773	4
1146	268479774	4
1147	268479775	4
1148	268479776	4
1149	268479777	4
1150	268479778	4
1151	268479779	4
1152	268479780	4
1153	268479781	4
1154	268479782	4
1155	268479413	4
1156	268479414	4
1157	268479415	4
1158	268479416	4
1159	268479417	4
1160	268479418	4
1161	268479419	4
1162	268479420	4
1163	268479421	4
1164	268479422	4
1165	268479423	4
1166	268479424	4
1167	268479425	4
1168	268479426	4
1169	268479427	4
1170	268479428	4
1171	268479429	4
1172	268479430	4
1173	268479431	4
1174	268479432	4
1175	268479433	4
1176	268479434	4
1177	268479435	4
1178	268479436	4
1179	268479437	4
1180	268479438	4
1181	268479439	4
1182	268479440	4
1183	268479441	4
1184	268479442	4
1185	268479443	4
1186	268479444	4
1187	268479445	4
1188	268479446	4
1189	268479447	4
1190	268479448	4
1191	268479449	4
1192	268479450	4
1193	268479451	4
1194	268479452	4
1195	268479453	4
1196	268479454	4
1197	268479455	4
1198	268479456	4
1199	268479457	4
1200	268479458	4
1201	268479459	4
1202	268479460	4
1203	268479461	4
1204	268479462	4
1205	268479463	4
1206	268479464	4
1207	268479465	4
1208	268479466	4
1209	268479467	4
1210	268479468	4
1211	268479469	4
1212	268479470	4
1213	268479471	4
1214	268479472	4
1215	268479473	4
1216	268479474	4
1217	268479475	4
1218	268479476	4
1219	268479477	4
1220	268479478	4
1221	268479479	4
1222	268479480	4
1223	268479481	4
1224	268479482	4
1225	268479483	4
1226	268479484	4
1227	268479485	4
1228	268479486	4
1229	268479487	4
1230	268479488	4
1231	268479489	4
1232	268479490	4
1233	268479491	4
1234	268479492	4
1235	268479493	4
1236	268479494	4
1237	268479495	4
1238	268479496	4
1239	268479497	4
1240	268479498	4
1241	268479499	4
1242	268479500	4
1243	268479501	4
1244	268479502	4
1245	268479503	4
1246	268479504	4
1247	268479505	4
1248	268479506	4
1249	268479507	4
1250	268479508	4
1251	268479509	4
1252	268479510	4
1253	268479511	4
1254	268479512	4
1255	268479513	4
1256	268479514	4
1257	268479515	4
1258	268479516	4
1259	268479517	4
1260	268479518	4
1261	268479519	4
1262	268479520	4
1263	268479521	4
1264	268479522	4
1265	268479523	4
1266	268479524	4
1267	268479525	4
1268	268479526	4
1269	268479527	4
1270	268479528	4
1271	268479529	4
1272	268479530	4
1273	268479531	4
1274	268479532	4
1275	268479533	4
1276	268479534	4
1277	268479535	4
1278	268479536	4
1279	268479537	4
1280	268479538	4
1281	268479539	4
1282	268479540	4
1283	268479541	4
1284	268479542	4
1285	268479543	4
1286	268479544	4
1287	268479545	4
1288	268479546	4
1289	268479547	4
1290	268479548	4
1291	268479549	4
1292	268479550	4
1293	268479551	4
1294	268479552	4
1295	268479553	4
1296	268479554	4
1297	268479555	4
1298	268479556	4
1299	268479557	4
1300	268479558	4
1301	268479559	4
1302	268479560	4
1303	268479561	4
1304	268479562	4
1305	268479563	4
1306	268479564	4
1307	268479565	4
1308	268479566	4
1309	268479567	4
1310	268479568	4
1311	268479569	4
1312	268479570	4
1313	268479571	4
1314	268479572	4
1315	268479573	4
1316	268479574	4
1317	268479575	4
1318	268479576	4
1319	268479577	4
1320	268479578	4
1321	268479579	4
1322	268479580	4
1323	268479581	4
1324	268479582	4
1325	268479583	4
1326	268479584	4
1327	268479585	4
1328	268479586	4
1329	268479587	4
1330	268479588	4
1331	268479589	4
1332	268479590	4
1333	268479591	4
1334	268479592	4
1335	268479593	4
1336	268479594	4
1337	268479595	4
1338	268479596	4
1339	268479597	4
1340	268479598	4
1341	268479599	4
1342	268479600	4
1343	268479601	4
1344	268479602	4
1345	268479791	4
1346	268479792	4
1347	268479793	4
1348	268479794	4
1349	268479795	4
1350	268479796	4
1351	268479797	4
1352	268479798	4
1353	268479799	4
1354	268479800	4
1355	268479603	4
1356	268479604	4
1357	268479605	4
1358	268479606	4
1359	268479607	4
1360	268479608	4
1361	268479609	4
1362	268479610	4
1363	268479611	4
1364	268479612	4
1365	268479613	4
1366	268479614	4
1367	268479615	4
1368	268479616	4
1369	268479617	4
1370	268479618	4
1371	268479619	4
1372	268479620	4
1373	268479621	4
1374	268479622	4
1375	268479623	4
1376	268479624	4
1377	268479625	4
1378	268479626	4
1379	268479627	4
1380	268479628	4
1381	268479629	4
1382	268479630	4
1383	268479631	4
1384	268479632	4
1385	268479633	4
1386	268479634	4
1387	268479635	4
1388	268479636	4
1389	268479637	4
1390	268479638	4
1391	268479639	4
1392	268479640	4
1393	268479641	4
1394	268479642	4
1395	268479643	4
1396	268479644	4
1397	268479645	4
1398	268479646	4
1399	268479647	4
1400	268479648	4
1401	268479649	4
1402	268479650	4
1403	268479651	4
1404	268479652	4
1405	268479653	4
1406	268479654	4
1407	268479655	4
1408	268479656	4
1409	268479657	4
1410	268479658	4
1411	268479659	4
1412	268479660	4
1413	268479661	4
1414	268479662	4
1415	268479663	4
1416	268479664	4
1417	268479665	4
1418	268479666	4
1419	268479667	4
1420	268479801	4
1421	268479802	4
1422	268479803	4
1423	268479804	4
1424	268479805	4
1425	268479806	4
1426	268479807	4
1427	268479808	4
1428	268479809	4
1429	268479810	4
1430	268479811	4
1431	268479812	4
1432	268479813	4
1433	268479814	4
1434	268479815	4
1435	268479816	4
1436	268479817	4
1437	268479818	4
1438	268479819	4
1439	268479820	4
1440	268479668	4
1441	268479669	4
1442	268479670	4
1443	268479671	4
1444	268479672	4
1445	268479673	4
1446	268479674	4
1447	268479675	4
1448	268479676	4
1449	268479677	4
1450	268479678	4
1451	268479679	4
1452	268479680	4
1453	268479681	4
1454	268479682	4
1455	268479683	4
1456	268479684	4
1457	268479685	4
1458	268479686	4
1459	268479687	4
1460	268479688	4
1461	268479689	4
1462	268479690	4
1463	268479691	4
1464	268479692	4
1465	268479693	4
1466	268479694	4
1467	268479695	4
1468	268479696	4
1469	268479697	4
1470	268479698	4
1471	268479699	4
1472	268479700	4
1473	268479701	4
1474	268479702	4
1475	268479703	4
1476	268479704	4
1477	268479705	4
1478	268479706	4
1479	268479707	4
1480	268479708	4
1481	268479709	4
1482	268479710	4
1483	268479711	4
1484	268479712	4
1485	268479713	4
1486	268479714	4
1487	268479715	4
1488	268479716	4
1489	268479717	4
1490	268479718	4
1491	268479719	4
1492	268479720	4
1493	268479721	4
1494	268479722	4
1495	268479821	4
1496	268479822	4
1497	268479823	4
1498	268479824	4
1499	268479825	4
1500	268479826	4
1501	268479827	4
1502	268479828	4
1503	268479829	4
1504	268479830	4
1505	268479831	4
1506	268479832	4
1507	268479833	4
1508	268479834	4
1509	268479835	4
1510	268479723	4
1511	268479724	4
1512	268479725	4
1513	268479726	4
1514	268479727	4
1515	268479728	4
1516	268479729	4
1517	268479730	4
1518	268479731	4
1519	268479732	4
1520	268479733	4
1521	268479734	4
1522	268479735	4
1523	268479736	4
1524	268479737	4
1525	268479738	4
1526	268479739	4
1527	268479740	4
1528	268479741	4
1529	268479742	4
1530	268479743	4
1531	268479744	4
1532	268479745	4
1533	268479746	4
1534	268479747	4
1535	268479748	4
1536	268479749	4
1537	268479750	4
1538	268479751	4
1539	268479752	4
1540	268479753	4
1541	268479754	4
1542	268479755	4
1543	268479756	4
1544	268479757	4
1545	268479758	4
1546	268479759	4
1547	268479760	4
1548	268479761	4
1549	268479762	4
1550	268479763	4
1551	268479764	4
1552	268479765	4
1553	268479766	4
1554	268479767	4
1555	268480111	4
1556	268480112	4
1557	268480113	4
1558	268480114	4
1559	268480115	4
1560	268480116	4
1561	268480117	4
1562	268480118	4
1563	268480119	4
1564	268480120	4
1565	268480121	4
1566	268480122	4
1567	268480123	4
1568	268480124	4
1569	268480125	4
1570	268480126	4
1571	268480127	4
1572	268480128	4
1573	268480129	4
1574	268480130	4
1575	268480131	4
1576	268480132	4
1577	268480133	4
1578	268480134	4
1579	268480135	4
1580	268480136	4
1581	268480137	4
1582	268480138	4
1583	268480139	4
1584	268480140	4
1585	268480106	4
1586	268480107	4
1587	268480108	4
1588	268480109	4
1589	268480110	4
1590	268480143	4
1591	268480144	4
1592	268480145	4
1593	268480146	4
1594	268480147	4
1595	268480148	4
1596	268480149	4
1597	268480150	4
1598	268480151	4
1599	268480152	4
1600	268480153	4
1601	268480154	4
1602	268480155	4
1603	268480156	4
1604	268480157	4
1605	268480158	4
1606	268480159	4
1607	268480160	4
1608	268480161	4
1609	268480162	4
1610	268480163	4
1611	268480164	4
1612	268480165	4
1613	268480166	4
1614	268480167	4
1615	268480168	4
1616	268480169	4
1617	268480170	4
1618	268480171	4
1619	268480172	4
1620	268480173	4
1621	268480174	4
1622	268480175	4
1623	268480176	4
1624	268480177	4
1625	268480178	4
1626	268480179	4
1627	268480180	4
1628	268480181	4
1629	268480182	4
1630	268480183	4
1631	268480184	4
1632	268480185	4
1633	268480186	4
1634	268480187	4
1635	268480188	4
1636	268480189	4
1637	268480190	4
1638	268480191	4
1639	268480192	4
1640	268480193	4
1641	268480194	4
1642	268480195	4
1643	268480196	4
1644	268480197	4
1645	268480198	4
1646	268480199	4
1647	268480200	4
1648	268480201	4
1649	268480202	4
1650	268480203	4
1651	268480204	4
1652	268480205	4
1653	268480206	4
1654	268480207	4
1655	268480208	4
1656	268480209	4
1657	268480210	4
1658	268480211	4
