ROWID	_TabNum|INTEGER	_Class|INTEGER	_DesignID|INTEGER	_Position|INTEGER	_PositionName|INTEGER	_ColorSort|INTEGER	_ColorName|INTEGER	_StateNum|INTEGER	_Helmet|INTEGER	_Body|INTEGER	_Leg|INTEGER	_Glove|INTEGER	_Boots|INTEGER	_MainWeapon|INTEGER	_SubWeapon|INTEGER
34	15	4	2	3	1000089516	1	1000089529	1	1073855179	1073855180	0	0	0	1073855215	1073855216
35	15	4	2	3	1000089516	2	1000089530	1	1073855181	1073855182	0	0	0	1073855215	1073855216
36	15	4	2	3	1000089516	3	1000089531	1	1073855183	1073855184	0	0	0	1073855215	1073855216
37	15	5	2	3	1000089516	1	1000089532	1	1073855185	1073855186	0	0	0	1073855217	1073855218
38	15	5	2	3	1000089516	2	1000089533	1	1073855187	1073855188	0	0	0	1073855217	1073855218
39	15	5	2	3	1000089516	3	1000089534	1	1073855189	1073855190	0	0	0	1073855217	1073855218
40	15	6	2	3	1000089516	1	1000089535	1	1073855191	1073855192	0	0	0	1073855219	1073855220
41	15	6	2	3	1000089516	2	1000089536	1	1073855193	1073855194	0	0	0	1073855219	1073855220
42	15	6	2	3	1000089516	3	1000089537	1	1073855195	1073855196	0	0	0	1073855219	1073855220
43	15	7	2	3	1000089516	1	1000089538	1	1073855197	1073855198	0	0	0	1073855221	1073855222
44	15	7	2	3	1000089516	2	1000089539	1	1073855199	1073855200	0	0	0	1073855221	1073855222
45	15	7	2	3	1000089516	3	1000089540	1	1073855201	1073855202	0	0	0	1073855221	1073855222
46	15	8	2	3	1000089516	1	1000089541	1	1073855203	1073855204	0	0	0	1073855223	1073855224
47	15	8	2	3	1000089516	2	1000089542	1	1073855205	1073855206	0	0	0	1073855223	1073855224
48	15	8	2	3	1000089516	3	1000089543	1	1073855207	1073855208	0	0	0	1073855223	1073855224
49	15	1	3	4	1000090279	1	1000090280	1	1073856331	1073856332	0	0	0	1073856379	1073856380
50	15	1	3	4	1000090279	2	1000090281	1	1073856333	1073856334	0	0	0	1073856379	1073856380
51	15	1	3	4	1000090279	3	1000090282	1	1073856335	1073856336	0	0	0	1073856379	1073856380
52	15	2	3	4	1000090279	1	1000090283	1	1073856337	1073856338	0	0	0	1073856381	1073856382
53	15	2	3	4	1000090279	2	1000090284	1	1073856339	1073856340	0	0	0	1073856381	1073856382
54	15	2	3	4	1000090279	3	1000090285	1	1073856341	1073856342	0	0	0	1073856381	1073856382
55	15	3	3	4	1000090279	1	1000090286	1	1073856343	1073856344	0	0	0	1073856383	1073856384
56	15	3	3	4	1000090279	2	1000090287	1	1073856345	1073856346	0	0	0	1073856383	1073856384
57	15	3	3	4	1000090279	3	1000090288	1	1073856347	1073856348	0	0	0	1073856383	1073856384
58	15	4	3	4	1000090279	1	1000090289	1	1073856349	1073856350	0	0	0	1073856385	1073856386
59	15	4	3	4	1000090279	2	1000090290	1	1073856351	1073856352	0	0	0	1073856385	1073856386
60	15	4	3	4	1000090279	3	1000090291	1	1073856353	1073856354	0	0	0	1073856385	1073856386
61	15	5	3	4	1000090279	1	1000090292	1	1073856355	1073856356	0	0	0	1073856387	1073856388
62	15	5	3	4	1000090279	2	1000090293	1	1073856357	1073856358	0	0	0	1073856387	1073856388
63	15	5	3	4	1000090279	3	1000090294	1	1073856359	1073856360	0	0	0	1073856387	1073856388
64	15	6	3	4	1000090279	1	1000090295	1	1073856361	1073856362	0	0	0	1073856389	1073856390
65	15	6	3	4	1000090279	2	1000090296	1	1073856363	1073856364	0	0	0	1073856389	1073856390
66	15	6	3	4	1000090279	3	1000090297	1	1073856365	1073856366	0	0	0	1073856389	1073856390
67	15	7	3	4	1000090279	1	1000090298	1	1073856367	1073856368	0	0	0	1073856391	1073856392
68	15	7	3	4	1000090279	2	1000090299	1	1073856369	1073856370	0	0	0	1073856391	1073856392
69	15	7	3	4	1000090279	3	1000090300	1	1073856371	1073856372	0	0	0	1073856391	1073856392
70	15	8	3	4	1000090279	1	1000090301	1	1073856373	1073856374	0	0	0	1073856393	1073856394
71	15	8	3	4	1000090279	2	1000090302	1	1073856375	1073856376	0	0	0	1073856393	1073856394
72	15	8	3	4	1000090279	3	1000090303	1	1073856377	1073856378	0	0	0	1073856393	1073856394
73	15	1	4	5	1000091116	1	1000091117	1	1073853900	1073853901	1073853902	1073853903	1073853904	1073854020	1073854021
74	15	1	4	5	1000091116	2	1000091118	1	1073853905	1073853906	1073853907	1073853908	1073853909	1073854126	1073854127
75	15	1	4	5	1000091116	3	1000091119	1	1073853910	1073853911	1073853912	1073853913	1073853914	1073854142	1073854143
76	15	2	4	5	1000091116	1	1000091120	1	1073853915	1073853916	1073853917	1073853918	1073853919	1073854022	1073854023
77	15	2	4	5	1000091116	2	1000091121	1	1073853920	1073853921	1073853922	1073853923	1073853924	1073854128	1073854129
78	15	2	4	5	1000091116	3	1000091122	1	1073853925	1073853926	1073853927	1073853928	1073853929	1073854144	1073854145
79	15	3	4	5	1000091116	1	1000091123	1	1073853930	1073853931	1073853932	1073853933	1073853934	1073854024	1073854025
80	15	3	4	5	1000091116	2	1000091124	1	1073853935	1073853936	1073853937	1073853938	1073853939	1073854130	1073854131
81	15	3	4	5	1000091116	3	1000091125	1	1073853940	1073853941	1073853942	1073853943	1073853944	1073854146	1073854147
82	15	4	4	5	1000091116	1	1000091126	1	1073853945	1073853946	1073853947	1073853948	1073853949	1073854026	1073854027
83	15	4	4	5	1000091116	2	1000091127	1	1073853950	1073853951	1073853952	1073853953	1073853954	1073854132	1073854133
84	15	4	4	5	1000091116	3	1000091128	1	1073853955	1073853956	1073853957	1073853958	1073853959	1073854148	1073854149
85	15	5	4	5	1000091116	1	1000091129	1	1073853960	1073853961	1073853962	1073853963	1073853964	1073854028	1073854029
86	15	5	4	5	1000091116	2	1000091130	1	1073853965	1073853966	1073853967	1073853968	1073853969	1073854134	1073854135
87	15	5	4	5	1000091116	3	1000091131	1	1073853970	1073853971	1073853972	1073853973	1073853974	1073854150	1073854151
88	15	6	4	5	1000091116	1	1000091132	1	1073853975	1073853976	1073853977	1073853978	1073853979	1073854030	1073854031
89	15	6	4	5	1000091116	2	1000091133	1	1073853980	1073853981	1073853982	1073853983	1073853984	1073854136	1073854137
90	15	6	4	5	1000091116	3	1000091134	1	1073853985	1073853986	1073853987	1073853988	1073853989	1073854152	1073854153
91	15	7	4	5	1000091116	1	1000091135	1	1073853990	1073853991	1073853992	1073853993	1073853994	1073854032	1073854033
92	15	7	4	5	1000091116	2	1000091136	1	1073853995	1073853996	1073853997	1073853998	1073853999	1073854138	1073854139
93	15	7	4	5	1000091116	3	1000091137	1	1073854000	1073854001	1073854002	1073854003	1073854004	1073854154	1073854155
94	15	8	4	5	1000091116	1	1000091138	1	1073854005	1073854006	1073854007	1073854008	1073854009	1073854034	1073854035
95	15	8	4	5	1000091116	2	1000091139	1	1073854010	1073854011	1073854012	1073854013	1073854014	1073854140	1073854141
96	15	8	4	5	1000091116	3	1000091140	1	1073854015	1073854016	1073854017	1073854018	1073854019	1073854156	1073854157
97	15	1	5	6	1000092924	1	1000092856	1	1073859712	1073859713	1073859714	1073859715	1073859716	1073859917	1073859918
98	15	1	5	6	1000092924	2	1000092857	1	1073859717	1073859718	1073859719	1073859720	1073859721	1073859917	1073859918
99	15	1	5	6	1000092924	3	1000092858	1	1073859722	1073859723	1073859724	1073859725	1073859726	1073859917	1073859918
100	15	2	5	6	1000092924	1	1000092859	1	1073859727	1073859728	1073859729	1073859730	1073859731	1073859919	1073859920
101	15	2	5	6	1000092924	2	1000092860	1	1073859732	1073859733	1073859734	1073859735	1073859736	1073859919	1073859920
102	15	2	5	6	1000092924	3	1000092861	1	1073859737	1073859738	1073859739	1073859740	1073859741	1073859919	1073859920
103	15	3	5	6	1000092924	1	1000092862	1	1073859742	1073859743	1073859744	1073859745	1073859746	1073859921	1073859922
104	15	3	5	6	1000092924	2	1000092863	1	1073859747	1073859748	1073859749	1073859750	1073859751	1073859921	1073859922
105	15	3	5	6	1000092924	3	1000092864	1	1073859752	1073859753	1073859754	1073859755	1073859756	1073859921	1073859922
106	15	4	5	6	1000092924	1	1000092865	1	1073859757	1073859758	1073859759	1073859760	1073859761	1073859923	1073859924
107	15	4	5	6	1000092924	2	1000092866	1	1073859762	1073859763	1073859764	1073859765	1073859766	1073859923	1073859924
108	15	4	5	6	1000092924	3	1000092867	1	1073859767	1073859768	1073859769	1073859770	1073859771	1073859923	1073859924
109	15	5	5	6	1000092924	1	1000092868	1	1073859772	1073859773	1073859774	1073859775	1073859776	1073859925	1073859926
110	15	5	5	6	1000092924	2	1000092869	1	1073859777	1073859778	1073859779	1073859780	1073859781	1073859925	1073859926
111	15	5	5	6	1000092924	3	1000092870	1	1073859782	1073859783	1073859784	1073859785	1073859786	1073859925	1073859926
112	15	6	5	6	1000092924	1	1000092871	1	1073859787	1073859788	1073859789	1073859790	1073859791	1073859927	1073859928
113	15	6	5	6	1000092924	2	1000092872	1	1073859792	1073859793	1073859794	1073859795	1073859796	1073859927	1073859928
114	15	6	5	6	1000092924	3	1000092873	1	1073859797	1073859798	1073859799	1073859800	1073859801	1073859927	1073859928
115	15	7	5	6	1000092924	1	1000092874	1	1073859802	1073859803	1073859804	1073859805	1073859806	1073859929	1073859930
116	15	7	5	6	1000092924	2	1000092875	1	1073859807	1073859808	1073859809	1073859810	1073859811	1073859929	1073859930
117	15	7	5	6	1000092924	3	1000092876	1	1073859812	1073859813	1073859814	1073859815	1073859816	1073859929	1073859930
118	15	8	5	6	1000092924	1	1000092877	1	1073859817	1073859818	1073859819	1073859820	1073859821	1073859931	1073859932
119	15	8	5	6	1000092924	2	1000092878	1	1073859822	1073859823	1073859824	1073859825	1073859826	1073859931	1073859932
120	15	8	5	6	1000092924	3	1000092879	1	1073859827	1073859828	1073859829	1073859830	1073859831	1073859931	1073859932
121	15	9	5	6	1000092924	1	1000092880	1	1073859087	1073859088	1073859089	1073859090	1073859091	1073859103	1073859104
122	15	9	5	6	1000092924	2	1000092881	1	1073859092	1073859093	1073859094	1073859095	1073859096	1073859103	1073859104
123	15	9	5	6	1000092924	3	1000092882	1	1073859097	1073859098	1073859099	1073859100	1073859101	1073859103	1073859104
124	15	1	6	7	1000096057	1	1000095456	1	1073861275	1073861276	1073861277	1073861278	1073861279	1073861410	1073861411
125	15	1	6	7	1000096057	2	1000095457	1	1073861280	1073861281	1073861282	1073861283	1073861284	1073861410	1073861411
126	15	1	6	7	1000096057	3	1000095458	1	1073861285	1073861286	1073861287	1073861288	1073861289	1073861410	1073861411
127	15	2	6	7	1000096057	1	1000095459	1	1073861290	1073861291	1073861292	1073861293	1073861294	1073861412	1073861413
128	15	2	6	7	1000096057	2	1000095460	1	1073861295	1073861296	1073861297	1073861298	1073861299	1073861412	1073861413
129	15	2	6	7	1000096057	3	1000095461	1	1073861300	1073861301	1073861302	1073861303	1073861304	1073861412	1073861413
130	15	3	6	7	1000096057	1	1000095462	1	1073861305	1073861306	1073861307	1073861308	1073861309	1073861414	1073861415
131	15	3	6	7	1000096057	2	1000095463	1	1073861310	1073861311	1073861312	1073861313	1073861314	1073861414	1073861415
132	15	3	6	7	1000096057	3	1000095464	1	1073861315	1073861316	1073861317	1073861318	1073861319	1073861414	1073861415
133	15	4	6	7	1000096057	1	1000095465	1	1073861320	1073861321	1073861322	1073861323	1073861324	1073861416	1073861417
134	15	4	6	7	1000096057	2	1000095466	1	1073861325	1073861326	1073861327	1073861328	1073861329	1073861416	1073861417
135	15	4	6	7	1000096057	3	1000095467	1	1073861330	1073861331	1073861332	1073861333	1073861334	1073861416	1073861417
136	15	5	6	7	1000096057	1	1000095468	1	1073861335	1073861336	1073861337	1073861338	1073861339	1073861418	1073861419
137	15	5	6	7	1000096057	2	1000095469	1	1073861340	1073861341	1073861342	1073861343	1073861344	1073861418	1073861419
138	15	5	6	7	1000096057	3	1000095470	1	1073861345	1073861346	1073861347	1073861348	1073861349	1073861418	1073861419
139	15	6	6	7	1000096057	1	1000095471	1	1073861350	1073861351	1073861352	1073861353	1073861354	1073861420	1073861421
140	15	6	6	7	1000096057	2	1000095472	1	1073861355	1073861356	1073861357	1073861358	1073861359	1073861420	1073861421
141	15	6	6	7	1000096057	3	1000095473	1	1073861360	1073861361	1073861362	1073861363	1073861364	1073861420	1073861421
142	15	7	6	7	1000096057	1	1000095474	1	1073861365	1073861366	1073861367	1073861368	1073861369	1073861422	1073861423
143	15	7	6	7	1000096057	2	1000095475	1	1073861370	1073861371	1073861372	1073861373	1073861374	1073861422	1073861423
144	15	7	6	7	1000096057	3	1000095476	1	1073861375	1073861376	1073861377	1073861378	1073861379	1073861422	1073861423
145	15	8	6	7	1000096057	1	1000095477	1	1073861380	1073861381	1073861382	1073861383	1073861384	1073861424	1073861425
146	15	8	6	7	1000096057	2	1000095478	1	1073861385	1073861386	1073861387	1073861388	1073861389	1073861424	1073861425
147	15	8	6	7	1000096057	3	1000095479	1	1073861390	1073861391	1073861392	1073861393	1073861394	1073861424	1073861425
148	15	9	6	7	1000096057	1	1000095480	1	1073861395	1073861396	1073861397	1073861398	1073861399	1073861426	1073861427
149	15	9	6	7	1000096057	2	1000095481	1	1073861400	1073861401	1073861402	1073861403	1073861404	1073861426	1073861427
150	15	9	6	7	1000096057	3	1000095482	1	1073861405	1073861406	1073861407	1073861408	1073861409	1073861426	1073861427
151	15	1	7	8	1000096026	1	1000096748	1	1073860647	1073860648	0	0	0	1073860702	1073860703
152	15	1	7	8	1000096026	2	1000096749	1	1073860649	1073860650	0	0	0	1073860702	1073860703
153	15	1	7	8	1000096026	3	1000096750	1	1073860651	1073860652	0	0	0	1073860702	1073860703
154	15	2	7	8	1000096026	1	1000096751	1	1073860653	1073860654	0	0	0	1073860704	1073860705
155	15	2	7	8	1000096026	2	1000096752	1	1073860655	1073860656	0	0	0	1073860704	1073860705
156	15	2	7	8	1000096026	3	1000096753	1	1073860657	1073860658	0	0	0	1073860704	1073860705
157	15	3	7	8	1000096026	1	1000096754	1	1073860659	1073860660	0	0	0	1073860706	1073860707
158	15	3	7	8	1000096026	2	1000096755	1	1073860661	1073860662	0	0	0	1073860706	1073860707
159	15	3	7	8	1000096026	3	1000096756	1	1073860663	1073860664	0	0	0	1073860706	1073860707
160	15	4	7	8	1000096026	1	1000096757	1	1073860665	1073860666	0	0	0	1073860708	1073860709
161	15	4	7	8	1000096026	2	1000096758	1	1073860667	1073860668	0	0	0	1073860708	1073860709
162	15	4	7	8	1000096026	3	1000096759	1	1073860669	1073860670	0	0	0	1073860708	1073860709
163	15	5	7	8	1000096026	1	1000096760	1	1073860671	1073860672	0	0	0	1073860710	1073860711
164	15	5	7	8	1000096026	2	1000096761	1	1073860673	1073860674	0	0	0	1073860710	1073860711
165	15	5	7	8	1000096026	3	1000096762	1	1073860675	1073860676	0	0	0	1073860710	1073860711
166	15	6	7	8	1000096026	1	1000096763	1	1073860677	1073860678	0	0	0	1073860712	1073860713
167	15	6	7	8	1000096026	2	1000096764	1	1073860679	1073860680	0	0	0	1073860712	1073860713
168	15	6	7	8	1000096026	3	1000096765	1	1073860681	1073860682	0	0	0	1073860712	1073860713
169	15	7	7	8	1000096026	1	1000096766	1	1073860683	1073860684	0	0	0	1073860714	1073860715
170	15	7	7	8	1000096026	2	1000096767	1	1073860685	1073860686	0	0	0	1073860714	1073860715
171	15	7	7	8	1000096026	3	1000096768	1	1073860687	1073860688	0	0	0	1073860714	1073860715
172	15	8	7	8	1000096026	1	1000096769	1	1073860689	1073860690	0	0	0	1073860716	1073860717
173	15	8	7	8	1000096026	2	1000096770	1	1073860691	1073860692	0	0	0	1073860716	1073860717
174	15	8	7	8	1000096026	3	1000096771	1	1073860693	1073860694	0	0	0	1073860716	1073860717
175	15	9	7	8	1000096026	1	1000096772	1	1073860695	1073860696	0	0	0	1073860718	1073860719
176	15	9	7	8	1000096026	2	1000096773	1	1073860697	1073860698	0	0	0	1073860718	1073860719
177	15	9	7	8	1000096026	3	1000096774	1	1073860699	1073860700	0	0	0	1073860718	1073860719
178	15	1	8	9	1000098951	1	1000087034	1	1073851897	1073851898	1073851899	1073851900	1073851901	0	0
179	15	1	8	9	1000098951	2	1000087035	1	1073851902	1073851903	1073851904	1073851905	1073851906	0	0
180	15	2	8	9	1000098951	1	1000087036	1	1073851907	1073851908	1073851909	1073851910	1073851911	0	0
181	15	2	8	9	1000098951	2	1000087037	1	1073851912	1073851913	1073851914	1073851915	1073851916	0	0
182	15	3	8	9	1000098951	1	1000087038	1	1073851917	1073851918	1073851919	1073851920	1073851921	0	0
183	15	3	8	9	1000098951	2	1000087039	1	1073851922	1073851923	1073851924	1073851925	1073851926	0	0
184	15	4	8	9	1000098951	1	1000087040	1	1073851927	1073851928	1073851929	1073851930	1073851931	0	0
185	15	4	8	9	1000098951	2	1000087041	1	1073851932	1073851933	1073851934	1073851935	1073851936	0	0
186	15	5	8	9	1000098951	1	1000087042	1	1073851937	1073851938	1073851939	1073851940	1073851941	0	0
187	15	5	8	9	1000098951	2	1000087043	1	1073851942	1073851943	1073851944	1073851945	1073851946	0	0
188	15	6	8	9	1000098951	1	1000087044	1	1073851947	1073851948	1073851949	1073851950	1073851951	0	0
189	15	6	8	9	1000098951	2	1000087045	1	1073851952	1073851953	1073851954	1073851955	1073851956	0	0
190	15	7	8	9	1000098951	1	1000087046	1	1073851957	1073851958	1073851959	1073851960	1073851961	0	0
191	15	7	8	9	1000098951	2	1000087047	1	1073851962	1073851963	1073851964	1073851965	1073851966	0	0
192	15	8	8	9	1000098951	1	1000087048	1	1073851967	1073851968	1073851969	1073851970	1073851971	0	0
193	15	8	8	9	1000098951	2	1000087049	1	1073851972	1073851973	1073851974	1073851975	1073851976	0	0
194	15	9	8	9	1000098951	1	1000097349	1	1073862360	1073862361	1073862362	1073862363	1073862364	0	0
195	15	9	8	9	1000098951	2	1000097846	1	1073862365	1073862366	1073862367	1073862368	1073862369	0	0
196	15	1	9	10	1000099872	1	1000099810	1	1073866997	1073866998	0	0	0	1073864394	1073864395
197	15	1	9	10	1000099872	2	1000099811	1	1073867002	1073867003	0	0	0	1073864394	1073864395
198	15	1	9	10	1000099872	3	1000099812	1	1073867007	1073867008	0	0	0	1073864394	1073864395
199	15	2	9	10	1000099872	1	1000099813	1	1073867012	1073867013	0	0	0	1073864396	1073864397
200	15	2	9	10	1000099872	2	1000099814	1	1073867017	1073867018	0	0	0	1073864396	1073864397
201	15	2	9	10	1000099872	3	1000099815	1	1073867022	1073867023	0	0	0	1073864396	1073864397
202	15	3	9	10	1000099872	1	1000099816	1	1073867027	1073867028	0	0	0	1073864398	1073864399
203	15	3	9	10	1000099872	2	1000099817	1	1073867032	1073867033	0	0	0	1073864398	1073864399
204	15	3	9	10	1000099872	3	1000099818	1	1073867037	1073867038	0	0	0	1073864398	1073864399
205	15	4	9	10	1000099872	1	1000099819	1	1073867042	1073867043	0	0	0	1073864400	1073864401
206	15	4	9	10	1000099872	2	1000099820	1	1073867047	1073867048	0	0	0	1073864400	1073864401
207	15	4	9	10	1000099872	3	1000099821	1	1073867052	1073867053	0	0	0	1073864400	1073864401
208	15	5	9	10	1000099872	1	1000099822	1	1073867057	1073867058	0	0	0	1073864402	1073864403
209	15	5	9	10	1000099872	2	1000099823	1	1073867062	1073867063	0	0	0	1073864402	1073864403
210	15	5	9	10	1000099872	3	1000099824	1	1073867067	1073867068	0	0	0	1073864402	1073864403
211	15	6	9	10	1000099872	1	1000099825	1	1073867072	1073867073	0	0	0	1073864404	1073864405
212	15	6	9	10	1000099872	2	1000099826	1	1073867077	1073867078	0	0	0	1073864404	1073864405
213	15	6	9	10	1000099872	3	1000099827	1	1073867082	1073867083	0	0	0	1073864404	1073864405
214	15	7	9	10	1000099872	1	1000099828	1	1073867087	1073867088	0	0	0	1073864406	1073864407
215	15	7	9	10	1000099872	2	1000099829	1	1073867092	1073867093	0	0	0	1073864406	1073864407
216	15	7	9	10	1000099872	3	1000099830	1	1073867097	1073867098	0	0	0	1073864406	1073864407
217	15	8	9	10	1000099872	1	1000099831	1	1073867102	1073867103	0	0	0	1073864408	1073864409
218	15	8	9	10	1000099872	2	1000099832	1	1073867107	1073867108	0	0	0	1073864408	1073864409
219	15	8	9	10	1000099872	3	1000099833	1	1073867112	1073867113	0	0	0	1073864408	1073864409
220	15	9	9	10	1000099872	1	1000099834	1	1073867117	1073867118	0	0	0	1073864410	1073864411
221	15	9	9	10	1000099872	2	1000099835	1	1073867122	1073867123	0	0	0	1073864410	1073864411
222	15	9	9	10	1000099872	3	1000099836	1	1073867127	1073867128	0	0	0	1073864410	1073864411
223	15	1	10	11	1000100378	1	1000100344	1	1073865170	1073865171	1073865172	1073865173	1073865174	1073864729	1073864730
224	15	1	10	11	1000100378	2	1000100345	1	1073865175	1073865176	1073865177	1073865178	1073865179	1073864729	1073864730
225	15	1	10	11	1000100378	3	1000100346	1	1073865180	1073865181	1073865182	1073865183	1073865184	1073864729	1073864730
226	15	2	10	11	1000100378	1	1000100347	1	1073865185	1073865186	1073865187	1073865188	1073865189	1073864731	1073864732
227	15	2	10	11	1000100378	2	1000100348	1	1073865190	1073865191	1073865192	1073865193	1073865194	1073864731	1073864732
228	15	2	10	11	1000100378	3	1000100349	1	1073865195	1073865196	1073865197	1073865198	1073865199	1073864731	1073864732
229	15	3	10	11	1000100378	1	1000100350	1	1073865200	1073865201	1073865202	1073865203	1073865204	1073864733	1073864734
230	15	3	10	11	1000100378	2	1000100351	1	1073865205	1073865206	1073865207	1073865208	1073865209	1073864733	1073864734
231	15	3	10	11	1000100378	3	1000100352	1	1073865210	1073865211	1073865212	1073865213	1073865214	1073864733	1073864734
232	15	4	10	11	1000100378	1	1000100353	1	1073865215	1073865216	1073865217	1073865218	1073865219	1073864735	1073864736
233	15	4	10	11	1000100378	2	1000100354	1	1073865220	1073865221	1073865222	1073865223	1073865224	1073864735	1073864736
234	15	4	10	11	1000100378	3	1000100355	1	1073865225	1073865226	1073865227	1073865228	1073865229	1073864735	1073864736
235	15	5	10	11	1000100378	1	1000100356	1	1073865230	1073865231	1073865232	1073865233	1073865234	1073864737	1073864738
236	15	5	10	11	1000100378	2	1000100357	1	1073865235	1073865236	1073865237	1073865238	1073865239	1073864737	1073864738
237	15	5	10	11	1000100378	3	1000100358	1	1073865240	1073865241	1073865242	1073865243	1073865244	1073864737	1073864738
238	15	6	10	11	1000100378	1	1000100359	1	1073865245	1073865246	1073865247	1073865248	1073865249	1073864739	1073864740
239	15	6	10	11	1000100378	2	1000100360	1	1073865250	1073865251	1073865252	1073865253	1073865254	1073864739	1073864740
240	15	6	10	11	1000100378	3	1000100361	1	1073865255	1073865256	1073865257	1073865258	1073865259	1073864739	1073864740
241	15	7	10	11	1000100378	1	1000100362	1	1073865260	1073865261	1073865262	1073865263	1073865264	1073864741	1073864742
242	15	7	10	11	1000100378	2	1000100363	1	1073865265	1073865266	1073865267	1073865268	1073865269	1073864741	1073864742
243	15	7	10	11	1000100378	3	1000100364	1	1073865270	1073865271	1073865272	1073865273	1073865274	1073864741	1073864742
244	15	8	10	11	1000100378	1	1000100365	1	1073865275	1073865276	1073865277	1073865278	1073865279	1073864743	1073864744
245	15	8	10	11	1000100378	2	1000100366	1	1073865280	1073865281	1073865282	1073865283	1073865284	1073864743	1073864744
246	15	8	10	11	1000100378	3	1000100367	1	1073865285	1073865286	1073865287	1073865288	1073865289	1073864743	1073864744
247	15	9	10	11	1000100378	1	1000100368	1	1073865290	1073865291	1073865292	1073865293	1073865294	1073864745	1073864746
248	15	9	10	11	1000100378	2	1000100369	1	1073865295	1073865296	1073865297	1073865298	1073865299	1073864745	1073864746
