ROWID	_NeedSetNum1|INTEGER	_State1|INTEGER	_State1Value|TEXT	_NeedSetNum2|INTEGER	_State2|INTEGER	_State2Value|TEXT	_NeedSetNum3|INTEGER	_State3|INTEGER	_State3Value|TEXT	_NeedSetNum4|INTEGER	_State4|INTEGER	_State4Value|TEXT	_NeedSetNum5|INTEGER	_State5|INTEGER	_State5Value|TEXT	_NeedSetNum6|INTEGER	_State6|INTEGER	_State6Value|TEXT	_NeedSetNum7|INTEGER	_State7|INTEGER	_State7Value|TEXT	_NeedSetNum8|INTEGER	_State8|INTEGER	_State8Value|TEXT	_NeedSetNum9|INTEGER	_State9|INTEGER	_State9Value|TEXT	_NeedSetNum10|INTEGER	_State10|INTEGER	_State10Value|TEXT	_NeedSetNum11|INTEGER	_State11|INTEGER	_State11Value|TEXT	_NeedSetNum12|INTEGER	_State12|INTEGER	_State12Value|TEXT	_NeedSkinSetNum|INTEGER	_SoundChangeWord|TEXT	_SkillID|INTEGER	_SkillLevel|INTEGER	_NeedCSSetNum|INTEGER	_TransformPartsNum|INTEGER	_TransformItemID|INTEGER
17304320	3	75	0.02001	3	76	0.02001	5	75	0.02001	5	76	0.02001	5	77	0.02001	7	75	0.02001	7	76	0.02001	7	52	0.02001	7	77	0.02001	0	0		0	0		0	0		0		0	0	0	0	0
17304576	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	77	0.02001	7	63	0.02001	7	65	0.02001	7	61	0.02001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17304832	3	75	0.02001	3	76	0.02001	5	56	0.02001	5	57	0.02001	5	77	0.02001	7	63	0.02001	7	65	0.02001	7	61	0.02001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17305088	3	75	0.02001	3	76	0.02001	5	17	0.02001	5	16	0.02001	7	63	0.02001	7	65	0.02001	7	61	0.02001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17305344	3	75	0.02001	3	76	0.02001	5	19	0.02001	5	77	0.02001	7	63	0.02001	7	65	0.02001	7	61	0.02001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17305600	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	7	75	0.02001	7	76	0.02001	7	50	0.01001	7	51	0.01001	7	52	0.01001	7	53	0.01001	0		0	0	0	0	0
17305856	3	8	100	3	9	100	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17306112	3	8	200	3	9	200	5	54	0.05001	5	55	0.05001	5	56	0.05001	5	57	0.05001	0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17306368	2	74	0.05001	2	74	0.05001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17306624	4	75	0.02001	4	76	0.02001	4	54	0.02001	4	55	0.02001	4	77	0.02001	4	62	0.02001	4	64	0.02001	4	60	0.02001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17306880	4	75	0.02001	4	76	0.02001	4	56	0.02001	4	57	0.02001	4	77	0.02001	4	62	0.02001	4	64	0.02001	4	60	0.02001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17307136	4	75	0.02001	4	76	0.02001	4	17	0.02001	4	16	0.02001	4	62	0.02001	4	64	0.02001	4	60	0.02001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17307392	4	75	0.02001	4	76	0.02001	4	19	0.02001	4	77	0.02001	4	62	0.02001	4	64	0.02001	4	60	0.02001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17307648	4	75	0.03001	4	76	0.03001	4	54	0.02001	4	55	0.02001	4	56	0.02001	4	57	0.02001	4	50	0.01001	4	51	0.01001	4	52	0.01001	4	53	0.01001	4	62	0.02001	0	0		0		0	0	0	0	0
17307904	2	25	250	2	26	175	2	8	117	2	9	137	3	4	19	3	5	19	3	6	19	3	7	19	3	0		0	0		0	0		0	0		0		0	0	0	0	0
17308160	2	25	450	2	26	315	2	8	168	2	9	196	3	4	31	3	5	31	3	6	31	3	7	31	3	0		0	0		0	0		0	0		0		0	0	0	0	0
17308416	2	25	720	2	26	504	2	8	240	2	9	280	3	4	45	3	5	45	3	6	45	3	7	45	3	0		0	0		0	0		0	0		0		0	0	0	0	0
17308672	2	74	0.05001	2	74	0.05001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17308928	2	64	0.01501	2	62	0.01501	2	60	0.01501	5	0	15	5	1	15	5	2	15	5	3	15	8	4	20	8	5	20	8	6	20	8	7	20	8	12	400	0		0	0	0	0	0
17309184	2	54	0.09001	2	55	0.09001	2	56	0.05001	2	57	0.05001	2	75	0.02001	2	76	0.02001	2	62	0.07501	2	64	0.01001	2	60	0.01001	0	0		0	0		0	0		0		0	0	0	0	0
17309440	2	54	0.05001	2	55	0.05001	2	56	0.09001	2	57	0.09001	2	75	0.02001	2	76	0.02001	2	62	0.07501	2	64	0.01001	2	60	0.01001	0	0		0	0		0	0		0		0	0	0	0	0
17309696	2	56	0.05001	2	57	0.05001	2	19	0.09001	2	75	0.02001	2	76	0.02001	2	62	0.07501	2	64	0.01001	2	60	0.01001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17309952	2	16	0.07501	2	17	0.07501	2	75	0.02001	2	76	0.02001	2	62	0.07501	2	64	0.01001	2	60	0.01001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17310208	2	56	0.05001	2	57	0.05001	2	18	0.09001	2	75	0.02001	2	76	0.02001	2	62	0.07501	2	64	0.01001	2	60	0.01001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17310464	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	7	50	0.01001	7	51	0.01001	7	52	0.01001	7	53	0.01001	0	0		0	0		0		0	0	0	0	0
17310720	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	7	50	0.01001	7	51	0.01001	7	52	0.01001	7	53	0.01001	7	62	0.05001	0	0		0		0	0	0	0	0
17310976	8	50	0.08001	8	51	0.08001	8	52	0.08001	8	53	0.08001	8	75	0.10001	8	54	0.08001	8	55	0.08001	8	56	0.08001	8	57	0.08001	8	0		0	0		0	0		0		0	0	0	0	0
17311232	8	50	0.08001	8	51	0.08001	8	52	0.08001	8	53	0.08001	8	75	0.10001	8	54	0.08001	8	55	0.08001	8	56	0.08001	8	57	0.08001	8	0		0	0		0	0		0		0	0	0	0	0
17311488	8	50	0.08001	8	51	0.08001	8	52	0.08001	8	53	0.08001	8	75	0.10001	8	54	0.08001	8	55	0.08001	8	56	0.08001	8	57	0.08001	8	0		0	0		0	0		0		0	0	0	0	0
17311744	8	50	0.08001	8	51	0.08001	8	52	0.08001	8	53	0.08001	8	75	0.10001	8	54	0.08001	8	55	0.08001	8	56	0.08001	8	57	0.08001	8	0		0	0		0	0		0		0	0	0	0	0
17312000	4	75	0.02001	4	76	0.02001	4	50	0.01001	4	51	0.01001	4	52	0.01001	4	53	0.01001	0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17312256	8	50	0.08001	8	51	0.08001	8	52	0.08001	8	53	0.08001	8	75	0.10001	8	54	0.08001	8	55	0.08001	8	56	0.08001	8	57	0.08001	8	0		0	0		0	0		0		0	0	0	0	0
17312512	2	54	0.09001	2	55	0.09001	2	56	0.05001	2	57	0.05001	2	75	0.01001	2	76	0.03001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17312768	2	54	0.05001	2	55	0.05001	2	56	0.09001	2	57	0.09001	2	75	0.01001	2	76	0.03001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17313024	2	54	0.07001	2	55	0.07001	2	56	0.07001	2	57	0.07001	2	75	0.01001	2	76	0.03001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17313280	2	54	0.09001	2	55	0.09001	2	56	0.05001	2	57	0.05001	2	75	0.02001	2	76	0.04001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17313536	2	54	0.05001	2	55	0.05001	2	56	0.09001	2	57	0.09001	2	75	0.02001	2	76	0.04001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17313792	2	54	0.07001	2	55	0.07001	2	56	0.07001	2	57	0.07001	2	75	0.02001	2	76	0.04001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17314048	2	56	0.05001	2	57	0.05001	2	19	0.07501	2	75	0.05001	2	76	0.01001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17314304	2	56	0.05001	2	57	0.05001	2	17	0.07501	2	75	0.05001	2	76	0.01001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17314560	2	56	0.05001	2	57	0.05001	2	16	0.07501	2	75	0.05001	2	76	0.01001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17314816	2	54	0.09001	2	55	0.09001	2	56	0.05001	2	57	0.05001	2	75	0.01001	2	76	0.02001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17315072	2	56	0.05001	2	57	0.05001	2	18	0.09001	2	75	0.01001	2	76	0.02001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17315328	2	54	0.07001	2	55	0.07001	2	56	0.07001	2	57	0.07001	2	75	0.01001	2	76	0.02001	2	12	300	2	20	0.01001	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17315584	4	75	0.02001	4	76	0.02001	4	54	0.02001	4	55	0.02001	4	56	0.02001	4	57	0.02001	4	50	0.01001	4	51	0.01001	4	52	0.01001	4	53	0.01001	4	62	0.05001	0	0		0		0	0	0	0	0
17315840	3	14	250	3	10	250	3	11	150	3	3	30	4	12	250	4	27	2	4	15	150	4	29	10	0	0		0	0		0	0		0	0		0		0	0	0	0	0
17316096	3	75	0.02001	3	76	0.02001	5	77	0.02001	7	60	0.03001	7	64	0.03001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17316352	5	60	0.03001	5	64	0.03001	5	62	0.05001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
17316608	3	54	0.09001	3	55	0.09001	3	56	0.05001	3	57	0.05001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
17316864	3	54	0.05001	3	55	0.05001	3	56	0.09001	3	57	0.09001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
17317120	3	54	0.07001	3	55	0.07001	3	56	0.07001	3	57	0.07001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
17317376	3	54	0.09001	3	55	0.09001	3	56	0.05001	3	57	0.05001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
17317632	3	54	0.05001	3	55	0.05001	3	56	0.09001	3	57	0.09001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
17317888	3	54	0.07001	3	55	0.07001	3	56	0.07001	3	57	0.07001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
17318144	3	56	0.05001	3	57	0.05001	3	19	0.07501	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0	0		0		0	0	0	0	0
17318400	3	56	0.05001	3	57	0.05001	3	17	0.07501	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0	0		0		0	0	0	0	0
17318656	3	56	0.05001	3	57	0.05001	3	16	0.07501	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0	0		0		0	0	0	0	0
17318912	3	54	0.09001	3	55	0.09001	3	56	0.05001	3	57	0.05001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
17319168	3	54	0.05001	3	55	0.05001	3	56	0.09001	3	57	0.09001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
17319424	3	54	0.07001	3	55	0.07001	3	56	0.07001	3	57	0.07001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
17319680	5	75	0.02001	5	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	5	50	0.01001	5	51	0.01001	5	52	0.01001	5	53	0.01001	5	62	0.05001	0	0		0		0	0	0	0	0
872415233	3	54	0.09001	3	55	0.09001	3	56	0.05001	3	57	0.05001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
872415234	3	54	0.05001	3	55	0.05001	3	56	0.09001	3	57	0.09001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
872415235	3	54	0.07001	3	55	0.07001	3	56	0.07001	3	57	0.07001	3	75	0.04001	3	76	0.04001	3	12	500	3	27	20	4	4	40	4	5	40	4	6	40	4	7	40	0		0	0	0	0	0
872415236	2	4	220	2	5	220	2	6	220	2	7	220	2	12	600	2	25	2000	2	26	2000	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415237	2	54	0.01001	2	55	0.01001	2	25	150	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415238	2	54	0.02001	2	55	0.02001	2	25	150	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415239	2	54	0.03001	2	55	0.03001	2	25	300	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415240	2	56	0.01001	2	57	0.01001	2	26	150	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415241	2	56	0.02001	2	57	0.02001	2	26	150	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415242	2	56	0.03001	2	57	0.03001	2	26	300	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415243	2	18	0.01001	2	19	0.01001	2	26	150	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415244	2	18	0.02001	2	19	0.02001	2	26	150	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415245	2	18	0.03001	2	19	0.03001	2	26	300	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415246	2	16	0.01001	2	17	0.01001	2	26	150	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415247	2	16	0.02001	2	17	0.02001	2	26	150	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415248	2	16	0.03001	2	17	0.03001	2	26	300	2	27	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415249	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	7	50	0.01001	7	51	0.01001	7	52	0.01001	7	53	0.01001	7	62	0.05001	0	0		0		0	0	0	0	0
872415250	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415251	2	25	1500	2	26	1500	2	62	0.05001	2	0	60	2	1	60	2	2	60	2	3	60	3	4	200	3	5	200	3	6	200	3	7	200	3	29	100	0		0	0	0	0	0
872415252	3	75	0.03001	3	76	0.03001	5	54	0.03001	5	55	0.03001	5	56	0.03001	5	57	0.03001	7	50	0.02001	7	51	0.02001	7	52	0.02001	7	53	0.02001	0	0		0	0		0		0	0	0	0	0
872415253	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	56	0.09001	7	57	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415254	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.09001	7	55	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415255	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.04001	7	55	0.04001	7	56	0.04001	7	57	0.04001	7	12	600	0	0		0		0	0	0	0	0
872415256	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	56	0.09001	7	57	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415257	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.09001	7	55	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415258	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.04001	7	55	0.04001	7	56	0.04001	7	57	0.04001	7	12	600	0	0		0		0	0	0	0	0
872415259	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	19	0.07501	7	12	600	0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415260	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	17	0.07501	7	12	600	0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415261	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	16	0.07501	7	12	600	0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415262	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	56	0.09001	7	57	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415263	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.09001	7	55	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415264	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.04001	7	55	0.04001	7	56	0.04001	7	57	0.04001	7	12	600	0	0		0		0	0	0	0	0
872415265	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	56	0.09001	7	57	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415266	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.09001	7	55	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415267	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.04001	7	55	0.04001	7	56	0.04001	7	57	0.04001	7	12	600	0	0		0		0	0	0	0	0
872415268	5	25	500	5	26	500	5	10	200	5	14	200	7	23	0.05001	7	54	0.07001	7	55	0.07001	7	56	0.07001	7	57	0.07001	0	0		0	0		0	0		0		0	0	0	0	0
872415269	5	25	500	5	26	500	5	10	200	5	14	200	7	19	0.06001	7	16	0.06001	7	17	0.06001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415270	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	7	50	0.01001	7	51	0.01001	7	52	0.01001	7	53	0.01001	7	62	0.05001	0	0		0		0	0	0	0	0
872415271	2	4	10	2	5	10	2	6	10	2	7	10	2	77	0.01001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415277	3	75	0.03001	3	76	0.03001	5	54	0.03001	5	55	0.03001	5	56	0.03001	5	57	0.03001	7	50	0.02001	7	51	0.02001	7	52	0.02001	7	53	0.02001	0	0		0	0		0		0	0	0	0	0
872415278	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	7	50	0.01001	7	51	0.01001	7	52	0.01001	7	53	0.01001	7	62	0.05001	0	0		0		0	0	0	0	0
872415279	2	4	20	2	5	20	2	6	20	2	7	20	2	77	0.01001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415285	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415286	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	56	0.09001	7	57	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415287	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.09001	7	55	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415288	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	56	0.09001	7	57	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415289	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.09001	7	55	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415290	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	19	0.07501	7	12	600	0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415291	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	16	0.07501	7	12	600	0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415292	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	56	0.09001	7	57	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415293	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.09001	7	55	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415294	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	56	0.09001	7	57	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415295	3	75	0.04001	3	76	0.04001	5	4	40	5	5	40	5	6	40	5	7	40	7	54	0.09001	7	55	0.09001	7	12	600	0	0		0	0		0	0		0		0	0	0	0	0
872415296	5	25	500	5	26	500	5	10	200	5	14	200	7	23	0.05001	7	54	0.04001	7	55	0.04001	7	12	500	0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415297	5	25	500	5	26	500	5	10	200	5	14	200	7	23	0.05001	7	56	0.04001	7	57	0.04001	7	12	500	0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415298	5	25	500	5	26	500	5	10	200	5	14	200	7	19	0.05001	7	16	0.05001	7	17	0.05001	0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415299	2	74	0.03001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415300	4	50	0.02001	4	51	0.02001	4	52	0.02001	4	53	0.02001	0	0		0	0		0	0		0	0		0	0		0	0		0	0		0	0		0		0	0	0	0	0
872415306	3	75	0.02001	3	76	0.02001	5	54	0.02001	5	55	0.02001	5	56	0.02001	5	57	0.02001	7	50	0.01001	7	51	0.01001	7	52	0.01001	7	53	0.01001	7	62	0.05001	0	0		0		0	0	0	0	0
872415307	2	25	500	2	26	500	3	0	30	3	1	30	3	2	30	3	3	30	4	4	70	4	5	70	4	29	30	0	0		0	0		0	0		0		0	0	0	0	0
872415308	2	25	500	2	26	500	3	0	30	3	1	30	3	2	30	3	3	30	4	6	70	4	7	70	4	29	30	0	0		0	0		0	0		0		0	0	0	0	0
872415309	2	10	150	2	14	150	2	12	500	3	75	0.015	3	76	0.015	4	4	80	4	5	80	4	6	80	4	7	80	0	0		0	0		0	0		0		0	0	0	0	0
