ROWID	_MapSubType|INTEGER	_Difficulty|INTEGER	_ExDifficultyType|INTEGER	_DeadExperienceWeight|DOUBLE	_CompleteExperienceWeight|DOUBLE	_DeadDurabilityWeight|DOUBLE	_HPWeight|DOUBLE	_AttackPMinWeight|DOUBLE	_AttackPMaxWeight|DOUBLE	_AttackMMinWeight|DOUBLE	_AttackMMaxWeight|DOUBLE	_DefensePWeight|DOUBLE	_DefenseMWeight|DOUBLE	_StiffWeight|DOUBLE	_CriticalWeight|DOUBLE	_StunWeight|DOUBLE	_StiffResistanceWeight|DOUBLE	_CriticalResistanceWeight|DOUBLE	_StunResistanceWeight|DOUBLE	_SuperAmmorWeight|DOUBLE	_Element_Str_Weight|DOUBLE	_Fire_Def_Weight|DOUBLE	_Ice_Def_Weight|DOUBLE	_Light_Def_Weight|DOUBLE	_Dark_Def_Weight|DOUBLE	_MoveSpeedWeight|DOUBLE	_DownDelayWeight|DOUBLE	_DurabilityWeight|DOUBLE	_GoldDropWeight|DOUBLE	_HeroExpWeight|DOUBLE	_PenaltyOption1|INTEGER	_PenaltyOption1Param|TEXT	_PenaltyOption2|INTEGER	_PenaltyOption2Param|TEXT	_PenaltyOption3|INTEGER	_PenaltyOption3Param|TEXT	_PenaltyOption4|INTEGER	_PenaltyOption4Param|TEXT	_PenaltyOption5|INTEGER	_PenaltyOption5Param|TEXT	_PenaltyOption6|INTEGER	_PenaltyOption6Param|TEXT	_PenaltyOption7|INTEGER	_PenaltyOption7Param|TEXT	_PenaltyOption8|INTEGER	_PenaltyOption8Param|TEXT	_PenaltyOption9|INTEGER	_PenaltyOption9Param|TEXT	_PenaltyOption10|INTEGER	_PenaltyOption10Param|TEXT
11	1	4	6	0.0	1.4338434	1.0	3.65	1.993	1.993	1.993	1.993	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	5.091682	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
12	1	4	7	0.0	1.5225983	1.0	6.872	2.925	2.925	2.925	2.925	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	6.416536	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
13	1	4	8	0.0	1.6168472	1.0	12.94	4.295	4.295	4.295	4.295	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	8.136801	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
14	1	4	9	0.0	1.71693	1.0	24.369	6.308	6.308	6.308	6.308	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	10.395614	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
15	1	4	10	0.0	1.823208	1.0	45.895	9.265	9.265	9.265	9.265	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	13.386443	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
16	1	4	11	0.0	1.9360645	1.0	86.442	13.611	13.611	13.611	13.611	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	17.370417	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
17	1	4	12	0.0	2.055907	1.0	162.814	19.995	19.995	19.995	19.995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	22.699528	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
18	1	4	13	0.0	2.1831675	1.0	306.666	29.376	29.376	29.376	29.376	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	29.847656	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
19	1	4	14	0.0	2.3183057	1.0	577.619	43.162	43.162	43.162	43.162	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	39.45207	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
20	1	4	15	0.0	2.4618087	1.0	1087.975	63.416	63.416	63.416	63.416	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	52.368805	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
21	1	4	16	0.0	2.6141946	1.0	2048.656	93.158	93.158	93.158	93.158	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	65.45593	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
22	1	4	17	0.0	2.7760134	1.0	3857.619	136.849	136.849	136.849	136.849	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	82.15879	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
23	1	4	18	0.0	2.9478486	1.0	7263.896	201.031	201.031	201.031	201.031	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	103.47634	12	-100000	103	-450000	8	-30000	9	-30000	29	-1200	-1		-1		-1		-1		-1	
24	1	4	19	0.0	3.1303203	1.0	13677.916	295.314	295.314	295.314	295.314	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	130.68355	12	-200000	103	-900000	8	-60000	9	-60000	29	-2400	-1		-1		-1		-1		-1	
25	1	4	20	0.0	3.3240871	1.0	25755.516	433.816	433.816	433.816	433.816	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	165.4076	12	-300000	103	-1350000	8	-90000	9	-90000	29	-3600	-1		-1		-1		-1		-1	
26	1	4	21	0.0	3.5298483	1.0	48497.633	637.275	637.275	637.275	637.275	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	209.72525	12	-400000	103	-1800000	8	-120000	9	-120000	29	-4800	-1		-1		-1		-1		-1	
27	1	4	22	0.0	3.7483459	1.0	91321.05	936.156	936.156	936.156	936.156	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	266.28705	12	-500000	103	-2250000	8	-150000	9	-150000	29	-6000	-1		-1		-1		-1		-1	
28	1	4	23	0.0	3.9803684	1.0	171957.53	1375.213	1375.213	1375.213	1375.213	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	338.47586	12	-600000	103	-2700000	8	-180000	9	-180000	29	-7200	-1		-1		-1		-1		-1	
29	1	4	24	0.0	4.226753	1.0	323796.03	2020.187	2020.187	2020.187	2020.187	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	430.6091	12	-700000	103	-3150000	8	-210000	9	-210000	29	-8400	-1		-1		-1		-1		-1	
30	1	4	25	0.0	4.4883895	1.0	609707.9	2967.654	2967.654	2967.654	2967.654	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	12	-800000	103	-3600000	8	-240000	9	-240000	29	-9600	-1		-1		-1		-1		-1	
31	1	4	26	0.0	4.7662206	1.0	1148080.0	4359.483	4359.483	4359.483	4359.483	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
32	1	4	27	0.0	5.0612497	1.0	2161834.5	6404.08	6404.08	6404.08	6404.08	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
33	1	4	28	0.0	5.374541	1.0	4070734.5	9407.593	9407.593	9407.593	9407.593	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
34	1	4	29	0.0	5.7072253	1.0	7665193.0	13819.754	13819.754	13819.754	13819.754	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
35	1	4	30	0.0	6.0605025	1.0	1.4433559E7	20301.219	20301.219	20301.219	20301.219	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
36	1	4	31	0.0	6.4356475	1.0	2.7178392E7	29822.488	29822.488	29822.488	29822.488	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
37	1	4	32	0.0	6.834014	1.0	5.1176912E7	43809.234	43809.234	43809.234	43809.234	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
38	1	4	33	0.0	7.2570395	1.0	9.636612E7	64355.766	64355.766	64355.766	64355.766	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
39	1	4	34	0.0	7.70625	1.0	1.81457408E8	94538.62	94538.62	94538.62	94538.62	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
40	1	4	35	0.0	8.183268	1.0	3.41684288E8	138877.23	138877.23	138877.23	138877.23	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
41	1	4	36	0.0	8.689812	1.0	6.4339155E8	204010.66	204010.66	204010.66	204010.66	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
42	1	4	37	0.0	9.227711	1.0	1.2115063E9	299691.66	299691.66	299691.66	299691.66	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
43	1	4	38	0.0	9.798906	1.0	2.28126618E9	440247.03	440247.03	440247.03	440247.03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
44	1	4	39	0.0	10.405458	1.0	4.2956242E9	646722.9	646722.9	646722.9	646722.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
45	1	4	40	0.0	11.049556	1.0	8.088661E9	950035.94	950035.94	950035.94	950035.94	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
46	1	4	41	0.0	11.733523	1.0	1.52309484E10	1395602.8	1395602.8	1395602.8	1395602.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
47	1	4	42	0.0	12.459828	1.0	2.86798766E10	2050140.5	2050140.5	2050140.5	2050140.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
48	1	4	43	0.0	13.231092	1.0	5.4004208E10	3011656.5	3011656.5	3011656.5	3011656.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
49	1	4	44	0.0	14.0500965	1.0	1.01689917E11	4424123.0	4424123.0	4424123.0	4424123.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
50	1	4	45	0.0	14.919798	1.0	1.91482118E11	6499037.0	6499037.0	6499037.0	6499037.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
51	1	4	46	0.0	15.843333	1.0	3.6056082E11	9547085.0	9547085.0	9547085.0	9547085.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
52	1	4	47	0.0	16.824036	1.0	6.7893605E11	1.4024668E7	1.4024668E7	1.4024668E7	1.4024668E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
53	1	4	48	0.0	17.865444	1.0	1.27843657E12	2.0602238E7	2.0602238E7	2.0602238E7	2.0602238E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
54	1	4	49	0.0	18.971313	1.0	2.40729614E12	3.0264688E7	3.0264688E7	3.0264688E7	3.0264688E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
55	1	4	50	0.0	20.14564	1.0	4.5329385E12	4.4458828E7	4.4458828E7	4.4458828E7	4.4458828E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
56	1	4	51	0.0	21.392654	1.0	8.5355229E12	6.5310016E7	6.5310016E7	6.5310016E7	6.5310016E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
57	1	4	52	0.0	22.71686	1.0	1.60723905E13	9.5940416E7	9.5940416E7	9.5940416E7	9.5940416E7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
58	1	4	53	0.0	24.123032	1.0	3.02643109E13	1.40936464E8	1.40936464E8	1.40936464E8	1.40936464E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
59	1	4	54	0.0	25.61625	1.0	5.6987698E13	2.07035664E8	2.07035664E8	2.07035664E8	2.07035664E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
60	1	4	55	0.0	25.61625	1.0	1.07307837E14	3.04135392E8	3.04135392E8	3.04135392E8	3.04135392E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
61	1	4	56	0.0	25.61625	1.0	2.02060646E14	4.46774912E8	4.46774912E8	4.46774912E8	4.46774912E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
62	1	4	57	0.0	25.61625	1.0	3.80480214E14	6.5631232E8	6.5631232E8	6.5631232E8	6.5631232E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
63	1	4	58	0.0	25.61625	1.0	7.1644423E14	9.6412282E8	9.6412282E8	9.6412282E8	9.6412282E8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
64	1	4	59	0.0	25.61625	1.0	1.34906453E15	1.41629645E9	1.41629645E9	1.41629645E9	1.41629645E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
65	1	4	60	0.0	25.61625	1.0	2.54028847E15	2.08053939E9	2.08053939E9	2.08053939E9	2.08053939E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
66	1	4	61	0.0	25.61625	1.0	4.7833631E15	3.05631232E9	3.05631232E9	3.05631232E9	3.05631232E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
67	1	4	62	0.0	25.61625	1.0	9.0070726E15	4.4897229E9	4.4897229E9	4.4897229E9	4.4897229E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
68	1	4	63	0.0	25.61625	1.0	1.6960318E16	6.5954028E9	6.5954028E9	6.5954028E9	6.5954028E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
69	1	4	64	0.0	25.61625	1.0	3.19362773E16	9.6886467E9	9.6886467E9	9.6886467E9	9.6886467E9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
70	1	4	65	0.0	25.61625	1.0	6.013601E16	1.42326221E10	1.42326221E10	1.42326221E10	1.42326221E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
71	1	4	66	0.0	25.61625	1.0	1.13236108E17	2.09077228E10	2.09077228E10	2.09077228E10	2.09077228E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
72	1	4	67	0.0	25.61625	1.0	2.132236E17	3.07134444E10	3.07134444E10	3.07134444E10	3.07134444E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
73	1	4	68	0.0	25.61625	1.0	4.01500037E17	4.511805E10	4.511805E10	4.511805E10	4.511805E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
74	1	4	69	0.0	25.61625	1.0	7.5602454E17	6.6278416E10	6.6278416E10	6.6278416E10	6.6278416E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
75	1	4	70	0.0	25.61625	1.0	1.42359419E18	9.7362993E10	9.7362993E10	9.7362993E10	9.7362993E10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
76	1	4	71	0.0	25.61625	1.0	2.68062804E18	1.43026242E11	1.43026242E11	1.43026242E11	1.43026242E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
77	1	4	72	0.0	25.61625	1.0	5.0476226E18	2.10105532E11	2.10105532E11	2.10105532E11	2.10105532E11	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	548.197	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
