ROWID	_Envi1_1|INTEGER	_Envi1_2|INTEGER	_Envi1_3|INTEGER	_Envi1_4|INTEGER	_Envi1_5|INTEGER	_Envi2_1|INTEGER	_Envi2_2|INTEGER	_Envi2_3|INTEGER	_Envi2_4|INTEGER	_Envi2_5|INTEGER	_Envi3_1|INTEGER	_Envi3_2|INTEGER	_Envi3_3|INTEGER	_Envi3_4|INTEGER	_Envi3_5|INTEGER	_Envi4_1|INTEGER	_Envi4_2|INTEGER	_Envi4_3|INTEGER	_Envi4_4|INTEGER	_Envi4_5|INTEGER	_Envi5_1|INTEGER	_Envi5_2|INTEGER	_Envi5_3|INTEGER	_Envi5_4|INTEGER	_Envi5_5|INTEGER	_Envi6_1|INTEGER	_Envi6_2|INTEGER	_Envi6_3|INTEGER	_Envi6_4|INTEGER	_Envi6_5|INTEGER	_Envi7_1|INTEGER	_Envi7_2|INTEGER	_Envi7_3|INTEGER	_Envi7_4|INTEGER	_Envi7_5|INTEGER	_Envi8_1|INTEGER	_Envi8_2|INTEGER	_Envi8_3|INTEGER	_Envi8_4|INTEGER	_Envi8_5|INTEGER	_Envi9_1|INTEGER	_Envi9_2|INTEGER	_Envi9_3|INTEGER	_Envi9_4|INTEGER	_Envi9_5|INTEGER	_Envi10_1|INTEGER	_Envi10_2|INTEGER	_Envi10_3|INTEGER	_Envi10_4|INTEGER	_Envi10_5|INTEGER	_Envi11_1|INTEGER	_Envi11_2|INTEGER	_Envi11_3|INTEGER	_Envi11_4|INTEGER	_Envi11_5|INTEGER	_Envi12_1|INTEGER	_Envi12_2|INTEGER	_Envi12_3|INTEGER	_Envi12_4|INTEGER	_Envi12_5|INTEGER	_Envi1_Prob|FLOAT	_Envi2_Prob|FLOAT	_Envi3_Prob|FLOAT	_Envi4_Prob|FLOAT	_Envi5_Prob|FLOAT	_Envi6_Prob|FLOAT	_Envi7_Prob|FLOAT	_Envi8_Prob|FLOAT	_Envi9_Prob|FLOAT	_Envi10_Prob|FLOAT	_Envi11_Prob|FLOAT	_Envi12_Prob|FLOAT	_EnviAbyss1|INTEGER	_EnviAbyss2|INTEGER	_EnviAbyss3|INTEGER	_EnviAbyss1_Prob|FLOAT	_EnviAbyss2_Prob|FLOAT	_EnviAbyss3_Prob|FLOAT
22	1928	0	0	0	0	1946	0	0	0	0	1929	0	0	0	0	2069	0	0	0	0	2063	0	0	0	0	1930	0	0	0	0	1946	0	0	0	0	1923	0	0	0	0	2069	0	0	0	0	1933	0	0	0	0	1928	0	0	0	0	1929	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1935	1935	1935	0.333334	0.333333	0.333333
23	1953	0	0	0	0	1954	0	0	0	0	1955	0	0	0	0	1953	0	0	0	0	1956	0	0	0	0	1957	0	0	0	0	1953	0	0	0	0	1954	0	0	0	0	1955	0	0	0	0	1953	0	0	0	0	1956	0	0	0	0	1957	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1953	1954	1955	0.333334	0.333333	0.333333
24	1953	0	0	0	0	1954	0	0	0	0	1955	0	0	0	0	1953	0	0	0	0	1956	0	0	0	0	1957	0	0	0	0	1953	0	0	0	0	1954	0	0	0	0	1955	0	0	0	0	1953	0	0	0	0	1956	0	0	0	0	1957	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1953	1954	1955	0.333334	0.333333	0.333333
25	1949	0	0	0	0	1949	0	0	0	0	1949	0	0	0	0	1949	0	0	0	0	1949	0	0	0	0	1949	0	0	0	0	1949	0	0	0	0	1949	0	0	0	0	1949	0	0	0	0	1949	0	0	0	0	1949	0	0	0	0	1949	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1949	1949	1949	0.333334	0.333333	0.333333
26	1952	0	0	0	0	1952	0	0	0	0	1952	0	0	0	0	1952	0	0	0	0	1952	0	0	0	0	1952	0	0	0	0	1952	0	0	0	0	1952	0	0	0	0	1952	0	0	0	0	1952	0	0	0	0	1952	0	0	0	0	1952	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1952	1952	1952	0.333334	0.333333	0.333333
27	1889	0	0	0	0	1889	0	0	0	0	1889	0	0	0	0	1889	0	0	0	0	1889	0	0	0	0	1889	0	0	0	0	1889	0	0	0	0	1889	0	0	0	0	1889	0	0	0	0	1889	0	0	0	0	1889	0	0	0	0	1889	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1952	1952	1952	0.333334	0.333333	0.333333
28	38406	0	0	0	0	38406	0	0	0	0	38406	0	0	0	0	38406	0	0	0	0	38406	0	0	0	0	38406	0	0	0	0	38406	0	0	0	0	38406	0	0	0	0	38406	0	0	0	0	38406	0	0	0	0	38406	0	0	0	0	38406	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	38406	38406	38406	0.333334	0.333333	0.333333
29	39114	0	0	0	0	39114	0	0	0	0	39114	0	0	0	0	39114	0	0	0	0	39114	0	0	0	0	39114	0	0	0	0	39114	0	0	0	0	39114	0	0	0	0	39114	0	0	0	0	39114	0	0	0	0	39114	0	0	0	0	39114	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	39114	39114	39114	0.333334	0.333333	0.333333
30	45264	0	0	0	0	45264	0	0	0	0	45264	0	0	0	0	45264	0	0	0	0	45264	0	0	0	0	45264	0	0	0	0	45264	0	0	0	0	45264	0	0	0	0	45264	0	0	0	0	45264	0	0	0	0	45264	0	0	0	0	45264	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	45264	45264	45264	0.333334	0.333333	0.333333
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
32	18914	0	0	0	0	18914	0	0	0	0	18914	0	0	0	0	18914	0	0	0	0	18914	0	0	0	0	18914	0	0	0	0	18914	0	0	0	0	18914	0	0	0	0	18914	0	0	0	0	18914	0	0	0	0	18914	0	0	0	0	18914	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	18914	18914	18914	0.333334	0.333333	0.333333
33	18175	0	0	0	0	18175	0	0	0	0	18175	0	0	0	0	18175	0	0	0	0	18175	0	0	0	0	18175	0	0	0	0	18175	0	0	0	0	18175	0	0	0	0	18175	0	0	0	0	18175	0	0	0	0	18175	0	0	0	0	18175	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	18175	18175	18175	0.333334	0.333333	0.333333
34	23150	0	0	0	0	23150	0	0	0	0	23150	0	0	0	0	23150	0	0	0	0	23150	0	0	0	0	23150	0	0	0	0	23150	0	0	0	0	23150	0	0	0	0	23150	0	0	0	0	23150	0	0	0	0	23150	0	0	0	0	23150	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	23150	23150	23150	0.333334	0.333333	0.333333
35	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	69313	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	69313	69313	69313	0.333334	0.333333	0.333333
36	23359	0	0	0	0	23359	0	0	0	0	23359	0	0	0	0	23359	0	0	0	0	23359	0	0	0	0	23359	0	0	0	0	23359	0	0	0	0	23359	0	0	0	0	23359	0	0	0	0	23359	0	0	0	0	23359	0	0	0	0	23359	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	23359	23359	23359	0.333334	0.333333	0.333333
37	1881	0	0	0	0	1881	0	0	0	0	1881	0	0	0	0	1881	0	0	0	0	1881	0	0	0	0	1881	0	0	0	0	1881	0	0	0	0	1881	0	0	0	0	1881	0	0	0	0	1881	0	0	0	0	1881	0	0	0	0	1881	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1881	1881	1881	0.333334	0.333333	0.333333
38	29199	29199	29199	29199	29199	29199	29199	29199	29199	29199	29199	0	0	0	0	29199	0	0	0	0	29199	29199	29199	29199	29199	29199	29199	0	0	0	29199	0	0	0	0	29199	0	0	0	0	29199	0	0	0	0	29199	0	0	0	0	29199	0	0	0	0	29199	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	29199	29199	29199	0.333334	0.333333	0.333333
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
40	2059	2059	2059	2059	2059	2059	2059	2059	2059	0	2059	0	0	0	0	2059	0	0	0	0	2059	2059	2059	2059	2059	2059	2059	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	0	0	0	0	2059	2059	2059	0	0	2059	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2055	2056	2057	0.333334	0.333333	0.333333
41	2055	2056	2057	2054	2058	2065	2066	2068	2070	0	2062	0	0	0	0	2051	0	0	0	0	1923	1926	1932	1924	1935	1937	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2024	0	0	0	0	2026	0	0	0	0	1991	1990	1993	0	0	1992	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2055	2056	2057	0.333334	0.333333	0.333333
42	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	1986	0	0	0	0	1986	0	0	0	0	1986	1986	1986	1986	1986	1986	1986	0	0	0	1986	0	0	0	0	1986	0	0	0	0	1986	0	0	0	0	1986	0	0	0	0	1986	0	0	0	0	1986	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2055	2055	2054	0.333334	0.333333	0.333333
43	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	17570	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	17570	17570	17570	0.333334	0.333333	0.333333
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0.333334	0.333333	0.333333
46	1908	0	0	0	0	1908	0	0	0	0	1908	0	0	0	0	1908	0	0	0	0	1908	0	0	0	0	1908	0	0	0	0	1908	0	0	0	0	1908	0	0	0	0	1908	0	0	0	0	1908	0	0	0	0	1908	0	0	0	0	1908	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1908	0	0	0.333334	0.333333	0.333333
47	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	2054	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2054	2054	2054	0.333334	0.333333	0.333333
48	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	2050	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2050	2050	2050	0.333334	0.333333	0.333333
49	2036	2036	2036	2036	2036	2036	2036	2036	2036	0	2036	0	0	0	0	2036	0	0	0	0	2036	2036	2036	2036	2036	2036	2036	0	0	0	2036	0	0	0	0	2036	0	0	0	0	2036	2036	2036	0	0	2036	0	0	0	0	2036	2036	2036	0	0	2036	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2036	2036	2036	0.333334	0.333333	0.333333
50	2036	2036	2036	2036	2036	2036	2036	2036	2036	0	2036	0	0	0	0	2036	0	0	0	0	2036	2036	2036	2036	2036	2036	2036	0	0	0	2036	0	0	0	0	2036	0	0	0	0	2036	2036	2036	0	0	2036	0	0	0	0	2036	2036	2036	0	0	2036	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2036	2036	2036	0.333334	0.333333	0.333333
51	2055	2055	2054	2054	2054	2066	2066	2066	2066	2066	2062	0	0	0	0	2051	0	0	0	0	1923	1923	1923	1923	1923	1941	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1874	1875	1876	0.333334	0.333333	0.333333
52	2055	2055	2054	2054	2054	2066	2066	2066	2066	2066	2062	0	0	0	0	2051	0	0	0	0	1923	1923	1923	1923	1923	1941	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1874	1875	1876	0.333334	0.333333	0.333333
53	2055	2055	2054	2054	2054	2066	2066	2066	2066	2066	2062	0	0	0	0	2051	0	0	0	0	1923	1923	1923	1923	1923	1941	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1874	1875	1876	0.333334	0.333333	0.333333
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0.333334	0.333333	0.333333
56	2056	2056	2058	2058	2058	2068	2068	2068	2068	2068	2062	0	0	0	0	2051	0	0	0	0	1923	1923	1923	1923	1923	1941	1941	0	0	0	1934	0	0	0	0	1959	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	2025	0	0	0	0	2026	0	0	0	0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1874	1875	1876	0.333334	0.333333	0.333333
