ROWID	_NameID|INTEGER	_IconID|INTEGER	_MsgID1|INTEGER	_MsgID2|INTEGER	_MsgID3|INTEGER	_MsgID4|INTEGER	_MsgSnd1|TEXT	_MsgSnd2|TEXT	_MsgSnd3|TEXT	_MsgSnd4|TEXT	_bMacro|BOOLEAN	_MacroNum|INTEGER	_MacroDef|INTEGER	_IconFile|TEXT	_MsgID5|INTEGER	_MsgSnd5|TEXT	_MsgID6|INTEGER	_MsgSnd6|TEXT	_MsgID7|INTEGER	_MsgSnd7|TEXT	_MsgID8|INTEGER	_MsgSnd8|TEXT	_MsgID9|INTEGER	_MsgSnd9|TEXT	_MsgID10|INTEGER	_MsgSnd10|TEXT
11	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
12	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
13	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
14	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
15	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
16	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
17	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
18	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
19	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
20	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
21	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
22	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
23	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
24	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
25	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
26	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
27	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
28	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
29	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
30	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
31	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
32	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
33	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
34	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
35	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
36	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
37	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
38	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
39	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
40	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
41	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
42	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
43	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
44	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
45	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
46	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
47	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
48	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
49	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
50	0	0	0	0	0	0					false	0	0		0		0		0		0		0		0	
