ROWID	_PetLevelTypeID|INTEGER	_PetLevel|INTEGER	_PetExp|INTEGER	_State1|INTEGER	_State1_Min|TEXT	_State1_Max|TEXT	_State2|INTEGER	_State2_Min|TEXT	_State2_Max|TEXT	_State3|INTEGER	_State3_Min|TEXT	_State3_Max|TEXT	_State4|INTEGER	_State4_Min|TEXT	_State4_Max|TEXT	_State5|INTEGER	_State5_Min|TEXT	_State5_Max|TEXT	_State6|INTEGER	_State6_Min|TEXT	_State6_Max|TEXT	_State7|INTEGER	_State7_Min|TEXT	_State7_Max|TEXT	_State8|INTEGER	_State8_Min|TEXT	_State8_Max|TEXT	_State9|INTEGER	_State9_Min|TEXT	_State9_Max|TEXT	_State10|INTEGER	_State10_Min|TEXT	_State10_Max|TEXT	_VipExp|INTEGER
41	2	1	50000	3	6	6	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
42	2	2	106875	3	6	6	1	6	6	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
43	2	3	164875	3	8	8	1	8	8	2	8	8	0	8	8	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
44	2	4	228625	3	10	10	1	10	10	2	10	10	0	10	10	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
45	2	5	299375	3	10	10	1	10	10	2	10	10	0	10	10	4	10	10	5	10	10	6	10	10	7	10	10	-1	0	0	-1	0	0	0
46	2	6	380000	3	13	13	1	13	13	2	13	13	0	13	13	4	12	12	5	12	12	6	12	12	7	12	12	-1	0	0	-1	0	0	0
47	2	7	470625	3	15	15	1	15	15	2	15	15	0	15	15	4	14	14	5	14	14	6	14	14	7	14	14	-1	0	0	-1	0	0	0
48	2	8	571250	3	17	17	1	17	17	2	17	17	0	17	17	4	16	16	5	16	16	6	16	16	7	16	16	-1	0	0	-1	0	0	0
49	2	9	691875	3	19	19	1	19	19	2	19	19	0	19	19	4	18	18	5	18	18	6	18	18	7	18	18	-1	0	0	-1	0	0	0
50	2	10	949205	3	21	21	1	21	21	2	21	21	0	21	21	4	20	20	5	20	20	6	20	20	7	20	20	25	200	200	-1	0	0	0
51	2	11	1236535	3	23	23	1	23	23	2	23	23	0	23	23	4	22	22	5	22	22	6	22	22	7	22	22	25	300	300	12	10	10	0
52	2	12	1572172	3	25	25	1	25	25	2	25	25	0	25	25	4	24	24	5	24	24	6	24	24	7	24	24	25	400	400	12	20	20	0
53	2	13	1937809	3	27	27	1	27	27	2	27	27	0	27	27	4	26	26	5	26	26	6	26	26	7	26	26	25	500	500	12	30	30	0
54	2	14	2363446	3	30	30	1	30	30	2	30	30	0	30	30	4	28	28	5	28	28	6	28	28	7	28	28	25	600	600	12	40	40	0
55	2	15	2819123	3	33	33	1	33	33	2	33	33	0	33	33	4	33	33	5	33	33	6	33	33	7	33	33	25	700	700	12	50	50	0
56	2	16	3332123	3	35	35	1	35	35	2	35	35	0	35	35	4	35	35	5	35	35	6	35	35	7	35	35	25	800	800	12	60	60	0
57	2	17	3914755	3	38	38	1	38	38	2	38	38	0	38	38	4	38	38	5	38	38	6	38	38	7	38	38	25	900	900	12	70	70	0
58	2	18	4530000	3	40	40	1	40	40	2	40	40	0	40	40	4	40	40	5	40	40	6	40	40	7	40	40	25	1000	1000	12	80	80	0
59	2	19	5180000	3	42	42	1	42	42	2	42	42	0	42	42	4	42	42	5	42	42	6	42	42	7	42	42	25	1100	1100	12	90	90	0
60	2	20	0	3	45	45	1	45	45	2	45	45	0	45	45	4	45	45	5	45	45	6	45	45	7	45	45	25	1200	1200	12	100	100	0
61	3	1	10000	4	1	1	5	1	1	0	1	1	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
62	3	2	26875	4	1	1	5	1	1	6	1	1	7	1	1	0	1	1	1	1	1	25	5	5	-1	5	5	-1	0	0	-1	0	0	0
63	3	3	43750	4	2	2	5	2	2	6	1	1	7	1	1	0	1	1	1	1	1	2	1	1	25	5	5	-1	5	5	-1	0	0	0
64	3	4	77500	4	2	2	5	2	2	6	2	2	7	2	2	0	1	1	1	1	1	2	1	1	3	1	1	25	10	10	-1	10	10	0
65	3	5	111250	4	3	3	5	3	3	6	2	2	7	2	2	0	2	2	1	1	1	2	1	1	3	1	1	25	10	10	-1	10	10	0
66	3	6	161875	4	3	3	5	3	3	6	3	3	7	3	3	0	2	2	1	2	2	2	1	1	3	1	1	25	15	15	-1	15	15	0
67	3	7	212500	4	4	4	5	4	4	6	3	3	7	3	3	0	2	2	1	2	2	2	2	2	3	1	1	25	15	15	-1	15	15	0
68	3	8	263125	4	4	4	5	4	4	6	4	4	7	4	4	0	2	2	1	2	2	2	2	2	3	2	2	25	20	20	-1	20	20	0
69	3	9	313750	4	5	5	5	5	5	6	4	4	7	4	4	0	3	3	1	2	2	2	2	2	3	2	2	25	20	20	-1	20	20	0
70	3	10	471080	4	5	5	5	5	5	6	5	5	7	5	5	0	3	3	1	3	3	2	2	2	3	2	2	25	25	25	-1	25	25	0
71	3	11	656717	4	6	6	5	6	6	6	5	5	7	5	5	0	3	3	1	3	3	2	3	3	3	2	2	25	25	25	-1	25	25	0
72	3	12	854154	4	6	6	5	6	6	6	6	6	7	6	6	0	3	3	1	3	3	2	3	3	3	3	3	25	30	30	-1	30	30	0
73	3	13	1051591	4	7	7	5	7	7	6	6	6	7	6	6	0	4	4	1	3	3	2	3	3	3	3	3	25	30	30	-1	30	30	0
74	3	14	1269028	4	7	7	5	7	7	6	7	7	7	7	7	0	4	4	1	4	4	2	3	3	3	3	3	25	35	35	-1	35	35	0
75	3	15	1505028	4	8	8	5	8	8	6	7	7	7	7	7	0	4	4	1	4	4	2	4	4	3	3	3	25	35	35	-1	35	35	0
76	3	16	1741028	4	8	8	5	8	8	6	8	8	7	8	8	0	4	4	1	4	4	2	4	4	3	4	4	25	40	40	-1	40	40	0
77	3	17	1977028	4	9	9	5	9	9	6	8	8	7	8	8	0	5	5	1	4	4	2	4	4	3	4	4	25	40	40	-1	40	40	0
78	3	18	2234465	4	9	9	5	9	9	6	9	9	7	9	9	0	5	5	1	5	5	2	4	4	3	4	4	25	45	45	-1	45	45	0
79	3	19	2491902	4	10	10	5	10	10	6	9	9	7	9	9	0	5	5	1	5	5	2	5	5	3	4	4	25	45	45	-1	45	45	0
80	3	20	0	4	10	10	5	10	10	6	10	10	7	10	10	0	5	5	1	5	5	2	5	5	3	5	5	25	50	50	-1	50	50	0
81	4	1	50000	3	9	9	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
82	4	2	106875	3	12	12	1	12	12	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
83	4	3	164875	3	16	16	1	16	16	2	16	16	0	16	16	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
84	4	4	228625	3	20	20	1	20	20	2	20	20	0	20	20	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
85	4	5	299375	3	24	24	1	24	24	2	24	24	0	24	24	32	24	24	33	24	24	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
86	4	6	380000	3	28	28	1	28	28	2	28	28	0	28	28	32	28	28	33	28	28	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
87	4	7	470625	3	32	32	1	32	32	2	32	32	0	32	32	32	32	32	33	32	32	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
88	4	8	571250	3	36	36	1	36	36	2	36	36	0	36	36	32	36	36	33	36	36	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
89	4	9	691875	3	40	40	1	40	40	2	40	40	0	40	40	32	40	40	33	40	40	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
90	4	10	949205	3	43	43	1	43	43	2	43	43	0	43	43	32	43	43	33	43	43	25	500	500	-1	0	0	-1	0	0	-1	0	0	0
91	4	11	1236535	3	47	47	1	47	47	2	47	47	0	47	47	32	47	47	33	47	47	25	600	600	12	50	50	29	10	10	-1	0	0	0
92	4	12	1572172	3	50	50	1	50	50	2	50	50	0	50	50	32	50	50	33	50	50	25	700	700	12	60	60	29	12	12	-1	0	0	0
93	4	13	1937809	3	54	54	1	54	54	2	54	54	0	54	54	32	54	54	33	54	54	25	800	800	12	70	70	29	15	15	-1	0	0	0
94	4	14	2363446	3	58	58	1	58	58	2	58	58	0	58	58	32	58	58	33	58	58	25	900	900	12	80	80	29	18	18	-1	0	0	0
95	4	15	2819123	3	62	62	1	62	62	2	62	62	0	62	62	32	62	62	33	62	62	25	1000	1000	12	90	90	29	20	20	-1	0	0	0
96	4	16	3332123	3	66	66	1	66	66	2	66	66	0	66	66	32	66	66	33	66	66	25	1100	1100	12	100	100	29	22	22	-1	0	0	0
97	4	17	3914755	3	70	70	1	70	70	2	70	70	0	70	70	32	70	70	33	70	70	25	1200	1200	12	110	110	29	24	24	-1	0	0	0
98	4	18	4530000	3	73	73	1	73	73	2	73	73	0	73	73	32	73	73	33	73	73	25	1300	1300	12	120	120	29	26	26	-1	0	0	0
99	4	19	5180000	3	76	76	1	76	76	2	76	76	0	76	76	32	76	76	33	76	76	25	1400	1400	12	130	130	29	28	28	-1	0	0	0
100	4	20	0	3	80	80	1	80	80	2	80	80	0	80	80	32	80	80	33	80	80	25	1500	1500	12	150	150	29	30	30	-1	0	0	0
101	5	1	50000	3	9	9	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
102	5	2	106875	3	12	12	1	12	12	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
103	5	3	164875	3	16	16	1	16	16	2	16	16	0	16	16	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
104	5	4	228625	3	20	20	1	20	20	2	20	20	0	20	20	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
105	5	5	299375	3	24	24	1	24	24	2	24	24	0	24	24	32	50	50	33	50	50	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
106	5	6	380000	3	28	28	1	28	28	2	28	28	0	28	28	32	60	60	33	60	60	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
107	5	7	470625	3	32	32	1	32	32	2	32	32	0	32	32	32	70	70	33	70	70	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
108	5	8	571250	3	36	36	1	36	36	2	36	36	0	36	36	32	80	80	33	80	80	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
109	5	9	691875	3	40	40	1	40	40	2	40	40	0	40	40	32	90	90	33	90	90	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
110	5	10	949205	3	43	43	1	43	43	2	43	43	0	43	43	32	100	100	33	100	100	25	500	500	-1	0	0	-1	0	0	-1	0	0	0
111	5	11	1236535	3	47	47	1	47	47	2	47	47	0	47	47	32	110	110	33	110	110	25	650	650	12	50	50	29	10	10	-1	0	0	0
112	5	12	1572172	3	50	50	1	50	50	2	50	50	0	50	50	32	120	120	33	120	120	25	800	800	12	60	60	29	12	12	-1	0	0	0
113	5	13	1937809	3	54	54	1	54	54	2	54	54	0	54	54	32	130	130	33	130	130	25	950	950	12	70	70	29	15	15	-1	0	0	0
114	5	14	2363446	3	58	58	1	58	58	2	58	58	0	58	58	32	140	140	33	140	140	25	1100	1100	12	80	80	29	18	18	-1	0	0	0
115	5	15	2819123	3	62	62	1	62	62	2	62	62	0	62	62	32	150	150	33	150	150	25	1250	1250	12	90	90	29	20	20	-1	0	0	0
116	5	16	3332123	3	66	66	1	66	66	2	66	66	0	66	66	32	160	160	33	160	160	25	1400	1400	12	100	100	29	22	22	-1	0	0	0
117	5	17	3914755	3	70	70	1	70	70	2	70	70	0	70	70	32	170	170	33	170	170	25	1550	1550	12	110	110	29	24	24	-1	0	0	0
118	5	18	4530000	3	73	73	1	73	73	2	73	73	0	73	73	32	180	180	33	180	180	25	1700	1700	12	120	120	29	26	26	-1	0	0	0
119	5	19	5180000	3	76	76	1	76	76	2	76	76	0	76	76	32	190	190	33	190	190	25	1850	1850	12	130	130	29	28	28	-1	0	0	0
120	5	20	0	3	80	80	1	80	80	2	80	80	0	80	80	32	200	200	33	200	200	25	2000	2000	12	150	150	29	30	30	-1	0	0	0
121	6	1	50000	3	9	9	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
122	6	2	106875	3	12	12	1	12	12	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
123	6	3	164875	3	16	16	1	16	16	2	16	16	0	16	16	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
124	6	4	228625	3	20	20	1	20	20	2	20	20	0	20	20	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
125	6	5	299375	3	24	24	1	24	24	2	24	24	0	24	24	32	34	34	33	34	34	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
126	6	6	380000	3	28	28	1	28	28	2	28	28	0	28	28	32	38	38	33	38	38	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
127	6	7	470625	3	32	32	1	32	32	2	32	32	0	32	32	32	42	42	33	42	42	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
128	6	8	571250	3	36	36	1	36	36	2	36	36	0	36	36	32	46	46	33	46	46	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
129	6	9	691875	3	40	40	1	40	40	2	40	40	0	40	40	32	50	50	33	50	50	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
130	6	10	949205	3	43	43	1	43	43	2	43	43	0	43	43	32	53	53	33	53	53	25	500	500	-1	0	0	-1	0	0	-1	0	0	0
131	6	11	1236535	3	47	47	1	47	47	2	47	47	0	47	47	32	57	57	33	57	57	25	600	600	12	50	50	-1	0	0	-1	0	0	0
132	6	12	1572172	3	50	50	1	50	50	2	50	50	0	50	50	32	60	60	33	60	60	25	700	700	12	60	60	-1	0	0	-1	0	0	0
133	6	13	1937809	3	54	54	1	54	54	2	54	54	0	54	54	32	64	64	33	64	64	25	800	800	12	70	70	-1	0	0	-1	0	0	0
134	6	14	2363446	3	58	58	1	58	58	2	58	58	0	58	58	32	68	68	33	68	68	25	900	900	12	80	80	-1	0	0	-1	0	0	0
135	6	15	2819123	3	62	62	1	62	62	2	62	62	0	62	62	32	72	72	33	72	72	25	1000	1000	12	90	90	-1	0	0	-1	0	0	0
136	6	16	3332123	3	66	66	1	66	66	2	66	66	0	66	66	32	76	76	33	76	76	25	1100	1100	12	100	100	-1	0	0	-1	0	0	0
137	6	17	3914755	3	70	70	1	70	70	2	70	70	0	70	70	32	80	80	33	80	80	25	1200	1200	12	110	110	-1	0	0	-1	0	0	0
138	6	18	4530000	3	73	73	1	73	73	2	73	73	0	73	73	32	83	83	33	83	83	25	1300	1300	12	120	120	-1	0	0	-1	0	0	0
139	6	19	5180000	3	76	76	1	76	76	2	76	76	0	76	76	32	86	86	33	86	86	25	1400	1400	12	130	130	-1	0	0	-1	0	0	0
140	6	20	0	3	80	80	1	80	80	2	80	80	0	80	80	32	90	90	33	90	90	25	1500	1500	12	150	150	-1	0	0	-1	0	0	0
141	7	1	50000	3	2	2	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
142	7	2	106875	3	4	4	1	4	4	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
143	7	3	164875	3	6	6	1	6	6	2	6	6	0	6	6	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
144	7	4	228625	3	8	8	1	8	8	2	8	8	0	8	8	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
145	7	5	299375	3	10	10	1	10	10	2	10	10	0	10	10	32	68	68	33	68	68	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
146	7	6	380000	3	12	12	1	12	12	2	12	12	0	12	12	32	76	76	33	76	76	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
147	7	7	470625	3	14	14	1	14	14	2	14	14	0	14	14	32	84	84	33	84	84	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
148	7	8	571250	3	16	16	1	16	16	2	16	16	0	16	16	32	92	92	33	92	92	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
149	7	9	691875	3	18	18	1	18	18	2	18	18	0	18	18	32	100	100	33	100	100	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
150	7	10	949205	3	20	20	1	20	20	2	20	20	0	20	20	32	106	106	33	106	106	25	500	500	-1	0	0	-1	0	0	-1	0	0	0
151	7	11	1236535	3	22	22	1	22	22	2	22	22	0	22	22	32	114	114	33	114	114	25	700	700	12	50	50	-1	0	0	-1	0	0	0
152	7	12	1572172	3	24	24	1	24	24	2	24	24	0	24	24	32	120	120	33	120	120	25	900	900	12	60	60	-1	0	0	-1	0	0	0
153	7	13	1937809	3	26	26	1	26	26	2	26	26	0	26	26	32	128	128	33	128	128	25	1100	1100	12	70	70	-1	0	0	-1	0	0	0
154	7	14	2363446	3	28	28	1	28	28	2	28	28	0	28	28	32	136	136	33	136	136	25	1300	1300	12	80	80	-1	0	0	-1	0	0	0
155	7	15	2819123	3	30	30	1	30	30	2	30	30	0	30	30	32	144	144	33	144	144	25	1500	1500	12	90	90	-1	0	0	-1	0	0	0
156	7	16	3332123	3	32	32	1	32	32	2	32	32	0	32	32	32	152	152	33	152	152	25	1700	1700	12	100	100	-1	0	0	-1	0	0	0
157	7	17	3914755	3	34	34	1	34	34	2	34	34	0	34	34	32	160	160	33	160	160	25	1900	1900	12	110	110	-1	0	0	-1	0	0	0
158	7	18	4530000	3	36	36	1	36	36	2	36	36	0	36	36	32	166	166	33	166	166	25	2100	2100	12	120	120	-1	0	0	-1	0	0	0
159	7	19	5180000	3	38	38	1	38	38	2	38	38	0	38	38	32	172	172	33	172	172	25	2300	2300	12	130	130	-1	0	0	-1	0	0	0
160	7	20	0	3	40	40	1	40	40	2	40	40	0	40	40	32	180	180	33	180	180	25	2500	2500	12	150	150	-1	0	0	-1	0	0	0
161	8	1	50000	3	2	2	1	2	2	2	2	2	0	2	2	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
162	8	2	118275	3	4	4	1	4	4	2	4	4	0	4	4	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
163	8	3	223099	3	6	6	1	6	6	2	6	6	0	6	6	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
164	8	4	382747	3	8	8	1	8	8	2	8	8	0	8	8	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
165	8	5	615493	3	10	10	1	10	10	2	10	10	0	10	10	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
166	8	6	939612	3	12	12	1	12	12	2	12	12	0	12	12	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
167	8	7	1373378	3	14	14	1	14	14	2	14	14	0	14	14	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
168	8	8	1935066	3	16	16	1	16	16	2	16	16	0	16	16	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
169	8	9	2642951	3	18	18	1	18	18	2	18	18	0	18	18	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
170	8	10	3515307	3	20	20	1	20	20	2	20	20	0	20	20	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
171	8	11	4570409	3	22	22	1	22	22	2	22	22	0	22	22	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
172	8	12	5826531	3	24	24	1	24	24	2	24	24	0	24	24	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
173	8	13	7301948	3	26	26	1	26	26	2	26	26	0	26	26	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
174	8	14	9014934	3	28	28	1	28	28	2	28	28	0	28	28	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
175	8	15	10983764	3	30	30	1	30	30	2	30	30	0	30	30	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
176	8	16	13226712	3	32	32	1	32	32	2	32	32	0	32	32	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
177	8	17	15762053	3	34	34	1	34	34	2	34	34	0	34	34	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
178	8	18	18608062	3	36	36	1	36	36	2	36	36	0	36	36	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
179	8	19	21783013	3	38	38	1	38	38	2	38	38	0	38	38	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
180	8	20	25305181	3	40	40	1	40	40	2	40	40	0	40	40	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	0
181	8	21	29192840	3	42	42	1	42	42	2	42	42	0	42	42	32	6	6	33	6	6	25	57	57	-1	0	0	-1	0	0	-1	0	0	0
182	8	22	33464265	3	44	44	1	44	44	2	44	44	0	44	44	32	12	12	33	12	12	25	114	114	-1	0	0	-1	0	0	-1	0	0	0
183	8	23	38137730	3	46	46	1	46	46	2	46	46	0	46	46	32	18	18	33	18	18	25	171	171	-1	0	0	-1	0	0	-1	0	0	0
184	8	24	43231510	3	48	48	1	48	48	2	48	48	0	48	48	32	24	24	33	24	24	25	228	228	-1	0	0	-1	0	0	-1	0	0	0
185	8	25	48763880	3	50	50	1	50	50	2	50	50	0	50	50	32	30	30	33	30	30	25	285	285	-1	0	0	-1	0	0	-1	0	0	0
186	8	26	54753114	3	52	52	1	52	52	2	52	52	0	52	52	32	36	36	33	36	36	25	342	342	-1	0	0	-1	0	0	-1	0	0	0
187	8	27	61217487	3	54	54	1	54	54	2	54	54	0	54	54	32	42	42	33	42	42	25	399	399	-1	0	0	-1	0	0	-1	0	0	0
188	8	28	68175273	3	56	56	1	56	56	2	56	56	0	56	56	32	48	48	33	48	48	25	456	456	-1	0	0	-1	0	0	-1	0	0	0
189	8	29	75644747	3	58	58	1	58	58	2	58	58	0	58	58	32	54	54	33	54	54	25	513	513	-1	0	0	-1	0	0	-1	0	0	0
190	8	30	83644183	3	60	60	1	60	60	2	60	60	0	60	60	32	60	60	33	60	60	25	570	570	-1	0	0	-1	0	0	-1	0	0	0
191	8	31	92191856	3	62	62	1	62	62	2	62	62	0	62	62	32	66	66	33	66	66	25	627	627	12	9	9	-1	0	0	-1	0	0	0
192	8	32	101306041	3	64	64	1	64	64	2	64	64	0	64	64	32	72	72	33	72	72	25	684	684	12	18	18	-1	0	0	-1	0	0	0
193	8	33	111005012	3	66	66	1	66	66	2	66	66	0	66	66	32	78	78	33	78	78	25	741	741	12	27	27	-1	0	0	-1	0	0	0
194	8	34	121307044	3	68	68	1	68	68	2	68	68	0	68	68	32	84	84	33	84	84	25	798	798	12	36	36	-1	0	0	-1	0	0	0
195	8	35	132230411	3	70	70	1	70	70	2	70	70	0	70	70	32	90	90	33	90	90	25	855	855	12	45	45	-1	0	0	-1	0	0	0
