ROWID	_FromLevel|INTEGER	_FromGrade|INTEGER	_ToLevel|INTEGER	_ToGrade|INTEGER	_Count|INTEGER	_MainType|INTEGER	_SubType|INTEGER
1903	50	4	60	4	144	0	1
1904	60	4	60	4	101	0	1
2000	40	5	40	5	54	0	1
2001	40	5	50	5	199	0	1
2002	50	5	50	5	130	0	1
2003	50	5	60	5	216	0	1
2004	60	5	60	5	151	0	1
2100	24	3	24	3	6	0	2
2101	24	3	32	3	13	0	2
2102	32	3	32	3	9	0	2
2103	32	3	40	3	20	0	2
2104	40	3	40	3	18	0	2
2105	40	3	50	3	82	0	2
2106	50	3	50	3	54	0	2
2107	50	3	60	3	90	0	2
2108	60	3	60	3	63	0	2
2200	40	4	40	4	54	0	2
2201	40	4	50	4	140	0	2
2202	50	4	50	4	86	0	2
2203	50	4	60	4	144	0	2
2204	60	4	60	4	101	0	2
2300	40	5	40	5	54	0	2
2301	40	5	50	5	199	0	2
2302	50	5	50	5	130	0	2
2303	50	5	60	5	216	0	2
2304	60	5	60	5	151	0	2
2400	24	3	24	3	6	0	3
2401	24	3	32	3	13	0	3
2402	32	3	32	3	9	0	3
2403	32	3	40	3	20	0	3
2404	40	3	40	3	18	0	3
2405	40	3	50	3	82	0	3
2406	50	3	50	3	54	0	3
2407	50	3	60	3	90	0	3
2408	60	3	60	3	63	0	3
2500	40	4	40	4	54	0	3
2501	40	4	50	4	140	0	3
2502	50	4	50	4	86	0	3
2503	50	4	60	4	144	0	3
2504	60	4	60	4	101	0	3
2600	40	5	40	5	54	0	3
2601	40	5	50	5	199	0	3
2602	50	5	50	5	130	0	3
2603	50	5	60	5	216	0	3
2604	60	5	60	5	151	0	3
2700	24	3	24	3	6	0	4
2701	24	3	32	3	13	0	4
2702	32	3	32	3	9	0	4
2703	32	3	40	3	20	0	4
2704	40	3	40	3	18	0	4
2705	40	3	50	3	82	0	4
2706	50	3	50	3	54	0	4
2707	50	3	60	3	90	0	4
2708	60	3	60	3	63	0	4
2800	40	4	40	4	54	0	4
2801	40	4	50	4	140	0	4
2802	50	4	50	4	86	0	4
2803	50	4	60	4	144	0	4
2804	60	4	60	4	101	0	4
2900	40	5	40	5	54	0	4
2901	40	5	50	5	199	0	4
2902	50	5	50	5	130	0	4
2903	50	5	60	5	216	0	4
2904	60	5	60	5	151	0	4
3000	24	3	24	3	6	0	5
3001	24	3	32	3	13	0	5
3002	32	3	32	3	9	0	5
3003	32	3	40	3	20	0	5
3004	40	3	40	3	18	0	5
3005	40	3	50	3	82	0	5
3006	50	3	50	3	54	0	5
3007	50	3	60	3	90	0	5
3008	60	3	60	3	63	0	5
3100	40	4	40	4	54	0	5
3101	40	4	50	4	140	0	5
3102	50	4	50	4	86	0	5
3103	50	4	60	4	144	0	5
3104	60	4	60	4	101	0	5
3200	40	5	40	5	54	0	5
3201	40	5	50	5	199	0	5
3202	50	5	50	5	130	0	5
3203	50	5	60	5	216	0	5
3204	60	5	60	5	151	0	5
3300	24	3	24	3	6	0	6
3301	24	3	32	3	13	0	6
3302	32	3	32	3	9	0	6
3303	32	3	40	3	20	0	6
3304	40	3	40	3	18	0	6
3305	40	3	50	3	82	0	6
3306	50	3	50	3	54	0	6
3307	50	3	60	3	90	0	6
3308	60	3	60	3	63	0	6
3400	40	4	40	4	54	0	6
3401	40	4	50	4	140	0	6
3402	50	4	50	4	86	0	6
3403	50	4	60	4	144	0	6
3404	60	4	60	4	101	0	6
3500	40	5	40	5	54	0	6
3501	40	5	50	5	199	0	6
3502	50	5	50	5	130	0	6
3503	50	5	60	5	216	0	6
3504	60	5	60	5	151	0	6
3600	24	3	24	3	6	0	7
3601	24	3	32	3	13	0	7
3602	32	3	32	3	9	0	7
3603	32	3	40	3	20	0	7
3604	40	3	40	3	18	0	7
3605	40	3	50	3	82	0	7
3606	50	3	50	3	54	0	7
3607	50	3	60	3	90	0	7
3608	60	3	60	3	63	0	7
3700	40	4	40	4	54	0	7
3701	40	4	50	4	140	0	7
3702	50	4	50	4	86	0	7
3703	50	4	60	4	144	0	7
3704	60	4	60	4	101	0	7
3800	40	5	40	5	54	0	7
3801	40	5	50	5	199	0	7
3802	50	5	50	5	130	0	7
3803	50	5	60	5	216	0	7
3804	60	5	60	5	151	0	7
3900	24	3	24	3	6	0	8
3901	24	3	32	3	13	0	8
3902	32	3	32	3	9	0	8
3903	32	3	40	3	20	0	8
3904	40	3	40	3	18	0	8
3905	40	3	50	3	82	0	8
3906	50	3	50	3	54	0	8
3907	50	3	60	3	90	0	8
3908	60	3	60	3	63	0	8
4000	40	4	40	4	54	0	8
4001	40	4	50	4	140	0	8
4002	50	4	50	4	86	0	8
4003	50	4	60	4	144	0	8
4004	60	4	60	4	101	0	8
4100	40	5	40	5	54	0	8
4101	40	5	50	5	199	0	8
4102	50	5	50	5	130	0	8
4103	50	5	60	5	216	0	8
4104	60	5	60	5	151	0	8
4200	24	3	24	3	6	0	9
4201	24	3	32	3	13	0	9
4202	32	3	32	3	9	0	9
4203	32	3	40	3	20	0	9
4204	40	3	40	3	18	0	9
4205	40	3	50	3	82	0	9
4206	50	3	50	3	54	0	9
4207	50	3	60	3	90	0	9
4208	60	3	60	3	63	0	9
4300	40	4	40	4	54	0	9
4301	40	4	50	4	140	0	9
4302	50	4	50	4	86	0	9
4303	50	4	60	4	144	0	9
4304	60	4	60	4	101	0	9
4400	40	5	40	5	54	0	9
4401	40	5	50	5	199	0	9
4402	50	5	50	5	130	0	9
4403	50	5	60	5	216	0	9
4404	60	5	60	5	151	0	9
4500	24	3	24	3	6	0	10
4501	24	3	32	3	13	0	10
4502	32	3	32	3	9	0	10
4503	32	3	40	3	20	0	10
4504	40	3	40	3	18	0	10
4505	40	3	50	3	82	0	10
4506	50	3	50	3	54	0	10
4507	50	3	60	3	90	0	10
4508	60	3	60	3	63	0	10
4600	40	4	40	4	54	0	10
4601	40	4	50	4	140	0	10
4602	50	4	50	4	86	0	10
4603	50	4	60	4	144	0	10
4604	60	4	60	4	101	0	10
4700	40	5	40	5	54	0	10
4701	40	5	50	5	199	0	10
4702	50	5	50	5	130	0	10
4703	50	5	60	5	216	0	10
4704	60	5	60	5	151	0	10
4800	24	3	24	3	6	0	11
4801	24	3	32	3	13	0	11
4802	32	3	32	3	9	0	11
4803	32	3	40	3	20	0	11
4804	40	3	40	3	18	0	11
4805	40	3	50	3	82	0	11
4806	50	3	50	3	54	0	11
4807	50	3	60	3	90	0	11
4808	60	3	60	3	63	0	11
4900	40	4	40	4	54	0	11
4901	40	4	50	4	140	0	11
4902	50	4	50	4	86	0	11
4903	50	4	60	4	144	0	11
4904	60	4	60	4	101	0	11
5000	40	5	40	5	54	0	11
5001	40	5	50	5	199	0	11
5002	50	5	50	5	130	0	11
5003	50	5	60	5	216	0	11
5004	60	5	60	5	151	0	11
5100	24	3	24	3	6	0	12
5101	24	3	32	3	13	0	12
5102	32	3	32	3	9	0	12
5103	32	3	40	3	20	0	12
5104	40	3	40	3	18	0	12
5105	40	3	50	3	82	0	12
5106	50	3	50	3	54	0	12
5107	50	3	60	3	90	0	12
5108	60	3	60	3	63	0	12
5200	40	4	40	4	54	0	12
5201	40	4	50	4	140	0	12
5202	50	4	50	4	86	0	12
5203	50	4	60	4	144	0	12
5204	60	4	60	4	101	0	12
5300	40	5	40	5	54	0	12
5301	40	5	50	5	199	0	12
5302	50	5	50	5	130	0	12
5303	50	5	60	5	216	0	12
5304	60	5	60	5	151	0	12
5400	24	3	24	3	6	0	13
5401	24	3	32	3	13	0	13
5402	32	3	32	3	9	0	13
5403	32	3	40	3	20	0	13
5404	40	3	40	3	18	0	13
5405	40	3	50	3	82	0	13
5406	50	3	50	3	54	0	13
5407	50	3	60	3	90	0	13
5408	60	3	60	3	63	0	13
5500	40	4	40	4	54	0	13
5501	40	4	50	4	140	0	13
5502	50	4	50	4	86	0	13
5503	50	4	60	4	144	0	13
5504	60	4	60	4	101	0	13
5600	40	5	40	5	54	0	13
5601	40	5	50	5	199	0	13
5602	50	5	50	5	130	0	13
5603	50	5	60	5	216	0	13
5604	60	5	60	5	151	0	13
5700	24	3	24	3	6	0	14
5701	24	3	32	3	13	0	14
5702	32	3	32	3	9	0	14
5703	32	3	40	3	20	0	14
5704	40	3	40	3	18	0	14
5705	40	3	50	3	82	0	14
5706	50	3	50	3	54	0	14
5707	50	3	60	3	90	0	14
5708	60	3	60	3	63	0	14
5800	40	4	40	4	54	0	14
5801	40	4	50	4	140	0	14
5802	50	4	50	4	86	0	14
5803	50	4	60	4	144	0	14
5804	60	4	60	4	101	0	14
5900	40	5	40	5	54	0	14
5901	40	5	50	5	199	0	14
5902	50	5	50	5	130	0	14
5903	50	5	60	5	216	0	14
5904	60	5	60	5	151	0	14
6000	24	3	24	3	6	0	15
6001	24	3	32	3	13	0	15
6002	32	3	32	3	9	0	15
6003	32	3	40	3	20	0	15
6004	40	3	40	3	18	0	15
6005	40	3	50	3	82	0	15
6006	50	3	50	3	54	0	15
6007	50	3	60	3	90	0	15
6008	60	3	60	3	63	0	15
6100	40	4	40	4	54	0	15
6101	40	4	50	4	140	0	15
6102	50	4	50	4	86	0	15
6103	50	4	60	4	144	0	15
6104	60	4	60	4	101	0	15
6200	40	5	40	5	54	0	15
6201	40	5	50	5	199	0	15
6202	50	5	50	5	130	0	15
6203	50	5	60	5	216	0	15
6204	60	5	60	5	151	0	15
6300	24	3	24	3	6	0	16
6301	24	3	32	3	13	0	16
6302	32	3	32	3	9	0	16
6303	32	3	40	3	20	0	16
6304	40	3	40	3	18	0	16
6305	40	3	50	3	82	0	16
6306	50	3	50	3	54	0	16
6307	50	3	60	3	90	0	16
6308	60	3	60	3	63	0	16
6400	40	4	40	4	54	0	16
6401	40	4	50	4	140	0	16
6402	50	4	50	4	86	0	16
6403	50	4	60	4	144	0	16
6404	60	4	60	4	101	0	16
6500	40	5	40	5	54	0	16
6501	40	5	50	5	199	0	16
6502	50	5	50	5	130	0	16
6503	50	5	60	5	216	0	16
6504	60	5	60	5	151	0	16
6600	24	3	24	3	6	0	17
6601	24	3	32	3	13	0	17
6602	32	3	32	3	9	0	17
6603	32	3	40	3	20	0	17
6604	40	3	40	3	18	0	17
6605	40	3	50	3	82	0	17
6606	50	3	50	3	54	0	17
6607	50	3	60	3	90	0	17
6608	60	3	60	3	63	0	17
6700	40	4	40	4	54	0	17
6701	40	4	50	4	140	0	17
6702	50	4	50	4	86	0	17
6703	50	4	60	4	144	0	17
6704	60	4	60	4	101	0	17
6800	40	5	40	5	54	0	17
6801	40	5	50	5	199	0	17
6802	50	5	50	5	130	0	17
6803	50	5	60	5	216	0	17
6804	60	5	60	5	151	0	17
6900	24	3	24	3	6	0	18
6901	24	3	32	3	13	0	18
6902	32	3	32	3	9	0	18
6903	32	3	40	3	20	0	18
6904	40	3	40	3	18	0	18
6905	40	3	50	3	82	0	18
6906	50	3	50	3	54	0	18
6907	50	3	60	3	90	0	18
6908	60	3	60	3	63	0	18
7000	40	4	40	4	54	0	18
7001	40	4	50	4	140	0	18
7002	50	4	50	4	86	0	18
7003	50	4	60	4	144	0	18
7004	60	4	60	4	101	0	18
7100	40	5	40	5	54	0	18
7101	40	5	50	5	199	0	18
7102	50	5	50	5	130	0	18
7103	50	5	60	5	216	0	18
7104	60	5	60	5	151	0	18
7200	7	3	7	3	5	1	7
7201	7	3	10	3	7	1	7
7202	10	3	10	3	6	1	7
7203	10	3	13	3	8	1	7
7204	13	3	13	3	7	1	7
7205	13	3	16	3	11	1	7
7206	16	3	16	3	9	1	7
7207	16	3	19	3	12	1	7
7208	19	3	19	3	11	1	7
7209	19	3	22	3	14	1	7
7210	22	3	22	3	13	1	7
7211	22	3	25	3	16	1	7
7212	22	3	24	3	15	1	7
7213	24	3	24	3	14	1	7
7214	24	3	25	3	16	1	7
7215	25	3	25	3	14	1	7
7216	25	3	28	3	17	1	7
7217	28	3	28	3	15	1	7
7218	28	3	31	3	17	1	7
7219	31	3	31	3	16	1	7
7220	31	3	32	3	19	1	7
7221	32	3	32	3	18	1	7
7222	32	3	34	3	21	1	7
7223	34	3	34	3	19	1	7
7224	34	3	37	3	24	1	7
7225	37	3	37	3	23	1	7
7226	37	3	40	3	38	1	7
7227	40	3	40	3	35	1	7
7228	40	3	50	3	68	1	7
7229	50	3	50	3	47	1	7
7230	50	3	60	3	78	1	7
7231	60	3	60	3	55	1	7
7300	40	4	40	4	49	1	7
7301	40	4	50	4	152	1	7
7302	50	4	50	4	94	1	7
7303	50	4	60	4	156	1	7
7304	60	4	60	4	109	1	7
7400	40	5	40	5	59	1	7
7401	40	5	50	5	215	1	7
7402	50	5	50	5	140	1	7
7403	50	5	60	5	234	1	7
7404	60	5	60	5	164	1	7
7500	5	3	5	3	5	1	9
7501	5	3	8	3	7	1	9
7502	8	3	8	3	6	1	9
7503	8	3	11	3	8	1	9
7504	11	3	11	3	7	1	9
7505	11	3	14	3	11	1	9
7506	14	3	14	3	9	1	9
7507	14	3	17	3	12	1	9
7508	17	3	17	3	11	1	9
7509	17	3	20	3	14	1	9
7510	20	3	20	3	13	1	9
7511	20	3	23	3	16	1	9
7512	23	3	23	3	14	1	9
7513	23	3	26	3	17	1	9
7514	23	3	24	3	15	1	9
7515	24	3	24	3	14	1	9
7516	24	3	26	3	16	1	9
7517	26	3	26	3	15	1	9
7518	26	3	29	3	17	1	9
7519	29	3	29	3	16	1	9
7520	29	3	32	3	19	1	9
7521	32	3	32	3	18	1	9
7522	32	3	35	3	21	1	9
7523	35	3	35	3	19	1	9
7524	35	3	38	3	24	1	9
7525	38	3	38	3	23	1	9
7526	38	3	40	3	38	1	9
7527	38	3	50	3	72	1	9
7528	40	3	40	3	35	1	9
7529	40	3	50	3	68	1	9
7530	50	3	50	3	47	1	9
7531	50	3	60	3	78	1	9
7532	60	3	60	3	55	1	9
7600	40	4	40	4	49	1	9
7601	40	4	50	4	152	1	9
7602	50	4	50	4	94	1	9
7603	50	4	60	4	156	1	9
7604	60	4	60	4	109	1	9
7700	40	5	40	5	59	1	9
7701	40	5	50	5	215	1	9
7702	50	5	50	5	140	1	9
7703	50	5	60	5	234	1	9
7704	60	5	60	5	164	1	9
7800	6	3	6	3	5	1	8
7801	6	3	9	3	7	1	8
7802	9	3	9	3	6	1	8
7803	9	3	12	3	8	1	8
7804	12	3	12	3	7	1	8
7805	12	3	15	3	11	1	8
7806	15	3	15	3	9	1	8
7807	15	3	18	3	12	1	8
7808	18	3	18	3	11	1	8
7809	18	3	21	3	14	1	8
7810	21	3	21	3	13	1	8
7811	21	3	24	3	16	1	8
7812	24	3	24	3	14	1	8
7813	24	3	27	3	17	1	8
7814	27	3	27	3	15	1	8
7815	27	3	30	3	17	1	8
7816	30	3	30	3	16	1	8
7817	30	3	32	3	19	1	8
7818	32	3	32	3	18	1	8
7819	32	3	33	3	19	1	8
7820	33	3	33	3	18	1	8
7821	33	3	36	3	21	1	8
7822	36	3	36	3	19	1	8
7823	36	3	39	3	24	1	8
7824	39	3	39	3	23	1	8
7825	39	3	40	3	38	1	8
7826	39	3	50	3	72	1	8
7827	40	3	40	3	35	1	8
7828	40	3	50	3	68	1	8
7829	50	3	50	3	47	1	8
7830	50	3	60	3	78	1	8
7831	60	3	60	3	55	1	8
7900	40	4	40	4	49	1	8
7901	40	4	50	4	152	1	8
7902	50	4	50	4	94	1	8
7903	50	4	60	4	156	1	8
7904	60	4	60	4	109	1	8
8000	40	5	40	5	59	1	8
8001	40	5	50	5	215	1	8
8002	50	5	50	5	140	1	8
8003	50	5	60	5	234	1	8
8004	60	5	60	5	164	1	8
8100	24	3	24	3	6	0	19
8101	24	3	32	3	13	0	19
8102	32	3	32	3	9	0	19
8103	32	3	40	3	20	0	19
8104	40	3	40	3	18	0	19
8105	40	3	50	3	82	0	19
8106	50	3	50	3	54	0	19
8107	50	3	60	3	90	0	19
8108	60	3	60	3	63	0	19
8200	40	4	40	4	54	0	19
8201	40	4	50	4	140	0	19
8202	50	4	50	4	86	0	19
8203	50	4	60	4	144	0	19
8204	60	4	60	4	101	0	19
8300	40	5	40	5	54	0	19
8301	40	5	50	5	199	0	19
8302	50	5	50	5	130	0	19
8303	50	5	60	5	216	0	19
8304	60	5	60	5	151	0	19
8400	24	3	24	3	6	0	20
8401	24	3	32	3	13	0	20
8402	32	3	32	3	9	0	20
8403	32	3	40	3	20	0	20
8404	40	3	40	3	18	0	20
8405	40	3	50	3	82	0	20
8406	50	3	50	3	54	0	20
8407	50	3	60	3	90	0	20
8408	60	3	60	3	63	0	20
8500	40	4	40	4	54	0	20
8501	40	4	50	4	140	0	20
8502	50	4	50	4	86	0	20
8503	50	4	60	4	144	0	20
8504	60	4	60	4	101	0	20
8600	40	5	40	5	54	0	20
8601	40	5	50	5	199	0	20
8602	50	5	50	5	130	0	20
8603	50	5	60	5	216	0	20
8604	60	5	60	5	151	0	20
8700	24	3	24	3	6	0	21
8701	24	3	32	3	13	0	21
8702	32	3	32	3	9	0	21
8703	32	3	40	3	20	0	21
8704	40	3	40	3	18	0	21
8705	40	3	50	3	82	0	21
8706	50	3	50	3	54	0	21
8707	50	3	60	3	90	0	21
8708	60	3	60	3	63	0	21
8800	40	4	40	4	54	0	21
8801	40	4	50	4	140	0	21
8802	50	4	50	4	86	0	21
8803	50	4	60	4	144	0	21
8804	60	4	60	4	101	0	21
8900	40	5	40	5	54	0	21
8901	40	5	50	5	199	0	21
8902	50	5	50	5	130	0	21
8903	50	5	60	5	216	0	21
8904	60	5	60	5	151	0	21
9001	40	4	40	4	54	0	22
9002	40	4	50	4	140	0	22
9003	50	4	50	4	86	0	22
9004	50	4	60	4	144	0	22
9005	60	4	60	4	101	0	22
9101	40	5	40	5	54	0	22
9102	40	5	50	5	199	0	22
9103	50	5	50	5	130	0	22
9104	50	5	60	5	216	0	22
9105	60	5	60	5	151	0	22
9201	40	4	40	4	54	0	23
9202	40	4	50	4	140	0	23
9203	50	4	50	4	86	0	23
9204	50	4	60	4	144	0	23
9205	60	4	60	4	101	0	23
9301	40	5	40	5	54	0	23
9302	40	5	50	5	199	0	23
9303	50	5	50	5	130	0	23
9304	50	5	60	5	216	0	23
9305	60	5	60	5	151	0	23
9501	40	4	40	4	54	0	24
9502	40	4	50	4	140	0	24
9503	50	4	50	4	86	0	24
9504	50	4	60	4	144	0	24
9505	60	4	60	4	101	0	24
9601	40	5	40	5	54	0	24
9602	40	5	50	5	199	0	24
9603	50	5	50	5	130	0	24
9604	50	5	60	5	216	0	24
9605	60	5	60	5	151	0	24
