ROWID	_MailType|INTEGER	_MailSender|INTEGER	_MailTitle|INTEGER	_MailText|INTEGER	_MailPresentItem1|INTEGER	_Count1|INTEGER	_MailPresentItem2|INTEGER	_Count2|INTEGER	_MailPresentItem3|INTEGER	_Count3|INTEGER	_MailPresentItem4|INTEGER	_Count4|INTEGER	_MailPresentItem5|INTEGER	_Count5|INTEGER	_MailPresentMoney|INTEGER	_IsCash|BOOLEAN	_KeepBoxReceive|INTEGER	_KeepBoxType|INTEGER	_KeepBoxLevelMin|INTEGER	_KeepBoxLevelMax|INTEGER	_KeepBoxClass|INTEGER	_MailTab|INTEGER
310048	3	8813	1000031725	1000038603	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310049	9	1000015061	1000030629	1000055944	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310050	9	1000015061	1000030630	1000055944	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310051	9	1000015061	1000030631	1000055945	352322560	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310052	9	1000015061	1000030631	1000055946	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310053	9	1000015061	1000030631	1000055946	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310054	9	1000015061	1000030634	1000055947	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
310055	9	1000015061	1000030635	1000030640	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
749	9	1000015061	1000030629	1000030636	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
750	9	1000015061	1000030630	1000030636	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
751	9	1000015061	1000030631	1000030637	352322560	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
752	9	1000015061	1000030631	1000030638	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
753	9	1000015061	1000030631	1000030638	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
754	9	1000015061	1000030634	1000030639	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
755	9	1000015061	1000030635	1000030640	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2274	9	1000015061	1000030629	1000030636	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2275	9	1000015061	1000030630	1000030636	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2276	9	1000015061	1000030631	1000030637	352322560	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2277	9	1000015061	1000030631	1000030638	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2278	9	1000015061	1000030631	1000030638	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2279	9	1000015061	1000030634	1000030639	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2280	9	1000015061	1000030635	1000030640	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2719	9	1000015061	1000030629	1000030636	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2720	9	1000015061	1000030630	1000030636	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2721	9	1000015061	1000030631	1000030637	352322560	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2722	9	1000015061	1000030631	1000030638	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2723	9	1000015061	1000030631	1000030638	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2724	9	1000015061	1000030634	1000030639	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2725	9	1000015061	1000030635	1000030640	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3095	3	8813	1000031725	1000091143	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3123	9	1000015061	1000030629	1000030636	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3124	9	1000015061	1000030630	1000030636	352322560	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3125	9	1000015061	1000030631	1000030637	352322560	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3126	9	1000015061	1000030631	1000030638	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3127	9	1000015061	1000030631	1000030638	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3128	9	1000015061	1000030634	1000030639	352322560	10	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3129	9	1000015061	1000030635	1000030640	352322560	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
354	3	1000040593	1000040594	1000040614	536871420	1	536871415	3	0	0	0	0	0	0	0	false	0	0	0	0	0	4
355	3	1000040593	1000040595	1000040614	536871421	1	536871415	3	0	0	0	0	0	0	0	false	0	0	0	0	0	4
356	3	1000040593	1000040596	1000040614	536871422	1	536871415	3	0	0	0	0	0	0	0	false	0	0	0	0	0	4
357	3	1000040593	1000040597	1000040614	536871423	1	536871415	3	0	0	0	0	0	0	0	false	0	0	0	0	0	4
358	3	1000040593	1000040598	1000040614	536871424	1	536871415	3	0	0	0	0	0	0	0	false	0	0	0	0	0	4
359	3	1000040593	1000040599	1000040614	536871425	1	536871415	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
360	3	1000040593	1000040600	1000040614	536871425	1	536871415	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
361	3	1000040593	1000040601	1000040614	536871425	1	536871415	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
362	3	1000040593	1000040602	1000040614	536871425	1	536871415	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
363	3	1000040593	1000040603	1000040614	536871425	1	536871415	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
364	3	1000040593	1000040604	1000040615	536871410	2	536871411	2	536871415	1	536871414	5	0	0	0	false	0	0	0	0	0	4
365	3	1000040593	1000040605	1000040615	536871412	2	536871413	2	536871414	3	0	0	0	0	0	false	0	0	0	0	0	4
366	3	1000040593	1000040606	1000040615	536871412	1	536871413	1	536871414	3	0	0	0	0	0	false	0	0	0	0	0	4
367	3	1000040593	1000040607	1000040615	536871412	1	536871414	3	0	0	0	0	0	0	0	false	0	0	0	0	0	4
368	3	1000040593	1000040608	1000040615	536871413	1	536871414	2	0	0	0	0	0	0	0	false	0	0	0	0	0	4
369	3	1000040593	1000040609	1000040615	536871414	2	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
370	3	1000040593	1000040610	1000040615	536871414	2	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
371	3	1000040593	1000040611	1000040615	536871414	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
372	3	1000040593	1000040612	1000040615	536871414	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
373	3	1000040593	1000040613	1000040615	536871414	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
441	3	1000009487	109048	109049	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
452	3	1000009487	109048	109050	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
491	3	1000009487	1000043837	1000043942	1900066	1	300000051	1	300000054	1	900000333	1	0	0	0	true	0	0	0	0	0	4
756	3	1000009487	1000043837	1000043942	3700043	1	3700054	1	0	0	0	0	0	0	0	true	0	0	0	0	0	4
539	3	1000009487	1000044786	1000046965	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2493	3	1000009487	1000136823	1000147739	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1269	3	1000009487	1000043837	1000043942	3900011	1	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	4
2208	3	1000009487	1000043837	1000043942	3900019	1	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0
1282	3	1000009487	1000043837	1000043942	3900011	1	3900012	1	0	0	0	0	0	0	0	true	0	0	0	0	0	4
1283	3	1000009487	1000043837	1000043942	3900011	1	3900013	1	0	0	0	0	0	0	0	true	0	0	0	0	0	4
1284	3	1000009487	1000043837	1000043942	3900011	1	3900014	1	0	0	0	0	0	0	0	true	0	0	0	0	0	4
1285	3	1000009487	1000043837	1000043942	3900011	1	3900015	1	0	0	0	0	0	0	0	true	0	0	0	0	0	4
1286	3	1000009487	1000043837	1000043942	3900011	1	3900016	1	0	0	0	0	0	0	0	true	0	0	0	0	0	4
2110	3	1000009487	1000043837	1000043942	3900011	1	3900018	1	0	0	0	0	0	0	0	true	0	0	0	0	0	4
1327	19	1000009487	1000050086	1000051197	346031104	668	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1328	19	1000009487	1000050086	1000051197	346031104	644	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1329	19	1000009487	1000050086	1000051197	346031104	534	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1330	19	1000009487	1000050086	1000051197	346031104	464	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1331	19	1000009487	1000050086	1000051197	346031104	349	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1497	19	1000009487	1000050086	1000051197	346031104	200	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1498	19	1000009487	1000050086	1000051197	346031104	80	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1499	19	1000009487	1000050086	1000051197	346031104	50	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1500	19	1000009487	1000050086	1000051197	346031104	100	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1501	3	1000009487	1000051727	1000051728	805307275	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1593	3	1000009487	1000051727	1000051728	805307276	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1594	3	1000009487	1000051727	1000051728	805307277	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1595	3	1000009487	1000051727	1000051728	805307278	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1596	3	1000009487	1000051727	1000051728	805307279	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1597	3	1000009487	1000051727	1000051728	805307280	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1709	3	1000009487	1000053079	1000043942	910000770	1	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	4
1710	3	1000009487	1000053080	1000043942	910000771	1	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	4
1711	3	1000009487	1000053081	1000043942	910000772	1	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	4
2098	3	1000009487	1000053081	1000043942	910000772	1	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	4
2651	3	1000009487	1000053081	1000043942	910000772	1	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	4
3167	3	1000009487	1000053081	1000043942	910000772	1	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	4
1895	3	1000009487	1000055175	1000055176	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1929	3	1000009487	1000055826	1000054508	536873241	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1930	3	1000009487	1000055826	1000054508	536873241	5	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1931	3	1000009487	1000055826	1000054509	612442112	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1932	3	1000009487	1000055826	1000054509	268463241	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	2
1943	3	1000009487	1000056268	1000056281	805307585	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1944	3	1000009487	1000056269	1000056282	805307586	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1945	3	1000009487	1000056270	1000056283	805307587	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1946	3	1000009487	1000056268	1000056281	805307647	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1947	3	1000009487	1000056269	1000056282	805307648	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1948	3	1000009487	1000056270	1000056283	805307649	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1949	3	1000009487	1000056271	1000056284	805307647	1	805307657	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1950	3	1000009487	1000056272	1000056285	805307648	1	805307658	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1951	3	1000009487	1000056273	1000056286	805307649	1	805307659	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1952	3	1000009487	1000056274	1000056287	805307650	1	805307660	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1953	3	1000009487	1000056275	1000056288	805307651	1	805307661	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1954	3	1000009487	1000056276	1000056289	805307652	1	805307662	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1955	3	1000009487	1000056277	1000056290	805307653	1	805307663	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1956	3	1000009487	1000056278	1000056291	805307654	1	805307664	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1957	3	1000009487	1000056279	1000056292	805307655	1	805307665	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1958	3	1000009487	1000056280	1000056293	805307656	1	805307666	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1959	3	1000009487	1000056271	1000056294	805307647	1	805307657	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1960	3	1000009487	1000056272	1000056295	805307648	1	805307658	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1961	3	1000009487	1000056273	1000056296	805307649	1	805307659	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1962	3	1000009487	1000056274	1000056297	805307650	1	805307660	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1963	3	1000009487	1000056275	1000056298	805307651	1	805307661	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1964	3	1000009487	1000056276	1000056299	805307652	1	805307662	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1965	3	1000009487	1000056277	1000056300	805307653	1	805307663	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1966	3	1000009487	1000056278	1000056301	805307654	1	805307664	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1967	3	1000009487	1000056279	1000056302	805307655	1	805307665	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
1968	3	1000009487	1000056280	1000056303	805307656	1	805307666	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2211	3	1000009487	8593	8593	0	0	0	0	0	0	0	0	0	0	2522	false	0	0	0	0	0	4
2212	3	1000009487	8593	8593	0	0	0	0	0	0	0	0	0	0	8077	false	0	0	0	0	0	4
2213	3	1000009487	8593	8593	0	0	0	0	0	0	0	0	0	0	7753	false	0	0	0	0	0	4
2214	3	1000009487	8593	8593	0	0	0	0	0	0	0	0	0	0	7979	false	0	0	0	0	0	4
2215	3	1000009487	8593	8593	304289857	1	0	0	0	0	0	0	0	0	18082	false	0	0	0	0	0	4
2216	3	1000009487	8593	8593	0	0	0	0	0	0	0	0	0	0	20250	false	0	0	0	0	0	4
2217	3	1000009487	8593	8593	0	0	0	0	0	0	0	0	0	0	21094	false	0	0	0	0	0	4
2218	3	1000009487	8593	8593	304289985	1	0	0	0	0	0	0	0	0	27188	false	0	0	0	0	0	4
2219	3	1000009487	8593	8593	0	0	0	0	0	0	0	0	0	0	29063	false	0	0	0	0	0	4
2220	3	1000009487	8593	8593	0	0	0	0	0	0	0	0	0	0	31875	false	0	0	0	0	0	4
2221	3	1000009487	8593	8593	304290049	1	0	0	0	0	0	0	0	0	52083	false	0	0	0	0	0	4
2222	3	1000009487	8593	8593	268447171	1	0	0	0	0	0	0	0	0	73333	false	0	0	0	0	0	4
2223	3	1000009487	8593	8593	0	0	0	0	0	0	0	0	0	0	80208	false	0	0	0	0	0	4
2224	3	1000009487	8593	8593	268447172	1	0	0	0	0	0	0	0	0	105875	false	0	0	0	0	0	4
2710	3	1000009487	8593	8593	268451911	1	0	0	0	0	0	0	0	0	126042	false	0	0	0	0	0	4
2830	3	1000009487	8593	8593	338889728	10	0	0	0	0	0	0	0	0	126042	false	0	0	0	0	0	4
2831	3	1000009487	8593	8593	536875339	10	0	0	0	0	0	0	0	0	80208	false	0	0	0	0	0	4
2832	3	1000009487	8593	8593	1073759009	3	0	0	0	0	0	0	0	0	126042	false	0	0	0	0	0	4
3168	3	1000009487	8593	8593	0	0	0	0	0	0	0	0	0	0	126042	false	0	0	0	0	0	4
2463	0	0	0	0	536873867	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0
2464	0	0	0	0	536873866	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0
2465	0	0	0	0	536873870	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0
2466	0	0	0	0	536873871	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0
2467	0	0	0	0	536873868	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0
2468	0	0	0	0	536873869	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0
2484	22	1000009487	1000073198	1000073199	374341682	50	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2485	22	1000009487	1000073198	1000073199	374341682	75	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2486	22	1000009487	1000073198	1000073199	374341682	100	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2487	22	1000009487	1000073198	1000073199	374341682	125	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2488	22	1000009487	1000073198	1000073199	374341682	150	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2489	22	1000009487	1000073198	1000073199	374341682	200	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2490	22	1000009487	1000073198	1000073199	374341682	300	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2491	22	1000009487	1000073198	1000073199	374341682	400	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2492	22	1000009487	1000073198	1000073199	374341682	500	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2550	23	1000009487	1000074198	1000074202	805308682	1	338889728	30	536873241	10	0	0	0	0	0	false	0	0	0	0	0	4
2551	23	1000009487	1000074199	1000074203	338889728	25	536873241	10	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2552	23	1000009487	1000074200	1000074204	338889728	20	536873241	10	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2553	23	1000009487	1000074201	1000074205	338889728	15	536873241	5	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2554	23	1000009487	1000074201	1000074206	338889728	7	536873241	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2555	23	1000009487	1000074201	1000074207	338889728	3	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2556	3	1000009487	1000074490	1000074491	805308664	1	0	0	0	0	0	0	0	0	5000000	false	0	0	0	0	0	4
2557	3	1000009487	1000074490	1000074492	805308665	1	0	0	0	0	0	0	0	0	50000	false	0	0	0	0	0	4
2558	3	1000009487	1000074490	1000074493	805308672	1	1073742198	100	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2559	3	1000009487	1000074490	1000074494	805308673	1	336990720	100	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2560	3	1000009487	1000074490	1000074495	805308674	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2561	3	1000009487	1000074490	1000074496	805308675	1	374341682	1000	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2562	3	1000009487	1000074490	1000074497	805308676	1	268442257	100	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2563	3	1000009487	1000074490	1000074498	805308679	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2564	3	1000009487	1000074490	1000074499	805308677	1	338889728	150	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2565	3	1000009487	1000074490	1000074500	805308678	1	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2761	3	1000009487	1000074490	1000083771	805309277	1	268474991	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3697	3	1000009487	1000074490	1000117565	805311164	1	268476138	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3698	3	1000009487	1000074490	1000117566	805311165	1	268475472	1	0	0	0	0	0	0	0	false	0	0	0	0	0	4
3699	3	1000009487	1000074490	1000117567	805311166	1	268475871	50	0	0	0	0	0	0	0	false	0	0	0	0	0	4
2679	24	1000009487	1000078107	1000078108	268466189	1	0	0	0	0	0	0	0	0	50000	false	0	0	0	0	0	4
2680	24	1000009487	1000078107	1000078109	268466189	3	0	0	0	0	0	0	0	0	50000	false	0	0	0	0	0	4
2681	24	1000009487	1000078107	1000078110	268466189	3	0	0	0	0	0	0	0	0	50000	false	0	0	0	0	0	4
2682	24	1000009487	1000078107	1000078111	268466189	5	268466749	5	0	0	0	0	0	0	100000	false	0	0	0	0	0	4
2683	24	1000009487	1000078107	1000078112	268466189	5	268442257	3	0	0	0	0	0	0	100000	false	0	0	0	0	0	4
2684	24	1000009487	1000078107	1000078113	268466189	5	268442257	3	0	0	0	0	0	0	100000	false	0	0	0	0	0	4
2685	24	1000009487	1000078107	1000078114	268466189	5	268466749	5	0	0	0	0	0	0	300000	false	0	0	0	0	0	4
2686	24	1000009487	1000078107	1000078115	268466189	5	268442257	3	0	0	0	0	0	0	300000	false	0	0	0	0	0	4
2687	24	1000009487	1000078107	1000078116	268466189	10	268466749	5	0	0	0	0	0	0	500000	false	0	0	0	0	0	4
