ROWID	_NameID|INTEGER	_FunctionDescriptionID|INTEGER	_ActorIndex|INTEGER	_TalkFile|TEXT	_ScriptFile|TEXT	_Param1|INTEGER	_Param2|INTEGER	_Quest1|INTEGER	_Quest2|INTEGER	_Quest3|INTEGER	_Quest4|INTEGER	_Quest5|INTEGER	_Quest6|INTEGER	_Quest7|INTEGER	_Quest8|INTEGER	_Quest9|INTEGER	_Quest10|INTEGER	_Quest11|INTEGER	_Quest12|INTEGER	_Quest13|INTEGER	_Quest14|INTEGER	_Quest15|INTEGER	_Quest16|INTEGER	_Quest17|INTEGER	_Quest18|INTEGER	_Quest19|INTEGER	_Quest20|INTEGER	_Quest21|INTEGER	_Quest22|INTEGER	_Quest23|INTEGER	_Quest24|INTEGER	_Quest25|INTEGER	_Quest26|INTEGER	_Quest27|INTEGER	_Quest28|INTEGER	_Quest29|INTEGER	_Quest30|INTEGER	_Quest31|INTEGER	_Quest32|INTEGER	_Quest33|INTEGER	_Quest34|INTEGER	_Quest35|INTEGER	_Quest36|INTEGER	_Quest37|INTEGER	_Quest38|INTEGER	_Quest39|INTEGER	_Quest40|INTEGER	_Quest41|INTEGER	_Quest42|INTEGER	_Quest43|INTEGER	_Quest44|INTEGER	_Quest45|INTEGER	_Quest46|INTEGER	_Quest47|INTEGER	_Quest48|INTEGER	_Quest49|INTEGER	_Quest50|INTEGER	_QuestUnmarked|TEXT	_Weapon1Index|INTEGER	_Weapon2Index|INTEGER	_NpcJobIndex|INTEGER	_BeginTalk1|INTEGER	_BeginTalk2|INTEGER	_BeginTalk3|INTEGER	_BeginTalk4|INTEGER	_FinishTalk1|INTEGER	_FinishTalk2|INTEGER	_FinishTalk3|INTEGER	_FinishTalk4|INTEGER	_OpenShop1|TEXT	_OpenShop2|TEXT	_OpenShop3|TEXT	_OpenShop4|TEXT	_CloseShop1|TEXT	_CloseShop2|TEXT	_CloseShop3|TEXT	_CloseShop4|TEXT	_SizeMin|FLOAT	_SizeMax|FLOAT	_MapIndex|TEXT	_ShopIcon|BOOLEAN	_MinimapShow|BOOLEAN
11	1000000366	0	1010	n011_priest_leonardo.xml	n011_priest_leonardo.lua	0	0	0	0	0	120	125	144	9463	9464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11780	0	0	0	11868	0	12509	0									1.0	1.0	5	false	true
12	1000000367	1000033828	1011	n012_sorceress_master_cynthia.xml	n012_sorceress_master_cynthia.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	129	133	135	137	138	139	142	143	94	95	96	97	99	100	9466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	10	11781	12007	0	0	11869	12403	0	0	npc_Cinsia_sp_08_c.wav	npc_Cinsia_sp_01_a.wav			npc_Cinsia_sp_02_b.wav	npc_Cinsia_sp_03_b.wav			1.0	1.0	5	false	true
13	1000000368	1000033829	1012	n013_cleric_tomas.xml	n013_cleric_tomas.lua	0	0	155	156	157	121	0	0	0	0	110	126	127	130	131	132	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	11	11782	12008	12115	12191	11870	12404	12510	12584	npc_Thomas_sp_05_c.wav	npc_Thomas_sp_06_b.wav			npc_Thomas_sp_07_a.wav	npc_Thomas_sp_08_c.wav			1.0	1.0	5	false	true
14	1000000369	0	1062	n014_cleric_cedric.xml	n014_cleric_cedric.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11783	12009	0	0	11871	12405	0	0									1.0	1.0		false	true
15	1000000370	1000137634	1014	n015_sorceress_tara.xml	n015_sorceress_tara.lua	0	0	0	0	0	0	0	0	0	136	140	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8802,8803,8804,8805,8806,8812,8813	0	0	0	11948	12010	0	0	12662	12406	0	0									1.0	1.0	5	true	true
16	1000000371	1000033824	1003	n016_trader_borin.xml	n016_trader_borin.lua	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	11784	12011	0	0	12663	12407	0	0	npc_Borin_sp_03_a.wav	npc_Borin_sp_04_c.wav			npc_Borin_sp_05_c.wav	npc_Borin_sp_06_c.wav			1.0	1.0	5	true	true
17	1000000372	1000033825	1016	n017_trader_jeny.xml	n017_trader_jeny.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	3	11785	12012	0	0	11872	12408	0	0	npc_Jeny_sp_03_b.wav	npc_Jeny_sp_04_c.wav			npc_Jeny_sp_05_c.wav	npc_Jeny_sp_06_a.wav			1.0	1.0	5	true	true
18	1000003203	0	1046	n018_saint_guard.xml	n018_saint_guard.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11949	0	0	0	0	0	0	0									1.0	1.0		false	true
19	1000000374	0	1018	n019_sorceress_fallen.xml	n019_sorceress_fallen.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0									1.0	1.0		false	true
20	1000000375	0	1019	n020_sorceress_yullia.xml	n020_sorceress_yullia.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0									1.0	1.0		false	true
21	1000000374	0	1061	n021_sorceress_fallen.xml	n021_sorceress_fallen.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0									1.0	1.0		false	true
22	1000000374	0	1103	n022_sorceress_fallen.xml	n022_sorceress_fallen.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0									1.0	1.0		false	true
23	1000000376	1000137634	1022	n023_ranger_fugus.xml	n023_ranger_fugus.lua	0	0	201	202	203	221	222	186	9469	9470	9578	9579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11950	12013	0	0	12664	12409	0	0									1.0	1.0		true	true
24	1000000377	1000033830	1023	n024_adventurer_guildmaster_decud.xml	n024_adventurer_guildmaster_decud.lua	0	0	259	260	0	315	319	0	0	0	0	0	366	0	204	207	211	212	213	214	215	216	0	223	224	233	234	235	375	376	0	253	188	189	190	191	192	193	197	198	250	249	9584	9585	9586	0	0	0	0	0	0	0	9102,9103,9104,9105,9106,9107,9108,9109,9110,9111,9112,9113	0	0	7	11786	12014	12116	0	11873	12410	12511	0									1.0	1.0	8	false	true
25	1000003204	1000033824	1003	n025_trader_corin.xml	n025_trader_corin.lua	0	0	288	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	0	12011	0	0	12663	12407	0	0	npc_Borin_sp_03_a.wav	npc_Borin_sp_04_c.wav			npc_Borin_sp_05_c.wav	npc_Borin_sp_06_c.wav			1.0	1.0	8	true	true
26	1000000379	1000033825	1025	n026_trader_may.xml	n026_trader_may.lua	0	0	252	270	310	311	318	320	323	324	326	327	328	329	330	331	332	0	6201	355	356	357	358	359	360	361	362	363	364	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5102,5103,5104,5105,5106,5107,5108,5109,5110,5111,5112,5113	0	0	3	11787	12015	0	0	11874	12411	0	0	npc_Mei_sp_03_b.wav	npc_Mei_sp_04_b.wav			npc_Mei_sp_05_a.wav	npc_Mei_sp_06_c.wav			1.0	1.0	8	true	true
27	1000000380	0	1026	n027_argenta.xml	n027_argenta.lua	0	0	204	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11951	12016	12117	0	12665	12412	12653	0									1.0	1.0		false	true
28	1000000381	1000086179	1027	n028_scholar_bailey.xml	n028_scholar_bailey.lua	0	0	297	0	0	312	322	0	0	5301	0	205	225	0	287	314	4993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5302,5303,5304,5305,5306,5312,5313	0	0	0	11952	12017	0	0	12666	12413	0	0									1.0	1.0	8	true	true
29	1000000382	0	1087	n029_crew_kevin.xml	n029_crew_kevin.lua	0	0	300	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5802,5803,5804,5805,5806,5812,5813	0	0	0	11953	12018	0	0	12667	12414	0	0									1.0	1.0	8	false	true
30	1000000383	0	1029	n030_pilot_hank.xml	n030_pilot_hank.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11788	12019	0	0	11875	12415	0	0									1.0	1.0		false	true
31	1000000384	0	1030	n031_adventurer_wilber.xml	n031_adventurer_wilber.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11789	0	0	0	11876	0	0	0									1.0	1.0		false	true
32	1000000385	1000033827	1031	n032_warrior_master_chandler.xml	n032_warrior_master_chandler.lua	0	0	275	276	277	0	279	290	291	0	7001	4603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7002,7003,7004,7005,7006,7007,7008,7009,7010,7011,7012,7013	269488069	0	8	11954	12020	0	0	12668	12416	0	0	npc_Guard Chandler_sp_03_c.wav	npc_Guard Chandler_sp_04_c.wav			npc_Guard Chandler_sp_05_c.wav	npc_Guard Chandler_sp_06_c.wav			1.0	1.0	8	false	true
33	1000000386	1000033826	1032	n033_archer_master_adellin.xml	n033_archer_master_adellin.lua	0	0	251	0	281	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5502,5503,5504,5505,5506,5507,5508,5509,5510,5511,5512,5513	0	0	9	11790	12021	0	0	11877	12417	0	0	npc_adelin_sp_03_b.wav	npc_adelin_sp_04_a.wav			npc_adelin_sp_05_a.wav	npc_adelin_sp_06_b.wav			1.0	1.0	8	false	true
34	1000000387	1000033829	1033	n034_cleric_master_germain.xml	n034_cleric_master_germain.lua	0	0	255	256	257	258	0	285	0	321	333	334	335	0	206	9472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	11	11791	12022	0	0	11878	12418	0	0	npc_Germain_sp_03_a.wav	npc_Germain_sp_04_c.wav			npc_Germain_sp_05_c.wav	npc_Germain_sp_06_c.wav			1.0	1.0	8	false	true
35	1000000388	1000033828	1034	n035_soceress_master_tiana.xml	n035_soceress_master_tiana.lua	0	0	0	283	292	293	308	309	0	0	0	217	218	194	195	196	199	200	9477	9588	9589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	10	11792	12023	0	0	11879	12419	0	0	npc_Tiana_sp_03_c.wav	npc_Tiana_sp_04_a.wav			npc_Tiana_sp_05_c.wav	npc_Tiana_sp_06_a.wav			1.0	1.0	8	false	true
36	1000000389	1000033830	1035	n036_adventurer_guildmaster_gunter.xml	n036_adventurer_guildmaster_gunter.lua	0	0	479	480	481	3761	519	520	522	523	524	0	508	509	477	0	0	0	0	0	0	0	867	868	869	870	4013	4014	4020	4038	4039	4040	4041	4044	4045	4046	4047	4042	4074	4075	4076	4089	4095	4294	4176	4177	4178	4179	4180	4196	4427	4424	9151,9152,9153,9154,9155,9156,9157,9158,9159,9160,9161,9162	0	0	7	11793	12024	12118	12192	11880	12420	12512	12585									1.0	1.0	11	false	true
37	1000000390	0	1036	n037_geraint.xml	n037_geraint.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		79	0	0	11794	12025	12119	12193	11881	12421	12513	12586									1.0	1.0		false	true
38	1000000391	0	1037	n038_royal_magician_kalaen.xml	n038_royal_magician_kalaen.lua	0	0	566	572	567	568	602	599	600	601	413	414	0	634	635	636	637	638	639	640	385	386	585	9315	9316	9492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6501,6502,6503,6504,6505,6506,6507,6508,6509,6510,6511,6512	0	0	0	11795	12026	12120	12194	11882	12422	12514	12587									1.0	1.0		false	true
39	1000000392	0	1038	n039_bishop_ignasio.xml	n039_bishop_ignasio.lua	0	0	402	419	420	421	406	407	408	409	410	411	0	416	417	0	424	425	426	427	428	429	9302	9479	9480	9496	9499	9592	9599	9600	9603	9605	9606	9609	9612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11796	12027	12121	12195	11883	12423	12515	12588									1.0	1.0		false	true
40	1000000393	0	99009	n040_king_casius.xml	n040_king_casius.lua	0	0	6601	0	680	681	682	683	685	686	688	689	690	692	0	696	697	699	4282	4283	4155	9736	9737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6602,6603,6604,6605,6606,6612,6613,6614	0	0	0	11955	12028	12122	12196	12669	12424	12516	12589									1.0	1.0		false	true
41	1000000394	0	1040	n041_duke_stwart.xml	n041_duke_stwart.lua	0	0	533	534	535	536	561	562	563	596	6701	0	641	643	644	645	4156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6702,6703,6704,6705,6706,6712,6713	0	0	0	11797	12029	12123	12197	11884	12425	12517	12590									1.0	1.0		false	true
42	1000000395	0	1041	n042_general_duglars.xml	n042_general_duglars.lua	0	0	451	452	453	454	455	456	518	537	539	541	510	583	584	6801	540	403	404	431	629	630	0	576	579	9728	9729	0	0	0	9614	698	436	437	438	442	443	0	9303	9304	9305	9306	9307	9311	9312	9313	9314	4554	9481	9483	9489	9495	6802,6803,6804,6805,6806,6807,6812,6813	0	0	0	11956	12030	12124	12198	12670	12426	12518	12591									1.0	1.0		false	true
43	1000000396	0	1042	n043_warrior_master_herman.xml	n043_warrior_master_herman.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		269488088	0	0	0	0	0	0	0	0	0	0									1.0	1.0		false	true
44	1000000397	1000033826	1043	n044_archer_master_ishilien.xml	n044_archer_master_ishilien.lua	0	0	529	0	0	474	574	415	654	876	877	4010	4011	4093	4094	4099	4112	4296	9269	4326	4327	4333	9317	9321	4146	4147	9394	9604	9727	0	0	0	3602	3603	3604	3825	3826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5566,5567,5568,5569,5570,5571,5572,5573,5574,5575,5576,5577	0	0	9	11798	12031	12125	12199	11885	12427	12519	12592	npc_Ishillien_0044_sp_06_b.wav	npc_Ishillien_0044_sp_07_b.wav			npc_Ishillien_0044_sp_09_a.wav	npc_Ishillien_0044_sp_08_b.wav			1.0	1.0	11	false	true
45	1000000398	1000033828	1044	n045_soceress_master_stella.xml	n045_soceress_master_stella.lua	0	0	465	466	525	527	528	532	502	503	504	485	489	4185	4186	9601	0	0	7501	8801	3829	3830	9596	871	872	873	874	878	4012	4032	4035	9225	9226	9227	9228	9229	4123	4142	4170	9246	9247	9248	4228	4230	9256	9257	9258	9378	9379	9380	9381	9382	7502,7503,7504,7505,7506,7507,7508,7509,7510,7511,7512,7513,7514	0	0	10	11799	12032	12126	12200	11886	12428	12520	12593	npc_Stella_sp_05_c.wav	npc_Stella_sp_06_a.wav			npc_Stella_sp_07_b.wav	npc_Stella_sp_08_a.wav			1.0	1.0	11	false	true
46	1000000399	1000033829	1045	n046_cleric_master_enoc.xml	n046_cleric_master_enoc.lua	0	0	476	594	8201	123	642	646	647	655	656	657	658	659	660	661	0	4081	4085	4100	4101	4107	3827	3828	0	0	4143	4144	4145	0	0	4234	4135	4136	4137	4165	0	0	0	3665	0	0	0	0	0	0	0	0	0	0	0	0	8202,8203,8204,8205,8206,8207,8208,8209,8210,8211,8212,8213	0	0	11	11800	12033	12127	12201	11887	12429	12521	12594	npc_Enoc_sp_05_b.wav	npc_Enoc_sp_06_c.wav			npc_Enoc_sp_07_a.wav	npc_Enoc_sp_08_a.wav			1.0	1.0	11	false	true
47	0	0	1507	n047_unknown_girl_lena.xml	n047_unknown_girl_lena.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11801	12034	12049	0	11888	11889	0	0									1.0	1.0		false	true
48	1000003205	0	1502	n048_maid_of_lena.xml	n048_maid_of_lena.lua	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0									1.0	1.0		false	true
49	1000003206	0	1510	n049_sainthaven_kid.xml	n049_sainthaven_kid.lua	0	0	457	526	0	473	587	23	4160	4150	2383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11953	0	0	0	12671	0	0	0									1.0	1.0		false	true
50	1000004682	0	1507	n050_lena_of_hermalte.xml	n050_lena_of_hermalte.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11802	12035	12128	12202	11889	11898	12522	0									1.0	1.0		false	true
51	1000003208	0	1512	n051_alrento_viscount.xml	n051_alrento_viscount.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	11803	12036	0	0	11890	12430	0	0									1.0	1.0		false	true
52	0	0	1097	n052_place_of_trail.xml	n052_place_of_trail.lua	0	0	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0									1.0	1.0		false	true
53	1000000404	0	1030	n053_adventurer_wounded.xml	n053_adventurer_wounded.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	12649	12651	0	0	12672	12431	0	0									1.0	1.0		false	true
54	1000000405	0	1047	n054_elite_soldier_wounded.xml	n054_elite_soldier_wounded.lua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	12649	0	0	0	12649	0	0	0									1.0	1.0		false	true
