ROWID	_State1|INTEGER	_StateValue1|TEXT	_State2|INTEGER	_StateValue2|TEXT	_State3|INTEGER	_StateValue3|TEXT	_State4|INTEGER	_StateValue4|TEXT	_State5|INTEGER	_StateValue5|TEXT	_State6|INTEGER	_StateValue6|TEXT	_State7|INTEGER	_StateValue7|TEXT	_State8|INTEGER	_StateValue8|TEXT	_State9|INTEGER	_StateValue9|TEXT	_State10|INTEGER	_StateValue10|TEXT
68	12	499	103	499	-1		-1		-1		-1		-1		-1		-1		-1	
69	12	1	103	1	-1		-1		-1		-1		-1		-1		-1		-1	
70	12	302	-1		-1		-1		-1		-1		-1		-1		-1		-1	
71	103	302	-1		-1		-1		-1		-1		-1		-1		-1		-1	
72	4	302	5	302	-1		-1		-1		-1		-1		-1		-1		-1	
73	8	302	-1		-1		-1		-1		-1		-1		-1		-1		-1	
74	0	300	1	300	2	300	12	800	103	800	-1		-1		-1		-1		-1	
75	4	650	5	650	6	650	7	650	12	650	-1		-1		-1		-1		-1	
76	4	650	5	650	6	650	7	650	103	650	-1		-1		-1		-1		-1	
77	4	650	5	650	6	650	7	650	12	650	-1		-1		-1		-1		-1	
78	4	650	5	650	6	650	7	650	103	650	-1		-1		-1		-1		-1	
79	4	300	5	300	6	300	7	300	-1		-1		-1		-1		-1		-1	
80	4	500	5	500	6	500	7	500	-1		-1		-1		-1		-1		-1	
81	25	1000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
82	9	50	-1		-1		-1		-1		-1		-1		-1		-1		-1	
83	4	50	5	50	6	50	7	50	-1		-1		-1		-1		-1		-1	
84	4	100	5	100	6	100	7	100	-1		-1		-1		-1		-1		-1	
85	4	200	5	200	6	200	7	200	-1		-1		-1		-1		-1		-1	
86	8	50	-1		-1		-1		-1		-1		-1		-1		-1		-1	
87	12	50	103	50	-1		-1		-1		-1		-1		-1		-1		-1	
88	25	300	0	50	1	50	2	50	-1		-1		-1		-1		-1		-1	
89	25	300	0	100	1	100	2	100	-1		-1		-1		-1		-1		-1	
90	25	456	6	456	7	456	-1		-1		-1		-1		-1		-1		-1	
91	25	123	12	789	103	789	-1		-1		-1		-1		-1		-1		-1	
92	25	1234	0	123	1	123	2	123	-1		-1		-1		-1		-1		-1	
93	25	789	0	123	1	123	2	123	-1		-1		-1		-1		-1		-1	
94	25	456	4	456	5	456	-1		-1		-1		-1		-1		-1		-1	
95	25	789	0	123	1	123	2	123	-1		-1		-1		-1		-1		-1	
96	25	800	0	100	1	100	2	100	-1		-1		-1		-1		-1		-1	
97	25	1500	0	200	1	200	2	200	-1		-1		-1		-1		-1		-1	
98	25	486	0	77	1	77	2	77	-1		-1		-1		-1		-1		-1	
99	25	2000	8	300	9	300	-1		-1		-1		-1		-1		-1		-1	
100	25	1004	0	300	1	300	2	300	-1		-1		-1		-1		-1		-1	
101	4	400	5	400	6	400	7	400	12	300	103	300	-1		-1		-1		-1	
102	4	300	5	300	6	300	7	300	12	300	103	300	-1		-1		-1		-1	
103	4	999	5	999	6	999	7	999	0	99	1	99	2	99	-1		-1		-1	
104	4	1	5	1	6	1	7	1	0	1	1	1	2	1	-1		-1		-1	
105	4	200	5	200	6	200	7	200	12	100	103	100	-1		-1		-1		-1	
106	4	500	5	500	6	500	7	500	12	200	103	200	-1		-1		-1		-1	
107	4	1000	5	1000	6	1000	7	1000	12	500	103	500	-1		-1		-1		-1	
108	4	1000	5	1000	6	1000	7	1000	0	100	1	100	2	100	-1		-1		-1	
109	4	350	5	350	6	350	7	350	12	300	103	300	-1		-1		-1		-1	
110	4	200	5	200	6	200	7	200	12	100	103	100	-1		-1		-1		-1	
111	4	450	5	450	6	450	7	450	12	300	103	300	-1		-1		-1		-1	
112	4	500	5	500	6	500	7	500	12	350	103	350	-1		-1		-1		-1	
113	4	400	5	400	6	400	7	400	12	300	103	300	-1		-1		-1		-1	
114	4	800	5	800	6	800	7	800	12	500	103	500	-1		-1		-1		-1	
115	4	800	5	800	6	800	7	800	25	1500	-1		-1		-1		-1		-1	
116	4	800	5	800	6	800	7	800	0	200	1	200	2	200	-1		-1		-1	
117	4	800	5	800	6	800	7	800	8	800	9	800	-1		-1		-1		-1	
118	4	500	5	500	6	500	7	500	25	1000	-1		-1		-1		-1		-1	
119	4	500	5	500	6	500	7	500	0	300	1	300	2	300	-1		-1		-1	
120	8	100	9	100	25	300	-1		-1		-1		-1		-1		-1		-1	
121	4	100	5	100	6	100	7	100	-1		-1		-1		-1		-1		-1	
122	12	200	103	200	8	100	9	100	-1		-1		-1		-1		-1		-1	
123	12	200	103	200	8	200	9	200	-1		-1		-1		-1		-1		-1	
124	12	200	103	200	8	300	9	300	-1		-1		-1		-1		-1		-1	
125	12	800	103	800	8	200	9	200	-1		-1		-1		-1		-1		-1	
126	12	486	8	77	9	77	-1		-1		-1		-1		-1		-1		-1	
127	12	1004	8	777	9	777	-1		-1		-1		-1		-1		-1		-1	
128	103	486	4	77	5	77	6	77	7	77	-1		-1		-1		-1		-1	
129	103	1004	4	777	5	777	6	777	7	777	-1		-1		-1		-1		-1	
130	4	800	5	800	6	800	7	800	8	350	9	350	-1		-1		-1		-1	
131	4	1000	5	1000	6	1000	7	1000	0	100	1	100	2	100	-1		-1		-1	
132	4	10000	5	10000	6	10000	7	10000	0	1000	1	1000	2	1000	3	1000	-1		-1	
133	4	4000	5	4000	6	4000	7	4000	0	400	1	400	2	400	3	400	-1		-1	
134	12	5000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
135	103	5000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
136	4	2000	5	2000	6	2000	7	2000	0	200	1	200	2	200	-1		-1		-1	
137	4	1000	5	1000	6	1000	7	1000	16	0.01	17	0.01	18	0.01	19	0.01	-1		-1	
138	4	20000	5	20000	6	20000	7	20000	-1		-1		-1		-1		-1		-1	
139	25	10	-1		-1		-1		-1		-1		-1		-1		-1		-1	
140	25	20	-1		-1		-1		-1		-1		-1		-1		-1		-1	
141	25	40	-1		-1		-1		-1		-1		-1		-1		-1		-1	
142	25	80	-1		-1		-1		-1		-1		-1		-1		-1		-1	
143	25	160	-1		-1		-1		-1		-1		-1		-1		-1		-1	
144	25	320	-1		-1		-1		-1		-1		-1		-1		-1		-1	
145	25	640	-1		-1		-1		-1		-1		-1		-1		-1		-1	
146	25	1280	-1		-1		-1		-1		-1		-1		-1		-1		-1	
147	25	2560	-1		-1		-1		-1		-1		-1		-1		-1		-1	
148	25	5120	-1		-1		-1		-1		-1		-1		-1		-1		-1	
149	25	10240	-1		-1		-1		-1		-1		-1		-1		-1		-1	
150	25	20480	-1		-1		-1		-1		-1		-1		-1		-1		-1	
151	25	40960	-1		-1		-1		-1		-1		-1		-1		-1		-1	
152	25	81920	-1		-1		-1		-1		-1		-1		-1		-1		-1	
153	25	163840	-1		-1		-1		-1		-1		-1		-1		-1		-1	
154	25	327680	-1		-1		-1		-1		-1		-1		-1		-1		-1	
155	25	655360	-1		-1		-1		-1		-1		-1		-1		-1		-1	
156	25	1310720	-1		-1		-1		-1		-1		-1		-1		-1		-1	
157	25	2621440	-1		-1		-1		-1		-1		-1		-1		-1		-1	
158	25	5242880	-1		-1		-1		-1		-1		-1		-1		-1		-1	
159	4	822	5	822	6	822	7	822	12	822	103	822	-1		-1		-1		-1	
160	0	30	1	30	2	30	3	30	-1		-1		-1		-1		-1		-1	
161	0	100	1	100	2	100	3	100	-1		-1		-1		-1		-1		-1	
162	4	15000	5	15000	6	15000	7	15000	-1		-1		-1		-1		-1		-1	
163	4	15000	5	15000	6	15000	7	15000	54	0.01	55	0.01	56	0.01	57	0.01	-1		-1	
164	12	2500	103	10000	54	0.01	55	0.01	56	0.01	57	0.01	-1		-1		-1		-1	
165	8	3500	9	3500	54	0.01	55	0.01	56	0.01	57	0.01	-1		-1		-1		-1	
166	29	300	54	0.02	55	0.02	56	0.02	57	0.02	-1		-1		-1		-1		-1	
167	0	1000	1	1000	2	1000	3	1000	4	10000	5	10000	6	10000	7	10000	-1		-1	
168	4	2020	5	2020	6	2020	7	2020	-1		-1		-1		-1		-1		-1	
169	29	50	-1		-1		-1		-1		-1		-1		-1		-1		-1	
170	4	1000	5	1000	6	1000	7	1000	-1		-1		-1		-1		-1		-1	
171	54	0.02	55	0.02	56	0.02	57	0.02	-1		-1		-1		-1		-1		-1	
172	54	0.01	55	0.01	56	0.01	57	0.01	-1		-1		-1		-1		-1		-1	
173	4	1000	5	1000	6	1000	7	1000	-1		-1		-1		-1		-1		-1	
174	4	2000	5	2000	6	2000	7	2000	-1		-1		-1		-1		-1		-1	
175	0	100	1	100	2	100	3	100	-1		-1		-1		-1		-1		-1	
176	4	1000	5	1000	6	1000	7	1000	0		0		0		0		0		0	
177	4	5000	5	5000	6	5000	7	5000	0		0		0		0		0		0	
178	54	0.001	55	0.001	56	0.001	57	0.001	-1		-1		-1		-1		-1		-1	
179	103	20000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
180	29	100	-1		-1		-1		-1		-1		-1		-1		-1		-1	
181	29	500	-1		-1		-1		-1		-1		-1		-1		-1		-1	
182	4	10000	5	10000	6	10000	7	10000	-1		-1		-1		-1		-1		-1	
183	4	2000	5	2000	6	2000	7	2000	-1		-1		-1		-1		-1		-1	
184	4	3000	5	3000	6	3000	7	3000	-1		-1		-1		-1		-1		-1	
185	4	4000	5	4000	6	4000	7	4000	-1		-1		-1		-1		-1		-1	
186	4	5000	5	5000	6	5000	7	5000	-1		-1		-1		-1		-1		-1	
187	8	3000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
188	9	3000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
189	25	60000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
190	103	45000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
191	4	11000	5	11000	6	11000	7	11000	29	300	-1		-1		-1		-1		-1	
192	4	500	5	500	6	500	7	500	-1		-1		-1		-1		-1		-1	
193	25	5000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
194	25	10000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
195	4	1500	5	1500	6	1500	7	1500	-1		-1		-1		-1		-1		-1	
196	4	5000	5	5000	6	5000	7	5000	25	20000	-1		-1		-1		-1		-1	
197	4	10000	5	10000	6	10000	7	10000	-1		-1		-1		-1		-1		-1	
198	4	11000	5	11000	6	11000	7	11000	-1		-1		-1		-1		-1		-1	
199	16	0.1	-1		-1		-1		-1		-1		-1		-1		-1		-1	
200	17	0.1	-1		-1		-1		-1		-1		-1		-1		-1		-1	
201	19	0.1	-1		-1		-1		-1		-1		-1		-1		-1		-1	
202	18	0.1	-1		-1		-1		-1		-1		-1		-1		-1		-1	
203	54	0.01	55	0.01	56	0.01	57	0.01	16	0.01	17	0.01	19	0.01	18	0.01	29	100	0	
204	4	1100	5	1100	6	1100	7	1100	-1		-1		-1		-1		-1		-1	
205	4	10000	5	10000	6	10000	7	10000	103	10000	-1		-1		-1		-1		-1	
206	103	10000	-1		-1		-1		-1		-1		-1		-1		-1		-1	
