ROWID	_JobName|INTEGER	_CoreStatusNameID|INTEGER	_CoreStatusNameIDParam|TEXT	_JobNumber|INTEGER	_BaseClass|INTEGER	_ParentJob|INTEGER	_EnglishName|TEXT	_JobIcon|INTEGER	_MaxSPJob0|DOUBLE	_MaxSPJob1|DOUBLE	_MaxSPJob2|DOUBLE	_MaxSPJob3|DOUBLE	_MaxSPJob4|DOUBLE	_IdleMotionName|TEXT	_IdleMotionStartTime|DOUBLE	_IdleMotionMinTime|DOUBLE	_IdleMotionMaxTime|DOUBLE	_Class|INTEGER	_Service|BOOLEAN	_JobDescriptionID|INTEGER	_JobChangeAble|BOOLEAN	_JobChangeLimit|BOOLEAN	_CharacterImage|TEXT	_SkillID|TEXT	_ExSkill|TEXT	_Recom|INTEGER	_JobMv|TEXT	_SetQuestStep|TEXT	_SetQuestStepCronicle|TEXT	_QuestRemote|INTEGER	_Characterbutton|TEXT	_ClassTexture|TEXT	_DarkJob|INTEGER	_ContentsID|TEXT	_DamageType|INTEGER	_SkillTreeUITexture|TEXT	_AwakeningItem|INTEGER	_AwakeningIcon|BOOLEAN	_RecommendAttack|DOUBLE	_RecommendHP|DOUBLE	_Gender|INTEGER	_ActorIndex|INTEGER
32	331	1000107171		2	1	15	WINDWALKER	20	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Acrobat	180.0	60.0	180.0	2	true	1000065009	true	false			1551;1553	0	Windwalker.avi	767,6,6	2911,3,3	0		P_Acrobat.dds	0	0	0	SMASHER.dds	400499	true	1.2	1.2	2	2
35	334	1000107172		2	2	17	SALEANA	25	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Elementalist	180.0	60.0	180.0	3	true	1000065010	true	false			2301;2303	0	Saleana.avi	763,5,5	2911,3,3	0		P_Elementallord.dds	0	0	1	SMASHER.dds	400499	true	1.0	0.8	2	3
36	335	1000107172		2	2	17	ELESTRA	26	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Elementalist	180.0	60.0	180.0	3	true	1000032134	true	false			2351;2353	0	Elestra.avi	763,5,5	2911,3,3	0		P_Elementallord.dds	0	0	1	SMASHER.dds	400499	true	1.0	0.8	2	3
37	336	1000107172		2	2	18	SMASHER	27	0.625	0.69	0.625	0.0	0.0	Normal_Stand_ForceUser	180.0	60.0	180.0	3	true	1000032135	true	false			2501;2503	1	Smasher.avi	763,5,5	2911,3,3	0		P_Forceuser.dds	0	0	1	SMASHER.dds	400499	true	1.0	0.8	2	3
38	337	1000107172		2	2	18	MAJESTY	28	0.625	0.69	0.625	0.0	0.0	Normal_Stand_ForceUser	180.0	60.0	180.0	3	true	1000032136	true	false			2551;2553	0	Majesy.avi	763,5,5	2911,3,3	0		P_Forceuser.dds	0	0	1	SMASHER.dds	400499	true	1.0	0.8	2	3
41	340	1000107170		2	3	20	GUARDIAN	33	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Paladin	180.0	60.0	180.0	4	true	1000032137	true	false			3301;3303	1	Guardian.avi	754,6,6	2911,3,3	0		P_Paladin.dds	0	0	0	GUARDIAN.dds	0	true	0.8	1.3	1	4
42	341	1000107173		2	3	20	CRUSADES	32	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Paladin	180.0	60.0	180.0	4	true	1000065011	true	false			3351;3353	0	Crusades.avi	754,6,6	2911,3,3	0		P_Paladin.dds	0	0	1	SMASHER.dds	0	true	1.0	1.0	1	4
43	342	1000107172		2	3	22	SAINT	34	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Priest	180.0	60.0	180.0	4	true	1000065012	true	false			3501;3503	1	Saint.avi	754,6,6	2911,3,3	0		P_Priest.dds	0	0	1	SMASHER.dds	0	true	1.0	1.0	1	4
44	343	1000107172		2	3	22	INQUISITOR	35	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Priest	180.0	60.0	180.0	4	true	1000065013	true	false			3551;3553	1	Inquisitor.avi	754,6,6	2911,3,3	0		P_Priest.dds	0	0	1	SMASHER.dds	0	true	1.0	1.0	1	4
45	344	0		2	3	22	EXORCIST	0	0.0	0.69	0.0	0.0	0.0		180.0	60.0	180.0	4	false	0	true	false				0				0			0	0	0	SMASHER.dds	0	false	0.0	0.0	0	4
46	345	1000107171		1	4	5	ENGINEER	36	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Engineer	180.0	60.0	180.0	5	true	1000065014	true	false	DwcEngineer.dds	4201;4204;4209;7301	7301;4204	1	Engineer.avi	242,5,5	2910,3,3	42	ID_RBT_8	P_Engineer.dds	0	0	0	ENGINEER.dds	0	false	1.2	1.2	2	5
47	346	1000107171		2	4	46	SHOOTINGSTAR	37	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Engineer	180.0	60.0	180.0	5	true	1000065015	true	false			4301;7301	0	ShootingStar.avi	750,5,5	2911,3,3	0		P_Engineer.dds	0	0	0	SMASHER.dds	0	true	1.2	1.2	2	5
48	347	1000107171		2	4	46	GEARMASTER	38	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Engineer	180.0	60.0	180.0	5	true	1000065016	true	false			4351;4353	1	GearMaster.avi	750,5,5	2911,3,3	0		P_Engineer.dds	0	0	0	SMASHER.dds	0	true	1.2	1.2	2	5
49	348	1000107172		1	4	5	ALCHEMIST	39	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Engineer	180.0	60.0	180.0	5	true	1000065017	true	false	DwcAlchemist.dds	4411;4408;4418;4416	4411;4418	0	Alchemist.avi	242,5,5	2910,3,3	42	ID_RBT_9	P_Alchemist.dds	0	0	1	ALCHEMIST.dds	0	false	1.0	0.8	2	5
50	349	1000107172		2	4	49	ADEPT	40	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Engineer	180.0	60.0	180.0	5	true	1000065018	true	false			4501;4503	0	Adept.avi	750,5,5	2911,3,3	0		P_Alchemist.dds	0	0	1	SMASHER.dds	0	true	1.0	0.8	2	5
51	350	1000107172		2	4	49	PHYSICIAN	41	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Engineer	180.0	60.0	180.0	5	true	1000065019	true	false			4551;4553	0	Physician.avi	750,5,5	2911,3,3	0		P_Alchemist.dds	0	0	1	SMASHER.dds	0	true	1.0	0.8	2	5
54	353	1000107172		1	5	6	SCREAMER	42	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Screamer	180.0	60.0	180.0	6	true	1000065020	true	false	DwcScreamer.dds	5208;5203;5216;5217	5217;5203	0	Screamer.avi	243,5,6	2910,3,3	37	ID_RBT_10	P_Screamer.dds	0	0	1	SCREAMER.dds	0	false	1.0	0.8	2	6
55	354	1000107172		2	5	54	DARKSUMMONER	43	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Screamer	180.0	60.0	180.0	6	true	1000065021	true	false			5301;5303	0	DarkSummoner.avi	4073,5,5	2911,3,3	0		P_Screamer.dds	0	0	1	SMASHER.dds	0	true	1.0	0.8	2	6
56	355	1000107172		2	5	54	SOULEATER	44	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Screamer	180.0	60.0	180.0	6	true	1000065022	true	false			5401;5403	0	SoulEater.avi	4073,5,5	2911,3,3	0		P_Screamer.dds	0	0	1	SMASHER.dds	0	true	1.0	0.8	2	6
57	356	1000107170		1	5	6	DANCER	45	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Dancer	180.0	60.0	180.0	6	true	1000065023	true	false	DwcDancer.dds	5105;5107;5113;5115	5117;5115	0	Dancer.avi	243,5,6	2910,3,3	37	ID_RBT_11	P_Dancer.dds	0	0	0	DANCER.dds	0	false	1.2	1.0	2	6
58	357	1000107170		2	5	57	BLADEDANCER	46	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Dancer	180.0	60.0	180.0	6	true	1000065024	true	false			5501;5505	0	BladeDancer.avi	4073,5,5	2911,3,3	0		P_Dancer.dds	0	0	0	SMASHER.dds	0	true	1.2	1.0	2	6
59	358	1000107170		2	5	57	SPIRITDANCER	47	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Dancer	180.0	60.0	180.0	6	true	1000065025	true	false			5601;5605	0	SpiritDancer.avi	4073,5,5	2911,3,3	0		P_Dancer.dds	0	0	0	SMASHER.dds	0	true	1.2	1.0	2	6
62	361	1000107175		1	6	7	CHASER	48	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Chaser	180.0	60.0	180.0	7	true	1000056101	true	false	DwcChaser.dds	6204;6205;6208;6211	6211;6205	1	Chaser.avi	244,7,7	2910,3,3	161	ID_RBT_12	P_Chaser.dds	0	0	0	Chaser.dds	0	false	1.2	1.2	1	7
63	363	1000107175		2	6	62	RIPPER	49	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Chaser	180.0	60.0	180.0	7	true	1000059349	true	false			6501;6502	1	Ripper.avi	4360,5,5	2911,3,3	0		P_Chaser.dds	0	0	0	SMASHER.dds	0	true	1.2	1.2	1	7
64	362	1000107175		2	6	62	RAVEN	50	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Chaser	180.0	60.0	180.0	7	true	1000059350	true	false			6401;6402	1	Raven.avi	4360,5,5	2911,3,3	0		P_Chaser.dds	0	0	0	SMASHER.dds	0	true	1.2	1.2	1	7
67	366	1000107175		1	6	7	BRINGER	51	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Bringer	180.0	60.0	180.0	7	true	1000067389	true	false	DwcBringer.dds	6303;6302;6309;6311	6311;6302	1	Bringer.avi	244,7,7	2910,3,3	161	ID_RBT_13	P_Bringer.dds	0	0	0	Knightess.dds	0	false	1.2	1.2	1	7
68	367	1000107175		2	6	67	LIGHTFURY	52	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Bringer	180.0	60.0	180.0	7	true	1000067390	true	false			6601;6603	1	LightFury.avi	4360,5,5	2911,3,3	0		P_Bringer.dds	0	0	0	SMASHER.dds	0	true	1.2	1.2	1	7
69	368	1000107175		2	6	67	ABYSSWALKER	53	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Bringer	180.0	60.0	180.0	7	true	1000067391	true	false			6701;6703	1	AbyssWalker.avi	4360,5,5	2911,3,3	0		P_Bringer.dds	0	0	0	SMASHER.dds	0	true	1.2	1.2	1	7
72	371	1000107170		1	7	8	PIERCER	54	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Piercer	180.0	60.0	180.0	8	true	1000077861	true	false	DwcPiercer.dds	7020;7030;7022;7029	7030;7029	1	Piercer.avi	245,3,3	2910,3,3	307	ID_RBT_14	P_Piercer.dds	0	0	0	PIERCER.dds	0	false	1.0	1.0	2	8
73	372	1000107170		2	7	72	FLURRY	55	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Piercer	180.0	60.0	180.0	8	true	1000077862	true	false			7101;7102	1	Flurry.avi	4607,5,5	2911,3,3	0		P_Piercer.dds	0	0	0	SMASHER.dds	0	true	1.2	1.0	2	8
74	373	1000107172		2	7	72	STINGBREEZER	56	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Piercer	180.0	60.0	180.0	8	true	1000077863	true	false			7201;7202	1	Stingbreezer.avi	4607,5,5	2911,3,3	0		P_Piercer.dds	0	0	1	SMASHER.dds	0	true	1.0	0.8	2	8
75	312	1000107170		1	0	1	AVENGER	57	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Avenger	180.0	60.0	180.0	1	true	1000087143	false	false	DwcMercenary.dds		7505;7504	1	DarkAvenger.avi	238,6,4	2910,3,3	38		P_Avenger.dds	1	0	0	AVENGER.dds	0	false	1.2	1.0	1	1
76	374	1000107170		2	0	75	DARKAVENGER	58	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Avenger	180.0	60.0	180.0	1	true	1000087143	false	false	DwcMercenary.dds		7512;7513;7613	1	DarkAvenger.avi	238,6,4	2910,3,3	38		P_Avenger.dds	1	0	0	DARKAVENGER.dds	0	false	1.2	1.0	1	1
77	377	1000107171		1	8	9	PATRONA	60	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Patrona	180.0	60.0	180.0	9	true	1000092552	true	false	DwcMachina.dds	7725;7729;7730;7733	7725;7728	1	Patrona.avi	246,3,3	2910,3,3	375	ID_RBT_15	P_patrona.dds	0	0	0	Patrona_Remake.dds	0	false	1.2	1.2	2	9
78	378	1000107171		2	8	77	DEFENSIO	61	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Patrona	180.0	60.0	180.0	9	true	1000092553	true	false			7761;7762	1	Defensio.avi	4726,7,6	2911,3,3	0		P_patrona.dds	0	0	0	Impactor.dds	0	true	1.0	1.3	2	9
79	379	1000107171		2	8	77	RUINA	62	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Patrona	180.0	60.0	180.0	9	true	1000092554	true	false			7751;7752	1	Ruina.avi	4726,7,6	2911,3,3	0		P_patrona.dds	0	0	0	Impactor.dds	0	true	1.2	1.2	2	9
80	315	1000107172		1	1	2	HUNTER	63	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Hunter	180.0	60.0	180.0	2	true	1000100540	false	false	DwcSliverHunter.dds		1601;1605	1	SilverHunter.avi	239,4,5	2910,3,3	39		P_SliverHunter.dds	2	0	1	HUNTER.dds	0	false	1.0	0.8	2	2
81	381	1000107172		2	1	80	SILVERHUNTER	64	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Hunter	180.0	60.0	180.0	2	true	1000100540	false	false	DwcSliverHunter.dds		1701;1703;1715	1	SilverHunter.avi	239,4,5	2910,3,3	39		P_SliverHunter.dds	2	0	1	DARKAVENGER.dds	0	false	1.0	0.8	2	2
82	383	1000107170		1	3	4	HERETIC	65	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Heretic	180.0	60.0	180.0	4	true	1000108074	false	false	DwcArchHeretic.dds		54;3803	1	ArchHeretic.avi	238,6,4	2910,3,3	38		P_Heretic.dds	1	0	0	HERETIC.dds	0	false	1.2	1.0	1	4
83	384	1000107170		2	3	82	ARCHHERETIC	66	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Heretic	180.0	60.0	180.0	4	true	1000108074	false	false	DwcArchHeretic.dds		50;3851;3852	1	ArchHeretic.avi	238,6,4	2910,3,3	38		P_Heretic.dds	1	0	0	DARKAVENGER.dds	0	false	1.2	1.0	1	4
84	385	1000107172		1	2	3	MARA	67	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Mara	180.0	60.0	180.0	3	true	1000112947	false	false	DwcMercenary.dds		3100;3104	1	Blackmara.avi	238,6,4	2910,3,3	38		P_BlackMara.dds	1	0	1	Mara.dds	0	false	1.0	0.8	2	3
85	386	1000107172		2	2	84	BLACKMARA	68	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Mara	180.0	60.0	180.0	3	true	1000112947	false	false	DwcMercenary.dds		3117;3100;3104	1	Blackmara.avi	238,6,4	2910,3,3	38		P_BlackMara.dds	1	0	1	DARKAVENGER.dds	0	false	1.0	0.8	2	3
86	387	1000107171		1	4	5	MECHANIC	69	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Engineer	180.0	60.0	180.0	5	true	1000117305	false	false	DwcRaymechanic.dds			1	RayMechanic.avi	238,6,4	2910,3,3	38		P_Raymechanic.dds	2	0	0	Mechanic_Remake.dds	0	false	1.2	1.2	2	5
87	388	1000107171		2	4	86	RAYMECHANIC	70	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Engineer	180.0	60.0	180.0	5	true	1000117305	false	false	DwcRaymechanic.dds		4102;4111;4941;4132;4954	1	RayMechanic.avi	238,6,4	2910,3,3	38		P_Raymechanic.dds	2	0	0	RayMechanic_Remake.dds	0	false	1.2	1.2	2	5
88	389	1000107170		1	5	6	ORACLE	71	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Oracle	180.0	60.0	180.0	6	true	1000120334	false	false	DwcDancer.dds		5702;5708	1	OracleElder.avi	239,4,5	2910,3,3	38		P_OracleElder.dds	2	0	0	Oracle.dds	0	false	1.2	1.0	2	6
89	390	1000107170		2	5	88	ORACLEELDER	72	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Oracle	180.0	60.0	180.0	6	true	1000120334	false	false	DwcDancer.dds		5800;5801	1	OracleElder.avi	239,4,5	2910,3,3	38		P_OracleElder.dds	2	0	0	OracleElder.dds	0	false	1.2	1.0	2	6
90	391	1000107175		1	6	7	PHANTOM	73	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Phantom	180.0	60.0	180.0	7	true	1000122592	false	false	DwcChaser.dds		6900;6901;6906	1	BleedPhantom.avi	239,4,5	2910,3,3	38		P_Bleedphantom.dds	1	0	0	Phantom.dds	0	false	1.2	1.0	1	7
91	392	1000107175		2	6	90	BLEEDPHANTOM	74	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Phantom	180.0	60.0	180.0	7	true	1000122592	false	false	DwcChaser.dds		6950;6951	1	BleedPhantom.avi	239,4,5	2910,3,3	38		P_Bleedphantom.dds	1	0	0	DARKAVENGER.dds	0	false	1.2	1.0	1	7
92	393	1000107170		1	7	8	KNIGHTESS	75	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Knightess	180.0	60.0	180.0	8	true	1000130481	true	false	DwcPiercer.dds	7901;7907;7905;7911	7905;7911	1	Knightess.avi	245,3,3	2910,3,3	307	ID_RBT_14	P_Knightess.dds	0	0	0	Knightess.dds	0	false	1.0	1.0	2	8
93	394	1000107172		2	7	92	AVALANCHE	77	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Knightess	180.0	60.0	180.0	8	true	1000130482	true	false			8000;8002	1	Avalanche.avi	4607,5,5	2911,3,3	0		P_Knightess.dds	0	0	1	GUARDIAN.dds	0	true	1.2	1.0	2	8
94	395	1000107170		2	7	92	RANDGRID	76	0.625	0.69	0.625	0.0	0.0	Normal_Stand_Knightess	180.0	60.0	180.0	8	true	1000130483	true	false			8200;8201	1	Randgrid.avi	4607,5,5	2911,3,3	0		P_Knightess.dds	0	0	0	SMASHER.dds	0	true	1.2	1.0	2	8
95	396	1000107171		1	8	9	LAUNCHER	78	0.625	0.69	0.0	0.0	0.0	Normal_Stand_Patrona	180.0	60.0	180.0	9	true	1000143383	true	false	DwcMachina.dds	10101;10105;10250;10108	10250;10108	1	Launcher.avi	246,3,3	2910,3,3	375	ID_RBT_15	P_Launcher.dds	0	0	0	Launcher.dds	0	false	1.0	1.0	2	9
