ROWID	_Group|INTEGER	_StartRankReward|INTEGER	_EndRankReward|INTEGER	_MailID|INTEGER
393	79	3	3	2740
394	79	4	5	2741
395	79	6	10	2742
396	80	1	1	2738
397	80	2	2	2739
398	80	3	3	2740
399	80	4	5	2741
400	80	6	10	2742
401	81	1	1	2738
402	81	2	2	2739
403	81	3	3	2740
404	81	4	5	2741
405	81	6	10	2742
406	82	1	1	2738
407	82	2	2	2739
408	82	3	3	2740
409	82	4	5	2741
410	82	6	10	2742
411	83	1	1	2738
412	83	2	2	2739
413	83	3	3	2740
414	83	4	5	2741
415	83	6	10	2742
416	84	1	1	2738
417	84	2	2	2739
418	84	3	3	2740
419	84	4	5	2741
420	84	6	10	2742
421	85	1	1	2738
422	85	2	2	2739
423	85	3	3	2740
424	85	4	5	2741
425	85	6	10	2742
426	86	1	1	2738
427	86	2	2	2739
428	86	3	3	2740
429	86	4	5	2741
430	86	6	10	2742
431	87	1	1	2738
432	87	2	2	2739
433	87	3	3	2740
434	87	4	5	2741
435	87	6	10	2742
436	88	1	1	2738
437	88	2	2	2739
438	88	3	3	2740
439	88	4	5	2741
440	88	6	10	2742
441	89	1	1	2738
442	89	2	2	2739
443	89	3	3	2740
444	89	4	5	2741
445	89	6	10	2742
446	90	1	1	2738
447	90	2	2	2739
448	90	3	3	2740
449	90	4	5	2741
450	90	6	10	2742
451	91	1	1	5257
452	91	2	2	5258
453	91	3	3	5259
454	91	4	5	5260
455	91	6	10	5261
456	92	1	1	5257
457	92	2	2	5258
458	92	3	3	5259
459	92	4	5	5260
460	92	6	10	5261
461	93	1	1	5257
462	93	2	2	5258
463	93	3	3	5259
464	93	4	5	5260
465	93	6	10	5261
466	94	1	1	5257
467	94	2	2	5258
468	94	3	3	5259
469	94	4	5	5260
470	94	6	10	5261
471	95	1	1	5257
472	95	2	2	5258
473	95	3	3	5259
474	95	4	5	5260
475	95	6	10	5261
476	96	1	1	5257
477	96	2	2	5258
478	96	3	3	5259
479	96	4	5	5260
480	96	6	10	5261
481	97	1	1	5257
482	97	2	2	5258
483	97	3	3	5259
484	97	4	5	5260
485	97	6	10	5261
486	98	1	1	5257
487	98	2	2	5258
488	98	3	3	5259
489	98	4	5	5260
490	98	6	10	5261
491	99	1	1	5257
492	99	2	2	5258
493	99	3	3	5259
494	99	4	5	5260
495	99	6	10	5261
496	100	1	1	5257
497	100	2	2	5258
498	100	3	3	5259
499	100	4	5	5260
500	100	6	10	5261
501	101	1	1	5257
502	101	2	2	5258
503	101	3	3	5259
504	101	4	5	5260
505	101	6	10	5261
506	102	1	1	5257
507	102	2	2	5258
508	102	3	3	5259
509	102	4	5	5260
510	102	6	10	5261
511	103	1	1	5257
512	103	2	2	5258
513	103	3	3	5259
514	103	4	5	5260
515	103	6	10	5261
516	104	1	1	5257
517	104	2	2	5258
518	104	3	3	5259
519	104	4	5	5260
520	104	6	10	5261
521	105	1	1	5924
522	105	2	2	5925
523	105	3	3	5926
524	105	4	5	5927
525	105	6	10	5928
526	106	1	1	5924
527	106	2	2	5925
528	106	3	3	5926
529	106	4	5	5927
530	106	6	10	5928
531	107	1	1	5924
532	107	2	2	5925
533	107	3	3	5926
534	107	4	5	5927
535	107	6	10	5928
536	108	1	1	5924
537	108	2	2	5925
538	108	3	3	5926
539	108	4	5	5927
540	108	6	10	5928
541	109	1	1	5924
542	109	2	2	5925
543	109	3	3	5926
544	109	4	5	5927
545	109	6	10	5928
546	110	1	1	5924
547	110	2	2	5925
548	110	3	3	5926
549	110	4	5	5927
550	110	6	10	5928
551	111	1	1	5924
552	111	2	2	5925
553	111	3	3	5926
554	111	4	5	5927
555	111	6	10	5928
556	112	1	1	5924
557	112	2	2	5925
558	112	3	3	5926
559	112	4	5	5927
560	112	6	10	5928
561	113	1	1	5924
562	113	2	2	5925
563	113	3	3	5926
564	113	4	5	5927
565	113	6	10	5928
566	114	1	1	5924
567	114	2	2	5925
568	114	3	3	5926
569	114	4	5	5927
570	114	6	10	5928
571	115	1	1	5924
572	115	2	2	5925
573	115	3	3	5926
574	115	4	5	5927
575	115	6	10	5928
576	116	1	1	5924
577	116	2	2	5925
578	116	3	3	5926
579	116	4	5	5927
580	116	6	10	5928
581	117	1	1	5924
582	117	2	2	5925
583	117	3	3	5926
584	117	4	5	5927
585	117	6	10	5928
586	118	1	1	5924
587	118	2	2	5925
588	118	3	3	5926
589	118	4	5	5927
590	118	6	10	5928
