ROWID	_Season|INTEGER	_RankTier|INTEGER	_TierUIString|INTEGER	_Type|INTEGER	_TypeValue|TEXT	_LimitJob|TEXT	_LimitPoint|INTEGER	_WinPoint|INTEGER	_RewardMail|INTEGER	_GradeReward|INTEGER	_PenaltyDay|INTEGER	_PenaltyValue|INTEGER
1953	0	3	100134	1	61;70	0	0	0	0	0	0	0
1954	0	4	100129	1	51;60	0	0	0	0	0	0	0
1955	0	5	100130	1	41;50	0	0	0	0	0	0	0
1956	0	6	100131	1	31;40	0	0	0	0	0	0	0
1957	0	7	100126	1	26;30	0	0	0	0	0	0	0
1958	0	8	100127	1	21;25	0	0	0	0	0	0	0
1959	0	9	100128	1	16;20	0	0	0	0	0	0	0
1960	0	10	100123	1	11;15	0	0	0	0	0	0	0
1961	0	11	100124	1	6;10	0	0	0	0	0	0	0
1962	0	12	100125	1	0;5	0	0	0	0	0	0	0
1963	0	13	100120	2	4;7	0	0	0	0	0	0	0
1964	0	14	100121	2	2;3	0	0	0	0	0	0	0
1965	0	15	100122	2	0;1	0	0	0	0	0	0	0
