ROWID	_Type|INTEGER	_Season|INTEGER	_Period|TEXT	_Order|INTEGER	_BoxKind|INTEGER	_Condition1|INTEGER	_Condition1_Value|INTEGER	_Condition2|INTEGER	_Condition2_Value|INTEGER	_Condition3|INTEGER	_Condition3_Value|INTEGER	_RewardMail|INTEGER	_MasterKeyItem|INTEGER
10026	1	2	201707171000:201707211900	12	1	1121	1	1122	1	1123	1	3490	805311194
10027	1	2	201707171000:201707211900	13	2	346031104	10	1610613041	10	1610612820	10	3491	805311194
10028	1	2	201707171000:201707211900	14	3	1073818175	10	872915298	10	1107312640	10	3492	805311194
10029	1	2	201707171000:201707211900	15	4	8	500	14	500	0	0	3493	805311194
10030	1	3	201707241000:201707281900	1	0	5	0	0	0	0	0	3489	805311194
10031	1	3	201707241000:201707281900	2	1	1121	1	0	0	0	0	3490	805311194
10032	1	3	201707241000:201707281900	3	2	346031104	10	0	0	0	0	3491	805311194
10033	1	3	201707241000:201707281900	4	3	1073818175	10	0	0	0	0	3492	805311194
10034	1	3	201707241000:201707281900	5	4	8	500	0	0	0	0	3493	805311194
10035	1	3	201707241000:201707281900	6	0	5	0	0	0	0	0	3489	805311194
10036	1	3	201707241000:201707281900	7	1	1121	1	1122	1	0	0	3490	805311194
10037	1	3	201707241000:201707281900	8	2	346031104	10	1610613041	10	0	0	3491	805311194
10038	1	3	201707241000:201707281900	9	3	1073818175	10	872915298	10	0	0	3492	805311194
10039	1	3	201707241000:201707281900	10	4	8	500	14	500	0	0	3493	805311194
10040	1	3	201707241000:201707281900	11	0	5	0	0	0	0	0	3489	805311194
10041	1	3	201707241000:201707281900	12	1	1121	1	1122	1	1123	1	3490	805311194
10042	1	3	201707241000:201707281900	13	2	346031104	10	1610613041	10	1610612820	10	3491	805311194
10043	1	3	201707241000:201707281900	14	3	1073818175	10	872915298	10	1107312640	10	3492	805311194
10044	1	3	201707241000:201707281900	15	4	8	500	14	500	0	0	3493	805311194
55	0	0	0	0	0	1680	0	0	0	0	0	3915	805311194
65	1	4	201709140900:201710182359	1	2	805311244	30	0	0	0	0	3925	805311194
66	1	4	201709140900:201710182359	2	2	805311244	40	268476576	1	0	0	3926	805311194
67	1	4	201709140900:201710182359	3	2	805311244	80	268476576	2	0	0	3927	805311194
68	1	4	201709140900:201710182359	4	2	805311244	120	268476576	3	0	0	3928	805311194
69	1	4	201709140900:201710182359	5	2	805311244	200	268476576	4	0	0	3929	805311194
70	1	4	201709140900:201710182359	6	2	805311244	30	268476576	1	0	0	3930	805311194
71	1	4	201709140900:201710182359	7	2	805311244	30	268476576	1	0	0	3930	805311194
72	1	4	201709140900:201710182359	8	2	805311244	30	268476576	1	0	0	3930	805311194
73	1	4	201709140900:201710182359	9	2	805311244	30	268476576	1	0	0	3930	805311194
74	1	4	201709140900:201710182359	10	2	805311244	30	268476576	1	0	0	3930	805311194
80	0	0	0	0	2	805311269	20	0	0	0	0	3970	0
81	0	0	0	0	2	805311269	50	0	0	0	0	3971	0
82	0	0	0	0	2	805311269	110	0	0	0	0	3972	0
83	0	0	0	0	2	805311269	230	0	0	0	0	3973	0
84	0	0	0	0	2	805311269	460	0	0	0	0	3974	0
85	0	0	0	0	1	1123	50	0	0	0	0	3920	805311194
86	0	0	0	0	1	14609	12	0	0	0	0	3921	805311194
87	0	0	0	0	1	1122	50	0	0	0	0	3922	805311194
88	0	0	0	0	1	14603	12	0	0	0	0	3923	805311194
89	0	0	0	0	1	1125	50	0	0	0	0	3924	805311194
90	0	0	0	0	1	1124	50	0	0	0	0	3975	805311194
91	0	0	0	0	0	1800	0	0	0	0	0	3976	805311194
92	0	0	0	0	1	1121	15	0	0	0	0	3977	805311194
93	0	0	0	0	1	14601	5	0	0	0	0	3978	805311194
94	0	0	0	0	1	14607	5	0	0	0	0	3979	805311194
95	0	0	0	0	2	268456668	20	268456669	20	268456670	20	4010	0
96	0	0	0	0	2	268456671	50	268476755	15	268476756	5	4011	0
97	0	0	0	0	2	268476757	50	268476759	25	268476758	10	4012	0
98	0	0	0	0	2	268476761	110	268476760	10	268476762	10	4013	0
99	0	0	0	0	2	268476763	30	268476760	5	268476764	1	4014	0
100	0	0	0	0	2	805311400	20	0	0	0	0	4075	0
101	0	0	0	0	2	805311400	50	0	0	0	0	4076	0
102	0	0	0	0	2	805311400	110	0	0	0	0	4077	0
103	0	0	0	0	2	805311400	230	0	0	0	0	4078	0
104	0	0	0	0	2	805311400	460	0	0	0	0	4079	0
114	0	0	0	0	6	0	70	0	0	0	0	4087	805311194
115	0	0	0	0	6	0	30	0	0	0	0	4088	805311194
116	0	0	0	0	2	268456674	999	268456677	999	268456679	999	4128	0
117	0	0	0	0	2	268456678	999	348280450	500	268477154	500	4129	0
118	0	0	0	0	2	268477155	500	268477156	500	268477157	500	4130	0
119	0	0	0	0	2	268477157	500	268477158	500	268452930	1	4131	0
120	0	0	0	0	2	268452930	1	268477159	1	268477160	1	4132	0
121	0	0	0	0	1	19002	30	0	0	0	0	4141	805311194
122	0	0	0	0	1	19004	30	0	0	0	0	4142	805311194
123	0	0	0	0	0	1800	0	0	0	0	0	4143	805311194
124	0	0	0	0	1	19006	30	0	0	0	0	4144	805311194
125	0	0	0	0	1	19008	30	0	0	0	0	4145	805311194
126	0	0	0	0	1	1121	50	0	0	0	0	4154	805311194
127	0	0	0	0	1	1123	50	0	0	0	0	4155	805311194
140	0	0	0	0	2	268477848	1	805311531	1	0	0	4260	0
141	0	0	0	0	1	19004	20	0	0	0	0	4271	805311194
142	0	0	0	0	1	19008	20	0	0	0	0	4272	805311194
143	0	0	0	0	6	0	20	0	0	0	0	4274	805311194
144	0	0	0	0	0	1800	0	0	0	0	0	4283	805311194
145	0	0	0	0	6	0	20	0	0	0	0	4284	805311194
146	0	0	0	0	5	19503	1	19505	1	19508	1	4285	805311194
147	0	0	0	0	6	0	40	0	0	0	0	4286	805311194
148	0	0	0	0	1	13639	1	0	0	0	0	4287	805311194
149	0	0	0	0	2	268477244	10	0	0	0	0	4288	0
150	0	0	0	0	2	268477245	10	0	0	0	0	4289	0
151	0	0	0	0	2	268477246	10	0	0	0	0	4290	0
152	0	0	0	0	2	268477247	10	0	0	0	0	4291	0
153	0	0	0	0	2	268477248	3	268477249	2	0	0	4292	0
154	0	0	0	0	6	0	70	0	0	0	0	4293	805311194
155	0	0	0	0	2	268476898	1	0	0	0	0	4294	805311194
156	0	0	0	0	0	60	0	0	0	0	0	4295	805311194
157	0	0	0	0	1	1122	10	0	0	0	0	4296	805311194
158	0	0	0	0	1	1123	10	0	0	0	0	4297	805311194
159	0	0	0	0	1	1124	10	0	0	0	0	4298	805311194
160	0	0	0	0	1	1125	10	0	0	0	0	4299	805311194
161	0	0	0	0	5	19503	5	19505	5	19508	5	4300	805311194
162	0	0	0	0	1	19004	10	0	0	0	0	4301	805311194
163	0	0	0	0	1	19006	10	0	0	0	0	4302	805311194
164	0	0	0	0	1	19002	10	0	0	0	0	4303	805311194
165	0	0	0	0	1	19008	10	0	0	0	0	4304	805311194
166	0	0	0	0	1	13639	1	0	0	0	0	4305	805311194
167	0	0	0	0	0	1800	0	0	0	0	0	4306	805311194
168	0	0	0	0	2	268476898	1	0	0	0	0	4307	805311194
173	0	0	0	0	0	1800	0	0	0	0	0	4359	805311194
174	0	0	0	0	1	13639	1	0	0	0	0	4360	805311194
175	0	0	0	0	6	0	7	0	0	0	0	4361	805311194
176	0	0	0	0	5	19503	3	19505	3	19508	3	4362	805311194
177	0	0	0	0	2	268477160	1	268477159	1	0	0	4363	805311194
178	0	0	0	0	5	1126	20	1128	20	0	0	4364	805311194
179	0	0	0	0	0	1800	0	0	0	0	0	4408	805311194
180	0	0	0	0	1	13639	1	0	0	0	0	4409	805311194
181	0	0	0	0	6	0	7	0	0	0	0	4410	805311194
182	0	0	0	0	5	19503	3	19505	3	19508	3	4411	805311194
183	0	0	0	0	2	268477157	100	348280450	100	0	0	4412	805311194
184	0	0	0	0	5	1126	20	1128	20	0	0	4413	805311194
185	0	0	0	0	2	805311400	100	0	0	0	0	4420	805311194
186	0	0	0	0	2	805311400	200	0	0	0	0	4421	805311194
187	0	0	0	0	2	805311400	300	0	0	0	0	4422	805311194
188	0	0	0	0	2	805311400	500	0	0	0	0	4423	805311194
189	0	0	0	0	2	805311400	900	0	0	0	0	4424	805311194
190	0	0	0	0	0	600	0	0	0	0	0	4436	805311194
191	0	0	0	0	5	1126	50	0	0	0	0	4437	805311194
192	0	0	0	0	2	268477160	10	268477159	10	0	0	4438	805311194
193	0	0	0	0	5	1128	50	0	0	0	0	4439	805311194
194	0	0	0	0	2	268481219	30	0	0	0	0	4440	805311194
195	0	0	0	0	0	1800	0	0	0	0	0	4453	805311194
196	0	0	0	0	6	0	20	0	0	0	0	4454	805311194
197	0	0	0	0	5	19503	1	19505	1	19508	1	4455	805311194
198	0	0	0	0	6	0	30	0	0	0	0	4456	805311194
199	0	0	0	0	1	13639	1	0	0	0	0	4457	805311194
200	0	0	0	0	6	0	60	0	0	0	0	4458	805311194
201	0	0	0	0	2	268476898	1	0	0	0	0	4459	805311194
202	0	0	0	0	0	1800	0	0	0	0	0	4483	805311194
203	0	0	0	0	6	0	30	0	0	0	0	4484	805311194
204	0	0	0	0	5	19503	5	19505	5	19508	5	4485	805311194
205	0	0	0	0	6	0	50	0	0	0	0	4486	805311194
206	0	0	0	0	1	13639	1	0	0	0	0	4487	805311194
207	0	0	0	0	6	0	80	0	0	0	0	4488	805311194
208	0	0	0	0	2	268476898	1	0	0	0	0	4489	805311194
209	0	0	0	0	0	19	0	0	0	0	0	4491	805311194
210	0	0	0	0	0	180	0	0	0	0	0	4516	805311194
211	0	0	0	0	1	1126	5	1128	5	0	0	4517	805311194
212	0	0	0	0	0	300	0	0	0	0	0	4518	805311194
213	0	0	0	0	6	0	20	0	0	0	0	4519	805311194
214	0	0	0	0	0	300	0	0	0	0	0	4520	805311194
215	0	0	0	0	1	19550	3	0	0	0	0	4521	805311194
216	0	0	0	0	0	300	0	0	0	0	0	4522	805311194
217	0	0	0	0	1	13639	1	0	0	0	0	4523	805311194
218	0	0	0	0	0	300	0	0	0	0	0	4524	805311194
219	0	0	0	0	2	536880130	3	0	0	0	0	4525	805311194
220	0	0	0	0	1	1131	3	1130	3	1129	1	4526	805311194
221	0	0	0	0	1	1129	1	1130	3	1132	1	4529	805311194
222	0	0	0	0	0	120	0	0	0	0	0	4535	805311194
223	0	0	0	0	6	0	7	0	0	0	0	4536	805311194
224	0	0	0	0	1	13639	1	0	0	0	0	4537	805311194
225	0	0	0	0	5	19503	3	19505	3	19508	3	4538	805311194
226	0	0	0	0	2	268477160	1	268477159	1	0	0	4539	805311194
227	0	0	0	0	5	1126	20	1128	20	0	0	4540	805311194
228	0	0	0	0	2	805311828	100	0	0	0	0	4541	805311194
229	0	0	0	0	2	805311828	200	0	0	0	0	4542	805311194
230	0	0	0	0	2	805311828	300	0	0	0	0	4543	805311194
231	0	0	0	0	2	805311828	500	0	0	0	0	4544	805311194
232	0	0	0	0	2	805311828	900	0	0	0	0	4545	805311194
233	0	0	0	0	0	60	0	0	0	0	0	4746	805311194
234	0	0	0	0	6	0	7	0	0	0	0	4747	805311194
235	0	0	0	0	1	13639	1	0	0	0	0	4748	805311194
236	0	0	0	0	5	19503	3	19505	3	19508	3	4749	805311194
237	0	0	0	0	2	268477160	1	268477159	1	0	0	4750	805311194
238	0	0	0	0	5	1126	20	1128	20	0	0	4751	805311194
239	0	0	0	0	0	10	0	0	0	0	0	4752	805311194
240	0	0	0	0	5	19550	1	0	0	0	0	4753	805311194
241	0	0	0	0	0	600	0	0	0	0	0	4754	805311194
242	0	0	0	0	2	268477155	50	0	0	0	0	4755	805311194
243	0	0	0	0	5	1128	20	0	0	0	0	4756	805311194
244	0	0	0	0	5	19108	2	19115	2	0	0	4757	805311194
245	0	0	0	0	2	268476763	1	0	0	0	0	4758	805311194
246	0	0	0	0	5	1126	20	0	0	0	0	4759	805311194
247	0	0	0	0	5	14852	2	0	0	0	0	4760	805311194
248	0	0	0	0	6	0	20	0	0	0	0	4761	805311194
249	0	0	0	0	0	1080	0	0	0	0	0	4762	805311194
250	0	0	0	0	0	10	0	0	0	0	0	4767	805311194
251	0	0	0	0	0	20	0	0	0	0	0	4768	805311194
252	0	0	0	0	0	30	0	0	0	0	0	4769	805311194
253	0	0	0	0	5	19550	1	0	0	0	0	4770	805311194
254	0	0	0	0	5	19108	1	19115	1	0	0	4771	805311194
255	0	0	0	0	5	14893	1	0	0	0	0	4772	805311194
256	0	0	0	0	0	60	0	0	0	0	0	4802	805311194
257	0	0	0	0	5	1130	3	1131	3	0	0	4803	805311194
258	0	0	0	0	5	19108	1	0	0	0	0	4804	805311194
259	0	0	0	0	5	1129	3	1132	3	0	0	4805	805311194
260	0	0	0	0	5	19115	1	0	0	0	0	4806	805311194
261	0	0	0	0	5	19550	3	0	0	0	0	4807	805311194
262	0	0	0	0	0	60	0	0	0	0	0	4808	805311194
263	0	0	0	0	5	1126	5	0	0	0	0	4809	805311194
264	0	0	0	0	5	1128	5	0	0	0	0	4810	805311194
265	0	0	0	0	6	0	20	0	0	0	0	4811	805311194
266	0	0	0	0	5	19503	3	19505	3	19508	3	4812	805311194
267	0	0	0	0	5	13639	1	0	0	0	0	4813	805311194
268	0	0	0	0	0	300	0	0	0	0	0	4814	805311194
269	0	0	0	0	6	0	30	0	0	0	0	4815	805311194
270	0	0	0	0	5	19108	2	19115	2	0	0	4816	805311194
271	0	0	0	0	0	600	0	0	0	0	0	4817	805311194
272	0	0	0	0	2	268476898	1	0	0	0	0	4818	805311194
273	0	0	0	0	0	600	0	0	0	0	0	4825	805311194
274	0	0	0	0	2	268477155	50	0	0	0	0	4826	805311194
275	0	0	0	0	6	0	20	0	0	0	0	4827	805311194
276	0	0	0	0	5	19550	1	0	0	0	0	4828	805311194
277	0	0	0	0	1	13639	1	0	0	0	0	4829	805311194
278	0	0	0	0	2	268476898	1	0	0	0	0	4830	805311194
279	0	0	0	0	2	268481219	30	0	0	0	0	4831	805311194
280	0	0	0	0	6	0	17	0	0	0	0	4832	805311194
281	0	0	0	0	5	19503	7	19505	7	19508	7	4833	805311194
282	0	0	0	0	4	35	15000	0	0	0	0	4834	805311194
283	0	0	0	0	6	0	27	0	0	0	0	4835	805311194
284	0	0	0	0	2	268477145	20	268466749	50	268466189	50	4836	805311194
285	0	0	0	0	0	4620	0	0	0	0	0	4837	805311194
286	0	0	0	0	0	7	0	0	0	0	0	4838	805311194
287	0	0	0	0	2	536880373	1	0	0	0	0	4839	805311194
288	0	0	0	0	1	364	5	404	5	393	5	4840	805311194
289	0	0	0	0	1	542	5	811	5	632	5	4841	805311194
290	0	0	0	0	1	700	10	19012	5	0	0	4842	805311194
291	0	0	0	0	1	781	5	792	5	801	5	4843	805311194
292	0	0	0	0	1	1061	5	1072	5	1078	5	4844	805311194
293	0	0	0	0	1	1102	5	1101	5	1103	5	4845	805311194
294	0	0	0	0	1	19015	5	19024	5	19115	1	4846	805311194
295	0	0	0	0	1	1121	5	1122	5	1123	5	4847	805311194
296	0	0	0	0	1	1126	5	1128	5	19008	5	4848	805311194
297	0	0	0	0	2	536880374	1	0	0	0	0	4849	805311194
298	0	0	0	0	1	1131	3	1130	3	1129	3	4850	805311194
299	0	0	0	0	2	400665	50	0	0	0	0	4984	805311194
300	0	0	0	0	2	400666	10	0	0	0	0	4985	805311194
301	0	0	0	0	2	400667	80	0	0	0	0	4986	805311194
302	0	0	0	0	0	180	0	0	0	0	0	4987	805311194
303	0	0	0	0	6	0	7	0	0	0	0	4988	805311194
304	0	0	0	0	5	19503	3	19505	3	19508	3	4989	805311194
305	0	0	0	0	5	19108	2	19115	2	0	0	4990	805311194
306	0	0	0	0	2	268477157	100	348280450	100	0	0	4991	805311194
307	0	0	0	0	5	1126	20	1128	20	0	0	4992	805311194
308	0	0	0	0	0	300	0	0	0	0	0	5004	805311194
309	0	0	0	0	6	0	10	0	0	0	0	5005	805311194
310	0	0	0	0	4	13	100000	0	0	0	0	5006	805311194
311	0	0	0	0	2	268476903	1	0	0	0	0	5007	805311194
312	0	0	0	0	2	268476905	1	0	0	0	0	5008	805311194
313	0	0	0	0	6	0	5	0	0	0	0	5009	805311194
314	0	0	0	0	4	35	15000	0	0	0	0	5013	805311194
315	0	0	0	0	6	0	30	0	0	0	0	5014	805311194
316	0	0	0	0	5	19503	25	19505	25	19508	25	5015	805311194
317	0	0	0	0	5	1126	10	1128	10	0	0	5016	805311194
318	0	0	0	0	6	0	40	0	0	0	0	5017	805311194
319	0	0	0	0	5	19550	1	0	0	0	0	5018	805311194
320	0	0	0	0	5	1126	1	1128	1	0	0	5019	805311194
321	0	0	0	0	5	19019	1	19021	1	0	0	5020	805311194
322	0	0	0	0	5	13631	1	0	0	0	0	5021	805311194
323	0	0	0	0	4	13	2000	0	0	0	0	5022	805311194
324	0	0	0	0	4	32	100	0	0	0	0	5023	805311194
325	0	0	0	0	5	1131	1	0	0	0	0	5024	805311194
326	0	0	0	0	5	19108	1	19115	1	0	0	5025	805311194
327	0	0	0	0	5	14893	1	0	0	0	0	5026	805311194
328	0	0	0	0	2	268476903	1	268476905	1	0	0	5027	805311194
329	0	0	0	0	6	0	10	0	0	0	0	5028	805311194
330	0	0	0	0	0	120	0	0	0	0	0	5029	805311194
331	0	0	0	0	2	268476902	1	268476904	1	0	0	5030	805311194
332	0	0	0	0	0	300	0	0	0	0	0	5031	805311194
333	0	0	0	0	1	13639	1	0	0	0	0	5032	805311194
334	0	0	0	0	0	1800	0	0	0	0	0	5038	805311194
335	0	0	0	0	6	0	24	0	0	0	0	5039	805311194
336	0	0	0	0	2	268476323	1000	0	0	0	0	5040	805311194
337	0	0	0	0	2	536879001	15000	0	0	0	0	5043	805311194
338	0	0	0	0	0	1800	0	0	0	0	0	5044	805311194
339	0	0	0	0	6	0	20	0	0	0	0	5045	805311194
340	0	0	0	0	1	19550	1	0	0	0	0	5046	805311194
341	0	0	0	0	6	0	30	0	0	0	0	5047	805311194
342	0	0	0	0	1	13639	1	0	0	0	0	5048	805311194
343	0	0	0	0	6	0	60	0	0	0	0	5049	805311194
344	0	0	0	0	2	268476898	1	0	0	0	0	5050	805311194
345	0	0	0	0	0	600	0	0	0	0	0	5051	805311194
346	0	0	0	0	6	0	20	0	0	0	0	5052	805311194
347	0	0	0	0	1	19550	1	0	0	0	0	5053	805311194
348	0	0	0	0	6	0	40	0	0	0	0	5054	805311194
349	0	0	0	0	1	13639	1	0	0	0	0	5055	805311194
350	0	0	0	0	6	0	60	0	0	0	0	5056	805311194
351	0	0	0	0	2	268476898	1	0	0	0	0	5057	805311194
352	0	0	0	0	0	600	0	0	0	0	0	5058	805311194
353	0	0	0	0	6	0	20	0	0	0	0	5059	805311194
354	0	0	0	0	1	19550	1	0	0	0	0	5060	805311194
355	0	0	0	0	6	0	40	0	0	0	0	5061	805311194
356	0	0	0	0	1	13639	1	0	0	0	0	5062	805311194
357	0	0	0	0	6	0	60	0	0	0	0	5063	805311194
358	0	0	0	0	2	268476898	1	0	0	0	0	5064	805311194
359	0	0	0	0	1	1121	1	0	0	0	0	5065	805311194
360	0	0	0	0	1	1122	1	0	0	0	0	5066	805311194
361	0	0	0	0	1	1123	1	0	0	0	0	5067	805311194
362	0	0	0	0	1	1124	1	0	0	0	0	5068	805311194
363	0	0	0	0	1	1125	1	0	0	0	0	5069	805311194
364	0	0	0	0	1	1121	1	0	0	0	0	5070	805311194
365	0	0	0	0	1	1122	1	0	0	0	0	5071	805311194
366	0	0	0	0	1	1123	1	0	0	0	0	5072	805311194
367	0	0	0	0	1	1124	1	0	0	0	0	5073	805311194
368	0	0	0	0	1	1125	1	0	0	0	0	5074	805311194
369	0	0	0	0	6	0	3	0	0	0	0	5076	805311194
370	0	0	0	0	1	19550	1	0	0	0	0	5077	805311194
371	0	0	0	0	1	17520	1	0	0	0	0	5078	805311194
372	0	0	0	0	1	13639	1	0	0	0	0	5079	805311194
373	0	0	0	0	1	14893	1	0	0	0	0	5080	805311194
374	0	0	0	0	2	268484217	1	0	0	0	0	5081	805311194
375	0	0	0	0	0	10	0	0	0	0	0	5082	805311194
376	0	0	0	0	0	30	0	0	0	0	0	5083	805311194
377	0	0	0	0	0	60	0	0	0	0	0	5084	805311194
378	0	0	0	0	0	120	0	0	0	0	0	5085	805311194
379	0	0	0	0	0	180	0	0	0	0	0	5086	805311194
380	0	0	0	0	0	300	0	0	0	0	0	5087	805311194
381	0	0	0	0	2	268483044	20	0	0	0	0	5094	805311194
382	0	0	0	0	2	268477155	50	0	0	0	0	5197	805311194
383	0	0	0	0	2	268484217	1	0	0	0	0	5201	805311194
384	0	0	0	0	2	536879001	15000	0	0	0	0	5202	805311194
385	0	0	0	0	2	805312159	150	0	0	0	0	5203	805311194
386	0	0	0	0	2	805312159	250	0	0	0	0	5204	805311194
387	0	0	0	0	2	805312159	400	0	0	0	0	5205	805311194
388	0	0	0	0	2	805312159	600	0	0	0	0	5206	805311194
389	0	0	0	0	2	805312159	1000	0	0	0	0	5207	805311194
390	0	0	0	0	0	600	0	0	0	0	0	5196	805311194
391	0	0	0	0	6	0	20	0	0	0	0	5198	805311194
392	0	0	0	0	1	19550	1	0	0	0	0	5199	805311194
393	0	0	0	0	1	13639	1	0	0	0	0	5200	805311194
394	0	0	0	0	2	268476323	1000	0	0	0	0	5216	805311194
395	0	0	0	0	2	536879001	15000	0	0	0	0	5219	805311194
396	0	0	0	0	2	268475874	10	0	0	0	0	5209	805311194
397	0	0	0	0	2	536880272	4	0	0	0	0	5213	805311194
398	0	0	0	0	2	536880672	9	0	0	0	0	5246	805311194
399	0	0	0	0	2	536880672	70	0	0	0	0	5247	805311194
400	0	0	0	0	0	600	0	0	0	0	0	5263	805311194
401	0	0	0	0	6	0	12	0	0	0	0	5264	805311194
402	0	0	0	0	5	1130	3	1131	3	0	0	5265	805311194
403	0	0	0	0	6	0	18	0	0	0	0	5266	805311194
404	0	0	0	0	5	19550	3	0	0	0	0	5267	805311194
405	0	0	0	0	5	1129	5	1132	5	0	0	5268	805311194
406	0	0	0	0	2	268483044	20	0	0	0	0	5269	805311194
407	0	0	0	0	2	268483044	20	0	0	0	0	5270	805311194
408	0	0	0	0	2	268476764	1	0	0	0	0	5277	805311194
409	0	0	0	0	1	1130	5	0	0	0	0	5287	805311194
410	0	0	0	0	1	1129	5	0	0	0	0	5288	805311194
411	0	0	0	0	1	1132	5	0	0	0	0	5289	805311194
412	0	0	0	0	1	1131	5	0	0	0	0	5290	805311194
413	0	0	0	0	2	536880753	3	536880754	1	0	0	5291	805311194
414	0	0	0	0	2	536880753	6	536880754	2	0	0	5292	805311194
415	0	0	0	0	2	536880753	9	536880754	3	0	0	5293	805311194
416	0	0	0	0	2	536880753	12	536880754	4	0	0	5294	805311194
417	0	0	0	0	2	536880753	15	536880754	5	0	0	5295	805311194
418	0	0	0	0	2	536880672	9	0	0	0	0	5296	805311194
419	0	0	0	0	2	536880672	30	0	0	0	0	5297	805311194
420	0	0	0	0	2	536880672	40	0	0	0	0	5298	805311194
421	0	0	0	0	2	348280450	1	0	0	0	0	5349	805311194
422	0	0	0	0	2	268456670	1	0	0	0	0	5350	805311194
423	0	0	0	0	2	348280450	1	0	0	0	0	5415	805311194
424	0	0	0	0	2	268456670	1	0	0	0	0	5416	805311194
425	0	0	0	0	2	268475874	7	0	0	0	0	5477	805311194
426	0	0	0	0	2	268477160	1	268477159	1	0	0	5478	805311194
427	0	0	0	0	2	268488194	1	0	0	0	0	5504	805311194
428	0	0	0	0	2	268488195	1	0	0	0	0	5505	805311194
429	0	0	0	0	2	268488196	1	0	0	0	0	5506	805311194
430	0	0	0	0	2	268488197	1	0	0	0	0	5507	805311194
431	0	0	0	0	2	268488198	1	0	0	0	0	5508	805311194
432	0	0	0	0	2	268488199	1	0	0	0	0	5509	805311194
433	0	0	0	0	2	268488200	1	0	0	0	0	5510	805311194
434	0	0	0	0	2	268488201	1	0	0	0	0	5511	805311194
435	0	0	0	0	2	268488202	1	0	0	0	0	5512	805311194
436	0	0	0	0	2	268488203	1	0	0	0	0	5513	805311194
437	0	0	0	0	2	268488204	1	0	0	0	0	5514	805311194
438	0	0	0	0	2	268488205	1	0	0	0	0	5515	805311194
439	0	0	0	0	2	268488206	1	0	0	0	0	5516	805311194
440	0	0	0	0	2	268488207	1	0	0	0	0	5517	805311194
