ROWID	_StorageType1|INTEGER	_StorageItem1|INTEGER	_StorageItemValue1|INTEGER	_StorageType2|INTEGER	_StorageItem2|INTEGER	_StorageItemValue2|INTEGER	_StorageType3|INTEGER	_StorageItem3|INTEGER	_StorageItemValue3|INTEGER	_StorageType4|INTEGER	_StorageItem4|INTEGER	_StorageItemValue4|INTEGER	_StorageType5|INTEGER	_StorageItem5|INTEGER	_StorageItemValue5|INTEGER
268475944	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475945	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475946	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475947	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268477636	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268481175	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475948	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475954	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475955	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475956	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475957	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475958	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476501	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476502	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476177	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476503	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476504	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476505	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476506	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476507	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476508	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476509	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476510	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476511	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476512	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476513	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476514	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476515	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476516	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476517	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476518	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476519	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476520	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476521	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476522	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476523	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476524	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476525	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476526	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476527	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476528	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268477637	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476534	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476535	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476536	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476537	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476538	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268481176	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475959	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475960	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475961	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475962	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475963	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475964	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475965	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475966	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475967	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475968	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475969	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475970	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475971	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475972	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475973	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475974	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475975	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475976	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475977	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475978	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475979	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475980	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475981	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475982	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475983	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475984	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475985	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475986	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268481186	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475987	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268477638	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475988	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475989	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475990	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475991	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268475992	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476539	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476540	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476541	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476542	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476543	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476544	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476545	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476546	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476547	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476548	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476549	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476550	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476551	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476552	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476553	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476554	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476555	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476556	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476557	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476558	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476559	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476560	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476561	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476562	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476563	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476564	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476565	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476566	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476567	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268477639	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476568	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476569	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476570	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476571	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476572	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268481187	2	536878033	2	0	0	0	0	0	0	0	0	0	0	0	0
268476664	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476665	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476666	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476667	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476668	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476669	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476670	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476671	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476672	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476673	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476674	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476675	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476676	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476677	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476678	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476679	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476680	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476681	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476682	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476683	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476684	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476685	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476686	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476687	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476688	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476689	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476690	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476691	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476692	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476693	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476694	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476695	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476696	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476697	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476698	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476699	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476700	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476701	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476702	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476703	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476704	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476705	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476706	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476707	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476708	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268476709	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268484867	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268484868	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268484869	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268484870	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268484871	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475630	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475631	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475632	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475633	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475634	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475635	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475636	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475637	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475638	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475639	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475640	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475641	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475642	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475643	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475644	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475645	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475646	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475647	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475648	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475649	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475650	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475651	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475652	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475653	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475654	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475655	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475656	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475657	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475658	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475659	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475660	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475661	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475662	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475663	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475664	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475665	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475666	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475667	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475668	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475669	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475670	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475671	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475672	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475673	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475674	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475675	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475676	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475677	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475678	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475679	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475680	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475681	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475682	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475683	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475684	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475685	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475686	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475687	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475688	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475689	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475690	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475691	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475692	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475693	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475694	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475695	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475696	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475697	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475698	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475699	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475700	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475701	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475702	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475703	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475704	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475705	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475706	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475707	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475708	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475709	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475710	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475711	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475712	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475713	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475714	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475715	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475716	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475717	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475718	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475719	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475720	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475721	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475722	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475723	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475724	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475725	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475726	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475727	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475728	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475729	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475730	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475731	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475732	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475733	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475734	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475735	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475736	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475737	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475738	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475739	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475740	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475741	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475742	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475743	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475744	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475745	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475746	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475747	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475748	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475749	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475750	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475751	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475752	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475753	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475754	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475755	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475756	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475757	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475758	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475759	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475760	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475761	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475762	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475763	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475764	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475765	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475766	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475767	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475768	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475769	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475770	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475771	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475772	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475773	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475774	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475775	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475776	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475777	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475778	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475779	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475780	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475781	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475782	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475783	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475784	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475785	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475786	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475787	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475788	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475789	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475790	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475791	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475792	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475793	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475794	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475795	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475796	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475797	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475798	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475799	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475800	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475801	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475802	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475803	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475804	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475805	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475806	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475807	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475808	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475809	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
268475810	2	536878033	1	0	0	0	0	0	0	0	0	0	0	0	0
