ROWID	_SecondarySkillID|INTEGER	_MakeItemCount|INTEGER	_MakeItem1ID|INTEGER	_MinExp1|INTEGER	_MaxExp1|INTEGER	_TypeCompletion1|INTEGER	_MakeItem2ID|INTEGER	_MinExp2|INTEGER	_MaxExp2|INTEGER	_TypeCompletion2|INTEGER	_MakeItem3ID|INTEGER	_MinExp3|INTEGER	_MaxExp3|INTEGER	_TypeCompletion3|INTEGER	_MakeItem4ID|INTEGER	_MinExp4|INTEGER	_MaxExp4|INTEGER	_TypeCompletion4|INTEGER	_MakeItem5ID|INTEGER	_MinExp5|INTEGER	_MaxExp5|INTEGER	_TypeCompletion5|INTEGER	_SecondarySkillClass|INTEGER	_SecondarySkillLevel|INTEGER	_ToolItem1ID|INTEGER	_ToolItem2ID|INTEGER	_ToolItem3ID|INTEGER	_ToolItem4ID|INTEGER	_ToolItem5ID|INTEGER	_StartExp|INTEGER	_MasterExp|INTEGER	_MaxTime|INTEGER	_SuccessProbability|INTEGER	_SuccessCount|INTEGER	_SuccessUpExp|INTEGER	_RecipeUpExp|INTEGER	_MaterialItem1ID|INTEGER	_Count1|INTEGER	_MaterialItem2ID|INTEGER	_Count2|INTEGER	_MaterialItem3ID|INTEGER	_Count3|INTEGER	_MaterialItem4ID|INTEGER	_Count4|INTEGER	_MaterialItem5ID|INTEGER	_Count5|INTEGER
348202443	1101	5	348218931	0	25	7439	348218932	26	50	1000018388	348218933	51	75	7441	348218934	76	99	7442	348218935	100	100	7443	1	8	348209157	0	0	0	0	0	600	10000	100	1	3	3	348357637	3	348278339	10	0	0	0	0	0	0
348202444	1101	5	348218936	0	25	7439	348218937	26	50	1000018388	348218938	51	75	7441	348218939	76	99	7442	348218940	100	100	7443	1	8	348209155	0	0	0	0	0	600	10000	100	1	3	3	348357638	3	348278338	10	0	0	0	0	0	0
348202689	1101	5	348219393	0	25	7439	348219394	26	50	1000018388	348219395	51	75	7441	348219396	76	99	7442	348219397	100	100	7443	1	12	348209153	0	0	0	0	0	1200	10000	100	1	4	4	348365831	3	348365832	3	348280385	10	0	0	0	0
348202690	1101	5	348219398	0	25	7439	348219399	26	50	1000018388	348219400	51	75	7441	348219401	76	99	7442	348219402	100	100	7443	1	12	348209153	0	0	0	0	0	1200	10000	100	1	4	4	348349447	3	348382216	3	0	0	0	0	0	0
348202691	1101	5	348219403	0	25	7439	348219404	26	50	1000018388	348219405	51	75	7441	348219406	76	99	7442	348219407	100	100	7443	1	12	348209155	0	0	0	0	0	1200	10000	100	1	4	4	348357639	3	348357640	3	0	0	0	0	0	0
348202692	1101	5	348219408	0	25	7439	348219409	26	50	1000018388	348219410	51	75	7441	348219411	76	99	7442	348219412	100	100	7443	1	12	348209154	0	0	0	0	0	1200	10000	100	1	4	4	348374023	3	348349448	3	0	0	0	0	0	0
348202693	1101	5	348219413	0	25	7439	348219414	26	50	1000018388	348219415	51	75	7441	348219416	76	99	7442	348219417	100	100	7443	1	12	348209157	0	0	0	0	0	1200	10000	100	1	4	4	348382215	3	348374024	3	348280389	10	0	0	0	0
348202694	1101	5	348227585	0	25	7439	348227586	26	50	1000018388	348227587	51	75	7441	348227588	76	99	7442	348227589	100	100	7443	1	12	348209153	0	0	0	0	0	1200	30000	100	1	4	4	348365832	5	348357641	5	0	0	0	0	0	0
348202695	1101	5	348227590	0	25	7439	348227591	26	50	1000018388	348227592	51	75	7441	348227593	76	99	7442	348227594	100	100	7443	1	12	348209155	0	0	0	0	0	1200	30000	100	1	4	4	348349448	5	348349449	5	0	0	0	0	0	0
348202696	1101	5	348227595	0	25	7439	348227596	26	50	1000018388	348227597	51	75	7441	348227598	76	99	7442	348227599	100	100	7443	1	12	348209157	0	0	0	0	0	1200	30000	100	1	4	4	348357640	5	348365833	5	0	0	0	0	0	0
348202697	1101	5	348227600	0	25	7439	348227601	26	50	1000018388	348227602	51	75	7441	348227603	76	99	7442	348227604	100	100	7443	1	12	348209153	0	0	0	0	0	1200	30000	100	1	4	4	348374024	5	348374025	5	348280390	10	0	0	0	0
348202698	1101	5	348227605	0	25	7439	348227606	26	50	1000018388	348227607	51	75	7441	348227608	76	99	7442	348227609	100	100	7443	1	12	348209156	0	0	0	0	0	1200	30000	100	1	4	4	348382216	5	348382217	5	348280386	10	0	0	0	0
348202699	1101	5	348219418	0	25	7439	348219419	26	50	1000018388	348219420	51	75	7441	348219421	76	99	7442	348219422	100	100	7443	1	12	348209157	0	0	0	0	0	1200	10000	100	1	4	4	348374023	3	348280387	10	0	0	0	0	0	0
348202700	1101	5	348227610	0	25	7439	348227611	26	50	1000018388	348227612	51	75	7441	348227613	76	99	7442	348227614	100	100	7443	1	12	348209154	0	0	0	0	0	1200	30000	100	1	4	4	348374024	5	348280388	10	0	0	0	0	0	0
348202701	1101	1	348243969	0	100	1000022619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	348209153	348209154	0	0	0	0	1200	10000	100	1	4	4	348280513	2	348234753	10	348366851	5	348350467	5	348358659	5
348205057	1101	1	348219905	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	348209155	0	0	0	0	0	1000	8000	100	1	253	1	348365825	1	348242433	1	348251137	1	0	0	0	0
348205058	1101	1	348219906	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	348209154	0	0	0	0	0	1000	8000	100	1	253	1	348349441	1	348242433	1	348251137	1	0	0	0	0
348205121	1101	1	348219907	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	348209157	0	0	0	0	0	1000	8000	100	1	553	1	348365825	1	348242433	1	348251137	4	0	0	0	0
348205122	1101	1	348219908	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	348209154	0	0	0	0	0	1000	8000	100	1	553	1	348349441	1	348242433	1	348251137	4	0	0	0	0
348205123	1101	1	348219909	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	348209154	0	0	0	0	0	1000	8000	100	1	553	1	348365826	1	348242433	1	348251137	4	0	0	0	0
348205185	1101	1	348219910	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	348209154	0	0	0	0	0	1000	8000	100	1	270	1	348349442	1	348242433	1	348251137	1	0	0	0	0
348205186	1101	1	348219911	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	348209154	0	0	0	0	0	1000	8000	100	1	270	1	348349442	1	348242433	1	348251137	1	0	0	0	0
348205187	1101	1	348219912	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	348209157	0	0	0	0	0	1000	8000	100	1	270	1	348357633	1	348242433	1	348251137	1	0	0	0	0
348205249	1101	1	348219913	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	348209157	0	0	0	0	0	1000	8000	100	1	570	1	348357633	1	348242433	1	348251137	4	0	0	0	0
348205250	1101	1	348219914	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	348209153	0	0	0	0	0	1000	8000	100	1	570	1	348374017	1	348242433	1	348251137	4	0	0	0	0
348205251	1101	1	348219915	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	348209155	0	0	0	0	0	1000	8000	100	1	270	1	348374017	1	348242433	1	348251137	1	0	0	0	0
348205252	1101	1	348219916	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	348209156	0	0	0	0	0	1000	8000	100	1	270	1	348382209	1	348242433	1	348251137	1	0	0	0	0
348205253	1101	1	348219917	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	348209157	0	0	0	0	0	1000	8000	100	1	570	1	348382209	1	348242433	1	348251137	4	0	0	0	0
348205313	1101	1	348219918	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	348209155	0	0	0	0	0	1000	8000	100	1	345	1	348357634	1	348242434	1	348251137	1	0	0	0	0
348205314	1101	1	348219919	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	348209156	0	0	0	0	0	1000	8000	100	1	345	1	348374018	1	348242434	1	348251137	1	0	0	0	0
348205315	1101	1	348219920	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	348209153	0	0	0	0	0	1000	8000	100	1	445	1	348357634	1	348242434	1	348251137	2	0	0	0	0
348205377	1101	1	348219921	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	348209154	0	0	0	0	0	1000	8000	100	1	445	1	348374018	1	348242434	1	348251137	2	0	0	0	0
348205378	1101	1	348219922	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	348209154	0	0	0	0	0	1000	8000	100	1	645	1	348382210	1	348242434	1	348251137	4	0	0	0	0
348205379	1101	1	348219923	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	348209155	0	0	0	0	0	1000	8000	100	1	445	1	348365827	1	348242434	1	348251137	2	0	0	0	0
348205380	1101	1	348219924	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	348209153	0	0	0	0	0	1000	8000	100	1	445	1	348365827	1	348242434	1	348251137	2	0	0	0	0
348205441	1101	1	348219925	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	348209155	0	0	0	0	0	1000	8000	100	1	540	1	348349443	1	348242434	1	348251137	1	0	0	0	0
348205442	1101	1	348219926	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	348209156	0	0	0	0	0	1000	8000	100	1	540	1	348357635	1	348242434	1	348251137	1	0	0	0	0
348205443	1101	1	348219927	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	348209154	0	0	0	0	0	1000	8000	100	1	540	1	348374019	1	348242434	1	348251137	1	0	0	0	0
348205444	1101	1	348219928	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	348209154	0	0	0	0	0	1000	8000	100	1	540	1	348374019	1	348242434	1	348251137	1	0	0	0	0
348205505	1101	1	348219929	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	348209153	0	0	0	0	0	1000	8000	100	2	930	1	348382211	1	348242434	1	348251137	2	0	0	0	0
348205506	1101	1	348219930	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	348209156	0	0	0	0	0	1000	8000	100	2	930	1	348349444	1	348242434	1	348251137	2	0	0	0	0
348205507	1101	1	348219931	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	348209155	0	0	0	0	0	1000	8000	100	1	830	1	348374020	1	348242434	1	348251137	1	0	0	0	0
348205569	1101	1	348219932	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	348209155	0	0	0	0	0	1000	8000	100	35	13650	1	348382212	1	348242435	2	348251137	1	0	0	0	0
348205570	1101	1	348219933	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	348209153	0	0	0	0	0	1000	8000	100	35	13650	1	348365828	1	348242435	2	348251137	1	0	0	0	0
348205571	1101	1	348219934	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	348209155	0	0	0	0	0	1000	8000	100	15	13650	1	348382212	1	348242435	2	348251137	1	0	0	0	0
348205572	1101	1	348219935	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	348209155	0	0	0	0	0	1000	8000	100	15	13650	1	348365828	1	348242435	2	348251137	1	0	0	0	0
348205573	1101	1	348219936	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	348209156	0	0	0	0	0	1000	8000	100	15	13650	1	348357636	1	348242435	2	348251137	1	0	0	0	0
348205633	1101	1	348219937	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	348209154	0	0	0	0	0	1000	8000	100	15	5650	1	348349445	1	348242435	2	348251137	6	0	0	0	0
348205634	1101	1	348219938	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	348209155	0	0	0	0	0	1000	8000	100	15	5150	1	348349445	1	348242435	2	348251137	1	0	0	0	0
348205635	1101	1	348219939	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	348209155	0	0	0	0	0	1000	8000	100	15	5150	1	348357637	1	348242435	2	348251137	1	0	0	0	0
348205636	1101	1	348219940	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	348209157	0	0	0	0	0	1000	8000	100	15	5150	1	348365829	1	348242435	2	348251137	1	0	0	0	0
348205637	1101	1	348219941	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	348209156	0	0	0	0	0	1000	8000	100	15	5150	1	348374021	1	348242435	2	348251137	1	0	0	0	0
348205638	1101	1	348219942	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	348209154	0	0	0	0	0	1000	8000	100	5	5150	1	348357637	1	348242435	2	348251137	1	0	0	0	0
348205639	1101	1	348219943	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	348209154	0	0	0	0	0	1000	8000	100	5	5150	1	348365829	1	348242435	2	348251137	1	0	0	0	0
348205640	1101	1	348219944	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	348209156	0	0	0	0	0	1000	8000	100	5	5150	1	348374021	1	348242435	2	348251137	1	0	0	0	0
348205697	1101	1	348219945	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	348209153	0	0	0	0	0	1000	8000	100	40	13650	1	348382213	1	348242436	2	348251137	1	0	0	0	0
348205698	1101	1	348219946	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	348209156	0	0	0	0	0	1000	8000	100	40	13650	1	348357638	1	348242436	2	348251137	1	0	0	0	0
348205699	1101	1	348219947	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	348209157	0	0	0	0	0	1000	8000	100	20	13650	1	348382213	1	348242436	2	348251137	1	0	0	0	0
348205700	1101	1	348219948	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	348209157	0	0	0	0	0	1000	8000	100	20	13650	1	348357638	1	348242436	2	348251137	1	0	0	0	0
348205701	1101	1	348219949	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	348209154	0	0	0	0	0	1000	8000	100	15	13950	1	348374022	1	348242436	2	348251137	4	0	0	0	0
348205702	1101	1	348219950	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	348209155	0	0	0	0	0	1000	8000	100	20	13650	1	348382214	1	348242436	2	348251137	1	0	0	0	0
348205703	1101	1	348219951	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	348209153	0	0	0	0	0	1000	8000	100	20	13650	1	348382214	1	348242436	2	348251137	1	0	0	0	0
348205761	1101	1	348219952	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	348209157	0	0	0	0	0	1000	8000	100	20	13650	1	348365830	1	348242436	2	348251137	1	0	0	0	0
348205762	1101	1	348219953	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	348209153	0	0	0	0	0	1000	8000	100	20	13650	1	348349447	1	348242436	2	348251137	1	0	0	0	0
348205763	1101	1	348219954	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	348209154	0	0	0	0	0	1000	8000	100	20	13650	1	348349446	1	348242436	2	348251137	1	0	0	0	0
348205764	1101	1	348219955	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	348209156	0	0	0	0	0	1000	8000	100	20	13650	1	348349446	1	348242436	2	348251137	1	0	0	0	0
348205765	1101	1	348219956	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	348209155	0	0	0	0	0	1000	8000	100	20	14850	1	348357639	1	348242436	2	348251137	13	0	0	0	0
348205766	1101	1	348219957	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	348209155	0	0	0	0	0	1000	8000	100	20	14850	1	348382215	1	348242436	2	348251137	13	0	0	0	0
348205767	1101	1	348219958	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	348209153	0	0	0	0	0	1000	8000	100	15	13950	1	348374023	1	348242436	2	348251137	4	0	0	0	0
348203009	1101	1	348220417	0	100	1000020764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	348209154	0	0	0	0	0	1000	8000	100	25	13805	1	348349448	1	348242433	3	348251137	1	335549440	1	0	0
