ROWID	_NpcID|INTEGER	_NpcIcon|INTEGER	_QuestID|INTEGER	_QuestID2|TEXT	_MaxFavor|INTEGER	_TakeFavor|INTEGER	_MaxMalice|INTEGER	_AddMalice|INTEGER	_PlusItemID|INTEGER	_PlusProb|INTEGER	_PresentID1|INTEGER	_PresentID2|INTEGER	_PresentID3|INTEGER	_PresentID4|INTEGER	_PresentID5|INTEGER	_PresentID6|INTEGER	_FavorNpc|TEXT	_FavorGroupBomb|INTEGER	_MaliceNpc|TEXT	_MaliceGroupBomb|INTEGER	_NPCInfoID|INTEGER	_BromideQuest1|INTEGER	_BromideS1|INTEGER	_Bromide1|TEXT	_BromideQuest2|INTEGER	_BromideS2|INTEGER	_Bromide2|TEXT	_BromideQuest3|INTEGER	_BromideS3|INTEGER	_Bromide3|TEXT	_MailID1|INTEGER	_Probability1|INTEGER	_MailID2|INTEGER	_Probability2|INTEGER	_MailID3|INTEGER	_Probability3|INTEGER	_MailID4|INTEGER	_Probability4|INTEGER	_MailID5|INTEGER	_Probability5|INTEGER	_MailID6|INTEGER	_Probability6|INTEGER	_MailID7|INTEGER	_Probability7|INTEGER	_MailID8|INTEGER	_Probability8|INTEGER	_MailID9|INTEGER	_Probability9|INTEGER	_MailID10|INTEGER	_Probability10|INTEGER	_MailID11|INTEGER	_Probability11|INTEGER	_MailID12|INTEGER	_Probability12|INTEGER	_UnionID|INTEGER	_RibbonTypeID|INTEGER	_RibbonRewardInforID|INTEGER	_5_RibbonRewardInforID|INTEGER	_PresentPointID1|INTEGER	_PresentPointID2|INTEGER	_PresentPointID3|INTEGER	_PresentPointID4|INTEGER	_PresentPointID5|INTEGER	_PresentPointID6|INTEGER	_UnionIconID|INTEGER	_MapID|INTEGER	_BromideRepute1|INTEGER	_BromideRepute2|INTEGER	_NpcPresentRepute1|INTEGER	_NpcPresentRepute2|INTEGER	_NpcPresentID1|INTEGER	_NpcPresentID2|INTEGER	_Mission|INTEGER	_BromideQuestName1|INTEGER	_BromideQuestName2|INTEGER	_PresentMailGID1|INTEGER	_PresentMailGID2|INTEGER	_PresentMailGID3|INTEGER	_PresentMailGID4|INTEGER	_PresentMailGID5|INTEGER	_PresentMailGID6|INTEGER
11	7	1	5701	5701	19000	0	1900	0	400269	0	101	0	0	0	0	0		3		3	1000154349	0	18	Picture019.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1000051730	90	0	0	0	0	0	0	0	3	1	11400	0	5700	11400	400269	400213	112	0	0	11	0	0	0	0	0
12	91	8	7201	7201	20000	0	2000	0	400270	0	107	0	0	0	0	0		3		3	1000154350	0	6	Picture007.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000051730	1000000828	0	0	0	0	0	0	0	1	11	12000	0	6000	12000	400270	400225	481	0	0	12	0	0	0	0	0
13	323	2	6001	6001	11000	0	1100	0	400290	0	97	0	0	0	0	0		3		3	1000154351	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000051730	2404	0	0	0	0	0	0	0	1	8	0	0	3300	6600	400290	400294	174	0	0	13	0	0	0	0	0
16	40	4	6601	6601	9000	0	900	0	400271	0	103	0	0	0	0	0		3		3	1000154352	0	4	Picture005.dds	699	13	Picture014.dds	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000051730	1000000828	1000035174	0	0	0	0	0	0	0	11	5400	0	2700	5400	400271	400215	481	0	1000054505	14	0	0	0	0	0
17	41	5	6701	6701	15000	0	1500	0	400286	0	104	0	0	0	0	0		3		3	1000154353	596	12	Picture013.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000051730	1000000828	1000035175	0	0	0	0	0	0	0	11	0	0	4500	9000	400286	400216	481	1000054501	0	15	0	0	0	0	0
19	15	12	8801	8801	16000	0	1600	0	400272	0	88	0	0	0	0	0		3		3	1000154354	0	22	Picture023.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000051730	89	0	0	0	0	0	0	0	0	5	9600	0	4800	9600	400272	400246	115	0	0	16	0	0	0	0	0
20	29	14	5801	5801	15000	0	1500	0	400273	0	98	0	0	0	0	0		3		3	1000154355	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	2404	0	0	0	0	0	0	0	2	8	0	0	4500	9000	400273	400238	174	0	0	17	0	0	0	0	0
21	99	15	5901	5901	11000	0	1100	0	400274	0	86	0	0	0	0	0		3		3	1000154356	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	2404	0	0	0	0	0	0	0	2	8	0	0	3300	6600	400274	400243	174	0	0	18	0	0	0	0	0
22	277	17	7901	7901	20000	0	2000	0	400275	0	107	0	0	0	0	0		3		3	1000154357	0	3	Picture004.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000051730	1000000828	0	0	0	0	0	0	0	1	11	12000	0	6000	0	400275	0	481	0	0	19	0	0	0	0	0
23	38	19	567	567	20000	0	2000	0	400276	0	89	0	0	0	0	0		3		3	1000154358	568	14	Picture015.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000051730	1000000828	1000035200	0	0	0	0	0	0	0	11	0	0	6000	12000	400276	400233	481	1000054502	0	20	0	0	0	0	0
25	100	22	5001	5001	20000	0	2000	0	400278	0	102	0	0	0	0	0		3		3	1000154359	0	0	Picture001.dds	5099	1	Picture002.dds	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000051730	1000114548	0	0	0	0	0	0	0	0	0	12000	0	6000	12000	400278	400195	4811	0	1000054506	21	0	0	0	0	0
27	133	23	7401	7401	20000	0	2000	0	400279	0	94	0	0	0	0	0		3		3	1000154360	0	8	Picture009.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000051730	1000000828	0	0	0	0	0	0	0	0	11	12000	0	6000	12000	400279	400245	481	0	0	22	0	0	0	0	0
28	42	24	6801	6801	11000	0	1100	0	400280	0	91	0	0	0	0	0		3		3	1000154361	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000051730	1000000828	0	0	0	0	0	0	0	0	11	0	0	3300	6600	400280	400244	481	0	0	23	0	0	0	0	0
29	4	25	6201	6201	10000	0	1000	0	400285	0	84	0	0	0	0	0		3		3	1000154362	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000051730	90	0	0	0	0	0	0	0	0	1	0	0	3000	6000	400285	400295	112	0	0	24	0	0	0	0	0
30	255	26	6901	6901	20000	0	2000	0	400287	0	96	0	0	0	0	0		3		3	1000154363	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1000051730	2404	0	0	0	0	0	0	0	3	8	0	0	6000	0	400287	0	174	0	0	25	0	0	0	0	0
31	87	28	8101	8101	20000	0	2000	0	400281	0	107	0	0	0	0	0		3		3	1000154364	0	7	Picture008.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1000051730	1000000828	0	0	0	0	0	0	0	3	11	12000	0	6000	0	400281	0	481	0	0	26	0	0	0	0	0
32	62	27	8601	8601	20000	0	2000	0	400282	0	94	0	0	0	0	0		3		3	1000154365	8609	11	Picture012.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1000051730	2404	0	0	0	0	0	0	0	0	8	0	0	6000	0	400282	0	174	1000054503	0	27	0	0	0	0	0
33	219	30	430	430, 396	20000	0	2000	0	0	0	0	0	0	0	0	0		0		0	1000154366	9729	9	Picture010.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1000051730	1000000828	1000035199	0	0	0	0	0	0	3	11	0	0	0	0	0	0	481	1000095564	0	0	0	0	0	0	0
34	92	31	588	588	20000	0	2000	0	400288	0	94	0	0	0	0	0		3		3	1000154367	0	2	Picture003.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000051730	1000000828	0	0	0	0	0	0	0	1	11	12000	0	6000	12000	400288	400237	481	0	0	28	0	0	0	0	0
35	44	33	559	559	16000	0	1600	0	400283	0	88	0	0	0	0	0		3		3	1000154368	0	19	Picture020.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	1000000828	1000039820	0	0	0	0	0	0	2	11	9600	0	4800	9600	400283	400210	481	0	0	29	0	0	0	0	0
36	36	34	523	523	16000	0	1600	0	400292	0	105	0	0	0	0	0		3		3	1000154369	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	1000000828	0	0	0	0	0	0	0	2	11	0	0	4800	9600	400292	400221	481	0	0	30	0	0	0	0	0
37	713	46	7601	7601	20000	0	2000	0	400301	0	94	0	0	0	0	0		0		0	1000154370	0	15	Picture016.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	1000022961	0	0	0	0	0	0	0	3	15	12000	0	6000	0	400301	0	1293	0	0	31	0	0	0	0	0
38	712	44	5601	5601	20000	0	2000	0	400302	0	92	0	0	0	0	0		0		0	1000154371	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	1000022961	0	0	0	0	0	0	0	4	15	0	0	6000	0	400302	0	1293	0	0	32	0	0	0	0	0
39	709	41	6101	6101	20000	0	2000	0	400303	0	89	0	0	0	0	0		0		0	1000154372	0	20	Picture021.dds	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000051730	1000022961	0	0	0	0	0	0	0	5	15	12000	0	6000	0	400303	0	1293	0	0	33	0	0	0	0	0
40	714	42	8301	8301	20000	0	2000	0	400304	0	106	0	0	0	0	0		0		0	1000154373	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	1000022961	0	0	0	0	0	0	0	6	15	0	0	6000	0	400304	0	1293	0	0	34	0	0	0	0	0
41	711	43	7101	7101	20000	0	2000	0	400305	0	106	0	0	0	0	0		0		0	1000154374	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	1000022961	0	0	0	0	0	0	0	7	15	0	0	6000	0	400305	0	1293	0	0	35	0	0	0	0	0
42	715	45	807	807	20000	0	2000	0	400306	0	107	0	0	0	0	0		0		0	1000154375	0	0		0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000051730	1000022961	0	0	0	0	0	0	0	8	15	0	0	6000	0	400306	0	1293	0	0	36	0	0	0	0	0
43	1265	47	0		10000	0	2000	0	0	0	70	71	72	73	74	0		0		0	1000154376	0	0		0	0		0	0		2405	0	2406	0	2407	0	2408	0	2409	0	2410	0	2411	0	2412	0	2413	0	2414	0	0	82500000	0	90000000	3	1000051730	2404	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0
44	1266	48	0		10000	0	2000	0	0	0	70	71	72	73	75	0		0		0	1000154377	0	0		0	0		0	0		2415	0	2416	0	2417	0	2418	0	2419	0	2420	0	2421	0	2422	0	2423	0	2424	0	0	82500000	0	90000000	3	1000051730	2404	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0
47	2228	49	0		10000	0	2000	0	0	0	79	80	81	0	0	0		0		0	1000154378	0	23	Picture024.dds	0	0		0	0		3782	0	3783	0	3784	0	3785	0	3786	0	3787	0	3788	0	3789	0	3790	0	3791	0	0	82500000	0	90000000	3	1000051730	1000000828	0	0	0	0	0	0	0	3	11	9900	0	0	0	0	0	481	0	0	0	0	0	0	0	0
