ROWID	_Rank|INTEGER	_LevelLimit|INTEGER	_EnchantLevel|INTEGER	_ResultRank|INTEGER	_ResultLevel|INTEGER	_ResultEnchantLevel|INTEGER	_NeedCoin|INTEGER	_NeedItemID1|INTEGER	_NeedItemCount1|INTEGER	_NeedItemID2|INTEGER	_NeedItemCount2|INTEGER
96	3	90	6	3	90	6	180000	0	0	0	2
97	3	90	7	3	90	7	210000	0	0	0	2
98	3	90	8	3	90	8	240000	536875950	1	0	2
99	3	90	9	3	90	9	270000	536875950	1	0	2
100	3	90	10	3	90	10	300000	536875950	1	0	3
101	3	90	11	3	90	11	350000	536875950	2	0	5
102	3	90	12	3	90	12	400000	536875950	2	0	6
103	3	90	13	3	90	13	500000	536875950	3	0	7
104	3	90	14	3	90	14	1000000	536875950	5	0	10
105	3	90	15	3	90	15	2000000	536875950	10	0	12
106	3	90	1	4	90	1	210000	536875950	4	268466189	3
107	3	90	2	4	90	1	180000	536875950	4	268466189	3
108	3	90	3	4	90	1	150000	536875950	4	268466189	3
109	3	90	4	4	90	2	180000	536875950	4	268466189	3
110	3	90	5	4	90	3	210000	536875950	8	268466189	3
111	3	90	6	4	90	4	240000	536875950	8	268466189	4
112	3	90	7	4	90	5	270000	536875950	12	268466189	4
113	3	90	8	4	90	6	300000	536875950	12	268466189	4
114	3	90	9	4	90	7	400000	536875950	12	268466189	7
115	3	90	10	4	90	8	500000	536875950	20	268466189	10
116	3	90	11	4	90	9	700000	536875950	24	268466189	15
117	3	90	12	4	90	10	1000000	536875950	40	268466189	25
118	3	90	13	4	90	11	1800000	536875950	48	268466189	50
119	3	90	14	4	90	12	3000000	536875950	60	268466189	70
120	3	90	15	4	90	13	5000000	536875950	100	268466189	200
121	4	90	1	4	90	1	30000	536875950	1	268466189	2
122	4	90	2	4	90	2	60000	536875950	1	268466189	2
123	4	90	3	4	90	3	90000	536875950	1	268466189	2
124	4	90	4	4	90	4	120000	536875950	1	268466189	2
125	4	90	5	4	90	5	150000	536875950	2	268466189	2
126	4	90	6	4	90	6	180000	536875950	2	268466189	3
127	4	90	7	4	90	7	210000	536875950	3	268466189	3
128	4	90	8	4	90	8	240000	536875950	3	268466189	3
129	4	90	9	4	90	9	270000	536875950	3	268466189	4
130	4	90	10	4	90	10	300000	536875950	5	268466189	7
131	4	90	11	4	90	11	350000	536875950	7	268466189	10
132	4	90	12	4	90	12	400000	536875950	10	268466189	15
133	4	90	13	4	90	13	500000	536875950	12	268466189	20
134	4	90	14	4	90	14	1000000	536875950	15	268466189	30
135	4	90	15	4	90	15	2000000	536875950	25	268466189	40
136	4	80	1	4	90	1	150000	536875950	2	268466189	3
137	4	80	2	4	90	1	120000	536875950	2	268466189	3
138	4	80	3	4	90	2	150000	536875950	2	268466189	3
139	4	80	4	4	90	3	180000	536875950	2	268466189	3
140	4	80	5	4	90	4	210000	536875950	4	268466189	3
141	4	80	6	4	90	5	240000	536875950	4	268466189	4
142	4	80	7	4	90	6	270000	536875950	6	268466189	4
143	4	80	8	4	90	7	300000	536875950	6	268466189	4
144	4	80	9	4	90	8	400000	536875950	6	268466189	7
145	4	80	10	4	90	9	500000	536875950	10	268466189	10
146	4	80	11	4	90	10	700000	536875950	14	268466189	15
147	4	80	12	4	90	11	1000000	536875950	20	268466189	25
148	4	80	13	4	90	12	1800000	536875950	24	268466189	50
149	4	80	14	4	90	13	3000000	536875950	30	268466189	70
150	4	80	15	4	90	14	5000000	536875950	50	268466189	200
166	5	80	1	5	90	1	230400	536875950	4	268466189	5
167	5	80	2	5	90	1	288000	536875950	4	268466189	10
168	5	80	3	5	90	1	360000	536875950	4	268466189	15
169	5	80	4	5	90	2	1200000	536875950	4	268466189	20
170	5	80	5	5	90	3	3310000	536875950	8	268466189	25
171	5	80	6	5	90	4	7510000	536875950	8	268466189	30
172	5	80	7	5	90	5	15920000	536875950	12	268466189	35
173	5	80	8	5	90	6	32740000	536875950	12	268466189	40
174	5	80	9	5	90	7	57970000	536875950	12	268466189	45
175	5	80	10	5	90	8	95810000	536875950	20	268466189	50
176	5	80	11	5	90	9	151870000	536875950	28	268466189	55
177	5	80	12	5	90	10	235960000	536875950	40	268466189	60
178	5	80	13	5	90	11	336860000	536875950	48	268466189	65
179	5	80	14	5	90	12	454580000	536875950	60	268466189	70
180	5	80	15	5	90	13	766010000	536875950	100	268466189	75
181	3	90	1	3	93	1	240000	536875950	2	0	2
182	3	90	2	3	93	1	200000	536875950	2	0	2
183	3	90	3	3	93	2	240000	536875950	2	0	2
184	3	90	4	3	93	3	290000	536875950	2	0	2
185	3	90	5	3	93	4	340000	536875950	4	0	4
186	3	90	6	3	93	5	390000	536875950	4	0	4
187	3	90	7	3	93	6	440000	536875950	5	0	5
188	3	90	8	3	93	7	480000	536875950	5	0	7
189	3	90	9	3	93	8	640000	536875950	5	0	12
190	3	90	10	3	93	9	800000	536875950	8	0	15
191	3	90	11	3	93	10	1120000	536875950	12	0	18
192	3	90	12	3	93	11	1600000	536875950	16	0	24
193	3	90	13	3	93	12	2880000	536875950	20	0	40
194	3	90	14	3	93	13	4800000	536875950	24	0	112
195	3	90	15	3	93	14	8000000	536875950	40	0	320
196	3	93	1	3	93	1	50000	0	0	0	2
197	3	93	2	3	93	2	100000	0	0	0	2
198	3	93	3	3	93	3	150000	0	0	0	2
199	3	93	4	3	93	4	200000	0	0	0	2
200	3	93	5	3	93	5	240000	0	0	0	4
201	3	93	6	3	93	6	290000	0	0	0	4
202	3	93	7	3	93	7	340000	0	0	0	4
203	3	93	8	3	93	8	390000	536875950	2	0	4
204	3	93	9	3	93	9	440000	536875950	2	0	4
205	3	93	10	3	93	10	480000	536875950	2	0	5
206	3	93	11	3	93	11	560000	536875950	4	0	8
207	3	93	12	3	93	12	640000	536875950	4	0	10
208	3	93	13	3	93	13	800000	536875950	5	0	12
209	3	93	14	3	93	14	1600000	536875950	8	0	16
210	3	93	15	3	93	15	3200000	536875950	16	0	20
211	4	90	1	3	93	1	50000	0	0	0	2
212	4	90	2	3	93	2	100000	0	0	0	2
213	4	90	3	3	93	3	150000	0	0	0	2
214	4	90	4	3	93	4	200000	0	0	0	2
215	4	90	5	3	93	5	240000	0	0	0	4
216	4	90	6	3	93	6	290000	0	0	0	4
217	4	90	7	3	93	7	340000	0	0	0	4
218	4	90	8	3	93	8	390000	536875950	2	0	4
219	4	90	9	3	93	9	440000	536875950	2	0	4
220	4	90	10	3	93	10	480000	536875950	2	0	5
221	4	90	11	3	93	11	560000	536875950	4	0	8
222	4	90	12	3	93	12	640000	536875950	4	0	10
223	4	90	13	3	93	13	800000	536875950	5	0	12
224	4	90	14	3	93	14	1600000	536875950	8	0	16
225	4	90	15	3	93	15	3200000	536875950	16	0	20
226	3	93	1	4	93	1	340000	536875950	7	268466189	5
227	3	93	2	4	93	1	290000	536875950	7	268466189	5
228	3	93	3	4	93	1	240000	536875950	7	268466189	5
229	3	93	4	4	93	2	290000	536875950	7	268466189	5
230	3	93	5	4	93	3	340000	536875950	13	268466189	5
231	3	93	6	4	93	4	390000	536875950	13	268466189	7
232	3	93	7	4	93	5	440000	536875950	20	268466189	7
233	3	93	8	4	93	6	480000	536875950	20	268466189	7
234	3	93	9	4	93	7	640000	536875950	20	268466189	12
235	3	93	10	4	93	8	800000	536875950	32	268466189	16
236	3	93	11	4	93	9	1120000	536875950	39	268466189	24
237	3	93	12	4	93	10	1600000	536875950	64	268466189	40
238	3	93	13	4	93	11	2880000	536875950	77	268466189	80
239	3	93	14	4	93	12	4800000	536875950	96	268466189	112
240	3	93	15	4	93	13	8000000	536875950	160	268466189	320
241	4	90	1	4	93	1	240000	536875950	4	268466189	5
242	4	90	2	4	93	1	200000	536875950	4	268466189	5
243	4	90	3	4	93	2	240000	536875950	4	268466189	5
244	4	90	4	4	93	3	290000	536875950	4	268466189	5
245	4	90	5	4	93	4	340000	536875950	7	268466189	5
246	4	90	6	4	93	5	390000	536875950	7	268466189	7
247	4	90	7	4	93	6	440000	536875950	10	268466189	7
248	4	90	8	4	93	7	480000	536875950	10	268466189	7
249	4	90	9	4	93	8	640000	536875950	10	268466189	12
250	4	90	10	4	93	9	800000	536875950	16	268466189	16
251	4	90	11	4	93	10	1120000	536875950	23	268466189	24
252	4	90	12	4	93	11	1600000	536875950	32	268466189	40
253	4	90	13	4	93	12	2880000	536875950	39	268466189	80
254	4	90	14	4	93	13	4800000	536875950	48	268466189	112
255	4	90	15	4	93	14	8000000	536875950	80	268466189	320
256	4	93	1	4	93	1	50000	536875950	2	268466189	4
257	4	93	2	4	93	2	100000	536875950	2	268466189	4
258	4	93	3	4	93	3	150000	536875950	2	268466189	4
259	4	93	4	4	93	4	200000	536875950	2	268466189	4
260	4	93	5	4	93	5	240000	536875950	4	268466189	4
261	4	93	6	4	93	6	290000	536875950	4	268466189	5
262	4	93	7	4	93	7	340000	536875950	5	268466189	5
263	4	93	8	4	93	8	390000	536875950	5	268466189	5
264	4	93	9	4	93	9	440000	536875950	5	268466189	7
265	4	93	10	4	93	10	480000	536875950	8	268466189	12
266	4	93	11	4	93	11	560000	536875950	12	268466189	16
267	4	93	12	4	93	12	640000	536875950	16	268466189	24
268	4	93	13	4	93	13	800000	536875950	20	268466189	32
269	4	93	14	4	93	14	1600000	536875950	24	268466189	48
270	4	93	15	4	93	15	3200000	536875950	40	268466189	64
271	5	90	1	5	93	1	330000	536875950	7	0	5
272	5	90	2	5	93	1	390000	536875950	7	0	10
273	5	90	3	5	93	1	3230000	536875950	7	0	15
274	5	90	4	5	93	2	7070000	536875950	7	0	20
275	5	90	5	5	93	3	12450000	536875950	14	0	25
276	5	90	6	5	93	4	20410000	536875950	14	0	30
277	5	90	7	5	93	5	33530000	536875950	21	0	35
278	5	90	8	5	93	6	56970000	536875950	21	0	40
279	5	90	9	5	93	7	90730000	536875950	21	0	45
280	5	90	10	5	93	8	139970000	536875950	34	0	50
281	5	90	11	5	93	9	211570000	536875950	48	0	55
282	5	90	12	5	93	10	317570000	536875950	68	0	60
283	5	90	13	5	93	11	444210000	536875950	82	0	65
284	5	90	14	5	93	12	591490000	536875950	102	0	70
285	5	90	15	5	93	13	979940000	536875950	170	0	75
286	5	93	1	5	93	1	320000	536875950	7	0	5
287	5	93	2	5	93	1	380000	536875950	7	0	10
288	5	93	3	5	93	1	3140000	536875950	7	0	15
289	5	93	4	5	93	2	6860000	536875950	7	0	20
290	5	93	5	5	93	3	12080000	536875950	14	0	25
291	5	93	6	5	93	4	19810000	536875950	14	0	30
292	5	93	7	5	93	5	32550000	536875950	21	0	35
293	5	93	8	5	93	6	55310000	536875950	21	0	40
294	5	93	9	5	93	7	88080000	536875950	21	0	45
295	5	93	10	5	93	8	135890000	536875950	34	0	50
296	5	93	11	5	93	9	205410000	536875950	48	0	55
297	5	93	12	5	93	10	308320000	536875950	68	0	60
298	5	93	13	5	93	11	431270000	536875950	82	0	65
299	5	93	14	5	93	12	574260000	536875950	102	0	70
300	5	93	15	5	93	13	951400000	536875950	170	0	75
