ROWID	_SecondarySkillClass|INTEGER	_SecondarySkillLevel|INTEGER	_CultivateMaxTime|INTEGER	_MaxWater|INTEGER	_ConsumeWater|INTEGER	_HarvestItemID|INTEGER	_HarvestDrop1|INTEGER	_HarvestDrop2|INTEGER	_HarvestDrop3|INTEGER	_HarvestDropID|INTEGER	_SkillpointSeed|INTEGER	_SkillpointWater|INTEGER	_SkinID|INTEGER	_CatalystCount|INTEGER	_Overlap|INTEGER
348341573	1	9	172800	900000	10	348323841	0	0	0	558031310	144000	1	3	1	0
348341572	1	9	86400	714000	10	348323841	0	0	0	558031298	72000	1	2	1	0
348341574	1	9	86400	714000	10	348323841	0	0	0	558031322	72000	1	3	1	0
348341570	1	9	86400	714000	10	348323841	0	0	0	558031274	72000	1	6	1	0
348341576	1	9	86400	714000	10	348323841	0	0	0	558031346	72000	1	4	1	0
348341578	1	10	172800	900000	10	348323841	0	0	0	558031370	144000	1	5	1	0
348341765	1	10	172800	900000	10	348323841	0	0	0	558035060	144000	1	3	1	0
348341767	1	10	172800	900000	10	348323841	0	0	0	558035084	144000	1	4	1	0
348341769	1	10	172800	900000	10	348323841	0	0	0	558035108	144000	1	5	1	0
348341761	1	10	172800	900000	10	348323841	0	0	0	558035012	144000	1	6	1	0
348341763	1	10	172800	900000	10	348323841	0	0	0	558035036	144000	1	2	1	0
348341764	1	10	172800	900000	10	348323841	0	0	0	558035048	144000	1	2	1	0
348341766	1	10	172800	900000	10	348323841	0	0	0	558035072	144000	1	3	1	0
348341770	1	10	172800	900000	10	348323841	0	0	0	558035120	144000	1	5	1	0
348341768	1	10	172800	900000	10	348323841	0	0	0	558035096	144000	1	4	1	0
348341955	2	1	172800	900000	10	348323841	0	0	0	558038786	720000	1	2	1	0
348341957	2	1	172800	900000	10	348323841	0	0	0	558038810	720000	1	3	1	0
348341961	2	1	172800	900000	10	348323841	0	0	0	558038858	720000	1	5	1	0
348341762	2	2	86400	714000	10	348323841	0	0	0	558035024	360000	1	6	1	0
348341953	2	2	86400	714000	10	348323841	0	0	0	558038762	360000	1	6	1	0
348341954	2	2	86400	714000	10	348323841	0	0	0	558038774	360000	1	6	1	0
348341956	2	2	86400	714000	10	348323841	0	0	0	558038798	360000	1	2	1	0
348341958	2	3	172800	900000	10	348323841	0	0	0	558038822	720000	1	3	1	0
348341959	2	3	172800	900000	10	348323841	0	0	0	558038834	720000	1	4	1	0
348341960	2	3	172800	900000	10	348323841	0	0	0	558038846	720000	1	4	1	0
348341962	2	3	172800	900000	10	348323841	0	0	0	558038870	720000	1	5	1	0
348342465	2	4	259200	900000	10	348323841	0	0	0	558053762	1080000	1	6	1	0
348342466	2	4	259200	900000	10	348323841	0	0	0	558053774	1080000	1	6	1	0
348342467	2	4	259200	900000	10	348323841	0	0	0	558053786	1080000	1	6	1	0
348342468	2	4	259200	900000	10	348323841	0	0	0	558053798	1080000	1	5	1	0
348342469	2	4	259200	900000	10	348323841	0	0	0	558053810	1080000	1	5	1	0
348342470	2	4	259200	900000	10	348323841	0	0	0	558053822	1080000	1	5	1	0
348341311	1	8	1800	15300	10	348323841	0	0	0	558033762	1500	1	3	1	1
348341310	1	8	432000	900000	10	348323841	0	0	0	558033774	360000	1	2	1	1
268475875	1	8	432000	900000	10	348323841	0	0	0	167772191	360000	1	2	1	1
348342273	2	1	86400	714000	10	348323841	0	0	0	558050012	360000	1	6	1	1
348342274	2	1	432000	900000	10	348323841	0	0	0	558050024	1800000	1	2	1	1
348342275	2	1	86400	714000	10	348323841	0	0	0	558050036	360000	1	3	1	1
348342276	2	1	432000	900000	10	348323841	0	0	0	558050048	1800000	1	2	1	1
348342277	2	1	432000	900000	10	348323841	0	0	0	558050060	1800000	1	5	1	1
348341258	1	1	86400	714000	10	348323841	0	0	0	558025120	4800	1	2	1	1
268475876	1	1	86400	714000	10	348323841	0	0	0	167772192	4800	1	2	1	1
268443230	1	1	5400	48600	10	348323841	0	0	0	167772161	900	1	3	1	1
268456662	1	1	1800	16200	10	348323841	0	0	0	167772181	300	1	2	1	5
268456663	1	1	1800	16200	10	348323841	0	0	0	167772182	300	1	3	1	5
268456664	3	1	1800	15300	10	348323841	0	0	0	167772183	1500	1	6	1	5
268456665	3	1	1800	15300	10	348323841	0	0	0	167772184	1500	1	4	1	5
268456666	4	1	10800	97200	10	348323841	0	0	0	167772185	1800	1	4	1	5
268456667	4	1	10800	97200	10	348323841	0	0	0	167772186	1800	1	3	1	5
268476575	1	1	21600	97200	10	348323841	0	0	0	167772193	600	1	2	1	1
268476750	1	1	86400	714000	10	348323841	0	0	0	167772194	72000	1	4	1	5
268476751	1	1	86400	714000	10	348323841	0	0	0	167772195	72000	1	2	1	5
268476752	1	1	86400	714000	10	348323841	0	0	0	167772196	72000	1	5	1	5
268476753	1	1	86400	714000	10	348323841	0	0	0	167772197	72000	1	3	1	5
268476754	1	1	432000	900000	10	348323841	0	0	0	167772198	360000	1	2	1	5
268477152	1	1	604800	714000	10	348323841	0	0	0	167772199	72000	1	7	1	1
268477153	1	1	604800	714000	10	348323841	0	0	0	167772200	72000	1	8	1	1
268477827	1	1	21600	97200	10	348323841	0	0	0	167772205	600	1	6	1	1
