ROWID	_Strength|INTEGER	_Agility|INTEGER	_Intelligence|INTEGER	_Stamina|INTEGER	_Experience|INTEGER	_SuperAmmor|INTEGER	_SkillPoint|INTEGER	_Fatigue|INTEGER	_DeadDurabilityRatio|FLOAT	_KillScore|INTEGER	_Assistscore|INTEGER	_Assistdecision|INTEGER	_Aggroper|FLOAT	_WeekFatigue|INTEGER	_SKillUsageRatio|DOUBLE	_IllegalAmount|INTEGER	_BanAmount|INTEGER	_AggroperPvE|FLOAT	_VIPFatigue|INTEGER	_VIPExp|INTEGER	_LevelDExp|INTEGER	_BaseMP|INTEGER	_Critical|DOUBLE
57	453	277	183	359	560000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	3960732	61391345	1.33	150	10	2138906	50000	969.5
58	474	291	192	375	570000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	3981389	61711529	1.33	150	10	2138906	50000	1018.5
59	495	304	201	392	580000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4002253	62034915	1.33	150	10	2138906	50000	1064.0
60	516	317	210	409	590000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4023325	62361535	1.33	150	10	2673632	50000	1109.5
61	541	332	220	429	600000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4044608	62691422	1.33	150	10	2673632	50000	1162.0
62	572	352	234	454	610000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4066104	63024607	1.33	150	10	2673632	50000	1232.0
63	611	376	250	485	620000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4087814	63361124	1.33	150	10	2673632	50000	1316.0
64	656	405	270	521	630000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4109742	63701006	1.33	150	10	2673632	50000	1417.5
65	709	438	292	563	640000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4131889	64044287	1.33	150	10	2673632	50000	1533.0
66	768	475	318	611	650000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4154258	64391001	1.33	150	10	2673632	50000	1662.5
67	835	517	346	664	660000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4176850	64741182	1.33	150	10	2673632	50000	1809.5
68	909	565	379	724	670000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4199669	65094864	1.33	150	10	2673632	50000	1977.5
69	994	617	415	791	680000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4222715	65452084	1.33	150	10	2673632	50000	2159.5
70	1087	676	454	865	690000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4245992	65812875	1.33	150	10	3342041	50000	2366.0
71	1179	734	494	940	700000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4269502	66177275	1.33	150	10	3342041	50000	2569.0
72	1272	792	534	1014	710000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4293246	66545319	1.33	150	10	3342041	50000	2772.0
73	1364	851	574	1088	720000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4317229	66917043	1.33	150	10	3342041	50000	2978.5
74	1458	909	613	1162	730000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4341451	67292484	1.33	150	10	3342041	50000	3181.5
75	1563	975	658	1246	740000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4365915	67671680	1.33	150	10	3342041	50000	3412.5
76	1668	1041	703	1330	750000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4390624	68054668	1.33	150	10	3342041	50000	3643.5
77	1773	1107	748	1414	760000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4415580	68441485	1.33	150	10	3342041	50000	3874.5
78	1878	1173	793	1498	770000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4440785	68832171	1.33	150	10	3342041	50000	4105.5
79	1983	1239	838	1582	780000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4466243	69226764	1.33	150	10	3342041	50000	4336.5
80	2088	1305	883	1666	790000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4491955	69625302	1.33	150	10	4177551	50000	4567.5
81	2193	1371	928	1750	800000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4517924	70027826	1.33	150	10	4177551	50000	4798.5
82	2298	1437	973	1834	810000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4544153	70434375	1.33	150	10	4177551	50000	5029.5
83	2403	1503	1018	1918	820000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4570644	70844990	1.33	150	10	4177551	50000	5260.5
84	2508	1569	1063	2002	830000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4597401	71259711	1.33	150	10	4177551	50000	5491.5
85	2630	1646	1116	2100	840000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4624424	71678579	1.33	150	10	4177551	50000	5761.0
86	2753	1723	1168	2198	850000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4651718	72101635	1.33	150	10	4177551	50000	6030.5
87	2875	1800	1221	2296	860000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4679285	72528922	1.33	150	10	4177551	50000	6300.0
88	2998	1877	1273	2394	870000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4707128	72960483	1.33	150	10	4177551	50000	6569.5
89	3120	1954	1326	2492	880000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4735249	73396358	1.33	150	10	4177551	50000	6839.0
90	3260	2042	1386	2604	890000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4763651	73836593	1.33	150	10	5221939	50000	7147.0
91	3400	2130	1446	2716	900000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4792337	74281230	1.33	150	10	5221939	50000	7455.0
92	3540	2218	1506	2828	910000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4821311	74730313	1.33	150	10	5221939	50000	7763.0
93	3680	2306	1566	2940	920000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4850573	75183887	1.33	150	10	5221939	50000	8071.0
94	3820	2394	1626	3052	930000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4880129	75641997	1.33	150	10	5221939	50000	8379.0
95	3978	2493	1693	3178	940000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4909980	76104687	1.33	150	10	5221939	50000	8725.5
96	4135	2592	1761	3304	950000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4940129	76572005	1.33	150	10	5221939	50000	9072.0
97	4293	2691	1828	3430	960000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	4970580	77043996	1.33	150	10	5221939	50000	9418.5
98	4450	2790	1896	3556	970000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	5001336	77520707	1.33	150	10	5221939	50000	9765.0
99	4608	2889	1963	3682	980000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	5032399	78002185	1.33	150	10	5221939	50000	10111.5
100	4765	2988	2031	3808	990000	100	2	1500	0.04	100	50	33	1.0	3000	0.00525	5063773	78488478	1.33	150	10	5744132	50000	10458.0
101	12	18	9	11	0	100	0	1500	0.04	100	50	33	1.0	3000	0.0063	137172	2126166	1.0	150	10	50000	50000	63.0
102	14	21	10	13	10000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	155333	2407658	1.0	150	10	50000	50000	73.5
103	16	23	12	15	20000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	197528	3061679	1.0	150	10	50000	50000	80.5
104	18	27	13	16	30000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	223679	3467028	1.0	150	10	50000	50000	94.5
105	20	29	15	18	40000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	284440	4408818	1.0	150	10	112500	50000	101.5
106	22	32	16	20	50000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	274024	4247368	1.0	150	10	112500	50000	112.0
107	24	34	18	22	60000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	309599	4798781	1.0	150	10	112500	50000	119.0
108	26	38	19	23	70000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	491512	7618437	1.0	150	10	112500	50000	133.0
109	28	40	21	25	80000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	589814	9142125	1.0	150	10	168750	50000	140.0
110	30	43	22	27	90000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	707777	10970550	1.0	150	10	168750	50000	150.5
111	32	46	23	29	100000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	801483	12422989	1.0	150	10	168750	50000	161.0
112	34	49	25	30	110000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	1019199	15797591	1.0	150	10	168750	50000	171.5
113	36	52	26	32	120000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	1154136	17889103	1.0	150	10	168750	50000	182.0
114	38	54	28	34	130000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	1446976	22428130	1.0	150	10	168750	50000	189.0
115	40	57	29	36	140000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	1592707	24686963	1.0	150	10	168750	50000	199.5
116	43	60	31	38	150000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	1810564	28063745	1.0	150	10	506250	50000	210.0
117	46	63	33	40	160000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	1901456	29472569	1.0	150	10	506250	50000	220.5
118	48	67	35	42	170000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	2010204	31158167	1.0	150	10	506250	50000	234.5
119	50	72	36	44	180000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	2053373	31827282	1.0	150	10	506250	50000	252.0
120	53	74	38	47	190000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	2102770	32592941	1.0	150	10	506250	50000	259.0
121	56	77	40	49	200000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	2121950	32890229	1.0	150	10	506250	50000	269.5
122	58	81	42	51	210000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	2239133	34706555	1.0	150	10	506250	50000	283.5
123	60	85	44	53	220000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	2464645	38202001	1.0	150	10	506250	50000	297.5
124	63	89	45	55	230000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	2801769	43427425	1.0	150	10	1012500	50000	311.5
125	67	93	48	59	240000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	2942421	45607518	1.0	150	10	1012500	50000	325.5
126	70	99	51	62	250000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3110704	48215907	1.0	150	10	1012500	50000	346.5
127	74	105	53	65	260000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3177505	49251333	1.0	150	10	1012500	50000	367.5
128	78	109	56	69	270000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3253946	50436158	1.0	150	10	1012500	50000	381.5
129	82	114	59	72	280000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3283626	50896198	1.0	150	10	1012500	50000	399.0
130	86	119	62	75	290000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3464960	53706883	1.0	150	10	1012500	50000	416.5
131	89	125	64	79	300000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3813931	59115934	1.0	150	10	1012500	50000	437.5
132	93	130	67	82	310000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	4384056	67952864	1.0	150	10	1316250	50000	455.0
133	98	137	71	86	320000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	4487379	69554377	1.0	150	10	1316250	50000	479.5
134	103	144	74	91	330000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	4618666	71589320	1.0	150	10	1316250	50000	504.0
135	108	151	78	95	340000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	4664991	72307367	1.0	150	10	1316250	50000	528.5
136	113	159	81	99	350000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	4728193	73286992	1.0	150	10	1316250	50000	556.5
137	118	165	85	104	360000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	4758951	73763738	1.0	150	10	1316250	50000	577.5
138	123	172	89	108	370000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	4931711	76441515	1.0	150	10	1316250	50000	602.0
139	128	179	92	113	380000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	5167031	80088978	1.0	150	10	1316250	50000	626.5
140	133	186	96	117	390000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	5457676	84593983	1.0	150	10	1711125	50000	651.0
141	141	198	101	124	400000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3623622	56166146	1.0	150	10	1711125	50000	693.0
142	149	210	106	131	410000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3664703	56802904	1.0	150	10	1711125	50000	735.0
143	157	223	111	137	420000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3692041	57226633	1.0	150	10	1711125	50000	780.5
144	165	234	117	144	430000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3710085	57506311	1.0	150	10	1711125	50000	819.0
145	174	248	123	152	440000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3728235	57787645	1.0	150	10	1711125	50000	868.0
146	184	261	129	160	450000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3746567	58071793	1.0	150	10	1711125	50000	913.5
147	193	275	135	168	460000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3765083	58358781	1.0	150	10	1711125	50000	962.5
148	202	289	141	176	470000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3783783	58648640	1.0	150	10	1711125	50000	1011.5
149	212	305	148	185	480000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3802671	58941397	1.0	150	10	1711125	50000	1067.5
150	223	320	155	194	490000	100	3	1500	0.04	100	50	33	1.0	3000	0.0063	3821747	59237082	1.0	150	10	2138906	50000	1120.0
151	236	337	164	205	500000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	3841014	59535724	1.0	150	10	2138906	50000	1179.5
152	248	355	173	216	510000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	3860474	59837352	1.0	150	10	2138906	50000	1242.5
153	262	374	183	228	520000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	3880129	60141997	1.0	150	10	2138906	50000	1309.0
154	276	393	193	240	530000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	3899980	60449687	1.0	150	10	2138906	50000	1375.5
155	289	413	203	252	540000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	3920029	60760455	1.0	150	10	2138906	50000	1445.5
156	303	432	213	264	550000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	3940279	61074331	1.0	150	10	2138906	50000	1512.0
157	318	454	223	277	560000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	3960732	61391345	1.0	150	10	2138906	50000	1589.0
158	333	474	234	291	570000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	3981389	61711529	1.0	150	10	2138906	50000	1659.0
159	348	495	245	304	580000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4002253	62034915	1.0	150	10	2138906	50000	1732.5
160	363	516	256	317	590000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4023325	62361535	1.0	150	10	2673632	50000	1806.0
161	380	542	268	332	600000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4044608	62691422	1.0	150	10	2673632	50000	1897.0
162	403	572	285	352	610000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4066104	63024607	1.0	150	10	2673632	50000	2002.0
163	430	612	304	376	620000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4087814	63361124	1.0	150	10	2673632	50000	2142.0
164	463	656	328	405	630000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4109742	63701006	1.0	150	10	2673632	50000	2296.0
165	500	709	355	438	640000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4131889	64044287	1.0	150	10	2673632	50000	2481.5
166	543	769	385	475	650000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4154258	64391001	1.0	150	10	2673632	50000	2691.5
167	590	835	420	517	660000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4176850	64741182	1.0	150	10	2673632	50000	2922.5
168	644	910	458	565	670000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4199669	65094864	1.0	150	10	2673632	50000	3185.0
169	704	995	501	617	680000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4222715	65452084	1.0	150	10	2673632	50000	3482.5
170	770	1087	549	676	690000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4245992	65812875	1.0	150	10	3342041	50000	3804.5
171	837	1179	597	734	700000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4269502	66177275	1.0	150	10	3342041	50000	4126.5
172	903	1272	645	792	710000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4293246	66545319	1.0	150	10	3342041	50000	4452.0
173	969	1365	692	851	720000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4317229	66917043	1.0	150	10	3342041	50000	4777.5
174	1036	1457	740	909	730000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4341451	67292484	1.0	150	10	3342041	50000	5099.5
175	1110	1563	794	975	740000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4365915	67671680	1.0	150	10	3342041	50000	5470.5
176	1186	1667	848	1041	750000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4390624	68054668	1.0	150	10	3342041	50000	5834.5
177	1260	1773	902	1107	760000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4415580	68441485	1.0	150	10	3342041	50000	6205.5
178	1336	1877	956	1173	770000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4440785	68832171	1.0	150	10	3342041	50000	6569.5
179	1410	1983	1010	1239	780000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4466243	69226764	1.0	150	10	3342041	50000	6940.5
180	1486	2087	1064	1305	790000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4491955	69625302	1.0	150	10	4177551	50000	7304.5
181	1560	2193	1118	1371	800000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4517924	70027826	1.0	150	10	4177551	50000	7675.5
182	1636	2297	1172	1437	810000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4544153	70434375	1.0	150	10	4177551	50000	8039.5
183	1710	2403	1226	1503	820000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4570644	70844990	1.0	150	10	4177551	50000	8410.5
184	1786	2507	1280	1569	830000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4597401	71259711	1.0	150	10	4177551	50000	8774.5
185	1873	2630	1343	1646	840000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4624424	71678579	1.0	150	10	4177551	50000	9205.0
186	1960	2753	1406	1723	850000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4651718	72101635	1.0	150	10	4177551	50000	9635.5
187	2048	2875	1469	1800	860000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4679285	72528922	1.0	150	10	4177551	50000	10062.5
188	2136	2997	1532	1877	870000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4707128	72960483	1.0	150	10	4177551	50000	10489.5
189	2223	3120	1595	1954	880000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4735249	73396358	1.0	150	10	4177551	50000	10920.0
190	2323	3260	1667	2042	890000	100	2	1500	0.04	100	50	33	1.0	3000	0.0063	4763651	73836593	1.0	150	10	5221939	50000	11410.0
