ROWID	_NameID|INTEGER	_IconID|INTEGER	_ActionID|TEXT	_MsgID|INTEGER	_KeywordID_0|INTEGER	_KeywordID_1|INTEGER	_KeywordID_2|INTEGER	_KeywordID_3|INTEGER	_KeywordID_4|INTEGER	_KeywordID_5|INTEGER	_KeywordID_6|INTEGER	_DescID|INTEGER	_bDef|BOOLEAN	_UnlockLv|INTEGER	_Reaction_1|TEXT	_Reaction_2|TEXT	_GestureType|INTEGER	_PetActionID|TEXT	_IsLimited|INTEGER	_Range|INTEGER	_MaxChar|INTEGER	_PlayTime|INTEGER	_ChainAct|TEXT	_NeedChar1|INTEGER	_NeedChar2|INTEGER	_InteractionSkinName|INTEGER	_InteractionAniName|INTEGER	_InteractionActName|INTEGER	_InteractionChangeAni|TEXT
58	118384	47	Social_Robot	118385	118387	118222	118223	118224	118225	118226	118227	118386	false	-1			4		5	1800	4	180	Social_Robot	3	0	0	0	0	
59	118388	48	Social_Juggling_Start	118389	118391	118222	118223	118224	118225	118226	118227	118390	false	-1			4		6	1800	4	180	Social_Juggling	3	0	0	0	0	
60	118392	49	Social_Snowman	118393	118395	118222	118223	118224	118225	118226	118227	118394	false	-1			4		7	1800	4	180	Social_Snowman	3	0	0	0	0	
61	118380	8	Social_Interaction2_Test	118381	118383	118222	118223	118224	118225	118226	118227	118382	false	-1			5		8	1800	3	180	Social_Interaction2_Test	1	2	54527	54528	54529	Idle
62	118397	50	Social_EveryDayDance_InterAction2	118398	118400	118222	118223	118224	118225	118226	118227	118399	false	-1			5		9	900	4	180	Social_EveryDayDance_InterAction2	0	3	56598	56599	56600	Idle
63	118401	51	Social_Dance09_Lover_dance	118402	118404	118222	118223	118224	118225	118226	118227	118403	false	-1			5		10	900	4	180	Social_Dance09_Lover_dance	0	3	58210	58211	58212	Idle
64	118405	52	Social_Wedding_Chu_L	118406	118218	118222	118223	118224	118225	118226	118227	118407	false	-1			0		0	0	0	0	0	0	0	0	0	0	
65	118409	53	Social_Wedding_Chu_R	118406	118218	118222	118223	118224	118225	118226	118227	118407	false	-1			0		0	0	0	0	0	0	0	0	0	0	
66	118410	54	Social_PowerRanger	118411	118218	118222	118223	118224	118225	118226	118227	118412	false	-1			5		11	1800	4	180	Social_PowerRanger	0	2	60816	60815	60814	Idle
67	118417	55	Social_Onanana_Dance	118413	118415	118416	118218	118222	118223	118224	118225	118414	false	-1			0		0	0	0	0	0	0	0	0	0	0	
