ROWID	_Activate|INTEGER	_TitleNameID|INTEGER	_TitleNameIDParam|TEXT	_SubTitleNameID|INTEGER	_SubTitleNameIDParam|TEXT	_NpcIconID|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_CounterParam|INTEGER	_CounterOperator|INTEGER	_AchieveCheckType|BOOLEAN	_GuildMissionGrade|INTEGER	_GuildMissionRatio|INTEGER	_StartRewardItemID1|INTEGER	_StartRewardItemAmount1|INTEGER	_StartRewardItemID2|INTEGER	_StartRewardItemAmount2|INTEGER	_StartRewardItemID3|INTEGER	_StartRewardItemAmount3|INTEGER	_StartRewardItemID4|INTEGER	_StartRewardItemAmount4|INTEGER	_StartRewardItemID5|INTEGER	_StartRewardItemAmount5|INTEGER	_EndRewardItemID1|INTEGER	_EndRewardItemAmount1|INTEGER	_EndRewardItemID2|INTEGER	_EndRewardItemAmount2|INTEGER	_EndRewardItemID3|INTEGER	_EndRewardItemAmount3|INTEGER	_EndRewardItemID4|INTEGER	_EndRewardItemAmount4|INTEGER	_EndRewardItemID5|INTEGER	_EndRewardItemAmount5|INTEGER	_IsAchieveNotice|INTEGER	_IsAchieveGuildNotice|INTEGER	_AchieveIcon|INTEGER	_ListSort|INTEGER	_StartTime|TEXT	_EndTime|TEXT
11	1	1000156393	{6322},{1000161506},{1000160379}	1000161601	{1000000828},{1000037710},{1000159114},{9680}	80	106	10	735	0	13	268487533	0	125	1	0	0	0	0	0	0	0	50	0	false	1	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	2	201910020900	210012300900
12	1	1000156393	{6323},{1000161506},{1000160379}	1000161601	{1000000828},{1000037710},{1000159114},{9680}	80	106	10	735	0	13	268487533	0	125	1	0	0	0	0	0	0	0	60	0	false	2	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	2	201910020900	210012300900
13	1	1000156393	{6324},{1000161506},{1000160379}	1000161601	{1000000828},{1000037710},{1000159114},{9680}	80	106	10	735	0	13	268487533	0	125	1	0	0	0	0	0	0	0	70	0	false	3	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	2	201910020900	210012300900
14	1	1000156393	{6325},{1000161506},{1000160379}	1000161601	{1000000828},{1000037710},{1000159114},{9680}	80	106	10	735	0	13	268487533	0	125	1	0	0	0	0	0	0	0	80	0	false	4	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	2	201910020900	210012300900
15	1	1000156393	{6326},{1000161506},{1000160379}	1000161601	{1000000828},{1000037710},{1000159114},{9680}	80	106	10	735	0	13	268487533	0	125	1	0	0	0	0	0	0	0	90	0	false	5	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	2	201910020900	210012300900
16	1	1000156393	{6327},{1000161506},{1000160379}	1000161601	{1000000828},{1000037710},{1000159114},{9680}	80	106	10	735	0	13	268487533	0	125	1	0	0	0	0	0	0	0	100	0	false	6	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	2	201910020900	210012300900
17	1	1000156393	{6328},{1000161506},{1000160379}	1000161601	{1000000828},{1000037710},{1000159114},{9680}	80	106	10	735	0	13	268487533	0	125	1	0	0	0	0	0	0	0	110	0	false	7	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	2	201910020900	210012300900
18	1	1000156393	{6329},{1000161506},{1000160379}	1000161601	{1000000828},{1000037710},{1000159114},{9680}	80	106	10	735	0	13	268487533	0	125	1	0	0	0	0	0	0	0	120	0	false	8	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	2	201910020900	210012300900
19	1	1000156393	{6330},{1000161506},{1000160379}	1000161601	{1000000828},{1000037710},{1000159114},{9680}	80	106	10	735	0	13	268487533	0	125	1	0	0	0	0	0	0	0	130	0	false	9	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	2	201910020900	210012300900
20	1	1000156393	{1012768},{1000161506},{1000160379}	1000161601	{1000000828},{1000037710},{1000159114},{9680}	80	106	10	735	0	13	268487533	0	125	1	0	0	0	0	0	0	0	140	0	false	10	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	2	201910020900	210012300900
21	1	1000156393	{6322},{1000161506},{1000160380}	1000161601	{1000000828},{1000000398},{1000159115},{9680}	11	106	10	45	0	13	268487534	0	125	1	0	0	0	0	0	0	0	50	0	false	1	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	3	201910020900	210012300900
22	1	1000156393	{6323},{1000161506},{1000160380}	1000161601	{1000000828},{1000000398},{1000159115},{9680}	11	106	10	45	0	13	268487534	0	125	1	0	0	0	0	0	0	0	60	0	false	2	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	3	201910020900	210012300900
23	1	1000156393	{6324},{1000161506},{1000160380}	1000161601	{1000000828},{1000000398},{1000159115},{9680}	11	106	10	45	0	13	268487534	0	125	1	0	0	0	0	0	0	0	70	0	false	3	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	3	201910020900	210012300900
24	1	1000156393	{6325},{1000161506},{1000160380}	1000161601	{1000000828},{1000000398},{1000159115},{9680}	11	106	10	45	0	13	268487534	0	125	1	0	0	0	0	0	0	0	80	0	false	4	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	3	201910020900	210012300900
25	1	1000156393	{6326},{1000161506},{1000160380}	1000161601	{1000000828},{1000000398},{1000159115},{9680}	11	106	10	45	0	13	268487534	0	125	1	0	0	0	0	0	0	0	90	0	false	5	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	3	201910020900	210012300900
26	1	1000156393	{6327},{1000161506},{1000160380}	1000161601	{1000000828},{1000000398},{1000159115},{9680}	11	106	10	45	0	13	268487534	0	125	1	0	0	0	0	0	0	0	100	0	false	6	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	3	201910020900	210012300900
27	1	1000156393	{6328},{1000161506},{1000160380}	1000161601	{1000000828},{1000000398},{1000159115},{9680}	11	106	10	45	0	13	268487534	0	125	1	0	0	0	0	0	0	0	110	0	false	7	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	3	201910020900	210012300900
28	1	1000156393	{6329},{1000161506},{1000160380}	1000161601	{1000000828},{1000000398},{1000159115},{9680}	11	106	10	45	0	13	268487534	0	125	1	0	0	0	0	0	0	0	120	0	false	8	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	3	201910020900	210012300900
29	1	1000156393	{6330},{1000161506},{1000160380}	1000161601	{1000000828},{1000000398},{1000159115},{9680}	11	106	10	45	0	13	268487534	0	125	1	0	0	0	0	0	0	0	130	0	false	9	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	3	201910020900	210012300900
30	1	1000156393	{1012768},{1000161506},{1000160380}	1000161601	{1000000828},{1000000398},{1000159115},{9680}	11	106	10	45	0	13	268487534	0	125	1	0	0	0	0	0	0	0	140	0	false	10	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	3	201910020900	210012300900
31	1	1000156393	{6322},{1000161506},{1000160381}	1000161601	{1000000828},{1000003215},{1000159116},{9680}	8	106	10	91	0	13	268487535	0	125	1	0	0	0	0	0	0	0	50	0	false	1	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	4	201910020900	210012300900
32	1	1000156393	{6323},{1000161506},{1000160381}	1000161601	{1000000828},{1000003215},{1000159116},{9680}	8	106	10	91	0	13	268487535	0	125	1	0	0	0	0	0	0	0	60	0	false	2	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	4	201910020900	210012300900
33	1	1000156393	{6324},{1000161506},{1000160381}	1000161601	{1000000828},{1000003215},{1000159116},{9680}	8	106	10	91	0	13	268487535	0	125	1	0	0	0	0	0	0	0	70	0	false	3	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	4	201910020900	210012300900
34	1	1000156393	{6325},{1000161506},{1000160381}	1000161601	{1000000828},{1000003215},{1000159116},{9680}	8	106	10	91	0	13	268487535	0	125	1	0	0	0	0	0	0	0	80	0	false	4	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	4	201910020900	210012300900
35	1	1000156393	{6326},{1000161506},{1000160381}	1000161601	{1000000828},{1000003215},{1000159116},{9680}	8	106	10	91	0	13	268487535	0	125	1	0	0	0	0	0	0	0	90	0	false	5	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	4	201910020900	210012300900
36	1	1000156393	{6327},{1000161506},{1000160381}	1000161601	{1000000828},{1000003215},{1000159116},{9680}	8	106	10	91	0	13	268487535	0	125	1	0	0	0	0	0	0	0	100	0	false	6	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	4	201910020900	210012300900
37	1	1000156393	{6328},{1000161506},{1000160381}	1000161601	{1000000828},{1000003215},{1000159116},{9680}	8	106	10	91	0	13	268487535	0	125	1	0	0	0	0	0	0	0	110	0	false	7	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	4	201910020900	210012300900
38	1	1000156393	{6329},{1000161506},{1000160381}	1000161601	{1000000828},{1000003215},{1000159116},{9680}	8	106	10	91	0	13	268487535	0	125	1	0	0	0	0	0	0	0	120	0	false	8	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	4	201910020900	210012300900
39	1	1000156393	{6330},{1000161506},{1000160381}	1000161601	{1000000828},{1000003215},{1000159116},{9680}	8	106	10	91	0	13	268487535	0	125	1	0	0	0	0	0	0	0	130	0	false	9	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	4	201910020900	210012300900
40	1	1000156393	{1012768},{1000161506},{1000160381}	1000161601	{1000000828},{1000003215},{1000159116},{9680}	8	106	10	91	0	13	268487535	0	125	1	0	0	0	0	0	0	0	140	0	false	10	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	4	201910020900	210012300900
41	1	1000156393	{6322},{1000161506},{1000160382}	1000161601	{1000022961},{1000021978},{1000159117},{9680}	46	106	10	713	0	13	268487536	0	125	1	0	0	0	0	0	0	0	50	0	false	1	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	5	201910020900	210012300900
42	1	1000156393	{6323},{1000161506},{1000160382}	1000161601	{1000022961},{1000021978},{1000159117},{9680}	46	106	10	713	0	13	268487536	0	125	1	0	0	0	0	0	0	0	60	0	false	2	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	5	201910020900	210012300900
43	1	1000156393	{6324},{1000161506},{1000160382}	1000161601	{1000022961},{1000021978},{1000159117},{9680}	46	106	10	713	0	13	268487536	0	125	1	0	0	0	0	0	0	0	70	0	false	3	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	5	201910020900	210012300900
44	1	1000156393	{6325},{1000161506},{1000160382}	1000161601	{1000022961},{1000021978},{1000159117},{9680}	46	106	10	713	0	13	268487536	0	125	1	0	0	0	0	0	0	0	80	0	false	4	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	5	201910020900	210012300900
45	1	1000156393	{6326},{1000161506},{1000160382}	1000161601	{1000022961},{1000021978},{1000159117},{9680}	46	106	10	713	0	13	268487536	0	125	1	0	0	0	0	0	0	0	90	0	false	5	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	5	201910020900	210012300900
46	1	1000156393	{6327},{1000161506},{1000160382}	1000161601	{1000022961},{1000021978},{1000159117},{9680}	46	106	10	713	0	13	268487536	0	125	1	0	0	0	0	0	0	0	100	0	false	6	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	5	201910020900	210012300900
47	1	1000156393	{6328},{1000161506},{1000160382}	1000161601	{1000022961},{1000021978},{1000159117},{9680}	46	106	10	713	0	13	268487536	0	125	1	0	0	0	0	0	0	0	110	0	false	7	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	5	201910020900	210012300900
48	1	1000156393	{6329},{1000161506},{1000160382}	1000161601	{1000022961},{1000021978},{1000159117},{9680}	46	106	10	713	0	13	268487536	0	125	1	0	0	0	0	0	0	0	120	0	false	8	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	5	201910020900	210012300900
49	1	1000156393	{6330},{1000161506},{1000160382}	1000161601	{1000022961},{1000021978},{1000159117},{9680}	46	106	10	713	0	13	268487536	0	125	1	0	0	0	0	0	0	0	130	0	false	9	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	5	201910020900	210012300900
50	1	1000156393	{1012768},{1000161506},{1000160382}	1000161601	{1000022961},{1000021978},{1000159117},{9680}	46	106	10	713	0	13	268487536	0	125	1	0	0	0	0	0	0	0	140	0	false	10	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	5	201910020900	210012300900
51	1	1000156393	{6322},{1000161506},{1000160383}	1000161601	{1000144687},{1000144586},{1000159118},{9680}	97	106	10	2675	0	13	268487537	0	125	1	0	0	0	0	0	0	0	50	0	false	1	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	6	201910020900	210012300900
52	1	1000156393	{6323},{1000161506},{1000160383}	1000161601	{1000144687},{1000144586},{1000159118},{9680}	97	106	10	2675	0	13	268487537	0	125	1	0	0	0	0	0	0	0	60	0	false	2	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	6	201910020900	210012300900
53	1	1000156393	{6324},{1000161506},{1000160383}	1000161601	{1000144687},{1000144586},{1000159118},{9680}	97	106	10	2675	0	13	268487537	0	125	1	0	0	0	0	0	0	0	70	0	false	3	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	6	201910020900	210012300900
54	1	1000156393	{6325},{1000161506},{1000160383}	1000161601	{1000144687},{1000144586},{1000159118},{9680}	97	106	10	2675	0	13	268487537	0	125	1	0	0	0	0	0	0	0	80	0	false	4	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	6	201910020900	210012300900
55	1	1000156393	{6326},{1000161506},{1000160383}	1000161601	{1000144687},{1000144586},{1000159118},{9680}	97	106	10	2675	0	13	268487537	0	125	1	0	0	0	0	0	0	0	90	0	false	5	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	6	201910020900	210012300900
56	1	1000156393	{6327},{1000161506},{1000160383}	1000161601	{1000144687},{1000144586},{1000159118},{9680}	97	106	10	2675	0	13	268487537	0	125	1	0	0	0	0	0	0	0	100	0	false	6	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	6	201910020900	210012300900
57	1	1000156393	{6328},{1000161506},{1000160383}	1000161601	{1000144687},{1000144586},{1000159118},{9680}	97	106	10	2675	0	13	268487537	0	125	1	0	0	0	0	0	0	0	110	0	false	7	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	6	201910020900	210012300900
58	1	1000156393	{6329},{1000161506},{1000160383}	1000161601	{1000144687},{1000144586},{1000159118},{9680}	97	106	10	2675	0	13	268487537	0	125	1	0	0	0	0	0	0	0	120	0	false	8	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	6	201910020900	210012300900
59	1	1000156393	{6330},{1000161506},{1000160383}	1000161601	{1000144687},{1000144586},{1000159118},{9680}	97	106	10	2675	0	13	268487537	0	125	1	0	0	0	0	0	0	0	130	0	false	9	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	6	201910020900	210012300900
60	1	1000156393	{1012768},{1000161506},{1000160383}	1000161601	{1000144687},{1000144586},{1000159118},{9680}	97	106	10	2675	0	13	268487537	0	125	1	0	0	0	0	0	0	0	140	0	false	10	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	6	201910020900	210012300900
61	1	1000156393	{6322},{1000161506},{1000160384}	1000161601	{89},{1000000372},{1000159119},{9680}	83	106	10	17	0	13	268487538	0	125	1	0	0	0	0	0	0	0	50	0	false	1	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	7	201910020900	210012300900
62	1	1000156393	{6323},{1000161506},{1000160384}	1000161601	{89},{1000000372},{1000159119},{9680}	83	106	10	17	0	13	268487538	0	125	1	0	0	0	0	0	0	0	60	0	false	2	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	7	201910020900	210012300900
63	1	1000156393	{6324},{1000161506},{1000160384}	1000161601	{89},{1000000372},{1000159119},{9680}	83	106	10	17	0	13	268487538	0	125	1	0	0	0	0	0	0	0	70	0	false	3	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	7	201910020900	210012300900
64	1	1000156393	{6325},{1000161506},{1000160384}	1000161601	{89},{1000000372},{1000159119},{9680}	83	106	10	17	0	13	268487538	0	125	1	0	0	0	0	0	0	0	80	0	false	4	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	7	201910020900	210012300900
65	1	1000156393	{6326},{1000161506},{1000160384}	1000161601	{89},{1000000372},{1000159119},{9680}	83	106	10	17	0	13	268487538	0	125	1	0	0	0	0	0	0	0	90	0	false	5	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	7	201910020900	210012300900
66	1	1000156393	{6327},{1000161506},{1000160384}	1000161601	{89},{1000000372},{1000159119},{9680}	83	106	10	17	0	13	268487538	0	125	1	0	0	0	0	0	0	0	100	0	false	6	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	7	201910020900	210012300900
67	1	1000156393	{6328},{1000161506},{1000160384}	1000161601	{89},{1000000372},{1000159119},{9680}	83	106	10	17	0	13	268487538	0	125	1	0	0	0	0	0	0	0	110	0	false	7	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	7	201910020900	210012300900
68	1	1000156393	{6329},{1000161506},{1000160384}	1000161601	{89},{1000000372},{1000159119},{9680}	83	106	10	17	0	13	268487538	0	125	1	0	0	0	0	0	0	0	120	0	false	8	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	7	201910020900	210012300900
69	1	1000156393	{6330},{1000161506},{1000160384}	1000161601	{89},{1000000372},{1000159119},{9680}	83	106	10	17	0	13	268487538	0	125	1	0	0	0	0	0	0	0	130	0	false	9	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	7	201910020900	210012300900
70	1	1000156393	{1012768},{1000161506},{1000160384}	1000161601	{89},{1000000372},{1000159119},{9680}	83	106	10	17	0	13	268487538	0	125	1	0	0	0	0	0	0	0	140	0	false	10	1333	268487921	11	0	0	0	0	0	0	0	0	268487921	8	0	0	0	0	0	0	0	0	0	1	1	7	201910020900	210012300900
71	1	1000156393	{6322},{1000161506},{1000160385}	1000161601	{1000022961},{1000021976},{1000159120},{9680}	43	106	10	711	0	13	268487539	0	125	1	0	0	0	0	0	0	0	50	0	false	1	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	8	201910020900	210012300900
72	1	1000156393	{6323},{1000161506},{1000160385}	1000161601	{1000022961},{1000021976},{1000159120},{9680}	43	106	10	711	0	13	268487539	0	125	1	0	0	0	0	0	0	0	60	0	false	2	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	8	201910020900	210012300900
73	1	1000156393	{6324},{1000161506},{1000160385}	1000161601	{1000022961},{1000021976},{1000159120},{9680}	43	106	10	711	0	13	268487539	0	125	1	0	0	0	0	0	0	0	70	0	false	3	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	8	201910020900	210012300900
74	1	1000156393	{6325},{1000161506},{1000160385}	1000161601	{1000022961},{1000021976},{1000159120},{9680}	43	106	10	711	0	13	268487539	0	125	1	0	0	0	0	0	0	0	80	0	false	4	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	8	201910020900	210012300900
75	1	1000156393	{6326},{1000161506},{1000160385}	1000161601	{1000022961},{1000021976},{1000159120},{9680}	43	106	10	711	0	13	268487539	0	125	1	0	0	0	0	0	0	0	90	0	false	5	1333	268487921	10	0	0	0	0	0	0	0	0	268487921	7	0	0	0	0	0	0	0	0	0	1	1	8	201910020900	210012300900
