ROWID	_HP|DOUBLE	_SP|DOUBLE	RecoverySP|DOUBLE	_StrengthAttack|DOUBLE	_AgilityAttack|DOUBLE	_IntelligenceAttack|DOUBLE	_PhysicalDefense|DOUBLE	_MagicDefense|DOUBLE	_Critical|DOUBLE	_CriticalResistance|DOUBLE	_Stiff|DOUBLE	_StiffResistance|DOUBLE	_Stun|DOUBLE	_StunResistance|DOUBLE	_MoveSpeed|DOUBLE	_MoveSpeedRevision|DOUBLE	_DownDelay|DOUBLE	_ElementAttack|DOUBLE	_ElementDefense|DOUBLE	_ElementDefenseMin|DOUBLE	_ElementDefenseMax|DOUBLE	_SpiritDefault|DOUBLE	_SpiritIncreaseRevision|DOUBLE	_SpiritDecreaseRevision|DOUBLE	_StrengthIntelligenceToCriticalDamage|DOUBLE	PVP_Attack|DOUBLE	PVP_Defense|DOUBLE	_StrengthToCriticalDamage|DOUBLE	_AgilityToCriticalDamage|DOUBLE	_IntelligenceToCriticalDamage|DOUBLE
29	30.0	0.0	0.0	0.25	0.75	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
30	30.0	0.0	0.0	0.25	0.25	1.0	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
31	30.0	0.0	0.0	0.25	0.75	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
32	30.0	0.0	0.0	0.25	0.75	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
35	30.0	0.0	0.0	0.1875	0.3125	0.8	0.72	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
36	30.0	0.0	0.0	0.1875	0.3125	0.8	0.72	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
37	30.0	0.0	0.0	0.1875	0.3125	0.8	0.72	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
38	30.0	0.0	0.0	0.1875	0.3125	0.8	0.72	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
41	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
42	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.0	0.0	3.0
43	30.0	0.0	0.0	0.25	0.25	0.8	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
44	30.0	0.0	0.0	0.25	0.25	0.8	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.875	0.875
46	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
47	30.0	0.0	0.0	0.25	0.75	0.25	0.72	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
48	30.0	0.0	0.0	0.25	0.75	0.25	0.72	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
49	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
50	30.0	0.0	0.0	0.25	0.25	0.8	0.72	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
51	30.0	0.0	0.0	0.25	0.25	0.8	0.72	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
52	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	0.0
53	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	0.0
54	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
55	30.0	0.0	0.0	0.25	0.25	0.8	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
56	30.0	0.0	0.0	0.25	0.25	0.8	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
57	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
58	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
59	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
60	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	0.0
61	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	0.0
62	30.0	0.0	0.0	0.5	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	1.75	1.75	0.0
63	30.0	0.0	0.0	0.5	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	1.75	1.75	0.0
64	30.0	0.0	0.0	0.5	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	1.75	1.75	0.0
65	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	0.0
66	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	0.0
67	30.0	0.0	0.0	0.5	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	1.75	1.75	0.0
68	30.0	0.0	0.0	0.5	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	1.75	1.75	0.0
69	30.0	0.0	0.0	0.5	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	1.75	1.75	0.0
70	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	0.0
71	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	0.0
72	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
73	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
74	30.0	0.0	0.0	0.25	0.25	1.0	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
75	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
76	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
77	30.0	0.0	0.0	0.25	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
78	30.0	0.0	0.0	0.25	0.75	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
79	30.0	0.0	0.0	0.25	0.75	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
80	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
81	30.0	0.0	0.0	0.25	0.25	1.0	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
82	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
83	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
84	30.0	0.0	0.0	0.1875	0.3125	0.75	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
85	30.0	0.0	0.0	0.1875	0.3125	0.8	0.72	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
86	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
87	30.0	0.0	0.0	0.25	0.75	0.25	0.72	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
88	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
89	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
90	30.0	0.0	0.0	0.5	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	1.75	1.75	0.0
91	30.0	0.0	0.0	0.5	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	1.75	1.75	0.0
92	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
93	30.0	0.0	0.0	0.25	0.25	1.0	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
94	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
95	30.0	0.0	0.0	0.25	0.5	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
96	30.0	0.0	0.0	0.25	0.75	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
97	30.0	0.0	0.0	0.25	0.25	0.8	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
98	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
99	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
201	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
100	30.0	0.0	0.0	0.25	0.5	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
101	30.0	0.0	0.0	0.5	0.25	0.5	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
102	30.0	0.0	0.0	0.25	0.75	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	3.5	0.0
103	30.0	0.0	0.0	0.25	0.25	1.0	0.6	0.2	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	0.0	0.0	3.5
104	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
105	30.0	0.0	0.0	0.75	0.25	0.25	0.6	0.3	0.0	10.5	3.0	3.0	2.5	2.5	300.0	100.0	1.0	1.0	1.0	-1.0	0.75	1000.0	1.0	0.5	0.0	1.0	1.0	3.5	0.0	0.0
