ROWID	_ItemGainText|TEXT
335549440	#h{1000061707}
335549441	#h{1000061707}
335549442	#h{1000061707}
335548032	#h{1000061707}
335548033	#h{1000061707}
335548034	#h{1000061707}
335550080	#h{1000061707}
335550081	#h{1000061707}
335550082	#h{1000061707}
335547264	#h{1000061707}
335547265	#h{1000061707}
335547266	#h{1000061707}
335547648	#h{1000061707}
335547649	#h{1000061707}
335547650	#h{1000061707}
335544704	#h{1000061707}
335544705	#h{1000061707}
335544706	#h{1000061707}
335548672	#h{1000061707}
335548673	#h{1000061707}
335548674	#h{1000061707}
335553024	#h{1000061707}
335553025	#h{1000061707}
335552896	#h{1000061707}
335552897	#h{1000061707}
335552898	#h{1000061707}
335550464	#h{1000061707}
335550465	#h{1000061707}
335550466	#h{1000061707}
335545728	#h{1000061707}
335545729	#h{1000061707}
335545730	#h{1000061707}
335551104	#h{1000061707}
335551105	#h{1000061707}
335551106	#h{1000061707}
335550976	#h{1000061707}
335550977	#h{1000061707}
335550978	#h{1000061707}
335544448	#h{1000061707}
335544449	#h{1000061707}
335544450	#h{1000061707}
335546112	#h{1000061707}
335546113	#h{1000061707}
335546114	#h{1000061707}
335546752	#h{1000061707}
335546753	#h{1000061707}
335546754	#h{1000061707}
335547008	#h{1000061707}
335547009	#h{1000061707}
335547010	#h{1000061707}
268440874	#h{1000061707}
268440875	#h{1000061707}
268440876	#h{1000061707}
268440877	#h{1000061707}
268440878	#h{1000061707}
268440879	#h{1000061707}
335822720	#h{1000061707}
335822848	#h{1000061707}
335823104	#h{1000061707}
335822976	#h{1000061707}
335823232	#h{1000061707}
335830400	#h{1000061707}
335808896	#h{1000061707}
335809024	#h{1000061707}
335809152	#h{1000061707}
335809280	#h{1000061707}
335809408	#h{1000061707}
335809536	#h{1000061707}
335831808	#h{1000061707}
335831936	#h{1000061707}
335832064	#h{1000061707}
335832192	#h{1000061707}
335832320	#h{1000061707}
335812736	#h{1000061707}
335812864	#h{1000061707}
335812992	#h{1000061707}
335813248	#h{1000061707}
335813376	#h{1000061707}
335813120	#h{1000061707}
335817216	#h{1000061707}
335817344	#h{1000061707}
335817472	#h{1000061707}
335817600	#h{1000061707}
335817728	#h{1000061707}
335817856	#h{1000061707}
335817984	#h{1000061707}
335833344	#h{1000061707}
335834112	#h{1000061707}
335833984	#h{1000061707}
335818240	#h{1000061707}
335818368	#h{1000061707}
335818624	#h{1000061707}
335818496	#h{1000061707}
335832832	#h{1000061707}
335815424	#h{1000061707}
335815552	#h{1000061707}
335815680	#h{1000061707}
335823360	#h{1000061707}
335823488	#h{1000061707}
335823616	#h{1000061707}
335823744	#h{1000061707}
335823872	#h{1000061707}
335834880	#h{1000061707}
335829632	#h{1000061707}
335829888	#h{1000061707}
335829760	#h{1000061707}
335829504	#h{1000061707}
335824384	#h{1000061707}
335824512	#h{1000061707}
335824640	#h{1000061707}
335826560	#h{1000061707}
335826688	#h{1000061707}
335826816	#h{1000061707}
335814016	#h{1000061707}
335814144	#h{1000061707}
335814272	#h{1000061707}
335814400	#h{1000061707}
335814528	#h{1000061707}
335814656	#h{1000061707}
335814784	#h{1000061707}
335814912	#h{1000061707}
335819392	#h{1000061707}
335819520	#h{1000061707}
335819648	#h{1000061707}
335819776	#h{1000061707}
335819904	#h{1000061707}
335832448	#h{1000061707}
335832576	#h{1000061707}
335827712	#h{1000061707}
335827840	#h{1000061707}
335827968	#h{1000061707}
335828096	#h{1000061707}
335828224	#h{1000061707}
335820544	#h{1000061707}
335820672	#h{1000061707}
335820800	#h{1000061707}
335820928	#h{1000061707}
335833216	#h{1000061707}
335807744	#h{1000061707}
335807872	#h{1000061707}
335807616	#h{1000061707}
335834368	#h{1000061707}
335834240	#h{1000061707}
335820032	#h{1000061707}
335820160	#h{1000061707}
335820416	#h{1000061707}
335820288	#h{1000061707}
335833856	#h{1000061707}
335832960	#h{1000061707}
335833088	#h{1000061707}
335834752	#h{1000061707}
335828352	#h{1000061707}
335828480	#h{1000061707}
335828608	#h{1000061707}
335828736	#h{1000061707}
335811840	#h{1000061707}
335811968	#h{1000061707}
335812096	#h{1000061707}
335812224	#h{1000061707}
335812608	#h{1000061707}
335812352	#h{1000061707}
335812480	#h{1000061707}
335808000	#h{1000061707}
335808128	#h{1000061707}
335808384	#h{1000061707}
335808256	#h{1000061707}
335808512	#h{1000061707}
335808768	#h{1000061707}
335808640	#h{1000061707}
335816448	#h{1000061707}
335816576	#h{1000061707}
335816704	#h{1000061707}
335816832	#h{1000061707}
335816960	#h{1000061707}
335817088	#h{1000061707}
335835008	#h{1000061707}
335835136	#h{1000061707}
335826944	#h{1000061707}
335827072	#h{1000061707}
335831424	#h{1000061707}
335831552	#h{1000061707}
335831680	#h{1000061707}
335830016	#h{1000061707}
335830144	#h{1000061707}
335830272	#h{1000061707}
335833728	#h{1000061707}
335818752	#h{1000061707}
335818880	#h{1000061707}
335819136	#h{1000061707}
335819008	#h{1000061707}
335819264	#h{1000061707}
335825152	#h{1000061707}
335825280	#h{1000061707}
335825536	#h{1000061707}
335825408	#h{1000061707}
335825664	#h{1000061707}
335825792	#h{1000061707}
335825920	#h{1000061707}
335826048	#h{1000061707}
335830656	#h{1000061707}
335830784	#h{1000061707}
335830912	#h{1000061707}
335833600	#h{1000061707}
335811072	#h{1000061707}
335811200	#h{1000061707}
335811328	#h{1000061707}
335811456	#h{1000061707}
335811584	#h{1000061707}
335811712	#h{1000061707}
335830528	#h{1000061707}
335815808	#h{1000061707}
335815936	#h{1000061707}
335816064	#h{1000061707}
335827328	#h{1000061707}
335827456	#h{1000061707}
335827584	#h{1000061707}
335813504	#h{1000061707}
335813632	#h{1000061707}
335813760	#h{1000061707}
335813888	#h{1000061707}
335832704	#h{1000061707}
335818112	#h{1000061707}
335809664	#h{1000061707}
335809792	#h{1000061707}
335809920	#h{1000061707}
335810048	#h{1000061707}
335810176	#h{1000061707}
335810304	#h{1000061707}
335810432	#h{1000061707}
335810560	#h{1000061707}
335810688	#h{1000061707}
335810816	#h{1000061707}
335810944	#h{1000061707}
335816192	#h{1000061707}
335816320	#h{1000061707}
335834624	#h{1000061707}
335834496	#h{1000061707}
335831040	#h{1000061707}
335831168	#h{1000061707}
335831296	#h{1000061707}
335821056	#h{1000061707}
335821312	#h{1000061707}
335821184	#h{1000061707}
335821440	#h{1000061707}
335824000	#h{1000061707}
335824128	#h{1000061707}
335815040	#h{1000061707}
335815168	#h{1000061707}
335815296	#h{1000061707}
335806592	#h{1000061707}
335807104	#h{1000061707}
335806848	#h{1000061707}
335807360	#h{1000061707}
335806720	#h{1000061707}
335807232	#h{1000061707}
335806976	#h{1000061707}
335807488	#h{1000061707}
335833472	#h{1000061707}
335828864	#h{1000061707}
335828992	#h{1000061707}
335829120	#h{1000061707}
335829248	#h{1000061707}
335829376	#h{1000061707}
335822592	#h{1000061707}
335822208	#h{1000061707}
335822464	#h{1000061707}
335822336	#h{1000061707}
335821568	#h{1000061707}
335821696	#h{1000061707}
335821952	#h{1000061707}
335821824	#h{1000061707}
335822080	#h{1000061707}
268440880	#h{1000061707}
268440881	#h{1000061707}
268440882	#h{1000061707}
268440883	#h{1000061707}
268440884	#h{1000061707}
268440885	#h{1000061707}
268456822	
268456823	
268456824	
268456825	
268456826	
268456827	
