ROWID	_NameID|INTEGER	_DescriptionID|INTEGER	_Type|INTEGER	_MissionID|INTEGER	_EventPeriod|TEXT	_RepeatType|INTEGER	_TimeCheck|INTEGER	_Run|BOOLEAN
1000011	1000037644	1000037509	1	1731	201110030000:201111240000	2	14	false
1000012	1000039157	1000039260	1	1818	201112080000:201201130000	2	60	false
1000013	1000039157	1000039260	1	1820	201112080000:201201130000	2	180	false
1000014	1000039158	1000039260	1	1822	201112100000:201112110000	2	180	false
1000015	1000039158	1000039260	1	1823	201112110000:201112120000	2	360	false
1000016	1000039158	1000039260	1	1822	201112170000:201112180000	2	180	false
1000017	1000039158	1000039260	1	1823	201112180000:201112190000	2	360	false
1000018	1000039158	1000039260	1	1822	201112240000:201112250000	2	180	false
1000019	1000039158	1000039260	1	1823	201112250000:201112260000	2	360	false
1000020	1000039158	1000039260	1	1822	201112310000:201201010000	2	180	false
1000021	1000039158	1000039260	1	1823	201201010000:201201020000	2	360	false
1000022	1000039158	1000039260	1	1822	201201070000:201201080000	2	180	false
1000023	1000039158	1000039260	1	1823	201201080000:201201090000	2	360	false
1000024	1000040010	1000040014	1	1899	201112260000:201201312359	2	30	false
1000025	1000040011	1000040014	1	1900	201112260000:201201312359	2	60	false
1000026	1000040012	1000040015	1	1901	201112260000:201201312359	2	120	false
1000027	1000040013	1000040015	1	1902	201112260000:201201312359	2	180	false
1000028	1000040344	1000040347	1	1903	201112260000:201201312359	2	90	false
1000029	1000040345	1000040347	1	1904	201112260000:201201312359	2	120	false
1000030	1000040010	1000040014	1	1899	201201120000:201202100000	2	30	false
1000031	1000040011	1000040014	1	1900	201201120000:201202100000	2	60	false
1000032	1000040344	1000040347	1	1903	201201210000:201201300000	2	90	false
1000033	1000040345	1000040347	1	1904	201201210000:201201300000	2	120	false
1000034	1000040012	1000040015	1	1901	201201140000:201201160000	2	120	false
1000035	1000040013	1000040015	1	1902	201201140000:201201160000	2	180	false
1000036	1000040012	1000040015	1	1901	201202040000:201202060000	2	120	false
1000037	1000040013	1000040015	1	1902	201202040000:201202060000	2	180	false
1000038	1000041421	1000041423	1	1950	201202090000:201203081000	2	30	false
1000039	1000041422	1000041423	1	1951	201202090000:201203081000	2	60	false
1000040	1000041171	1000041174	1	1952	201202110000:201202130000	2	60	false
1000041	1000041172	1000041174	1	1953	201202110000:201202130000	2	120	false
1000042	1000041171	1000041174	1	1952	201202180000:201202200000	2	60	false
1000043	1000041172	1000041174	1	1953	201202180000:201202200000	2	120	false
1000044	1000041171	1000041174	1	1952	201202250000:201202270000	2	60	false
1000045	1000041172	1000041174	1	1953	201202250000:201202270000	2	120	false
1000046	1000041171	1000041174	1	1952	201203030000:201203050000	2	60	false
1000047	1000041172	1000041174	1	1953	201203030000:201203050000	2	120	false
1000048	1000042723	1000042727	1	2104	201204260000:201205241000	2	30	false
1000049	1000042724	1000042727	1	2105	201204260000:201205241000	2	60	false
1000050	1000042725	1000042728	1	2106	201204280000:201204300000	2	120	false
1000051	1000042726	1000042728	1	2107	201204280000:201204300000	2	180	false
1000052	1000042725	1000042728	1	2106	201205050000:201205070000	2	120	false
1000053	1000042726	1000042728	1	2107	201205050000:201205070000	2	180	false
1000054	1000042725	1000042728	1	2106	201205120000:201205140000	2	120	false
1000055	1000042726	1000042728	1	2107	201205120000:201205140000	2	180	false
1000056	1000042725	1000042728	1	2106	201205190000:201205210000	2	120	false
1000057	1000042726	1000042728	1	2107	201205190000:201205210000	2	180	false
1000058	1000042723	1000042727	1	2104	201204160000:201204251000	2	5	false
1000059	1000042724	1000042727	1	2105	201204160000:201204251000	2	10	false
1000060	1000042725	1000042728	1	2106	201204160000:201204251000	2	15	false
1000061	1000042726	1000042728	1	2107	201204160000:201204251000	2	20	false
1000062	1000050969	1000050973	1	2751	201210250000:201211220000	2	30	false
1000063	1000050970	1000050973	1	2752	201210250000:201211220000	2	60	false
1000064	1000050971	1000050974	1	2753	201210270000:201210290000	2	90	false
1000065	1000050972	1000050974	1	2754	201210270000:201210290000	2	120	false
1000066	1000050971	1000050974	1	2753	201211030000:201211050000	2	90	false
1000067	1000050972	1000050974	1	2754	201211030000:201211050000	2	120	false
1000068	1000050971	1000050974	1	2753	201211100000:201211120000	2	90	false
1000069	1000050972	1000050974	1	2754	201211100000:201211120000	2	120	false
1000070	1000050971	1000050974	1	2753	201211170000:201211190000	2	90	false
1000071	1000050972	1000050974	1	2754	201211170000:201211190000	2	120	false
1000072	1000053710	1000053715	1	2985	201212200000:201301230000	2	60	false
1000073	1000053711	1000053715	1	2986	201212200000:201301230000	2	120	false
1000074	1000053979	1000053980	1	2988	201212240000:201212260000	2	120	false
1000075	1000053976	1000054072	1	2987	201212220000:201212240000	2	90	false
1000076	1000053976	1000054072	1	2987	201212290000:201212310000	2	90	false
1000077	1000053976	1000054072	1	2987	201301050000:201301070000	2	90	false
1000078	1000053976	1000054072	1	2987	201301120000:201301140000	2	90	false
1000079	1000053976	1000054072	1	2987	201301190000:201301210000	2	90	false
1000080	1000053710	1000053715	1	2985	201212100000:201301230000	2	1	false
1000081	1000053711	1000053715	1	2986	201212100000:201301230000	2	2	false
1000082	1000053979	1000053980	1	2988	201212100000:201301230000	2	3	false
1000083	1000053976	1000054072	1	2987	201212100000:201301230000	2	4	false
1000084	1000053710	1000053715	1	2985	201212200000:201301230000	2	1	false
1000085	1000053710	1000053715	1	2985	201212200000:201301230000	2	2	false
1000086	1000053710	1000053715	1	2985	201212200000:201301230000	2	3	false
1000087	1000053710	1000053715	1	2985	201212200000:201301230000	2	4	false
1000088	1000053710	1000053715	1	2985	201212200000:201301230000	2	5	false
1000089	1000053710	1000053715	1	2985	201212200000:201301230000	2	6	false
1000090	1000053710	1000053715	1	2985	201212200000:201301230000	2	7	false
1000091	1000053710	1000053715	1	2985	201212200000:201301230000	2	8	false
1000092	1000053710	1000053715	1	2985	201212200000:201301230000	2	9	false
1000093	1000053710	1000053715	1	2985	201212200000:201301230000	2	10	false
1000094	1000053710	1000053715	1	2985	201212200000:201301230000	2	11	false
1000095	1000053710	1000053715	1	2985	201212200000:201301230000	2	12	false
1000096	1000053710	1000053715	1	2985	201212200000:201301230000	2	13	false
1000097	1000053710	1000053715	1	2985	201212200000:201301230000	2	14	false
1000098	1000053710	1000053715	1	2985	201212200000:201301230000	2	15	false
1000099	1000053710	1000053715	1	2985	201212200000:201301230000	2	16	false
1000100	1000053710	1000053715	1	2985	201212200000:201301230000	2	17	false
1000101	1000053710	1000053715	1	2985	201212200000:201301230000	2	18	false
1000102	1000053710	1000053715	1	2985	201212200000:201301230000	2	19	false
1000103	1000053710	1000053715	1	2985	201212200000:201301230000	2	20	false
1000104	1000056833	1000056835	1	3065	201212200000:201303300000	2	3	false
1000105	1000056833	1000056835	1	3065	201212200000:201303300000	2	4	false
1000106	1000056833	1000056835	1	3065	201212200000:201303300000	2	5	false
1000107	1000056833	1000056835	1	3065	201212200000:201303300000	2	6	false
1000108	1000056833	1000056835	1	3065	201212200000:201303300000	2	7	false
1000109	1000056833	1000056835	1	3065	201212200000:201303300000	2	8	false
1000110	1000056834	1000056836	1	3066	201212200000:201303300000	2	4	false
1000111	1000056834	1000056836	1	3066	201212200000:201303300000	2	6	false
1000112	1000056834	1000056836	1	3066	201212200000:201303300000	2	8	false
1000113	1000056833	1000056835	1	3065	201303270000:201304240000	2	30	false
1000114	1000056833	1000056835	1	3065	201303270000:201304240000	2	60	false
1000115	1000056833	1000056835	1	3065	201303270000:201304240000	2	90	false
1000116	1000056833	1000056835	1	3065	201303270000:201304240000	2	120	false
1000117	1000056833	1000056835	1	3065	201303270000:201304240000	2	150	false
1000118	1000056833	1000056835	1	3065	201303270000:201304240000	2	180	false
1000120	1000056834	1000056836	1	3066	201303300000:201304010000	2	60	false
1000121	1000056834	1000056836	1	3066	201303300000:201304010000	2	120	false
1000122	1000056834	1000056836	1	3066	201303300000:201304010000	2	180	false
1000124	1000056834	1000056836	1	3066	201304060000:201304080000	2	60	false
1000125	1000056834	1000056836	1	3066	201304060000:201304080000	2	120	false
1000126	1000056834	1000056836	1	3066	201304060000:201304080000	2	180	false
1000128	1000056834	1000056836	1	3066	201304130000:201304150000	2	60	false
1000129	1000056834	1000056836	1	3066	201304130000:201304150000	2	120	false
1000130	1000056834	1000056836	1	3066	201304130000:201304150000	2	180	false
1000132	1000056834	1000056836	1	3066	201304200000:201304220000	2	60	false
1000133	1000056834	1000056836	1	3066	201304200000:201304220000	2	120	false
1000134	1000056834	1000056836	1	3066	201304200000:201304220000	2	180	false
1000135	1000058464	1000058465	1	3159	201303270000:201304260000	2	5	false
1000136	1000058464	1000058465	1	3160	201303270000:201304260000	2	10	false
1000137	1000058464	1000058465	1	3161	201303270000:201304260000	2	15	false
1000138	1000058464	1000058465	1	3162	201303270000:201304260000	2	20	false
1000139	1000058464	1000058465	1	3163	201303270000:201304260000	2	25	false
1000140	1000058464	1000058465	1	3164	201303270000:201304260000	2	30	false
1000141	1000058464	1000058465	1	3159	201304240000:201305220000	2	30	false
1000142	1000058464	1000058465	1	3160	201304240000:201305220000	2	60	false
1000143	1000058464	1000058465	1	3161	201304240000:201305220000	2	90	false
1000144	1000058464	1000058465	1	3162	201304240000:201305220000	2	120	false
1000145	1000058464	1000058465	1	3163	201304240000:201305220000	2	150	false
1000146	1000058464	1000058465	1	3164	201304240000:201305220000	2	180	false
1000147	1000060103	1000060118	1	3181	201306130000:201307150000	2	30	false
1000148	1000060103	1000060119	1	3182	201306130000:201307150000	2	60	false
1000149	1000060103	1000060120	1	3183	201306130000:201307150000	2	90	false
1000150	1000060103	1000060121	1	3184	201306130000:201307150000	2	120	false
1000151	1000060103	1000060118	1	3181	201306130000:201307150000	2	1	false
1000152	1000060103	1000060119	1	3182	201306130000:201307150000	2	2	false
1000153	1000060103	1000060120	1	3183	201306130000:201307150000	2	3	false
1000154	1000060103	1000060121	1	3184	201306130000:201307150000	2	4	false
1000155	1000060760	1000060761	1	3230	201306130000:201309110000	2	1	false
1000156	1000060760	1000060762	1	3231	201306130000:201309110000	2	2	false
1000157	1000060760	1000060763	1	3232	201306130000:201309110000	2	3	false
1000158	1000060760	1000060761	1	3230	201308130000:201309110000	2	60	false
1000159	1000060760	1000060762	1	3231	201308130000:201309110000	2	90	false
1000160	1000060760	1000060763	1	3232	201308130000:201309110000	2	120	false
1000165	1000063026	1000063079	1	3399	201309110000:201310100000	2	30	false
1000166	1000063026	1000063080	1	3400	201309110000:201310100000	2	60	false
1000167	1000063026	1000063081	1	3401	201309110000:201310100000	2	90	false
1000168	1000063026	1000063082	1	3402	201309110000:201310100000	2	120	false
1000173	1000064405	1000064406	1	3470	201309110000:201310220000	2	3	false
1000174	1000064405	1000064407	1	3471	201309110000:201310220000	2	6	false
1000175	1000064405	1000064408	1	3472	201309110000:201310220000	2	9	false
1000176	1000064405	1000064409	1	3473	201309110000:201310220000	2	12	false
1000177	1000064405	1000064406	1	3470	201310230000:201311200000	2	30	false
1000178	1000064405	1000064407	1	3471	201310230000:201311200000	2	60	false
1000179	1000064405	1000064408	1	3472	201310230000:201311200000	2	90	false
1000180	1000064405	1000064409	1	3473	201310230000:201311200000	2	120	false
1000181	1000066895	1000066896	1	3682	201311300000:201312300000	2	3	false
1000182	1000066895	1000066897	1	3683	201311300000:201312300000	2	6	false
1000183	1000066895	1000066898	1	3684	201311300000:201312300000	2	9	false
1000184	1000066895	1000066899	1	3685	201311300000:201312300000	2	12	false
1000185	1000066895	1000066896	1	3682	201312180000:201401222359	2	30	false
1000186	1000066895	1000066897	1	3683	201312180000:201401222359	2	60	false
1000187	1000066895	1000066898	1	3684	201312180000:201401222359	2	90	false
1000188	1000066895	1000066899	1	3685	201312180000:201401222359	2	120	false
1000189	1000068080	1000068081	1	3687	201401160000:201401212359	2	3	false
1000190	1000068080	1000068082	1	3688	201401160000:201401212359	2	6	false
1000191	1000068080	1000068083	1	3689	201401160000:201401212359	2	9	false
1000192	1000068080	1000068084	1	3690	201401160000:201401212359	2	12	false
1000193	1000068080	1000068081	1	3687	201401220000:201402122359	2	10	false
1000194	1000068080	1000068082	1	3688	201401220000:201402122359	2	30	false
1000195	1000068080	1000068083	1	3689	201401220000:201402122359	2	60	false
1000196	1000068080	1000068084	1	3690	201401220000:201402122359	2	100	false
1000197	1000069144	1000069145	1	3719	201401280000:201403122359	2	3	false
1000198	1000069144	1000069146	1	3720	201401280000:201403122359	2	6	false
1000199	1000069144	1000069147	1	3721	201401280000:201403122359	2	9	false
1000200	1000069144	1000069148	1	3722	201401280000:201403122359	2	12	false
1000201	1000069144	1000069145	1	3719	201402120000:201403122359	2	30	false
1000202	1000069144	1000069146	1	3720	201402120000:201403122359	2	60	false
1000203	1000069144	1000069147	1	3721	201402120000:201403122359	2	90	false
1000204	1000069144	1000069148	1	3722	201402120000:201403122359	2	120	false
1000205	1000073498	1000073499	1	3778	201403110000:201403202359	2	3	false
1000206	1000073498	1000073500	1	3779	201403110000:201403202359	2	6	false
1000207	1000073498	1000073501	1	3780	201403110000:201403202359	2	9	false
1000208	1000073498	1000073502	1	3781	201403110000:201403202359	2	12	false
1000209	1000073498	1000073499	1	3778	201403260000:201404222359	2	30	false
1000210	1000073498	1000073500	1	3779	201403260000:201404222359	2	60	false
1000211	1000073498	1000073501	1	3780	201403260000:201404222359	2	90	false
1000212	1000073498	1000073502	1	3781	201403260000:201404222359	2	120	false
1000213	1000077321	1000077322	1	3903	201406130000:201407140000	2	30	false
1000214	1000077321	1000077323	1	3904	201406130000:201407140000	2	60	false
1000215	1000077321	1000077324	1	3905	201406130000:201407140000	2	90	false
1000216	1000077321	1000077322	1	3903	201405160000:201406100000	2	1	false
1000217	1000077321	1000077323	1	3904	201405160000:201406100000	2	2	false
1000218	1000077321	1000077324	1	3905	201405160000:201406100000	2	3	false
1000219	1000064405	1000064406	1	4200	201410140000:201410212359	2	2	false
1000220	1000064405	1000064407	1	4201	201410140000:201410212359	2	4	false
1000221	1000064405	1000064408	1	4202	201410140000:201410212359	2	6	false
1000222	1000064405	1000064409	1	4203	201410140000:201410212359	2	8	false
1000223	1000064405	1000064406	1	4200	201410220000:201411182359	2	30	false
1000224	1000064405	1000064407	1	4201	201410220000:201411182359	2	60	false
1000225	1000064405	1000064408	1	4202	201410220000:201411182359	2	90	false
1000226	1000064405	1000064409	1	4203	201410220000:201411182359	2	120	false
1000227	1000084726	1000084729	1	4228	201412050000:201412092359	2	5	false
1000228	1000084726	1000084730	1	4229	201412050000:201412092359	2	7	false
1000229	1000084726	1000084731	1	4230	201412050000:201412092359	2	10	false
1000230	1000084727	1000084732	1	4231	201412100000:201412112359	2	5	false
1000231	1000084727	1000084733	1	4232	201412100000:201412112359	2	7	false
1000232	1000084727	1000084734	1	4233	201412100000:201412112359	2	10	false
1000233	1000084728	1000084729	1	4234	201412120000:201412152359	2	5	false
1000234	1000084728	1000084730	1	4235	201412120000:201412152359	2	7	false
1000235	1000084728	1000084731	1	4236	201412120000:201412152359	2	10	false
1000236	1000084726	1000084729	1	4228	201412170000:201412192359	2	5	false
1000237	1000084726	1000084730	1	4229	201412170000:201412192359	2	7	false
1000238	1000084726	1000084731	1	4230	201412170000:201412192359	2	10	false
1000239	1000084727	1000084732	1	4231	201412200000:201412212359	2	5	false
1000240	1000084727	1000084733	1	4232	201412200000:201412212359	2	7	false
1000241	1000084727	1000084734	1	4233	201412200000:201412212359	2	10	false
1000242	1000084726	1000084729	1	4228	201412220000:201412232359	2	5	false
1000243	1000084726	1000084730	1	4229	201412220000:201412232359	2	7	false
1000244	1000084726	1000084731	1	4230	201412220000:201412232359	2	10	false
1000245	1000084728	1000084732	1	4234	201412240000:201412252359	2	5	false
1000246	1000084728	1000084733	1	4235	201412240000:201412252359	2	7	false
1000247	1000084728	1000084734	1	4236	201412240000:201412252359	2	10	false
1000248	1000084726	1000084729	1	4228	201412260000:201412262359	2	5	false
1000249	1000084726	1000084730	1	4229	201412260000:201412262359	2	7	false
1000250	1000084726	1000084731	1	4230	201412260000:201412262359	2	10	false
1000251	1000084727	1000084732	1	4231	201412270000:201412282359	2	5	false
1000252	1000084727	1000084733	1	4232	201412270000:201412282359	2	7	false
1000253	1000084727	1000084734	1	4233	201412270000:201412282359	2	10	false
1000254	1000084726	1000084729	1	4228	201412290000:201501022359	2	5	false
1000255	1000084726	1000084730	1	4229	201412290000:201501022359	2	7	false
1000256	1000084726	1000084731	1	4230	201412290000:201501022359	2	10	false
1000257	1000084727	1000084735	1	4231	201501030000:201501042359	2	5	false
1000258	1000084727	1000084736	1	4232	201501030000:201501042359	2	7	false
1000259	1000084727	1000084737	1	4233	201501030000:201501042359	2	10	false
1000260	1000084726	1000084729	1	4228	201501050000:201501092359	2	5	false
1000261	1000084726	1000084730	1	4229	201501050000:201501092359	2	7	false
1000262	1000084726	1000084731	1	4230	201501050000:201501092359	2	10	false
1000263	1000084727	1000084732	1	4231	201501100000:201501112359	2	5	false
1000264	1000084727	1000084733	1	4232	201501100000:201501112359	2	7	false
1000265	1000084727	1000084734	1	4233	201501100000:201501112359	2	10	false
1000266	1000084726	1000084729	1	4228	201501120000:201501162359	2	5	false
1000267	1000084726	1000084730	1	4229	201501120000:201501162359	2	7	false
1000268	1000084726	1000084731	1	4230	201501120000:201501162359	2	10	false
1000269	1000084727	1000084732	1	4231	201501170000:201501182359	2	5	false
1000270	1000084727	1000084733	1	4232	201501170000:201501182359	2	7	false
1000271	1000084727	1000084734	1	4233	201501170000:201501182359	2	10	false
1000272	1000084726	1000084729	1	4228	201501190000:201501202359	2	5	false
1000273	1000084726	1000084730	1	4229	201501190000:201501202359	2	7	false
1000274	1000084726	1000084731	1	4230	201501190000:201501202359	2	10	false
1000278	1000087422	1000087423	1	4310	201501280000:201502062359	2	5	false
1000279	1000087422	1000087424	1	4311	201501280000:201502062359	2	15	false
1000280	1000087422	1000087425	1	4312	201501280000:201502062359	2	25	false
1000281	1000087422	1000087426	1	4313	201501280000:201502062359	2	35	false
1000282	1000087422	1000087427	1	4314	201501280000:201502062359	2	60	false
1000283	1000087422	1000087423	1	4310	201502110000:201503102359	2	5	false
1000284	1000087422	1000087424	1	4311	201502110000:201503102359	2	15	false
1000285	1000087422	1000087425	1	4312	201502110000:201503102359	2	25	false
1000286	1000087422	1000087426	1	4313	201502110000:201503102359	2	35	false
1000287	1000087422	1000087427	1	4314	201502110000:201503102359	2	60	false
1000288	1000089489	1000089490	1	4378	201503170000:2015030242359	2	1	false
1000289	1000089489	1000089491	1	4379	201503170000:2015030242359	2	2	false
1000290	1000089489	1000089492	1	4380	201503170000:2015030242359	2	3	false
1000291	1000089489	1000089493	1	4381	201503170000:2015030242359	2	4	false
1000292	1000089489	1000089490	1	4378	201503250000:201504212359	2	5	false
1000293	1000089489	1000089491	1	4379	201503250000:201504212359	2	15	false
1000294	1000089489	1000089492	1	4380	201503250000:201504212359	2	25	false
1000295	1000089489	1000089493	1	4381	201503250000:201504212359	2	35	false
1000296	1000102072	1000102071	1	4641	201511230000:201512082359	2	1	false
1000297	1000102072	1000102071	1	4641	201512090000:201601052359	2	5	false
1000306	1000102690	1000102691	1	4648	201512210000:201512312359	2	1	false
1000307	1000102690	1000102692	1	4649	201512210000:201512312359	2	2	false
1000308	1000102690	1000102693	1	4650	201512210000:201512312359	2	3	false
1000309	1000102690	1000102694	1	4651	201512210000:201512312359	2	4	false
1000310	1000102690	1000102695	1	4652	201512210000:201512312359	2	5	false
1000311	1000102690	1000102696	1	4653	201512210000:201512312359	2	6	false
1000312	1000102690	1000102697	1	4654	201512210000:201512312359	2	7	false
1000313	1000102690	1000102698	1	4655	201512210000:201512312359	2	8	false
1000314	1000102690	1000102691	1	4648	201601060000:201601082359	2	5	false
1000315	1000102690	1000102692	1	4649	201601060000:201601082359	2	10	false
1000316	1000102690	1000102693	1	4650	201601060000:201601082359	2	15	false
1000317	1000102690	1000102694	1	4651	201601060000:201601082359	2	20	false
1000318	1000102690	1000102695	1	4652	201601060000:201601082359	2	30	false
1000319	1000102690	1000102696	1	4653	201601090000:201601102359	2	60	false
1000320	1000102690	1000102697	1	4654	201601090000:201601102359	2	120	false
1000321	1000102690	1000102698	1	4655	201601090000:201601102359	2	180	false
1000322	1000102690	1000102691	1	4648	201601110000:201601152359	2	5	false
1000323	1000102690	1000102692	1	4649	201601110000:201601152359	2	10	false
1000324	1000102690	1000102693	1	4650	201601110000:201601152359	2	15	false
1000325	1000102690	1000102694	1	4651	201601110000:201601152359	2	20	false
1000326	1000102690	1000102695	1	4652	201601110000:201601152359	2	30	false
1000327	1000102690	1000102696	1	4653	201601160000:201601172359	2	60	false
1000328	1000102690	1000102697	1	4654	201601160000:201601172359	2	120	false
1000329	1000102690	1000102698	1	4655	201601160000:201601172359	2	180	false
1000330	1000102690	1000102691	1	4648	201601180000:201601222359	2	5	false
1000331	1000102690	1000102692	1	4649	201601180000:201601222359	2	10	false
1000332	1000102690	1000102693	1	4650	201601180000:201601222359	2	15	false
1000333	1000102690	1000102694	1	4651	201601180000:201601222359	2	20	false
1000334	1000102690	1000102695	1	4652	201601180000:201601222359	2	30	false
1000335	1000102690	1000102696	1	4653	201601230000:201601242359	2	60	false
1000336	1000102690	1000102697	1	4654	201601230000:201601242359	2	120	false
1000337	1000102690	1000102698	1	4655	201601230000:201601242359	2	180	false
1000338	1000102690	1000102691	1	4648	201601250000:201601292359	2	5	false
1000339	1000102690	1000102692	1	4649	201601250000:201601292359	2	10	false
1000340	1000102690	1000102693	1	4650	201601250000:201601292359	2	15	false
1000341	1000102690	1000102694	1	4651	201601250000:201601292359	2	20	false
1000342	1000102690	1000102695	1	4652	201601250000:201601292359	2	30	false
1000343	1000102690	1000102696	1	4653	201601300000:201601312359	2	60	false
1000344	1000102690	1000102697	1	4654	201601300000:201601312359	2	120	false
1000345	1000102690	1000102698	1	4655	201601300000:201601312359	2	180	false
1000346	1000102690	1000102691	1	4648	201602010000:201602022359	2	5	false
1000347	1000102690	1000102692	1	4649	201602010000:201602022359	2	10	false
1000348	1000102690	1000102693	1	4650	201602010000:201602022359	2	15	false
1000349	1000102690	1000102694	1	4651	201602010000:201602022359	2	20	false
1000350	1000102690	1000102695	1	4652	201602010000:201602022359	2	30	false
1000355	1000104568	1000104569	1	4671	201602170000:201602292359	2	1	false
1000356	1000104568	1000104570	1	4672	201602170000:201602292359	2	2	false
1000357	1000104568	1000104571	1	4673	201602170000:201602292359	2	3	false
1000358	1000104568	1000104572	1	4674	201602170000:201602292359	2	4	false
1000359	1000104568	1000104569	1	4671	201603020000:201604052359	2	15	false
1000360	1000104568	1000104570	1	4672	201603020000:201604052359	2	30	false
1000361	1000104568	1000104571	1	4673	201603020000:201604052359	2	45	false
1000362	1000104568	1000104572	1	4674	201603020000:201604052359	2	60	false
1000368	1000108075	1000108076	1	4714	201606140000:201607042359	2	1	false
1000369	1000108075	1000108077	1	4715	201606140000:201607042359	2	2	false
1000370	1000108075	1000108078	1	4716	201606140000:201607042359	2	3	false
1000371	1000108075	1000108079	1	4717	201606140000:201607042359	2	4	false
1000372	1000108075	1000108080	1	4718	201606140000:201607042359	2	5	false
1000373	1000108075	1000108076	1	4714	201607060000:201608022359	2	5	false
1000374	1000108075	1000108077	1	4715	201607060000:201608022359	2	15	false
1000375	1000108075	1000108078	1	4716	201607060000:201608022359	2	30	false
1000376	1000108075	1000108079	1	4717	201607060000:201608022359	2	40	false
1000377	1000108075	1000108080	1	4718	201607060000:201608022359	2	60	false
1000378	1000113964	1000113965	1	4796	201611010000:201611302359	2	1	false
1000379	1000113964	1000113966	1	4797	201611010000:201611302359	2	2	false
1000380	1000113964	1000113967	1	4798	201611010000:201611302359	2	3	false
1000381	1000113964	1000113968	1	4799	201611010000:201611302359	2	4	false
1000382	1000113964	1000113965	1	4796	201612080000:201701052359	2	1	false
1000383	1000113964	1000113966	1	4797	201612080000:201701052359	2	10	false
1000384	1000113964	1000113967	1	4798	201612080000:201701052359	2	20	false
1000385	1000113964	1000113968	1	4799	201612080000:201701052359	2	30	false
1000386	1000116507	1000116508	1	4865	201703090000:201704062359	2	7	false
1000387	1000116507	1000116509	1	4866	201703090000:201704062359	2	14	false
1000388	1000116507	1000116510	1	4867	201703090000:201704062359	2	21	false
1000389	1000116507	1000116511	1	4868	201703090000:201704062359	2	28	false
1000395	1000120587	1000113960	1	4899	201709140000:201710182359	2	1	false
1000396	1000120587	1000081832	1	4900	201709140000:201710182359	2	30	false
1000397	1000120587	1000081833	1	4901	201709140000:201710182359	2	60	false
1000398	1000120587	1000081834	1	4902	201709140000:201710182359	2	90	false
1000399	1000120587	1000081835	1	4903	201709140000:201710182359	2	120	false
1000406	1000102072	1000081832	1	4920	201712140000:201712312359	2	30	false
