ROWID	_UIResourceName1|TEXT	_UIResourceName2|TEXT
1073870632	ChatCash_Normal01.ui	ChatCash_Party01.ui
805310176	ChatCash_Event14.ui	ChatCash_EventParty14.ui
1073873422	ChatCash_Normal02.ui	ChatCash_Party02.ui
1073875119	ChatCash_Event06.ui	ChatCash_EventParty06.ui
1073875568	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073879660	ChatCash_Event10.ui	ChatCash_EventParty10.ui
805310352	ChatCash_Event08.ui	ChatCash_EventParty08.ui
1073879867	ChatCash_Event18.ui	ChatCash_EventParty18.ui
1073880508	ChatCash_Event18.ui	ChatCash_EventParty18.ui
1073880535	ChatCash_Event19.ui	ChatCash_EventParty19.ui
1073880546	ChatCash_Event18.ui	ChatCash_EventParty18.ui
1073880554	ChatCash_Normal02.ui	ChatCash_Party02.ui
1073882775	ChatCash_Event21.ui	ChatCash_EventParty21.ui
1073882792	ChatCash_Event16.ui	ChatCash_EventParty16.ui
1073883919	ChatCash_Event19.ui	ChatCash_EventParty19.ui
1073884327	ChatCash_Event02.ui	ChatCash_EventParty02.ui
1073887282	ChatCash_Event22.ui	ChatCash_EventParty22.ui
805310603	ChatCash_Event25.ui	ChatCash_EventParty25.ui
1073888690	ChatCash_Event21.ui	ChatCash_EventParty21.ui
1073890696	ChatCash_Event26.ui	ChatCash_EventParty26.ui
1073891217	ChatCash_Event23.ui	ChatCash_EventParty23.ui
1073893061	ChatCash_Event26.ui	ChatCash_EventParty26.ui
1073893867	ChatCash_Event27.ui	ChatCash_EventParty27.ui
1073894728	ChatCash_Event27.ui	ChatCash_EventParty27.ui
1073895902	ChatCash_Event10.ui	ChatCash_EventParty10.ui
1073896727	ChatCash_Event28.ui	ChatCash_EventParty28.ui
1073897678	ChatCash_Event17.ui	ChatCash_EventParty17.ui
805311268	ChatCash_Event30.ui	ChatCash_EventParty30.ui
1073898971	ChatCash_Event29.ui	ChatCash_EventParty29.ui
805311337	ChatCash_Event32.ui	ChatCash_EventParty32.ui
1073900247	ChatCash_Event15.ui	ChatCash_EventParty15.ui
1073901477	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073901492	ChatCash_Event37.ui	ChatCash_EventParty37.ui
1073908365	ChatCash_Event37.ui	ChatCash_EventParty37.ui
1073902903	ChatCash_Event13.ui	ChatCash_EventParty13.ui
1073904668	ChatCash_Event40.ui	ChatCash_EventParty40.ui
1073905872	ChatCash_Event40.ui	ChatCash_EventParty40.ui
1073905954	ChatCash_Event41.ui	ChatCash_EventParty41.ui
805311597	ChatCash_Event42.ui	ChatCash_EventParty42.ui
805311598	ChatCash_Event42.ui	ChatCash_EventParty42.ui
1073906683	ChatCash_Event41.ui	ChatCash_EventParty41.ui
1073908733	ChatCash_Event43.ui	ChatCash_EventParty43.ui
1073909456	ChatCash_Event15.ui	ChatCash_EventParty15.ui
1073910650	ChatCash_Event06.ui	ChatCash_EventParty06.ui
1073910653	ChatCash_Event43.ui	ChatCash_EventParty43.ui
1073911585	ChatCash_Event44.ui	ChatCash_EventParty44.ui
1073912996	ChatCash_Event45.ui	ChatCash_EventParty45.ui
1073912513	ChatCash_Event44.ui	ChatCash_EventParty44.ui
805312329	ChatCash_Event25.ui	ChatCash_EventParty25.ui
805312325	ChatCash_Event48.ui	ChatCash_EventParty48.ui
1073914397	ChatCash_Event45.ui	ChatCash_EventParty45.ui
1073915038	ChatCash_Event46.ui	ChatCash_EventParty46.ui
1073915597	ChatCash_Event47.ui	ChatCash_EventParty47.ui
805312478	ChatCash_Event13.ui	ChatCash_EventParty13.ui
805312544	ChatCash_Normal01.ui	ChatCash_Party01.ui
1073917562	ChatCash_Event50.ui	ChatCash_EventParty50.ui
1073917980	ChatCash_Event50.ui	ChatCash_EventParty50.ui
1073917977	ChatCash_Event03.ui	ChatCash_EventParty03.ui
805312685	ChatCash_Event30.ui	ChatCash_EventParty30.ui
1073919055	ChatCash_Event51.ui	ChatCash_EventParty51.ui
805312693	ChatCash_Event17.ui	ChatCash_EventParty17.ui
805312712	ChatCash_Event32.ui	ChatCash_EventParty32.ui
1073920110	ChatCash_Event52.ui	ChatCash_EventParty52.ui
1073920119	ChatCash_Event53.ui	ChatCash_EventParty53.ui
1073920253	ChatCash_Event54.ui	ChatCash_EventParty54.ui
1073920393	ChatCash_Event55.ui	ChatCash_EventParty55.ui
1073920610	ChatCash_Event55.ui	ChatCash_EventParty55.ui
1073921567	ChatCash_Event29.ui	ChatCash_EventParty29.ui
805312841	ChatCash_Normal02.ui	ChatCash_Party02.ui
