ROWID	_Name1|TEXT	_FaceID1|INTEGER	_Name2|TEXT	_FaceID2|INTEGER	_Name3|TEXT	_FaceID3|INTEGER	_Name4|TEXT	_FaceID4|INTEGER	_Name5|TEXT	_FaceID5|INTEGER	_Name6|TEXT	_FaceID6|INTEGER	_Name7|TEXT	_FaceID7|INTEGER	_Name8|TEXT	_FaceID8|INTEGER	_Name9|TEXT	_FaceID9|INTEGER	_Name10|TEXT	_FaceID10|INTEGER	_Name11|TEXT	_FaceID11|INTEGER	_Name12|TEXT	_FaceID12|INTEGER	_Name13|TEXT	_FaceID13|INTEGER	_Name14|TEXT	_FaceID14|INTEGER	_Name15|TEXT	_FaceID15|INTEGER	_Name16|TEXT	_FaceID16|INTEGER	_Name17|TEXT	_FaceID17|INTEGER	_Name18|TEXT	_FaceID18|INTEGER	_Name19|TEXT	_FaceID19|INTEGER	_Name20|TEXT	_FaceID20|INTEGER	_Name21|TEXT	_FaceID21|INTEGER	_Name22|TEXT	_FaceID22|INTEGER	_Name23|TEXT	_FaceID23|INTEGER	_Name24|TEXT	_FaceID24|INTEGER	_Name25|TEXT	_FaceID25|INTEGER	_Name26|TEXT	_FaceID26|INTEGER	_Name27|TEXT	_FaceID27|INTEGER	_Name28|TEXT	_FaceID28|INTEGER	_Name29|TEXT	_FaceID29|INTEGER	_Name30|TEXT	_FaceID30|INTEGER	_Name31|TEXT	_FaceID31|INTEGER	_Name32|TEXT	_FaceID32|INTEGER	_Name33|TEXT	_FaceID33|INTEGER	_Name34|TEXT	_FaceID34|INTEGER	_Name35|TEXT	_FaceID35|INTEGER	_Name36|TEXT	_FaceID36|INTEGER	_Name37|TEXT	_FaceID37|INTEGER	_Name38|TEXT	_FaceID38|INTEGER	_Name39|TEXT	_FaceID39|INTEGER	_Name40|TEXT	_FaceID40|INTEGER	_Name41|TEXT	_FaceID41|INTEGER	_Name42|TEXT	_FaceID42|INTEGER	_Name43|TEXT	_FaceID43|INTEGER	_Name44|TEXT	_FaceID44|INTEGER	_Name45|TEXT	_FaceID45|INTEGER	_Name46|TEXT	_FaceID46|INTEGER	_Name47|TEXT	_FaceID47|INTEGER	_Name48|TEXT	_FaceID48|INTEGER	_Name49|TEXT	_FaceID49|INTEGER	_Name50|TEXT	_FaceID50|INTEGER	_UseMaskTexture|BOOLEAN
1000005	Warrior	6	Flicker	1100	Serious	1101	Pain	1102	Laugh	1103	Sad	1104	Shout	1105	Surprise	1106	Sleep	1107		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000006	Warrior	7	Flicker	1120	Serious	1121	Pain	1122	Laugh	1123	Sad	1124	Shout	1125	Surprise	1126	Sleep	1127		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000007	Warrior	8	Flicker	1140	Serious	1141	Pain	1142	Laugh	1143	Sad	1144	Shout	1145	Surprise	1146	Sleep	1147		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000008	Warrior	9	Flicker	1160	Serious	1161	Pain	1162	Laugh	1163	Sad	1164	Shout	1165	Surprise	1166	Sleep	1167		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000009	Warrior	10	Flicker	1180	Serious	1181	Pain	1182	Laugh	1183	Sad	1184	Shout	1185	Surprise	1186	Sleep	1187		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000010	Warrior	11	Flicker	1190	Serious	1191	Pain	1192	Laugh	1193	Sad	1194	Shout	1195	Surprise	1196	Sleep	1197		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000011	Warrior	12	Flicker	1200	Serious	1201	Pain	1202	Laugh	1203	Sad	1204	Shout	1205	Surprise	1206	Sleep	1207		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
1000012	Warrior	13	Flicker	1210	Serious	1211	Pain	1212	Laugh	1213	Sad	1214	Shout	1215	Surprise	1216	Sleep	1217		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000001	Archer	101	Flicker	2020	Serious	2021	Pain	2022	Laugh	2023	Sad	2024	Shout	2025	Surprise	2026	Sleep	2027		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000002	Archer	102	Flicker	2040	Serious	2041	Pain	2042	Laugh	2043	Sad	2044	Shout	2045	Surprise	2046	Sleep	2047		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000003	Archer	103	Flicker	2060	Serious	2061	Pain	2062	Laugh	2063	Sad	2064	Shout	2065	Surprise	2066	Sleep	2067		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000004	Archer	104	Flicker	2080	Serious	2081	Pain	2082	Laugh	2083	Sad	2084	Shout	2085	Surprise	2086	Sleep	2087		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000005	Archer	105	Flicker	2100	Serious	2101	Pain	2102	Laugh	2103	Sad	2104	Shout	2105	Surprise	2106	Sleep	2107		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000006	Archer	106	Flicker	2120	Serious	2121	Pain	2122	Laugh	2123	Sad	2124	Shout	2125	Surprise	2126	Sleep	2127		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000007	Archer	107	Flicker	2140	Serious	2141	Pain	2142	Laugh	2143	Sad	2144	Shout	2145	Surprise	2146	Sleep	2147		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000008	Archer	108	Flicker	2160	Serious	2161	Pain	2162	Laugh	2163	Sad	2164	Shout	2165	Surprise	2166	Sleep	2167		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000009	Archer	109	Flicker	2180	Serious	2181	Pain	2182	Laugh	2183	Sad	2184	Shout	2185	Surprise	2186	Sleep	2187		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000010	Archer	110	Flicker	2190	Serious	2191	Pain	2192	Laugh	2193	Sad	2194	Shout	2195	Surprise	2196	Sleep	2197		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000011	Archer	111	Flicker	2200	Serious	2201	Pain	2202	Laugh	2203	Sad	2204	Shout	2205	Surprise	2206	Sleep	2207		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
2000012	Archer	112	Flicker	2210	Serious	2211	Pain	2212	Laugh	2213	Sad	2214	Shout	2215	Surprise	2216	Sleep	2217		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000001	Soceress	201	Flicker	3020	Serious	3021	Pain	3022	Laugh	3023	Sad	3024	Shout	3025	Surprise	3026	Sleep	3027		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000002	Soceress	202	Flicker	3040	Serious	3041	Pain	3042	Laugh	3043	Sad	3044	Shout	3045	Surprise	3046	Sleep	3047		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000003	Soceress	203	Flicker	3060	Serious	3061	Pain	3062	Laugh	3063	Sad	3064	Shout	3065	Surprise	3066	Sleep	3067		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000004	Soceress	204	Flicker	3080	Serious	3081	Pain	3082	Laugh	3083	Sad	3084	Shout	3085	Surprise	3086	Sleep	3087		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000005	Soceress	205	Flicker	3100	Serious	3101	Pain	3102	Laugh	3103	Sad	3104	Shout	3105	Surprise	3106	Sleep	3107		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000006	Soceress	206	Flicker	3120	Serious	3121	Pain	3122	Laugh	3123	Sad	3124	Shout	3125	Surprise	3126	Sleep	3127		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000007	Soceress	207	Flicker	3140	Serious	3141	Pain	3142	Laugh	3143	Sad	3144	Shout	3145	Surprise	3146	Sleep	3147		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000008	Soceress	208	Flicker	3160	Serious	3161	Pain	3162	Laugh	3163	Sad	3164	Shout	3165	Surprise	3166	Sleep	3167		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000009	Soceress	209	Flicker	3180	Serious	3181	Pain	3182	Laugh	3183	Sad	3184	Shout	3185	Surprise	3186	Sleep	3187		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000010	Soceress	210	Flicker	3190	Serious	3191	Pain	3192	Laugh	3193	Sad	3194	Shout	3195	Surprise	3196	Sleep	3197		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000011	Soceress	211	Flicker	3200	Serious	3201	Pain	3202	Laugh	3203	Sad	3204	Shout	3205	Surprise	3206	Sleep	3207		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
3000012	Soceress	212	Flicker	3210	Serious	3211	Pain	3212	Laugh	3213	Sad	3214	Shout	3215	Surprise	3216	Sleep	3217		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000001	Cleric	301	Flicker	4020	Serious	4021	Pain	4022	Laugh	4023	Sad	4024	Shout	4025	Surprise	4026	Sleep	4027		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000002	Cleric	302	Flicker	4040	Serious	4041	Pain	4042	Laugh	4043	Sad	4044	Shout	4045	Surprise	4046	Sleep	4047		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000003	Cleric	303	Flicker	4060	Serious	4061	Pain	4062	Laugh	4063	Sad	4064	Shout	4065	Surprise	4066	Sleep	4067		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000004	Cleric	304	Flicker	4080	Serious	4081	Pain	4082	Laugh	4083	Sad	4084	Shout	4085	Surprise	4086	Sleep	4087		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000005	Cleric	305	Flicker	4100	Serious	4101	Pain	4102	Laugh	4103	Sad	4104	Shout	4105	Surprise	4106	Sleep	4107		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000006	Cleric	306	Flicker	4120	Serious	4121	Pain	4122	Laugh	4123	Sad	4124	Shout	4125	Surprise	4126	Sleep	4127		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000007	Cleric	307	Flicker	4140	Serious	4141	Pain	4142	Laugh	4143	Sad	4144	Shout	4145	Surprise	4146	Sleep	4147		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000008	Cleric	308	Flicker	4160	Serious	4161	Pain	4162	Laugh	4163	Sad	4164	Shout	4165	Surprise	4166	Sleep	4167		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000009	Cleric	309	Flicker	4180	Serious	4181	Pain	4182	Laugh	4183	Sad	4184	Shout	4185	Surprise	4186	Sleep	4187		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000010	Cleric	310	Flicker	4190	Serious	4191	Pain	4192	Laugh	4193	Sad	4194	Shout	4195	Surprise	4196	Sleep	4197		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000011	Cleric	311	Flicker	4200	Serious	4201	Pain	4202	Laugh	4203	Sad	4204	Shout	4205	Surprise	4206	Sleep	4207		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
4000012	Cleric	312	Flicker	4210	Serious	4211	Pain	4212	Laugh	4213	Sad	4214	Shout	4215	Surprise	4216	Sleep	4217		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000001	Academic	401	Flicker	5020	Serious	5021	Pain	5022	Laugh	5023	Sad	5024	Shout	5025	Surprise	5026	Sleep	5027		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000002	Academic	402	Flicker	5040	Serious	5041	Pain	5042	Laugh	5043	Sad	5044	Shout	5045	Surprise	5046	Sleep	5047		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000003	Academic	403	Flicker	5060	Serious	5061	Pain	5062	Laugh	5063	Sad	5064	Shout	5065	Surprise	5066	Sleep	5067		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000004	Academic	404	Flicker	5080	Serious	5081	Pain	5082	Laugh	5083	Sad	5084	Shout	5085	Surprise	5086	Sleep	5087		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000005	Academic	405	Flicker	5100	Serious	5101	Pain	5102	Laugh	5103	Sad	5104	Shout	5105	Surprise	5106	Sleep	5107		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000006	Academic	406	Flicker	5120	Serious	5121	Pain	5122	Laugh	5123	Sad	5124	Shout	5125	Surprise	5126	Sleep	5127		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000007	Academic	407	Flicker	5140	Serious	5141	Pain	5142	Laugh	5143	Sad	5144	Shout	5145	Surprise	5146	Sleep	5147		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000008	Academic	408	Flicker	5160	Serious	5161	Pain	5162	Laugh	5163	Sad	5164	Shout	5165	Surprise	5166	Sleep	5167		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000009	Academic	409	Flicker	5180	Serious	5181	Pain	5182	Laugh	5183	Sad	5184	Shout	5185	Surprise	5186	Sleep	5187		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000010	Academic	410	Flicker	5190	Serious	5191	Pain	5192	Laugh	5193	Sad	5194	Shout	5195	Surprise	5196	Sleep	5197		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000011	Academic	411	Flicker	5200	Serious	5201	Pain	5202	Laugh	5203	Sad	5204	Shout	5205	Surprise	5206	Sleep	5207		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
5000012	Academic	412	Flicker	5210	Serious	5211	Pain	5212	Laugh	5213	Sad	5214	Shout	5215	Surprise	5216	Sleep	5217		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
6000001	Kali	501	Flicker	6020	Serious	6021	Pain	6022	Laugh	6023	Sad	6024	Shout	6025	Surprise	6026	Sleep	6027		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
6000002	Kali	502	Flicker	6040	Serious	6041	Pain	6042	Laugh	6043	Sad	6044	Shout	6045	Surprise	6046	Sleep	6047		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
6000003	Kali	503	Flicker	6060	Serious	6061	Pain	6062	Laugh	6063	Sad	6064	Shout	6065	Surprise	6066	Sleep	6067		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
6000004	Kali	504	Flicker	6080	Serious	6081	Pain	6082	Laugh	6083	Sad	6084	Shout	6085	Surprise	6086	Sleep	6087		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
6000005	Kali	505	Flicker	6100	Serious	6101	Pain	6102	Laugh	6103	Sad	6104	Shout	6105	Surprise	6106	Sleep	6107		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	true
