ROWID	_ExDifficultyType|INTEGER	_MapSubType|INTEGER	_ExDifficultyName|INTEGER	_ExDifficultyGrade|INTEGER	_ExDifficultyColor|INTEGER
136	33	0	1000126608	29	5
137	34	0	1000126608	30	5
138	35	0	1000126608	31	5
139	36	0	1000126608	32	5
140	37	0	1000126608	33	5
141	38	0	1000126608	34	5
142	39	0	1000126608	35	5
143	40	0	1000126608	36	5
144	41	0	1000126608	37	5
145	42	0	1000126608	38	5
146	43	0	1000126608	39	5
147	44	0	1000126608	40	5
148	45	0	1000126608	41	5
149	46	0	1000126608	42	5
150	47	0	1000126608	43	5
151	48	0	1000126608	44	5
152	49	0	1000126608	45	5
153	50	0	1000126608	46	5
154	51	0	1000126608	47	5
155	52	0	1000126608	48	5
156	53	0	1000126608	49	5
157	54	0	1000126608	50	5
158	55	0	1000126608	51	5
159	56	0	1000126608	52	5
160	57	0	1000126608	53	5
161	58	0	1000126608	54	5
162	59	0	1000126608	55	5
163	60	0	1000126608	56	5
164	61	0	1000126608	57	5
165	62	0	1000126608	58	5
166	63	0	1000126608	59	5
167	64	0	1000126608	60	5
168	65	0	1000126608	61	5
169	66	0	1000126608	62	5
170	67	0	1000126608	63	5
171	68	0	1000126608	64	5
172	69	0	1000126608	65	5
173	70	0	1000126608	66	5
174	71	0	1000126608	67	5
175	72	0	1000126608	68	5
176	73	0	1000126608	69	5
177	74	0	1000126608	70	5
178	75	0	1000126608	71	5
179	76	0	1000126608	72	5
180	77	0	1000126608	73	5
181	78	0	1000126608	74	5
182	79	0	1000126608	75	5
183	80	0	1000126608	76	5
184	81	0	1000126608	77	5
185	82	0	1000126608	78	5
186	83	0	1000126608	79	5
187	84	0	1000126608	80	5
188	85	0	1000126608	81	5
189	86	0	1000126608	82	5
190	87	0	1000126608	83	5
191	88	0	1000126608	84	5
192	89	0	1000126608	85	5
193	90	0	1000126608	86	5
194	91	0	1000126608	87	5
195	92	0	1000126608	88	5
196	93	0	1000126608	89	5
197	94	0	1000126608	90	5
198	95	0	1000126608	91	5
199	96	0	1000126608	92	5
200	97	0	1000126608	93	5
201	98	0	1000126608	94	5
202	99	0	1000126608	95	5
203	100	0	1000126608	96	5
204	101	0	1000126608	97	5
