ROWID	_ControlType|INTEGER	_CategoryType|INTEGER	_LowCategorySection|INTEGER	_LowCategoryType|INTEGER	_LowCategory|INTEGER	_DefultKey01|INTEGER	_DefultKey02|INTEGER	_ConversionCheck|BOOLEAN	_MonitorOutput|BOOLEAN
131	1	1	1	6	3151	4	16	false	true
132	1	1	1	7	3152	4	18	false	true
133	1	1	1	8	3153	4	17	false	true
134	1	1	1	9	3154	4	19	false	true
135	1	2	1	10	5103	14	16	false	true
136	1	2	1	11	1301	14	18	false	true
137	1	2	1	12	5125	14	17	false	true
138	1	2	1	13	401	14	19	false	true
139	1	2	1	14	62	15	16	false	true
140	1	2	1	15	4688	15	18	false	true
141	1	2	1	16	5111	15	17	false	true
142	1	2	1	17	304	15	19	false	true
143	1	2	1	18	8119	255	255	false	true
144	1	2	1	19	3201	255	255	false	true
145	1	2	1	20	3144	13	255	false	true
146	1	2	1	21	3143	255	255	false	false
147	1	2	1	22	1000041144	255	255	false	true
148	1	2	1	23	102045	20	23	false	true
149	1	2	1	24	3203	255	255	false	true
150	1	2	1	25	201	255	255	false	true
151	1	2	1	26	126237	255	255	false	true
152	1	2	1	27	1000041467	15	20	false	true
153	1	2	1	28	3179	255	255	false	false
154	1	2	1	29	5007	255	255	false	true
155	1	2	1	30	140451	255	255	false	true
156	1	1	1	31	1000055925	4	21	false	true
157	1	1	1	32	1000055926	4	22	false	true
158	1	2	1	33	1000073195	255	255	false	false
159	1	2	1	34	8877	255	255	false	false
160	1	2	1	35	9423	255	255	false	true
161	1	2	1	36	9531	255	255	false	false
162	1	0	0	24	1000089890	255	255	false	true
163	1	2	1	38	9961	255	255	false	true
164	1	2	1	37	9881	255	255	false	true
165	1	2	1	39	140040	255	255	false	false
166	1	2	1	40	1000098917	255	255	false	true
167	1	2	1	41	1000098918	255	255	false	true
168	1	0	1	43	1000161778	255	255	false	true
301	3	0	0	0	3135	0	255	false	true
302	3	0	0	1	3136	1	255	false	true
303	3	0	0	2	3137	2	255	false	true
304	3	0	0	3	3138	3	255	false	true
305	3	0	0	4	3164	26	255	false	true
306	3	0	0	5	3139	17	255	false	true
307	3	0	0	6	3141	23	255	false	true
308	3	0	0	7	3142	25	255	false	true
309	3	0	0	8	3106	27	255	false	true
310	3	0	0	9	102046	12	255	false	true
311	3	0	0	10	0	255	255	false	false
312	3	0	0	11	0	255	255	false	false
313	3	0	0	12	0	255	255	false	false
314	3	0	0	13	3140	24	255	false	true
315	3	0	0	14	102007	21	255	false	true
316	3	0	0	15	3160	16	255	false	true
317	3	0	0	16	3161	19	255	false	true
318	3	0	0	17	3165	18	255	false	true
319	3	0	0	18	102009	5	255	false	true
320	3	0	0	19	102010	4	255	false	true
321	3	0	0	20	102011	11	255	false	true
322	3	0	0	21	102012	10	255	false	true
323	3	0	0	22	102013	255	255	false	true
324	3	0	0	23	102014	255	255	false	true
325	3	1	1	0	3145	20	17	false	true
326	3	1	1	1	3146	20	16	false	true
327	3	1	1	2	3147	20	18	false	true
328	3	1	1	3	3148	20	19	false	true
329	3	1	1	4	3149	20	23	false	true
330	3	1	1	5	3150	20	24	false	true
331	3	1	1	6	3151	22	17	false	true
332	3	1	1	7	3152	22	16	false	true
333	3	1	1	8	3153	22	18	false	true
334	3	1	1	9	3154	22	19	false	true
335	3	2	1	10	5103	14	16	false	true
336	3	2	1	11	1301	14	17	false	true
337	3	2	1	12	5125	14	18	false	true
338	3	2	1	13	401	14	19	false	true
339	3	2	1	14	62	15	16	false	true
340	3	2	1	15	4688	15	17	false	true
341	3	2	1	16	5111	15	18	false	true
342	3	2	1	17	304	15	19	false	true
343	3	2	1	18	8119	255	255	false	true
344	3	2	1	19	3201	255	255	false	true
345	3	2	1	20	3144	13	255	false	true
346	3	2	1	21	3143	255	255	false	false
347	3	2	1	22	1000041144	255	255	false	true
348	3	2	1	23	102045	28	255	false	true
349	3	2	1	24	3203	255	255	false	true
350	3	2	1	25	201	255	255	false	true
351	3	2	1	26	126237	255	255	false	true
352	3	2	1	27	1000041467	15	20	false	true
353	3	2	1	28	3179	5	255	false	false
354	3	2	1	29	5007	255	255	false	true
355	3	2	1	30	140451	255	255	false	true
358	3	2	1	33	1000073195	255	255	false	false
359	3	2	1	34	8877	255	255	false	false
360	3	2	1	35	9423	255	255	false	true
361	3	2	1	36	9531	255	255	false	false
362	3	0	0	24	1000089890	255	255	false	true
363	3	2	1	38	9961	255	255	false	true
364	3	2	1	37	9881	255	255	false	true
365	3	2	1	39	140040	255	255	false	false
366	3	2	1	40	1000098917	255	255	false	true
367	3	2	1	41	1000098918	255	255	false	true
368	3	0	1	43	1000161778	255	255	false	true
401	4	0	0	0	3135	255	255	true	true
402	4	0	0	1	3136	255	255	true	true
403	4	0	0	2	3137	255	255	true	true
404	4	0	0	3	3138	255	255	true	true
405	4	0	0	4	3164	255	255	true	true
406	4	0	0	5	3139	255	255	true	true
407	4	0	0	6	3141	255	255	true	true
408	4	0	0	7	3142	255	255	true	true
409	4	0	0	8	3106	255	255	true	true
410	4	0	0	9	102046	255	255	true	true
411	4	0	0	10	0	255	255	false	false
412	4	0	0	11	0	255	255	false	false
413	4	0	0	12	0	255	255	false	false
414	4	0	0	13	3140	255	255	true	true
415	4	0	0	14	102007	255	255	true	true
416	4	0	0	15	3160	255	255	true	true
417	4	0	0	16	3161	255	255	true	true
418	4	0	0	17	3165	255	255	true	true
419	4	0	0	18	102009	255	255	true	true
420	4	0	0	19	102010	255	255	true	true
421	4	0	0	20	102011	255	255	true	true
422	4	0	0	21	102012	255	255	true	true
423	4	0	0	22	102013	255	255	true	true
424	4	0	0	23	102014	255	255	true	true
425	4	0	0	24	1000089890	255	255	true	true
426	4	1	1	0	3145	255	255	true	true
427	4	1	1	1	3146	255	255	true	true
428	4	1	1	2	3147	255	255	true	true
429	4	1	1	3	3148	255	255	true	true
430	4	1	1	4	3149	255	255	true	true
431	4	1	1	5	3150	255	255	true	true
432	4	1	1	6	3151	255	255	true	true
433	4	1	1	7	3152	255	255	true	true
434	4	1	1	8	3153	255	255	true	true
435	4	1	1	9	3154	255	255	true	true
436	4	2	1	10	5103	255	255	true	true
437	4	2	1	11	1301	255	255	true	true
438	4	2	1	12	5125	255	255	true	true
439	4	2	1	13	401	255	255	true	true
440	4	2	1	14	62	255	255	true	true
441	4	2	1	15	4688	255	255	true	true
442	4	2	1	16	5111	255	255	true	true
443	4	2	1	17	304	255	255	true	true
444	4	2	1	18	8119	255	255	true	true
445	4	2	1	19	3201	255	255	true	true
446	4	2	1	20	3144	255	255	true	true
447	4	2	1	21	3143	255	255	true	true
448	4	2	1	22	1000041144	255	255	true	true
449	4	2	1	23	102045	255	255	true	true
450	4	2	1	24	3203	255	255	true	true
451	4	2	1	25	201	255	255	true	true
452	4	2	1	26	126237	255	255	true	true
453	4	2	1	27	1000041467	255	255	true	true
454	4	2	1	28	3179	255	255	true	true
455	4	2	1	29	5007	255	255	true	true
456	4	2	1	30	140451	255	255	true	true
457	4	1	1	31	1000055925	255	255	true	true
458	4	1	1	32	1000055926	255	255	true	true
459	4	2	1	33	1000073195	255	255	true	false
460	4	2	1	34	8877	255	255	true	false
461	4	2	1	35	9423	255	255	true	true
462	4	2	1	36	9531	255	255	true	false
464	4	2	1	38	9961	255	255	true	true
465	4	2	1	37	9881	255	255	true	true
466	4	2	1	39	140040	255	255	true	false
467	4	2	1	40	1000098917	255	255	true	true
468	4	2	1	41	1000098918	255	255	true	true
469	4	0	1	43	1000161778	255	255	true	true
