ROWID	_Title|INTEGER	_GateEnterImage|TEXT	_MapIndex1|INTEGER	_Map1_StartGate|INTEGER	_MapIndex2|INTEGER	_Map2_StartGate|INTEGER	_MapIndex3|INTEGER	_Map3_StartGate|INTEGER	_MapIndex4|INTEGER	_Map4_StartGate|INTEGER	_MapIndex5|INTEGER	_Map5_StartGate|INTEGER	_StageSetType|INTEGER	_Slayer_MapIndex1|INTEGER	_Slayer_Map1_StartGate1|INTEGER
47052	1000126844	PotalAA_RedDragonNest.dds	0	1	-2146826246	1	-2146826246	1	-2146826246	1	-2146826246	1	2	-2146826246	1
47053	1000130836	PotalR_LimboNest.dds	19011	1	19012	1	19013	1	19016	1	0	1	2	0	1
47054	10375	PotalR_LimboNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
47055	1000130835	PotalR_LimboNest.dds	19001	1	19003	1	19005	1	19007	1	0	1	2	0	1
47056	10382	PotalR_LimboNest.dds	0	1	0	1	0	1	0	1	0	1	2	-2146826246	1
47057	1000137420	PotalR_LimboNest.dds	0	1	0	1	0	1	0	1	0	1	2	-2146826246	1
47058	10382	PotalR_LimboNest.dds	19350	1	0	1	0	1	0	1	0	1	2	-2146826246	1
50001	1000010160	Potal_DarkLair_All01.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
50002	1000017323	Potal12001-1A.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
50003	10138	Potal_DarkLair_Challenge.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
50104	10328	Potal_HT_Map_Step.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
50105	10328	Potal_HT_Map_Step.dds	19630	1	19636	1	0	1	0	1	0	1	2	0	1
51001	1000079666	Potal_MonCard_Stage_01.dds	0	1	0	1	0	1	0	1	0	1	4	0	1
55001	1000003193	Potal2-1A.dds	56	1	61	1	71	1	0	1	0	1	0	0	1
55002	1000061946	Potal8-1A.dds	86	1	91	1	101	1	0	1	0	1	0	0	1
55003	1000003198	Potal13-1A.dds	112	1	117	1	132	1	136	1	0	1	0	0	1
55004	1000061947	Potal16-1A.dds	121	1	126	1	0	1	0	1	0	1	0	0	1
55005	1000061948	Potal9-1A.dds	147	1	142	1	161	1	152	1	0	1	0	0	1
55006	1000061949	Potal15-1A.dds	172	1	242	1	252	1	262	1	0	1	0	0	1
56000	1000090002	Potal90Lv_Set_1.dds	1090	1	1091	1	1092	1	0	1	0	1	0	0	1
56001	1000090003	Potal90Lv_Set_2.dds	1093	1	1094	1	0	1	0	1	0	1	0	0	1
56002	10300	Potal56002.dds	1095	1	1096	1	0	1	0	1	0	1	0	0	1
56003	10300	Potal56003.dds	1104	1	1105	1	0	1	0	1	0	1	0	0	1
56010	1000105357	Potal_Chronicle_01.dds	17403	1	17406	1	17408	1	17413	1	0	1	0	0	1
57001	1000002701	PotalMC_IceDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
57002	1000002700	PotalRD_RuneDragon.dds	14881	1	0	1	14875	1	0	1	0	1	2	0	1
57003	1000002699	PotalEvent_HeroContest.dds	18044	1	0	1	0	1	0	1	0	1	0	0	1
57004	1000073126	Potal_AllstarBattle.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
57005	10385	Potal_Nakjo.dds	19518	1	0	1	0	1	0	1	0	1	0	0	1
57006	10403	Potal_Nakjo.dds	11112	1	0	1	0	1	0	1	0	1	2	0	1
57007	1000161189	Potal_Nakjo.dds	19571	1	19572	1	0	1	0	1	0	1	2	0	1
57010	1000137392	PotalCG_MinoNest.dds	0	1	19011	1	0	1	0	1	0	1	2	0	1
57011	1000137393	PotalSH_BossStage1.dds	14900	1	0	1	0	1	0	1	0	1	2	0	1
57012	1000137394	PotalSH_SeaDragonNest.dds	19016	1	19019	1	0	1	0	1	0	1	2	0	1
57013	1000137395	PotalLM_ProfessorK.dds	19012	1	19020	1	19680	1	0	1	0	1	2	0	1
57014	1000137396	PotalTN_DesertDragonNest.dds	14960	1	14891	1	0	1	0	1	0	1	2	0	1
57015	1000137397	PotalAA_VolcanoNest.dds	19001	1	19003	1	19005	1	0	1	0	1	2	0	1
57016	1000137398	PotalAA_RedDragonNest.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
57017	1000137399	PotalRD_RuneDragon.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
57018	1000137400	PotalRD_GranomNest.dds	19013	1	0	1	19022	1	0	1	0	1	2	0	1
57019	1000137401	PotalKR_KaironNest.dds	19007	1	0	1	0	1	0	1	0	1	2	0	1
57020	1000137402	PortalKR_ForestDragon.dds	14761	1	14763	1	14765	1	-2146826246	1	0	1	2	0	1
57021	1000149491	PotalAA_BlackDragonNest.dds	14531	1	0	1	0	1	0	1	0	1	2	0	1
57040	10398	Potal95Lv_Set_4.dds	1131	1	0	1	0	1	0	1	0	1	0	0	1
57041	10399	Potal95Lv_Set_5.dds	1132	1	0	1	0	1	0	1	0	1	0	0	1
57042	1000144315	Potal95Lv_Set_3.dds	1129	1	1130	1	0	1	0	1	0	1	0	0	1
57045	1015903	PotalR.L.P_Maze.dds	19612	1	0	1	0	1	0	1	0	1	0	0	1
57046	1015903	PotalR.L.P_Maze.dds	19612	1	0	1	0	1	0	1	0	1	2	0	1
57047	1000153484	Potal56003.dds	237	1	0	1	0	1	0	1	0	1	0	0	1
57050	10409	PortalRL_GustDragon.dds	14950	1	14957	1	0	1	0	1	0	1	2	0	1
57053	10404	PortalRL_GustDragon.dds	0	1	0	1	0	1	0	1	0	1	2	0	1
57060	1000157689	PotalCG_MinoNest.dds	19657	1	0	1	0	1	0	1	0	1	2	0	1
57061	1000161374	PotalAA_Guild_Tempest.dds	19656	1	0	1	0	1	0	1	0	1	2	0	1
57070	1000077306	Potal_IngameWorld02.dds	13667	1	0	1	0	1	0	1	0	1	0	0	1
57075	1000167229	PortalRL_Guild_Punitive_expedition.dds	19658	1	0	1	0	1	0	1	0	1	2	0	1
57080	10366	PortalR_TreasureNest.dds	19025	1	0	1	0	1	0	1	0	1	2	0	1
57085	1000172996	PotalCS_BulkHopNest.dds	19690	1	0	1	0	1	0	1	0	1	2	0	1
57090	1000174541	PotalWD_KarapachoNest.dds	19695	1	0	1	0	1	0	1	0	1	2	0	1
57095	1000176293	PortalMR_BrynhildrNest.dds	19697	1	0	1	0	1	0	1	0	1	2	0	1
57100	1000181126	Potal95Lv_Set_3.dds	0	1	0	1	0	1	0	1	0	1	0	0	1
57105	1000169275	PotalRD_FrozenDragonNest.dds	14980	1	0	1	0	1	0	1	0	1	2	0	1
