ROWID	_Activate|INTEGER	_Type|INTEGER	_MainCategory|INTEGER	_SubCategoryID|TEXT	_TitleNameID|INTEGER	_SubTitleNameID|INTEGER	_TitleNameIDParam|TEXT	_SubTitleNameIDParam|TEXT	_Icon|INTEGER	_AchieveIcon|INTEGER	_RewardAppellation|INTEGER	_RewardPoint|INTEGER	_IsAchieveNotice|BOOLEAN	_GainEvent|INTEGER	_Gain1Type|INTEGER	_Gain1Param|INTEGER	_Gain1Operator|INTEGER	_Gain2Type|INTEGER	_Gain2Param|INTEGER	_Gain2Operator|INTEGER	_Gain3Type|INTEGER	_Gain3Param|INTEGER	_Gain3Operator|INTEGER	_Gain4Type|INTEGER	_Gain4Param|INTEGER	_Gain4Operator|INTEGER	_Gain5Type|INTEGER	_Gain5Param|INTEGER	_Gain5Operator|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_GainCheckType|BOOLEAN	_AchieveCheckType|BOOLEAN	_SystemMsg|INTEGER	_MailID|INTEGER
27	1	0	0	9701	1000005454	1000000720			0	0	0	10	false	13	20	26	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
28	1	0	0	9701	1000007052	1000000720			0	0	0	10	false	13	20	27	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
29	1	0	0	9701	1000007026	1000000720			0	0	0	10	false	13	20	28	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
30	1	0	0	9701	1000000509	1000000720			0	0	0	10	false	13	20	29	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
31	1	0	0	9701	1000004802	1000000720			0	0	28	10	false	13	20	30	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
32	1	0	0	9701	1000000510	1000000721			0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
33	1	0	0	9701	1000000514	1000000725		1	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	10000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
34	1	0	0	9701	1000000515	1000000725		10	0	0	0	10	false	13	20	33	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	100000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
35	1	0	0	9701	1000004803	1000000725		100	0	0	0	10	false	13	20	34	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	1000000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
36	1	0	0	9701	1000004804	1000000725		200	0	0	0	10	false	13	20	35	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2000000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
37	1	0	0	9701	1000004805	1000000725		300	0	0	0	10	false	13	20	36	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	3000000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
38	1	0	0	9701	1000000516	1000000725		500	0	0	0	10	false	13	20	37	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	5000000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
39	1	0	0	9701	1000004806	1000000725		1000	0	0	29	10	false	13	20	38	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	10000000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
40	1	0	0	9701	1000000517	1000000726		10	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	6	100000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
41	1	0	0	9701	1000000518	1000000726		100	0	0	0	10	false	13	20	40	0	0	0	0	0	0	0	0	0	0	0	0	0	35	6	1000000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
42	1	0	0	9701	1000007804	1000000726		500	0	0	30	10	false	13	20	41	0	0	0	0	0	0	0	0	0	0	0	0	0	35	6	5000000	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
43	1	0	0	9702	1000004807	1000004926			0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
44	1	0	0	9702	1000004808	1000004927			0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
45	1	0	0	9702	1000004809	1000004928			0	0	31	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
46	1	0	0	9702	1000004810	1000032187		{1000032186}	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
47	1	0	0	9702	1000004811	1000032187		{1000032188}	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	3	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
48	1	0	0	9702	1000004812	1000032187		{1000032189}	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	4	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
49	1	0	0	9702	1000004813	1000032187		{1000032190}	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
50	0	0	0	9702	1000004814	1000032187		{1000032191}	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	10	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
51	1	0	0	9702	1000005455	1000032187		{1000032192}	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	6	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
52	1	0	0	9702	1000005456	1000032187		{1000032193}	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	7	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
53	1	0	0	9702	1000006332	1000032187		{1000032194}	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	5	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
54	1	0	0	9702	1000006348	1000032187		{1000032195}	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	8	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
55	1	0	0	9702	1000006471	1000032187		{1000032196}	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	33	9	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
56	1	0	0	9701	1000007053	1000007078			0	0	190	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	1	3	4	4	5	0	0	0	0	0	0	0	0	0	false	false	0	0
57	0	0	3	10118/10111	1000008180	1000032197		{9794}	1	0	0	10	false	3	3	14002	0	4	4	0	36	1	0	21	6	3	0	0	0	3	3	14002	0	4	4	0	36	1	0	21	6	3	0	0	0	false	false	0	0
58	1	3	0	0	0	0			0	0	0	0	false	14	31	259	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	259	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
59	0	4	1	0	0	0			0	0	0	0	false	2	3	8	0	1	15	5	0	0	0	0	0	0	0	0	0	2	3	8	0	1	15	5	0	0	0	0	0	0	0	0	0	false	false	0	0
60	0	3	0	0	0	0			0	0	0	0	false	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
61	0	0	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
62	0	0	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
63	0	0	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
64	0	0	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
65	0	0	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
66	1	0	0	9701	1000005812	1000007023		300	0	0	32	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	300	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
67	1	0	0	9701	1000005813	1000006277		20	0	0	33	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	22	20	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
68	1	0	0	9701	1000005814	1000006472		7	0	0	34	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	30	7	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
69	1	0	0	9793	1000005815	1000032198		{1000000851},{1000006322}	2	0	35	10	false	17	9	345	0	9	200345	0	9	442	0	9	200442	0	0	0	0	17	9	345	0	9	200345	0	9	442	0	9	200442	0	0	0	0	true	true	0	510002
70	1	0	0	9793	1000005816	1000032198		{1000000853},{1000006533}	2	0	36	10	false	17	9	385	0	9	200385	0	0	0	0	0	0	0	0	0	0	17	9	385	0	9	200385	0	0	0	0	0	0	0	0	0	0	true	true	0	510003
71	1	0	0	9793	1000005817	1000032198		{1000000856},{1000005998}	2	0	37	10	false	17	9	447	0	9	200447	0	0	0	0	0	0	0	0	0	0	17	9	447	0	9	200447	0	0	0	0	0	0	0	0	0	0	true	true	0	510004
72	1	0	0	9793	1000005818	1000032198		{1000003083},{1000006334}	2	0	38	10	false	17	9	413	0	9	200413	0	0	0	0	0	0	0	0	0	0	17	9	413	0	9	200413	0	0	0	0	0	0	0	0	0	0	true	true	0	510005
73	1	0	0	9793	1000006204	1000032198		{1000032165},{1000002067}	2	0	104	10	false	17	9	612	0	9	200612	0	0	0	0	0	0	0	0	0	0	17	9	612	0	9	200612	0	0	0	0	0	0	0	0	0	0	true	true	0	510006
74	1	0	0	9793	1000006287	1000032198		{10095},{1000003226}	2	0	59	10	false	17	9	21074	0	9	21075	0	9	21019	0	0	0	0	0	0	0	17	9	21074	0	9	21075	0	9	21019	0	0	0	0	0	0	0	true	true	0	510007
75	1	0	0	9793	1000006350	1000006356			2	0	81	10	false	14	31	277	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	277	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	510008
76	1	0	0	9793	1000006351	1000006357			2	0	182	0	false	19	9	21016	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	21016	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	510009
77	1	0	0	9793	1000006352	1000006358			2	0	183	0	false	14	31	463	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	463	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	510010
78	1	0	0	9793	1000006353	1000006359			2	0	184	0	false	14	31	464	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	464	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	510011
79	1	0	0	9793	1000007010	1000009324			0	0	185	10	false	4	13	335544833	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	335544833	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	510012
80	1	0	0	9793	1000007020	1000032198		{1000003137},{1000006550}	0	0	186	10	false	17	9	706	0	9	200706	0	0	0	0	0	0	0	0	0	0	17	9	706	0	9	200706	0	0	0	0	0	0	0	0	0	0	true	true	0	510013
81	1	0	0	9701	1000007021	1000007023		400	0	0	187	10	false	13	20	66	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	400	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
82	1	0	0	9701	1000007022	1000007023		500	0	0	188	10	false	13	20	81	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	500	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
83	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	104	0	9	200104	0	0	0	0	0	0	0	0	0	0	false	true	0	0
84	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	224	0	9	200224	0	0	0	0	0	0	0	0	0	0	false	true	0	0
85	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	148	0	9	200148	0	0	0	0	0	0	0	0	0	0	false	true	0	0
86	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	269	0	9	200269	0	0	0	0	0	0	0	0	0	0	false	true	0	0
87	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	350	0	9	200350	0	0	0	0	0	0	0	0	0	0	false	true	0	0
88	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	973	0	9	200973	0	0	0	0	0	0	0	0	0	0	false	true	0	0
89	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	646	0	9	200646	0	0	0	0	0	0	0	0	0	0	false	true	0	0
90	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	870	0	9	200870	0	0	0	0	0	0	0	0	0	0	false	true	0	0
91	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	1131	0	9	201131	0	0	0	0	0	0	0	0	0	0	false	true	0	0
92	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	913	0	9	200913	0	0	0	0	0	0	0	0	0	0	false	true	0	0
93	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	993	0	9	200993	0	0	0	0	0	0	0	0	0	0	false	true	0	0
94	1	3	0	0	0	0			0	0	0	0	false	14	31	260	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	17	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
95	1	3	0	0	0	0			0	0	0	0	false	14	31	263	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	18	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
96	1	3	0	0	0	0			0	0	0	0	false	14	31	264	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	19	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
97	1	3	0	0	0	0			0	0	0	0	false	14	31	265	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	21	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
98	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	51	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
99	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	52	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
100	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	53	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
101	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	81	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
102	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	82	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
103	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	83	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
104	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	218	0	31	237	0	31	200	0	31	9477	0	31	9589	0	false	true	0	510018
105	1	3	0	7133	1000050794	1000009325			0	0	251	0	false	14	31	501	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	501	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0
106	1	3	0	7133	1000050795	1000009326			0	0	252	0	false	14	31	504	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	504	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0
107	1	3	0	7133	1000050796	1000009327			0	0	253	0	false	14	31	507	0	0	0	0	0	0	0	0	0	0	0	0	0	14	31	507	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
108	1	0	0	9701	1000000613	1000007023	30	30	0	0	0	10	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	30	4	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
109	1	3	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	1078	0	9	201078	0	0	0	0	0	0	0	0	0	0	false	true	0	0
110	0	0	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
111	0	0	0	0	0	0			0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
112	1	0	0	9701	1000000511	1000032200		{90}	2	0	0	10	false	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	423	0
113	0	0	1	9705	1000032153	1000032200	{9708}	{9708}	2	0	0	10	false	2	3	1	4	3	2	5	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
114	0	0	1	9705	1000032153	1000032200	{9711}	{9711}	2	0	0	10	false	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
115	1	0	0	9701	1000000512	1000032200		{89}	2	0	0	10	false	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	423	0
116	0	0	1	9706	1000032153	1000032200	{9717}	{9717}	2	0	0	10	false	2	3	5	4	3	6	5	0	0	0	0	0	0	0	0	0	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
117	0	0	1	9706	1000032153	1000032200	{9720}	{9720}	2	0	0	10	false	2	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0
118	0	1	1	9705/9709	1000032155	1000032201	{1000032154}	{1000032154}	5	1	0	30	false	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	20	119	0	20	120	0	20	121	0	20	122	0	0	0	0	false	false	0	0
119	0	0	1	9705/9709	1000032156	1000032202	{1000000002}	{2372}	1	0	0	10	false	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	53	0	9	104	0	4	2	0	0	0	0	0	0	0	false	false	0	0
120	0	0	1	9705/9709	1000000613	1000000729	30	30	1	0	0	10	false	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	30	4	3	53	0	4	3	5	0	0	0	0	0	0	false	false	0	0
