ROWID	_Activate|INTEGER	_QuestID|INTEGER	_PreQuestCheckType|BOOLEAN	_PreQuestCondition1|INTEGER	_PreQuestCondition2|INTEGER	_PreQuestCondition3|INTEGER	_PreQuestCondition4|INTEGER	_PreQuestCondition5|INTEGER	_PreQuestCondition6|INTEGER	_PreQuestCondition7|INTEGER	_PreQuestCondition8|INTEGER	_PreQuestCondition9|INTEGER	_PreQuestCondition10|INTEGER	_JobQuestPriority|INTEGER	_JobQuestMID|INTEGER	_GainEvent|INTEGER	_Gain1Type|INTEGER	_Gain1Param|INTEGER	_Gain1Operator|INTEGER	_Gain2Type|INTEGER	_Gain2Param|INTEGER	_Gain2Operator|INTEGER	_Gain3Type|INTEGER	_Gain3Param|INTEGER	_Gain3Operator|INTEGER	_Gain4Type|INTEGER	_Gain4Param|INTEGER	_Gain4Operator|INTEGER	_Gain5Type|INTEGER	_Gain5Param|INTEGER	_Gain5Operator|INTEGER	_AchieveEvent|INTEGER	_Achieve1Type|INTEGER	_Achieve1Param|INTEGER	_Achieve1Operator|INTEGER	_Achieve2Type|INTEGER	_Achieve2Param|INTEGER	_Achieve2Operator|INTEGER	_Achieve3Type|INTEGER	_Achieve3Param|INTEGER	_Achieve3Operator|INTEGER	_Achieve4Type|INTEGER	_Achieve4Param|INTEGER	_Achieve4Operator|INTEGER	_Achieve5Type|INTEGER	_Achieve5Param|INTEGER	_Achieve5Operator|INTEGER	_GainCheckType|BOOLEAN	_AchieveCheckType|BOOLEAN
15	0	62	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	8	2	0	1	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
16	0	62	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	8	6	0	1	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
17	0	164	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	8	3	0	1	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
18	0	164	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	8	4	0	1	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
19	0	164	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	8	5	0	1	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
20	0	63	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	8	1	0	1	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
21	0	63	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	8	2	0	1	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
22	0	63	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	8	6	0	1	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
23	0	165	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	8	3	0	1	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
24	0	165	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	8	4	0	1	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
25	0	165	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	8	5	0	1	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
26	0	374	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	8	0	1	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
27	0	294	false	0	0	0	0	0	0	0	0	0	0	0	0	2	1	15	0	1	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
28	0	345	false	0	0	0	0	0	0	0	0	0	0	0	0	1	1	32	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
29	0	367	false	0	0	0	0	0	0	0	0	0	0	0	0	1	1	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
30	0	373	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	8	0	1	16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
31	0	603	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	11	0	1	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
32	0	882	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	15	0	1	40	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
33	1	664	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	11	0	1	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
34	0	353	false	0	0	0	0	0	0	0	0	0	0	0	0	1	1	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
35	0	852	false	0	0	0	0	0	0	0	0	0	0	0	0	1	1	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
36	0	381	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	8	0	1	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
37	1	243	false	0	0	0	0	0	0	0	0	0	0	1	140278	1	1	15	4	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
38	1	238	false	0	0	0	0	0	0	0	0	0	0	1	140278	1	1	15	4	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
39	1	239	false	0	0	0	0	0	0	0	0	0	0	1	140278	1	1	15	4	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
40	1	240	false	0	0	0	0	0	0	0	0	0	0	1	140278	1	1	15	4	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
41	1	241	false	0	0	0	0	0	0	0	0	0	0	1	140278	1	1	15	4	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
42	1	242	false	0	0	0	0	0	0	0	0	0	0	1	140278	1	1	15	4	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
43	1	755	false	0	0	0	0	0	0	0	0	0	0	2	140279	1	1	45	4	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
44	1	764	false	0	0	0	0	0	0	0	0	0	0	2	140279	1	1	45	4	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
45	1	759	false	0	0	0	0	0	0	0	0	0	0	2	140279	1	1	45	4	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
46	1	751	false	0	0	0	0	0	0	0	0	0	0	2	140279	1	1	45	4	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
47	1	747	false	0	0	0	0	0	0	0	0	0	0	2	140279	1	1	45	4	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
48	1	4069	false	0	0	0	0	0	0	0	0	0	0	2	140279	1	1	45	4	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
49	0	4208	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
50	0	4209	false	4208	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
51	0	4210	false	4209	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
52	0	4211	false	4210	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
53	0	4212	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
54	0	4213	false	4212	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
55	0	4214	false	4213	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
56	0	4215	false	4214	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
57	0	4218	false	4217	0	0	0	0	0	0	0	0	0	0	0	19	9	900267	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
58	0	4220	false	0	0	0	0	0	0	0	0	0	0	0	0	19	9	900204	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
59	0	4221	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
60	0	4222	false	4221	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
61	0	4223	false	4222	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
62	0	4225	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	11	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
63	0	4226	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	11	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
64	0	4237	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	731	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
65	0	4238	false	4237	0	0	0	0	0	0	0	0	0	0	0	2	3	731	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
66	0	4239	false	4238	0	0	0	0	0	0	0	0	0	0	0	2	3	731	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
67	0	4240	false	4239	0	0	0	0	0	0	0	0	0	0	0	2	3	731	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
68	0	4241	false	4240	0	0	0	0	0	0	0	0	0	0	0	2	3	731	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
69	0	4242	false	4241	0	0	0	0	0	0	0	0	0	0	0	2	3	731	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
70	0	4243	false	4242	0	0	0	0	0	0	0	0	0	0	0	2	3	731	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
71	0	4244	false	4243	0	0	0	0	0	0	0	0	0	0	0	2	3	731	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
72	0	4245	false	4244	0	0	0	0	0	0	0	0	0	0	0	2	3	731	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
73	0	4246	false	4245	0	0	0	0	0	0	0	0	0	0	0	2	3	731	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
74	0	4247	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	741	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
75	0	4248	false	4247	0	0	0	0	0	0	0	0	0	0	0	2	3	741	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
76	0	4249	false	4248	0	0	0	0	0	0	0	0	0	0	0	2	3	741	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
77	0	4250	false	4249	0	0	0	0	0	0	0	0	0	0	0	2	3	741	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
78	0	4251	false	4250	0	0	0	0	0	0	0	0	0	0	0	2	3	741	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
79	0	4252	false	4251	0	0	0	0	0	0	0	0	0	0	0	2	3	741	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
80	0	4253	false	4252	0	0	0	0	0	0	0	0	0	0	0	2	3	741	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
81	0	4254	false	4253	0	0	0	0	0	0	0	0	0	0	0	2	3	741	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
82	0	4255	false	4254	0	0	0	0	0	0	0	0	0	0	0	2	3	741	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
83	0	4256	false	4255	0	0	0	0	0	0	0	0	0	0	0	2	3	741	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
84	0	4257	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	751	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
85	0	4258	false	4257	0	0	0	0	0	0	0	0	0	0	0	2	3	751	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
86	0	4259	false	4258	0	0	0	0	0	0	0	0	0	0	0	2	3	751	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
87	0	4260	false	4259	0	0	0	0	0	0	0	0	0	0	0	2	3	751	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
88	0	4261	false	4260	0	0	0	0	0	0	0	0	0	0	0	2	3	751	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
89	0	4262	false	4261	0	0	0	0	0	0	0	0	0	0	0	2	3	751	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
90	0	4263	false	4262	0	0	0	0	0	0	0	0	0	0	0	2	3	751	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
91	0	4264	false	4263	0	0	0	0	0	0	0	0	0	0	0	2	3	751	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
92	0	4265	false	4264	0	0	0	0	0	0	0	0	0	0	0	2	3	751	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
93	0	4266	false	4265	0	0	0	0	0	0	0	0	0	0	0	2	3	751	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
94	0	4267	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
95	0	4268	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
96	0	4269	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
97	0	4270	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
98	0	4271	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
99	0	4272	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
100	0	4273	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
101	0	4274	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
102	0	4275	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
103	0	4276	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	11	0	1	60	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
104	0	4281	false	4276	0	0	0	0	0	0	0	0	0	0	0	2	3	14211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
105	0	4284	false	4281	4277	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
106	0	4285	false	4282	4278	0	0	0	0	0	0	0	0	0	0	2	3	14210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
107	0	4286	false	4279	0	0	0	0	0	0	0	0	0	0	0	2	3	14211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
108	0	4287	false	4286	0	0	0	0	0	0	0	0	0	0	0	2	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
109	0	4288	false	4283	4280	0	0	0	0	0	0	0	0	0	0	2	3	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
110	0	4289	false	4288	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
111	0	1216	false	4280	0	0	0	0	0	0	0	0	0	0	0	2	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
112	0	1217	false	4280	0	0	0	0	0	0	0	0	0	0	0	2	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
113	0	1218	false	4280	0	0	0	0	0	0	0	0	0	0	0	2	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
114	0	1219	false	4280	0	0	0	0	0	0	0	0	0	0	0	2	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
115	0	1220	false	4280	0	0	0	0	0	0	0	0	0	0	0	2	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
116	0	1221	false	4280	0	0	0	0	0	0	0	0	0	0	0	2	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
117	0	1222	false	4280	0	0	0	0	0	0	0	0	0	0	0	2	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
118	0	1223	false	4280	0	0	0	0	0	0	0	0	0	0	0	2	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
119	0	1224	false	4280	0	0	0	0	0	0	0	0	0	0	0	2	3	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
120	1	4290	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
121	0	325	false	0	0	0	0	0	0	0	0	0	0	0	0	2	1	16	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
122	0	4297	false	0	0	0	0	0	0	0	0	0	0	0	0	2	3	811	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false
