ROWID	_Mode|INTEGER	_JobID|INTEGER	_PhysicalAttackMinRevision|INTEGER	_PhysicalAttackMaxRevision|INTEGER	_MagicAttackMinRevision|INTEGER	_MagicAttackMaxRevision|INTEGER	_PhysicalDefenseRevision|INTEGER	_MagicDefenseRevision|INTEGER	_MaxHPRevision|INTEGER	_MaxSPRevision|INTEGER	_RecoverySPRevision|INTEGER	_StiffRevision|INTEGER	_StiffResistanceRevision|INTEGER	_CriticalRevision|INTEGER	_CriticalResistanceRevision|INTEGER	_StunRevision|INTEGER	_StunResistanceRevision|INTEGER	_SuperAmmorRevision|INTEGER	_MoveSpeedRevision|INTEGER	_FinalDamageRevision|INTEGER	_ElementAttackRevision|INTEGER	_ElementDefenseRevision|INTEGER	_StrengthRevision|INTEGER	_AgilityRevision|INTEGER	_IntelligenceRevision|INTEGER	_StaminaRevision|INTEGER	_CriticalDamageRevision|INTEGER	_PVPAttackPowerRevision|INTEGER	_PVPDefencePowerRevision|INTEGER
22	23	26	6875000	6875000	6875000	6875000	159000	246000	10000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	50000	1350000	0	0
23	23	29	6800000	6800000	6800000	6800000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
24	23	30	6800000	6800000	6800000	6800000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
25	23	31	6800000	6800000	6800000	6800000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
26	23	32	6800000	6800000	6800000	6800000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
27	23	35	6232500	6232500	6232500	6232500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
28	23	36	6232500	6232500	6232500	6232500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
29	23	37	6912500	6912500	6912500	6912500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
30	23	38	6232500	6232500	6232500	6232500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
31	23	41	6195000	6195000	6195000	6195000	159000	246000	10000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	50000	1350000	0	0
32	23	42	6165000	6165000	4315500	4315500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
33	23	43	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
34	23	44	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
35	23	46	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
36	23	47	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
37	23	48	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
38	23	49	6120000	6120000	6120000	6120000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
39	23	50	6120000	6120000	6120000	6120000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
40	23	51	6120000	6120000	6120000	6120000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
41	23	54	6180000	6180000	6180000	6180000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
42	23	55	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
43	23	56	6180000	6180000	6180000	6180000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
44	23	57	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
45	23	58	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
46	23	59	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
47	23	62	6153750	6153750	6153750	6153750	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
48	23	63	6153750	6153750	6153750	6153750	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
49	23	64	6176250	6176250	6176250	6176250	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
50	23	67	6153750	6153750	6153750	6153750	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
51	23	68	6153750	6153750	6153750	6153750	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
52	23	69	6176250	6176250	6176250	6176250	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
53	23	72	6875000	6875000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
54	23	73	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
55	23	74	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
56	23	76	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
57	23	77	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
58	23	78	6875000	6875000	6875000	6875000	159000	246000	10000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
59	23	79	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
60	23	80	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
61	23	81	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
62	23	82	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
63	23	83	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
64	23	84	6232500	6232500	6232500	6232500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
65	23	85	6232500	6232500	6232500	6232500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
66	23	86	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
67	23	87	6875000	6875000	6875000	6875000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
68	23	88	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
69	23	89	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
70	23	90	6176250	6176250	6176250	6176250	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
71	23	91	6176250	6176250	6176250	6176250	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
72	23	92	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
73	23	93	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
74	23	94	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
75	23	95	6157500	6157500	6157500	6157500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
76	23	96	6157500	6157500	6157500	6157500	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
77	23	97	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
78	23	98	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
79	23	99	6195000	6195000	6195000	6195000	159000	246000	8000000	250000	100	150000	150000	841000	3000000	100000	50000	0	511	15000	0	0	300000	300000	300000	10000	1350000	0	0
100	24	1	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
101	24	2	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
102	24	3	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
103	24	4	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
104	24	5	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
105	24	6	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
106	24	7	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
107	24	8	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
108	24	9	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
109	24	11	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
110	24	12	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
111	24	75	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
112	24	14	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
113	24	15	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
114	24	17	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
115	24	18	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
116	24	20	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
117	24	22	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
118	24	23	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
119	24	24	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
120	24	25	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
121	24	26	88400000	88400000	88400000	88400000	306000	306000	19000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	50000	2250000	0	0
122	24	29	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
123	24	30	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
124	24	31	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
125	24	32	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
126	24	35	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
127	24	36	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
128	24	37	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
129	24	38	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
130	24	41	79560000	79560000	79560000	79560000	306000	306000	19000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	50000	2250000	0	0
131	24	42	79560000	79560000	55692000	55692000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
132	24	43	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
133	24	44	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
134	24	46	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
135	24	47	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
136	24	48	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
137	24	49	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
138	24	50	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
139	24	51	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
140	24	54	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
141	24	55	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
142	24	56	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
143	24	57	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
144	24	58	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
145	24	59	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
146	24	62	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
147	24	63	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
148	24	64	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
149	24	67	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
150	24	68	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
151	24	69	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
152	24	72	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
153	24	73	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
154	24	74	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
155	24	76	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
156	24	77	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
157	24	78	88400000	88400000	88400000	88400000	306000	306000	19000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
158	24	79	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
159	24	80	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
160	24	81	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
161	24	82	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
162	24	83	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
163	24	84	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
164	24	85	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
165	24	86	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
166	24	87	88400000	88400000	88400000	88400000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
167	24	88	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
168	24	89	79560000	79560000	79560000	79560000	306000	306000	16000000	250000	100	150000	150000	1041000	3000000	100000	50000	0	511	17400	0	0	300000	300000	300000	10000	2250000	0	0
