ROWID	_MapID|INTEGER	_PvPGamemodeId|INTEGER	_EventAreaID|INTEGER	_ResourceAddTic|INTEGER	_AddTicResource|INTEGER	_ClickKeepTime|INTEGER	_CaptureKeepTime|INTEGER	_CaptureBounersBuffID|INTEGER	_ChaosCallGuardID|INTEGER	_CosmosCallGuardID|INTEGER	_SummonGuardVolume|INTEGER	_AttackerClickUIstring|INTEGER	_DefenderClickUIstring|INTEGER	_AttackCaptureUIstring|INTEGER	_DefendCaptureUIstring|INTEGER	_DefendSuccessUIstring|INTEGER	_AttackSuccessUIstring|INTEGER	_PropID|INTEGER	_FlagToolTipUIstring|INTEGER	_Cl_ResourceAddTic|INTEGER	_Cl_AddTicResource|INTEGER	_Cl_ClickKeepTime|INTEGER	_Cl_CaptureKeepTime|INTEGER	_Sound_Try|TEXT	_Sound_Complete|TEXT	_BaseName|INTEGER	_Cl_BGM|TEXT	_FriendCaptureMsg|INTEGER	_EnemyCaptureMsg|INTEGER	_ObserverRedTeamMsg|INTEGER	_ObserverBlueTeamMsg|INTEGER
11	11002	61	23	10000	20	10000	35000	0	0	0	0	126197	126203	126209	126215	1000029994	1000030000	1406	1000032465	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
12	11002	61	24	10000	20	10000	35000	0	0	0	0	126198	126204	126210	126216	1000029995	1000031335	1403	1000032466	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
13	11002	61	25	10000	20	10000	35000	0	0	0	0	126199	126205	126211	126217	1000029996	1000030002	1405	1000032467	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
14	10001	81	298	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	612	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
15	10001	81	297	3000	1	5000	0	0	0	0	0	120094	120094	120097	120097	0	0	609	120091	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	2	DRAGON NEST_BGM_Battle_Warning.ogg	120143	120146	7863	7860
16	10001	81	299	3000	1	5000	0	0	0	0	0	120095	120095	120098	120098	0	0	610	120092	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	3	DRAGON NEST_BGM_Battle_Warning.ogg	120144	120147	7864	7861
17	10003	81	228	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	215	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
18	10006	81	762	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	579	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
19	10006	81	761	3000	1	5000	0	0	0	0	0	120094	120094	120097	120097	0	0	577	120091	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	2	DRAGON NEST_BGM_Battle_Warning.ogg	120143	120146	7863	7860
20	10006	81	760	3000	1	5000	0	0	0	0	0	120095	120095	120098	120098	0	0	578	120092	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	3	DRAGON NEST_BGM_Battle_Warning.ogg	120144	120147	7864	7861
21	10007	81	562	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	353	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
22	10007	81	561	3000	1	5000	0	0	0	0	0	120094	120094	120097	120097	0	0	352	120091	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	2	DRAGON NEST_BGM_Battle_Warning.ogg	120143	120146	7863	7860
23	10007	81	563	3000	1	5000	0	0	0	0	0	120095	120095	120098	120098	0	0	354	120092	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	3	DRAGON NEST_BGM_Battle_Warning.ogg	120144	120147	7864	7861
24	10008	81	498	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	512	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
25	10008	81	499	3000	1	5000	0	0	0	0	0	120094	120094	120097	120097	0	0	515	120091	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	2	DRAGON NEST_BGM_Battle_Warning.ogg	120143	120146	7863	7860
26	10008	81	500	3000	1	5000	0	0	0	0	0	120095	120095	120098	120098	0	0	516	120092	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	3	DRAGON NEST_BGM_Battle_Warning.ogg	120144	120147	7864	7861
27	10010	81	805	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	1044	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
28	10010	81	806	3000	1	5000	0	0	0	0	0	120094	120094	120097	120097	0	0	1045	120091	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	2	DRAGON NEST_BGM_Battle_Warning.ogg	120143	120146	7863	7860
29	10010	81	807	3000	1	5000	0	0	0	0	0	120095	120095	120098	120098	0	0	1046	120092	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	3	DRAGON NEST_BGM_Battle_Warning.ogg	120144	120147	7864	7861
30	10009	81	1324	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	945	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
31	10009	81	1323	3000	1	5000	0	0	0	0	0	120094	120094	120097	120097	0	0	947	120091	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	2	DRAGON NEST_BGM_Battle_Warning.ogg	120143	120146	7863	7860
32	10009	81	1322	3000	1	5000	0	0	0	0	0	120095	120095	120098	120098	0	0	946	120092	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	3	DRAGON NEST_BGM_Battle_Warning.ogg	120144	120147	7864	7861
33	10011	81	6270	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	1406	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
34	10012	81	490	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	254	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
35	10012	81	491	3000	1	5000	0	0	0	0	0	120094	120094	120097	120097	0	0	251	120091	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	2	DRAGON NEST_BGM_Battle_Warning.ogg	120143	120146	7863	7860
36	10012	81	492	3000	1	5000	0	0	0	0	0	120095	120095	120098	120098	0	0	252	120092	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	3	DRAGON NEST_BGM_Battle_Warning.ogg	120144	120147	7864	7861
50	11100	50	21	10000	20	10000	35000	0	0	0	0	126195	126201	126207	126213	1000029992	1000029998	1402	1000032463	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
51	11100	50	22	10000	20	10000	35000	0	0	0	0	126196	126202	126208	126214	1000029993	1000029999	1404	1000032464	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
52	11100	50	23	10000	20	10000	35000	0	0	0	0	126197	126203	126209	126215	1000029994	1000030000	1406	1000032465	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
53	11100	50	24	10000	20	10000	35000	0	0	0	0	126198	126204	126210	126216	1000029995	1000031335	1403	1000032466	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
54	11100	50	25	10000	20	10000	35000	0	0	0	0	126199	126205	126211	126217	1000029996	1000030002	1405	1000032467	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
55	10013	81	3152	3000	1	5000	0	0	0	0	0	120093	120093	120096	120096	0	0	1219	120090	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	1	DRAGON NEST_BGM_Battle_Warning.ogg	120142	120145	7862	7859
56	10013	81	3153	3000	1	5000	0	0	0	0	0	120094	120094	120097	120097	0	0	1222	120091	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	2	DRAGON NEST_BGM_Battle_Warning.ogg	120143	120146	7863	7860
57	10013	81	3154	3000	1	5000	0	0	0	0	0	120095	120095	120098	120098	0	0	1221	120092	1500	1	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	3	DRAGON NEST_BGM_Battle_Warning.ogg	120144	120147	7864	7861
58	10026	81	1085	3000	1	5000	0	0	0	0	0	120095	120095	120098	120098	0	0	588	120092	0	0	3000	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	DRAGON NEST_BGM_Battle_Warning.ogg	120144	120147	7864	7861
59	11002	124	21	10000	20	10000	35000	0	0	0	0	126195	126201	126207	126213	1000029992	1000029998	1402	1000032463	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
60	11002	124	22	10000	20	10000	35000	0	0	0	0	126196	126202	126208	126214	1000029993	1000029999	1404	1000032464	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
61	11002	124	23	10000	20	10000	35000	0	0	0	0	126197	126203	126209	126215	1000029994	1000030000	1406	1000032465	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
62	11002	124	24	10000	20	10000	35000	0	0	0	0	126198	126204	126210	126216	1000029995	1000031335	1403	1000032466	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
63	11002	124	25	10000	20	10000	35000	0	0	0	0	126199	126205	126211	126217	1000029996	1000030002	1405	1000032467	0	0	0	0	UI_LevelUp_New.ogg	UI_Guild_Conquered.ogg	0	0	0	0	0	0
