ROWID	_MapIndex|INTEGER	_GateIndex|INTEGER	_PermitPlayerLevel|INTEGER	_PartyLimit|INTEGER	_QuestCheck1|INTEGER	_QuestID1|INTEGER	_QuestCheck2|INTEGER	_QuestID2|INTEGER	_QuestCheck3|INTEGER	_QuestID3|INTEGER	_PassClass|TEXT	_PermitClassLevel|INTEGER	_DateTime|TEXT	_WorldMapID|INTEGER
132	0	0	0	0	0	0	0	0	0	0	0	0		0
133	0	0	0	0	0	0	0	0	0	0	0	0		0
134	0	0	0	0	0	0	0	0	0	0	0	0		0
135	0	0	0	0	0	0	0	0	0	0	0	0		0
136	0	0	0	0	0	0	0	0	0	0	0	0		0
137	0	0	0	0	0	0	0	0	0	0	0	0		0
138	0	0	0	0	0	0	0	0	0	0	0	0		0
139	0	0	0	0	0	0	0	0	0	0	0	0		0
140	0	0	0	0	0	0	0	0	0	0	0	0		0
141	12007	0	0	0	0	0	0	0	0	0	0	0	10:1:6:9	0
142	12011	0	0	0	0	0	0	0	0	0	0	0	10:1:6:9	0
143	12012	0	0	0	0	0	0	0	0	0	0	0	10:1:6:9	0
144	12021	0	0	0	0	0	0	0	0	0	0	0	10:1:6:9	0
145	12031	0	0	0	0	0	0	0	0	0	0	0	10:1:6:9	0
146	0	0	0	0	0	0	0	0	0	0	0	0		0
147	0	0	0	0	0	0	0	0	0	0	0	0		0
148	0	0	0	0	0	0	0	0	0	0	0	0		0
149	0	0	0	0	0	0	0	0	0	0	0	0		0
150	0	0	0	0	0	0	0	0	0	0	0	0		0
151	12601	0	0	0	0	0	0	0	0	0	0	0	10:1:6:9	0
152	12602	0	0	0	0	0	0	0	0	0	0	0	10:1:6:9	0
153	12603	0	0	0	0	0	0	0	0	0	0	0	10:1:6:9	0
154	12604	0	0	0	0	0	0	0	0	0	0	0	10:1:6:9	0
155	0	0	0	0	0	0	0	0	0	0	0	0		0
156	0	0	0	0	0	0	0	0	0	0	0	0		0
157	0	0	0	0	0	0	0	0	0	0	0	0		0
158	0	0	0	0	0	0	0	0	0	0	0	0		0
159	0	0	0	0	0	0	0	0	0	0	0	0		0
160	0	0	0	0	0	0	0	0	0	0	0	0		0
161	14005	0	0	0	0	0	0	0	0	0	0	0	3:1	0
162	14024	0	0	0	0	0	0	0	0	0	0	0	3:2	0
163	14039	0	0	0	0	0	0	0	0	0	0	0	3:3	0
164	14045	0	0	0	0	0	0	0	0	0	0	0	3:4	0
165	14199	0	0	0	0	0	0	0	0	0	0	0	3:5	0
166	0	0	0	0	0	0	0	0	0	0	0	0		0
167	0	0	0	0	0	0	0	0	0	0	0	0		0
168	0	0	0	0	0	0	0	0	0	0	0	0		0
169	0	0	0	0	0	0	0	0	0	0	0	0		0
170	0	0	0	0	0	0	0	0	0	0	0	0		0
171	13630	0	40	0	0	0	0	0	0	0	0	40		0
172	13633	0	40	0	0	0	0	0	0	0	0	40		0
173	13634	0	40	0	0	0	0	0	0	0	0	40		0
174	0	0	0	0	0	0	0	0	0	0	0	0		0
175	13631	0	0	0	0	0	0	0	0	0	0	0	11:6:6:9	0
176	13639	0	0	0	0	0	0	0	0	0	0	0	11:6:6:9	0
177	13640	0	0	0	0	0	0	0	0	0	0	0	3:3	0
178	0	0	0	0	0	0	0	0	0	0	0	0		0
179	0	0	0	0	0	0	0	0	0	0	0	0		0
180	0	0	0	0	0	0	0	0	0	0	0	0		0
181	15281	0	0	0	0	0	0	0	0	0	0	0	3:2	0
182	15285	0	0	0	0	0	0	0	0	0	0	0	3:4	0
183	15291	0	0	0	0	0	0	0	0	0	0	0	3:6	0
184	15295	0	0	0	0	0	0	0	0	0	0	0	3:0	0
185	0	0	0	0	0	0	0	0	0	0	0	0		0
186	17100	0	95	0	0	0	0	0	0	0	0	0		0
187	10031	0	90	0	0	0	0	0	0	0	0	0		0
188	10032	0	90	0	0	0	0	0	0	0	0	0		0
189	14751	0	80	0	0	0	0	0	0	0	0	0	12:6:9	0
190	0	0	0	0	0	0	0	0	0	0	0	0		0
191	18031	0	90	0	0	0	0	0	0	0	0	0	12:3:16	0
192	18041	0	90	0	0	0	0	0	0	0	0	0	12:3:16	0
193	14875	0	90	0	0	0	0	0	0	0	0	0	12:3:16	0
194	14881	0	90	0	0	0	0	0	0	0	0	0	12:3:16	0
195	18044	0	90	0	0	0	0	0	0	0	0	0	12:3:16	0
196	0	0	0	0	0	0	0	0	0	0	0	0		0
197	14769	0	0	0	0	0	0	0	0	0	0	0	0:18:24	14771
198	14953	0	0	0	0	0	0	0	0	0	0	0	0:21:23	14771
199	19656	0	95	0	0	0	0	0	0	0	0	0	12:6:9	188
200	19658	0	95	0	0	0	0	0	0	0	0	0	12:6:9	188
