ROWID	_Left|DOUBLE	_Top|DOUBLE	_Right|DOUBLE	_Bottom|DOUBLE	_GlobalStringIndex|TEXT	_Level1|INTEGER	_Level1StringIndex|TEXT	_Level2|INTEGER	_Level2StringIndex|TEXT	_Level3|INTEGER	_Level3StringIndex|TEXT	_Level4|INTEGER	_Level4StringIndex|TEXT	_Level5|INTEGER	_Level5StringIndex|TEXT	_Level6|INTEGER	_Level6StringIndex|TEXT	_Level7|INTEGER	_Level7StringIndex|TEXT	_Level8|INTEGER	_Level8StringIndex|TEXT	_Level9|INTEGER	_Level9StringIndex|TEXT	_Level10|INTEGER	_Level10StringIndex|TEXT
2004	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2005	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2006	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2007	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2008	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2009	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2010	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2011	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2012	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2013	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2015	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2017	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2018	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2019	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2020	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2021	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2022	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2023	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2024	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2025	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2026	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2027	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2028	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2029	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2030	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2031	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2032	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2033	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2034	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2035	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2036	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2037	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2038	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2039	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2040	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2041	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2042	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2043	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2044	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2045	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2046	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2047	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2048	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2049	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2050	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2051	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2052	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2053	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2054	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2055	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2056	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2057	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2058	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2059	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2060	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2061	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2062	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2063	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2064	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2065	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2066	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2067	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2068	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2069	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2070	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2071	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2072	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2073	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2074	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2075	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2076	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2077	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2078	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2079	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2080	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2081	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2082	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2083	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2084	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2085	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2086	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2087	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2088	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2089	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2090	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2091	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2092	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2093	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2094	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2095	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2096	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2097	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2098	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2099	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2100	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2101	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2102	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2103	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2104	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
2105	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3001	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3002	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3003	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3004	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3005	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3006	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3007	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3008	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3009	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3010	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3011	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3012	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3013	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3014	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3015	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3016	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3017	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3018	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3019	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3020	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3021	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3022	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3023	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3024	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3025	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3026	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3027	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3028	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3029	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3030	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3031	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3032	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3033	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3034	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3035	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3036	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3037	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3038	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3039	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3040	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3041	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3042	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3043	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3044	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3045	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3046	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3047	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3048	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3049	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3050	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3051	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3052	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3053	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3054	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3055	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3056	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
3057	0.0	0.0	1.0	1.0		0		0		0		0		0		0		0		0		0		0	
