ROWID	_MapID|INTEGER	_Group|INTEGER	_StartTime|TEXT	_EndTime|TEXT
33	15109	21	2015:12:12:10:00:0	2015:12:12:18:00:0
34	15109	21	2015:12:12:23:00:0	2015:12:13:05:00:0
35	15109	22	2015:12:13:10:00:0	2015:12:13:18:00:0
36	15109	22	2015:12:13:23:00:0	2015:12:14:05:00:0
37	15109	23	2015:12:19:10:00:0	2015:12:19:18:00:0
38	15109	23	2015:12:19:23:00:0	2015:12:20:05:00:0
39	15109	24	2015:12:20:10:00:0	2015:12:20:18:00:0
40	15109	24	2015:12:20:23:00:0	2015:12:21:05:00:0
41	15109	25	2015:12:26:10:00:0	2015:12:26:18:00:0
42	15109	25	2015:12:26:23:00:0	2015:12:27:05:00:0
43	15109	26	2015:12:27:10:00:0	2015:12:27:18:00:0
44	15109	26	2015:12:27:23:00:0	2015:12:28:05:00:0
45	15109	27	2016:01:02:10:00:0	2016:01:02:18:00:0
46	15109	27	2016:01:02:23:00:0	2016:01:03:05:00:0
47	15109	28	2016:01:03:10:00:0	2016:01:03:18:00:0
48	15109	28	2016:01:03:23:00:0	2016:01:04:05:00:0
49	15109	29	2016:03:05:10:00:0	2016:03:05:18:00:0
50	15109	29	2016:03:05:23:00:0	2016:03:06:05:00:0
51	15109	30	2016:03:06:10:00:0	2016:03:06:18:00:0
52	15109	30	2016:03:06:23:00:0	2016:03:07:05:00:0
53	15109	31	2016:03:12:10:00:0	2016:03:12:18:00:0
54	15109	31	2016:03:12:23:00:0	2016:03:13:05:00:0
55	15109	32	2016:03:13:10:00:0	2016:03:13:18:00:0
56	15109	32	2016:03:13:23:00:0	2016:03:14:05:00:0
57	15109	33	2016:03:19:10:00:0	2016:03:19:18:00:0
58	15109	33	2016:03:19:23:00:0	2016:03:20:05:00:0
59	15109	34	2016:03:20:10:00:0	2016:03:20:18:00:0
60	15109	34	2016:03:20:23:00:0	2016:03:21:05:00:0
61	15109	35	2016:03:26:10:00:0	2016:03:26:18:00:0
62	15109	35	2016:03:26:23:00:0	2016:03:27:05:00:0
63	15109	36	2016:03:27:10:00:0	2016:03:27:18:00:0
64	15109	36	2016:03:27:23:00:0	2016:03:28:05:00:0
65	15109	37	2016:04:02:10:00:0	2016:04:02:18:00:0
66	15109	37	2016:04:02:23:00:0	2016:04:03:05:00:0
67	15109	38	2016:04:03:10:00:0	2016:04:03:18:00:0
68	15109	38	2016:04:03:23:00:0	2016:04:04:05:00:0
69	15109	39	2016:07:09:10:00:0	2016:07:09:18:00:0
70	15109	39	2016:07:09:23:00:0	2016:07:10:05:00:0
71	15109	40	2016:07:10:10:00:0	2016:07:10:18:00:0
72	15109	40	2016:07:10:23:00:0	2016:07:11:05:00:0
73	15109	41	2016:07:16:10:00:0	2016:07:16:18:00:0
74	15109	41	2016:07:16:23:00:0	2016:07:17:05:00:0
75	15109	42	2016:07:17:10:00:0	2016:07:17:18:00:0
76	15109	42	2016:07:17:23:00:0	2016:07:18:05:00:0
77	15109	43	2016:07:23:10:00:0	2016:07:23:18:00:0
78	15109	43	2016:07:23:23:00:0	2016:07:24:05:00:0
79	15109	44	2016:07:24:10:00:0	2016:07:24:18:00:0
80	15109	44	2016:07:24:23:00:0	2016:07:25:05:00:0
81	15109	45	2016:07:30:10:00:0	2016:07:30:18:00:0
82	15109	45	2016:07:30:23:00:0	2016:07:31:05:00:0
83	15109	46	2016:07:31:10:00:0	2016:07:31:18:00:0
84	15109	46	2016:07:31:23:00:0	2016:08:01:05:00:0
85	15109	47	2017:03:11:10:00:0	2017:03:11:18:00:0
86	15109	47	2017:03:11:23:00:0	2017:03:12:05:00:0
87	15109	48	2017:03:12:10:00:0	2017:03:12:18:00:0
88	15109	48	2017:03:12:23:00:0	2017:03:13:05:00:0
89	15109	49	2017:03:18:10:00:0	2017:03:18:18:00:0
90	15109	49	2017:03:18:23:00:0	2017:03:19:05:00:0
91	15109	50	2017:03:19:10:00:0	2017:03:19:18:00:0
92	15109	50	2017:03:19:23:00:0	2017:03:20:05:00:0
93	15109	51	2017:03:25:10:00:0	2017:03:25:18:00:0
94	15109	51	2017:03:25:23:00:0	2017:03:26:05:00:0
95	15109	52	2017:03:26:10:00:0	2017:03:26:18:00:0
96	15109	52	2017:03:26:23:00:0	2017:03:27:05:00:0
97	15109	53	2017:04:01:10:00:0	2017:04:01:18:00:0
98	15109	53	2017:04:01:23:00:0	2017:04:02:05:00:0
99	15109	54	2017:04:02:10:00:0	2017:04:02:18:00:0
100	15109	54	2017:04:02:23:00:0	2017:04:03:05:00:0
101	15109	55	2017:09:16:10:00:0	2017:09:16:18:00:0
102	15109	55	2017:09:16:23:00:0	2017:09:17:05:00:0
103	15109	56	2017:09:17:10:00:0	2017:09:17:18:00:0
104	15109	56	2017:09:17:23:00:0	2017:09:18:05:00:0
105	15109	57	2017:09:23:10:00:0	2017:09:23:18:00:0
106	15109	57	2017:09:23:23:00:0	2017:09:24:05:00:0
107	15109	58	2017:09:24:10:00:0	2017:09:24:18:00:0
108	15109	58	2017:09:24:23:00:0	2017:09:25:05:00:0
109	15109	59	2017:09:30:10:00:0	2017:09:30:18:00:0
110	15109	59	2017:09:30:23:00:0	2017:10:01:05:00:0
111	15109	60	2017:10:01:10:00:0	2017:10:01:18:00:0
112	15109	60	2017:10:01:23:00:0	2017:10:02:05:00:0
113	15109	61	2017:10:07:10:00:0	2017:10:07:18:00:0
114	15109	61	2017:10:07:23:00:0	2017:10:08:05:00:0
115	15109	62	2017:10:08:10:00:0	2017:10:08:18:00:0
116	15109	62	2017:10:08:23:00:0	2017:10:09:05:00:0
117	15109	63	2017:10:14:10:00:0	2017:10:14:18:00:0
118	15109	63	2017:10:14:23:00:0	2017:10:15:05:00:0
119	15109	64	2017:10:15:10:00:0	2017:10:15:18:00:0
120	15109	64	2017:10:15:23:00:0	2017:10:16:05:00:0
121	15109	65	2018:02:10:10:00:0	2018:02:10:18:00:0
122	15109	65	2018:02:10:23:00:0	2018:02:11:05:00:0
123	15109	66	2018:02:11:10:00:0	2018:02:11:18:00:0
124	15109	66	2018:02:11:23:00:0	2018:02:12:05:00:0
125	15109	67	2018:02:17:10:00:0	2018:02:17:18:00:0
126	15109	67	2018:02:17:23:00:0	2018:02:18:05:00:0
127	15109	68	2018:02:18:10:00:0	2018:02:18:18:00:0
128	15109	68	2018:02:18:23:00:0	2018:02:19:05:00:0
129	15109	69	2018:02:24:10:00:0	2018:02:24:18:00:0
130	15109	69	2018:02:24:23:00:0	2018:02:25:05:00:0
131	15109	70	2018:02:25:10:00:0	2018:02:25:18:00:0
132	15109	70	2018:02:25:23:00:0	2018:02:26:05:00:0
133	15109	71	2018:03:03:10:00:0	2018:03:03:18:00:0
134	15109	71	2018:03:03:23:00:0	2018:03:04:05:00:0
135	15109	72	2018:03:04:10:00:0	2018:03:04:18:00:0
136	15109	72	2018:03:04:23:00:0	2018:03:05:05:00:0
137	15109	73	2018:08:11:10:00:0	2018:08:11:18:00:0
138	15109	73	2018:08:11:23:00:0	2018:08:12:05:00:0
139	15109	74	2018:08:12:10:00:0	2018:08:12:18:00:0
140	15109	74	2018:08:12:23:00:0	2018:08:13:05:00:0
141	15109	75	2018:08:18:10:00:0	2018:08:18:18:00:0
142	15109	75	2018:08:18:23:00:0	2018:08:19:05:00:0
143	15109	76	2018:08:19:10:00:0	2018:08:19:18:00:0
144	15109	76	2018:08:19:23:00:0	2018:08:20:05:00:0
145	15109	77	2018:08:25:10:00:0	2018:08:25:18:00:0
146	15109	77	2018:08:25:23:00:0	2018:08:26:05:00:0
147	15109	78	2018:08:26:10:00:0	2018:08:26:18:00:0
148	15109	78	2018:08:26:23:00:0	2018:08:27:05:00:0
149	15109	79	2018:09:01:10:00:0	2018:09:01:18:00:0
150	15109	79	2018:09:01:23:00:0	2018:09:02:05:00:0
151	15109	80	2018:09:02:10:00:0	2018:09:02:18:00:0
152	15109	80	2018:09:02:23:00:0	2018:09:03:05:00:0
153	15109	81	2019:01:12:10:00:0	2019:01:12:18:00:0
154	15109	81	2019:01:12:23:00:0	2019:01:13:05:00:0
155	15109	82	2019:01:13:10:00:0	2019:01:13:18:00:0
156	15109	82	2019:01:13:23:00:0	2019:01:14:05:00:0
157	15109	83	2019:01:19:10:00:0	2019:01:19:18:00:0
158	15109	83	2019:01:19:23:00:0	2019:01:20:05:00:0
159	15109	84	2019:01:20:10:00:0	2019:01:20:18:00:0
160	15109	84	2019:01:20:23:00:0	2019:01:21:05:00:0
161	15109	85	2019:01:26:10:00:0	2019:01:26:18:00:0
162	15109	85	2019:01:26:23:00:0	2019:01:27:05:00:0
163	15109	86	2019:01:27:10:00:0	2019:01:27:18:00:0
164	15109	86	2019:01:27:23:00:0	2019:01:28:05:00:0
165	15109	87	2019:02:02:10:00:0	2019:02:02:18:00:0
166	15109	87	2019:02:02:23:00:0	2019:02:03:05:00:0
167	15109	88	2019:02:03:10:00:0	2019:02:03:18:00:0
168	15109	88	2019:02:03:23:00:0	2019:02:04:05:00:0
169	15109	89	2019:02:09:10:00:0	2019:02:09:18:00:0
170	15109	89	2019:02:09:23:00:0	2019:02:10:05:00:0
171	15109	90	2019:02:10:10:00:0	2019:02:10:18:00:0
172	15109	90	2019:02:10:23:00:0	2019:02:11:05:00:0
173	15109	91	2019:08:10:10:00:0	2019:08:10:18:00:0
174	15109	91	2019:08:10:23:00:0	2019:08:11:05:00:0
175	15109	92	2019:08:11:10:00:0	2019:08:11:18:00:0
176	15109	92	2019:08:11:23:00:0	2019:08:12:05:00:0
177	15109	93	2019:08:17:10:00:0	2019:08:17:18:00:0
178	15109	93	2019:08:17:23:00:0	2019:08:18:05:00:0
179	15109	94	2019:08:18:10:00:0	2019:08:18:18:00:0
180	15109	94	2019:08:18:23:00:0	2019:08:19:05:00:0
181	15109	95	2019:08:24:10:00:0	2019:08:24:18:00:0
182	15109	95	2019:08:24:23:00:0	2019:08:25:05:00:0
183	15109	96	2019:08:25:10:00:0	2019:08:25:18:00:0
184	15109	96	2019:08:25:23:00:0	2019:08:26:05:00:0
185	15109	97	2019:08:31:10:00:0	2019:08:31:18:00:0
186	15109	97	2019:08:31:23:00:0	2019:09:01:05:00:0
187	15109	98	2019:09:01:10:00:0	2019:09:01:18:00:0
188	15109	98	2019:09:01:23:00:0	2019:09:02:05:00:0
189	15109	99	2020:04:18:10:00:0	2020:04:18:18:00:0
190	15109	99	2020:04:18:23:00:0	2020:04:19:05:00:0
191	15109	100	2020:04:19:10:00:0	2020:04:19:18:00:0
192	15109	100	2020:04:19:23:00:0	2020:04:20:05:00:0
193	15109	101	2020:04:25:10:00:0	2020:04:25:18:00:0
194	15109	101	2020:04:25:23:00:0	2020:04:26:05:00:0
195	15109	102	2020:04:26:10:00:0	2020:04:26:18:00:0
196	15109	102	2020:04:26:23:00:0	2020:04:27:05:00:0
197	15109	103	2020:05:02:10:00:0	2020:05:02:18:00:0
198	15109	103	2020:05:02:23:00:0	2020:05:03:05:00:0
199	15109	104	2020:05:03:10:00:0	2020:05:03:18:00:0
200	15109	104	2020:05:03:23:00:0	2020:05:04:05:00:0
201	15109	105	2020:09:12:10:00:0	2020:09:12:18:00:0
202	15109	105	2020:09:12:23:00:0	2020:09:13:05:00:0
203	15109	106	2020:09:13:10:00:0	2020:09:13:18:00:0
204	15109	106	2020:09:13:23:00:0	2020:09:14:05:00:0
205	15109	107	2020:09:19:10:00:0	2020:09:19:18:00:0
206	15109	107	2020:09:19:23:00:0	2020:09:20:05:00:0
207	15109	108	2020:09:20:10:00:0	2020:09:20:18:00:0
208	15109	108	2020:09:20:23:00:0	2020:09:21:05:00:0
209	15109	109	2020:09:26:10:00:0	2020:09:26:18:00:0
210	15109	109	2020:09:26:23:00:0	2020:09:27:05:00:0
211	15109	110	2020:09:27:10:00:0	2020:09:27:18:00:0
212	15109	110	2020:09:27:23:00:0	2020:09:28:05:00:0
213	15109	111	2020:10:03:10:00:0	2020:10:03:18:00:0
214	15109	111	2020:10:03:23:00:0	2020:10:04:05:00:0
215	15109	112	2020:10:04:10:00:0	2020:10:04:18:00:0
216	15109	112	2020:10:04:23:00:0	2020:10:05:05:00:0
217	15109	113	2021:05:15:10:00:0	2021:05:15:18:00:0
218	15109	113	2021:05:15:23:00:0	2021:05:16:05:00:0
219	15109	114	2021:05:16:10:00:0	2021:05:16:18:00:0
220	15109	114	2021:05:16:23:00:0	2021:05:17:05:00:0
221	15109	115	2021:05:22:10:00:0	2021:05:22:18:00:0
222	15109	115	2021:05:22:23:00:0	2021:05:23:05:00:0
223	15109	116	2021:05:23:10:00:0	2021:05:23:18:00:0
224	15109	116	2021:05:23:23:00:0	2021:05:24:05:00:0
225	15109	117	2021:05:29:10:00:0	2021:05:29:18:00:0
226	15109	117	2021:05:29:23:00:0	2021:05:30:05:00:0
227	15109	118	2021:05:30:10:00:0	2021:05:30:18:00:0
228	15109	118	2021:05:30:23:00:0	2021:05:31:05:00:0
